context: TL Note: This is a pun on Souieba (being told that) and Souireba (dentures). response:	Pyramid-text: Guy forcing tributes Woman Guy who pays tribute Out of the question
context: This woman!\This man!\I hate her!\I hate him!\You will be cursed.\According to my research, those who steal the vessel of a god have a high probability of being cursed.\Being involved in accidents and criminal incidents.\Strange phenomena and cases where they are sickened and eventually die. Cases like those aren't uncommon. response:	If you reflect upon your actions and repent, you might be forgiven but...
context: This man!\I hate her!\I hate him!\You will be cursed.\According to my research, those who steal the vessel of a god have a high probability of being cursed.\Being involved in accidents and criminal incidents.\Strange phenomena and cases where they are sickened and eventually die. Cases like those aren't uncommon.\If you reflect upon your actions and repent, you might be forgiven but... response:	If you don't show quite a great deal of sincerity...
context: I hate her!\I hate him!\You will be cursed.\According to my research, those who steal the vessel of a god have a high probability of being cursed.\Being involved in accidents and criminal incidents.\Strange phenomena and cases where they are sickened and eventually die. Cases like those aren't uncommon.\If you reflect upon your actions and repent, you might be forgiven but...\If you don't show quite a great deal of sincerity... response:	It seems like Jin, who carved the statue, experienced strange phenomena.
context: I hate him!\You will be cursed.\According to my research, those who steal the vessel of a god have a high probability of being cursed.\Being involved in accidents and criminal incidents.\Strange phenomena and cases where they are sickened and eventually die. Cases like those aren't uncommon.\If you reflect upon your actions and repent, you might be forgiven but...\If you don't show quite a great deal of sincerity...\It seems like Jin, who carved the statue, experienced strange phenomena. response:	Sooner or later, you too...
context: You will be cursed.\According to my research, those who steal the vessel of a god have a high probability of being cursed.\Being involved in accidents and criminal incidents.\Strange phenomena and cases where they are sickened and eventually die. Cases like those aren't uncommon.\If you reflect upon your actions and repent, you might be forgiven but...\If you don't show quite a great deal of sincerity...\It seems like Jin, who carved the statue, experienced strange phenomena.\Sooner or later, you too... response:	A dream?!
context: According to my research, those who steal the vessel of a god have a high probability of being cursed.\Being involved in accidents and criminal incidents.\Strange phenomena and cases where they are sickened and eventually die. Cases like those aren't uncommon.\If you reflect upon your actions and repent, you might be forgiven but...\If you don't show quite a great deal of sincerity...\It seems like Jin, who carved the statue, experienced strange phenomena.\Sooner or later, you too...\A dream?! response:	Unpleasantly realistic.
context: Being involved in accidents and criminal incidents.\Strange phenomena and cases where they are sickened and eventually die. Cases like those aren't uncommon.\If you reflect upon your actions and repent, you might be forgiven but...\If you don't show quite a great deal of sincerity...\It seems like Jin, who carved the statue, experienced strange phenomena.\Sooner or later, you too...\A dream?!\Unpleasantly realistic. response:	All because Nagi-san told me something like that!
context: Strange phenomena and cases where they are sickened and eventually die. Cases like those aren't uncommon.\If you reflect upon your actions and repent, you might be forgiven but...\If you don't show quite a great deal of sincerity...\It seems like Jin, who carved the statue, experienced strange phenomena.\Sooner or later, you too...\A dream?!\Unpleasantly realistic.\All because Nagi-san told me something like that! response:	Jin, wake up!
context: If you reflect upon your actions and repent, you might be forgiven but...\If you don't show quite a great deal of sincerity...\It seems like Jin, who carved the statue, experienced strange phenomena.\Sooner or later, you too...\A dream?!\Unpleasantly realistic.\All because Nagi-san told me something like that!\Jin, wake up! response:	Huh?
context: If you don't show quite a great deal of sincerity...\It seems like Jin, who carved the statue, experienced strange phenomena.\Sooner or later, you too...\A dream?!\Unpleasantly realistic.\All because Nagi-san told me something like that!\Jin, wake up!\Huh? response:	The lights won't turn on!
context: It seems like Jin, who carved the statue, experienced strange phenomena.\Sooner or later, you too...\A dream?!\Unpleasantly realistic.\All because Nagi-san told me something like that!\Jin, wake up!\Huh?\The lights won't turn on! response:	Sooner or later, you too...
context: Sooner or later, you too...\A dream?!\Unpleasantly realistic.\All because Nagi-san told me something like that!\Jin, wake up!\Huh?\The lights won't turn on!\Sooner or later, you too... response:	The circuit breaker didn't trip.
context: A dream?!\Unpleasantly realistic.\All because Nagi-san told me something like that!\Jin, wake up!\Huh?\The lights won't turn on!\Sooner or later, you too...\The circuit breaker didn't trip. response:	I guess the neighborhood must have a blackout.
context: Unpleasantly realistic.\All because Nagi-san told me something like that!\Jin, wake up!\Huh?\The lights won't turn on!\Sooner or later, you too...\The circuit breaker didn't trip.\I guess the neighborhood must have a blackout. response:	Nagi must have surprised him.
context: All because Nagi-san told me something like that!\Jin, wake up!\Huh?\The lights won't turn on!\Sooner or later, you too...\The circuit breaker didn't trip.\I guess the neighborhood must have a blackout.\Nagi must have surprised him. response:	She said she'd deliver divine punishment, but I hope she doesn't overdo it.
context: Jin, wake up!\Huh?\The lights won't turn on!\Sooner or later, you too...\The circuit breaker didn't trip.\I guess the neighborhood must have a blackout.\Nagi must have surprised him.\She said she'd deliver divine punishment, but I hope she doesn't overdo it. response:	Oh, they came back on.
context: Huh?\The lights won't turn on!\Sooner or later, you too...\The circuit breaker didn't trip.\I guess the neighborhood must have a blackout.\Nagi must have surprised him.\She said she'd deliver divine punishment, but I hope she doesn't overdo it.\Oh, they came back on. response:	Hey Nagi, are you awake?
context: The lights won't turn on!\Sooner or later, you too...\The circuit breaker didn't trip.\I guess the neighborhood must have a blackout.\Nagi must have surprised him.\She said she'd deliver divine punishment, but I hope she doesn't overdo it.\Oh, they came back on.\Hey Nagi, are you awake? response:	Hey, you did something to Daitetsu, didn't you?
context: Sooner or later, you too...\The circuit breaker didn't trip.\I guess the neighborhood must have a blackout.\Nagi must have surprised him.\She said she'd deliver divine punishment, but I hope she doesn't overdo it.\Oh, they came back on.\Hey Nagi, are you awake?\Hey, you did something to Daitetsu, didn't you? response:	Nagi, wake up.
context: The circuit breaker didn't trip.\I guess the neighborhood must have a blackout.\Nagi must have surprised him.\She said she'd deliver divine punishment, but I hope she doesn't overdo it.\Oh, they came back on.\Hey Nagi, are you awake?\Hey, you did something to Daitetsu, didn't you?\Nagi, wake up. response:	I'm coming in.
context: I guess the neighborhood must have a blackout.\Nagi must have surprised him.\She said she'd deliver divine punishment, but I hope she doesn't overdo it.\Oh, they came back on.\Hey Nagi, are you awake?\Hey, you did something to Daitetsu, didn't you?\Nagi, wake up.\I'm coming in. response:	Huh?
context: Nagi must have surprised him.\She said she'd deliver divine punishment, but I hope she doesn't overdo it.\Oh, they came back on.\Hey Nagi, are you awake?\Hey, you did something to Daitetsu, didn't you?\Nagi, wake up.\I'm coming in.\Huh? response:	Nagi...
context: She said she'd deliver divine punishment, but I hope she doesn't overdo it.\Oh, they came back on.\Hey Nagi, are you awake?\Hey, you did something to Daitetsu, didn't you?\Nagi, wake up.\I'm coming in.\Huh?\Nagi... response:	I just need to repent, right?
context: Oh, they came back on.\Hey Nagi, are you awake?\Hey, you did something to Daitetsu, didn't you?\Nagi, wake up.\I'm coming in.\Huh?\Nagi...\I just need to repent, right? response:	The shrine might be gone,
context: Hey Nagi, are you awake?\Hey, you did something to Daitetsu, didn't you?\Nagi, wake up.\I'm coming in.\Huh?\Nagi...\I just need to repent, right?\The shrine might be gone, response:	but will I make it on time?
context: Hey, you did something to Daitetsu, didn't you?\Nagi, wake up.\I'm coming in.\Huh?\Nagi...\I just need to repent, right?\The shrine might be gone,\but will I make it on time? response:	I'm sorry! Please excuse me!
context: Nagi, wake up.\I'm coming in.\Huh?\Nagi...\I just need to repent, right?\The shrine might be gone,\but will I make it on time?\I'm sorry! Please excuse me! response:	Please forgive me!
context: I'm coming in.\Huh?\Nagi...\I just need to repent, right?\The shrine might be gone,\but will I make it on time?\I'm sorry! Please excuse me!\Please forgive me! response:	I won't do it anymore! I deeply regret it!
context: Huh?\Nagi...\I just need to repent, right?\The shrine might be gone,\but will I make it on time?\I'm sorry! Please excuse me!\Please forgive me!\I won't do it anymore! I deeply regret it! response:	I beg you, god!
context: Nagi...\I just need to repent, right?\The shrine might be gone,\but will I make it on time?\I'm sorry! Please excuse me!\Please forgive me!\I won't do it anymore! I deeply regret it!\I beg you, god! response:	Has that girl done something silly again?
context: I just need to repent, right?\The shrine might be gone,\but will I make it on time?\I'm sorry! Please excuse me!\Please forgive me!\I won't do it anymore! I deeply regret it!\I beg you, god!\Has that girl done something silly again? response:	You don't have to appologize.
context: The shrine might be gone,\but will I make it on time?\I'm sorry! Please excuse me!\Please forgive me!\I won't do it anymore! I deeply regret it!\I beg you, god!\Has that girl done something silly again?\You don't have to appologize. response:	What you want to do with chip of wood is all up to you.
context: but will I make it on time?\I'm sorry! Please excuse me!\Please forgive me!\I won't do it anymore! I deeply regret it!\I beg you, god!\Has that girl done something silly again?\You don't have to appologize.\What you want to do with chip of wood is all up to you. response:	Rather, you have done well.
context: I'm sorry! Please excuse me!\Please forgive me!\I won't do it anymore! I deeply regret it!\I beg you, god!\Has that girl done something silly again?\You don't have to appologize.\What you want to do with chip of wood is all up to you.\Rather, you have done well. response:	Be grateful for the fate weaved by humans.
context: Please forgive me!\I won't do it anymore! I deeply regret it!\I beg you, god!\Has that girl done something silly again?\You don't have to appologize.\What you want to do with chip of wood is all up to you.\Rather, you have done well.\Be grateful for the fate weaved by humans. response:	Good boy.
context: I won't do it anymore! I deeply regret it!\I beg you, god!\Has that girl done something silly again?\You don't have to appologize.\What you want to do with chip of wood is all up to you.\Rather, you have done well.\Be grateful for the fate weaved by humans.\Good boy. response:	God...?
context: I beg you, god!\Has that girl done something silly again?\You don't have to appologize.\What you want to do with chip of wood is all up to you.\Rather, you have done well.\Be grateful for the fate weaved by humans.\Good boy.\God...? response:	My body feels so damp.
context: Has that girl done something silly again?\You don't have to appologize.\What you want to do with chip of wood is all up to you.\Rather, you have done well.\Be grateful for the fate weaved by humans.\Good boy.\God...?\My body feels so damp. response:	You don't remember anything from last night?
context: You don't have to appologize.\What you want to do with chip of wood is all up to you.\Rather, you have done well.\Be grateful for the fate weaved by humans.\Good boy.\God...?\My body feels so damp.\You don't remember anything from last night? response:	It's not that I don't remember, but...
context: What you want to do with chip of wood is all up to you.\Rather, you have done well.\Be grateful for the fate weaved by humans.\Good boy.\God...?\My body feels so damp.\You don't remember anything from last night?\It's not that I don't remember, but... response:	I slept normally and just woke up like this.
context: Rather, you have done well.\Be grateful for the fate weaved by humans.\Good boy.\God...?\My body feels so damp.\You don't remember anything from last night?\It's not that I don't remember, but...\I slept normally and just woke up like this. response:	That's called not being able to remember!
context: Be grateful for the fate weaved by humans.\Good boy.\God...?\My body feels so damp.\You don't remember anything from last night?\It's not that I don't remember, but...\I slept normally and just woke up like this.\That's called not being able to remember! response:	Last night, Daitetsu carried you home while you were unconscious!
context: Good boy.\God...?\My body feels so damp.\You don't remember anything from last night?\It's not that I don't remember, but...\I slept normally and just woke up like this.\That's called not being able to remember!\Last night, Daitetsu carried you home while you were unconscious! response:	Don't you remember?
context: God...?\My body feels so damp.\You don't remember anything from last night?\It's not that I don't remember, but...\I slept normally and just woke up like this.\That's called not being able to remember!\Last night, Daitetsu carried you home while you were unconscious!\Don't you remember? response:	Ah, that's right...
context: My body feels so damp.\You don't remember anything from last night?\It's not that I don't remember, but...\I slept normally and just woke up like this.\That's called not being able to remember!\Last night, Daitetsu carried you home while you were unconscious!\Don't you remember?\Ah, that's right... response:	Now that you mention it... yes.
context: You don't remember anything from last night?\It's not that I don't remember, but...\I slept normally and just woke up like this.\That's called not being able to remember!\Last night, Daitetsu carried you home while you were unconscious!\Don't you remember?\Ah, that's right...\Now that you mention it... yes. response:	What do you mean, after I mention it?
context: It's not that I don't remember, but...\I slept normally and just woke up like this.\That's called not being able to remember!\Last night, Daitetsu carried you home while you were unconscious!\Don't you remember?\Ah, that's right...\Now that you mention it... yes.\What do you mean, after I mention it? response:	Different from dentures.
context: I slept normally and just woke up like this.\That's called not being able to remember!\Last night, Daitetsu carried you home while you were unconscious!\Don't you remember?\Ah, that's right...\Now that you mention it... yes.\What do you mean, after I mention it?\Different from dentures. response:	Don't get them wrong since they sound the same.
context: That's called not being able to remember!\Last night, Daitetsu carried you home while you were unconscious!\Don't you remember?\Ah, that's right...\Now that you mention it... yes.\What do you mean, after I mention it?\Different from dentures.\Don't get them wrong since they sound the same. response:	I know. I understand.
context: Last night, Daitetsu carried you home while you were unconscious!\Don't you remember?\Ah, that's right...\Now that you mention it... yes.\What do you mean, after I mention it?\Different from dentures.\Don't get them wrong since they sound the same.\I know. I understand. response:	You've gone unconcious like that before as well.
context: Don't you remember?\Ah, that's right...\Now that you mention it... yes.\What do you mean, after I mention it?\Different from dentures.\Don't get them wrong since they sound the same.\I know. I understand.\You've gone unconcious like that before as well. response:	Aren't you hiding something from me?
context: Ah, that's right...\Now that you mention it... yes.\What do you mean, after I mention it?\Different from dentures.\Don't get them wrong since they sound the same.\I know. I understand.\You've gone unconcious like that before as well.\Aren't you hiding something from me? response:	No, I'm not hiding anything.
context: Now that you mention it... yes.\What do you mean, after I mention it?\Different from dentures.\Don't get them wrong since they sound the same.\I know. I understand.\You've gone unconcious like that before as well.\Aren't you hiding something from me?\No, I'm not hiding anything. response:	Don't lie!
context: What do you mean, after I mention it?\Different from dentures.\Don't get them wrong since they sound the same.\I know. I understand.\You've gone unconcious like that before as well.\Aren't you hiding something from me?\No, I'm not hiding anything.\Don't lie! response:	You secretly went out to scare Daitetsu, didn't you?
context: Different from dentures.\Don't get them wrong since they sound the same.\I know. I understand.\You've gone unconcious like that before as well.\Aren't you hiding something from me?\No, I'm not hiding anything.\Don't lie!\You secretly went out to scare Daitetsu, didn't you? response:	What exactly did you do?
context: Don't get them wrong since they sound the same.\I know. I understand.\You've gone unconcious like that before as well.\Aren't you hiding something from me?\No, I'm not hiding anything.\Don't lie!\You secretly went out to scare Daitetsu, didn't you?\What exactly did you do? response:	Cut it out, okay?
context: I know. I understand.\You've gone unconcious like that before as well.\Aren't you hiding something from me?\No, I'm not hiding anything.\Don't lie!\You secretly went out to scare Daitetsu, didn't you?\What exactly did you do?\Cut it out, okay? response:	He isn't very good with ghosts and stuff.
context: You've gone unconcious like that before as well.\Aren't you hiding something from me?\No, I'm not hiding anything.\Don't lie!\You secretly went out to scare Daitetsu, didn't you?\What exactly did you do?\Cut it out, okay?\He isn't very good with ghosts and stuff. response:	And that aside, how could you go unconcious?
context: Aren't you hiding something from me?\No, I'm not hiding anything.\Don't lie!\You secretly went out to scare Daitetsu, didn't you?\What exactly did you do?\Cut it out, okay?\He isn't very good with ghosts and stuff.\And that aside, how could you go unconcious? response:	I've been thinking about this, but you are...
context: No, I'm not hiding anything.\Don't lie!\You secretly went out to scare Daitetsu, didn't you?\What exactly did you do?\Cut it out, okay?\He isn't very good with ghosts and stuff.\And that aside, how could you go unconcious?\I've been thinking about this, but you are... response:	Shut up!
context: Don't lie!\You secretly went out to scare Daitetsu, didn't you?\What exactly did you do?\Cut it out, okay?\He isn't very good with ghosts and stuff.\And that aside, how could you go unconcious?\I've been thinking about this, but you are...\Shut up! response:	Stop prying!
context: You secretly went out to scare Daitetsu, didn't you?\What exactly did you do?\Cut it out, okay?\He isn't very good with ghosts and stuff.\And that aside, how could you go unconcious?\I've been thinking about this, but you are...\Shut up!\Stop prying! response:	I told you before!
context: What exactly did you do?\Cut it out, okay?\He isn't very good with ghosts and stuff.\And that aside, how could you go unconcious?\I've been thinking about this, but you are...\Shut up!\Stop prying!\I told you before! response:	Understand your place as a human!
context: Cut it out, okay?\He isn't very good with ghosts and stuff.\And that aside, how could you go unconcious?\I've been thinking about this, but you are...\Shut up!\Stop prying!\I told you before!\Understand your place as a human! response:	Such a rude man!
context: He isn't very good with ghosts and stuff.\And that aside, how could you go unconcious?\I've been thinking about this, but you are...\Shut up!\Stop prying!\I told you before!\Understand your place as a human!\Such a rude man! response:	Nagi says she remembers nothing.
context: And that aside, how could you go unconcious?\I've been thinking about this, but you are...\Shut up!\Stop prying!\I told you before!\Understand your place as a human!\Such a rude man!\Nagi says she remembers nothing. response:	Were you two hit by lightning?
context: I've been thinking about this, but you are...\Shut up!\Stop prying!\I told you before!\Understand your place as a human!\Such a rude man!\Nagi says she remembers nothing.\Were you two hit by lightning? response:	No. I can't explain it well...
context: Shut up!\Stop prying!\I told you before!\Understand your place as a human!\Such a rude man!\Nagi says she remembers nothing.\Were you two hit by lightning?\No. I can't explain it well... response:	Umm... did Nagi do something?
context: Stop prying!\I told you before!\Understand your place as a human!\Such a rude man!\Nagi says she remembers nothing.\Were you two hit by lightning?\No. I can't explain it well...\Umm... did Nagi do something? response:	Well, I think I have the answer, but...
context: I told you before!\Understand your place as a human!\Such a rude man!\Nagi says she remembers nothing.\Were you two hit by lightning?\No. I can't explain it well...\Umm... did Nagi do something?\Well, I think I have the answer, but... response:	No, I still can't explain it well.
context: Understand your place as a human!\Such a rude man!\Nagi says she remembers nothing.\Were you two hit by lightning?\No. I can't explain it well...\Umm... did Nagi do something?\Well, I think I have the answer, but...\No, I still can't explain it well. response:	What's with her?
context: Such a rude man!\Nagi says she remembers nothing.\Were you two hit by lightning?\No. I can't explain it well...\Umm... did Nagi do something?\Well, I think I have the answer, but...\No, I still can't explain it well.\What's with her? response:	It pisses me off!
context: Nagi says she remembers nothing.\Were you two hit by lightning?\No. I can't explain it well...\Umm... did Nagi do something?\Well, I think I have the answer, but...\No, I still can't explain it well.\What's with her?\It pisses me off! response:	Didn't something like this happen before?
context: Were you two hit by lightning?\No. I can't explain it well...\Umm... did Nagi do something?\Well, I think I have the answer, but...\No, I still can't explain it well.\What's with her?\It pisses me off!\Didn't something like this happen before? response:	It was right after she went unconscious.
context: No. I can't explain it well...\Umm... did Nagi do something?\Well, I think I have the answer, but...\No, I still can't explain it well.\What's with her?\It pisses me off!\Didn't something like this happen before?\It was right after she went unconscious. response:	I don't get it at all.
context: Umm... did Nagi do something?\Well, I think I have the answer, but...\No, I still can't explain it well.\What's with her?\It pisses me off!\Didn't something like this happen before?\It was right after she went unconscious.\I don't get it at all. response:	I don't get it at all.
context: Well, I think I have the answer, but...\No, I still can't explain it well.\What's with her?\It pisses me off!\Didn't something like this happen before?\It was right after she went unconscious.\I don't get it at all.\I don't get it at all. response:	Did a god really possess Nagi-san that time?
context: No, I still can't explain it well.\What's with her?\It pisses me off!\Didn't something like this happen before?\It was right after she went unconscious.\I don't get it at all.\I don't get it at all.\Did a god really possess Nagi-san that time? response:	Since she doesn't seem to remember anything herself.
context: What's with her?\It pisses me off!\Didn't something like this happen before?\It was right after she went unconscious.\I don't get it at all.\I don't get it at all.\Did a god really possess Nagi-san that time?\Since she doesn't seem to remember anything herself. response:	It doesn't sound like a lie either.
context: It pisses me off!\Didn't something like this happen before?\It was right after she went unconscious.\I don't get it at all.\I don't get it at all.\Did a god really possess Nagi-san that time?\Since she doesn't seem to remember anything herself.\It doesn't sound like a lie either. response:	So scary! So scary!
context: Didn't something like this happen before?\It was right after she went unconscious.\I don't get it at all.\I don't get it at all.\Did a god really possess Nagi-san that time?\Since she doesn't seem to remember anything herself.\It doesn't sound like a lie either.\So scary! So scary! response:	Still scary if it was a god.
context: It was right after she went unconscious.\I don't get it at all.\I don't get it at all.\Did a god really possess Nagi-san that time?\Since she doesn't seem to remember anything herself.\It doesn't sound like a lie either.\So scary! So scary!\Still scary if it was a god. response:	What's with him?
context: I don't get it at all.\I don't get it at all.\Did a god really possess Nagi-san that time?\Since she doesn't seem to remember anything herself.\It doesn't sound like a lie either.\So scary! So scary!\Still scary if it was a god.\What's with him? response:	Shh! Don't look at him.
context: I don't get it at all.\Did a god really possess Nagi-san that time?\Since she doesn't seem to remember anything herself.\It doesn't sound like a lie either.\So scary! So scary!\Still scary if it was a god.\What's with him?\Shh! Don't look at him. response:	No, it's too quick to consider it a spiritual phenomenon.
context: Did a god really possess Nagi-san that time?\Since she doesn't seem to remember anything herself.\It doesn't sound like a lie either.\So scary! So scary!\Still scary if it was a god.\What's with him?\Shh! Don't look at him.\No, it's too quick to consider it a spiritual phenomenon. response:	During that time, Nagi-san said that I didn't have to apologize.
context: Since she doesn't seem to remember anything herself.\It doesn't sound like a lie either.\So scary! So scary!\Still scary if it was a god.\What's with him?\Shh! Don't look at him.\No, it's too quick to consider it a spiritual phenomenon.\During that time, Nagi-san said that I didn't have to apologize. response:	She must have come to apologize for frightening me too much.
context: It doesn't sound like a lie either.\So scary! So scary!\Still scary if it was a god.\What's with him?\Shh! Don't look at him.\No, it's too quick to consider it a spiritual phenomenon.\During that time, Nagi-san said that I didn't have to apologize.\She must have come to apologize for frightening me too much. response:	Yes.
context: So scary! So scary!\Still scary if it was a god.\What's with him?\Shh! Don't look at him.\No, it's too quick to consider it a spiritual phenomenon.\During that time, Nagi-san said that I didn't have to apologize.\She must have come to apologize for frightening me too much.\Yes. response:	That must be it.
context: Still scary if it was a god.\What's with him?\Shh! Don't look at him.\No, it's too quick to consider it a spiritual phenomenon.\During that time, Nagi-san said that I didn't have to apologize.\She must have come to apologize for frightening me too much.\Yes.\That must be it. response:	After all, she's good at faking things.
context: What's with him?\Shh! Don't look at him.\No, it's too quick to consider it a spiritual phenomenon.\During that time, Nagi-san said that I didn't have to apologize.\She must have come to apologize for frightening me too much.\Yes.\That must be it.\After all, she's good at faking things. response:	That must've been acting.
context: Shh! Don't look at him.\No, it's too quick to consider it a spiritual phenomenon.\During that time, Nagi-san said that I didn't have to apologize.\She must have come to apologize for frightening me too much.\Yes.\That must be it.\After all, she's good at faking things.\That must've been acting. response:	How long are you gonna be shitting?!
context: No, it's too quick to consider it a spiritual phenomenon.\During that time, Nagi-san said that I didn't have to apologize.\She must have come to apologize for frightening me too much.\Yes.\That must be it.\After all, she's good at faking things.\That must've been acting.\How long are you gonna be shitting?! response:	Even if it were an act, I still don't understand her intentions!
context: During that time, Nagi-san said that I didn't have to apologize.\She must have come to apologize for frightening me too much.\Yes.\That must be it.\After all, she's good at faking things.\That must've been acting.\How long are you gonna be shitting?!\Even if it were an act, I still don't understand her intentions! response:	Is she planning something to hide her relationship with Jin?
context: She must have come to apologize for frightening me too much.\Yes.\That must be it.\After all, she's good at faking things.\That must've been acting.\How long are you gonna be shitting?!\Even if it were an act, I still don't understand her intentions!\Is she planning something to hide her relationship with Jin? response:	Crap! Am I being controlled by her tactics without noticing it?
context: Yes.\That must be it.\After all, she's good at faking things.\That must've been acting.\How long are you gonna be shitting?!\Even if it were an act, I still don't understand her intentions!\Is she planning something to hide her relationship with Jin?\Crap! Am I being controlled by her tactics without noticing it? response:	Damn it, Jin!
context: That must be it.\After all, she's good at faking things.\That must've been acting.\How long are you gonna be shitting?!\Even if it were an act, I still don't understand her intentions!\Is she planning something to hide her relationship with Jin?\Crap! Am I being controlled by her tactics without noticing it?\Damn it, Jin! response:	Why didn't you come talk to me?
context: After all, she's good at faking things.\That must've been acting.\How long are you gonna be shitting?!\Even if it were an act, I still don't understand her intentions!\Is she planning something to hide her relationship with Jin?\Crap! Am I being controlled by her tactics without noticing it?\Damn it, Jin!\Why didn't you come talk to me? response:	Is your relationship with that woman really that important!?
context: That must've been acting.\How long are you gonna be shitting?!\Even if it were an act, I still don't understand her intentions!\Is she planning something to hide her relationship with Jin?\Crap! Am I being controlled by her tactics without noticing it?\Damn it, Jin!\Why didn't you come talk to me?\Is your relationship with that woman really that important!? response:	Jin...
context: How long are you gonna be shitting?!\Even if it were an act, I still don't understand her intentions!\Is she planning something to hide her relationship with Jin?\Crap! Am I being controlled by her tactics without noticing it?\Damn it, Jin!\Why didn't you come talk to me?\Is your relationship with that woman really that important!?\Jin... response:	Mikuriya and Daitetsu-kun are acting strange?
context: Even if it were an act, I still don't understand her intentions!\Is she planning something to hide her relationship with Jin?\Crap! Am I being controlled by her tactics without noticing it?\Damn it, Jin!\Why didn't you come talk to me?\Is your relationship with that woman really that important!?\Jin...\Mikuriya and Daitetsu-kun are acting strange? response:	Yes, they are...
context: Is she planning something to hide her relationship with Jin?\Crap! Am I being controlled by her tactics without noticing it?\Damn it, Jin!\Why didn't you come talk to me?\Is your relationship with that woman really that important!?\Jin...\Mikuriya and Daitetsu-kun are acting strange?\Yes, they are... response:	They aren't having a fight, but...
context: Crap! Am I being controlled by her tactics without noticing it?\Damn it, Jin!\Why didn't you come talk to me?\Is your relationship with that woman really that important!?\Jin...\Mikuriya and Daitetsu-kun are acting strange?\Yes, they are...\They aren't having a fight, but... response:	There's something awkward going on between them.
context: Damn it, Jin!\Why didn't you come talk to me?\Is your relationship with that woman really that important!?\Jin...\Mikuriya and Daitetsu-kun are acting strange?\Yes, they are...\They aren't having a fight, but...\There's something awkward going on between them. response:	Ouch Daitetsu...
context: Why didn't you come talk to me?\Is your relationship with that woman really that important!?\Jin...\Mikuriya and Daitetsu-kun are acting strange?\Yes, they are...\They aren't having a fight, but...\There's something awkward going on between them.\Ouch Daitetsu... response:	Huh? Jin and Daitetsu-kun.
context: Is your relationship with that woman really that important!?\Jin...\Mikuriya and Daitetsu-kun are acting strange?\Yes, they are...\They aren't having a fight, but...\There's something awkward going on between them.\Ouch Daitetsu...\Huh? Jin and Daitetsu-kun. response:	Jin, I'm begging you!
context: Jin...\Mikuriya and Daitetsu-kun are acting strange?\Yes, they are...\They aren't having a fight, but...\There's something awkward going on between them.\Ouch Daitetsu...\Huh? Jin and Daitetsu-kun.\Jin, I'm begging you! response:	What's going on? I can't hear well.
context: Mikuriya and Daitetsu-kun are acting strange?\Yes, they are...\They aren't having a fight, but...\There's something awkward going on between them.\Ouch Daitetsu...\Huh? Jin and Daitetsu-kun.\Jin, I'm begging you!\What's going on? I can't hear well. response:	Let me hear it directly from your mouth.
context: Yes, they are...\They aren't having a fight, but...\There's something awkward going on between them.\Ouch Daitetsu...\Huh? Jin and Daitetsu-kun.\Jin, I'm begging you!\What's going on? I can't hear well.\Let me hear it directly from your mouth. response:	About that...
context: They aren't having a fight, but...\There's something awkward going on between them.\Ouch Daitetsu...\Huh? Jin and Daitetsu-kun.\Jin, I'm begging you!\What's going on? I can't hear well.\Let me hear it directly from your mouth.\About that... response:	I'm sorry, Daitetsu!
context: There's something awkward going on between them.\Ouch Daitetsu...\Huh? Jin and Daitetsu-kun.\Jin, I'm begging you!\What's going on? I can't hear well.\Let me hear it directly from your mouth.\About that...\I'm sorry, Daitetsu! response:	I can't answer that!
context: Ouch Daitetsu...\Huh? Jin and Daitetsu-kun.\Jin, I'm begging you!\What's going on? I can't hear well.\Let me hear it directly from your mouth.\About that...\I'm sorry, Daitetsu!\I can't answer that! response:	Wait, Jin!
context: Huh? Jin and Daitetsu-kun.\Jin, I'm begging you!\What's going on? I can't hear well.\Let me hear it directly from your mouth.\About that...\I'm sorry, Daitetsu!\I can't answer that!\Wait, Jin! response:	It's just that I...
context: Jin, I'm begging you!\What's going on? I can't hear well.\Let me hear it directly from your mouth.\About that...\I'm sorry, Daitetsu!\I can't answer that!\Wait, Jin!\It's just that I... response:	I wonder what it could be!
context: What's going on? I can't hear well.\Let me hear it directly from your mouth.\About that...\I'm sorry, Daitetsu!\I can't answer that!\Wait, Jin!\It's just that I...\I wonder what it could be! response:	It's unusual for them to fall out!
context: Let me hear it directly from your mouth.\About that...\I'm sorry, Daitetsu!\I can't answer that!\Wait, Jin!\It's just that I...\I wonder what it could be!\It's unusual for them to fall out! response:	Isn't it?
context: About that...\I'm sorry, Daitetsu!\I can't answer that!\Wait, Jin!\It's just that I...\I wonder what it could be!\It's unusual for them to fall out!\Isn't it? response:	The two did come to school together.
context: I'm sorry, Daitetsu!\I can't answer that!\Wait, Jin!\It's just that I...\I wonder what it could be!\It's unusual for them to fall out!\Isn't it?\The two did come to school together. response:	Maybe Daitetsu-kun stay over at Jin's house last night.
context: I can't answer that!\Wait, Jin!\It's just that I...\I wonder what it could be!\It's unusual for them to fall out!\Isn't it?\The two did come to school together.\Maybe Daitetsu-kun stay over at Jin's house last night. response:	I guess something must have happened during that time...
context: Wait, Jin!\It's just that I...\I wonder what it could be!\It's unusual for them to fall out!\Isn't it?\The two did come to school together.\Maybe Daitetsu-kun stay over at Jin's house last night.\I guess something must have happened during that time... response:	Young boys! The two of them! Sleepover!
