context: What's happened so far! response:	Arima Souichirou. Excellent grades,
context: you stopped wearing your sweats.\Sis, you got a boyfriend, don't you?\Wh...wh...wh...\WHAAAT??!!\A g...g...guy, is it?\Your father, who loves you more than anyone in the world...\Of course, I love Tsukino and Kano more than anyone in the world, too, but...\You pick another man over your father?! response:	What the heck are you babbling about?
context: Sis, you got a boyfriend, don't you?\Wh...wh...wh...\WHAAAT??!!\A g...g...guy, is it?\Your father, who loves you more than anyone in the world...\Of course, I love Tsukino and Kano more than anyone in the world, too, but...\You pick another man over your father?!\What the heck are you babbling about? response:	Hey, she's nervous.
context: Wh...wh...wh...\WHAAAT??!!\A g...g...guy, is it?\Your father, who loves you more than anyone in the world...\Of course, I love Tsukino and Kano more than anyone in the world, too, but...\You pick another man over your father?!\What the heck are you babbling about?\Hey, she's nervous. response:	I knew it.
context: WHAAAT??!!\A g...g...guy, is it?\Your father, who loves you more than anyone in the world...\Of course, I love Tsukino and Kano more than anyone in the world, too, but...\You pick another man over your father?!\What the heck are you babbling about?\Hey, she's nervous.\I knew it. response:	I'd love to see a picture.
context: A g...g...guy, is it?\Your father, who loves you more than anyone in the world...\Of course, I love Tsukino and Kano more than anyone in the world, too, but...\You pick another man over your father?!\What the heck are you babbling about?\Hey, she's nervous.\I knew it.\I'd love to see a picture. response:	I wonder if he's good looking?
context: Your father, who loves you more than anyone in the world...\Of course, I love Tsukino and Kano more than anyone in the world, too, but...\You pick another man over your father?!\What the heck are you babbling about?\Hey, she's nervous.\I knew it.\I'd love to see a picture.\I wonder if he's good looking? response:	Probably some hunk.
context: Of course, I love Tsukino and Kano more than anyone in the world, too, but...\You pick another man over your father?!\What the heck are you babbling about?\Hey, she's nervous.\I knew it.\I'd love to see a picture.\I wonder if he's good looking?\Probably some hunk. response:	Even more than me?
context: You pick another man over your father?!\What the heck are you babbling about?\Hey, she's nervous.\I knew it.\I'd love to see a picture.\I wonder if he's good looking?\Probably some hunk.\Even more than me? response:	No doubt.
context: What the heck are you babbling about?\Hey, she's nervous.\I knew it.\I'd love to see a picture.\I wonder if he's good looking?\Probably some hunk.\Even more than me?\No doubt. response:	Yuki's pretty choosy about looks...
context: Hey, she's nervous.\I knew it.\I'd love to see a picture.\I wonder if he's good looking?\Probably some hunk.\Even more than me?\No doubt.\Yuki's pretty choosy about looks... response:	I wonder who she got that from?
context: I knew it.\I'd love to see a picture.\I wonder if he's good looking?\Probably some hunk.\Even more than me?\No doubt.\Yuki's pretty choosy about looks...\I wonder who she got that from? response:	I'm telling you,
context: I'd love to see a picture.\I wonder if he's good looking?\Probably some hunk.\Even more than me?\No doubt.\Yuki's pretty choosy about looks...\I wonder who she got that from?\I'm telling you, response:	it's just work!
context: I wonder if he's good looking?\Probably some hunk.\Even more than me?\No doubt.\Yuki's pretty choosy about looks...\I wonder who she got that from?\I'm telling you,\it's just work! response:	Yukino!
context: Probably some hunk.\Even more than me?\No doubt.\Yuki's pretty choosy about looks...\I wonder who she got that from?\I'm telling you,\it's just work!\Yukino! response:	I swear, they're so inconsiderate...
context: Even more than me?\No doubt.\Yuki's pretty choosy about looks...\I wonder who she got that from?\I'm telling you,\it's just work!\Yukino!\I swear, they're so inconsiderate... response:	If I had felt this way after meeting normally, there wouldn't be any trouble.
context: No doubt.\Yuki's pretty choosy about looks...\I wonder who she got that from?\I'm telling you,\it's just work!\Yukino!\I swear, they're so inconsiderate...\If I had felt this way after meeting normally, there wouldn't be any trouble. response:	That's right. I'm troubled.
context: Yuki's pretty choosy about looks...\I wonder who she got that from?\I'm telling you,\it's just work!\Yukino!\I swear, they're so inconsiderate...\If I had felt this way after meeting normally, there wouldn't be any trouble.\That's right. I'm troubled. response:	Because Arima...
context: I wonder who she got that from?\I'm telling you,\it's just work!\Yukino!\I swear, they're so inconsiderate...\If I had felt this way after meeting normally, there wouldn't be any trouble.\That's right. I'm troubled.\Because Arima... response:	Hey, hey, Miyazawa.
context: I'm telling you,\it's just work!\Yukino!\I swear, they're so inconsiderate...\If I had felt this way after meeting normally, there wouldn't be any trouble.\That's right. I'm troubled.\Because Arima...\Hey, hey, Miyazawa. response:	Are you and Arima...going out?
context: it's just work!\Yukino!\I swear, they're so inconsiderate...\If I had felt this way after meeting normally, there wouldn't be any trouble.\That's right. I'm troubled.\Because Arima...\Hey, hey, Miyazawa.\Are you and Arima...going out? response:	You two are together a lot recently...
context: Yukino!\I swear, they're so inconsiderate...\If I had felt this way after meeting normally, there wouldn't be any trouble.\That's right. I'm troubled.\Because Arima...\Hey, hey, Miyazawa.\Are you and Arima...going out?\You two are together a lot recently... response:	But I don't mean anything funny...
context: I swear, they're so inconsiderate...\If I had felt this way after meeting normally, there wouldn't be any trouble.\That's right. I'm troubled.\Because Arima...\Hey, hey, Miyazawa.\Are you and Arima...going out?\You two are together a lot recently...\But I don't mean anything funny... response:	You two look really cute together,
context: If I had felt this way after meeting normally, there wouldn't be any trouble.\That's right. I'm troubled.\Because Arima...\Hey, hey, Miyazawa.\Are you and Arima...going out?\You two are together a lot recently...\But I don't mean anything funny...\You two look really cute together, response:	and even if we're a bit jealous...
context: That's right. I'm troubled.\Because Arima...\Hey, hey, Miyazawa.\Are you and Arima...going out?\You two are together a lot recently...\But I don't mean anything funny...\You two look really cute together,\and even if we're a bit jealous... response:	most suited for him.
context: Because Arima...\Hey, hey, Miyazawa.\Are you and Arima...going out?\You two are together a lot recently...\But I don't mean anything funny...\You two look really cute together,\and even if we're a bit jealous...\most suited for him. response:	And I was just wondering what was really going on.
context: Hey, hey, Miyazawa.\Are you and Arima...going out?\You two are together a lot recently...\But I don't mean anything funny...\You two look really cute together,\and even if we're a bit jealous...\most suited for him.\And I was just wondering what was really going on. response:	It's true that he said he liked me, but...
context: Are you and Arima...going out?\You two are together a lot recently...\But I don't mean anything funny...\You two look really cute together,\and even if we're a bit jealous...\most suited for him.\And I was just wondering what was really going on.\It's true that he said he liked me, but... response:	Hey, this one brave girl went up to Arima and asked him the same thing.
context: You two are together a lot recently...\But I don't mean anything funny...\You two look really cute together,\and even if we're a bit jealous...\most suited for him.\And I was just wondering what was really going on.\It's true that he said he liked me, but...\Hey, this one brave girl went up to Arima and asked him the same thing. response:	And I hear that Arima just Laughed and didn't answer.
context: But I don't mean anything funny...\You two look really cute together,\and even if we're a bit jealous...\most suited for him.\And I was just wondering what was really going on.\It's true that he said he liked me, but...\Hey, this one brave girl went up to Arima and asked him the same thing.\And I hear that Arima just Laughed and didn't answer. response:	I thought so. I've been thinking...
context: You two look really cute together,\and even if we're a bit jealous...\most suited for him.\And I was just wondering what was really going on.\It's true that he said he liked me, but...\Hey, this one brave girl went up to Arima and asked him the same thing.\And I hear that Arima just Laughed and didn't answer.\I thought so. I've been thinking... response:	Where did that confession go inside Arima? He hasn't brought it up at all since then.
context: and even if we're a bit jealous...\most suited for him.\And I was just wondering what was really going on.\It's true that he said he liked me, but...\Hey, this one brave girl went up to Arima and asked him the same thing.\And I hear that Arima just Laughed and didn't answer.\I thought so. I've been thinking...\Where did that confession go inside Arima? He hasn't brought it up at all since then. response:	I figured this would happen, but...
context: most suited for him.\And I was just wondering what was really going on.\It's true that he said he liked me, but...\Hey, this one brave girl went up to Arima and asked him the same thing.\And I hear that Arima just Laughed and didn't answer.\I thought so. I've been thinking...\Where did that confession go inside Arima? He hasn't brought it up at all since then.\I figured this would happen, but... response:	Arima loved the me before he knew my true identity.
context: And I was just wondering what was really going on.\It's true that he said he liked me, but...\Hey, this one brave girl went up to Arima and asked him the same thing.\And I hear that Arima just Laughed and didn't answer.\I thought so. I've been thinking...\Where did that confession go inside Arima? He hasn't brought it up at all since then.\I figured this would happen, but...\Arima loved the me before he knew my true identity. response:	Not the real me.
context: It's true that he said he liked me, but...\Hey, this one brave girl went up to Arima and asked him the same thing.\And I hear that Arima just Laughed and didn't answer.\I thought so. I've been thinking...\Where did that confession go inside Arima? He hasn't brought it up at all since then.\I figured this would happen, but...\Arima loved the me before he knew my true identity.\Not the real me. response:	I fell in love with him after I knew his true identity, but...
context: Hey, this one brave girl went up to Arima and asked him the same thing.\And I hear that Arima just Laughed and didn't answer.\I thought so. I've been thinking...\Where did that confession go inside Arima? He hasn't brought it up at all since then.\I figured this would happen, but...\Arima loved the me before he knew my true identity.\Not the real me.\I fell in love with him after I knew his true identity, but... response:	Miyazawa!
context: And I hear that Arima just Laughed and didn't answer.\I thought so. I've been thinking...\Where did that confession go inside Arima? He hasn't brought it up at all since then.\I figured this would happen, but...\Arima loved the me before he knew my true identity.\Not the real me.\I fell in love with him after I knew his true identity, but...\Miyazawa! response:	Sorry, would you stay late today?
context: I thought so. I've been thinking...\Where did that confession go inside Arima? He hasn't brought it up at all since then.\I figured this would happen, but...\Arima loved the me before he knew my true identity.\Not the real me.\I fell in love with him after I knew his true identity, but...\Miyazawa!\Sorry, would you stay late today? response:	I don't need you for much today,
context: Where did that confession go inside Arima? He hasn't brought it up at all since then.\I figured this would happen, but...\Arima loved the me before he knew my true identity.\Not the real me.\I fell in love with him after I knew his true identity, but...\Miyazawa!\Sorry, would you stay late today?\I don't need you for much today, response:	so it won't take long.
context: I figured this would happen, but...\Arima loved the me before he knew my true identity.\Not the real me.\I fell in love with him after I knew his true identity, but...\Miyazawa!\Sorry, would you stay late today?\I don't need you for much today,\so it won't take long. response:	I see. So it completely vanished from within him.
context: Arima loved the me before he knew my true identity.\Not the real me.\I fell in love with him after I knew his true identity, but...\Miyazawa!\Sorry, would you stay late today?\I don't need you for much today,\so it won't take long.\I see. So it completely vanished from within him. response:	Oh, you're still here.
context: Not the real me.\I fell in love with him after I knew his true identity, but...\Miyazawa!\Sorry, would you stay late today?\I don't need you for much today,\so it won't take long.\I see. So it completely vanished from within him.\Oh, you're still here. response:	I saw the classroom lights from outside.
context: I fell in love with him after I knew his true identity, but...\Miyazawa!\Sorry, would you stay late today?\I don't need you for much today,\so it won't take long.\I see. So it completely vanished from within him.\Oh, you're still here.\I saw the classroom lights from outside. response:	Did it take that long?
context: Miyazawa!\Sorry, would you stay late today?\I don't need you for much today,\so it won't take long.\I see. So it completely vanished from within him.\Oh, you're still here.\I saw the classroom lights from outside.\Did it take that long? response:	It's done already.
context: Sorry, would you stay late today?\I don't need you for much today,\so it won't take long.\I see. So it completely vanished from within him.\Oh, you're still here.\I saw the classroom lights from outside.\Did it take that long?\It's done already. response:	I see.
context: I don't need you for much today,\so it won't take long.\I see. So it completely vanished from within him.\Oh, you're still here.\I saw the classroom lights from outside.\Did it take that long?\It's done already.\I see. response:	I'm not doing this anymore.
context: so it won't take long.\I see. So it completely vanished from within him.\Oh, you're still here.\I saw the classroom lights from outside.\Did it take that long?\It's done already.\I see.\I'm not doing this anymore. response:	Huh?
context: I see. So it completely vanished from within him.\Oh, you're still here.\I saw the classroom lights from outside.\Did it take that long?\It's done already.\I see.\I'm not doing this anymore.\Huh? response:	I'm finished. I won't help any more.
context: Oh, you're still here.\I saw the classroom lights from outside.\Did it take that long?\It's done already.\I see.\I'm not doing this anymore.\Huh?\I'm finished. I won't help any more. response:	But if you do that, you'll be in all sorts of trouble, won't you?
context: I saw the classroom lights from outside.\Did it take that long?\It's done already.\I see.\I'm not doing this anymore.\Huh?\I'm finished. I won't help any more.\But if you do that, you'll be in all sorts of trouble, won't you? response:	I don't care. Tell them.
context: Did it take that long?\It's done already.\I see.\I'm not doing this anymore.\Huh?\I'm finished. I won't help any more.\But if you do that, you'll be in all sorts of trouble, won't you?\I don't care. Tell them. response:	Wait! What're you mad about?
context: It's done already.\I see.\I'm not doing this anymore.\Huh?\I'm finished. I won't help any more.\But if you do that, you'll be in all sorts of trouble, won't you?\I don't care. Tell them.\Wait! What're you mad about? response:	I'm not mad. Let go.
context: I see.\I'm not doing this anymore.\Huh?\I'm finished. I won't help any more.\But if you do that, you'll be in all sorts of trouble, won't you?\I don't care. Tell them.\Wait! What're you mad about?\I'm not mad. Let go. response:	You're mad, aren't you?
context: I'm not doing this anymore.\Huh?\I'm finished. I won't help any more.\But if you do that, you'll be in all sorts of trouble, won't you?\I don't care. Tell them.\Wait! What're you mad about?\I'm not mad. Let go.\You're mad, aren't you? response:	If something made you mad all of a sudden, tell me.
context: Huh?\I'm finished. I won't help any more.\But if you do that, you'll be in all sorts of trouble, won't you?\I don't care. Tell them.\Wait! What're you mad about?\I'm not mad. Let go.\You're mad, aren't you?\If something made you mad all of a sudden, tell me. response:	I can't understand this way.
context: I'm finished. I won't help any more.\But if you do that, you'll be in all sorts of trouble, won't you?\I don't care. Tell them.\Wait! What're you mad about?\I'm not mad. Let go.\You're mad, aren't you?\If something made you mad all of a sudden, tell me.\I can't understand this way. response:	It's okay.
context: But if you do that, you'll be in all sorts of trouble, won't you?\I don't care. Tell them.\Wait! What're you mad about?\I'm not mad. Let go.\You're mad, aren't you?\If something made you mad all of a sudden, tell me.\I can't understand this way.\It's okay. response:	It's not okay!
context: I don't care. Tell them.\Wait! What're you mad about?\I'm not mad. Let go.\You're mad, aren't you?\If something made you mad all of a sudden, tell me.\I can't understand this way.\It's okay.\It's not okay! response:	Let's go...I said let go!
context: Wait! What're you mad about?\I'm not mad. Let go.\You're mad, aren't you?\If something made you mad all of a sudden, tell me.\I can't understand this way.\It's okay.\It's not okay!\Let's go...I said let go! response:	I'm sick of being used!
context: I'm not mad. Let go.\You're mad, aren't you?\If something made you mad all of a sudden, tell me.\I can't understand this way.\It's okay.\It's not okay!\Let's go...I said let go!\I'm sick of being used! response:	Miyazawa!
context: You're mad, aren't you?\If something made you mad all of a sudden, tell me.\I can't understand this way.\It's okay.\It's not okay!\Let's go...I said let go!\I'm sick of being used!\Miyazawa! response:	We always talked like friends,
context: If something made you mad all of a sudden, tell me.\I can't understand this way.\It's okay.\It's not okay!\Let's go...I said let go!\I'm sick of being used!\Miyazawa!\We always talked like friends, response:	so I'd forgotten.
context: I can't understand this way.\It's okay.\It's not okay!\Let's go...I said let go!\I'm sick of being used!\Miyazawa!\We always talked like friends,\so I'd forgotten. response:	Arima was just taking
context: It's okay.\It's not okay!\Let's go...I said let go!\I'm sick of being used!\Miyazawa!\We always talked like friends,\so I'd forgotten.\Arima was just taking response:	advantage of my weakness.
context: It's not okay!\Let's go...I said let go!\I'm sick of being used!\Miyazawa!\We always talked like friends,\so I'd forgotten.\Arima was just taking\advantage of my weakness. response:	How could he?!
context: Let's go...I said let go!\I'm sick of being used!\Miyazawa!\We always talked like friends,\so I'd forgotten.\Arima was just taking\advantage of my weakness.\How could he?! response:	He totally changed his attitude when he found out my true identity...
context: I'm sick of being used!\Miyazawa!\We always talked like friends,\so I'd forgotten.\Arima was just taking\advantage of my weakness.\How could he?!\He totally changed his attitude when he found out my true identity... response:	How could he?!
context: Miyazawa!\We always talked like friends,\so I'd forgotten.\Arima was just taking\advantage of my weakness.\How could he?!\He totally changed his attitude when he found out my true identity...\How could he?! response:	So I'm gonna end it right here.
context: We always talked like friends,\so I'd forgotten.\Arima was just taking\advantage of my weakness.\How could he?!\He totally changed his attitude when he found out my true identity...\How could he?!\So I'm gonna end it right here. response:	Wh...wh...why're you following me?
context: so I'd forgotten.\Arima was just taking\advantage of my weakness.\How could he?!\He totally changed his attitude when he found out my true identity...\How could he?!\So I'm gonna end it right here.\Wh...wh...why're you following me? response:	Because you're running away!
context: Arima was just taking\advantage of my weakness.\How could he?!\He totally changed his attitude when he found out my true identity...\How could he?!\So I'm gonna end it right here.\Wh...wh...why're you following me?\Because you're running away! response:	Stay away! Stay away!
context: advantage of my weakness.\How could he?!\He totally changed his attitude when he found out my true identity...\How could he?!\So I'm gonna end it right here.\Wh...wh...why're you following me?\Because you're running away!\Stay away! Stay away! response:	Won't happen!
context: How could he?!\He totally changed his attitude when he found out my true identity...\How could he?!\So I'm gonna end it right here.\Wh...wh...why're you following me?\Because you're running away!\Stay away! Stay away!\Won't happen! response:	Dammit!
context: He totally changed his attitude when he found out my true identity...\How could he?!\So I'm gonna end it right here.\Wh...wh...why're you following me?\Because you're running away!\Stay away! Stay away!\Won't happen!\Dammit! response:	You don't have to run away Like your life depended on it!
context: How could he?!\So I'm gonna end it right here.\Wh...wh...why're you following me?\Because you're running away!\Stay away! Stay away!\Won't happen!\Dammit!\You don't have to run away Like your life depended on it! response:	I said wait, you little...!
context: So I'm gonna end it right here.\Wh...wh...why're you following me?\Because you're running away!\Stay away! Stay away!\Won't happen!\Dammit!\You don't have to run away Like your life depended on it!\I said wait, you little...! response:	This could look compromising...
context: Wh...wh...why're you following me?\Because you're running away!\Stay away! Stay away!\Won't happen!\Dammit!\You don't have to run away Like your life depended on it!\I said wait, you little...!\This could look compromising... response:	You're still running away?!
context: Because you're running away!\Stay away! Stay away!\Won't happen!\Dammit!\You don't have to run away Like your life depended on it!\I said wait, you little...!\This could look compromising...\You're still running away?! response:	Aren't you all scraped up?
context: Stay away! Stay away!\Won't happen!\Dammit!\You don't have to run away Like your life depended on it!\I said wait, you little...!\This could look compromising...\You're still running away?!\Aren't you all scraped up? response:	Show me your face!
context: Won't happen!\Dammit!\You don't have to run away Like your life depended on it!\I said wait, you little...!\This could look compromising...\You're still running away?!\Aren't you all scraped up?\Show me your face! response:	So I'm a weirdo!
context: Dammit!\You don't have to run away Like your life depended on it!\I said wait, you little...!\This could look compromising...\You're still running away?!\Aren't you all scraped up?\Show me your face!\So I'm a weirdo! response:	I'm vain, seIfish, a liar, a schemer, and I'm greedy!
context: You don't have to run away Like your life depended on it!\I said wait, you little...!\This could look compromising...\You're still running away?!\Aren't you all scraped up?\Show me your face!\So I'm a weirdo!\I'm vain, seIfish, a liar, a schemer, and I'm greedy! response:	I'm sure you were disappointed!
context: I said wait, you little...!\This could look compromising...\You're still running away?!\Aren't you all scraped up?\Show me your face!\So I'm a weirdo!\I'm vain, seIfish, a liar, a schemer, and I'm greedy!\I'm sure you were disappointed! response:	But, why did you have to change your attitude towards me?!
context: This could look compromising...\You're still running away?!\Aren't you all scraped up?\Show me your face!\So I'm a weirdo!\I'm vain, seIfish, a liar, a schemer, and I'm greedy!\I'm sure you were disappointed!\But, why did you have to change your attitude towards me?! response:	If I'm not acting elegant, am I that worthless?!
context: You're still running away?!\Aren't you all scraped up?\Show me your face!\So I'm a weirdo!\I'm vain, seIfish, a liar, a schemer, and I'm greedy!\I'm sure you were disappointed!\But, why did you have to change your attitude towards me?!\If I'm not acting elegant, am I that worthless?! response:	I hate you! Don't touch me!
context: Aren't you all scraped up?\Show me your face!\So I'm a weirdo!\I'm vain, seIfish, a liar, a schemer, and I'm greedy!\I'm sure you were disappointed!\But, why did you have to change your attitude towards me?!\If I'm not acting elegant, am I that worthless?!\I hate you! Don't touch me! response:	I'm sorry.
context: Show me your face!\So I'm a weirdo!\I'm vain, seIfish, a liar, a schemer, and I'm greedy!\I'm sure you were disappointed!\But, why did you have to change your attitude towards me?!\If I'm not acting elegant, am I that worthless?!\I hate you! Don't touch me!\I'm sorry. response:	Am I really that weird?
context: So I'm a weirdo!\I'm vain, seIfish, a liar, a schemer, and I'm greedy!\I'm sure you were disappointed!\But, why did you have to change your attitude towards me?!\If I'm not acting elegant, am I that worthless?!\I hate you! Don't touch me!\I'm sorry.\Am I really that weird? response:	If I'm not the model student, am I really without any value?
context: I'm vain, seIfish, a liar, a schemer, and I'm greedy!\I'm sure you were disappointed!\But, why did you have to change your attitude towards me?!\If I'm not acting elegant, am I that worthless?!\I hate you! Don't touch me!\I'm sorry.\Am I really that weird?\If I'm not the model student, am I really without any value? response:	Not at all.
context: I'm sure you were disappointed!\But, why did you have to change your attitude towards me?!\If I'm not acting elegant, am I that worthless?!\I hate you! Don't touch me!\I'm sorry.\Am I really that weird?\If I'm not the model student, am I really without any value?\Not at all. response:	I like you the way you are right now. It's fun.
context: But, why did you have to change your attitude towards me?!\If I'm not acting elegant, am I that worthless?!\I hate you! Don't touch me!\I'm sorry.\Am I really that weird?\If I'm not the model student, am I really without any value?\Not at all.\I like you the way you are right now. It's fun. response:	Sorry, I didn't mean it that way.
context: If I'm not acting elegant, am I that worthless?!\I hate you! Don't touch me!\I'm sorry.\Am I really that weird?\If I'm not the model student, am I really without any value?\Not at all.\I like you the way you are right now. It's fun.\Sorry, I didn't mean it that way. response:	I never intended to tell
context: I hate you! Don't touch me!\I'm sorry.\Am I really that weird?\If I'm not the model student, am I really without any value?\Not at all.\I like you the way you are right now. It's fun.\Sorry, I didn't mean it that way.\I never intended to tell response:	anyone from the start.
context: I'm sorry.\Am I really that weird?\If I'm not the model student, am I really without any value?\Not at all.\I like you the way you are right now. It's fun.\Sorry, I didn't mean it that way.\I never intended to tell\anyone from the start. response:	I didn't want to seriously use you...
context: Am I really that weird?\If I'm not the model student, am I really without any value?\Not at all.\I like you the way you are right now. It's fun.\Sorry, I didn't mean it that way.\I never intended to tell\anyone from the start.\I didn't want to seriously use you... response:	I just wanted a reason.
context: If I'm not the model student, am I really without any value?\Not at all.\I like you the way you are right now. It's fun.\Sorry, I didn't mean it that way.\I never intended to tell\anyone from the start.\I didn't want to seriously use you...\I just wanted a reason. response:	A reason to talk with you.
context: Not at all.\I like you the way you are right now. It's fun.\Sorry, I didn't mean it that way.\I never intended to tell\anyone from the start.\I didn't want to seriously use you...\I just wanted a reason.\A reason to talk with you. response:	I thought it would be fun...
context: I like you the way you are right now. It's fun.\Sorry, I didn't mean it that way.\I never intended to tell\anyone from the start.\I didn't want to seriously use you...\I just wanted a reason.\A reason to talk with you.\I thought it would be fun... response:	It was fun!
context: Sorry, I didn't mean it that way.\I never intended to tell\anyone from the start.\I didn't want to seriously use you...\I just wanted a reason.\A reason to talk with you.\I thought it would be fun...\It was fun! response:	I've never talked with anyone like that before.
context: I never intended to tell\anyone from the start.\I didn't want to seriously use you...\I just wanted a reason.\A reason to talk with you.\I thought it would be fun...\It was fun!\I've never talked with anyone like that before. response:	But I never thought it was hurting you.
context: anyone from the start.\I didn't want to seriously use you...\I just wanted a reason.\A reason to talk with you.\I thought it would be fun...\It was fun!\I've never talked with anyone like that before.\But I never thought it was hurting you. response:	I'm sorry. I won't ask you to help any more.
context: I didn't want to seriously use you...\I just wanted a reason.\A reason to talk with you.\I thought it would be fun...\It was fun!\I've never talked with anyone like that before.\But I never thought it was hurting you.\I'm sorry. I won't ask you to help any more. response:	So that's it.
context: I just wanted a reason.\A reason to talk with you.\I thought it would be fun...\It was fun!\I've never talked with anyone like that before.\But I never thought it was hurting you.\I'm sorry. I won't ask you to help any more.\So that's it. response:	So it wasn't that he didn't care about me...
context: A reason to talk with you.\I thought it would be fun...\It was fun!\I've never talked with anyone like that before.\But I never thought it was hurting you.\I'm sorry. I won't ask you to help any more.\So that's it.\So it wasn't that he didn't care about me... response:	I'm glad. I guess I had a good cry.
context: I thought it would be fun...\It was fun!\I've never talked with anyone like that before.\But I never thought it was hurting you.\I'm sorry. I won't ask you to help any more.\So that's it.\So it wasn't that he didn't care about me...\I'm glad. I guess I had a good cry. response:	From that day on, Arima and I
context: It was fun!\I've never talked with anyone like that before.\But I never thought it was hurting you.\I'm sorry. I won't ask you to help any more.\So that's it.\So it wasn't that he didn't care about me...\I'm glad. I guess I had a good cry.\From that day on, Arima and I response:	became companions,
context: I've never talked with anyone like that before.\But I never thought it was hurting you.\I'm sorry. I won't ask you to help any more.\So that's it.\So it wasn't that he didn't care about me...\I'm glad. I guess I had a good cry.\From that day on, Arima and I\became companions, response:	sharing the same secret.
context: But I never thought it was hurting you.\I'm sorry. I won't ask you to help any more.\So that's it.\So it wasn't that he didn't care about me...\I'm glad. I guess I had a good cry.\From that day on, Arima and I\became companions,\sharing the same secret. response:	So, you're an only child?
context: I'm sorry. I won't ask you to help any more.\So that's it.\So it wasn't that he didn't care about me...\I'm glad. I guess I had a good cry.\From that day on, Arima and I\became companions,\sharing the same secret.\So, you're an only child? response:	Somehow it figures. *She's helping out after all*
context: So that's it.\So it wasn't that he didn't care about me...\I'm glad. I guess I had a good cry.\From that day on, Arima and I\became companions,\sharing the same secret.\So, you're an only child?\Somehow it figures. *She's helping out after all* response:	And you?
context: So it wasn't that he didn't care about me...\I'm glad. I guess I had a good cry.\From that day on, Arima and I\became companions,\sharing the same secret.\So, you're an only child?\Somehow it figures. *She's helping out after all*\And you? response:	I've got two little sisters.
context: I'm glad. I guess I had a good cry.\From that day on, Arima and I\became companions,\sharing the same secret.\So, you're an only child?\Somehow it figures. *She's helping out after all*\And you?\I've got two little sisters. response:	Are your sisters cute?
context: From that day on, Arima and I\became companions,\sharing the same secret.\So, you're an only child?\Somehow it figures. *She's helping out after all*\And you?\I've got two little sisters.\Are your sisters cute? response:	Well, to be totally accurate,
context: became companions,\sharing the same secret.\So, you're an only child?\Somehow it figures. *She's helping out after all*\And you?\I've got two little sisters.\Are your sisters cute?\Well, to be totally accurate, response:	Arima may have misunderstood a bit...
context: sharing the same secret.\So, you're an only child?\Somehow it figures. *She's helping out after all*\And you?\I've got two little sisters.\Are your sisters cute?\Well, to be totally accurate,\Arima may have misunderstood a bit... response:	Yeah, they're super obnoxious and SO cute!
context: So, you're an only child?\Somehow it figures. *She's helping out after all*\And you?\I've got two little sisters.\Are your sisters cute?\Well, to be totally accurate,\Arima may have misunderstood a bit...\Yeah, they're super obnoxious and SO cute! response:	I'll show them to you sometime!
context: Somehow it figures. *She's helping out after all*\And you?\I've got two little sisters.\Are your sisters cute?\Well, to be totally accurate,\Arima may have misunderstood a bit...\Yeah, they're super obnoxious and SO cute!\I'll show them to you sometime! response:	Obnoxious and cute? Oh, well.
context: And you?\I've got two little sisters.\Are your sisters cute?\Well, to be totally accurate,\Arima may have misunderstood a bit...\Yeah, they're super obnoxious and SO cute!\I'll show them to you sometime!\Obnoxious and cute? Oh, well. response:	He thinks I snapped because I was being overworked.
context: I've got two little sisters.\Are your sisters cute?\Well, to be totally accurate,\Arima may have misunderstood a bit...\Yeah, they're super obnoxious and SO cute!\I'll show them to you sometime!\Obnoxious and cute? Oh, well.\He thinks I snapped because I was being overworked. response:	Well, that's okay.
context: Are your sisters cute?\Well, to be totally accurate,\Arima may have misunderstood a bit...\Yeah, they're super obnoxious and SO cute!\I'll show them to you sometime!\Obnoxious and cute? Oh, well.\He thinks I snapped because I was being overworked.\Well, that's okay. response:	At any rate, I now know that
context: Well, to be totally accurate,\Arima may have misunderstood a bit...\Yeah, they're super obnoxious and SO cute!\I'll show them to you sometime!\Obnoxious and cute? Oh, well.\He thinks I snapped because I was being overworked.\Well, that's okay.\At any rate, I now know that response:	I'm something special to Arima...
context: Arima may have misunderstood a bit...\Yeah, they're super obnoxious and SO cute!\I'll show them to you sometime!\Obnoxious and cute? Oh, well.\He thinks I snapped because I was being overworked.\Well, that's okay.\At any rate, I now know that\I'm something special to Arima... response:	Even if it's not love.
context: Yeah, they're super obnoxious and SO cute!\I'll show them to you sometime!\Obnoxious and cute? Oh, well.\He thinks I snapped because I was being overworked.\Well, that's okay.\At any rate, I now know that\I'm something special to Arima...\Even if it's not love. response:	But you really had me going, you know.
context: I'll show them to you sometime!\Obnoxious and cute? Oh, well.\He thinks I snapped because I was being overworked.\Well, that's okay.\At any rate, I now know that\I'm something special to Arima...\Even if it's not love.\But you really had me going, you know. response:	I didn't know you were
context: Obnoxious and cute? Oh, well.\He thinks I snapped because I was being overworked.\Well, that's okay.\At any rate, I now know that\I'm something special to Arima...\Even if it's not love.\But you really had me going, you know.\I didn't know you were response:	Like this either.
context: He thinks I snapped because I was being overworked.\Well, that's okay.\At any rate, I now know that\I'm something special to Arima...\Even if it's not love.\But you really had me going, you know.\I didn't know you were\Like this either. response:	Yeah...
context: Well, that's okay.\At any rate, I now know that\I'm something special to Arima...\Even if it's not love.\But you really had me going, you know.\I didn't know you were\Like this either.\Yeah... response:	I'm surprised myseIf.
