context: It's not fair to control an innocent boy's mind against his will! response:	As long as the moon shines in the night sky,
context: That's Zoisite!\Oh, no! Urawa's being attacked!\Both of you, transform now!\Moon Prism Power Makeup!\Mercury Power Makeup!\Stop right there!\Zoisite!\As long as the moon hangs in the night sky, response:	I will not overlook any evil deed!
context: Oh, no! Urawa's being attacked!\Both of you, transform now!\Moon Prism Power Makeup!\Mercury Power Makeup!\Stop right there!\Zoisite!\As long as the moon hangs in the night sky,\I will not overlook any evil deed! response:	I'm the sailor warrior of love and justice, Sailor Moon!
context: Both of you, transform now!\Moon Prism Power Makeup!\Mercury Power Makeup!\Stop right there!\Zoisite!\As long as the moon hangs in the night sky,\I will not overlook any evil deed!\I'm the sailor warrior of love and justice, Sailor Moon! response:	Likewise, Sailor Mercury!
context: Moon Prism Power Makeup!\Mercury Power Makeup!\Stop right there!\Zoisite!\As long as the moon hangs in the night sky,\I will not overlook any evil deed!\I'm the sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mercury! response:	We have arrived!
context: Mercury Power Makeup!\Stop right there!\Zoisite!\As long as the moon hangs in the night sky,\I will not overlook any evil deed!\I'm the sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mercury!\We have arrived! response:	Are you planning to stop me?
context: Stop right there!\Zoisite!\As long as the moon hangs in the night sky,\I will not overlook any evil deed!\I'm the sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mercury!\We have arrived!\Are you planning to stop me? response:	Mercury, take Urawa somewhere safe.
context: Zoisite!\As long as the moon hangs in the night sky,\I will not overlook any evil deed!\I'm the sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mercury!\We have arrived!\Are you planning to stop me?\Mercury, take Urawa somewhere safe. response:	Okay!
context: As long as the moon hangs in the night sky,\I will not overlook any evil deed!\I'm the sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mercury!\We have arrived!\Are you planning to stop me?\Mercury, take Urawa somewhere safe.\Okay! response:	I don't have time to play with you.
context: I will not overlook any evil deed!\I'm the sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mercury!\We have arrived!\Are you planning to stop me?\Mercury, take Urawa somewhere safe.\Okay!\I don't have time to play with you. response:	Zoi!
context: I'm the sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mercury!\We have arrived!\Are you planning to stop me?\Mercury, take Urawa somewhere safe.\Okay!\I don't have time to play with you.\Zoi! response:	Huh? What the?
context: Likewise, Sailor Mercury!\We have arrived!\Are you planning to stop me?\Mercury, take Urawa somewhere safe.\Okay!\I don't have time to play with you.\Zoi!\Huh? What the? response:	I think we've come far enough that we'll be safe here.
context: We have arrived!\Are you planning to stop me?\Mercury, take Urawa somewhere safe.\Okay!\I don't have time to play with you.\Zoi!\Huh? What the?\I think we've come far enough that we'll be safe here. response:	Thank you for rescuing me, Miss Mizuno.
context: Are you planning to stop me?\Mercury, take Urawa somewhere safe.\Okay!\I don't have time to play with you.\Zoi!\Huh? What the?\I think we've come far enough that we'll be safe here.\Thank you for rescuing me, Miss Mizuno. response:	What?!
context: Mercury, take Urawa somewhere safe.\Okay!\I don't have time to play with you.\Zoi!\Huh? What the?\I think we've come far enough that we'll be safe here.\Thank you for rescuing me, Miss Mizuno.\What?! response:	Why does he know my name?
context: Okay!\I don't have time to play with you.\Zoi!\Huh? What the?\I think we've come far enough that we'll be safe here.\Thank you for rescuing me, Miss Mizuno.\What?!\Why does he know my name? response:	Oh, how far did Mercury go?
context: I don't have time to play with you.\Zoi!\Huh? What the?\I think we've come far enough that we'll be safe here.\Thank you for rescuing me, Miss Mizuno.\What?!\Why does he know my name?\Oh, how far did Mercury go? response:	Hey, Sailor Moon!
context: Zoi!\Huh? What the?\I think we've come far enough that we'll be safe here.\Thank you for rescuing me, Miss Mizuno.\What?!\Why does he know my name?\Oh, how far did Mercury go?\Hey, Sailor Moon! response:	If you use the Crescent Moon Wand,
context: Huh? What the?\I think we've come far enough that we'll be safe here.\Thank you for rescuing me, Miss Mizuno.\What?!\Why does he know my name?\Oh, how far did Mercury go?\Hey, Sailor Moon!\If you use the Crescent Moon Wand, response:	you'll be able to find both Urawa and Sailor Mercury.
context: I think we've come far enough that we'll be safe here.\Thank you for rescuing me, Miss Mizuno.\What?!\Why does he know my name?\Oh, how far did Mercury go?\Hey, Sailor Moon!\If you use the Crescent Moon Wand,\you'll be able to find both Urawa and Sailor Mercury. response:	They'll definitely be where it responds!
context: Thank you for rescuing me, Miss Mizuno.\What?!\Why does he know my name?\Oh, how far did Mercury go?\Hey, Sailor Moon!\If you use the Crescent Moon Wand,\you'll be able to find both Urawa and Sailor Mercury.\They'll definitely be where it responds! response:	What are you saying?!
context: What?!\Why does he know my name?\Oh, how far did Mercury go?\Hey, Sailor Moon!\If you use the Crescent Moon Wand,\you'll be able to find both Urawa and Sailor Mercury.\They'll definitely be where it responds!\What are you saying?! response:	That's like saying Urawa is a rainbow crystal monster!
context: Why does he know my name?\Oh, how far did Mercury go?\Hey, Sailor Moon!\If you use the Crescent Moon Wand,\you'll be able to find both Urawa and Sailor Mercury.\They'll definitely be where it responds!\What are you saying?!\That's like saying Urawa is a rainbow crystal monster! response:	He is!
context: Oh, how far did Mercury go?\Hey, Sailor Moon!\If you use the Crescent Moon Wand,\you'll be able to find both Urawa and Sailor Mercury.\They'll definitely be where it responds!\What are you saying?!\That's like saying Urawa is a rainbow crystal monster!\He is! response:	What?!
context: Hey, Sailor Moon!\If you use the Crescent Moon Wand,\you'll be able to find both Urawa and Sailor Mercury.\They'll definitely be where it responds!\What are you saying?!\That's like saying Urawa is a rainbow crystal monster!\He is!\What?! response:	If you don't hurry, Sailor Mercury will be in danger.
context: If you use the Crescent Moon Wand,\you'll be able to find both Urawa and Sailor Mercury.\They'll definitely be where it responds!\What are you saying?!\That's like saying Urawa is a rainbow crystal monster!\He is!\What?!\If you don't hurry, Sailor Mercury will be in danger. response:	Are you sure about this?
context: you'll be able to find both Urawa and Sailor Mercury.\They'll definitely be where it responds!\What are you saying?!\That's like saying Urawa is a rainbow crystal monster!\He is!\What?!\If you don't hurry, Sailor Mercury will be in danger.\Are you sure about this? response:	Positive!
context: They'll definitely be where it responds!\What are you saying?!\That's like saying Urawa is a rainbow crystal monster!\He is!\What?!\If you don't hurry, Sailor Mercury will be in danger.\Are you sure about this?\Positive! response:	Oh?
context: What are you saying?!\That's like saying Urawa is a rainbow crystal monster!\He is!\What?!\If you don't hurry, Sailor Mercury will be in danger.\Are you sure about this?\Positive!\Oh? response:	It's a picture of me.
context: That's like saying Urawa is a rainbow crystal monster!\He is!\What?!\If you don't hurry, Sailor Mercury will be in danger.\Are you sure about this?\Positive!\Oh?\It's a picture of me. response:	It happened again.
context: He is!\What?!\If you don't hurry, Sailor Mercury will be in danger.\Are you sure about this?\Positive!\Oh?\It's a picture of me.\It happened again. response:	It seems like you were having a bad dream.
context: What?!\If you don't hurry, Sailor Mercury will be in danger.\Are you sure about this?\Positive!\Oh?\It's a picture of me.\It happened again.\It seems like you were having a bad dream. response:	It was not a dream. I was seeing what would happen in the future.
context: If you don't hurry, Sailor Mercury will be in danger.\Are you sure about this?\Positive!\Oh?\It's a picture of me.\It happened again.\It seems like you were having a bad dream.\It was not a dream. I was seeing what would happen in the future. response:	What?!
context: Are you sure about this?\Positive!\Oh?\It's a picture of me.\It happened again.\It seems like you were having a bad dream.\It was not a dream. I was seeing what would happen in the future.\What?! response:	I have a strange power that allows me to predict the future.
context: Positive!\Oh?\It's a picture of me.\It happened again.\It seems like you were having a bad dream.\It was not a dream. I was seeing what would happen in the future.\What?!\I have a strange power that allows me to predict the future. response:	That's why I was able to get perfect scores on those exams.
context: Oh?\It's a picture of me.\It happened again.\It seems like you were having a bad dream.\It was not a dream. I was seeing what would happen in the future.\What?!\I have a strange power that allows me to predict the future.\That's why I was able to get perfect scores on those exams. response:	What are you talking about?
context: It's a picture of me.\It happened again.\It seems like you were having a bad dream.\It was not a dream. I was seeing what would happen in the future.\What?!\I have a strange power that allows me to predict the future.\That's why I was able to get perfect scores on those exams.\What are you talking about? response:	You don't need to hide it from me, Miss Mizuno.
context: It happened again.\It seems like you were having a bad dream.\It was not a dream. I was seeing what would happen in the future.\What?!\I have a strange power that allows me to predict the future.\That's why I was able to get perfect scores on those exams.\What are you talking about?\You don't need to hide it from me, Miss Mizuno. response:	I have idolized you for a long time now,
context: It seems like you were having a bad dream.\It was not a dream. I was seeing what would happen in the future.\What?!\I have a strange power that allows me to predict the future.\That's why I was able to get perfect scores on those exams.\What are you talking about?\You don't need to hide it from me, Miss Mizuno.\I have idolized you for a long time now, response:	but we are fated to fight one another!
context: It was not a dream. I was seeing what would happen in the future.\What?!\I have a strange power that allows me to predict the future.\That's why I was able to get perfect scores on those exams.\What are you talking about?\You don't need to hide it from me, Miss Mizuno.\I have idolized you for a long time now,\but we are fated to fight one another! response:	You don't believe me?
context: What?!\I have a strange power that allows me to predict the future.\That's why I was able to get perfect scores on those exams.\What are you talking about?\You don't need to hide it from me, Miss Mizuno.\I have idolized you for a long time now,\but we are fated to fight one another!\You don't believe me? response:	Well, I don't know.
context: I have a strange power that allows me to predict the future.\That's why I was able to get perfect scores on those exams.\What are you talking about?\You don't need to hide it from me, Miss Mizuno.\I have idolized you for a long time now,\but we are fated to fight one another!\You don't believe me?\Well, I don't know. response:	Because everything you've said is completely off the mark.
context: That's why I was able to get perfect scores on those exams.\What are you talking about?\You don't need to hide it from me, Miss Mizuno.\I have idolized you for a long time now,\but we are fated to fight one another!\You don't believe me?\Well, I don't know.\Because everything you've said is completely off the mark. response:	And you're mistaking me for Miss Mizuno.
context: What are you talking about?\You don't need to hide it from me, Miss Mizuno.\I have idolized you for a long time now,\but we are fated to fight one another!\You don't believe me?\Well, I don't know.\Because everything you've said is completely off the mark.\And you're mistaking me for Miss Mizuno. response:	I see. If you say so, I will leave it at that, but...
context: You don't need to hide it from me, Miss Mizuno.\I have idolized you for a long time now,\but we are fated to fight one another!\You don't believe me?\Well, I don't know.\Because everything you've said is completely off the mark.\And you're mistaking me for Miss Mizuno.\I see. If you say so, I will leave it at that, but... response:	But what?
context: I have idolized you for a long time now,\but we are fated to fight one another!\You don't believe me?\Well, I don't know.\Because everything you've said is completely off the mark.\And you're mistaking me for Miss Mizuno.\I see. If you say so, I will leave it at that, but...\But what? response:	If I turn into a monster,
context: but we are fated to fight one another!\You don't believe me?\Well, I don't know.\Because everything you've said is completely off the mark.\And you're mistaking me for Miss Mizuno.\I see. If you say so, I will leave it at that, but...\But what?\If I turn into a monster, response:	please do not hesitate to kill me!
context: You don't believe me?\Well, I don't know.\Because everything you've said is completely off the mark.\And you're mistaking me for Miss Mizuno.\I see. If you say so, I will leave it at that, but...\But what?\If I turn into a monster,\please do not hesitate to kill me! response:	Because that, at least, seems to be real.
context: Well, I don't know.\Because everything you've said is completely off the mark.\And you're mistaking me for Miss Mizuno.\I see. If you say so, I will leave it at that, but...\But what?\If I turn into a monster,\please do not hesitate to kill me!\Because that, at least, seems to be real. response:	Urawa, the future is yours to create!
context: Because everything you've said is completely off the mark.\And you're mistaking me for Miss Mizuno.\I see. If you say so, I will leave it at that, but...\But what?\If I turn into a monster,\please do not hesitate to kill me!\Because that, at least, seems to be real.\Urawa, the future is yours to create! response:	If you give up, everything will happen just as you think it will.
context: And you're mistaking me for Miss Mizuno.\I see. If you say so, I will leave it at that, but...\But what?\If I turn into a monster,\please do not hesitate to kill me!\Because that, at least, seems to be real.\Urawa, the future is yours to create!\If you give up, everything will happen just as you think it will. response:	But as long as you have faith in yourself,
context: I see. If you say so, I will leave it at that, but...\But what?\If I turn into a monster,\please do not hesitate to kill me!\Because that, at least, seems to be real.\Urawa, the future is yours to create!\If you give up, everything will happen just as you think it will.\But as long as you have faith in yourself, response:	you should be able to create any future for yourself.
context: But what?\If I turn into a monster,\please do not hesitate to kill me!\Because that, at least, seems to be real.\Urawa, the future is yours to create!\If you give up, everything will happen just as you think it will.\But as long as you have faith in yourself,\you should be able to create any future for yourself. response:	Miss Mizuno... No...
context: If I turn into a monster,\please do not hesitate to kill me!\Because that, at least, seems to be real.\Urawa, the future is yours to create!\If you give up, everything will happen just as you think it will.\But as long as you have faith in yourself,\you should be able to create any future for yourself.\Miss Mizuno... No... response:	Sailor Mercury...
context: please do not hesitate to kill me!\Because that, at least, seems to be real.\Urawa, the future is yours to create!\If you give up, everything will happen just as you think it will.\But as long as you have faith in yourself,\you should be able to create any future for yourself.\Miss Mizuno... No...\Sailor Mercury... response:	My, my, what an open display of affection.
context: Because that, at least, seems to be real.\Urawa, the future is yours to create!\If you give up, everything will happen just as you think it will.\But as long as you have faith in yourself,\you should be able to create any future for yourself.\Miss Mizuno... No...\Sailor Mercury...\My, my, what an open display of affection. response:	Do you think you can get away from the Black Crystal?
context: Urawa, the future is yours to create!\If you give up, everything will happen just as you think it will.\But as long as you have faith in yourself,\you should be able to create any future for yourself.\Miss Mizuno... No...\Sailor Mercury...\My, my, what an open display of affection.\Do you think you can get away from the Black Crystal? response:	Zoisite!
context: If you give up, everything will happen just as you think it will.\But as long as you have faith in yourself,\you should be able to create any future for yourself.\Miss Mizuno... No...\Sailor Mercury...\My, my, what an open display of affection.\Do you think you can get away from the Black Crystal?\Zoisite! response:	Oh, you're so protective.
context: But as long as you have faith in yourself,\you should be able to create any future for yourself.\Miss Mizuno... No...\Sailor Mercury...\My, my, what an open display of affection.\Do you think you can get away from the Black Crystal?\Zoisite!\Oh, you're so protective. response:	But I wonder if you'll still do the same
context: you should be able to create any future for yourself.\Miss Mizuno... No...\Sailor Mercury...\My, my, what an open display of affection.\Do you think you can get away from the Black Crystal?\Zoisite!\Oh, you're so protective.\But I wonder if you'll still do the same response:	when you see the boy's true form?
context: Miss Mizuno... No...\Sailor Mercury...\My, my, what an open display of affection.\Do you think you can get away from the Black Crystal?\Zoisite!\Oh, you're so protective.\But I wonder if you'll still do the same\when you see the boy's true form? response:	Urawa!
context: Sailor Mercury...\My, my, what an open display of affection.\Do you think you can get away from the Black Crystal?\Zoisite!\Oh, you're so protective.\But I wonder if you'll still do the same\when you see the boy's true form?\Urawa! response:	Look very carefully!
context: My, my, what an open display of affection.\Do you think you can get away from the Black Crystal?\Zoisite!\Oh, you're so protective.\But I wonder if you'll still do the same\when you see the boy's true form?\Urawa!\Look very carefully! response:	At the monster Bunbo, one of the great Seven monsters.
context: Do you think you can get away from the Black Crystal?\Zoisite!\Oh, you're so protective.\But I wonder if you'll still do the same\when you see the boy's true form?\Urawa!\Look very carefully!\At the monster Bunbo, one of the great Seven monsters. response:	Go, monster Bunbo! Defeat that sailor warrior!
context: Zoisite!\Oh, you're so protective.\But I wonder if you'll still do the same\when you see the boy's true form?\Urawa!\Look very carefully!\At the monster Bunbo, one of the great Seven monsters.\Go, monster Bunbo! Defeat that sailor warrior! response:	Urawa...
context: Oh, you're so protective.\But I wonder if you'll still do the same\when you see the boy's true form?\Urawa!\Look very carefully!\At the monster Bunbo, one of the great Seven monsters.\Go, monster Bunbo! Defeat that sailor warrior!\Urawa... response:	Bunbo!
context: But I wonder if you'll still do the same\when you see the boy's true form?\Urawa!\Look very carefully!\At the monster Bunbo, one of the great Seven monsters.\Go, monster Bunbo! Defeat that sailor warrior!\Urawa...\Bunbo! response:	Urawa...
context: when you see the boy's true form?\Urawa!\Look very carefully!\At the monster Bunbo, one of the great Seven monsters.\Go, monster Bunbo! Defeat that sailor warrior!\Urawa...\Bunbo!\Urawa... response:	The future is yours to create!
context: Urawa!\Look very carefully!\At the monster Bunbo, one of the great Seven monsters.\Go, monster Bunbo! Defeat that sailor warrior!\Urawa...\Bunbo!\Urawa...\The future is yours to create! response:	Bunbo!
context: Look very carefully!\At the monster Bunbo, one of the great Seven monsters.\Go, monster Bunbo! Defeat that sailor warrior!\Urawa...\Bunbo!\Urawa...\The future is yours to create!\Bunbo! response:	This guy still has the heart of human!
context: At the monster Bunbo, one of the great Seven monsters.\Go, monster Bunbo! Defeat that sailor warrior!\Urawa...\Bunbo!\Urawa...\The future is yours to create!\Bunbo!\This guy still has the heart of human! response:	Monster Bunbo, your opponent is the sailor warrior!
context: Go, monster Bunbo! Defeat that sailor warrior!\Urawa...\Bunbo!\Urawa...\The future is yours to create!\Bunbo!\This guy still has the heart of human!\Monster Bunbo, your opponent is the sailor warrior! response:	Now, get the rainbow crystal back from her!
context: Urawa...\Bunbo!\Urawa...\The future is yours to create!\Bunbo!\This guy still has the heart of human!\Monster Bunbo, your opponent is the sailor warrior!\Now, get the rainbow crystal back from her! response:	Bunbo!
context: Bunbo!\Urawa...\The future is yours to create!\Bunbo!\This guy still has the heart of human!\Monster Bunbo, your opponent is the sailor warrior!\Now, get the rainbow crystal back from her!\Bunbo! response:	Zoisite!
context: Urawa...\The future is yours to create!\Bunbo!\This guy still has the heart of human!\Monster Bunbo, your opponent is the sailor warrior!\Now, get the rainbow crystal back from her!\Bunbo!\Zoisite! response:	It's not fair to control an innocent boy's mind against his will!
context: The future is yours to create!\Bunbo!\This guy still has the heart of human!\Monster Bunbo, your opponent is the sailor warrior!\Now, get the rainbow crystal back from her!\Bunbo!\Zoisite!\It's not fair to control an innocent boy's mind against his will! response:	I think you're misunderstanding! That is the boy's true form!
context: Bunbo!\This guy still has the heart of human!\Monster Bunbo, your opponent is the sailor warrior!\Now, get the rainbow crystal back from her!\Bunbo!\Zoisite!\It's not fair to control an innocent boy's mind against his will!\I think you're misunderstanding! That is the boy's true form! response:	Unforgivable! You'll never get away with it!
context: This guy still has the heart of human!\Monster Bunbo, your opponent is the sailor warrior!\Now, get the rainbow crystal back from her!\Bunbo!\Zoisite!\It's not fair to control an innocent boy's mind against his will!\I think you're misunderstanding! That is the boy's true form!\Unforgivable! You'll never get away with it! response:	In the name of the moon, I will punish you!
context: Monster Bunbo, your opponent is the sailor warrior!\Now, get the rainbow crystal back from her!\Bunbo!\Zoisite!\It's not fair to control an innocent boy's mind against his will!\I think you're misunderstanding! That is the boy's true form!\Unforgivable! You'll never get away with it!\In the name of the moon, I will punish you! response:	Sailor Moon! Please turn Urawa back into himself first!
context: Now, get the rainbow crystal back from her!\Bunbo!\Zoisite!\It's not fair to control an innocent boy's mind against his will!\I think you're misunderstanding! That is the boy's true form!\Unforgivable! You'll never get away with it!\In the name of the moon, I will punish you!\Sailor Moon! Please turn Urawa back into himself first! response:	Okay!
context: Bunbo!\Zoisite!\It's not fair to control an innocent boy's mind against his will!\I think you're misunderstanding! That is the boy's true form!\Unforgivable! You'll never get away with it!\In the name of the moon, I will punish you!\Sailor Moon! Please turn Urawa back into himself first!\Okay! response:	Moon Healing Escalation!
context: Zoisite!\It's not fair to control an innocent boy's mind against his will!\I think you're misunderstanding! That is the boy's true form!\Unforgivable! You'll never get away with it!\In the name of the moon, I will punish you!\Sailor Moon! Please turn Urawa back into himself first!\Okay!\Moon Healing Escalation! response:	Bunbo!
context: It's not fair to control an innocent boy's mind against his will!\I think you're misunderstanding! That is the boy's true form!\Unforgivable! You'll never get away with it!\In the name of the moon, I will punish you!\Sailor Moon! Please turn Urawa back into himself first!\Okay!\Moon Healing Escalation!\Bunbo! response:	Why didn't he change back?!
context: I think you're misunderstanding! That is the boy's true form!\Unforgivable! You'll never get away with it!\In the name of the moon, I will punish you!\Sailor Moon! Please turn Urawa back into himself first!\Okay!\Moon Healing Escalation!\Bunbo!\Why didn't he change back?! response:	It's no use, Sailor Moon!
context: Unforgivable! You'll never get away with it!\In the name of the moon, I will punish you!\Sailor Moon! Please turn Urawa back into himself first!\Okay!\Moon Healing Escalation!\Bunbo!\Why didn't he change back?!\It's no use, Sailor Moon! response:	He's completely being controlled by the evil power right now!
context: In the name of the moon, I will punish you!\Sailor Moon! Please turn Urawa back into himself first!\Okay!\Moon Healing Escalation!\Bunbo!\Why didn't he change back?!\It's no use, Sailor Moon!\He's completely being controlled by the evil power right now! response:	To restore him, you need to weaken his energy first!
context: Sailor Moon! Please turn Urawa back into himself first!\Okay!\Moon Healing Escalation!\Bunbo!\Why didn't he change back?!\It's no use, Sailor Moon!\He's completely being controlled by the evil power right now!\To restore him, you need to weaken his energy first! response:	We just have to do it, Sailor Moon!
context: Okay!\Moon Healing Escalation!\Bunbo!\Why didn't he change back?!\It's no use, Sailor Moon!\He's completely being controlled by the evil power right now!\To restore him, you need to weaken his energy first!\We just have to do it, Sailor Moon! response:	If I turn into a monster, please do not hesitate to kill me!
context: Moon Healing Escalation!\Bunbo!\Why didn't he change back?!\It's no use, Sailor Moon!\He's completely being controlled by the evil power right now!\To restore him, you need to weaken his energy first!\We just have to do it, Sailor Moon!\If I turn into a monster, please do not hesitate to kill me! response:	Don't worry, Urawa.
context: Bunbo!\Why didn't he change back?!\It's no use, Sailor Moon!\He's completely being controlled by the evil power right now!\To restore him, you need to weaken his energy first!\We just have to do it, Sailor Moon!\If I turn into a monster, please do not hesitate to kill me!\Don't worry, Urawa. response:	We'll make sure to restore you to your old self.
context: Why didn't he change back?!\It's no use, Sailor Moon!\He's completely being controlled by the evil power right now!\To restore him, you need to weaken his energy first!\We just have to do it, Sailor Moon!\If I turn into a monster, please do not hesitate to kill me!\Don't worry, Urawa.\We'll make sure to restore you to your old self. response:	Bunbo!
context: It's no use, Sailor Moon!\He's completely being controlled by the evil power right now!\To restore him, you need to weaken his energy first!\We just have to do it, Sailor Moon!\If I turn into a monster, please do not hesitate to kill me!\Don't worry, Urawa.\We'll make sure to restore you to your old self.\Bunbo! response:	Bunbo!
context: He's completely being controlled by the evil power right now!\To restore him, you need to weaken his energy first!\We just have to do it, Sailor Moon!\If I turn into a monster, please do not hesitate to kill me!\Don't worry, Urawa.\We'll make sure to restore you to your old self.\Bunbo!\Bunbo! response:	Fire
context: To restore him, you need to weaken his energy first!\We just have to do it, Sailor Moon!\If I turn into a monster, please do not hesitate to kill me!\Don't worry, Urawa.\We'll make sure to restore you to your old self.\Bunbo!\Bunbo!\Fire response:	Soul!
context: We just have to do it, Sailor Moon!\If I turn into a monster, please do not hesitate to kill me!\Don't worry, Urawa.\We'll make sure to restore you to your old self.\Bunbo!\Bunbo!\Fire\Soul! response:	Supreme
context: If I turn into a monster, please do not hesitate to kill me!\Don't worry, Urawa.\We'll make sure to restore you to your old self.\Bunbo!\Bunbo!\Fire\Soul!\Supreme response:	Thunder!
context: Don't worry, Urawa.\We'll make sure to restore you to your old self.\Bunbo!\Bunbo!\Fire\Soul!\Supreme\Thunder! response:	We almost missed our chance to be in the spotlight.
context: We'll make sure to restore you to your old self.\Bunbo!\Bunbo!\Fire\Soul!\Supreme\Thunder!\We almost missed our chance to be in the spotlight. response:	No kidding.
context: Bunbo!\Bunbo!\Fire\Soul!\Supreme\Thunder!\We almost missed our chance to be in the spotlight.\No kidding. response:	Bubble
context: Bunbo!\Fire\Soul!\Supreme\Thunder!\We almost missed our chance to be in the spotlight.\No kidding.\Bubble response:	Spray!
context: Fire\Soul!\Supreme\Thunder!\We almost missed our chance to be in the spotlight.\No kidding.\Bubble\Spray! response:	Sailor Moon, now's our chance! Hurry! Please help Urawa!
context: Soul!\Supreme\Thunder!\We almost missed our chance to be in the spotlight.\No kidding.\Bubble\Spray!\Sailor Moon, now's our chance! Hurry! Please help Urawa! response:	Moon Tiara Action!
context: Supreme\Thunder!\We almost missed our chance to be in the spotlight.\No kidding.\Bubble\Spray!\Sailor Moon, now's our chance! Hurry! Please help Urawa!\Moon Tiara Action! response:	Bunbo!
context: Thunder!\We almost missed our chance to be in the spotlight.\No kidding.\Bubble\Spray!\Sailor Moon, now's our chance! Hurry! Please help Urawa!\Moon Tiara Action!\Bunbo! response:	The monster's powers have been weakened! Now, Sailor Moon!
context: We almost missed our chance to be in the spotlight.\No kidding.\Bubble\Spray!\Sailor Moon, now's our chance! Hurry! Please help Urawa!\Moon Tiara Action!\Bunbo!\The monster's powers have been weakened! Now, Sailor Moon! response:	Moon Healing Escalation!
context: No kidding.\Bubble\Spray!\Sailor Moon, now's our chance! Hurry! Please help Urawa!\Moon Tiara Action!\Bunbo!\The monster's powers have been weakened! Now, Sailor Moon!\Moon Healing Escalation! response:	Refresh!
context: Bubble\Spray!\Sailor Moon, now's our chance! Hurry! Please help Urawa!\Moon Tiara Action!\Bunbo!\The monster's powers have been weakened! Now, Sailor Moon!\Moon Healing Escalation!\Refresh! response:	Urawa!
context: Spray!\Sailor Moon, now's our chance! Hurry! Please help Urawa!\Moon Tiara Action!\Bunbo!\The monster's powers have been weakened! Now, Sailor Moon!\Moon Healing Escalation!\Refresh!\Urawa! response:	Just you remember this!
context: Sailor Moon, now's our chance! Hurry! Please help Urawa!\Moon Tiara Action!\Bunbo!\The monster's powers have been weakened! Now, Sailor Moon!\Moon Healing Escalation!\Refresh!\Urawa!\Just you remember this! response:	Urawa, are you all right?
context: Moon Tiara Action!\Bunbo!\The monster's powers have been weakened! Now, Sailor Moon!\Moon Healing Escalation!\Refresh!\Urawa!\Just you remember this!\Urawa, are you all right? response:	Miss Mizuno...
context: Bunbo!\The monster's powers have been weakened! Now, Sailor Moon!\Moon Healing Escalation!\Refresh!\Urawa!\Just you remember this!\Urawa, are you all right?\Miss Mizuno... response:	So, the third rainbow crystal has gone to the sailor warriors.
context: The monster's powers have been weakened! Now, Sailor Moon!\Moon Healing Escalation!\Refresh!\Urawa!\Just you remember this!\Urawa, are you all right?\Miss Mizuno...\So, the third rainbow crystal has gone to the sailor warriors. response:	I will quietly take my leave for today.
context: Moon Healing Escalation!\Refresh!\Urawa!\Just you remember this!\Urawa, are you all right?\Miss Mizuno...\So, the third rainbow crystal has gone to the sailor warriors.\I will quietly take my leave for today. response:	You're transferring again? You sure don't settle down much.
context: Refresh!\Urawa!\Just you remember this!\Urawa, are you all right?\Miss Mizuno...\So, the third rainbow crystal has gone to the sailor warriors.\I will quietly take my leave for today.\You're transferring again? You sure don't settle down much. response:	Well, I have to go wherever my dad's work takes him.
context: Urawa!\Just you remember this!\Urawa, are you all right?\Miss Mizuno...\So, the third rainbow crystal has gone to the sailor warriors.\I will quietly take my leave for today.\You're transferring again? You sure don't settle down much.\Well, I have to go wherever my dad's work takes him. response:	So it can't be helped.
context: Just you remember this!\Urawa, are you all right?\Miss Mizuno...\So, the third rainbow crystal has gone to the sailor warriors.\I will quietly take my leave for today.\You're transferring again? You sure don't settle down much.\Well, I have to go wherever my dad's work takes him.\So it can't be helped. response:	And we'd just gotten to be friends, too.
context: Urawa, are you all right?\Miss Mizuno...\So, the third rainbow crystal has gone to the sailor warriors.\I will quietly take my leave for today.\You're transferring again? You sure don't settle down much.\Well, I have to go wherever my dad's work takes him.\So it can't be helped.\And we'd just gotten to be friends, too. response:	Um, Miss Mizuno...
context: Miss Mizuno...\So, the third rainbow crystal has gone to the sailor warriors.\I will quietly take my leave for today.\You're transferring again? You sure don't settle down much.\Well, I have to go wherever my dad's work takes him.\So it can't be helped.\And we'd just gotten to be friends, too.\Um, Miss Mizuno... response:	Ryo, you can just call me, Ami.
context: So, the third rainbow crystal has gone to the sailor warriors.\I will quietly take my leave for today.\You're transferring again? You sure don't settle down much.\Well, I have to go wherever my dad's work takes him.\So it can't be helped.\And we'd just gotten to be friends, too.\Um, Miss Mizuno...\Ryo, you can just call me, Ami. response:	Miss Ami, I want to return this to you.
context: I will quietly take my leave for today.\You're transferring again? You sure don't settle down much.\Well, I have to go wherever my dad's work takes him.\So it can't be helped.\And we'd just gotten to be friends, too.\Um, Miss Mizuno...\Ryo, you can just call me, Ami.\Miss Ami, I want to return this to you. response:	Oh, shoot! Miss Ami, I want to return this to you.
