context: We will now begin the 57th expedition beyond the walls! response:	Onward!
context: Don't be so serious...\This situation's got me a bit worked up, that's all.\What am I going to do?\Obey my orders, and keep Titans out of the forest.\You also think it's the right move, don't you?\Ah\You look like you know something.\Well... response:	Five-meter class incoming!
context: This situation's got me a bit worked up, that's all.\What am I going to do?\Obey my orders, and keep Titans out of the forest.\You also think it's the right move, don't you?\Ah\You look like you know something.\Well...\Five-meter class incoming! response:	Why bring the formation here?
context: What am I going to do?\Obey my orders, and keep Titans out of the forest.\You also think it's the right move, don't you?\Ah\You look like you know something.\Well...\Five-meter class incoming!\Why bring the formation here? response:	What is Commander Erwin thinking?
context: Obey my orders, and keep Titans out of the forest.\You also think it's the right move, don't you?\Ah\You look like you know something.\Well...\Five-meter class incoming!\Why bring the formation here?\What is Commander Erwin thinking? response:	No, that isn't what we should think about.
context: You also think it's the right move, don't you?\Ah\You look like you know something.\Well...\Five-meter class incoming!\Why bring the formation here?\What is Commander Erwin thinking?\No, that isn't what we should think about. response:	The Female Titan is pursuing Eren.
context: Ah\You look like you know something.\Well...\Five-meter class incoming!\Why bring the formation here?\What is Commander Erwin thinking?\No, that isn't what we should think about.\The Female Titan is pursuing Eren. response:	And the Commander knows that.
context: You look like you know something.\Well...\Five-meter class incoming!\Why bring the formation here?\What is Commander Erwin thinking?\No, that isn't what we should think about.\The Female Titan is pursuing Eren.\And the Commander knows that. response:	Assume those two things, and see what you can deduce...
context: Well...\Five-meter class incoming!\Why bring the formation here?\What is Commander Erwin thinking?\No, that isn't what we should think about.\The Female Titan is pursuing Eren.\And the Commander knows that.\Assume those two things, and see what you can deduce... response:	Captain...
context: Five-meter class incoming!\Why bring the formation here?\What is Commander Erwin thinking?\No, that isn't what we should think about.\The Female Titan is pursuing Eren.\And the Commander knows that.\Assume those two things, and see what you can deduce...\Captain... response:	Captain Levi!
context: Why bring the formation here?\What is Commander Erwin thinking?\No, that isn't what we should think about.\The Female Titan is pursuing Eren.\And the Commander knows that.\Assume those two things, and see what you can deduce...\Captain...\Captain Levi! response:	What?
context: What is Commander Erwin thinking?\No, that isn't what we should think about.\The Female Titan is pursuing Eren.\And the Commander knows that.\Assume those two things, and see what you can deduce...\Captain...\Captain Levi!\What? response:	Well...
context: No, that isn't what we should think about.\The Female Titan is pursuing Eren.\And the Commander knows that.\Assume those two things, and see what you can deduce...\Captain...\Captain Levi!\What?\Well... response:	We're in the middle of the woods!
context: The Female Titan is pursuing Eren.\And the Commander knows that.\Assume those two things, and see what you can deduce...\Captain...\Captain Levi!\What?\Well...\We're in the middle of the woods! response:	If the center enters alone,
context: And the Commander knows that.\Assume those two things, and see what you can deduce...\Captain...\Captain Levi!\What?\Well...\We're in the middle of the woods!\If the center enters alone, response:	we won't know if Titans are approaching!
context: Assume those two things, and see what you can deduce...\Captain...\Captain Levi!\What?\Well...\We're in the middle of the woods!\If the center enters alone,\we won't know if Titans are approaching! response:	It seems something's approaching us from the right...
context: Captain...\Captain Levi!\What?\Well...\We're in the middle of the woods!\If the center enters alone,\we won't know if Titans are approaching!\It seems something's approaching us from the right... response:	How are we supposed to dodge the Titans or protect the carts?
context: Captain Levi!\What?\Well...\We're in the middle of the woods!\If the center enters alone,\we won't know if Titans are approaching!\It seems something's approaching us from the right...\How are we supposed to dodge the Titans or protect the carts? response:	Don't go on and on about the obvious...
context: What?\Well...\We're in the middle of the woods!\If the center enters alone,\we won't know if Titans are approaching!\It seems something's approaching us from the right...\How are we supposed to dodge the Titans or protect the carts?\Don't go on and on about the obvious... response:	We can't do that anymore, of course.
context: Well...\We're in the middle of the woods!\If the center enters alone,\we won't know if Titans are approaching!\It seems something's approaching us from the right...\How are we supposed to dodge the Titans or protect the carts?\Don't go on and on about the obvious...\We can't do that anymore, of course. response:	Th-Then why?
context: We're in the middle of the woods!\If the center enters alone,\we won't know if Titans are approaching!\It seems something's approaching us from the right...\How are we supposed to dodge the Titans or protect the carts?\Don't go on and on about the obvious...\We can't do that anymore, of course.\Th-Then why? response:	Look around, Eren...
context: If the center enters alone,\we won't know if Titans are approaching!\It seems something's approaching us from the right...\How are we supposed to dodge the Titans or protect the carts?\Don't go on and on about the obvious...\We can't do that anymore, of course.\Th-Then why?\Look around, Eren... response:	At all these big-ass trees.
context: we won't know if Titans are approaching!\It seems something's approaching us from the right...\How are we supposed to dodge the Titans or protect the carts?\Don't go on and on about the obvious...\We can't do that anymore, of course.\Th-Then why?\Look around, Eren...\At all these big-ass trees. response:	It's the perfect environment for 3D Maneuver Gear.
context: It seems something's approaching us from the right...\How are we supposed to dodge the Titans or protect the carts?\Don't go on and on about the obvious...\We can't do that anymore, of course.\Th-Then why?\Look around, Eren...\At all these big-ass trees.\It's the perfect environment for 3D Maneuver Gear. response:	And try to use that tiny brain of yours...
context: How are we supposed to dodge the Titans or protect the carts?\Don't go on and on about the obvious...\We can't do that anymore, of course.\Th-Then why?\Look around, Eren...\At all these big-ass trees.\It's the perfect environment for 3D Maneuver Gear.\And try to use that tiny brain of yours... response:	If you don't want to die, think.
context: Don't go on and on about the obvious...\We can't do that anymore, of course.\Th-Then why?\Look around, Eren...\At all these big-ass trees.\It's the perfect environment for 3D Maneuver Gear.\And try to use that tiny brain of yours...\If you don't want to die, think. response:	Yes, sir!
context: We can't do that anymore, of course.\Th-Then why?\Look around, Eren...\At all these big-ass trees.\It's the perfect environment for 3D Maneuver Gear.\And try to use that tiny brain of yours...\If you don't want to die, think.\Yes, sir! response:	I see.
context: Th-Then why?\Look around, Eren...\At all these big-ass trees.\It's the perfect environment for 3D Maneuver Gear.\And try to use that tiny brain of yours...\If you don't want to die, think.\Yes, sir!\I see. response:	I just can't keep up right now because I'm still new.
context: Look around, Eren...\At all these big-ass trees.\It's the perfect environment for 3D Maneuver Gear.\And try to use that tiny brain of yours...\If you don't want to die, think.\Yes, sir!\I see.\I just can't keep up right now because I'm still new. response:	He won't just tell me the answer.
context: At all these big-ass trees.\It's the perfect environment for 3D Maneuver Gear.\And try to use that tiny brain of yours...\If you don't want to die, think.\Yes, sir!\I see.\I just can't keep up right now because I'm still new.\He won't just tell me the answer. response:	I have to figure it out for myself.
context: It's the perfect environment for 3D Maneuver Gear.\And try to use that tiny brain of yours...\If you don't want to die, think.\Yes, sir!\I see.\I just can't keep up right now because I'm still new.\He won't just tell me the answer.\I have to figure it out for myself. response:	I'm sure that's how they all learned to fight.
context: And try to use that tiny brain of yours...\If you don't want to die, think.\Yes, sir!\I see.\I just can't keep up right now because I'm still new.\He won't just tell me the answer.\I have to figure it out for myself.\I'm sure that's how they all learned to fight. response:	What the hell?
context: If you don't want to die, think.\Yes, sir!\I see.\I just can't keep up right now because I'm still new.\He won't just tell me the answer.\I have to figure it out for myself.\I'm sure that's how they all learned to fight.\What the hell? response:	Seriously?
context: Yes, sir!\I see.\I just can't keep up right now because I'm still new.\He won't just tell me the answer.\I have to figure it out for myself.\I'm sure that's how they all learned to fight.\What the hell?\Seriously? response:	Damn it all... What the hell is going on here?
context: I see.\I just can't keep up right now because I'm still new.\He won't just tell me the answer.\I have to figure it out for myself.\I'm sure that's how they all learned to fight.\What the hell?\Seriously?\Damn it all... What the hell is going on here? response:	Wait!
context: I just can't keep up right now because I'm still new.\He won't just tell me the answer.\I have to figure it out for myself.\I'm sure that's how they all learned to fight.\What the hell?\Seriously?\Damn it all... What the hell is going on here?\Wait! response:	Wait a minute... No one knows what's really going on?
context: He won't just tell me the answer.\I have to figure it out for myself.\I'm sure that's how they all learned to fight.\What the hell?\Seriously?\Damn it all... What the hell is going on here?\Wait!\Wait a minute... No one knows what's really going on? response:	Maybe not even Captain Levi?
context: I have to figure it out for myself.\I'm sure that's how they all learned to fight.\What the hell?\Seriously?\Damn it all... What the hell is going on here?\Wait!\Wait a minute... No one knows what's really going on?\Maybe not even Captain Levi? response:	The Female Titan is after Eren...
context: I'm sure that's how they all learned to fight.\What the hell?\Seriously?\Damn it all... What the hell is going on here?\Wait!\Wait a minute... No one knows what's really going on?\Maybe not even Captain Levi?\The Female Titan is after Eren... response:	If I'm right about that,
context: What the hell?\Seriously?\Damn it all... What the hell is going on here?\Wait!\Wait a minute... No one knows what's really going on?\Maybe not even Captain Levi?\The Female Titan is after Eren...\If I'm right about that, response:	then there's only one reason to come here.
context: Seriously?\Damn it all... What the hell is going on here?\Wait!\Wait a minute... No one knows what's really going on?\Maybe not even Captain Levi?\The Female Titan is after Eren...\If I'm right about that,\then there's only one reason to come here. response:	This is where Commander Erwin intends to deal with the Female Titan...
context: Damn it all... What the hell is going on here?\Wait!\Wait a minute... No one knows what's really going on?\Maybe not even Captain Levi?\The Female Titan is after Eren...\If I'm right about that,\then there's only one reason to come here.\This is where Commander Erwin intends to deal with the Female Titan... response:	Armin...
context: Wait!\Wait a minute... No one knows what's really going on?\Maybe not even Captain Levi?\The Female Titan is after Eren...\If I'm right about that,\then there's only one reason to come here.\This is where Commander Erwin intends to deal with the Female Titan...\Armin... response:	Our orders were to keep the Titans out of the forest, right?
context: Wait a minute... No one knows what's really going on?\Maybe not even Captain Levi?\The Female Titan is after Eren...\If I'm right about that,\then there's only one reason to come here.\This is where Commander Erwin intends to deal with the Female Titan...\Armin...\Our orders were to keep the Titans out of the forest, right? response:	In other words...
context: Maybe not even Captain Levi?\The Female Titan is after Eren...\If I'm right about that,\then there's only one reason to come here.\This is where Commander Erwin intends to deal with the Female Titan...\Armin...\Our orders were to keep the Titans out of the forest, right?\In other words... response:	There's no longer any reason to fight...
context: The Female Titan is after Eren...\If I'm right about that,\then there's only one reason to come here.\This is where Commander Erwin intends to deal with the Female Titan...\Armin...\Our orders were to keep the Titans out of the forest, right?\In other words...\There's no longer any reason to fight... response:	Right?
context: If I'm right about that,\then there's only one reason to come here.\This is where Commander Erwin intends to deal with the Female Titan...\Armin...\Our orders were to keep the Titans out of the forest, right?\In other words...\There's no longer any reason to fight...\Right? response:	A black smoke round?
context: then there's only one reason to come here.\This is where Commander Erwin intends to deal with the Female Titan...\Armin...\Our orders were to keep the Titans out of the forest, right?\In other words...\There's no longer any reason to fight...\Right?\A black smoke round? response:	It's from directly behind us!
context: This is where Commander Erwin intends to deal with the Female Titan...\Armin...\Our orders were to keep the Titans out of the forest, right?\In other words...\There's no longer any reason to fight...\Right?\A black smoke round?\It's from directly behind us! response:	It's whatever was coming toward us on the right.
context: Armin...\Our orders were to keep the Titans out of the forest, right?\In other words...\There's no longer any reason to fight...\Right?\A black smoke round?\It's from directly behind us!\It's whatever was coming toward us on the right. response:	Draw your blades.
context: Our orders were to keep the Titans out of the forest, right?\In other words...\There's no longer any reason to fight...\Right?\A black smoke round?\It's from directly behind us!\It's whatever was coming toward us on the right.\Draw your blades. response:	If we see it, it'll only be for a second.
context: In other words...\There's no longer any reason to fight...\Right?\A black smoke round?\It's from directly behind us!\It's whatever was coming toward us on the right.\Draw your blades.\If we see it, it'll only be for a second. response:	Go!
context: There's no longer any reason to fight...\Right?\A black smoke round?\It's from directly behind us!\It's whatever was coming toward us on the right.\Draw your blades.\If we see it, it'll only be for a second.\Go! response:	It's fast!
context: Right?\A black smoke round?\It's from directly behind us!\It's whatever was coming toward us on the right.\Draw your blades.\If we see it, it'll only be for a second.\Go!\It's fast! response:	In these trees, there's no way to foresee and evade its attacks!
context: A black smoke round?\It's from directly behind us!\It's whatever was coming toward us on the right.\Draw your blades.\If we see it, it'll only be for a second.\Go!\It's fast!\In these trees, there's no way to foresee and evade its attacks! response:	It'll catch us!
context: It's from directly behind us!\It's whatever was coming toward us on the right.\Draw your blades.\If we see it, it'll only be for a second.\Go!\It's fast!\In these trees, there's no way to foresee and evade its attacks!\It'll catch us! response:	Captain, let's switch to Maneuver Gear!
context: It's whatever was coming toward us on the right.\Draw your blades.\If we see it, it'll only be for a second.\Go!\It's fast!\In these trees, there's no way to foresee and evade its attacks!\It'll catch us!\Captain, let's switch to Maneuver Gear! response:	Captain!
context: Draw your blades.\If we see it, it'll only be for a second.\Go!\It's fast!\In these trees, there's no way to foresee and evade its attacks!\It'll catch us!\Captain, let's switch to Maneuver Gear!\Captain! response:	You won't escape!
context: If we see it, it'll only be for a second.\Go!\It's fast!\In these trees, there's no way to foresee and evade its attacks!\It'll catch us!\Captain, let's switch to Maneuver Gear!\Captain!\You won't escape! response:	Reinforcements from the rear!
context: Go!\It's fast!\In these trees, there's no way to foresee and evade its attacks!\It'll catch us!\Captain, let's switch to Maneuver Gear!\Captain!\You won't escape!\Reinforcements from the rear! response:	Captain, your orders?!
context: It's fast!\In these trees, there's no way to foresee and evade its attacks!\It'll catch us!\Captain, let's switch to Maneuver Gear!\Captain!\You won't escape!\Reinforcements from the rear!\Captain, your orders?! response:	Let's go for it!
context: In these trees, there's no way to foresee and evade its attacks!\It'll catch us!\Captain, let's switch to Maneuver Gear!\Captain!\You won't escape!\Reinforcements from the rear!\Captain, your orders?!\Let's go for it! response:	It's dangerous...
context: It'll catch us!\Captain, let's switch to Maneuver Gear!\Captain!\You won't escape!\Reinforcements from the rear!\Captain, your orders?!\Let's go for it!\It's dangerous... response:	We should kill it!
context: Captain, let's switch to Maneuver Gear!\Captain!\You won't escape!\Reinforcements from the rear!\Captain, your orders?!\Let's go for it!\It's dangerous...\We should kill it! response:	I'll rip you apart!
context: Captain!\You won't escape!\Reinforcements from the rear!\Captain, your orders?!\Let's go for it!\It's dangerous...\We should kill it!\I'll rip you apart! response:	Fool, you've run straight into hell.
context: You won't escape!\Reinforcements from the rear!\Captain, your orders?!\Let's go for it!\It's dangerous...\We should kill it!\I'll rip you apart!\Fool, you've run straight into hell. response:	You're chasing a group of master Titan killers!
context: Reinforcements from the rear!\Captain, your orders?!\Let's go for it!\It's dangerous...\We should kill it!\I'll rip you apart!\Fool, you've run straight into hell.\You're chasing a group of master Titan killers! response:	Captain Levi?
context: Captain, your orders?!\Let's go for it!\It's dangerous...\We should kill it!\I'll rip you apart!\Fool, you've run straight into hell.\You're chasing a group of master Titan killers!\Captain Levi? response:	Captain!
context: Let's go for it!\It's dangerous...\We should kill it!\I'll rip you apart!\Fool, you've run straight into hell.\You're chasing a group of master Titan killers!\Captain Levi?\Captain! response:	Give us your orders.
context: It's dangerous...\We should kill it!\I'll rip you apart!\Fool, you've run straight into hell.\You're chasing a group of master Titan killers!\Captain Levi?\Captain!\Give us your orders. response:	At this rate, it will catch up with us!
context: We should kill it!\I'll rip you apart!\Fool, you've run straight into hell.\You're chasing a group of master Titan killers!\Captain Levi?\Captain!\Give us your orders.\At this rate, it will catch up with us! response:	We kill it here...
context: I'll rip you apart!\Fool, you've run straight into hell.\You're chasing a group of master Titan killers!\Captain Levi?\Captain!\Give us your orders.\At this rate, it will catch up with us!\We kill it here... response:	That's why we came to this forest!
context: Fool, you've run straight into hell.\You're chasing a group of master Titan killers!\Captain Levi?\Captain!\Give us your orders.\At this rate, it will catch up with us!\We kill it here...\That's why we came to this forest! response:	Right, Captain?
context: You're chasing a group of master Titan killers!\Captain Levi?\Captain!\Give us your orders.\At this rate, it will catch up with us!\We kill it here...\That's why we came to this forest!\Right, Captain? response:	Captain, your orders!
context: Captain Levi?\Captain!\Give us your orders.\At this rate, it will catch up with us!\We kill it here...\That's why we came to this forest!\Right, Captain?\Captain, your orders! response:	Everyone, cover your ears.
context: Captain!\Give us your orders.\At this rate, it will catch up with us!\We kill it here...\That's why we came to this forest!\Right, Captain?\Captain, your orders!\Everyone, cover your ears. response:	The Female Titan continues its pursuit, leaving carnage in its wake.
context: Give us your orders.\At this rate, it will catch up with us!\We kill it here...\That's why we came to this forest!\Right, Captain?\Captain, your orders!\Everyone, cover your ears.\The Female Titan continues its pursuit, leaving carnage in its wake. response:	Despite witnessing their friends get slaughtered
context: At this rate, it will catch up with us!\We kill it here...\That's why we came to this forest!\Right, Captain?\Captain, your orders!\Everyone, cover your ears.\The Female Titan continues its pursuit, leaving carnage in its wake.\Despite witnessing their friends get slaughtered response:	before their very eyes, the Survey Corps can only flee.
context: We kill it here...\That's why we came to this forest!\Right, Captain?\Captain, your orders!\Everyone, cover your ears.\The Female Titan continues its pursuit, leaving carnage in its wake.\Despite witnessing their friends get slaughtered\before their very eyes, the Survey Corps can only flee. response:	Eren is faced with a decision.
context: That's why we came to this forest!\Right, Captain?\Captain, your orders!\Everyone, cover your ears.\The Female Titan continues its pursuit, leaving carnage in its wake.\Despite witnessing their friends get slaughtered\before their very eyes, the Survey Corps can only flee.\Eren is faced with a decision. response:	Bite 57th Expedition Beyond the Walls (3)
