context: The Year 1876 (What is now) Philadelphia, America response:	Well... I'll just be going!
context: I see...\Please convey to him my gratitude.\Okay!\Um, watching you and Papa\made me feel like I want to work really hard, too!\Really?\I'm going to find something I love!\Wonderful! response:	There are many interesting things in this world!
context: Please convey to him my gratitude.\Okay!\Um, watching you and Papa\made me feel like I want to work really hard, too!\Really?\I'm going to find something I love!\Wonderful!\There are many interesting things in this world! response:	Please do your best.
context: Okay!\Um, watching you and Papa\made me feel like I want to work really hard, too!\Really?\I'm going to find something I love!\Wonderful!\There are many interesting things in this world!\Please do your best. response:	Okay!
context: Um, watching you and Papa\made me feel like I want to work really hard, too!\Really?\I'm going to find something I love!\Wonderful!\There are many interesting things in this world!\Please do your best.\Okay! response:	Well, then...
context: made me feel like I want to work really hard, too!\Really?\I'm going to find something I love!\Wonderful!\There are many interesting things in this world!\Please do your best.\Okay!\Well, then... response:	Huh? It won't turn?
context: Really?\I'm going to find something I love!\Wonderful!\There are many interesting things in this world!\Please do your best.\Okay!\Well, then...\Huh? It won't turn? response:	Huh?! Why?!
context: I'm going to find something I love!\Wonderful!\There are many interesting things in this world!\Please do your best.\Okay!\Well, then...\Huh? It won't turn?\Huh?! Why?! response:	What's wrong, Mari?
context: Wonderful!\There are many interesting things in this world!\Please do your best.\Okay!\Well, then...\Huh? It won't turn?\Huh?! Why?!\What's wrong, Mari? response:	Brother! What's going on?
context: There are many interesting things in this world!\Please do your best.\Okay!\Well, then...\Huh? It won't turn?\Huh?! Why?!\What's wrong, Mari?\Brother! What's going on? response:	Mari... Wait a minute.
context: Please do your best.\Okay!\Well, then...\Huh? It won't turn?\Huh?! Why?!\What's wrong, Mari?\Brother! What's going on?\Mari... Wait a minute. response:	Strange. This has never happened before.
context: Okay!\Well, then...\Huh? It won't turn?\Huh?! Why?!\What's wrong, Mari?\Brother! What's going on?\Mari... Wait a minute.\Strange. This has never happened before. response:	Mari!
context: Well, then...\Huh? It won't turn?\Huh?! Why?!\What's wrong, Mari?\Brother! What's going on?\Mari... Wait a minute.\Strange. This has never happened before.\Mari! response:	Shun? Waka?
context: Huh? It won't turn?\Huh?! Why?!\What's wrong, Mari?\Brother! What's going on?\Mari... Wait a minute.\Strange. This has never happened before.\Mari!\Shun? Waka? response:	Mari?
context: Huh?! Why?!\What's wrong, Mari?\Brother! What's going on?\Mari... Wait a minute.\Strange. This has never happened before.\Mari!\Shun? Waka?\Mari? response:	Mama?
context: What's wrong, Mari?\Brother! What's going on?\Mari... Wait a minute.\Strange. This has never happened before.\Mari!\Shun? Waka?\Mari?\Mama? response:	Mari, don't force it!
context: Brother! What's going on?\Mari... Wait a minute.\Strange. This has never happened before.\Mari!\Shun? Waka?\Mari?\Mama?\Mari, don't force it! response:	Huh? Shun? Shun!
context: Mari... Wait a minute.\Strange. This has never happened before.\Mari!\Shun? Waka?\Mari?\Mama?\Mari, don't force it!\Huh? Shun? Shun! response:	No way!
context: Strange. This has never happened before.\Mari!\Shun? Waka?\Mari?\Mama?\Mari, don't force it!\Huh? Shun? Shun!\No way! response:	Mari! Mari!
context: Mari!\Shun? Waka?\Mari?\Mama?\Mari, don't force it!\Huh? Shun? Shun!\No way!\Mari! Mari! response:	Answer me!
context: Shun? Waka?\Mari?\Mama?\Mari, don't force it!\Huh? Shun? Shun!\No way!\Mari! Mari!\Answer me! response:	Shun, what's going on here?!
context: Mari?\Mama?\Mari, don't force it!\Huh? Shun? Shun!\No way!\Mari! Mari!\Answer me!\Shun, what's going on here?! response:	Mari will be able to come back, won't she?
context: Mama?\Mari, don't force it!\Huh? Shun? Shun!\No way!\Mari! Mari!\Answer me!\Shun, what's going on here?!\Mari will be able to come back, won't she? response:	That's right! Isn't it, Shun?
context: Mari, don't force it!\Huh? Shun? Shun!\No way!\Mari! Mari!\Answer me!\Shun, what's going on here?!\Mari will be able to come back, won't she?\That's right! Isn't it, Shun? response:	Brother, what are you doing?
context: Huh? Shun? Shun!\No way!\Mari! Mari!\Answer me!\Shun, what's going on here?!\Mari will be able to come back, won't she?\That's right! Isn't it, Shun?\Brother, what are you doing? response:	I'll go to get her.
context: No way!\Mari! Mari!\Answer me!\Shun, what's going on here?!\Mari will be able to come back, won't she?\That's right! Isn't it, Shun?\Brother, what are you doing?\I'll go to get her. response:	What?
context: Mari! Mari!\Answer me!\Shun, what's going on here?!\Mari will be able to come back, won't she?\That's right! Isn't it, Shun?\Brother, what are you doing?\I'll go to get her.\What? response:	I know where Mari is.
context: Answer me!\Shun, what's going on here?!\Mari will be able to come back, won't she?\That's right! Isn't it, Shun?\Brother, what are you doing?\I'll go to get her.\What?\I know where Mari is. response:	I'll travel with this.
context: Shun, what's going on here?!\Mari will be able to come back, won't she?\That's right! Isn't it, Shun?\Brother, what are you doing?\I'll go to get her.\What?\I know where Mari is.\I'll travel with this. response:	Let me go instead.
context: Mari will be able to come back, won't she?\That's right! Isn't it, Shun?\Brother, what are you doing?\I'll go to get her.\What?\I know where Mari is.\I'll travel with this.\Let me go instead. response:	Ma'am?
context: That's right! Isn't it, Shun?\Brother, what are you doing?\I'll go to get her.\What?\I know where Mari is.\I'll travel with this.\Let me go instead.\Ma'am? response:	If I give her that, then at least Mari can get back, right?
context: Brother, what are you doing?\I'll go to get her.\What?\I know where Mari is.\I'll travel with this.\Let me go instead.\Ma'am?\If I give her that, then at least Mari can get back, right? response:	That's true...
context: I'll go to get her.\What?\I know where Mari is.\I'll travel with this.\Let me go instead.\Ma'am?\If I give her that, then at least Mari can get back, right?\That's true... response:	I'll go.
context: What?\I know where Mari is.\I'll travel with this.\Let me go instead.\Ma'am?\If I give her that, then at least Mari can get back, right?\That's true...\I'll go. response:	Don't worry. I know how it works.
context: I know where Mari is.\I'll travel with this.\Let me go instead.\Ma'am?\If I give her that, then at least Mari can get back, right?\That's true...\I'll go.\Don't worry. I know how it works. response:	It'll work out.
context: I'll travel with this.\Let me go instead.\Ma'am?\If I give her that, then at least Mari can get back, right?\That's true...\I'll go.\Don't worry. I know how it works.\It'll work out. response:	No... I'll work it out.
context: Let me go instead.\Ma'am?\If I give her that, then at least Mari can get back, right?\That's true...\I'll go.\Don't worry. I know how it works.\It'll work out.\No... I'll work it out. response:	Shun, take care of Mari.
context: Ma'am?\If I give her that, then at least Mari can get back, right?\That's true...\I'll go.\Don't worry. I know how it works.\It'll work out.\No... I'll work it out.\Shun, take care of Mari. response:	Yes, ma'am.
context: If I give her that, then at least Mari can get back, right?\That's true...\I'll go.\Don't worry. I know how it works.\It'll work out.\No... I'll work it out.\Shun, take care of Mari.\Yes, ma'am. response:	Waka, can you watch these coordinates on the TSS and support me?
context: That's true...\I'll go.\Don't worry. I know how it works.\It'll work out.\No... I'll work it out.\Shun, take care of Mari.\Yes, ma'am.\Waka, can you watch these coordinates on the TSS and support me? response:	Yeah.
context: I'll go.\Don't worry. I know how it works.\It'll work out.\No... I'll work it out.\Shun, take care of Mari.\Yes, ma'am.\Waka, can you watch these coordinates on the TSS and support me?\Yeah. response:	Okay, I'm off.
context: Don't worry. I know how it works.\It'll work out.\No... I'll work it out.\Shun, take care of Mari.\Yes, ma'am.\Waka, can you watch these coordinates on the TSS and support me?\Yeah.\Okay, I'm off. response:	If Mari and I don't return,
context: It'll work out.\No... I'll work it out.\Shun, take care of Mari.\Yes, ma'am.\Waka, can you watch these coordinates on the TSS and support me?\Yeah.\Okay, I'm off.\If Mari and I don't return, response:	it will change the future written in this book.
context: No... I'll work it out.\Shun, take care of Mari.\Yes, ma'am.\Waka, can you watch these coordinates on the TSS and support me?\Yeah.\Okay, I'm off.\If Mari and I don't return,\it will change the future written in this book. response:	I don't think that will be possible.
context: Shun, take care of Mari.\Yes, ma'am.\Waka, can you watch these coordinates on the TSS and support me?\Yeah.\Okay, I'm off.\If Mari and I don't return,\it will change the future written in this book.\I don't think that will be possible. response:	Mari, please, calm down.
context: Yes, ma'am.\Waka, can you watch these coordinates on the TSS and support me?\Yeah.\Okay, I'm off.\If Mari and I don't return,\it will change the future written in this book.\I don't think that will be possible.\Mari, please, calm down. response:	No, no, no! I can't calm down!
context: Waka, can you watch these coordinates on the TSS and support me?\Yeah.\Okay, I'm off.\If Mari and I don't return,\it will change the future written in this book.\I don't think that will be possible.\Mari, please, calm down.\No, no, no! I can't calm down! response:	Mari...
context: Yeah.\Okay, I'm off.\If Mari and I don't return,\it will change the future written in this book.\I don't think that will be possible.\Mari, please, calm down.\No, no, no! I can't calm down!\Mari... response:	Shun!
context: Okay, I'm off.\If Mari and I don't return,\it will change the future written in this book.\I don't think that will be possible.\Mari, please, calm down.\No, no, no! I can't calm down!\Mari...\Shun! response:	I'm sorry for the disturbance.
context: If Mari and I don't return,\it will change the future written in this book.\I don't think that will be possible.\Mari, please, calm down.\No, no, no! I can't calm down!\Mari...\Shun!\I'm sorry for the disturbance. response:	N-Not at all...
context: it will change the future written in this book.\I don't think that will be possible.\Mari, please, calm down.\No, no, no! I can't calm down!\Mari...\Shun!\I'm sorry for the disturbance.\N-Not at all... response:	Mari, give me your compass.
context: I don't think that will be possible.\Mari, please, calm down.\No, no, no! I can't calm down!\Mari...\Shun!\I'm sorry for the disturbance.\N-Not at all...\Mari, give me your compass. response:	O-Okay!
context: Mari, please, calm down.\No, no, no! I can't calm down!\Mari...\Shun!\I'm sorry for the disturbance.\N-Not at all...\Mari, give me your compass.\O-Okay! response:	This is it.
context: No, no, no! I can't calm down!\Mari...\Shun!\I'm sorry for the disturbance.\N-Not at all...\Mari, give me your compass.\O-Okay!\This is it. response:	Oh.
context: Mari...\Shun!\I'm sorry for the disturbance.\N-Not at all...\Mari, give me your compass.\O-Okay!\This is it.\Oh. response:	It looks like water and sand.
context: Shun!\I'm sorry for the disturbance.\N-Not at all...\Mari, give me your compass.\O-Okay!\This is it.\Oh.\It looks like water and sand. response:	When I fell into the ocean...
context: I'm sorry for the disturbance.\N-Not at all...\Mari, give me your compass.\O-Okay!\This is it.\Oh.\It looks like water and sand.\When I fell into the ocean... response:	Okay.
context: N-Not at all...\Mari, give me your compass.\O-Okay!\This is it.\Oh.\It looks like water and sand.\When I fell into the ocean...\Okay. response:	I've managed to fix the error.
context: Mari, give me your compass.\O-Okay!\This is it.\Oh.\It looks like water and sand.\When I fell into the ocean...\Okay.\I've managed to fix the error. response:	Thank goodness! That's the Shun I know!
context: O-Okay!\This is it.\Oh.\It looks like water and sand.\When I fell into the ocean...\Okay.\I've managed to fix the error.\Thank goodness! That's the Shun I know! response:	Now we can go back, right?
context: This is it.\Oh.\It looks like water and sand.\When I fell into the ocean...\Okay.\I've managed to fix the error.\Thank goodness! That's the Shun I know!\Now we can go back, right? response:	Assuming we can reactivate the armillary compass
context: Oh.\It looks like water and sand.\When I fell into the ocean...\Okay.\I've managed to fix the error.\Thank goodness! That's the Shun I know!\Now we can go back, right?\Assuming we can reactivate the armillary compass response:	and link it to the TSS, yes.
context: It looks like water and sand.\When I fell into the ocean...\Okay.\I've managed to fix the error.\Thank goodness! That's the Shun I know!\Now we can go back, right?\Assuming we can reactivate the armillary compass\and link it to the TSS, yes. response:	Waka, can you confirm the AM2 coordinates?
context: When I fell into the ocean...\Okay.\I've managed to fix the error.\Thank goodness! That's the Shun I know!\Now we can go back, right?\Assuming we can reactivate the armillary compass\and link it to the TSS, yes.\Waka, can you confirm the AM2 coordinates? response:	It's there! It's on the screen, Brother!
context: Okay.\I've managed to fix the error.\Thank goodness! That's the Shun I know!\Now we can go back, right?\Assuming we can reactivate the armillary compass\and link it to the TSS, yes.\Waka, can you confirm the AM2 coordinates?\It's there! It's on the screen, Brother! response:	Yeah!
context: I've managed to fix the error.\Thank goodness! That's the Shun I know!\Now we can go back, right?\Assuming we can reactivate the armillary compass\and link it to the TSS, yes.\Waka, can you confirm the AM2 coordinates?\It's there! It's on the screen, Brother!\Yeah! response:	The world truly is full of mysteries!
context: Thank goodness! That's the Shun I know!\Now we can go back, right?\Assuming we can reactivate the armillary compass\and link it to the TSS, yes.\Waka, can you confirm the AM2 coordinates?\It's there! It's on the screen, Brother!\Yeah!\The world truly is full of mysteries! response:	Interesting!
context: Now we can go back, right?\Assuming we can reactivate the armillary compass\and link it to the TSS, yes.\Waka, can you confirm the AM2 coordinates?\It's there! It's on the screen, Brother!\Yeah!\The world truly is full of mysteries!\Interesting! response:	Thank you.
context: Assuming we can reactivate the armillary compass\and link it to the TSS, yes.\Waka, can you confirm the AM2 coordinates?\It's there! It's on the screen, Brother!\Yeah!\The world truly is full of mysteries!\Interesting!\Thank you. response:	I'll never forget this day.
context: and link it to the TSS, yes.\Waka, can you confirm the AM2 coordinates?\It's there! It's on the screen, Brother!\Yeah!\The world truly is full of mysteries!\Interesting!\Thank you.\I'll never forget this day. response:	Neither will I.
context: Waka, can you confirm the AM2 coordinates?\It's there! It's on the screen, Brother!\Yeah!\The world truly is full of mysteries!\Interesting!\Thank you.\I'll never forget this day.\Neither will I. response:	Well, let's go, Mari.
context: It's there! It's on the screen, Brother!\Yeah!\The world truly is full of mysteries!\Interesting!\Thank you.\I'll never forget this day.\Neither will I.\Well, let's go, Mari. response:	Okay!
context: Yeah!\The world truly is full of mysteries!\Interesting!\Thank you.\I'll never forget this day.\Neither will I.\Well, let's go, Mari.\Okay! response:	It worked!
context: The world truly is full of mysteries!\Interesting!\Thank you.\I'll never forget this day.\Neither will I.\Well, let's go, Mari.\Okay!\It worked! response:	Hold on. So we can go back together.
context: Interesting!\Thank you.\I'll never forget this day.\Neither will I.\Well, let's go, Mari.\Okay!\It worked!\Hold on. So we can go back together. response:	Huh?
context: Thank you.\I'll never forget this day.\Neither will I.\Well, let's go, Mari.\Okay!\It worked!\Hold on. So we can go back together.\Huh? response:	O-Okay.
context: I'll never forget this day.\Neither will I.\Well, let's go, Mari.\Okay!\It worked!\Hold on. So we can go back together.\Huh?\O-Okay. response:	Take care!
context: Neither will I.\Well, let's go, Mari.\Okay!\It worked!\Hold on. So we can go back together.\Huh?\O-Okay.\Take care! response:	Mari!
context: Well, let's go, Mari.\Okay!\It worked!\Hold on. So we can go back together.\Huh?\O-Okay.\Take care!\Mari! response:	I'm so glad!
context: Okay!\It worked!\Hold on. So we can go back together.\Huh?\O-Okay.\Take care!\Mari!\I'm so glad! response:	Waka...
context: It worked!\Hold on. So we can go back together.\Huh?\O-Okay.\Take care!\Mari!\I'm so glad!\Waka... response:	Mari, no!
context: Hold on. So we can go back together.\Huh?\O-Okay.\Take care!\Mari!\I'm so glad!\Waka...\Mari, no! response:	Mari!
context: Huh?\O-Okay.\Take care!\Mari!\I'm so glad!\Waka...\Mari, no!\Mari! response:	Mama...
context: O-Okay.\Take care!\Mari!\I'm so glad!\Waka...\Mari, no!\Mari!\Mama... response:	Do you know how worried we all were?!
context: Take care!\Mari!\I'm so glad!\Waka...\Mari, no!\Mari!\Mama...\Do you know how worried we all were?! response:	I'm sorry...
context: Mari!\I'm so glad!\Waka...\Mari, no!\Mari!\Mama...\Do you know how worried we all were?!\I'm sorry... response:	Never do this again!
context: I'm so glad!\Waka...\Mari, no!\Mari!\Mama...\Do you know how worried we all were?!\I'm sorry...\Never do this again! response:	Huh? But...
context: Waka...\Mari, no!\Mari!\Mama...\Do you know how worried we all were?!\I'm sorry...\Never do this again!\Huh? But... response:	It's true that you've both leaped into the past without fear before,
context: Mari, no!\Mari!\Mama...\Do you know how worried we all were?!\I'm sorry...\Never do this again!\Huh? But...\It's true that you've both leaped into the past without fear before, response:	but there's a chance something like this could happen again in the future, too.
context: Mari!\Mama...\Do you know how worried we all were?!\I'm sorry...\Never do this again!\Huh? But...\It's true that you've both leaped into the past without fear before,\but there's a chance something like this could happen again in the future, too. response:	Shun...
context: Mama...\Do you know how worried we all were?!\I'm sorry...\Never do this again!\Huh? But...\It's true that you've both leaped into the past without fear before,\but there's a chance something like this could happen again in the future, too.\Shun... response:	That's right! So make me a promise.
context: Do you know how worried we all were?!\I'm sorry...\Never do this again!\Huh? But...\It's true that you've both leaped into the past without fear before,\but there's a chance something like this could happen again in the future, too.\Shun...\That's right! So make me a promise. response:	Never use this system again.
context: I'm sorry...\Never do this again!\Huh? But...\It's true that you've both leaped into the past without fear before,\but there's a chance something like this could happen again in the future, too.\Shun...\That's right! So make me a promise.\Never use this system again. response:	Okay...
context: Never do this again!\Huh? But...\It's true that you've both leaped into the past without fear before,\but there's a chance something like this could happen again in the future, too.\Shun...\That's right! So make me a promise.\Never use this system again.\Okay... response:	Then give me the key to the laboratory.
context: Huh? But...\It's true that you've both leaped into the past without fear before,\but there's a chance something like this could happen again in the future, too.\Shun...\That's right! So make me a promise.\Never use this system again.\Okay...\Then give me the key to the laboratory. response:	And those, too.
context: It's true that you've both leaped into the past without fear before,\but there's a chance something like this could happen again in the future, too.\Shun...\That's right! So make me a promise.\Never use this system again.\Okay...\Then give me the key to the laboratory.\And those, too. response:	Right.
context: but there's a chance something like this could happen again in the future, too.\Shun...\That's right! So make me a promise.\Never use this system again.\Okay...\Then give me the key to the laboratory.\And those, too.\Right. response:	And with that resolved, I'm hungry!
context: Shun...\That's right! So make me a promise.\Never use this system again.\Okay...\Then give me the key to the laboratory.\And those, too.\Right.\And with that resolved, I'm hungry! response:	Me, too.
context: That's right! So make me a promise.\Never use this system again.\Okay...\Then give me the key to the laboratory.\And those, too.\Right.\And with that resolved, I'm hungry!\Me, too. response:	I'm sorry, Mama.
context: Never use this system again.\Okay...\Then give me the key to the laboratory.\And those, too.\Right.\And with that resolved, I'm hungry!\Me, too.\I'm sorry, Mama. response:	I guess I should have told you about Papa sooner, too.
context: Okay...\Then give me the key to the laboratory.\And those, too.\Right.\And with that resolved, I'm hungry!\Me, too.\I'm sorry, Mama.\I guess I should have told you about Papa sooner, too. response:	But I didn't want to worry you...
context: Then give me the key to the laboratory.\And those, too.\Right.\And with that resolved, I'm hungry!\Me, too.\I'm sorry, Mama.\I guess I should have told you about Papa sooner, too.\But I didn't want to worry you... response:	Thank you.
context: And those, too.\Right.\And with that resolved, I'm hungry!\Me, too.\I'm sorry, Mama.\I guess I should have told you about Papa sooner, too.\But I didn't want to worry you...\Thank you. response:	Well, everyone come by my house.
context: Right.\And with that resolved, I'm hungry!\Me, too.\I'm sorry, Mama.\I guess I should have told you about Papa sooner, too.\But I didn't want to worry you...\Thank you.\Well, everyone come by my house. response:	Rei and Rika are waiting for us.
context: And with that resolved, I'm hungry!\Me, too.\I'm sorry, Mama.\I guess I should have told you about Papa sooner, too.\But I didn't want to worry you...\Thank you.\Well, everyone come by my house.\Rei and Rika are waiting for us. response:	I'll make something delicious.
context: Me, too.\I'm sorry, Mama.\I guess I should have told you about Papa sooner, too.\But I didn't want to worry you...\Thank you.\Well, everyone come by my house.\Rei and Rika are waiting for us.\I'll make something delicious. response:	Yeah!
context: I'm sorry, Mama.\I guess I should have told you about Papa sooner, too.\But I didn't want to worry you...\Thank you.\Well, everyone come by my house.\Rei and Rika are waiting for us.\I'll make something delicious.\Yeah! response:	Okay!
context: I guess I should have told you about Papa sooner, too.\But I didn't want to worry you...\Thank you.\Well, everyone come by my house.\Rei and Rika are waiting for us.\I'll make something delicious.\Yeah!\Okay! response:	Mari, that dress is really nice.
context: But I didn't want to worry you...\Thank you.\Well, everyone come by my house.\Rei and Rika are waiting for us.\I'll make something delicious.\Yeah!\Okay!\Mari, that dress is really nice. response:	Oh, but I left my bathing suit in the past.
context: Thank you.\Well, everyone come by my house.\Rei and Rika are waiting for us.\I'll make something delicious.\Yeah!\Okay!\Mari, that dress is really nice.\Oh, but I left my bathing suit in the past. response:	According to the report,
context: Well, everyone come by my house.\Rei and Rika are waiting for us.\I'll make something delicious.\Yeah!\Okay!\Mari, that dress is really nice.\Oh, but I left my bathing suit in the past.\According to the report, response:	that day, there was no trace of Mari Hayase entering the laboratory.
context: Rei and Rika are waiting for us.\I'll make something delicious.\Yeah!\Okay!\Mari, that dress is really nice.\Oh, but I left my bathing suit in the past.\According to the report,\that day, there was no trace of Mari Hayase entering the laboratory. response:	Which means
context: I'll make something delicious.\Yeah!\Okay!\Mari, that dress is really nice.\Oh, but I left my bathing suit in the past.\According to the report,\that day, there was no trace of Mari Hayase entering the laboratory.\Which means response:	she could have transported from the beach to the laboratory?
context: Yeah!\Okay!\Mari, that dress is really nice.\Oh, but I left my bathing suit in the past.\According to the report,\that day, there was no trace of Mari Hayase entering the laboratory.\Which means\she could have transported from the beach to the laboratory? response:	Yes, sir.
context: Okay!\Mari, that dress is really nice.\Oh, but I left my bathing suit in the past.\According to the report,\that day, there was no trace of Mari Hayase entering the laboratory.\Which means\she could have transported from the beach to the laboratory?\Yes, sir. response:	It seems almost certain that he completed
context: Mari, that dress is really nice.\Oh, but I left my bathing suit in the past.\According to the report,\that day, there was no trace of Mari Hayase entering the laboratory.\Which means\she could have transported from the beach to the laboratory?\Yes, sir.\It seems almost certain that he completed response:	the matter transporter.
context: Oh, but I left my bathing suit in the past.\According to the report,\that day, there was no trace of Mari Hayase entering the laboratory.\Which means\she could have transported from the beach to the laboratory?\Yes, sir.\It seems almost certain that he completed\the matter transporter. response:	Yes.
context: According to the report,\that day, there was no trace of Mari Hayase entering the laboratory.\Which means\she could have transported from the beach to the laboratory?\Yes, sir.\It seems almost certain that he completed\the matter transporter.\Yes. response:	We can't turn back from this.
context: that day, there was no trace of Mari Hayase entering the laboratory.\Which means\she could have transported from the beach to the laboratory?\Yes, sir.\It seems almost certain that he completed\the matter transporter.\Yes.\We can't turn back from this. response:	The die has been cast.
context: Which means\she could have transported from the beach to the laboratory?\Yes, sir.\It seems almost certain that he completed\the matter transporter.\Yes.\We can't turn back from this.\The die has been cast. response:	The die has been cast. Next Episode: Hertz's Pride
context: she could have transported from the beach to the laboratory?\Yes, sir.\It seems almost certain that he completed\the matter transporter.\Yes.\We can't turn back from this.\The die has been cast.\The die has been cast. Next Episode: Hertz's Pride response:	Next Episode: Hertz's Pride
context: Yes, sir.\It seems almost certain that he completed\the matter transporter.\Yes.\We can't turn back from this.\The die has been cast.\The die has been cast. Next Episode: Hertz's Pride\Next Episode: Hertz's Pride response:	Mari and Waka's Quick Science
context: It seems almost certain that he completed\the matter transporter.\Yes.\We can't turn back from this.\The die has been cast.\The die has been cast. Next Episode: Hertz's Pride\Next Episode: Hertz's Pride\Mari and Waka's Quick Science response:	Mari and Waka's Quick Science! Mari and Waka's Quick Science
context: the matter transporter.\Yes.\We can't turn back from this.\The die has been cast.\The die has been cast. Next Episode: Hertz's Pride\Next Episode: Hertz's Pride\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science response:	Mari and Waka's Quick Science!
context: Yes.\We can't turn back from this.\The die has been cast.\The die has been cast. Next Episode: Hertz's Pride\Next Episode: Hertz's Pride\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science! response:	Bell's telephone converted sound into electricity,
context: We can't turn back from this.\The die has been cast.\The die has been cast. Next Episode: Hertz's Pride\Next Episode: Hertz's Pride\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\Bell's telephone converted sound into electricity, response:	but he also tried experiments to turn sound into light!
context: The die has been cast.\The die has been cast. Next Episode: Hertz's Pride\Next Episode: Hertz's Pride\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\Bell's telephone converted sound into electricity,\but he also tried experiments to turn sound into light! response:	Into light?
context: The die has been cast. Next Episode: Hertz's Pride\Next Episode: Hertz's Pride\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\Bell's telephone converted sound into electricity,\but he also tried experiments to turn sound into light!\Into light? response:	Reflect a laser light off aluminum foil attached to a paper cup,
context: Next Episode: Hertz's Pride\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\Bell's telephone converted sound into electricity,\but he also tried experiments to turn sound into light!\Into light?\Reflect a laser light off aluminum foil attached to a paper cup, response:	and when that light touches a photocell attached to a deck and a speaker...
context: Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\Bell's telephone converted sound into electricity,\but he also tried experiments to turn sound into light!\Into light?\Reflect a laser light off aluminum foil attached to a paper cup,\and when that light touches a photocell attached to a deck and a speaker... response:	Testing.
context: Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\Bell's telephone converted sound into electricity,\but he also tried experiments to turn sound into light!\Into light?\Reflect a laser light off aluminum foil attached to a paper cup,\and when that light touches a photocell attached to a deck and a speaker...\Testing. response:	I heard a voice come from the speaker!
context: Mari and Waka's Quick Science!\Bell's telephone converted sound into electricity,\but he also tried experiments to turn sound into light!\Into light?\Reflect a laser light off aluminum foil attached to a paper cup,\and when that light touches a photocell attached to a deck and a speaker...\Testing.\I heard a voice come from the speaker! response:	Testing.
context: Bell's telephone converted sound into electricity,\but he also tried experiments to turn sound into light!\Into light?\Reflect a laser light off aluminum foil attached to a paper cup,\and when that light touches a photocell attached to a deck and a speaker...\Testing.\I heard a voice come from the speaker!\Testing. response:	The reflected light is trembling?
context: but he also tried experiments to turn sound into light!\Into light?\Reflect a laser light off aluminum foil attached to a paper cup,\and when that light touches a photocell attached to a deck and a speaker...\Testing.\I heard a voice come from the speaker!\Testing.\The reflected light is trembling? response:	The vocal oscillations are converted into light oscillations and send the sound along.
context: Into light?\Reflect a laser light off aluminum foil attached to a paper cup,\and when that light touches a photocell attached to a deck and a speaker...\Testing.\I heard a voice come from the speaker!\Testing.\The reflected light is trembling?\The vocal oscillations are converted into light oscillations and send the sound along. response:	Sending messages with light would be really handy, huh?
context: Reflect a laser light off aluminum foil attached to a paper cup,\and when that light touches a photocell attached to a deck and a speaker...\Testing.\I heard a voice come from the speaker!\Testing.\The reflected light is trembling?\The vocal oscillations are converted into light oscillations and send the sound along.\Sending messages with light would be really handy, huh? response:	But in this system, the light disperses and weakens,
context: and when that light touches a photocell attached to a deck and a speaker...\Testing.\I heard a voice come from the speaker!\Testing.\The reflected light is trembling?\The vocal oscillations are converted into light oscillations and send the sound along.\Sending messages with light would be really handy, huh?\But in this system, the light disperses and weakens, response:	so you can't achieve long-distance communication.
context: Testing.\I heard a voice come from the speaker!\Testing.\The reflected light is trembling?\The vocal oscillations are converted into light oscillations and send the sound along.\Sending messages with light would be really handy, huh?\But in this system, the light disperses and weakens,\so you can't achieve long-distance communication. response:	I see.
context: I heard a voice come from the speaker!\Testing.\The reflected light is trembling?\The vocal oscillations are converted into light oscillations and send the sound along.\Sending messages with light would be really handy, huh?\But in this system, the light disperses and weakens,\so you can't achieve long-distance communication.\I see. response:	On the other hand, there's a thing called a heliograph...
context: Testing.\The reflected light is trembling?\The vocal oscillations are converted into light oscillations and send the sound along.\Sending messages with light would be really handy, huh?\But in this system, the light disperses and weakens,\so you can't achieve long-distance communication.\I see.\On the other hand, there's a thing called a heliograph... response:	I know that one!
context: The reflected light is trembling?\The vocal oscillations are converted into light oscillations and send the sound along.\Sending messages with light would be really handy, huh?\But in this system, the light disperses and weakens,\so you can't achieve long-distance communication.\I see.\On the other hand, there's a thing called a heliograph...\I know that one! response:	It's the kind that's light flashes, right?
context: The vocal oscillations are converted into light oscillations and send the sound along.\Sending messages with light would be really handy, huh?\But in this system, the light disperses and weakens,\so you can't achieve long-distance communication.\I see.\On the other hand, there's a thing called a heliograph...\I know that one!\It's the kind that's light flashes, right? response:	Right!
context: Sending messages with light would be really handy, huh?\But in this system, the light disperses and weakens,\so you can't achieve long-distance communication.\I see.\On the other hand, there's a thing called a heliograph...\I know that one!\It's the kind that's light flashes, right?\Right! response:	You use the lengths of the light flashes to send messages in code.
