context: A battle was held in Biscotti territory response:	Naturally, Sink was Biscotti's Hero,
context: Esnart Crystal Magic Research Institute!\Everybody, it's me, Couverte!\Did you watch Hero Rebecca's success on the broadcast?\Did you watch me, too?\I want Rebecca to really fall in love with Pastillage and us\until the next war!\I want you all to love our Hero Rebecca, too!\Will you love Rebecca as the Hero of Pastillage?! response:	Thank you!
context: Everybody, it's me, Couverte!\Did you watch Hero Rebecca's success on the broadcast?\Did you watch me, too?\I want Rebecca to really fall in love with Pastillage and us\until the next war!\I want you all to love our Hero Rebecca, too!\Will you love Rebecca as the Hero of Pastillage?!\Thank you! response:	I will do my best as your Hero for all of Pastillage!
context: Did you watch Hero Rebecca's success on the broadcast?\Did you watch me, too?\I want Rebecca to really fall in love with Pastillage and us\until the next war!\I want you all to love our Hero Rebecca, too!\Will you love Rebecca as the Hero of Pastillage?!\Thank you!\I will do my best as your Hero for all of Pastillage! response:	Tomorrow morning, we're going to wrap up our training.
context: Did you watch me, too?\I want Rebecca to really fall in love with Pastillage and us\until the next war!\I want you all to love our Hero Rebecca, too!\Will you love Rebecca as the Hero of Pastillage?!\Thank you!\I will do my best as your Hero for all of Pastillage!\Tomorrow morning, we're going to wrap up our training. response:	In the afternoon, her ladyship will give us sword lessons.
context: I want Rebecca to really fall in love with Pastillage and us\until the next war!\I want you all to love our Hero Rebecca, too!\Will you love Rebecca as the Hero of Pastillage?!\Thank you!\I will do my best as your Hero for all of Pastillage!\Tomorrow morning, we're going to wrap up our training.\In the afternoon, her ladyship will give us sword lessons. response:	Sounds like a full course.
context: until the next war!\I want you all to love our Hero Rebecca, too!\Will you love Rebecca as the Hero of Pastillage?!\Thank you!\I will do my best as your Hero for all of Pastillage!\Tomorrow morning, we're going to wrap up our training.\In the afternoon, her ladyship will give us sword lessons.\Sounds like a full course. response:	We should go to bed soon,
context: I want you all to love our Hero Rebecca, too!\Will you love Rebecca as the Hero of Pastillage?!\Thank you!\I will do my best as your Hero for all of Pastillage!\Tomorrow morning, we're going to wrap up our training.\In the afternoon, her ladyship will give us sword lessons.\Sounds like a full course.\We should go to bed soon, response:	so that we can start training while it's still cool.
context: Will you love Rebecca as the Hero of Pastillage?!\Thank you!\I will do my best as your Hero for all of Pastillage!\Tomorrow morning, we're going to wrap up our training.\In the afternoon, her ladyship will give us sword lessons.\Sounds like a full course.\We should go to bed soon,\so that we can start training while it's still cool. response:	Yeah.
context: Thank you!\I will do my best as your Hero for all of Pastillage!\Tomorrow morning, we're going to wrap up our training.\In the afternoon, her ladyship will give us sword lessons.\Sounds like a full course.\We should go to bed soon,\so that we can start training while it's still cool.\Yeah. response:	So, good night, everybody.
context: I will do my best as your Hero for all of Pastillage!\Tomorrow morning, we're going to wrap up our training.\In the afternoon, her ladyship will give us sword lessons.\Sounds like a full course.\We should go to bed soon,\so that we can start training while it's still cool.\Yeah.\So, good night, everybody. response:	Wait, we're not doing a
context: Tomorrow morning, we're going to wrap up our training.\In the afternoon, her ladyship will give us sword lessons.\Sounds like a full course.\We should go to bed soon,\so that we can start training while it's still cool.\Yeah.\So, good night, everybody.\Wait, we're not doing a response:	say who you're in love with contest before bed?
context: In the afternoon, her ladyship will give us sword lessons.\Sounds like a full course.\We should go to bed soon,\so that we can start training while it's still cool.\Yeah.\So, good night, everybody.\Wait, we're not doing a\say who you're in love with contest before bed? response:	No, go to bed!
context: Sounds like a full course.\We should go to bed soon,\so that we can start training while it's still cool.\Yeah.\So, good night, everybody.\Wait, we're not doing a\say who you're in love with contest before bed?\No, go to bed! response:	Oh, for me that's her ladyship, the princess, Rico, and...
context: We should go to bed soon,\so that we can start training while it's still cool.\Yeah.\So, good night, everybody.\Wait, we're not doing a\say who you're in love with contest before bed?\No, go to bed!\Oh, for me that's her ladyship, the princess, Rico, and... response:	No, stop it!
context: so that we can start training while it's still cool.\Yeah.\So, good night, everybody.\Wait, we're not doing a\say who you're in love with contest before bed?\No, go to bed!\Oh, for me that's her ladyship, the princess, Rico, and...\No, stop it! response:	I don't think that's how you do it...
context: Yeah.\So, good night, everybody.\Wait, we're not doing a\say who you're in love with contest before bed?\No, go to bed!\Oh, for me that's her ladyship, the princess, Rico, and...\No, stop it!\I don't think that's how you do it... response:	Go to bed, I'm tired!
context: So, good night, everybody.\Wait, we're not doing a\say who you're in love with contest before bed?\No, go to bed!\Oh, for me that's her ladyship, the princess, Rico, and...\No, stop it!\I don't think that's how you do it...\Go to bed, I'm tired! response:	Eclair...
context: Wait, we're not doing a\say who you're in love with contest before bed?\No, go to bed!\Oh, for me that's her ladyship, the princess, Rico, and...\No, stop it!\I don't think that's how you do it...\Go to bed, I'm tired!\Eclair... response:	You woke up, too?
context: say who you're in love with contest before bed?\No, go to bed!\Oh, for me that's her ladyship, the princess, Rico, and...\No, stop it!\I don't think that's how you do it...\Go to bed, I'm tired!\Eclair...\You woke up, too? response:	I woke up because Yuki was choking me.
context: No, go to bed!\Oh, for me that's her ladyship, the princess, Rico, and...\No, stop it!\I don't think that's how you do it...\Go to bed, I'm tired!\Eclair...\You woke up, too?\I woke up because Yuki was choking me. response:	She has that hugging habit...
context: Oh, for me that's her ladyship, the princess, Rico, and...\No, stop it!\I don't think that's how you do it...\Go to bed, I'm tired!\Eclair...\You woke up, too?\I woke up because Yuki was choking me.\She has that hugging habit... response:	Happened to me a lot when we were little.
context: No, stop it!\I don't think that's how you do it...\Go to bed, I'm tired!\Eclair...\You woke up, too?\I woke up because Yuki was choking me.\She has that hugging habit...\Happened to me a lot when we were little. response:	Can I sit next to you?
context: I don't think that's how you do it...\Go to bed, I'm tired!\Eclair...\You woke up, too?\I woke up because Yuki was choking me.\She has that hugging habit...\Happened to me a lot when we were little.\Can I sit next to you? response:	You were sleeping next to me.
context: Go to bed, I'm tired!\Eclair...\You woke up, too?\I woke up because Yuki was choking me.\She has that hugging habit...\Happened to me a lot when we were little.\Can I sit next to you?\You were sleeping next to me. response:	It's so quiet.
context: Eclair...\You woke up, too?\I woke up because Yuki was choking me.\She has that hugging habit...\Happened to me a lot when we were little.\Can I sit next to you?\You were sleeping next to me.\It's so quiet. response:	You think so?
context: You woke up, too?\I woke up because Yuki was choking me.\She has that hugging habit...\Happened to me a lot when we were little.\Can I sit next to you?\You were sleeping next to me.\It's so quiet.\You think so? response:	The sound of the water and the insects...
context: I woke up because Yuki was choking me.\She has that hugging habit...\Happened to me a lot when we were little.\Can I sit next to you?\You were sleeping next to me.\It's so quiet.\You think so?\The sound of the water and the insects... response:	there's plenty of noise.
context: She has that hugging habit...\Happened to me a lot when we were little.\Can I sit next to you?\You were sleeping next to me.\It's so quiet.\You think so?\The sound of the water and the insects...\there's plenty of noise. response:	Well, it's been really lively ever since I got back here,
context: Happened to me a lot when we were little.\Can I sit next to you?\You were sleeping next to me.\It's so quiet.\You think so?\The sound of the water and the insects...\there's plenty of noise.\Well, it's been really lively ever since I got back here, response:	so this is quiet enough.
context: Can I sit next to you?\You were sleeping next to me.\It's so quiet.\You think so?\The sound of the water and the insects...\there's plenty of noise.\Well, it's been really lively ever since I got back here,\so this is quiet enough. response:	Everybody's just happy that you're back.
context: You were sleeping next to me.\It's so quiet.\You think so?\The sound of the water and the insects...\there's plenty of noise.\Well, it's been really lively ever since I got back here,\so this is quiet enough.\Everybody's just happy that you're back. response:	Whenever a letter arrived from you,
context: It's so quiet.\You think so?\The sound of the water and the insects...\there's plenty of noise.\Well, it's been really lively ever since I got back here,\so this is quiet enough.\Everybody's just happy that you're back.\Whenever a letter arrived from you, response:	Rico nearly flipped out.
context: You think so?\The sound of the water and the insects...\there's plenty of noise.\Well, it's been really lively ever since I got back here,\so this is quiet enough.\Everybody's just happy that you're back.\Whenever a letter arrived from you,\Rico nearly flipped out. response:	The princess was always waiting for you to come back, too.
context: The sound of the water and the insects...\there's plenty of noise.\Well, it's been really lively ever since I got back here,\so this is quiet enough.\Everybody's just happy that you're back.\Whenever a letter arrived from you,\Rico nearly flipped out.\The princess was always waiting for you to come back, too. response:	And you?
context: there's plenty of noise.\Well, it's been really lively ever since I got back here,\so this is quiet enough.\Everybody's just happy that you're back.\Whenever a letter arrived from you,\Rico nearly flipped out.\The princess was always waiting for you to come back, too.\And you? response:	I'm not...
context: Well, it's been really lively ever since I got back here,\so this is quiet enough.\Everybody's just happy that you're back.\Whenever a letter arrived from you,\Rico nearly flipped out.\The princess was always waiting for you to come back, too.\And you?\I'm not... response:	I'm happy to see you again.
context: so this is quiet enough.\Everybody's just happy that you're back.\Whenever a letter arrived from you,\Rico nearly flipped out.\The princess was always waiting for you to come back, too.\And you?\I'm not...\I'm happy to see you again. response:	I mean the reason that my summoning was possible again
context: Everybody's just happy that you're back.\Whenever a letter arrived from you,\Rico nearly flipped out.\The princess was always waiting for you to come back, too.\And you?\I'm not...\I'm happy to see you again.\I mean the reason that my summoning was possible again response:	is because you accepted my wristband
context: Whenever a letter arrived from you,\Rico nearly flipped out.\The princess was always waiting for you to come back, too.\And you?\I'm not...\I'm happy to see you again.\I mean the reason that my summoning was possible again\is because you accepted my wristband response:	and have worn it ever since.
context: Rico nearly flipped out.\The princess was always waiting for you to come back, too.\And you?\I'm not...\I'm happy to see you again.\I mean the reason that my summoning was possible again\is because you accepted my wristband\and have worn it ever since. response:	It's not like I'm the only one
context: The princess was always waiting for you to come back, too.\And you?\I'm not...\I'm happy to see you again.\I mean the reason that my summoning was possible again\is because you accepted my wristband\and have worn it ever since.\It's not like I'm the only one response:	who accepted an item of promise.
context: And you?\I'm not...\I'm happy to see you again.\I mean the reason that my summoning was possible again\is because you accepted my wristband\and have worn it ever since.\It's not like I'm the only one\who accepted an item of promise. response:	I haven't had a chance
context: I'm not...\I'm happy to see you again.\I mean the reason that my summoning was possible again\is because you accepted my wristband\and have worn it ever since.\It's not like I'm the only one\who accepted an item of promise.\I haven't had a chance response:	I'm glad I got to see you again...
context: I'm happy to see you again.\I mean the reason that my summoning was possible again\is because you accepted my wristband\and have worn it ever since.\It's not like I'm the only one\who accepted an item of promise.\I haven't had a chance\I'm glad I got to see you again... response:	and I hope that we can
context: I mean the reason that my summoning was possible again\is because you accepted my wristband\and have worn it ever since.\It's not like I'm the only one\who accepted an item of promise.\I haven't had a chance\I'm glad I got to see you again...\and I hope that we can response:	work together as a team again this summer.
context: is because you accepted my wristband\and have worn it ever since.\It's not like I'm the only one\who accepted an item of promise.\I haven't had a chance\I'm glad I got to see you again...\and I hope that we can\work together as a team again this summer. response:	I remembered!
context: and have worn it ever since.\It's not like I'm the only one\who accepted an item of promise.\I haven't had a chance\I'm glad I got to see you again...\and I hope that we can\work together as a team again this summer.\I remembered! response:	Hero, come here for a second!
context: It's not like I'm the only one\who accepted an item of promise.\I haven't had a chance\I'm glad I got to see you again...\and I hope that we can\work together as a team again this summer.\I remembered!\Hero, come here for a second! response:	Here?
context: who accepted an item of promise.\I haven't had a chance\I'm glad I got to see you again...\and I hope that we can\work together as a team again this summer.\I remembered!\Hero, come here for a second!\Here? response:	You've pet me before.
context: I haven't had a chance\I'm glad I got to see you again...\and I hope that we can\work together as a team again this summer.\I remembered!\Hero, come here for a second!\Here?\You've pet me before. response:	I just remembered that I didn't pet you back then.
context: I'm glad I got to see you again...\and I hope that we can\work together as a team again this summer.\I remembered!\Hero, come here for a second!\Here?\You've pet me before.\I just remembered that I didn't pet you back then. response:	Um...
context: and I hope that we can\work together as a team again this summer.\I remembered!\Hero, come here for a second!\Here?\You've pet me before.\I just remembered that I didn't pet you back then.\Um... response:	I am obligated to return the favor.
context: work together as a team again this summer.\I remembered!\Hero, come here for a second!\Here?\You've pet me before.\I just remembered that I didn't pet you back then.\Um...\I am obligated to return the favor. response:	Let me pet you.
context: I remembered!\Hero, come here for a second!\Here?\You've pet me before.\I just remembered that I didn't pet you back then.\Um...\I am obligated to return the favor.\Let me pet you. response:	Roger that.
context: Hero, come here for a second!\Here?\You've pet me before.\I just remembered that I didn't pet you back then.\Um...\I am obligated to return the favor.\Let me pet you.\Roger that. response:	Uh, so what's going on here?
context: Here?\You've pet me before.\I just remembered that I didn't pet you back then.\Um...\I am obligated to return the favor.\Let me pet you.\Roger that.\Uh, so what's going on here? response:	Uh,
context: You've pet me before.\I just remembered that I didn't pet you back then.\Um...\I am obligated to return the favor.\Let me pet you.\Roger that.\Uh, so what's going on here?\Uh, response:	Eclair and Sink were talking
context: I just remembered that I didn't pet you back then.\Um...\I am obligated to return the favor.\Let me pet you.\Roger that.\Uh, so what's going on here?\Uh,\Eclair and Sink were talking response:	and exchanging friendly cuddles,
context: Um...\I am obligated to return the favor.\Let me pet you.\Roger that.\Uh, so what's going on here?\Uh,\Eclair and Sink were talking\and exchanging friendly cuddles, response:	and Sink ended up on her lap.
context: I am obligated to return the favor.\Let me pet you.\Roger that.\Uh, so what's going on here?\Uh,\Eclair and Sink were talking\and exchanging friendly cuddles,\and Sink ended up on her lap. response:	Because of their exhaustion from the afternoon, they passed out like that.
context: Let me pet you.\Roger that.\Uh, so what's going on here?\Uh,\Eclair and Sink were talking\and exchanging friendly cuddles,\and Sink ended up on her lap.\Because of their exhaustion from the afternoon, they passed out like that. response:	I see.
context: Roger that.\Uh, so what's going on here?\Uh,\Eclair and Sink were talking\and exchanging friendly cuddles,\and Sink ended up on her lap.\Because of their exhaustion from the afternoon, they passed out like that.\I see. response:	Eclair...
context: Uh, so what's going on here?\Uh,\Eclair and Sink were talking\and exchanging friendly cuddles,\and Sink ended up on her lap.\Because of their exhaustion from the afternoon, they passed out like that.\I see.\Eclair... response:	This is not what it looks like! Not at all!
context: Uh,\Eclair and Sink were talking\and exchanging friendly cuddles,\and Sink ended up on her lap.\Because of their exhaustion from the afternoon, they passed out like that.\I see.\Eclair...\This is not what it looks like! Not at all! response:	It's not what you think!
context: Eclair and Sink were talking\and exchanging friendly cuddles,\and Sink ended up on her lap.\Because of their exhaustion from the afternoon, they passed out like that.\I see.\Eclair...\This is not what it looks like! Not at all!\It's not what you think! response:	Don't worry, we know.
context: and exchanging friendly cuddles,\and Sink ended up on her lap.\Because of their exhaustion from the afternoon, they passed out like that.\I see.\Eclair...\This is not what it looks like! Not at all!\It's not what you think!\Don't worry, we know. response:	It's totally fine that you guys get along. Really.
context: and Sink ended up on her lap.\Because of their exhaustion from the afternoon, they passed out like that.\I see.\Eclair...\This is not what it looks like! Not at all!\It's not what you think!\Don't worry, we know.\It's totally fine that you guys get along. Really. response:	No! It's not like that at all!
context: Because of their exhaustion from the afternoon, they passed out like that.\I see.\Eclair...\This is not what it looks like! Not at all!\It's not what you think!\Don't worry, we know.\It's totally fine that you guys get along. Really.\No! It's not like that at all! response:	It's okay, we understand.
context: I see.\Eclair...\This is not what it looks like! Not at all!\It's not what you think!\Don't worry, we know.\It's totally fine that you guys get along. Really.\No! It's not like that at all!\It's okay, we understand. response:	Eclair, you're annoying.
context: Eclair...\This is not what it looks like! Not at all!\It's not what you think!\Don't worry, we know.\It's totally fine that you guys get along. Really.\No! It's not like that at all!\It's okay, we understand.\Eclair, you're annoying. response:	And then...
context: This is not what it looks like! Not at all!\It's not what you think!\Don't worry, we know.\It's totally fine that you guys get along. Really.\No! It's not like that at all!\It's okay, we understand.\Eclair, you're annoying.\And then... response:	We have just returned!
context: It's not what you think!\Don't worry, we know.\It's totally fine that you guys get along. Really.\No! It's not like that at all!\It's okay, we understand.\Eclair, you're annoying.\And then...\We have just returned! response:	Thank you for having us.
context: Don't worry, we know.\It's totally fine that you guys get along. Really.\No! It's not like that at all!\It's okay, we understand.\Eclair, you're annoying.\And then...\We have just returned!\Thank you for having us. response:	Show me the results
context: It's totally fine that you guys get along. Really.\No! It's not like that at all!\It's okay, we understand.\Eclair, you're annoying.\And then...\We have just returned!\Thank you for having us.\Show me the results response:	of your training camp once you've rested a bit.
context: No! It's not like that at all!\It's okay, we understand.\Eclair, you're annoying.\And then...\We have just returned!\Thank you for having us.\Show me the results\of your training camp once you've rested a bit. response:	Okay!
context: It's okay, we understand.\Eclair, you're annoying.\And then...\We have just returned!\Thank you for having us.\Show me the results\of your training camp once you've rested a bit.\Okay! response:	The training camp at the river ended without any problems.
context: Eclair, you're annoying.\And then...\We have just returned!\Thank you for having us.\Show me the results\of your training camp once you've rested a bit.\Okay!\The training camp at the river ended without any problems. response:	So this is it.
context: And then...\We have just returned!\Thank you for having us.\Show me the results\of your training camp once you've rested a bit.\Okay!\The training camp at the river ended without any problems.\So this is it. response:	You just copy the skill I spent blood, sweat, and tears to learn?!
context: We have just returned!\Thank you for having us.\Show me the results\of your training camp once you've rested a bit.\Okay!\The training camp at the river ended without any problems.\So this is it.\You just copy the skill I spent blood, sweat, and tears to learn?! response:	No,
context: Thank you for having us.\Show me the results\of your training camp once you've rested a bit.\Okay!\The training camp at the river ended without any problems.\So this is it.\You just copy the skill I spent blood, sweat, and tears to learn?!\No, response:	your skill is also based on Lady d'Arquien's Lupine God Void Fang, right?
context: Show me the results\of your training camp once you've rested a bit.\Okay!\The training camp at the river ended without any problems.\So this is it.\You just copy the skill I spent blood, sweat, and tears to learn?!\No,\your skill is also based on Lady d'Arquien's Lupine God Void Fang, right? response:	Since the school's the same,
context: of your training camp once you've rested a bit.\Okay!\The training camp at the river ended without any problems.\So this is it.\You just copy the skill I spent blood, sweat, and tears to learn?!\No,\your skill is also based on Lady d'Arquien's Lupine God Void Fang, right?\Since the school's the same, response:	it's natural that they look alike!
context: Okay!\The training camp at the river ended without any problems.\So this is it.\You just copy the skill I spent blood, sweat, and tears to learn?!\No,\your skill is also based on Lady d'Arquien's Lupine God Void Fang, right?\Since the school's the same,\it's natural that they look alike! response:	But, still!
context: The training camp at the river ended without any problems.\So this is it.\You just copy the skill I spent blood, sweat, and tears to learn?!\No,\your skill is also based on Lady d'Arquien's Lupine God Void Fang, right?\Since the school's the same,\it's natural that they look alike!\But, still! response:	Really, you two, excellent work.
context: So this is it.\You just copy the skill I spent blood, sweat, and tears to learn?!\No,\your skill is also based on Lady d'Arquien's Lupine God Void Fang, right?\Since the school's the same,\it's natural that they look alike!\But, still!\Really, you two, excellent work. response:	I think I can soon entrust you with our monster sealing techniques.
context: You just copy the skill I spent blood, sweat, and tears to learn?!\No,\your skill is also based on Lady d'Arquien's Lupine God Void Fang, right?\Since the school's the same,\it's natural that they look alike!\But, still!\Really, you two, excellent work.\I think I can soon entrust you with our monster sealing techniques. response:	Thank you!
context: No,\your skill is also based on Lady d'Arquien's Lupine God Void Fang, right?\Since the school's the same,\it's natural that they look alike!\But, still!\Really, you two, excellent work.\I think I can soon entrust you with our monster sealing techniques.\Thank you! response:	And of course, you, as well, Noir.
context: your skill is also based on Lady d'Arquien's Lupine God Void Fang, right?\Since the school's the same,\it's natural that they look alike!\But, still!\Really, you two, excellent work.\I think I can soon entrust you with our monster sealing techniques.\Thank you!\And of course, you, as well, Noir. response:	Thus, this fun and hot summer moment came to a close.
context: Since the school's the same,\it's natural that they look alike!\But, still!\Really, you two, excellent work.\I think I can soon entrust you with our monster sealing techniques.\Thank you!\And of course, you, as well, Noir.\Thus, this fun and hot summer moment came to a close. response:	Idiot, idiot, idiot! Why didn't you wake up?!
context: it's natural that they look alike!\But, still!\Really, you two, excellent work.\I think I can soon entrust you with our monster sealing techniques.\Thank you!\And of course, you, as well, Noir.\Thus, this fun and hot summer moment came to a close.\Idiot, idiot, idiot! Why didn't you wake up?! response:	Maybe it was just comfortable.
context: But, still!\Really, you two, excellent work.\I think I can soon entrust you with our monster sealing techniques.\Thank you!\And of course, you, as well, Noir.\Thus, this fun and hot summer moment came to a close.\Idiot, idiot, idiot! Why didn't you wake up?!\Maybe it was just comfortable. response:	Galette Sword Style Record!
context: Really, you two, excellent work.\I think I can soon entrust you with our monster sealing techniques.\Thank you!\And of course, you, as well, Noir.\Thus, this fun and hot summer moment came to a close.\Idiot, idiot, idiot! Why didn't you wake up?!\Maybe it was just comfortable.\Galette Sword Style Record! response:	Eclair, you should hold back a little.
context: I think I can soon entrust you with our monster sealing techniques.\Thank you!\And of course, you, as well, Noir.\Thus, this fun and hot summer moment came to a close.\Idiot, idiot, idiot! Why didn't you wake up?!\Maybe it was just comfortable.\Galette Sword Style Record!\Eclair, you should hold back a little. response:	Tune in again, next time.
