context: -meepmeep- response:	TS-Note: Bet from where Ririko's Border Color comes from. (b-)b
context: Tsukune!\It feels great! Just like that, Tsukune-kun!\It feels great!\Absorb more! Come, absorb till you've gotten enough of it!\While you're doing this, will you only think of your teacher and studying?\That's it! That's great, Tsukune-kun!\Stop it!\Sensei, what are you doing to Tsukune?! response:	Akashiya Moka, is it you again?
context: It feels great! Just like that, Tsukune-kun!\It feels great!\Absorb more! Come, absorb till you've gotten enough of it!\While you're doing this, will you only think of your teacher and studying?\That's it! That's great, Tsukune-kun!\Stop it!\Sensei, what are you doing to Tsukune?!\Akashiya Moka, is it you again? response:	We're in the middle of some important studying.
context: It feels great!\Absorb more! Come, absorb till you've gotten enough of it!\While you're doing this, will you only think of your teacher and studying?\That's it! That's great, Tsukune-kun!\Stop it!\Sensei, what are you doing to Tsukune?!\Akashiya Moka, is it you again?\We're in the middle of some important studying. response:	Don't interrupt me!
context: Absorb more! Come, absorb till you've gotten enough of it!\While you're doing this, will you only think of your teacher and studying?\That's it! That's great, Tsukune-kun!\Stop it!\Sensei, what are you doing to Tsukune?!\Akashiya Moka, is it you again?\We're in the middle of some important studying.\Don't interrupt me! response:	In Greek mythology,
context: While you're doing this, will you only think of your teacher and studying?\That's it! That's great, Tsukune-kun!\Stop it!\Sensei, what are you doing to Tsukune?!\Akashiya Moka, is it you again?\We're in the middle of some important studying.\Don't interrupt me!\In Greek mythology, response:	There is a monster with an upper body of a human and a lower body of a snake.
context: That's it! That's great, Tsukune-kun!\Stop it!\Sensei, what are you doing to Tsukune?!\Akashiya Moka, is it you again?\We're in the middle of some important studying.\Don't interrupt me!\In Greek mythology,\There is a monster with an upper body of a human and a lower body of a snake. response:	That is the true form of Ririko-sensei: Lamia!
context: Stop it!\Sensei, what are you doing to Tsukune?!\Akashiya Moka, is it you again?\We're in the middle of some important studying.\Don't interrupt me!\In Greek mythology,\There is a monster with an upper body of a human and a lower body of a snake.\That is the true form of Ririko-sensei: Lamia! response:	I've dedicated my entire life to teaching!
context: Sensei, what are you doing to Tsukune?!\Akashiya Moka, is it you again?\We're in the middle of some important studying.\Don't interrupt me!\In Greek mythology,\There is a monster with an upper body of a human and a lower body of a snake.\That is the true form of Ririko-sensei: Lamia!\I've dedicated my entire life to teaching! response:	I definitely won't allow someone like you defile this place!
context: Akashiya Moka, is it you again?\We're in the middle of some important studying.\Don't interrupt me!\In Greek mythology,\There is a monster with an upper body of a human and a lower body of a snake.\That is the true form of Ririko-sensei: Lamia!\I've dedicated my entire life to teaching!\I definitely won't allow someone like you defile this place! response:	Now, let's continue studying, Tsukune-kun.
context: We're in the middle of some important studying.\Don't interrupt me!\In Greek mythology,\There is a monster with an upper body of a human and a lower body of a snake.\That is the true form of Ririko-sensei: Lamia!\I've dedicated my entire life to teaching!\I definitely won't allow someone like you defile this place!\Now, let's continue studying, Tsukune-kun. response:	Trust in me, it's for your own good.
context: Don't interrupt me!\In Greek mythology,\There is a monster with an upper body of a human and a lower body of a snake.\That is the true form of Ririko-sensei: Lamia!\I've dedicated my entire life to teaching!\I definitely won't allow someone like you defile this place!\Now, let's continue studying, Tsukune-kun.\Trust in me, it's for your own good. response:	Don't do it! Come back, Tsukune!
context: In Greek mythology,\There is a monster with an upper body of a human and a lower body of a snake.\That is the true form of Ririko-sensei: Lamia!\I've dedicated my entire life to teaching!\I definitely won't allow someone like you defile this place!\Now, let's continue studying, Tsukune-kun.\Trust in me, it's for your own good.\Don't do it! Come back, Tsukune! response:	Look! This is the trust between students and teachers!
context: There is a monster with an upper body of a human and a lower body of a snake.\That is the true form of Ririko-sensei: Lamia!\I've dedicated my entire life to teaching!\I definitely won't allow someone like you defile this place!\Now, let's continue studying, Tsukune-kun.\Trust in me, it's for your own good.\Don't do it! Come back, Tsukune!\Look! This is the trust between students and teachers! response:	Education is so magnificent!
context: That is the true form of Ririko-sensei: Lamia!\I've dedicated my entire life to teaching!\I definitely won't allow someone like you defile this place!\Now, let's continue studying, Tsukune-kun.\Trust in me, it's for your own good.\Don't do it! Come back, Tsukune!\Look! This is the trust between students and teachers!\Education is so magnificent! response:	What are you doing?
context: I've dedicated my entire life to teaching!\I definitely won't allow someone like you defile this place!\Now, let's continue studying, Tsukune-kun.\Trust in me, it's for your own good.\Don't do it! Come back, Tsukune!\Look! This is the trust between students and teachers!\Education is so magnificent!\What are you doing? response:	Shirayuki-san!
context: I definitely won't allow someone like you defile this place!\Now, let's continue studying, Tsukune-kun.\Trust in me, it's for your own good.\Don't do it! Come back, Tsukune!\Look! This is the trust between students and teachers!\Education is so magnificent!\What are you doing?\Shirayuki-san! response:	What do you want now?!
context: Now, let's continue studying, Tsukune-kun.\Trust in me, it's for your own good.\Don't do it! Come back, Tsukune!\Look! This is the trust between students and teachers!\Education is so magnificent!\What are you doing?\Shirayuki-san!\What do you want now?! response:	Your fiery temper is unsightly.
context: Trust in me, it's for your own good.\Don't do it! Come back, Tsukune!\Look! This is the trust between students and teachers!\Education is so magnificent!\What are you doing?\Shirayuki-san!\What do you want now?!\Your fiery temper is unsightly. response:	Let me cool you down a bit...
context: Don't do it! Come back, Tsukune!\Look! This is the trust between students and teachers!\Education is so magnificent!\What are you doing?\Shirayuki-san!\What do you want now?!\Your fiery temper is unsightly.\Let me cool you down a bit... response:	Hurry, go get Tsukune.
context: Look! This is the trust between students and teachers!\Education is so magnificent!\What are you doing?\Shirayuki-san!\What do you want now?!\Your fiery temper is unsightly.\Let me cool you down a bit...\Hurry, go get Tsukune. response:	I won't let you!
context: Education is so magnificent!\What are you doing?\Shirayuki-san!\What do you want now?!\Your fiery temper is unsightly.\Let me cool you down a bit...\Hurry, go get Tsukune.\I won't let you! response:	You, who seldom comes to school, must be taught a good lesson!
context: What are you doing?\Shirayuki-san!\What do you want now?!\Your fiery temper is unsightly.\Let me cool you down a bit...\Hurry, go get Tsukune.\I won't let you!\You, who seldom comes to school, must be taught a good lesson! response:	Shirayuki-san!
context: Shirayuki-san!\What do you want now?!\Your fiery temper is unsightly.\Let me cool you down a bit...\Hurry, go get Tsukune.\I won't let you!\You, who seldom comes to school, must be taught a good lesson!\Shirayuki-san! response:	How dare you do that, you bitch!
context: What do you want now?!\Your fiery temper is unsightly.\Let me cool you down a bit...\Hurry, go get Tsukune.\I won't let you!\You, who seldom comes to school, must be taught a good lesson!\Shirayuki-san!\How dare you do that, you bitch! response:	I'm your teacher!
context: Your fiery temper is unsightly.\Let me cool you down a bit...\Hurry, go get Tsukune.\I won't let you!\You, who seldom comes to school, must be taught a good lesson!\Shirayuki-san!\How dare you do that, you bitch!\I'm your teacher! response:	What I'm doing is for your own good!
context: Let me cool you down a bit...\Hurry, go get Tsukune.\I won't let you!\You, who seldom comes to school, must be taught a good lesson!\Shirayuki-san!\How dare you do that, you bitch!\I'm your teacher!\What I'm doing is for your own good! response:	You can't even understand this, you little bitch!
context: Hurry, go get Tsukune.\I won't let you!\You, who seldom comes to school, must be taught a good lesson!\Shirayuki-san!\How dare you do that, you bitch!\I'm your teacher!\What I'm doing is for your own good!\You can't even understand this, you little bitch! response:	What a child!
context: I won't let you!\You, who seldom comes to school, must be taught a good lesson!\Shirayuki-san!\How dare you do that, you bitch!\I'm your teacher!\What I'm doing is for your own good!\You can't even understand this, you little bitch!\What a child! response:	What a bad child!
context: You, who seldom comes to school, must be taught a good lesson!\Shirayuki-san!\How dare you do that, you bitch!\I'm your teacher!\What I'm doing is for your own good!\You can't even understand this, you little bitch!\What a child!\What a bad child! response:	Handwriting... Moka-san's handwriting...
context: Shirayuki-san!\How dare you do that, you bitch!\I'm your teacher!\What I'm doing is for your own good!\You can't even understand this, you little bitch!\What a child!\What a bad child!\Handwriting... Moka-san's handwriting... response:	Then let me write a copy for you!
context: How dare you do that, you bitch!\I'm your teacher!\What I'm doing is for your own good!\You can't even understand this, you little bitch!\What a child!\What a bad child!\Handwriting... Moka-san's handwriting...\Then let me write a copy for you! response:	It's for you sake after all. I'll work hard!
context: I'm your teacher!\What I'm doing is for your own good!\You can't even understand this, you little bitch!\What a child!\What a bad child!\Handwriting... Moka-san's handwriting...\Then let me write a copy for you!\It's for you sake after all. I'll work hard! response:	Come, receive my education and guidance!
context: What I'm doing is for your own good!\You can't even understand this, you little bitch!\What a child!\What a bad child!\Handwriting... Moka-san's handwriting...\Then let me write a copy for you!\It's for you sake after all. I'll work hard!\Come, receive my education and guidance! response:	Tsukune?
context: You can't even understand this, you little bitch!\What a child!\What a bad child!\Handwriting... Moka-san's handwriting...\Then let me write a copy for you!\It's for you sake after all. I'll work hard!\Come, receive my education and guidance!\Tsukune? response:	Sorry, Moka-san, sorry it took for long for me to wake up.
context: What a child!\What a bad child!\Handwriting... Moka-san's handwriting...\Then let me write a copy for you!\It's for you sake after all. I'll work hard!\Come, receive my education and guidance!\Tsukune?\Sorry, Moka-san, sorry it took for long for me to wake up. response:	Tsukune...
context: What a bad child!\Handwriting... Moka-san's handwriting...\Then let me write a copy for you!\It's for you sake after all. I'll work hard!\Come, receive my education and guidance!\Tsukune?\Sorry, Moka-san, sorry it took for long for me to wake up.\Tsukune... response:	What are you doing, Tsukune-kun! Move away!
context: Handwriting... Moka-san's handwriting...\Then let me write a copy for you!\It's for you sake after all. I'll work hard!\Come, receive my education and guidance!\Tsukune?\Sorry, Moka-san, sorry it took for long for me to wake up.\Tsukune...\What are you doing, Tsukune-kun! Move away! response:	You prepared a notebook for me, right?
context: Then let me write a copy for you!\It's for you sake after all. I'll work hard!\Come, receive my education and guidance!\Tsukune?\Sorry, Moka-san, sorry it took for long for me to wake up.\Tsukune...\What are you doing, Tsukune-kun! Move away!\You prepared a notebook for me, right? response:	Are you listening to your teacher?!
context: It's for you sake after all. I'll work hard!\Come, receive my education and guidance!\Tsukune?\Sorry, Moka-san, sorry it took for long for me to wake up.\Tsukune...\What are you doing, Tsukune-kun! Move away!\You prepared a notebook for me, right?\Are you listening to your teacher?! response:	Thank you...
context: Come, receive my education and guidance!\Tsukune?\Sorry, Moka-san, sorry it took for long for me to wake up.\Tsukune...\What are you doing, Tsukune-kun! Move away!\You prepared a notebook for me, right?\Are you listening to your teacher?!\Thank you... response:	I'll accept your notes!
context: Tsukune?\Sorry, Moka-san, sorry it took for long for me to wake up.\Tsukune...\What are you doing, Tsukune-kun! Move away!\You prepared a notebook for me, right?\Are you listening to your teacher?!\Thank you...\I'll accept your notes! response:	Tsukune!
context: Sorry, Moka-san, sorry it took for long for me to wake up.\Tsukune...\What are you doing, Tsukune-kun! Move away!\You prepared a notebook for me, right?\Are you listening to your teacher?!\Thank you...\I'll accept your notes!\Tsukune! response:	I'll let you all receive education and guidance from me!
context: Tsukune...\What are you doing, Tsukune-kun! Move away!\You prepared a notebook for me, right?\Are you listening to your teacher?!\Thank you...\I'll accept your notes!\Tsukune!\I'll let you all receive education and guidance from me! response:	Once the rosary on her chest is removed,
context: What are you doing, Tsukune-kun! Move away!\You prepared a notebook for me, right?\Are you listening to your teacher?!\Thank you...\I'll accept your notes!\Tsukune!\I'll let you all receive education and guidance from me!\Once the rosary on her chest is removed, response:	The vampire blood within Moka will awaken.
context: You prepared a notebook for me, right?\Are you listening to your teacher?!\Thank you...\I'll accept your notes!\Tsukune!\I'll let you all receive education and guidance from me!\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken. response:	Is this what you call education and guidance?
context: Are you listening to your teacher?!\Thank you...\I'll accept your notes!\Tsukune!\I'll let you all receive education and guidance from me!\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\Is this what you call education and guidance? response:	You're only a student... What about it?!
context: Thank you...\I'll accept your notes!\Tsukune!\I'll let you all receive education and guidance from me!\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\Is this what you call education and guidance?\You're only a student... What about it?! response:	I'm not your student, though.
context: I'll accept your notes!\Tsukune!\I'll let you all receive education and guidance from me!\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\Is this what you call education and guidance?\You're only a student... What about it?!\I'm not your student, though. response:	What did you say?!
context: Tsukune!\I'll let you all receive education and guidance from me!\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\Is this what you call education and guidance?\You're only a student... What about it?!\I'm not your student, though.\What did you say?! response:	You're intoxicated by being a teacher,
context: I'll let you all receive education and guidance from me!\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\Is this what you call education and guidance?\You're only a student... What about it?!\I'm not your student, though.\What did you say?!\You're intoxicated by being a teacher, response:	You foolish narcissist.
context: Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\Is this what you call education and guidance?\You're only a student... What about it?!\I'm not your student, though.\What did you say?!\You're intoxicated by being a teacher,\You foolish narcissist. response:	Let me give you true education and guidance!
context: The vampire blood within Moka will awaken.\Is this what you call education and guidance?\You're only a student... What about it?!\I'm not your student, though.\What did you say?!\You're intoxicated by being a teacher,\You foolish narcissist.\Let me give you true education and guidance! response:	How was it? Did it work?
context: Is this what you call education and guidance?\You're only a student... What about it?!\I'm not your student, though.\What did you say?!\You're intoxicated by being a teacher,\You foolish narcissist.\Let me give you true education and guidance!\How was it? Did it work? response:	Yes... Thank you for your guidance.
context: You're only a student... What about it?!\I'm not your student, though.\What did you say?!\You're intoxicated by being a teacher,\You foolish narcissist.\Let me give you true education and guidance!\How was it? Did it work?\Yes... Thank you for your guidance. response:	This week's winner was decided in only 31 seconds!
context: I'm not your student, though.\What did you say?!\You're intoxicated by being a teacher,\You foolish narcissist.\Let me give you true education and guidance!\How was it? Did it work?\Yes... Thank you for your guidance.\This week's winner was decided in only 31 seconds! response:	Sheesh... Not showing any mercy at all.
context: What did you say?!\You're intoxicated by being a teacher,\You foolish narcissist.\Let me give you true education and guidance!\How was it? Did it work?\Yes... Thank you for your guidance.\This week's winner was decided in only 31 seconds!\Sheesh... Not showing any mercy at all. response:	And so, we move on to the day of the final exam!
context: You're intoxicated by being a teacher,\You foolish narcissist.\Let me give you true education and guidance!\How was it? Did it work?\Yes... Thank you for your guidance.\This week's winner was decided in only 31 seconds!\Sheesh... Not showing any mercy at all.\And so, we move on to the day of the final exam! response:	I can't do this... all the knowledge that Ririko-sensei absorbed into me is gone!
context: You foolish narcissist.\Let me give you true education and guidance!\How was it? Did it work?\Yes... Thank you for your guidance.\This week's winner was decided in only 31 seconds!\Sheesh... Not showing any mercy at all.\And so, we move on to the day of the final exam!\I can't do this... all the knowledge that Ririko-sensei absorbed into me is gone! response:	Good luck, Tsukune!
context: Let me give you true education and guidance!\How was it? Did it work?\Yes... Thank you for your guidance.\This week's winner was decided in only 31 seconds!\Sheesh... Not showing any mercy at all.\And so, we move on to the day of the final exam!\I can't do this... all the knowledge that Ririko-sensei absorbed into me is gone!\Good luck, Tsukune! response:	How did it go, Tsukune?
context: How was it? Did it work?\Yes... Thank you for your guidance.\This week's winner was decided in only 31 seconds!\Sheesh... Not showing any mercy at all.\And so, we move on to the day of the final exam!\I can't do this... all the knowledge that Ririko-sensei absorbed into me is gone!\Good luck, Tsukune!\How did it go, Tsukune? response:	How did you feel about the test?
context: Yes... Thank you for your guidance.\This week's winner was decided in only 31 seconds!\Sheesh... Not showing any mercy at all.\And so, we move on to the day of the final exam!\I can't do this... all the knowledge that Ririko-sensei absorbed into me is gone!\Good luck, Tsukune!\How did it go, Tsukune?\How did you feel about the test? response:	Umm... How do I put it... I tried my best...
context: This week's winner was decided in only 31 seconds!\Sheesh... Not showing any mercy at all.\And so, we move on to the day of the final exam!\I can't do this... all the knowledge that Ririko-sensei absorbed into me is gone!\Good luck, Tsukune!\How did it go, Tsukune?\How did you feel about the test?\Umm... How do I put it... I tried my best... response:	But I won't regret it, no matter what the outcome is.
context: Sheesh... Not showing any mercy at all.\And so, we move on to the day of the final exam!\I can't do this... all the knowledge that Ririko-sensei absorbed into me is gone!\Good luck, Tsukune!\How did it go, Tsukune?\How did you feel about the test?\Umm... How do I put it... I tried my best...\But I won't regret it, no matter what the outcome is. response:	That's because even if it was only a few days, I was able to study together with you!
context: And so, we move on to the day of the final exam!\I can't do this... all the knowledge that Ririko-sensei absorbed into me is gone!\Good luck, Tsukune!\How did it go, Tsukune?\How did you feel about the test?\Umm... How do I put it... I tried my best...\But I won't regret it, no matter what the outcome is.\That's because even if it was only a few days, I was able to study together with you! response:	Thank you, Moka-san.
context: I can't do this... all the knowledge that Ririko-sensei absorbed into me is gone!\Good luck, Tsukune!\How did it go, Tsukune?\How did you feel about the test?\Umm... How do I put it... I tried my best...\But I won't regret it, no matter what the outcome is.\That's because even if it was only a few days, I was able to study together with you!\Thank you, Moka-san. response:	For not giving up and teaching me until the very end.
context: Good luck, Tsukune!\How did it go, Tsukune?\How did you feel about the test?\Umm... How do I put it... I tried my best...\But I won't regret it, no matter what the outcome is.\That's because even if it was only a few days, I was able to study together with you!\Thank you, Moka-san.\For not giving up and teaching me until the very end. response:	That notebook was also really useful, and having you with me really helped me!
context: How did it go, Tsukune?\How did you feel about the test?\Umm... How do I put it... I tried my best...\But I won't regret it, no matter what the outcome is.\That's because even if it was only a few days, I was able to study together with you!\Thank you, Moka-san.\For not giving up and teaching me until the very end.\That notebook was also really useful, and having you with me really helped me! response:	Thank you very much, Moka-san.
context: How did you feel about the test?\Umm... How do I put it... I tried my best...\But I won't regret it, no matter what the outcome is.\That's because even if it was only a few days, I was able to study together with you!\Thank you, Moka-san.\For not giving up and teaching me until the very end.\That notebook was also really useful, and having you with me really helped me!\Thank you very much, Moka-san. response:	Moka-san?
context: Umm... How do I put it... I tried my best...\But I won't regret it, no matter what the outcome is.\That's because even if it was only a few days, I was able to study together with you!\Thank you, Moka-san.\For not giving up and teaching me until the very end.\That notebook was also really useful, and having you with me really helped me!\Thank you very much, Moka-san.\Moka-san? response:	Tsukune!
context: But I won't regret it, no matter what the outcome is.\That's because even if it was only a few days, I was able to study together with you!\Thank you, Moka-san.\For not giving up and teaching me until the very end.\That notebook was also really useful, and having you with me really helped me!\Thank you very much, Moka-san.\Moka-san?\Tsukune! response:	There's a test tomorrow too!
context: That's because even if it was only a few days, I was able to study together with you!\Thank you, Moka-san.\For not giving up and teaching me until the very end.\That notebook was also really useful, and having you with me really helped me!\Thank you very much, Moka-san.\Moka-san?\Tsukune!\There's a test tomorrow too! response:	Kappuchu!
context: Thank you, Moka-san.\For not giving up and teaching me until the very end.\That notebook was also really useful, and having you with me really helped me!\Thank you very much, Moka-san.\Moka-san?\Tsukune!\There's a test tomorrow too!\Kappuchu! response:	And so, our first summer vacation has finally arrived!
context: For not giving up and teaching me until the very end.\That notebook was also really useful, and having you with me really helped me!\Thank you very much, Moka-san.\Moka-san?\Tsukune!\There's a test tomorrow too!\Kappuchu!\And so, our first summer vacation has finally arrived! response:	I have to go to the extra lessons...
context: That notebook was also really useful, and having you with me really helped me!\Thank you very much, Moka-san.\Moka-san?\Tsukune!\There's a test tomorrow too!\Kappuchu!\And so, our first summer vacation has finally arrived!\I have to go to the extra lessons... response:	I even taught you so much...
context: Thank you very much, Moka-san.\Moka-san?\Tsukune!\There's a test tomorrow too!\Kappuchu!\And so, our first summer vacation has finally arrived!\I have to go to the extra lessons...\I even taught you so much... response:	Finally, our summer vacation!
context: Moka-san?\Tsukune!\There's a test tomorrow too!\Kappuchu!\And so, our first summer vacation has finally arrived!\I have to go to the extra lessons...\I even taught you so much...\Finally, our summer vacation! response:	Look, Tsukune!
context: Tsukune!\There's a test tomorrow too!\Kappuchu!\And so, our first summer vacation has finally arrived!\I have to go to the extra lessons...\I even taught you so much...\Finally, our summer vacation!\Look, Tsukune! response:	Look here too!
context: There's a test tomorrow too!\Kappuchu!\And so, our first summer vacation has finally arrived!\I have to go to the extra lessons...\I even taught you so much...\Finally, our summer vacation!\Look, Tsukune!\Look here too! response:	Look at me too...
context: Kappuchu!\And so, our first summer vacation has finally arrived!\I have to go to the extra lessons...\I even taught you so much...\Finally, our summer vacation!\Look, Tsukune!\Look here too!\Look at me too... response:	Next, Summer Vacation and a Vampire,
context: And so, our first summer vacation has finally arrived!\I have to go to the extra lessons...\I even taught you so much...\Finally, our summer vacation!\Look, Tsukune!\Look here too!\Look at me too...\Next, Summer Vacation and a Vampire, response:	And a kappuchu for you!
