context: You've got some nerve, calling for our help. response:	Thanks to you, Ange escaped, and we lost the Villkiss.
context: Do you want that?\It's not like I'm trying to help you or anything.\I just don't like seeing you be so pathetic.\Sing, sing, the two wishes are now,\Strongly, strongly shining in heavenly gold.\It speaks of eternity.\Thanks, Salia.\This is for helping me. response:	You'll be less trouble if I make a daring escape.
context: It's not like I'm trying to help you or anything.\I just don't like seeing you be so pathetic.\Sing, sing, the two wishes are now,\Strongly, strongly shining in heavenly gold.\It speaks of eternity.\Thanks, Salia.\This is for helping me.\You'll be less trouble if I make a daring escape. response:	I don't need your sympathy, you macho gorilla.
context: I just don't like seeing you be so pathetic.\Sing, sing, the two wishes are now,\Strongly, strongly shining in heavenly gold.\It speaks of eternity.\Thanks, Salia.\This is for helping me.\You'll be less trouble if I make a daring escape.\I don't need your sympathy, you macho gorilla. response:	Angelise-sama!
context: Sing, sing, the two wishes are now,\Strongly, strongly shining in heavenly gold.\It speaks of eternity.\Thanks, Salia.\This is for helping me.\You'll be less trouble if I make a daring escape.\I don't need your sympathy, you macho gorilla.\Angelise-sama! response:	The preparations are complete.
context: Strongly, strongly shining in heavenly gold.\It speaks of eternity.\Thanks, Salia.\This is for helping me.\You'll be less trouble if I make a daring escape.\I don't need your sympathy, you macho gorilla.\Angelise-sama!\The preparations are complete. response:	All units, to your Ragna-mails.
context: It speaks of eternity.\Thanks, Salia.\This is for helping me.\You'll be less trouble if I make a daring escape.\I don't need your sympathy, you macho gorilla.\Angelise-sama!\The preparations are complete.\All units, to your Ragna-mails. response:	Guard the Dawn Tower until the mission is complete.
context: Thanks, Salia.\This is for helping me.\You'll be less trouble if I make a daring escape.\I don't need your sympathy, you macho gorilla.\Angelise-sama!\The preparations are complete.\All units, to your Ragna-mails.\Guard the Dawn Tower until the mission is complete. response:	Yes, Master.
context: This is for helping me.\You'll be less trouble if I make a daring escape.\I don't need your sympathy, you macho gorilla.\Angelise-sama!\The preparations are complete.\All units, to your Ragna-mails.\Guard the Dawn Tower until the mission is complete.\Yes, Master. response:	Where are you going, Ange-chan?
context: You'll be less trouble if I make a daring escape.\I don't need your sympathy, you macho gorilla.\Angelise-sama!\The preparations are complete.\All units, to your Ragna-mails.\Guard the Dawn Tower until the mission is complete.\Yes, Master.\Where are you going, Ange-chan? response:	Embryo-san is looking for you.
context: I don't need your sympathy, you macho gorilla.\Angelise-sama!\The preparations are complete.\All units, to your Ragna-mails.\Guard the Dawn Tower until the mission is complete.\Yes, Master.\Where are you going, Ange-chan?\Embryo-san is looking for you. response:	Can you run, Angelise-sama?
context: Angelise-sama!\The preparations are complete.\All units, to your Ragna-mails.\Guard the Dawn Tower until the mission is complete.\Yes, Master.\Where are you going, Ange-chan?\Embryo-san is looking for you.\Can you run, Angelise-sama? response:	Yes.
context: The preparations are complete.\All units, to your Ragna-mails.\Guard the Dawn Tower until the mission is complete.\Yes, Master.\Where are you going, Ange-chan?\Embryo-san is looking for you.\Can you run, Angelise-sama?\Yes. response:	Oh, dear. I suppose I'll have to handle it.
context: All units, to your Ragna-mails.\Guard the Dawn Tower until the mission is complete.\Yes, Master.\Where are you going, Ange-chan?\Embryo-san is looking for you.\Can you run, Angelise-sama?\Yes.\Oh, dear. I suppose I'll have to handle it. response:	Villkiss!
context: Guard the Dawn Tower until the mission is complete.\Yes, Master.\Where are you going, Ange-chan?\Embryo-san is looking for you.\Can you run, Angelise-sama?\Yes.\Oh, dear. I suppose I'll have to handle it.\Villkiss! response:	Momoka, get on!
context: Yes, Master.\Where are you going, Ange-chan?\Embryo-san is looking for you.\Can you run, Angelise-sama?\Yes.\Oh, dear. I suppose I'll have to handle it.\Villkiss!\Momoka, get on! response:	Yes.
context: Where are you going, Ange-chan?\Embryo-san is looking for you.\Can you run, Angelise-sama?\Yes.\Oh, dear. I suppose I'll have to handle it.\Villkiss!\Momoka, get on!\Yes. response:	Chris-chan.
context: Embryo-san is looking for you.\Can you run, Angelise-sama?\Yes.\Oh, dear. I suppose I'll have to handle it.\Villkiss!\Momoka, get on!\Yes.\Chris-chan. response:	I know.
context: Can you run, Angelise-sama?\Yes.\Oh, dear. I suppose I'll have to handle it.\Villkiss!\Momoka, get on!\Yes.\Chris-chan.\I know. response:	You're not getting away, Ange.
context: Yes.\Oh, dear. I suppose I'll have to handle it.\Villkiss!\Momoka, get on!\Yes.\Chris-chan.\I know.\You're not getting away, Ange. response:	Angelise-sama!
context: Oh, dear. I suppose I'll have to handle it.\Villkiss!\Momoka, get on!\Yes.\Chris-chan.\I know.\You're not getting away, Ange.\Angelise-sama! response:	I'm here to repay you, Ange.
context: Villkiss!\Momoka, get on!\Yes.\Chris-chan.\I know.\You're not getting away, Ange.\Angelise-sama!\I'm here to repay you, Ange. response:	Salako.
context: Momoka, get on!\Yes.\Chris-chan.\I know.\You're not getting away, Ange.\Angelise-sama!\I'm here to repay you, Ange.\Salako. response:	Salamandinay-sama.
context: Yes.\Chris-chan.\I know.\You're not getting away, Ange.\Angelise-sama!\I'm here to repay you, Ange.\Salako.\Salamandinay-sama. response:	Next Episode
context: Chris-chan.\I know.\You're not getting away, Ange.\Angelise-sama!\I'm here to repay you, Ange.\Salako.\Salamandinay-sama.\Next Episode response:	I'm going to be so unlucky next week!
context: I know.\You're not getting away, Ange.\Angelise-sama!\I'm here to repay you, Ange.\Salako.\Salamandinay-sama.\Next Episode\I'm going to be so unlucky next week! response:	Me, too! My fortune's really bad.
context: You're not getting away, Ange.\Angelise-sama!\I'm here to repay you, Ange.\Salako.\Salamandinay-sama.\Next Episode\I'm going to be so unlucky next week!\Me, too! My fortune's really bad. response:	Next week, could we end up...
context: Angelise-sama!\I'm here to repay you, Ange.\Salako.\Salamandinay-sama.\Next Episode\I'm going to be so unlucky next week!\Me, too! My fortune's really bad.\Next week, could we end up... response:	Don't worry about it! The previews are never right.
context: I'm here to repay you, Ange.\Salako.\Salamandinay-sama.\Next Episode\I'm going to be so unlucky next week!\Me, too! My fortune's really bad.\Next week, could we end up...\Don't worry about it! The previews are never right. response:	I thought this might be a death flag...
context: Salako.\Salamandinay-sama.\Next Episode\I'm going to be so unlucky next week!\Me, too! My fortune's really bad.\Next week, could we end up...\Don't worry about it! The previews are never right.\I thought this might be a death flag... response:	The One Left Behind
context: Salamandinay-sama.\Next Episode\I'm going to be so unlucky next week!\Me, too! My fortune's really bad.\Next week, could we end up...\Don't worry about it! The previews are never right.\I thought this might be a death flag...\The One Left Behind response:	They won't kill us off! Right?
