context: No matter how you look at it, it's against the school rules. response:	(May use this line if you want to rephrase it)
context: No!!!\Get away from Yukari-chan!\Moka-san!\You again?\Lets eat her up too!\I agree!\This one looks really tasty and juicy...\Most importantly, such bouncy breasts, nice hips and hot back! response:	Please don't worry about me and run away, Moka-san!
context: Get away from Yukari-chan!\Moka-san!\You again?\Lets eat her up too!\I agree!\This one looks really tasty and juicy...\Most importantly, such bouncy breasts, nice hips and hot back!\Please don't worry about me and run away, Moka-san! response:	I can take care of such low-level monsters myself!
context: Moka-san!\You again?\Lets eat her up too!\I agree!\This one looks really tasty and juicy...\Most importantly, such bouncy breasts, nice hips and hot back!\Please don't worry about me and run away, Moka-san!\I can take care of such low-level monsters myself! response:	That won't do, Yukari-chan!
context: You again?\Lets eat her up too!\I agree!\This one looks really tasty and juicy...\Most importantly, such bouncy breasts, nice hips and hot back!\Please don't worry about me and run away, Moka-san!\I can take care of such low-level monsters myself!\That won't do, Yukari-chan! response:	Don't act so tough! When you're afraid, it's alright to ask for help.
context: Lets eat her up too!\I agree!\This one looks really tasty and juicy...\Most importantly, such bouncy breasts, nice hips and hot back!\Please don't worry about me and run away, Moka-san!\I can take care of such low-level monsters myself!\That won't do, Yukari-chan!\Don't act so tough! When you're afraid, it's alright to ask for help. response:	You need to be true to yourself, Yukari-chan.
context: I agree!\This one looks really tasty and juicy...\Most importantly, such bouncy breasts, nice hips and hot back!\Please don't worry about me and run away, Moka-san!\I can take care of such low-level monsters myself!\That won't do, Yukari-chan!\Don't act so tough! When you're afraid, it's alright to ask for help.\You need to be true to yourself, Yukari-chan. response:	You don't have to force yourself... You don't have to be alone.
context: This one looks really tasty and juicy...\Most importantly, such bouncy breasts, nice hips and hot back!\Please don't worry about me and run away, Moka-san!\I can take care of such low-level monsters myself!\That won't do, Yukari-chan!\Don't act so tough! When you're afraid, it's alright to ask for help.\You need to be true to yourself, Yukari-chan.\You don't have to force yourself... You don't have to be alone. response:	You're still young, so you have to be a little more honest.
context: Most importantly, such bouncy breasts, nice hips and hot back!\Please don't worry about me and run away, Moka-san!\I can take care of such low-level monsters myself!\That won't do, Yukari-chan!\Don't act so tough! When you're afraid, it's alright to ask for help.\You need to be true to yourself, Yukari-chan.\You don't have to force yourself... You don't have to be alone.\You're still young, so you have to be a little more honest. response:	I didn't force myself.
context: Please don't worry about me and run away, Moka-san!\I can take care of such low-level monsters myself!\That won't do, Yukari-chan!\Don't act so tough! When you're afraid, it's alright to ask for help.\You need to be true to yourself, Yukari-chan.\You don't have to force yourself... You don't have to be alone.\You're still young, so you have to be a little more honest.\I didn't force myself. response:	You're really very lonely, right?
context: I can take care of such low-level monsters myself!\That won't do, Yukari-chan!\Don't act so tough! When you're afraid, it's alright to ask for help.\You need to be true to yourself, Yukari-chan.\You don't have to force yourself... You don't have to be alone.\You're still young, so you have to be a little more honest.\I didn't force myself.\You're really very lonely, right? response:	If you're lonely... If being alone pains you,
context: That won't do, Yukari-chan!\Don't act so tough! When you're afraid, it's alright to ask for help.\You need to be true to yourself, Yukari-chan.\You don't have to force yourself... You don't have to be alone.\You're still young, so you have to be a little more honest.\I didn't force myself.\You're really very lonely, right?\If you're lonely... If being alone pains you, response:	it's alright to say it.
context: Don't act so tough! When you're afraid, it's alright to ask for help.\You need to be true to yourself, Yukari-chan.\You don't have to force yourself... You don't have to be alone.\You're still young, so you have to be a little more honest.\I didn't force myself.\You're really very lonely, right?\If you're lonely... If being alone pains you,\it's alright to say it. response:	I've always been alone too.
context: You need to be true to yourself, Yukari-chan.\You don't have to force yourself... You don't have to be alone.\You're still young, so you have to be a little more honest.\I didn't force myself.\You're really very lonely, right?\If you're lonely... If being alone pains you,\it's alright to say it.\I've always been alone too. response:	Moka-san too?
context: You don't have to force yourself... You don't have to be alone.\You're still young, so you have to be a little more honest.\I didn't force myself.\You're really very lonely, right?\If you're lonely... If being alone pains you,\it's alright to say it.\I've always been alone too.\Moka-san too? response:	That's why I can't leave you alone...
context: You're still young, so you have to be a little more honest.\I didn't force myself.\You're really very lonely, right?\If you're lonely... If being alone pains you,\it's alright to say it.\I've always been alone too.\Moka-san too?\That's why I can't leave you alone... response:	I want to help you, Yukari-chan.
context: I didn't force myself.\You're really very lonely, right?\If you're lonely... If being alone pains you,\it's alright to say it.\I've always been alone too.\Moka-san too?\That's why I can't leave you alone...\I want to help you, Yukari-chan. response:	Moka-san...
context: You're really very lonely, right?\If you're lonely... If being alone pains you,\it's alright to say it.\I've always been alone too.\Moka-san too?\That's why I can't leave you alone...\I want to help you, Yukari-chan.\Moka-san... response:	H-How did they change the mood so quickly?
context: If you're lonely... If being alone pains you,\it's alright to say it.\I've always been alone too.\Moka-san too?\That's why I can't leave you alone...\I want to help you, Yukari-chan.\Moka-san...\H-How did they change the mood so quickly? response:	They ignored us!
context: it's alright to say it.\I've always been alone too.\Moka-san too?\That's why I can't leave you alone...\I want to help you, Yukari-chan.\Moka-san...\H-How did they change the mood so quickly?\They ignored us! response:	Unforgivable...
context: I've always been alone too.\Moka-san too?\That's why I can't leave you alone...\I want to help you, Yukari-chan.\Moka-san...\H-How did they change the mood so quickly?\They ignored us!\Unforgivable... response:	How unforgivable!
context: Moka-san too?\That's why I can't leave you alone...\I want to help you, Yukari-chan.\Moka-san...\H-How did they change the mood so quickly?\They ignored us!\Unforgivable...\How unforgivable! response:	Since we're not forgiving them, allow me devour that juicy body!
context: That's why I can't leave you alone...\I want to help you, Yukari-chan.\Moka-san...\H-How did they change the mood so quickly?\They ignored us!\Unforgivable...\How unforgivable!\Since we're not forgiving them, allow me devour that juicy body! response:	What the hell are you doing, you brat!?
context: I want to help you, Yukari-chan.\Moka-san...\H-How did they change the mood so quickly?\They ignored us!\Unforgivable...\How unforgivable!\Since we're not forgiving them, allow me devour that juicy body!\What the hell are you doing, you brat!? response:	No way... Not you too!?
context: Moka-san...\H-How did they change the mood so quickly?\They ignored us!\Unforgivable...\How unforgivable!\Since we're not forgiving them, allow me devour that juicy body!\What the hell are you doing, you brat!?\No way... Not you too!? response:	I'm sorry about just now.
context: H-How did they change the mood so quickly?\They ignored us!\Unforgivable...\How unforgivable!\Since we're not forgiving them, allow me devour that juicy body!\What the hell are you doing, you brat!?\No way... Not you too!?\I'm sorry about just now. response:	I can understand the feeling of being lonely...
context: They ignored us!\Unforgivable...\How unforgivable!\Since we're not forgiving them, allow me devour that juicy body!\What the hell are you doing, you brat!?\No way... Not you too!?\I'm sorry about just now.\I can understand the feeling of being lonely... response:	You lie! I don't want someone like yo-
context: Unforgivable...\How unforgivable!\Since we're not forgiving them, allow me devour that juicy body!\What the hell are you doing, you brat!?\No way... Not you too!?\I'm sorry about just now.\I can understand the feeling of being lonely...\You lie! I don't want someone like yo- response:	That's why you have to let me help you.
context: How unforgivable!\Since we're not forgiving them, allow me devour that juicy body!\What the hell are you doing, you brat!?\No way... Not you too!?\I'm sorry about just now.\I can understand the feeling of being lonely...\You lie! I don't want someone like yo-\That's why you have to let me help you. response:	Hey you all,
context: Since we're not forgiving them, allow me devour that juicy body!\What the hell are you doing, you brat!?\No way... Not you too!?\I'm sorry about just now.\I can understand the feeling of being lonely...\You lie! I don't want someone like yo-\That's why you have to let me help you.\Hey you all, response:	this dramatic soap opera that's been dragging on,
context: What the hell are you doing, you brat!?\No way... Not you too!?\I'm sorry about just now.\I can understand the feeling of being lonely...\You lie! I don't want someone like yo-\That's why you have to let me help you.\Hey you all,\this dramatic soap opera that's been dragging on, response:	must be some kind of a joke!
context: No way... Not you too!?\I'm sorry about just now.\I can understand the feeling of being lonely...\You lie! I don't want someone like yo-\That's why you have to let me help you.\Hey you all,\this dramatic soap opera that's been dragging on,\must be some kind of a joke! response:	Just leave this to us!
context: I'm sorry about just now.\I can understand the feeling of being lonely...\You lie! I don't want someone like yo-\That's why you have to let me help you.\Hey you all,\this dramatic soap opera that's been dragging on,\must be some kind of a joke!\Just leave this to us! response:	Class president, you handle that girl!
context: I can understand the feeling of being lonely...\You lie! I don't want someone like yo-\That's why you have to let me help you.\Hey you all,\this dramatic soap opera that's been dragging on,\must be some kind of a joke!\Just leave this to us!\Class president, you handle that girl! response:	Tsukune! Yukari-chan!
context: You lie! I don't want someone like yo-\That's why you have to let me help you.\Hey you all,\this dramatic soap opera that's been dragging on,\must be some kind of a joke!\Just leave this to us!\Class president, you handle that girl!\Tsukune! Yukari-chan! response:	Are you alright, Tsukune?
context: That's why you have to let me help you.\Hey you all,\this dramatic soap opera that's been dragging on,\must be some kind of a joke!\Just leave this to us!\Class president, you handle that girl!\Tsukune! Yukari-chan!\Are you alright, Tsukune? response:	Kurumu-chan!
context: Hey you all,\this dramatic soap opera that's been dragging on,\must be some kind of a joke!\Just leave this to us!\Class president, you handle that girl!\Tsukune! Yukari-chan!\Are you alright, Tsukune?\Kurumu-chan! response:	Gosh! Heavy...
context: this dramatic soap opera that's been dragging on,\must be some kind of a joke!\Just leave this to us!\Class president, you handle that girl!\Tsukune! Yukari-chan!\Are you alright, Tsukune?\Kurumu-chan!\Gosh! Heavy... response:	T-Thank you.
context: must be some kind of a joke!\Just leave this to us!\Class president, you handle that girl!\Tsukune! Yukari-chan!\Are you alright, Tsukune?\Kurumu-chan!\Gosh! Heavy...\T-Thank you. response:	This is all for Tsukune...
context: Just leave this to us!\Class president, you handle that girl!\Tsukune! Yukari-chan!\Are you alright, Tsukune?\Kurumu-chan!\Gosh! Heavy...\T-Thank you.\This is all for Tsukune... response:	Yet there's one more?
context: Class president, you handle that girl!\Tsukune! Yukari-chan!\Are you alright, Tsukune?\Kurumu-chan!\Gosh! Heavy...\T-Thank you.\This is all for Tsukune...\Yet there's one more? response:	How displeasing.
context: Tsukune! Yukari-chan!\Are you alright, Tsukune?\Kurumu-chan!\Gosh! Heavy...\T-Thank you.\This is all for Tsukune...\Yet there's one more?\How displeasing. response:	With things coming to this, let's eat'em all together!
context: Are you alright, Tsukune?\Kurumu-chan!\Gosh! Heavy...\T-Thank you.\This is all for Tsukune...\Yet there's one more?\How displeasing.\With things coming to this, let's eat'em all together! response:	Come, if you dare!
context: Kurumu-chan!\Gosh! Heavy...\T-Thank you.\This is all for Tsukune...\Yet there's one more?\How displeasing.\With things coming to this, let's eat'em all together!\Come, if you dare! response:	Tsukune-san...
context: Gosh! Heavy...\T-Thank you.\This is all for Tsukune...\Yet there's one more?\How displeasing.\With things coming to this, let's eat'em all together!\Come, if you dare!\Tsukune-san... response:	Tsukune, protect me!
context: T-Thank you.\This is all for Tsukune...\Yet there's one more?\How displeasing.\With things coming to this, let's eat'em all together!\Come, if you dare!\Tsukune-san...\Tsukune, protect me! response:	Tsukune!
context: This is all for Tsukune...\Yet there's one more?\How displeasing.\With things coming to this, let's eat'em all together!\Come, if you dare!\Tsukune-san...\Tsukune, protect me!\Tsukune! response:	NOW!
context: Yet there's one more?\How displeasing.\With things coming to this, let's eat'em all together!\Come, if you dare!\Tsukune-san...\Tsukune, protect me!\Tsukune!\NOW! response:	Eat!
context: How displeasing.\With things coming to this, let's eat'em all together!\Come, if you dare!\Tsukune-san...\Tsukune, protect me!\Tsukune!\NOW!\Eat! response:	Eat!!!
context: With things coming to this, let's eat'em all together!\Come, if you dare!\Tsukune-san...\Tsukune, protect me!\Tsukune!\NOW!\Eat!\Eat!!! response:	How dazzling!
context: Come, if you dare!\Tsukune-san...\Tsukune, protect me!\Tsukune!\NOW!\Eat!\Eat!!!\How dazzling! response:	W-What is this?
context: Tsukune-san...\Tsukune, protect me!\Tsukune!\NOW!\Eat!\Eat!!!\How dazzling!\W-What is this? response:	Such a monstrous demonic aura!
context: Tsukune, protect me!\Tsukune!\NOW!\Eat!\Eat!!!\How dazzling!\W-What is this?\Such a monstrous demonic aura! response:	Once the rosary on her chest is removed,
context: Tsukune!\NOW!\Eat!\Eat!!!\How dazzling!\W-What is this?\Such a monstrous demonic aura!\Once the rosary on her chest is removed, response:	The hidden side of Moka.
context: NOW!\Eat!\Eat!!!\How dazzling!\W-What is this?\Such a monstrous demonic aura!\Once the rosary on her chest is removed,\The hidden side of Moka. response:	The Vampire blood within Moka will awaken.
context: Eat!\Eat!!!\How dazzling!\W-What is this?\Such a monstrous demonic aura!\Once the rosary on her chest is removed,\The hidden side of Moka.\The Vampire blood within Moka will awaken. response:	Stand down, you inferior beings!
context: Eat!!!\How dazzling!\W-What is this?\Such a monstrous demonic aura!\Once the rosary on her chest is removed,\The hidden side of Moka.\The Vampire blood within Moka will awaken.\Stand down, you inferior beings! response:	T-This is Moka-san's true form!?
context: How dazzling!\W-What is this?\Such a monstrous demonic aura!\Once the rosary on her chest is removed,\The hidden side of Moka.\The Vampire blood within Moka will awaken.\Stand down, you inferior beings!\T-This is Moka-san's true form!? response:	Dyed hair is against the school rules!
context: W-What is this?\Such a monstrous demonic aura!\Once the rosary on her chest is removed,\The hidden side of Moka.\The Vampire blood within Moka will awaken.\Stand down, you inferior beings!\T-This is Moka-san's true form!?\Dyed hair is against the school rules! response:	A skirt too short is also against the school rules!
context: Such a monstrous demonic aura!\Once the rosary on her chest is removed,\The hidden side of Moka.\The Vampire blood within Moka will awaken.\Stand down, you inferior beings!\T-This is Moka-san's true form!?\Dyed hair is against the school rules!\A skirt too short is also against the school rules! response:	The legendary super monster - vampire!
context: Once the rosary on her chest is removed,\The hidden side of Moka.\The Vampire blood within Moka will awaken.\Stand down, you inferior beings!\T-This is Moka-san's true form!?\Dyed hair is against the school rules!\A skirt too short is also against the school rules!\The legendary super monster - vampire! response:	H-How could... Within a moment!
context: The hidden side of Moka.\The Vampire blood within Moka will awaken.\Stand down, you inferior beings!\T-This is Moka-san's true form!?\Dyed hair is against the school rules!\A skirt too short is also against the school rules!\The legendary super monster - vampire!\H-How could... Within a moment! response:	I couldn't see what happened!
context: The Vampire blood within Moka will awaken.\Stand down, you inferior beings!\T-This is Moka-san's true form!?\Dyed hair is against the school rules!\A skirt too short is also against the school rules!\The legendary super monster - vampire!\H-How could... Within a moment!\I couldn't see what happened! response:	You can only bully the weak by ganging up on them.
context: Stand down, you inferior beings!\T-This is Moka-san's true form!?\Dyed hair is against the school rules!\A skirt too short is also against the school rules!\The legendary super monster - vampire!\H-How could... Within a moment!\I couldn't see what happened!\You can only bully the weak by ganging up on them. response:	Pitiful trash.
context: T-This is Moka-san's true form!?\Dyed hair is against the school rules!\A skirt too short is also against the school rules!\The legendary super monster - vampire!\H-How could... Within a moment!\I couldn't see what happened!\You can only bully the weak by ganging up on them.\Pitiful trash. response:	Your power is against the school rules!
context: Dyed hair is against the school rules!\A skirt too short is also against the school rules!\The legendary super monster - vampire!\H-How could... Within a moment!\I couldn't see what happened!\You can only bully the weak by ganging up on them.\Pitiful trash.\Your power is against the school rules! response:	Shut your trap.
context: A skirt too short is also against the school rules!\The legendary super monster - vampire!\H-How could... Within a moment!\I couldn't see what happened!\You can only bully the weak by ganging up on them.\Pitiful trash.\Your power is against the school rules!\Shut your trap. response:	I'll remember this!
context: The legendary super monster - vampire!\H-How could... Within a moment!\I couldn't see what happened!\You can only bully the weak by ganging up on them.\Pitiful trash.\Your power is against the school rules!\Shut your trap.\I'll remember this! response:	This week's winner was decided within 59 secondschuu!
context: H-How could... Within a moment!\I couldn't see what happened!\You can only bully the weak by ganging up on them.\Pitiful trash.\Your power is against the school rules!\Shut your trap.\I'll remember this!\This week's winner was decided within 59 secondschuu! response:	Amazing... As expected from Moka-san...
context: I couldn't see what happened!\You can only bully the weak by ganging up on them.\Pitiful trash.\Your power is against the school rules!\Shut your trap.\I'll remember this!\This week's winner was decided within 59 secondschuu!\Amazing... As expected from Moka-san... response:	Why?
context: You can only bully the weak by ganging up on them.\Pitiful trash.\Your power is against the school rules!\Shut your trap.\I'll remember this!\This week's winner was decided within 59 secondschuu!\Amazing... As expected from Moka-san...\Why? response:	I did such awful things to everyone...
context: Pitiful trash.\Your power is against the school rules!\Shut your trap.\I'll remember this!\This week's winner was decided within 59 secondschuu!\Amazing... As expected from Moka-san...\Why?\I did such awful things to everyone... response:	Why do you still save me?
context: Your power is against the school rules!\Shut your trap.\I'll remember this!\This week's winner was decided within 59 secondschuu!\Amazing... As expected from Moka-san...\Why?\I did such awful things to everyone...\Why do you still save me? response:	Didn't I tell you?
context: Shut your trap.\I'll remember this!\This week's winner was decided within 59 secondschuu!\Amazing... As expected from Moka-san...\Why?\I did such awful things to everyone...\Why do you still save me?\Didn't I tell you? response:	Everyone wanted to help Yukari-chan.
context: I'll remember this!\This week's winner was decided within 59 secondschuu!\Amazing... As expected from Moka-san...\Why?\I did such awful things to everyone...\Why do you still save me?\Didn't I tell you?\Everyone wanted to help Yukari-chan. response:	You're not alone anymore...
context: This week's winner was decided within 59 secondschuu!\Amazing... As expected from Moka-san...\Why?\I did such awful things to everyone...\Why do you still save me?\Didn't I tell you?\Everyone wanted to help Yukari-chan.\You're not alone anymore... response:	Just like that, a few days laterchuu...
context: Amazing... As expected from Moka-san...\Why?\I did such awful things to everyone...\Why do you still save me?\Didn't I tell you?\Everyone wanted to help Yukari-chan.\You're not alone anymore...\Just like that, a few days laterchuu... response:	I've heard that Yukari-chan become better behaved.
context: Why?\I did such awful things to everyone...\Why do you still save me?\Didn't I tell you?\Everyone wanted to help Yukari-chan.\You're not alone anymore...\Just like that, a few days laterchuu...\I've heard that Yukari-chan become better behaved. response:	She apologized to the class for her past misdeeds too.
context: I did such awful things to everyone...\Why do you still save me?\Didn't I tell you?\Everyone wanted to help Yukari-chan.\You're not alone anymore...\Just like that, a few days laterchuu...\I've heard that Yukari-chan become better behaved.\She apologized to the class for her past misdeeds too. response:	On the contrary, everyone began to think about their past actions towards her.
context: Why do you still save me?\Didn't I tell you?\Everyone wanted to help Yukari-chan.\You're not alone anymore...\Just like that, a few days laterchuu...\I've heard that Yukari-chan become better behaved.\She apologized to the class for her past misdeeds too.\On the contrary, everyone began to think about their past actions towards her. response:	It seems like they're gradually getting along together.
context: Didn't I tell you?\Everyone wanted to help Yukari-chan.\You're not alone anymore...\Just like that, a few days laterchuu...\I've heard that Yukari-chan become better behaved.\She apologized to the class for her past misdeeds too.\On the contrary, everyone began to think about their past actions towards her.\It seems like they're gradually getting along together. response:	That's great.
context: Everyone wanted to help Yukari-chan.\You're not alone anymore...\Just like that, a few days laterchuu...\I've heard that Yukari-chan become better behaved.\She apologized to the class for her past misdeeds too.\On the contrary, everyone began to think about their past actions towards her.\It seems like they're gradually getting along together.\That's great. response:	I love-love Tsukune-san!
context: You're not alone anymore...\Just like that, a few days laterchuu...\I've heard that Yukari-chan become better behaved.\She apologized to the class for her past misdeeds too.\On the contrary, everyone began to think about their past actions towards her.\It seems like they're gradually getting along together.\That's great.\I love-love Tsukune-san! response:	Y-Yukari-chan?
context: Just like that, a few days laterchuu...\I've heard that Yukari-chan become better behaved.\She apologized to the class for her past misdeeds too.\On the contrary, everyone began to think about their past actions towards her.\It seems like they're gradually getting along together.\That's great.\I love-love Tsukune-san!\Y-Yukari-chan? response:	Good afternoon!
context: I've heard that Yukari-chan become better behaved.\She apologized to the class for her past misdeeds too.\On the contrary, everyone began to think about their past actions towards her.\It seems like they're gradually getting along together.\That's great.\I love-love Tsukune-san!\Y-Yukari-chan?\Good afternoon! response:	My classroom is right beside here, so let me play here too!
context: She apologized to the class for her past misdeeds too.\On the contrary, everyone began to think about their past actions towards her.\It seems like they're gradually getting along together.\That's great.\I love-love Tsukune-san!\Y-Yukari-chan?\Good afternoon!\My classroom is right beside here, so let me play here too! response:	Play...
context: On the contrary, everyone began to think about their past actions towards her.\It seems like they're gradually getting along together.\That's great.\I love-love Tsukune-san!\Y-Yukari-chan?\Good afternoon!\My classroom is right beside here, so let me play here too!\Play... response:	That's because I love Moka-san, and I've also fallen in love with Tsukune-san!
context: It seems like they're gradually getting along together.\That's great.\I love-love Tsukune-san!\Y-Yukari-chan?\Good afternoon!\My classroom is right beside here, so let me play here too!\Play...\That's because I love Moka-san, and I've also fallen in love with Tsukune-san! response:	When I was pushed down by Tsukune-san, I felt a mature atmosphere!
context: That's great.\I love-love Tsukune-san!\Y-Yukari-chan?\Good afternoon!\My classroom is right beside here, so let me play here too!\Play...\That's because I love Moka-san, and I've also fallen in love with Tsukune-san!\When I was pushed down by Tsukune-san, I felt a mature atmosphere! response:	In other words, I hope he'll push me down a few more times!
context: I love-love Tsukune-san!\Y-Yukari-chan?\Good afternoon!\My classroom is right beside here, so let me play here too!\Play...\That's because I love Moka-san, and I've also fallen in love with Tsukune-san!\When I was pushed down by Tsukune-san, I felt a mature atmosphere!\In other words, I hope he'll push me down a few more times! response:	We can't do that...
context: Y-Yukari-chan?\Good afternoon!\My classroom is right beside here, so let me play here too!\Play...\That's because I love Moka-san, and I've also fallen in love with Tsukune-san!\When I was pushed down by Tsukune-san, I felt a mature atmosphere!\In other words, I hope he'll push me down a few more times!\We can't do that... response:	That's right! Tsukune is mine!
context: Good afternoon!\My classroom is right beside here, so let me play here too!\Play...\That's because I love Moka-san, and I've also fallen in love with Tsukune-san!\When I was pushed down by Tsukune-san, I felt a mature atmosphere!\In other words, I hope he'll push me down a few more times!\We can't do that...\That's right! Tsukune is mine! response:	Mine!
context: My classroom is right beside here, so let me play here too!\Play...\That's because I love Moka-san, and I've also fallen in love with Tsukune-san!\When I was pushed down by Tsukune-san, I felt a mature atmosphere!\In other words, I hope he'll push me down a few more times!\We can't do that...\That's right! Tsukune is mine!\Mine! response:	What're you saying!?
context: Play...\That's because I love Moka-san, and I've also fallen in love with Tsukune-san!\When I was pushed down by Tsukune-san, I felt a mature atmosphere!\In other words, I hope he'll push me down a few more times!\We can't do that...\That's right! Tsukune is mine!\Mine!\What're you saying!? response:	You can't, Yukari-chan...
context: That's because I love Moka-san, and I've also fallen in love with Tsukune-san!\When I was pushed down by Tsukune-san, I felt a mature atmosphere!\In other words, I hope he'll push me down a few more times!\We can't do that...\That's right! Tsukune is mine!\Mine!\What're you saying!?\You can't, Yukari-chan... response:	Tsukune is mine!
context: When I was pushed down by Tsukune-san, I felt a mature atmosphere!\In other words, I hope he'll push me down a few more times!\We can't do that...\That's right! Tsukune is mine!\Mine!\What're you saying!?\You can't, Yukari-chan...\Tsukune is mine! response:	W-Wait, Moka-san!
context: In other words, I hope he'll push me down a few more times!\We can't do that...\That's right! Tsukune is mine!\Mine!\What're you saying!?\You can't, Yukari-chan...\Tsukune is mine!\W-Wait, Moka-san! response:	Kappuchu
context: We can't do that...\That's right! Tsukune is mine!\Mine!\What're you saying!?\You can't, Yukari-chan...\Tsukune is mine!\W-Wait, Moka-san!\Kappuchu response:	Not this again!!!
context: That's right! Tsukune is mine!\Mine!\What're you saying!?\You can't, Yukari-chan...\Tsukune is mine!\W-Wait, Moka-san!\Kappuchu\Not this again!!! response:	Yukari's magical classroom!
context: Mine!\What're you saying!?\You can't, Yukari-chan...\Tsukune is mine!\W-Wait, Moka-san!\Kappuchu\Not this again!!!\Yukari's magical classroom! response:	I'm going to pull a bird out of this bowl!
context: What're you saying!?\You can't, Yukari-chan...\Tsukune is mine!\W-Wait, Moka-san!\Kappuchu\Not this again!!!\Yukari's magical classroom!\I'm going to pull a bird out of this bowl! response:	Eh Yukari-chan, this isn't the time for jokes!
context: You can't, Yukari-chan...\Tsukune is mine!\W-Wait, Moka-san!\Kappuchu\Not this again!!!\Yukari's magical classroom!\I'm going to pull a bird out of this bowl!\Eh Yukari-chan, this isn't the time for jokes! response:	Tsukune has...
context: Tsukune is mine!\W-Wait, Moka-san!\Kappuchu\Not this again!!!\Yukari's magical classroom!\I'm going to pull a bird out of this bowl!\Eh Yukari-chan, this isn't the time for jokes!\Tsukune has... response:	Eh?
context: W-Wait, Moka-san!\Kappuchu\Not this again!!!\Yukari's magical classroom!\I'm going to pull a bird out of this bowl!\Eh Yukari-chan, this isn't the time for jokes!\Tsukune has...\Eh? response:	Next episode,
context: Kappuchu\Not this again!!!\Yukari's magical classroom!\I'm going to pull a bird out of this bowl!\Eh Yukari-chan, this isn't the time for jokes!\Tsukune has...\Eh?\Next episode, response:	A Farewell and a Vampire,
context: Not this again!!!\Yukari's magical classroom!\I'm going to pull a bird out of this bowl!\Eh Yukari-chan, this isn't the time for jokes!\Tsukune has...\Eh?\Next episode,\A Farewell and a Vampire, response:	and a kappuchu for you!
