context: Kaoru-san... response:	So we're in the same class this year, too? I'm glad.
context: My dream is to become a star!\Seiji\Wait a second! Are those the underpants of somebody who aims to be a star?!\Oh, these?\I've got a lot of brothers, so if I don't stake my claim like this,\they'll disappear in a hurry.\And we're poor, so we can't afford to buy new ones often.\Amongst all my brothers, I'm called the good-for-nothing. response:	Really, singing is the only thing I'm good at...
context: Seiji\Wait a second! Are those the underpants of somebody who aims to be a star?!\Oh, these?\I've got a lot of brothers, so if I don't stake my claim like this,\they'll disappear in a hurry.\And we're poor, so we can't afford to buy new ones often.\Amongst all my brothers, I'm called the good-for-nothing.\Really, singing is the only thing I'm good at... response:	I wanna prove that I can become somebody who's able to support his family.
context: Wait a second! Are those the underpants of somebody who aims to be a star?!\Oh, these?\I've got a lot of brothers, so if I don't stake my claim like this,\they'll disappear in a hurry.\And we're poor, so we can't afford to buy new ones often.\Amongst all my brothers, I'm called the good-for-nothing.\Really, singing is the only thing I'm good at...\I wanna prove that I can become somebody who's able to support his family. response:	To me, this band is the first step. So...
context: Oh, these?\I've got a lot of brothers, so if I don't stake my claim like this,\they'll disappear in a hurry.\And we're poor, so we can't afford to buy new ones often.\Amongst all my brothers, I'm called the good-for-nothing.\Really, singing is the only thing I'm good at...\I wanna prove that I can become somebody who's able to support his family.\To me, this band is the first step. So... response:	Kawabuchi-kun, I need your talent.
context: I've got a lot of brothers, so if I don't stake my claim like this,\they'll disappear in a hurry.\And we're poor, so we can't afford to buy new ones often.\Amongst all my brothers, I'm called the good-for-nothing.\Really, singing is the only thing I'm good at...\I wanna prove that I can become somebody who's able to support his family.\To me, this band is the first step. So...\Kawabuchi-kun, I need your talent. response:	A-Awesome!
context: they'll disappear in a hurry.\And we're poor, so we can't afford to buy new ones often.\Amongst all my brothers, I'm called the good-for-nothing.\Really, singing is the only thing I'm good at...\I wanna prove that I can become somebody who's able to support his family.\To me, this band is the first step. So...\Kawabuchi-kun, I need your talent.\A-Awesome! response:	That was wonderful, Maruo-kun! Much better than I expected!
context: And we're poor, so we can't afford to buy new ones often.\Amongst all my brothers, I'm called the good-for-nothing.\Really, singing is the only thing I'm good at...\I wanna prove that I can become somebody who's able to support his family.\To me, this band is the first step. So...\Kawabuchi-kun, I need your talent.\A-Awesome!\That was wonderful, Maruo-kun! Much better than I expected! response:	I lost...
context: Amongst all my brothers, I'm called the good-for-nothing.\Really, singing is the only thing I'm good at...\I wanna prove that I can become somebody who's able to support his family.\To me, this band is the first step. So...\Kawabuchi-kun, I need your talent.\A-Awesome!\That was wonderful, Maruo-kun! Much better than I expected!\I lost... response:	Alright, now all we need is a drummer.
context: Really, singing is the only thing I'm good at...\I wanna prove that I can become somebody who's able to support his family.\To me, this band is the first step. So...\Kawabuchi-kun, I need your talent.\A-Awesome!\That was wonderful, Maruo-kun! Much better than I expected!\I lost...\Alright, now all we need is a drummer. response:	Seiji, are you gonna tell me who it is you have in mind?
context: I wanna prove that I can become somebody who's able to support his family.\To me, this band is the first step. So...\Kawabuchi-kun, I need your talent.\A-Awesome!\That was wonderful, Maruo-kun! Much better than I expected!\I lost...\Alright, now all we need is a drummer.\Seiji, are you gonna tell me who it is you have in mind? response:	Oh, you'll find out soon enough. Be ready for a surprise.
context: To me, this band is the first step. So...\Kawabuchi-kun, I need your talent.\A-Awesome!\That was wonderful, Maruo-kun! Much better than I expected!\I lost...\Alright, now all we need is a drummer.\Seiji, are you gonna tell me who it is you have in mind?\Oh, you'll find out soon enough. Be ready for a surprise. response:	Hey, Ri'ko!
context: Kawabuchi-kun, I need your talent.\A-Awesome!\That was wonderful, Maruo-kun! Much better than I expected!\I lost...\Alright, now all we need is a drummer.\Seiji, are you gonna tell me who it is you have in mind?\Oh, you'll find out soon enough. Be ready for a surprise.\Hey, Ri'ko! response:	Yeah?
context: A-Awesome!\That was wonderful, Maruo-kun! Much better than I expected!\I lost...\Alright, now all we need is a drummer.\Seiji, are you gonna tell me who it is you have in mind?\Oh, you'll find out soon enough. Be ready for a surprise.\Hey, Ri'ko!\Yeah? response:	No school tomorrow, so if you're free, wanna go to the beach?
context: That was wonderful, Maruo-kun! Much better than I expected!\I lost...\Alright, now all we need is a drummer.\Seiji, are you gonna tell me who it is you have in mind?\Oh, you'll find out soon enough. Be ready for a surprise.\Hey, Ri'ko!\Yeah?\No school tomorrow, so if you're free, wanna go to the beach? response:	Ma told me to take the munchkins.
context: I lost...\Alright, now all we need is a drummer.\Seiji, are you gonna tell me who it is you have in mind?\Oh, you'll find out soon enough. Be ready for a surprise.\Hey, Ri'ko!\Yeah?\No school tomorrow, so if you're free, wanna go to the beach?\Ma told me to take the munchkins. response:	But lookin' after them alone is a tough job,
context: Alright, now all we need is a drummer.\Seiji, are you gonna tell me who it is you have in mind?\Oh, you'll find out soon enough. Be ready for a surprise.\Hey, Ri'ko!\Yeah?\No school tomorrow, so if you're free, wanna go to the beach?\Ma told me to take the munchkins.\But lookin' after them alone is a tough job, response:	so I thought I'd ask you along to help out.
context: Seiji, are you gonna tell me who it is you have in mind?\Oh, you'll find out soon enough. Be ready for a surprise.\Hey, Ri'ko!\Yeah?\No school tomorrow, so if you're free, wanna go to the beach?\Ma told me to take the munchkins.\But lookin' after them alone is a tough job,\so I thought I'd ask you along to help out. response:	Well, if you're busy...
context: Oh, you'll find out soon enough. Be ready for a surprise.\Hey, Ri'ko!\Yeah?\No school tomorrow, so if you're free, wanna go to the beach?\Ma told me to take the munchkins.\But lookin' after them alone is a tough job,\so I thought I'd ask you along to help out.\Well, if you're busy... response:	Richie!
context: Hey, Ri'ko!\Yeah?\No school tomorrow, so if you're free, wanna go to the beach?\Ma told me to take the munchkins.\But lookin' after them alone is a tough job,\so I thought I'd ask you along to help out.\Well, if you're busy...\Richie! response:	Hold on there. You free tomorrow?
context: Yeah?\No school tomorrow, so if you're free, wanna go to the beach?\Ma told me to take the munchkins.\But lookin' after them alone is a tough job,\so I thought I'd ask you along to help out.\Well, if you're busy...\Richie!\Hold on there. You free tomorrow? response:	What do you say we have us a clammin' contest at the sea?!
context: No school tomorrow, so if you're free, wanna go to the beach?\Ma told me to take the munchkins.\But lookin' after them alone is a tough job,\so I thought I'd ask you along to help out.\Well, if you're busy...\Richie!\Hold on there. You free tomorrow?\What do you say we have us a clammin' contest at the sea?! response:	Say, Sentaro...
context: Ma told me to take the munchkins.\But lookin' after them alone is a tough job,\so I thought I'd ask you along to help out.\Well, if you're busy...\Richie!\Hold on there. You free tomorrow?\What do you say we have us a clammin' contest at the sea?!\Say, Sentaro... response:	I like clamming, but...
context: But lookin' after them alone is a tough job,\so I thought I'd ask you along to help out.\Well, if you're busy...\Richie!\Hold on there. You free tomorrow?\What do you say we have us a clammin' contest at the sea?!\Say, Sentaro...\I like clamming, but... response:	Ri-chan...
context: so I thought I'd ask you along to help out.\Well, if you're busy...\Richie!\Hold on there. You free tomorrow?\What do you say we have us a clammin' contest at the sea?!\Say, Sentaro...\I like clamming, but...\Ri-chan... response:	What's clammin? Is it some kind of competition?
context: Well, if you're busy...\Richie!\Hold on there. You free tomorrow?\What do you say we have us a clammin' contest at the sea?!\Say, Sentaro...\I like clamming, but...\Ri-chan...\What's clammin? Is it some kind of competition? response:	Oh, Kaoru-san! Clamming means digging up clams at the beach.
context: Richie!\Hold on there. You free tomorrow?\What do you say we have us a clammin' contest at the sea?!\Say, Sentaro...\I like clamming, but...\Ri-chan...\What's clammin? Is it some kind of competition?\Oh, Kaoru-san! Clamming means digging up clams at the beach. response:	Oh! It's confusing when this guy calls it a contest or whatever...
context: Hold on there. You free tomorrow?\What do you say we have us a clammin' contest at the sea?!\Say, Sentaro...\I like clamming, but...\Ri-chan...\What's clammin? Is it some kind of competition?\Oh, Kaoru-san! Clamming means digging up clams at the beach.\Oh! It's confusing when this guy calls it a contest or whatever... response:	Are you going too, Ri-chan?
context: What do you say we have us a clammin' contest at the sea?!\Say, Sentaro...\I like clamming, but...\Ri-chan...\What's clammin? Is it some kind of competition?\Oh, Kaoru-san! Clamming means digging up clams at the beach.\Oh! It's confusing when this guy calls it a contest or whatever...\Are you going too, Ri-chan? response:	I guess...
context: Say, Sentaro...\I like clamming, but...\Ri-chan...\What's clammin? Is it some kind of competition?\Oh, Kaoru-san! Clamming means digging up clams at the beach.\Oh! It's confusing when this guy calls it a contest or whatever...\Are you going too, Ri-chan?\I guess... response:	Great!
context: I like clamming, but...\Ri-chan...\What's clammin? Is it some kind of competition?\Oh, Kaoru-san! Clamming means digging up clams at the beach.\Oh! It's confusing when this guy calls it a contest or whatever...\Are you going too, Ri-chan?\I guess...\Great! response:	Then the threesome's set! This is gonna be fun!
context: Ri-chan...\What's clammin? Is it some kind of competition?\Oh, Kaoru-san! Clamming means digging up clams at the beach.\Oh! It's confusing when this guy calls it a contest or whatever...\Are you going too, Ri-chan?\I guess...\Great!\Then the threesome's set! This is gonna be fun! response:	I'll need to mentally prepare myself this time.
context: What's clammin? Is it some kind of competition?\Oh, Kaoru-san! Clamming means digging up clams at the beach.\Oh! It's confusing when this guy calls it a contest or whatever...\Are you going too, Ri-chan?\I guess...\Great!\Then the threesome's set! This is gonna be fun!\I'll need to mentally prepare myself this time. response:	If those two have a romantic moment...
context: Oh, Kaoru-san! Clamming means digging up clams at the beach.\Oh! It's confusing when this guy calls it a contest or whatever...\Are you going too, Ri-chan?\I guess...\Great!\Then the threesome's set! This is gonna be fun!\I'll need to mentally prepare myself this time.\If those two have a romantic moment... response:	Or that was the idea...
context: Oh! It's confusing when this guy calls it a contest or whatever...\Are you going too, Ri-chan?\I guess...\Great!\Then the threesome's set! This is gonna be fun!\I'll need to mentally prepare myself this time.\If those two have a romantic moment...\Or that was the idea... response:	I got a hamaguri clam!
context: Are you going too, Ri-chan?\I guess...\Great!\Then the threesome's set! This is gonna be fun!\I'll need to mentally prepare myself this time.\If those two have a romantic moment...\Or that was the idea...\I got a hamaguri clam! response:	That's a short-necked clam.
context: I guess...\Great!\Then the threesome's set! This is gonna be fun!\I'll need to mentally prepare myself this time.\If those two have a romantic moment...\Or that was the idea...\I got a hamaguri clam!\That's a short-necked clam. response:	Hi. Fancy meeting you here, Kawabuchi-kun!
context: Great!\Then the threesome's set! This is gonna be fun!\I'll need to mentally prepare myself this time.\If those two have a romantic moment...\Or that was the idea...\I got a hamaguri clam!\That's a short-necked clam.\Hi. Fancy meeting you here, Kawabuchi-kun! response:	Oh, it's a pleasure to meet you.
context: Then the threesome's set! This is gonna be fun!\I'll need to mentally prepare myself this time.\If those two have a romantic moment...\Or that was the idea...\I got a hamaguri clam!\That's a short-necked clam.\Hi. Fancy meeting you here, Kawabuchi-kun!\Oh, it's a pleasure to meet you. response:	What cute little girls and boys.
context: I'll need to mentally prepare myself this time.\If those two have a romantic moment...\Or that was the idea...\I got a hamaguri clam!\That's a short-necked clam.\Hi. Fancy meeting you here, Kawabuchi-kun!\Oh, it's a pleasure to meet you.\What cute little girls and boys. response:	You know, there's a place over there where you can find a lot of razor clams.
context: If those two have a romantic moment...\Or that was the idea...\I got a hamaguri clam!\That's a short-necked clam.\Hi. Fancy meeting you here, Kawabuchi-kun!\Oh, it's a pleasure to meet you.\What cute little girls and boys.\You know, there's a place over there where you can find a lot of razor clams. response:	Razors?!
context: Or that was the idea...\I got a hamaguri clam!\That's a short-necked clam.\Hi. Fancy meeting you here, Kawabuchi-kun!\Oh, it's a pleasure to meet you.\What cute little girls and boys.\You know, there's a place over there where you can find a lot of razor clams.\Razors?! response:	You must be Ritsuko-chan.
context: I got a hamaguri clam!\That's a short-necked clam.\Hi. Fancy meeting you here, Kawabuchi-kun!\Oh, it's a pleasure to meet you.\What cute little girls and boys.\You know, there's a place over there where you can find a lot of razor clams.\Razors?!\You must be Ritsuko-chan. response:	I've heard about you from Yurika.
context: That's a short-necked clam.\Hi. Fancy meeting you here, Kawabuchi-kun!\Oh, it's a pleasure to meet you.\What cute little girls and boys.\You know, there's a place over there where you can find a lot of razor clams.\Razors?!\You must be Ritsuko-chan.\I've heard about you from Yurika. response:	She said you were exceptionally cute!
context: Hi. Fancy meeting you here, Kawabuchi-kun!\Oh, it's a pleasure to meet you.\What cute little girls and boys.\You know, there's a place over there where you can find a lot of razor clams.\Razors?!\You must be Ritsuko-chan.\I've heard about you from Yurika.\She said you were exceptionally cute! response:	Hey! Where are the razor clams?!
context: Oh, it's a pleasure to meet you.\What cute little girls and boys.\You know, there's a place over there where you can find a lot of razor clams.\Razors?!\You must be Ritsuko-chan.\I've heard about you from Yurika.\She said you were exceptionally cute!\Hey! Where are the razor clams?! response:	Oh, they're right over here. Follow me.
context: What cute little girls and boys.\You know, there's a place over there where you can find a lot of razor clams.\Razors?!\You must be Ritsuko-chan.\I've heard about you from Yurika.\She said you were exceptionally cute!\Hey! Where are the razor clams?!\Oh, they're right over here. Follow me. response:	What's with that guy? Sweet-talking everyone...
context: You know, there's a place over there where you can find a lot of razor clams.\Razors?!\You must be Ritsuko-chan.\I've heard about you from Yurika.\She said you were exceptionally cute!\Hey! Where are the razor clams?!\Oh, they're right over here. Follow me.\What's with that guy? Sweet-talking everyone... response:	Don't criticize the guy when you don't know'im.
context: Razors?!\You must be Ritsuko-chan.\I've heard about you from Yurika.\She said you were exceptionally cute!\Hey! Where are the razor clams?!\Oh, they're right over here. Follow me.\What's with that guy? Sweet-talking everyone...\Don't criticize the guy when you don't know'im. response:	Bro, you come, too!
context: You must be Ritsuko-chan.\I've heard about you from Yurika.\She said you were exceptionally cute!\Hey! Where are the razor clams?!\Oh, they're right over here. Follow me.\What's with that guy? Sweet-talking everyone...\Don't criticize the guy when you don't know'im.\Bro, you come, too! response:	Sure.
context: I've heard about you from Yurika.\She said you were exceptionally cute!\Hey! Where are the razor clams?!\Oh, they're right over here. Follow me.\What's with that guy? Sweet-talking everyone...\Don't criticize the guy when you don't know'im.\Bro, you come, too!\Sure. response:	Interesting, right?! Who wants to try it?!
context: She said you were exceptionally cute!\Hey! Where are the razor clams?!\Oh, they're right over here. Follow me.\What's with that guy? Sweet-talking everyone...\Don't criticize the guy when you don't know'im.\Bro, you come, too!\Sure.\Interesting, right?! Who wants to try it?! response:	Me, me!
context: Hey! Where are the razor clams?!\Oh, they're right over here. Follow me.\What's with that guy? Sweet-talking everyone...\Don't criticize the guy when you don't know'im.\Bro, you come, too!\Sure.\Interesting, right?! Who wants to try it?!\Me, me! response:	Salt!
context: Oh, they're right over here. Follow me.\What's with that guy? Sweet-talking everyone...\Don't criticize the guy when you don't know'im.\Bro, you come, too!\Sure.\Interesting, right?! Who wants to try it?!\Me, me!\Salt! response:	Looks like they're having a good time over there. Shall we join them?
context: What's with that guy? Sweet-talking everyone...\Don't criticize the guy when you don't know'im.\Bro, you come, too!\Sure.\Interesting, right?! Who wants to try it?!\Me, me!\Salt!\Looks like they're having a good time over there. Shall we join them? response:	I'll pass. For some reason, that Matsuoka character rubs me the wrong way...
context: Don't criticize the guy when you don't know'im.\Bro, you come, too!\Sure.\Interesting, right?! Who wants to try it?!\Me, me!\Salt!\Looks like they're having a good time over there. Shall we join them?\I'll pass. For some reason, that Matsuoka character rubs me the wrong way... response:	What's wrong, Taiichi?!
context: Bro, you come, too!\Sure.\Interesting, right?! Who wants to try it?!\Me, me!\Salt!\Looks like they're having a good time over there. Shall we join them?\I'll pass. For some reason, that Matsuoka character rubs me the wrong way...\What's wrong, Taiichi?! response:	Oh, no! I'll be back in a bit!
context: Sure.\Interesting, right?! Who wants to try it?!\Me, me!\Salt!\Looks like they're having a good time over there. Shall we join them?\I'll pass. For some reason, that Matsuoka character rubs me the wrong way...\What's wrong, Taiichi?!\Oh, no! I'll be back in a bit! response:	Crab!
context: Interesting, right?! Who wants to try it?!\Me, me!\Salt!\Looks like they're having a good time over there. Shall we join them?\I'll pass. For some reason, that Matsuoka character rubs me the wrong way...\What's wrong, Taiichi?!\Oh, no! I'll be back in a bit!\Crab! response:	You were surprised when the crab pinched you, right?
context: Me, me!\Salt!\Looks like they're having a good time over there. Shall we join them?\I'll pass. For some reason, that Matsuoka character rubs me the wrong way...\What's wrong, Taiichi?!\Oh, no! I'll be back in a bit!\Crab!\You were surprised when the crab pinched you, right? response:	Thank goodness that's all it was!
context: Salt!\Looks like they're having a good time over there. Shall we join them?\I'll pass. For some reason, that Matsuoka character rubs me the wrong way...\What's wrong, Taiichi?!\Oh, no! I'll be back in a bit!\Crab!\You were surprised when the crab pinched you, right?\Thank goodness that's all it was! response:	Hey, Seiji! Don't tell me your drummer is Kawabuchi!
context: Looks like they're having a good time over there. Shall we join them?\I'll pass. For some reason, that Matsuoka character rubs me the wrong way...\What's wrong, Taiichi?!\Oh, no! I'll be back in a bit!\Crab!\You were surprised when the crab pinched you, right?\Thank goodness that's all it was!\Hey, Seiji! Don't tell me your drummer is Kawabuchi! response:	Please, anybody but him!
context: I'll pass. For some reason, that Matsuoka character rubs me the wrong way...\What's wrong, Taiichi?!\Oh, no! I'll be back in a bit!\Crab!\You were surprised when the crab pinched you, right?\Thank goodness that's all it was!\Hey, Seiji! Don't tell me your drummer is Kawabuchi!\Please, anybody but him! response:	I-I'm against it, too!
context: What's wrong, Taiichi?!\Oh, no! I'll be back in a bit!\Crab!\You were surprised when the crab pinched you, right?\Thank goodness that's all it was!\Hey, Seiji! Don't tell me your drummer is Kawabuchi!\Please, anybody but him!\I-I'm against it, too! response:	He isn't as scary as you think he is.
context: Oh, no! I'll be back in a bit!\Crab!\You were surprised when the crab pinched you, right?\Thank goodness that's all it was!\Hey, Seiji! Don't tell me your drummer is Kawabuchi!\Please, anybody but him!\I-I'm against it, too!\He isn't as scary as you think he is. response:	All I have to do is set him free from what's tying him down
context: Crab!\You were surprised when the crab pinched you, right?\Thank goodness that's all it was!\Hey, Seiji! Don't tell me your drummer is Kawabuchi!\Please, anybody but him!\I-I'm against it, too!\He isn't as scary as you think he is.\All I have to do is set him free from what's tying him down response:	and then everything should work out the way I want it to.
context: You were surprised when the crab pinched you, right?\Thank goodness that's all it was!\Hey, Seiji! Don't tell me your drummer is Kawabuchi!\Please, anybody but him!\I-I'm against it, too!\He isn't as scary as you think he is.\All I have to do is set him free from what's tying him down\and then everything should work out the way I want it to. response:	Hey, Richie!
context: Thank goodness that's all it was!\Hey, Seiji! Don't tell me your drummer is Kawabuchi!\Please, anybody but him!\I-I'm against it, too!\He isn't as scary as you think he is.\All I have to do is set him free from what's tying him down\and then everything should work out the way I want it to.\Hey, Richie! response:	Catchin' any short-necks?
context: Hey, Seiji! Don't tell me your drummer is Kawabuchi!\Please, anybody but him!\I-I'm against it, too!\He isn't as scary as you think he is.\All I have to do is set him free from what's tying him down\and then everything should work out the way I want it to.\Hey, Richie!\Catchin' any short-necks? response:	Better not underestimate me!
context: Please, anybody but him!\I-I'm against it, too!\He isn't as scary as you think he is.\All I have to do is set him free from what's tying him down\and then everything should work out the way I want it to.\Hey, Richie!\Catchin' any short-necks?\Better not underestimate me! response:	I'm good at this kind of simple task.
context: I-I'm against it, too!\He isn't as scary as you think he is.\All I have to do is set him free from what's tying him down\and then everything should work out the way I want it to.\Hey, Richie!\Catchin' any short-necks?\Better not underestimate me!\I'm good at this kind of simple task. response:	Well, I ain't gonna lose neither!
context: He isn't as scary as you think he is.\All I have to do is set him free from what's tying him down\and then everything should work out the way I want it to.\Hey, Richie!\Catchin' any short-necks?\Better not underestimate me!\I'm good at this kind of simple task.\Well, I ain't gonna lose neither! response:	Alright!
context: All I have to do is set him free from what's tying him down\and then everything should work out the way I want it to.\Hey, Richie!\Catchin' any short-necks?\Better not underestimate me!\I'm good at this kind of simple task.\Well, I ain't gonna lose neither!\Alright! response:	Clammin' contest!
context: and then everything should work out the way I want it to.\Hey, Richie!\Catchin' any short-necks?\Better not underestimate me!\I'm good at this kind of simple task.\Well, I ain't gonna lose neither!\Alright!\Clammin' contest! response:	What do I get if I win?!
context: Hey, Richie!\Catchin' any short-necks?\Better not underestimate me!\I'm good at this kind of simple task.\Well, I ain't gonna lose neither!\Alright!\Clammin' contest!\What do I get if I win?! response:	How about the record that Ri-chan's dad gave you?!
context: Catchin' any short-necks?\Better not underestimate me!\I'm good at this kind of simple task.\Well, I ain't gonna lose neither!\Alright!\Clammin' contest!\What do I get if I win?!\How about the record that Ri-chan's dad gave you?! response:	Forget about it!'Cause I'm gonna win anyway!
context: Better not underestimate me!\I'm good at this kind of simple task.\Well, I ain't gonna lose neither!\Alright!\Clammin' contest!\What do I get if I win?!\How about the record that Ri-chan's dad gave you?!\Forget about it!'Cause I'm gonna win anyway! response:	What about the Beatles record?
context: I'm good at this kind of simple task.\Well, I ain't gonna lose neither!\Alright!\Clammin' contest!\What do I get if I win?!\How about the record that Ri-chan's dad gave you?!\Forget about it!'Cause I'm gonna win anyway!\What about the Beatles record? response:	Kawabuchi-kun, did you listen to it?
context: Well, I ain't gonna lose neither!\Alright!\Clammin' contest!\What do I get if I win?!\How about the record that Ri-chan's dad gave you?!\Forget about it!'Cause I'm gonna win anyway!\What about the Beatles record?\Kawabuchi-kun, did you listen to it? response:	Yeah, I heard it. Wasn't bad...
context: Alright!\Clammin' contest!\What do I get if I win?!\How about the record that Ri-chan's dad gave you?!\Forget about it!'Cause I'm gonna win anyway!\What about the Beatles record?\Kawabuchi-kun, did you listen to it?\Yeah, I heard it. Wasn't bad... response:	Did it stir up your interest?!
context: Clammin' contest!\What do I get if I win?!\How about the record that Ri-chan's dad gave you?!\Forget about it!'Cause I'm gonna win anyway!\What about the Beatles record?\Kawabuchi-kun, did you listen to it?\Yeah, I heard it. Wasn't bad...\Did it stir up your interest?! response:	I wouldn't go that far. But still...
context: What do I get if I win?!\How about the record that Ri-chan's dad gave you?!\Forget about it!'Cause I'm gonna win anyway!\What about the Beatles record?\Kawabuchi-kun, did you listen to it?\Yeah, I heard it. Wasn't bad...\Did it stir up your interest?!\I wouldn't go that far. But still... response:	I'm thinkin' I'll help you out with
context: How about the record that Ri-chan's dad gave you?!\Forget about it!'Cause I'm gonna win anyway!\What about the Beatles record?\Kawabuchi-kun, did you listen to it?\Yeah, I heard it. Wasn't bad...\Did it stir up your interest?!\I wouldn't go that far. But still...\I'm thinkin' I'll help you out with response:	that band you're gonna have for the school festival.
context: Forget about it!'Cause I'm gonna win anyway!\What about the Beatles record?\Kawabuchi-kun, did you listen to it?\Yeah, I heard it. Wasn't bad...\Did it stir up your interest?!\I wouldn't go that far. But still...\I'm thinkin' I'll help you out with\that band you're gonna have for the school festival. response:	Really?!
context: What about the Beatles record?\Kawabuchi-kun, did you listen to it?\Yeah, I heard it. Wasn't bad...\Did it stir up your interest?!\I wouldn't go that far. But still...\I'm thinkin' I'll help you out with\that band you're gonna have for the school festival.\Really?! response:	You'll join my rock band?!
context: Kawabuchi-kun, did you listen to it?\Yeah, I heard it. Wasn't bad...\Did it stir up your interest?!\I wouldn't go that far. But still...\I'm thinkin' I'll help you out with\that band you're gonna have for the school festival.\Really?!\You'll join my rock band?! response:	Yeah...
context: Yeah, I heard it. Wasn't bad...\Did it stir up your interest?!\I wouldn't go that far. But still...\I'm thinkin' I'll help you out with\that band you're gonna have for the school festival.\Really?!\You'll join my rock band?!\Yeah... response:	Yay!
context: Did it stir up your interest?!\I wouldn't go that far. But still...\I'm thinkin' I'll help you out with\that band you're gonna have for the school festival.\Really?!\You'll join my rock band?!\Yeah...\Yay! response:	Richie, don't worry.
context: I wouldn't go that far. But still...\I'm thinkin' I'll help you out with\that band you're gonna have for the school festival.\Really?!\You'll join my rock band?!\Yeah...\Yay!\Richie, don't worry. response:	I'm so happy!
context: I'm thinkin' I'll help you out with\that band you're gonna have for the school festival.\Really?!\You'll join my rock band?!\Yeah...\Yay!\Richie, don't worry.\I'm so happy! response:	I'm just gonna be away'til the festival's over with.
context: that band you're gonna have for the school festival.\Really?!\You'll join my rock band?!\Yeah...\Yay!\Richie, don't worry.\I'm so happy!\I'm just gonna be away'til the festival's over with. response:	We're just gonna be apart for a while, Nishimi-kun.
context: Really?!\You'll join my rock band?!\Yeah...\Yay!\Richie, don't worry.\I'm so happy!\I'm just gonna be away'til the festival's over with.\We're just gonna be apart for a while, Nishimi-kun. response:	Let's send each other letters, okay?
context: You'll join my rock band?!\Yeah...\Yay!\Richie, don't worry.\I'm so happy!\I'm just gonna be away'til the festival's over with.\We're just gonna be apart for a while, Nishimi-kun.\Let's send each other letters, okay? response:	In a pig's ass!
context: Yeah...\Yay!\Richie, don't worry.\I'm so happy!\I'm just gonna be away'til the festival's over with.\We're just gonna be apart for a while, Nishimi-kun.\Let's send each other letters, okay?\In a pig's ass! response:	I was wrong about you, traitor!
context: Yay!\Richie, don't worry.\I'm so happy!\I'm just gonna be away'til the festival's over with.\We're just gonna be apart for a while, Nishimi-kun.\Let's send each other letters, okay?\In a pig's ass!\I was wrong about you, traitor! response:	Richie, wait!
context: Richie, don't worry.\I'm so happy!\I'm just gonna be away'til the festival's over with.\We're just gonna be apart for a while, Nishimi-kun.\Let's send each other letters, okay?\In a pig's ass!\I was wrong about you, traitor!\Richie, wait! response:	Listen to me!
context: I'm so happy!\I'm just gonna be away'til the festival's over with.\We're just gonna be apart for a while, Nishimi-kun.\Let's send each other letters, okay?\In a pig's ass!\I was wrong about you, traitor!\Richie, wait!\Listen to me! response:	Don't touch me! I don't want to listen to you!
context: I'm just gonna be away'til the festival's over with.\We're just gonna be apart for a while, Nishimi-kun.\Let's send each other letters, okay?\In a pig's ass!\I was wrong about you, traitor!\Richie, wait!\Listen to me!\Don't touch me! I don't want to listen to you! response:	I don't need you anymore.
context: We're just gonna be apart for a while, Nishimi-kun.\Let's send each other letters, okay?\In a pig's ass!\I was wrong about you, traitor!\Richie, wait!\Listen to me!\Don't touch me! I don't want to listen to you!\I don't need you anymore. response:	Kaoru-san! Wait!
context: Let's send each other letters, okay?\In a pig's ass!\I was wrong about you, traitor!\Richie, wait!\Listen to me!\Don't touch me! I don't want to listen to you!\I don't need you anymore.\Kaoru-san! Wait! response:	Kaoru-san!
context: In a pig's ass!\I was wrong about you, traitor!\Richie, wait!\Listen to me!\Don't touch me! I don't want to listen to you!\I don't need you anymore.\Kaoru-san! Wait!\Kaoru-san! response:	I know. I acted like an angry little kid.
context: I was wrong about you, traitor!\Richie, wait!\Listen to me!\Don't touch me! I don't want to listen to you!\I don't need you anymore.\Kaoru-san! Wait!\Kaoru-san!\I know. I acted like an angry little kid. response:	But being separated from him scares the hell out of me...
context: Richie, wait!\Listen to me!\Don't touch me! I don't want to listen to you!\I don't need you anymore.\Kaoru-san! Wait!\Kaoru-san!\I know. I acted like an angry little kid.\But being separated from him scares the hell out of me... response:	I abandoned him without thinking...
context: Listen to me!\Don't touch me! I don't want to listen to you!\I don't need you anymore.\Kaoru-san! Wait!\Kaoru-san!\I know. I acted like an angry little kid.\But being separated from him scares the hell out of me...\I abandoned him without thinking... response:	Since coming here, I'd forgotten
context: Don't touch me! I don't want to listen to you!\I don't need you anymore.\Kaoru-san! Wait!\Kaoru-san!\I know. I acted like an angry little kid.\But being separated from him scares the hell out of me...\I abandoned him without thinking...\Since coming here, I'd forgotten response:	that I'm not good at getting along with other people...
context: I don't need you anymore.\Kaoru-san! Wait!\Kaoru-san!\I know. I acted like an angry little kid.\But being separated from him scares the hell out of me...\I abandoned him without thinking...\Since coming here, I'd forgotten\that I'm not good at getting along with other people... response:	It's better this way...
context: Kaoru-san! Wait!\Kaoru-san!\I know. I acted like an angry little kid.\But being separated from him scares the hell out of me...\I abandoned him without thinking...\Since coming here, I'd forgotten\that I'm not good at getting along with other people...\It's better this way... response:	After all, I've made it this far all on my own...
