context: This is the Sea of Mist I heard tell of. response:	Is it true that nobody's ever come back alive from it?
context: The Continental Union didn't wait for a United Nations resolution\before dispatching a foreign fleet.\Meanwhile, there are a great number of countries that stand by the Evolvers.\It's expected that the situation will become even more complicated.\And so, the immigrants searched for a viable planet,\a search that would take at least dozens, maybe hundreds of years.\There was only one way to salvage this situation.\They applied mechanical engineering to biology. response:	By evolving the human body, we became able to adapt to the vacuum of space,
context: before dispatching a foreign fleet.\Meanwhile, there are a great number of countries that stand by the Evolvers.\It's expected that the situation will become even more complicated.\And so, the immigrants searched for a viable planet,\a search that would take at least dozens, maybe hundreds of years.\There was only one way to salvage this situation.\They applied mechanical engineering to biology.\By evolving the human body, we became able to adapt to the vacuum of space, response:	astronomical distances, and a vast amount of time.
context: Meanwhile, there are a great number of countries that stand by the Evolvers.\It's expected that the situation will become even more complicated.\And so, the immigrants searched for a viable planet,\a search that would take at least dozens, maybe hundreds of years.\There was only one way to salvage this situation.\They applied mechanical engineering to biology.\By evolving the human body, we became able to adapt to the vacuum of space,\astronomical distances, and a vast amount of time. response:	The symbiont is a marvelous invention.
context: It's expected that the situation will become even more complicated.\And so, the immigrants searched for a viable planet,\a search that would take at least dozens, maybe hundreds of years.\There was only one way to salvage this situation.\They applied mechanical engineering to biology.\By evolving the human body, we became able to adapt to the vacuum of space,\astronomical distances, and a vast amount of time.\The symbiont is a marvelous invention. response:	It can breathe oxygen underwater and withstand the water pressure of the deep sea.
context: And so, the immigrants searched for a viable planet,\a search that would take at least dozens, maybe hundreds of years.\There was only one way to salvage this situation.\They applied mechanical engineering to biology.\By evolving the human body, we became able to adapt to the vacuum of space,\astronomical distances, and a vast amount of time.\The symbiont is a marvelous invention.\It can breathe oxygen underwater and withstand the water pressure of the deep sea. response:	Eventually, I'm sure it'll adapt to the absolute zero vacuum.
context: a search that would take at least dozens, maybe hundreds of years.\There was only one way to salvage this situation.\They applied mechanical engineering to biology.\By evolving the human body, we became able to adapt to the vacuum of space,\astronomical distances, and a vast amount of time.\The symbiont is a marvelous invention.\It can breathe oxygen underwater and withstand the water pressure of the deep sea.\Eventually, I'm sure it'll adapt to the absolute zero vacuum. response:	It gets nutrition support from the symbiotic nanomachines.
context: There was only one way to salvage this situation.\They applied mechanical engineering to biology.\By evolving the human body, we became able to adapt to the vacuum of space,\astronomical distances, and a vast amount of time.\The symbiont is a marvelous invention.\It can breathe oxygen underwater and withstand the water pressure of the deep sea.\Eventually, I'm sure it'll adapt to the absolute zero vacuum.\It gets nutrition support from the symbiotic nanomachines. response:	It's similar to photosynthesis, but is even more efficient.
context: They applied mechanical engineering to biology.\By evolving the human body, we became able to adapt to the vacuum of space,\astronomical distances, and a vast amount of time.\The symbiont is a marvelous invention.\It can breathe oxygen underwater and withstand the water pressure of the deep sea.\Eventually, I'm sure it'll adapt to the absolute zero vacuum.\It gets nutrition support from the symbiotic nanomachines.\It's similar to photosynthesis, but is even more efficient. response:	Papa!
context: By evolving the human body, we became able to adapt to the vacuum of space,\astronomical distances, and a vast amount of time.\The symbiont is a marvelous invention.\It can breathe oxygen underwater and withstand the water pressure of the deep sea.\Eventually, I'm sure it'll adapt to the absolute zero vacuum.\It gets nutrition support from the symbiotic nanomachines.\It's similar to photosynthesis, but is even more efficient.\Papa! response:	Papa!
context: astronomical distances, and a vast amount of time.\The symbiont is a marvelous invention.\It can breathe oxygen underwater and withstand the water pressure of the deep sea.\Eventually, I'm sure it'll adapt to the absolute zero vacuum.\It gets nutrition support from the symbiotic nanomachines.\It's similar to photosynthesis, but is even more efficient.\Papa!\Papa! response:	We have to say bye-bye to Papa.
context: The symbiont is a marvelous invention.\It can breathe oxygen underwater and withstand the water pressure of the deep sea.\Eventually, I'm sure it'll adapt to the absolute zero vacuum.\It gets nutrition support from the symbiotic nanomachines.\It's similar to photosynthesis, but is even more efficient.\Papa!\Papa!\We have to say bye-bye to Papa. response:	Papa is going away?
context: It can breathe oxygen underwater and withstand the water pressure of the deep sea.\Eventually, I'm sure it'll adapt to the absolute zero vacuum.\It gets nutrition support from the symbiotic nanomachines.\It's similar to photosynthesis, but is even more efficient.\Papa!\Papa!\We have to say bye-bye to Papa.\Papa is going away? response:	No, we'll be able...
context: Eventually, I'm sure it'll adapt to the absolute zero vacuum.\It gets nutrition support from the symbiotic nanomachines.\It's similar to photosynthesis, but is even more efficient.\Papa!\Papa!\We have to say bye-bye to Papa.\Papa is going away?\No, we'll be able... response:	Last week, the controversial Evolvers were under fire again
context: It gets nutrition support from the symbiotic nanomachines.\It's similar to photosynthesis, but is even more efficient.\Papa!\Papa!\We have to say bye-bye to Papa.\Papa is going away?\No, we'll be able...\Last week, the controversial Evolvers were under fire again response:	when their internal information regarding recruiting was leaked
context: It's similar to photosynthesis, but is even more efficient.\Papa!\Papa!\We have to say bye-bye to Papa.\Papa is going away?\No, we'll be able...\Last week, the controversial Evolvers were under fire again\when their internal information regarding recruiting was leaked response:	and it became clear that a number of atrocious human experiments
context: Papa!\Papa!\We have to say bye-bye to Papa.\Papa is going away?\No, we'll be able...\Last week, the controversial Evolvers were under fire again\when their internal information regarding recruiting was leaked\and it became clear that a number of atrocious human experiments response:	violating international law had taken place.
context: Papa!\We have to say bye-bye to Papa.\Papa is going away?\No, we'll be able...\Last week, the controversial Evolvers were under fire again\when their internal information regarding recruiting was leaked\and it became clear that a number of atrocious human experiments\violating international law had taken place. response:	While Earth's sustainable humanosphere is rapidly decreasing due to the cooling trend,
context: We have to say bye-bye to Papa.\Papa is going away?\No, we'll be able...\Last week, the controversial Evolvers were under fire again\when their internal information regarding recruiting was leaked\and it became clear that a number of atrocious human experiments\violating international law had taken place.\While Earth's sustainable humanosphere is rapidly decreasing due to the cooling trend, response:	the war between the Continental Union and the Evolvers over escaping Earth is escalating.
context: Papa is going away?\No, we'll be able...\Last week, the controversial Evolvers were under fire again\when their internal information regarding recruiting was leaked\and it became clear that a number of atrocious human experiments\violating international law had taken place.\While Earth's sustainable humanosphere is rapidly decreasing due to the cooling trend,\the war between the Continental Union and the Evolvers over escaping Earth is escalating. response:	Currently, the chief battlefields are in orbit and at floating launch facilities,
context: No, we'll be able...\Last week, the controversial Evolvers were under fire again\when their internal information regarding recruiting was leaked\and it became clear that a number of atrocious human experiments\violating international law had taken place.\While Earth's sustainable humanosphere is rapidly decreasing due to the cooling trend,\the war between the Continental Union and the Evolvers over escaping Earth is escalating.\Currently, the chief battlefields are in orbit and at floating launch facilities, response:	but it's thought that the war will continue to expand.
context: Last week, the controversial Evolvers were under fire again\when their internal information regarding recruiting was leaked\and it became clear that a number of atrocious human experiments\violating international law had taken place.\While Earth's sustainable humanosphere is rapidly decreasing due to the cooling trend,\the war between the Continental Union and the Evolvers over escaping Earth is escalating.\Currently, the chief battlefields are in orbit and at floating launch facilities,\but it's thought that the war will continue to expand. response:	We've discovered that the Continental Union is working on a large-scale wormhole drive.
context: when their internal information regarding recruiting was leaked\and it became clear that a number of atrocious human experiments\violating international law had taken place.\While Earth's sustainable humanosphere is rapidly decreasing due to the cooling trend,\the war between the Continental Union and the Evolvers over escaping Earth is escalating.\Currently, the chief battlefields are in orbit and at floating launch facilities,\but it's thought that the war will continue to expand.\We've discovered that the Continental Union is working on a large-scale wormhole drive. response:	The facility includes a self-destruct system.
context: and it became clear that a number of atrocious human experiments\violating international law had taken place.\While Earth's sustainable humanosphere is rapidly decreasing due to the cooling trend,\the war between the Continental Union and the Evolvers over escaping Earth is escalating.\Currently, the chief battlefields are in orbit and at floating launch facilities,\but it's thought that the war will continue to expand.\We've discovered that the Continental Union is working on a large-scale wormhole drive.\The facility includes a self-destruct system. response:	After completion, they'll simultaneously destroy it and escape the Solar System,
context: violating international law had taken place.\While Earth's sustainable humanosphere is rapidly decreasing due to the cooling trend,\the war between the Continental Union and the Evolvers over escaping Earth is escalating.\Currently, the chief battlefields are in orbit and at floating launch facilities,\but it's thought that the war will continue to expand.\We've discovered that the Continental Union is working on a large-scale wormhole drive.\The facility includes a self-destruct system.\After completion, they'll simultaneously destroy it and escape the Solar System, response:	thereby stranding us on Earth, except now we know their plan.
context: While Earth's sustainable humanosphere is rapidly decreasing due to the cooling trend,\the war between the Continental Union and the Evolvers over escaping Earth is escalating.\Currently, the chief battlefields are in orbit and at floating launch facilities,\but it's thought that the war will continue to expand.\We've discovered that the Continental Union is working on a large-scale wormhole drive.\The facility includes a self-destruct system.\After completion, they'll simultaneously destroy it and escape the Solar System,\thereby stranding us on Earth, except now we know their plan. response:	This is our chance!
context: the war between the Continental Union and the Evolvers over escaping Earth is escalating.\Currently, the chief battlefields are in orbit and at floating launch facilities,\but it's thought that the war will continue to expand.\We've discovered that the Continental Union is working on a large-scale wormhole drive.\The facility includes a self-destruct system.\After completion, they'll simultaneously destroy it and escape the Solar System,\thereby stranding us on Earth, except now we know their plan.\This is our chance! response:	By attacking and seizing the wormhole drive for ourselves,
context: Currently, the chief battlefields are in orbit and at floating launch facilities,\but it's thought that the war will continue to expand.\We've discovered that the Continental Union is working on a large-scale wormhole drive.\The facility includes a self-destruct system.\After completion, they'll simultaneously destroy it and escape the Solar System,\thereby stranding us on Earth, except now we know their plan.\This is our chance!\By attacking and seizing the wormhole drive for ourselves, response:	we Evolvers will be able to spread the domain of the living to unknown galaxies.
context: but it's thought that the war will continue to expand.\We've discovered that the Continental Union is working on a large-scale wormhole drive.\The facility includes a self-destruct system.\After completion, they'll simultaneously destroy it and escape the Solar System,\thereby stranding us on Earth, except now we know their plan.\This is our chance!\By attacking and seizing the wormhole drive for ourselves,\we Evolvers will be able to spread the domain of the living to unknown galaxies. response:	The Evolvers will dwell in infinite space and achieve eternal prosperity!
context: We've discovered that the Continental Union is working on a large-scale wormhole drive.\The facility includes a self-destruct system.\After completion, they'll simultaneously destroy it and escape the Solar System,\thereby stranding us on Earth, except now we know their plan.\This is our chance!\By attacking and seizing the wormhole drive for ourselves,\we Evolvers will be able to spread the domain of the living to unknown galaxies.\The Evolvers will dwell in infinite space and achieve eternal prosperity! response:	That is the end of the recorded information I could play back.
context: The facility includes a self-destruct system.\After completion, they'll simultaneously destroy it and escape the Solar System,\thereby stranding us on Earth, except now we know their plan.\This is our chance!\By attacking and seizing the wormhole drive for ourselves,\we Evolvers will be able to spread the domain of the living to unknown galaxies.\The Evolvers will dwell in infinite space and achieve eternal prosperity!\That is the end of the recorded information I could play back. response:	Several points of contradiction with official Alliance information are noted.
context: After completion, they'll simultaneously destroy it and escape the Solar System,\thereby stranding us on Earth, except now we know their plan.\This is our chance!\By attacking and seizing the wormhole drive for ourselves,\we Evolvers will be able to spread the domain of the living to unknown galaxies.\The Evolvers will dwell in infinite space and achieve eternal prosperity!\That is the end of the recorded information I could play back.\Several points of contradiction with official Alliance information are noted. response:	Its credibility is extremely low.
context: thereby stranding us on Earth, except now we know their plan.\This is our chance!\By attacking and seizing the wormhole drive for ourselves,\we Evolvers will be able to spread the domain of the living to unknown galaxies.\The Evolvers will dwell in infinite space and achieve eternal prosperity!\That is the end of the recorded information I could play back.\Several points of contradiction with official Alliance information are noted.\Its credibility is extremely low. response:	Then what was that?!
context: This is our chance!\By attacking and seizing the wormhole drive for ourselves,\we Evolvers will be able to spread the domain of the living to unknown galaxies.\The Evolvers will dwell in infinite space and achieve eternal prosperity!\That is the end of the recorded information I could play back.\Several points of contradiction with official Alliance information are noted.\Its credibility is extremely low.\Then what was that?! response:	Who made it and for what purpose?!
context: By attacking and seizing the wormhole drive for ourselves,\we Evolvers will be able to spread the domain of the living to unknown galaxies.\The Evolvers will dwell in infinite space and achieve eternal prosperity!\That is the end of the recorded information I could play back.\Several points of contradiction with official Alliance information are noted.\Its credibility is extremely low.\Then what was that?!\Who made it and for what purpose?! response:	Hypothesis: It is possible the enemy created it to manipulate information.
context: we Evolvers will be able to spread the domain of the living to unknown galaxies.\The Evolvers will dwell in infinite space and achieve eternal prosperity!\That is the end of the recorded information I could play back.\Several points of contradiction with official Alliance information are noted.\Its credibility is extremely low.\Then what was that?!\Who made it and for what purpose?!\Hypothesis: It is possible the enemy created it to manipulate information. response:	The enemy?! What's the enemy?!
context: The Evolvers will dwell in infinite space and achieve eternal prosperity!\That is the end of the recorded information I could play back.\Several points of contradiction with official Alliance information are noted.\Its credibility is extremely low.\Then what was that?!\Who made it and for what purpose?!\Hypothesis: It is possible the enemy created it to manipulate information.\The enemy?! What's the enemy?! response:	I thought the Hideauze were a lower form of life!
context: That is the end of the recorded information I could play back.\Several points of contradiction with official Alliance information are noted.\Its credibility is extremely low.\Then what was that?!\Who made it and for what purpose?!\Hypothesis: It is possible the enemy created it to manipulate information.\The enemy?! What's the enemy?!\I thought the Hideauze were a lower form of life! response:	Surviving Hideauze discovered. I will destroy it.
context: Several points of contradiction with official Alliance information are noted.\Its credibility is extremely low.\Then what was that?!\Who made it and for what purpose?!\Hypothesis: It is possible the enemy created it to manipulate information.\The enemy?! What's the enemy?!\I thought the Hideauze were a lower form of life!\Surviving Hideauze discovered. I will destroy it. response:	No!
context: Its credibility is extremely low.\Then what was that?!\Who made it and for what purpose?!\Hypothesis: It is possible the enemy created it to manipulate information.\The enemy?! What's the enemy?!\I thought the Hideauze were a lower form of life!\Surviving Hideauze discovered. I will destroy it.\No! response:	Set all equipment-related stuff to starboard!
context: Then what was that?!\Who made it and for what purpose?!\Hypothesis: It is possible the enemy created it to manipulate information.\The enemy?! What's the enemy?!\I thought the Hideauze were a lower form of life!\Surviving Hideauze discovered. I will destroy it.\No!\Set all equipment-related stuff to starboard! response:	What the hell is Ledo doin'?
