context: Here he comes! response:	The one we've been waiting for!
context: Do you know where the son went?\Waganma\Narinki\Mr. Narinki's son, Wanganma, was kidnapped by monsters.\What?! But why?\We're not sure, but Mr. Narinki's contributions cover 7 of our expenses,\so we cannot lose his trust.\Right. Getting Waganma back safely takes top priority. response:	Gather all heroes at Class A and up!
context: Waganma\Narinki\Mr. Narinki's son, Wanganma, was kidnapped by monsters.\What?! But why?\We're not sure, but Mr. Narinki's contributions cover 7 of our expenses,\so we cannot lose his trust.\Right. Getting Waganma back safely takes top priority.\Gather all heroes at Class A and up! response:	But...
context: Narinki\Mr. Narinki's son, Wanganma, was kidnapped by monsters.\What?! But why?\We're not sure, but Mr. Narinki's contributions cover 7 of our expenses,\so we cannot lose his trust.\Right. Getting Waganma back safely takes top priority.\Gather all heroes at Class A and up!\But... response:	Are you saying to ignore all the monsters rampaging through the cities?
context: Mr. Narinki's son, Wanganma, was kidnapped by monsters.\What?! But why?\We're not sure, but Mr. Narinki's contributions cover 7 of our expenses,\so we cannot lose his trust.\Right. Getting Waganma back safely takes top priority.\Gather all heroes at Class A and up!\But...\Are you saying to ignore all the monsters rampaging through the cities? response:	The Class S hero Metal Bat has been found critically injured and unconscious.
context: What?! But why?\We're not sure, but Mr. Narinki's contributions cover 7 of our expenses,\so we cannot lose his trust.\Right. Getting Waganma back safely takes top priority.\Gather all heroes at Class A and up!\But...\Are you saying to ignore all the monsters rampaging through the cities?\The Class S hero Metal Bat has been found critically injured and unconscious. response:	Come on, now. What's wrong?
context: We're not sure, but Mr. Narinki's contributions cover 7 of our expenses,\so we cannot lose his trust.\Right. Getting Waganma back safely takes top priority.\Gather all heroes at Class A and up!\But...\Are you saying to ignore all the monsters rampaging through the cities?\The Class S hero Metal Bat has been found critically injured and unconscious.\Come on, now. What's wrong? response:	You can't hit me like that.
context: so we cannot lose his trust.\Right. Getting Waganma back safely takes top priority.\Gather all heroes at Class A and up!\But...\Are you saying to ignore all the monsters rampaging through the cities?\The Class S hero Metal Bat has been found critically injured and unconscious.\Come on, now. What's wrong?\You can't hit me like that. response:	I can't get a good shot at him...
context: Right. Getting Waganma back safely takes top priority.\Gather all heroes at Class A and up!\But...\Are you saying to ignore all the monsters rampaging through the cities?\The Class S hero Metal Bat has been found critically injured and unconscious.\Come on, now. What's wrong?\You can't hit me like that.\I can't get a good shot at him... response:	Where are you looking? I'm right over here!
context: Gather all heroes at Class A and up!\But...\Are you saying to ignore all the monsters rampaging through the cities?\The Class S hero Metal Bat has been found critically injured and unconscious.\Come on, now. What's wrong?\You can't hit me like that.\I can't get a good shot at him...\Where are you looking? I'm right over here! response:	It's not just that he's fast...
context: But...\Are you saying to ignore all the monsters rampaging through the cities?\The Class S hero Metal Bat has been found critically injured and unconscious.\Come on, now. What's wrong?\You can't hit me like that.\I can't get a good shot at him...\Where are you looking? I'm right over here!\It's not just that he's fast... response:	My eyes can't keep up with his unusual movements, and he slips between buildings.
context: Are you saying to ignore all the monsters rampaging through the cities?\The Class S hero Metal Bat has been found critically injured and unconscious.\Come on, now. What's wrong?\You can't hit me like that.\I can't get a good shot at him...\Where are you looking? I'm right over here!\It's not just that he's fast...\My eyes can't keep up with his unusual movements, and he slips between buildings. response:	You leave me no choice.
context: The Class S hero Metal Bat has been found critically injured and unconscious.\Come on, now. What's wrong?\You can't hit me like that.\I can't get a good shot at him...\Where are you looking? I'm right over here!\It's not just that he's fast...\My eyes can't keep up with his unusual movements, and he slips between buildings.\You leave me no choice. response:	I didn't want to use this, but...
context: Come on, now. What's wrong?\You can't hit me like that.\I can't get a good shot at him...\Where are you looking? I'm right over here!\It's not just that he's fast...\My eyes can't keep up with his unusual movements, and he slips between buildings.\You leave me no choice.\I didn't want to use this, but... response:	Oh? Do you still have something else up your sleeve?
context: You can't hit me like that.\I can't get a good shot at him...\Where are you looking? I'm right over here!\It's not just that he's fast...\My eyes can't keep up with his unusual movements, and he slips between buildings.\You leave me no choice.\I didn't want to use this, but...\Oh? Do you still have something else up your sleeve? response:	Are you going to shoot laser beams from your eyes?
context: I can't get a good shot at him...\Where are you looking? I'm right over here!\It's not just that he's fast...\My eyes can't keep up with his unusual movements, and he slips between buildings.\You leave me no choice.\I didn't want to use this, but...\Oh? Do you still have something else up your sleeve?\Are you going to shoot laser beams from your eyes? response:	I didn't even want to equip myself with this, but Dr. Kuseno was right.
context: Where are you looking? I'm right over here!\It's not just that he's fast...\My eyes can't keep up with his unusual movements, and he slips between buildings.\You leave me no choice.\I didn't want to use this, but...\Oh? Do you still have something else up your sleeve?\Are you going to shoot laser beams from your eyes?\I didn't even want to equip myself with this, but Dr. Kuseno was right. response:	Tracking missiles? Poisonous gas?
context: It's not just that he's fast...\My eyes can't keep up with his unusual movements, and he slips between buildings.\You leave me no choice.\I didn't want to use this, but...\Oh? Do you still have something else up your sleeve?\Are you going to shoot laser beams from your eyes?\I didn't even want to equip myself with this, but Dr. Kuseno was right.\Tracking missiles? Poisonous gas? response:	I will not grow if I cannot face superior opponents.
context: My eyes can't keep up with his unusual movements, and he slips between buildings.\You leave me no choice.\I didn't want to use this, but...\Oh? Do you still have something else up your sleeve?\Are you going to shoot laser beams from your eyes?\I didn't even want to equip myself with this, but Dr. Kuseno was right.\Tracking missiles? Poisonous gas?\I will not grow if I cannot face superior opponents. response:	It's not pesticide, is it?
context: You leave me no choice.\I didn't want to use this, but...\Oh? Do you still have something else up your sleeve?\Are you going to shoot laser beams from your eyes?\I didn't even want to equip myself with this, but Dr. Kuseno was right.\Tracking missiles? Poisonous gas?\I will not grow if I cannot face superior opponents.\It's not pesticide, is it? response:	Wh-What the...
context: I didn't want to use this, but...\Oh? Do you still have something else up your sleeve?\Are you going to shoot laser beams from your eyes?\I didn't even want to equip myself with this, but Dr. Kuseno was right.\Tracking missiles? Poisonous gas?\I will not grow if I cannot face superior opponents.\It's not pesticide, is it?\Wh-What the... response:	My legs! This is...
context: Oh? Do you still have something else up your sleeve?\Are you going to shoot laser beams from your eyes?\I didn't even want to equip myself with this, but Dr. Kuseno was right.\Tracking missiles? Poisonous gas?\I will not grow if I cannot face superior opponents.\It's not pesticide, is it?\Wh-What the...\My legs! This is... response:	It's an instantaneous super-strength adhesive.
context: Are you going to shoot laser beams from your eyes?\I didn't even want to equip myself with this, but Dr. Kuseno was right.\Tracking missiles? Poisonous gas?\I will not grow if I cannot face superior opponents.\It's not pesticide, is it?\Wh-What the...\My legs! This is...\It's an instantaneous super-strength adhesive. response:	Even if a super-fast ninja attacks me, I can take them out in an instant.
context: I didn't even want to equip myself with this, but Dr. Kuseno was right.\Tracking missiles? Poisonous gas?\I will not grow if I cannot face superior opponents.\It's not pesticide, is it?\Wh-What the...\My legs! This is...\It's an instantaneous super-strength adhesive.\Even if a super-fast ninja attacks me, I can take them out in an instant. response:	But by using this, I'm basically acknowledging how fast he is.
context: Tracking missiles? Poisonous gas?\I will not grow if I cannot face superior opponents.\It's not pesticide, is it?\Wh-What the...\My legs! This is...\It's an instantaneous super-strength adhesive.\Even if a super-fast ninja attacks me, I can take them out in an instant.\But by using this, I'm basically acknowledging how fast he is. response:	What are you talking about?!
context: I will not grow if I cannot face superior opponents.\It's not pesticide, is it?\Wh-What the...\My legs! This is...\It's an instantaneous super-strength adhesive.\Even if a super-fast ninja attacks me, I can take them out in an instant.\But by using this, I'm basically acknowledging how fast he is.\What are you talking about?! response:	I guess this doesn't concern you.
context: It's not pesticide, is it?\Wh-What the...\My legs! This is...\It's an instantaneous super-strength adhesive.\Even if a super-fast ninja attacks me, I can take them out in an instant.\But by using this, I'm basically acknowledging how fast he is.\What are you talking about?!\I guess this doesn't concern you. response:	Incinerate.
context: Wh-What the...\My legs! This is...\It's an instantaneous super-strength adhesive.\Even if a super-fast ninja attacks me, I can take them out in an instant.\But by using this, I'm basically acknowledging how fast he is.\What are you talking about?!\I guess this doesn't concern you.\Incinerate. response:	Did he leave his feet behind and flee?
context: My legs! This is...\It's an instantaneous super-strength adhesive.\Even if a super-fast ninja attacks me, I can take them out in an instant.\But by using this, I'm basically acknowledging how fast he is.\What are you talking about?!\I guess this doesn't concern you.\Incinerate.\Did he leave his feet behind and flee? response:	Either way, he's critically injured.
context: It's an instantaneous super-strength adhesive.\Even if a super-fast ninja attacks me, I can take them out in an instant.\But by using this, I'm basically acknowledging how fast he is.\What are you talking about?!\I guess this doesn't concern you.\Incinerate.\Did he leave his feet behind and flee?\Either way, he's critically injured. response:	I guess I can head back to the stadium.
context: Even if a super-fast ninja attacks me, I can take them out in an instant.\But by using this, I'm basically acknowledging how fast he is.\What are you talking about?!\I guess this doesn't concern you.\Incinerate.\Did he leave his feet behind and flee?\Either way, he's critically injured.\I guess I can head back to the stadium. response:	I might make it back in time for Master's match.
context: But by using this, I'm basically acknowledging how fast he is.\What are you talking about?!\I guess this doesn't concern you.\Incinerate.\Did he leave his feet behind and flee?\Either way, he's critically injured.\I guess I can head back to the stadium.\I might make it back in time for Master's match. response:	Something's approaching at high speed...
context: What are you talking about?!\I guess this doesn't concern you.\Incinerate.\Did he leave his feet behind and flee?\Either way, he's critically injured.\I guess I can head back to the stadium.\I might make it back in time for Master's match.\Something's approaching at high speed... response:	Is it the cockroach? No... This is something different.
context: I guess this doesn't concern you.\Incinerate.\Did he leave his feet behind and flee?\Either way, he's critically injured.\I guess I can head back to the stadium.\I might make it back in time for Master's match.\Something's approaching at high speed...\Is it the cockroach? No... This is something different. response:	Hey... You're not supposed to fall under her control so easily!
context: Incinerate.\Did he leave his feet behind and flee?\Either way, he's critically injured.\I guess I can head back to the stadium.\I might make it back in time for Master's match.\Something's approaching at high speed...\Is it the cockroach? No... This is something different.\Hey... You're not supposed to fall under her control so easily! response:	You're so cute when you're panicked.
context: Did he leave his feet behind and flee?\Either way, he's critically injured.\I guess I can head back to the stadium.\I might make it back in time for Master's match.\Something's approaching at high speed...\Is it the cockroach? No... This is something different.\Hey... You're not supposed to fall under her control so easily!\You're so cute when you're panicked. response:	Too bad for you, but they're all my slaves now.
context: Either way, he's critically injured.\I guess I can head back to the stadium.\I might make it back in time for Master's match.\Something's approaching at high speed...\Is it the cockroach? No... This is something different.\Hey... You're not supposed to fall under her control so easily!\You're so cute when you're panicked.\Too bad for you, but they're all my slaves now. response:	How does it feel to have your subordinates taken from you?
context: I guess I can head back to the stadium.\I might make it back in time for Master's match.\Something's approaching at high speed...\Is it the cockroach? No... This is something different.\Hey... You're not supposed to fall under her control so easily!\You're so cute when you're panicked.\Too bad for you, but they're all my slaves now.\How does it feel to have your subordinates taken from you? response:	Come on, you'd better fight back.
context: I might make it back in time for Master's match.\Something's approaching at high speed...\Is it the cockroach? No... This is something different.\Hey... You're not supposed to fall under her control so easily!\You're so cute when you're panicked.\Too bad for you, but they're all my slaves now.\How does it feel to have your subordinates taken from you?\Come on, you'd better fight back. response:	You must be holding back.
context: Something's approaching at high speed...\Is it the cockroach? No... This is something different.\Hey... You're not supposed to fall under her control so easily!\You're so cute when you're panicked.\Too bad for you, but they're all my slaves now.\How does it feel to have your subordinates taken from you?\Come on, you'd better fight back.\You must be holding back. response:	In that case, I'll let you join them as one of my slaves!
context: Is it the cockroach? No... This is something different.\Hey... You're not supposed to fall under her control so easily!\You're so cute when you're panicked.\Too bad for you, but they're all my slaves now.\How does it feel to have your subordinates taken from you?\Come on, you'd better fight back.\You must be holding back.\In that case, I'll let you join them as one of my slaves! response:	You're not gonna survive like that.
context: Hey... You're not supposed to fall under her control so easily!\You're so cute when you're panicked.\Too bad for you, but they're all my slaves now.\How does it feel to have your subordinates taken from you?\Come on, you'd better fight back.\You must be holding back.\In that case, I'll let you join them as one of my slaves!\You're not gonna survive like that. response:	Shut up!
context: You're so cute when you're panicked.\Too bad for you, but they're all my slaves now.\How does it feel to have your subordinates taken from you?\Come on, you'd better fight back.\You must be holding back.\In that case, I'll let you join them as one of my slaves!\You're not gonna survive like that.\Shut up! response:	Wow, you hold up against these numbers quite well.
context: Too bad for you, but they're all my slaves now.\How does it feel to have your subordinates taken from you?\Come on, you'd better fight back.\You must be holding back.\In that case, I'll let you join them as one of my slaves!\You're not gonna survive like that.\Shut up!\Wow, you hold up against these numbers quite well. response:	But I wonder how long you can keep that up!
context: How does it feel to have your subordinates taken from you?\Come on, you'd better fight back.\You must be holding back.\In that case, I'll let you join them as one of my slaves!\You're not gonna survive like that.\Shut up!\Wow, you hold up against these numbers quite well.\But I wonder how long you can keep that up! response:	Here we go! I'm going to lash you to pieces!
context: Come on, you'd better fight back.\You must be holding back.\In that case, I'll let you join them as one of my slaves!\You're not gonna survive like that.\Shut up!\Wow, you hold up against these numbers quite well.\But I wonder how long you can keep that up!\Here we go! I'm going to lash you to pieces! response:	She's feeling that.
context: You must be holding back.\In that case, I'll let you join them as one of my slaves!\You're not gonna survive like that.\Shut up!\Wow, you hold up against these numbers quite well.\But I wonder how long you can keep that up!\Here we go! I'm going to lash you to pieces!\She's feeling that. response:	Now you're mine.
context: In that case, I'll let you join them as one of my slaves!\You're not gonna survive like that.\Shut up!\Wow, you hold up against these numbers quite well.\But I wonder how long you can keep that up!\Here we go! I'm going to lash you to pieces!\She's feeling that.\Now you're mine. response:	By the way, you're one of the Psychic Sisters, aren't you?
context: You're not gonna survive like that.\Shut up!\Wow, you hold up against these numbers quite well.\But I wonder how long you can keep that up!\Here we go! I'm going to lash you to pieces!\She's feeling that.\Now you're mine.\By the way, you're one of the Psychic Sisters, aren't you? response:	In other words, your little sister is the Class S hero Terrible Tornado.
context: Shut up!\Wow, you hold up against these numbers quite well.\But I wonder how long you can keep that up!\Here we go! I'm going to lash you to pieces!\She's feeling that.\Now you're mine.\By the way, you're one of the Psychic Sisters, aren't you?\In other words, your little sister is the Class S hero Terrible Tornado. response:	Meaning if I use you as bait, I can lure Tornado out.
context: Wow, you hold up against these numbers quite well.\But I wonder how long you can keep that up!\Here we go! I'm going to lash you to pieces!\She's feeling that.\Now you're mine.\By the way, you're one of the Psychic Sisters, aren't you?\In other words, your little sister is the Class S hero Terrible Tornado.\Meaning if I use you as bait, I can lure Tornado out. response:	Good thing your little sister's so special.
context: But I wonder how long you can keep that up!\Here we go! I'm going to lash you to pieces!\She's feeling that.\Now you're mine.\By the way, you're one of the Psychic Sisters, aren't you?\In other words, your little sister is the Class S hero Terrible Tornado.\Meaning if I use you as bait, I can lure Tornado out.\Good thing your little sister's so special. response:	She hasn't lost her senses to my whip?
context: Here we go! I'm going to lash you to pieces!\She's feeling that.\Now you're mine.\By the way, you're one of the Psychic Sisters, aren't you?\In other words, your little sister is the Class S hero Terrible Tornado.\Meaning if I use you as bait, I can lure Tornado out.\Good thing your little sister's so special.\She hasn't lost her senses to my whip? response:	Her will is so strong... I think I hate her.
context: She's feeling that.\Now you're mine.\By the way, you're one of the Psychic Sisters, aren't you?\In other words, your little sister is the Class S hero Terrible Tornado.\Meaning if I use you as bait, I can lure Tornado out.\Good thing your little sister's so special.\She hasn't lost her senses to my whip?\Her will is so strong... I think I hate her. response:	That hurt, you stupid bitch!
context: Now you're mine.\By the way, you're one of the Psychic Sisters, aren't you?\In other words, your little sister is the Class S hero Terrible Tornado.\Meaning if I use you as bait, I can lure Tornado out.\Good thing your little sister's so special.\She hasn't lost her senses to my whip?\Her will is so strong... I think I hate her.\That hurt, you stupid bitch! response:	I was going to use you to lure out your little sister, but forget that!
context: By the way, you're one of the Psychic Sisters, aren't you?\In other words, your little sister is the Class S hero Terrible Tornado.\Meaning if I use you as bait, I can lure Tornado out.\Good thing your little sister's so special.\She hasn't lost her senses to my whip?\Her will is so strong... I think I hate her.\That hurt, you stupid bitch!\I was going to use you to lure out your little sister, but forget that! response:	I'll rip you to shreds right now!
context: In other words, your little sister is the Class S hero Terrible Tornado.\Meaning if I use you as bait, I can lure Tornado out.\Good thing your little sister's so special.\She hasn't lost her senses to my whip?\Her will is so strong... I think I hate her.\That hurt, you stupid bitch!\I was going to use you to lure out your little sister, but forget that!\I'll rip you to shreds right now! response:	You don't have to lure her out. My older sister will come.
context: Meaning if I use you as bait, I can lure Tornado out.\Good thing your little sister's so special.\She hasn't lost her senses to my whip?\Her will is so strong... I think I hate her.\That hurt, you stupid bitch!\I was going to use you to lure out your little sister, but forget that!\I'll rip you to shreds right now!\You don't have to lure her out. My older sister will come. response:	What's this shaking?
context: Good thing your little sister's so special.\She hasn't lost her senses to my whip?\Her will is so strong... I think I hate her.\That hurt, you stupid bitch!\I was going to use you to lure out your little sister, but forget that!\I'll rip you to shreds right now!\You don't have to lure her out. My older sister will come.\What's this shaking? response:	I guess she was closer than I thought.
context: She hasn't lost her senses to my whip?\Her will is so strong... I think I hate her.\That hurt, you stupid bitch!\I was going to use you to lure out your little sister, but forget that!\I'll rip you to shreds right now!\You don't have to lure her out. My older sister will come.\What's this shaking?\I guess she was closer than I thought. response:	She can sense when I've sustained damage.
context: Her will is so strong... I think I hate her.\That hurt, you stupid bitch!\I was going to use you to lure out your little sister, but forget that!\I'll rip you to shreds right now!\You don't have to lure her out. My older sister will come.\What's this shaking?\I guess she was closer than I thought.\She can sense when I've sustained damage. response:	She's coming.
context: That hurt, you stupid bitch!\I was going to use you to lure out your little sister, but forget that!\I'll rip you to shreds right now!\You don't have to lure her out. My older sister will come.\What's this shaking?\I guess she was closer than I thought.\She can sense when I've sustained damage.\She's coming. response:	Explosions?!
context: I was going to use you to lure out your little sister, but forget that!\I'll rip you to shreds right now!\You don't have to lure her out. My older sister will come.\What's this shaking?\I guess she was closer than I thought.\She can sense when I've sustained damage.\She's coming.\Explosions?! response:	Something's coming nearer.
context: I'll rip you to shreds right now!\You don't have to lure her out. My older sister will come.\What's this shaking?\I guess she was closer than I thought.\She can sense when I've sustained damage.\She's coming.\Explosions?!\Something's coming nearer. response:	Something terrible!
context: You don't have to lure her out. My older sister will come.\What's this shaking?\I guess she was closer than I thought.\She can sense when I've sustained damage.\She's coming.\Explosions?!\Something's coming nearer.\Something terrible! response:	She's coming.
context: What's this shaking?\I guess she was closer than I thought.\She can sense when I've sustained damage.\She's coming.\Explosions?!\Something's coming nearer.\Something terrible!\She's coming. response:	Terrible Tornado.
context: I guess she was closer than I thought.\She can sense when I've sustained damage.\She's coming.\Explosions?!\Something's coming nearer.\Something terrible!\She's coming.\Terrible Tornado. response:	S-Super S...
context: She can sense when I've sustained damage.\She's coming.\Explosions?!\Something's coming nearer.\Something terrible!\She's coming.\Terrible Tornado.\S-Super S... response:	There's an insane monster on the hero side, too...
context: She's coming.\Explosions?!\Something's coming nearer.\Something terrible!\She's coming.\Terrible Tornado.\S-Super S...\There's an insane monster on the hero side, too... response:	She's even worse than I thought.
context: Explosions?!\Something's coming nearer.\Something terrible!\She's coming.\Terrible Tornado.\S-Super S...\There's an insane monster on the hero side, too...\She's even worse than I thought. response:	She destroyed... us all...
context: Something's coming nearer.\Something terrible!\She's coming.\Terrible Tornado.\S-Super S...\There's an insane monster on the hero side, too...\She's even worse than I thought.\She destroyed... us all... response:	I should probably get out of here...
context: Something terrible!\She's coming.\Terrible Tornado.\S-Super S...\There's an insane monster on the hero side, too...\She's even worse than I thought.\She destroyed... us all...\I should probably get out of here... response:	There she is.
context: She's coming.\Terrible Tornado.\S-Super S...\There's an insane monster on the hero side, too...\She's even worse than I thought.\She destroyed... us all...\I should probably get out of here...\There she is. response:	Big Sis! I-I haven't lost ye
context: Terrible Tornado.\S-Super S...\There's an insane monster on the hero side, too...\She's even worse than I thought.\She destroyed... us all...\I should probably get out of here...\There she is.\Big Sis! I-I haven't lost ye response:	Go on home already, Blizzard.
context: S-Super S...\There's an insane monster on the hero side, too...\She's even worse than I thought.\She destroyed... us all...\I should probably get out of here...\There she is.\Big Sis! I-I haven't lost ye\Go on home already, Blizzard. response:	I'll clean up your mess.
context: There's an insane monster on the hero side, too...\She's even worse than I thought.\She destroyed... us all...\I should probably get out of here...\There she is.\Big Sis! I-I haven't lost ye\Go on home already, Blizzard.\I'll clean up your mess. response:	S-Slaves! Buy me time to run away!
context: She's even worse than I thought.\She destroyed... us all...\I should probably get out of here...\There she is.\Big Sis! I-I haven't lost ye\Go on home already, Blizzard.\I'll clean up your mess.\S-Slaves! Buy me time to run away! response:	Wait! They're on our side! Please don't attack them!
context: She destroyed... us all...\I should probably get out of here...\There she is.\Big Sis! I-I haven't lost ye\Go on home already, Blizzard.\I'll clean up your mess.\S-Slaves! Buy me time to run away!\Wait! They're on our side! Please don't attack them! response:	I just asked you to not attack them...
context: I should probably get out of here...\There she is.\Big Sis! I-I haven't lost ye\Go on home already, Blizzard.\I'll clean up your mess.\S-Slaves! Buy me time to run away!\Wait! They're on our side! Please don't attack them!\I just asked you to not attack them... response:	I wouldn't call this an attack.
context: There she is.\Big Sis! I-I haven't lost ye\Go on home already, Blizzard.\I'll clean up your mess.\S-Slaves! Buy me time to run away!\Wait! They're on our side! Please don't attack them!\I just asked you to not attack them...\I wouldn't call this an attack. response:	Uh, that was definitely an attack.
context: Big Sis! I-I haven't lost ye\Go on home already, Blizzard.\I'll clean up your mess.\S-Slaves! Buy me time to run away!\Wait! They're on our side! Please don't attack them!\I just asked you to not attack them...\I wouldn't call this an attack.\Uh, that was definitely an attack. response:	Also, I wouldn't say they're on our side. They're just a hindrance.
context: Go on home already, Blizzard.\I'll clean up your mess.\S-Slaves! Buy me time to run away!\Wait! They're on our side! Please don't attack them!\I just asked you to not attack them...\I wouldn't call this an attack.\Uh, that was definitely an attack.\Also, I wouldn't say they're on our side. They're just a hindrance. response:	I'm surprised you still had that Class B club thing going on.
context: I'll clean up your mess.\S-Slaves! Buy me time to run away!\Wait! They're on our side! Please don't attack them!\I just asked you to not attack them...\I wouldn't call this an attack.\Uh, that was definitely an attack.\Also, I wouldn't say they're on our side. They're just a hindrance.\I'm surprised you still had that Class B club thing going on. response:	Ugh, she escaped.
context: S-Slaves! Buy me time to run away!\Wait! They're on our side! Please don't attack them!\I just asked you to not attack them...\I wouldn't call this an attack.\Uh, that was definitely an attack.\Also, I wouldn't say they're on our side. They're just a hindrance.\I'm surprised you still had that Class B club thing going on.\Ugh, she escaped. response:	I probably shouldn't waste time here talking
context: Wait! They're on our side! Please don't attack them!\I just asked you to not attack them...\I wouldn't call this an attack.\Uh, that was definitely an attack.\Also, I wouldn't say they're on our side. They're just a hindrance.\I'm surprised you still had that Class B club thing going on.\Ugh, she escaped.\I probably shouldn't waste time here talking response:	since there are apparently other monsters.
context: I just asked you to not attack them...\I wouldn't call this an attack.\Uh, that was definitely an attack.\Also, I wouldn't say they're on our side. They're just a hindrance.\I'm surprised you still had that Class B club thing going on.\Ugh, she escaped.\I probably shouldn't waste time here talking\since there are apparently other monsters. response:	Could you tell your flunkies
context: I wouldn't call this an attack.\Uh, that was definitely an attack.\Also, I wouldn't say they're on our side. They're just a hindrance.\I'm surprised you still had that Class B club thing going on.\Ugh, she escaped.\I probably shouldn't waste time here talking\since there are apparently other monsters.\Could you tell your flunkies response:	that they're just in the way, so they should probably just run?
context: Uh, that was definitely an attack.\Also, I wouldn't say they're on our side. They're just a hindrance.\I'm surprised you still had that Class B club thing going on.\Ugh, she escaped.\I probably shouldn't waste time here talking\since there are apparently other monsters.\Could you tell your flunkies\that they're just in the way, so they should probably just run? response:	I'd be denying my own worth, so I was trying not to think about it...
context: Also, I wouldn't say they're on our side. They're just a hindrance.\I'm surprised you still had that Class B club thing going on.\Ugh, she escaped.\I probably shouldn't waste time here talking\since there are apparently other monsters.\Could you tell your flunkies\that they're just in the way, so they should probably just run?\I'd be denying my own worth, so I was trying not to think about it... response:	But this isn't good. I'm thinking about it again.
context: I'm surprised you still had that Class B club thing going on.\Ugh, she escaped.\I probably shouldn't waste time here talking\since there are apparently other monsters.\Could you tell your flunkies\that they're just in the way, so they should probably just run?\I'd be denying my own worth, so I was trying not to think about it...\But this isn't good. I'm thinking about it again. response:	I want to eat you! I want to eat human flesh!
context: Ugh, she escaped.\I probably shouldn't waste time here talking\since there are apparently other monsters.\Could you tell your flunkies\that they're just in the way, so they should probably just run?\I'd be denying my own worth, so I was trying not to think about it...\But this isn't good. I'm thinking about it again.\I want to eat you! I want to eat human flesh! response:	Hold it right there!
context: I probably shouldn't waste time here talking\since there are apparently other monsters.\Could you tell your flunkies\that they're just in the way, so they should probably just run?\I'd be denying my own worth, so I was trying not to think about it...\But this isn't good. I'm thinking about it again.\I want to eat you! I want to eat human flesh!\Hold it right there! response:	Now that I, Snakebite Snek, am here, I won't let you hurt anyone else!
context: since there are apparently other monsters.\Could you tell your flunkies\that they're just in the way, so they should probably just run?\I'd be denying my own worth, so I was trying not to think about it...\But this isn't good. I'm thinking about it again.\I want to eat you! I want to eat human flesh!\Hold it right there!\Now that I, Snakebite Snek, am here, I won't let you hurt anyone else! response:	I was shining so brightly back then.
context: Could you tell your flunkies\that they're just in the way, so they should probably just run?\I'd be denying my own worth, so I was trying not to think about it...\But this isn't good. I'm thinking about it again.\I want to eat you! I want to eat human flesh!\Hold it right there!\Now that I, Snakebite Snek, am here, I won't let you hurt anyone else!\I was shining so brightly back then. response:	I was someone special who had the power to protect the masses.
context: that they're just in the way, so they should probably just run?\I'd be denying my own worth, so I was trying not to think about it...\But this isn't good. I'm thinking about it again.\I want to eat you! I want to eat human flesh!\Hold it right there!\Now that I, Snakebite Snek, am here, I won't let you hurt anyone else!\I was shining so brightly back then.\I was someone special who had the power to protect the masses. response:	The fact that I was a real hero fulfilled my spirit.
context: I'd be denying my own worth, so I was trying not to think about it...\But this isn't good. I'm thinking about it again.\I want to eat you! I want to eat human flesh!\Hold it right there!\Now that I, Snakebite Snek, am here, I won't let you hurt anyone else!\I was shining so brightly back then.\I was someone special who had the power to protect the masses.\The fact that I was a real hero fulfilled my spirit. response:	But over time, I began to see reality a bit clearer.
context: But this isn't good. I'm thinking about it again.\I want to eat you! I want to eat human flesh!\Hold it right there!\Now that I, Snakebite Snek, am here, I won't let you hurt anyone else!\I was shining so brightly back then.\I was someone special who had the power to protect the masses.\The fact that I was a real hero fulfilled my spirit.\But over time, I began to see reality a bit clearer. response:	There were creatures out there I couldn't defeat, no matter how much I struggled.
context: I want to eat you! I want to eat human flesh!\Hold it right there!\Now that I, Snakebite Snek, am here, I won't let you hurt anyone else!\I was shining so brightly back then.\I was someone special who had the power to protect the masses.\The fact that I was a real hero fulfilled my spirit.\But over time, I began to see reality a bit clearer.\There were creatures out there I couldn't defeat, no matter how much I struggled. response:	There were even nameless civilians out there that I couldn't defeat.
context: Hold it right there!\Now that I, Snakebite Snek, am here, I won't let you hurt anyone else!\I was shining so brightly back then.\I was someone special who had the power to protect the masses.\The fact that I was a real hero fulfilled my spirit.\But over time, I began to see reality a bit clearer.\There were creatures out there I couldn't defeat, no matter how much I struggled.\There were even nameless civilians out there that I couldn't defeat. response:	Are pro heroes actually necessary?
context: Now that I, Snakebite Snek, am here, I won't let you hurt anyone else!\I was shining so brightly back then.\I was someone special who had the power to protect the masses.\The fact that I was a real hero fulfilled my spirit.\But over time, I began to see reality a bit clearer.\There were creatures out there I couldn't defeat, no matter how much I struggled.\There were even nameless civilians out there that I couldn't defeat.\Are pro heroes actually necessary? response:	I find myself asking that a lot lately.
context: I was shining so brightly back then.\I was someone special who had the power to protect the masses.\The fact that I was a real hero fulfilled my spirit.\But over time, I began to see reality a bit clearer.\There were creatures out there I couldn't defeat, no matter how much I struggled.\There were even nameless civilians out there that I couldn't defeat.\Are pro heroes actually necessary?\I find myself asking that a lot lately. response:	Maybe even if I didn't exist...
