context: May BLAST have their professional debut response:	May BLAST have their professional debut Back then, the one thing I had plenty of was my countless number of wishes.
context: So we decided that from now on, whenever we wanna meet,\I'll go to Ren's place.\He's not gonna suddenly show up late at night without my knowledge.\No way. I was faintly hoping that...\Hoping that Ren would come to see Nana,\and Takumi would tag along\with his casual, maybe I'll come along too attitude.\H-Hey... response:	I don't care even if it were a casual spur of the moment decision.
context: I'll go to Ren's place.\He's not gonna suddenly show up late at night without my knowledge.\No way. I was faintly hoping that...\Hoping that Ren would come to see Nana,\and Takumi would tag along\with his casual, maybe I'll come along too attitude.\H-Hey...\I don't care even if it were a casual spur of the moment decision. response:	I just hoped he would come.
context: He's not gonna suddenly show up late at night without my knowledge.\No way. I was faintly hoping that...\Hoping that Ren would come to see Nana,\and Takumi would tag along\with his casual, maybe I'll come along too attitude.\H-Hey...\I don't care even if it were a casual spur of the moment decision.\I just hoped he would come. response:	Don't let it get you down.
context: No way. I was faintly hoping that...\Hoping that Ren would come to see Nana,\and Takumi would tag along\with his casual, maybe I'll come along too attitude.\H-Hey...\I don't care even if it were a casual spur of the moment decision.\I just hoped he would come.\Don't let it get you down. response:	If you wanna see Ren I'll ask him to drop by again sometime.
context: Hoping that Ren would come to see Nana,\and Takumi would tag along\with his casual, maybe I'll come along too attitude.\H-Hey...\I don't care even if it were a casual spur of the moment decision.\I just hoped he would come.\Don't let it get you down.\If you wanna see Ren I'll ask him to drop by again sometime. response:	He did say he has free time starting tomorrow.
context: and Takumi would tag along\with his casual, maybe I'll come along too attitude.\H-Hey...\I don't care even if it were a casual spur of the moment decision.\I just hoped he would come.\Don't let it get you down.\If you wanna see Ren I'll ask him to drop by again sometime.\He did say he has free time starting tomorrow. response:	Oh, if you'd like I'll have him invite Takumi again, and...
context: with his casual, maybe I'll come along too attitude.\H-Hey...\I don't care even if it were a casual spur of the moment decision.\I just hoped he would come.\Don't let it get you down.\If you wanna see Ren I'll ask him to drop by again sometime.\He did say he has free time starting tomorrow.\Oh, if you'd like I'll have him invite Takumi again, and... response:	No, it's all right! Don't worry about me!
context: H-Hey...\I don't care even if it were a casual spur of the moment decision.\I just hoped he would come.\Don't let it get you down.\If you wanna see Ren I'll ask him to drop by again sometime.\He did say he has free time starting tomorrow.\Oh, if you'd like I'll have him invite Takumi again, and...\No, it's all right! Don't worry about me! response:	B-But...
context: I don't care even if it were a casual spur of the moment decision.\I just hoped he would come.\Don't let it get you down.\If you wanna see Ren I'll ask him to drop by again sometime.\He did say he has free time starting tomorrow.\Oh, if you'd like I'll have him invite Takumi again, and...\No, it's all right! Don't worry about me!\B-But... response:	Well, anyway, I don't think he'll be able to come today.
context: I just hoped he would come.\Don't let it get you down.\If you wanna see Ren I'll ask him to drop by again sometime.\He did say he has free time starting tomorrow.\Oh, if you'd like I'll have him invite Takumi again, and...\No, it's all right! Don't worry about me!\B-But...\Well, anyway, I don't think he'll be able to come today. response:	I'm sorry, considering all the food you prepared.
context: Don't let it get you down.\If you wanna see Ren I'll ask him to drop by again sometime.\He did say he has free time starting tomorrow.\Oh, if you'd like I'll have him invite Takumi again, and...\No, it's all right! Don't worry about me!\B-But...\Well, anyway, I don't think he'll be able to come today.\I'm sorry, considering all the food you prepared. response:	It's okay. It really is. Really, don't worry about it.
context: If you wanna see Ren I'll ask him to drop by again sometime.\He did say he has free time starting tomorrow.\Oh, if you'd like I'll have him invite Takumi again, and...\No, it's all right! Don't worry about me!\B-But...\Well, anyway, I don't think he'll be able to come today.\I'm sorry, considering all the food you prepared.\It's okay. It really is. Really, don't worry about it. response:	I'll just put everything in the fridge. It'll last a few days.
context: He did say he has free time starting tomorrow.\Oh, if you'd like I'll have him invite Takumi again, and...\No, it's all right! Don't worry about me!\B-But...\Well, anyway, I don't think he'll be able to come today.\I'm sorry, considering all the food you prepared.\It's okay. It really is. Really, don't worry about it.\I'll just put everything in the fridge. It'll last a few days. response:	What am I doing? I got carried away all by myself again.
context: Oh, if you'd like I'll have him invite Takumi again, and...\No, it's all right! Don't worry about me!\B-But...\Well, anyway, I don't think he'll be able to come today.\I'm sorry, considering all the food you prepared.\It's okay. It really is. Really, don't worry about it.\I'll just put everything in the fridge. It'll last a few days.\What am I doing? I got carried away all by myself again. response:	Hey, wait! I'm hungry.
context: No, it's all right! Don't worry about me!\B-But...\Well, anyway, I don't think he'll be able to come today.\I'm sorry, considering all the food you prepared.\It's okay. It really is. Really, don't worry about it.\I'll just put everything in the fridge. It'll last a few days.\What am I doing? I got carried away all by myself again.\Hey, wait! I'm hungry. response:	Do you mind if I eat what I can now?
context: B-But...\Well, anyway, I don't think he'll be able to come today.\I'm sorry, considering all the food you prepared.\It's okay. It really is. Really, don't worry about it.\I'll just put everything in the fridge. It'll last a few days.\What am I doing? I got carried away all by myself again.\Hey, wait! I'm hungry.\Do you mind if I eat what I can now? response:	Sure. Of course you can.
context: Well, anyway, I don't think he'll be able to come today.\I'm sorry, considering all the food you prepared.\It's okay. It really is. Really, don't worry about it.\I'll just put everything in the fridge. It'll last a few days.\What am I doing? I got carried away all by myself again.\Hey, wait! I'm hungry.\Do you mind if I eat what I can now?\Sure. Of course you can. response:	I'll get some plates.
context: I'm sorry, considering all the food you prepared.\It's okay. It really is. Really, don't worry about it.\I'll just put everything in the fridge. It'll last a few days.\What am I doing? I got carried away all by myself again.\Hey, wait! I'm hungry.\Do you mind if I eat what I can now?\Sure. Of course you can.\I'll get some plates. response:	This looks really delicious.
context: It's okay. It really is. Really, don't worry about it.\I'll just put everything in the fridge. It'll last a few days.\What am I doing? I got carried away all by myself again.\Hey, wait! I'm hungry.\Do you mind if I eat what I can now?\Sure. Of course you can.\I'll get some plates.\This looks really delicious. response:	Ren doesn't know what he's missing, losing out on this great feast.
context: I'll just put everything in the fridge. It'll last a few days.\What am I doing? I got carried away all by myself again.\Hey, wait! I'm hungry.\Do you mind if I eat what I can now?\Sure. Of course you can.\I'll get some plates.\This looks really delicious.\Ren doesn't know what he's missing, losing out on this great feast. response:	Delicious!
context: What am I doing? I got carried away all by myself again.\Hey, wait! I'm hungry.\Do you mind if I eat what I can now?\Sure. Of course you can.\I'll get some plates.\This looks really delicious.\Ren doesn't know what he's missing, losing out on this great feast.\Delicious! response:	However, seeing the way you're acting, you actually wanted to
context: Hey, wait! I'm hungry.\Do you mind if I eat what I can now?\Sure. Of course you can.\I'll get some plates.\This looks really delicious.\Ren doesn't know what he's missing, losing out on this great feast.\Delicious!\However, seeing the way you're acting, you actually wanted to response:	go to the final concert with everyone tonight, didn't you?
context: Do you mind if I eat what I can now?\Sure. Of course you can.\I'll get some plates.\This looks really delicious.\Ren doesn't know what he's missing, losing out on this great feast.\Delicious!\However, seeing the way you're acting, you actually wanted to\go to the final concert with everyone tonight, didn't you? response:	I should've asked Ren about it.
context: Sure. Of course you can.\I'll get some plates.\This looks really delicious.\Ren doesn't know what he's missing, losing out on this great feast.\Delicious!\However, seeing the way you're acting, you actually wanted to\go to the final concert with everyone tonight, didn't you?\I should've asked Ren about it. response:	I'm really bad at noticing that sorta stuff. Sorry.
context: I'll get some plates.\This looks really delicious.\Ren doesn't know what he's missing, losing out on this great feast.\Delicious!\However, seeing the way you're acting, you actually wanted to\go to the final concert with everyone tonight, didn't you?\I should've asked Ren about it.\I'm really bad at noticing that sorta stuff. Sorry. response:	That's not true.
context: This looks really delicious.\Ren doesn't know what he's missing, losing out on this great feast.\Delicious!\However, seeing the way you're acting, you actually wanted to\go to the final concert with everyone tonight, didn't you?\I should've asked Ren about it.\I'm really bad at noticing that sorta stuff. Sorry.\That's not true. response:	Never mind me, I bet you wanted to go, didn't you?
context: Ren doesn't know what he's missing, losing out on this great feast.\Delicious!\However, seeing the way you're acting, you actually wanted to\go to the final concert with everyone tonight, didn't you?\I should've asked Ren about it.\I'm really bad at noticing that sorta stuff. Sorry.\That's not true.\Never mind me, I bet you wanted to go, didn't you? response:	You can be really stubborn.
context: Delicious!\However, seeing the way you're acting, you actually wanted to\go to the final concert with everyone tonight, didn't you?\I should've asked Ren about it.\I'm really bad at noticing that sorta stuff. Sorry.\That's not true.\Never mind me, I bet you wanted to go, didn't you?\You can be really stubborn. response:	It's not really about being stubborn.
context: However, seeing the way you're acting, you actually wanted to\go to the final concert with everyone tonight, didn't you?\I should've asked Ren about it.\I'm really bad at noticing that sorta stuff. Sorry.\That's not true.\Never mind me, I bet you wanted to go, didn't you?\You can be really stubborn.\It's not really about being stubborn. response:	If I saw the performance,
context: go to the final concert with everyone tonight, didn't you?\I should've asked Ren about it.\I'm really bad at noticing that sorta stuff. Sorry.\That's not true.\Never mind me, I bet you wanted to go, didn't you?\You can be really stubborn.\It's not really about being stubborn.\If I saw the performance, response:	I'd end up comparing myself to her again and get depressed.
context: I should've asked Ren about it.\I'm really bad at noticing that sorta stuff. Sorry.\That's not true.\Never mind me, I bet you wanted to go, didn't you?\You can be really stubborn.\It's not really about being stubborn.\If I saw the performance,\I'd end up comparing myself to her again and get depressed. response:	As shameful as that is...
context: I'm really bad at noticing that sorta stuff. Sorry.\That's not true.\Never mind me, I bet you wanted to go, didn't you?\You can be really stubborn.\It's not really about being stubborn.\If I saw the performance,\I'd end up comparing myself to her again and get depressed.\As shameful as that is... response:	This is great too. Looks like we'll be enjoying great food for a while.
context: That's not true.\Never mind me, I bet you wanted to go, didn't you?\You can be really stubborn.\It's not really about being stubborn.\If I saw the performance,\I'd end up comparing myself to her again and get depressed.\As shameful as that is...\This is great too. Looks like we'll be enjoying great food for a while. response:	I'm the one who's lousy at noticing things about others.
context: Never mind me, I bet you wanted to go, didn't you?\You can be really stubborn.\It's not really about being stubborn.\If I saw the performance,\I'd end up comparing myself to her again and get depressed.\As shameful as that is...\This is great too. Looks like we'll be enjoying great food for a while.\I'm the one who's lousy at noticing things about others. response:	I'm sorry, for forcing those words outta you.
context: You can be really stubborn.\It's not really about being stubborn.\If I saw the performance,\I'd end up comparing myself to her again and get depressed.\As shameful as that is...\This is great too. Looks like we'll be enjoying great food for a while.\I'm the one who's lousy at noticing things about others.\I'm sorry, for forcing those words outta you. response:	Thank you very much!
context: It's not really about being stubborn.\If I saw the performance,\I'd end up comparing myself to her again and get depressed.\As shameful as that is...\This is great too. Looks like we'll be enjoying great food for a while.\I'm the one who's lousy at noticing things about others.\I'm sorry, for forcing those words outta you.\Thank you very much! response:	Today's performance is now over.
context: If I saw the performance,\I'd end up comparing myself to her again and get depressed.\As shameful as that is...\This is great too. Looks like we'll be enjoying great food for a while.\I'm the one who's lousy at noticing things about others.\I'm sorry, for forcing those words outta you.\Thank you very much!\Today's performance is now over. response:	People are asked to follow the guidance of the staff
context: I'd end up comparing myself to her again and get depressed.\As shameful as that is...\This is great too. Looks like we'll be enjoying great food for a while.\I'm the one who's lousy at noticing things about others.\I'm sorry, for forcing those words outta you.\Thank you very much!\Today's performance is now over.\People are asked to follow the guidance of the staff response:	and promptly leave the premises.
context: As shameful as that is...\This is great too. Looks like we'll be enjoying great food for a while.\I'm the one who's lousy at noticing things about others.\I'm sorry, for forcing those words outta you.\Thank you very much!\Today's performance is now over.\People are asked to follow the guidance of the staff\and promptly leave the premises. response:	I'm going home.
context: This is great too. Looks like we'll be enjoying great food for a while.\I'm the one who's lousy at noticing things about others.\I'm sorry, for forcing those words outta you.\Thank you very much!\Today's performance is now over.\People are asked to follow the guidance of the staff\and promptly leave the premises.\I'm going home. response:	Huh? You're not going? But our pass allows us to go backstage.
context: I'm the one who's lousy at noticing things about others.\I'm sorry, for forcing those words outta you.\Thank you very much!\Today's performance is now over.\People are asked to follow the guidance of the staff\and promptly leave the premises.\I'm going home.\Huh? You're not going? But our pass allows us to go backstage. response:	I have work to do.
context: I'm sorry, for forcing those words outta you.\Thank you very much!\Today's performance is now over.\People are asked to follow the guidance of the staff\and promptly leave the premises.\I'm going home.\Huh? You're not going? But our pass allows us to go backstage.\I have work to do. response:	Never mind that. Come for just a bit.
context: Thank you very much!\Today's performance is now over.\People are asked to follow the guidance of the staff\and promptly leave the premises.\I'm going home.\Huh? You're not going? But our pass allows us to go backstage.\I have work to do.\Never mind that. Come for just a bit. response:	Sorry. Give Ren my regards.
context: Today's performance is now over.\People are asked to follow the guidance of the staff\and promptly leave the premises.\I'm going home.\Huh? You're not going? But our pass allows us to go backstage.\I have work to do.\Never mind that. Come for just a bit.\Sorry. Give Ren my regards. response:	What about Reira?
context: People are asked to follow the guidance of the staff\and promptly leave the premises.\I'm going home.\Huh? You're not going? But our pass allows us to go backstage.\I have work to do.\Never mind that. Come for just a bit.\Sorry. Give Ren my regards.\What about Reira? response:	Good job.
context: and promptly leave the premises.\I'm going home.\Huh? You're not going? But our pass allows us to go backstage.\I have work to do.\Never mind that. Come for just a bit.\Sorry. Give Ren my regards.\What about Reira?\Good job. response:	That's it?!
context: I'm going home.\Huh? You're not going? But our pass allows us to go backstage.\I have work to do.\Never mind that. Come for just a bit.\Sorry. Give Ren my regards.\What about Reira?\Good job.\That's it?! response:	Huh? Where's Yasu?
context: Huh? You're not going? But our pass allows us to go backstage.\I have work to do.\Never mind that. Come for just a bit.\Sorry. Give Ren my regards.\What about Reira?\Good job.\That's it?!\Huh? Where's Yasu? response:	Isn't he with you?
context: I have work to do.\Never mind that. Come for just a bit.\Sorry. Give Ren my regards.\What about Reira?\Good job.\That's it?!\Huh? Where's Yasu?\Isn't he with you? response:	He left, saying he had work to do. He sends his regards to Ren.
context: Never mind that. Come for just a bit.\Sorry. Give Ren my regards.\What about Reira?\Good job.\That's it?!\Huh? Where's Yasu?\Isn't he with you?\He left, saying he had work to do. He sends his regards to Ren. response:	Huh? What about me?
context: Sorry. Give Ren my regards.\What about Reira?\Good job.\That's it?!\Huh? Where's Yasu?\Isn't he with you?\He left, saying he had work to do. He sends his regards to Ren.\Huh? What about me? response:	No way!
context: What about Reira?\Good job.\That's it?!\Huh? Where's Yasu?\Isn't he with you?\He left, saying he had work to do. He sends his regards to Ren.\Huh? What about me?\No way! response:	I was really looking forward to seeing him.
context: Good job.\That's it?!\Huh? Where's Yasu?\Isn't he with you?\He left, saying he had work to do. He sends his regards to Ren.\Huh? What about me?\No way!\I was really looking forward to seeing him. response:	I guess it wasn't mutual, Naoki.
context: That's it?!\Huh? Where's Yasu?\Isn't he with you?\He left, saying he had work to do. He sends his regards to Ren.\Huh? What about me?\No way!\I was really looking forward to seeing him.\I guess it wasn't mutual, Naoki. response:	I was also looking forward to seeing him. So it wasn't mutual?
context: Huh? Where's Yasu?\Isn't he with you?\He left, saying he had work to do. He sends his regards to Ren.\Huh? What about me?\No way!\I was really looking forward to seeing him.\I guess it wasn't mutual, Naoki.\I was also looking forward to seeing him. So it wasn't mutual? response:	This is so painful.
context: Isn't he with you?\He left, saying he had work to do. He sends his regards to Ren.\Huh? What about me?\No way!\I was really looking forward to seeing him.\I guess it wasn't mutual, Naoki.\I was also looking forward to seeing him. So it wasn't mutual?\This is so painful. response:	Reira, you realize it's hard to come up with a comeback phrase in your case.
context: He left, saying he had work to do. He sends his regards to Ren.\Huh? What about me?\No way!\I was really looking forward to seeing him.\I guess it wasn't mutual, Naoki.\I was also looking forward to seeing him. So it wasn't mutual?\This is so painful.\Reira, you realize it's hard to come up with a comeback phrase in your case. response:	It wasn't mutual? This is so painful.
context: Huh? What about me?\No way!\I was really looking forward to seeing him.\I guess it wasn't mutual, Naoki.\I was also looking forward to seeing him. So it wasn't mutual?\This is so painful.\Reira, you realize it's hard to come up with a comeback phrase in your case.\It wasn't mutual? This is so painful. response:	Not to mention there are writers around us taking notes.
context: No way!\I was really looking forward to seeing him.\I guess it wasn't mutual, Naoki.\I was also looking forward to seeing him. So it wasn't mutual?\This is so painful.\Reira, you realize it's hard to come up with a comeback phrase in your case.\It wasn't mutual? This is so painful.\Not to mention there are writers around us taking notes. response:	Take, it's not a laughing matter.
context: I was really looking forward to seeing him.\I guess it wasn't mutual, Naoki.\I was also looking forward to seeing him. So it wasn't mutual?\This is so painful.\Reira, you realize it's hard to come up with a comeback phrase in your case.\It wasn't mutual? This is so painful.\Not to mention there are writers around us taking notes.\Take, it's not a laughing matter. response:	Yasu asked me to tell you that you did a good job.
context: I guess it wasn't mutual, Naoki.\I was also looking forward to seeing him. So it wasn't mutual?\This is so painful.\Reira, you realize it's hard to come up with a comeback phrase in your case.\It wasn't mutual? This is so painful.\Not to mention there are writers around us taking notes.\Take, it's not a laughing matter.\Yasu asked me to tell you that you did a good job. response:	Wow, what a pretty boy!
context: I was also looking forward to seeing him. So it wasn't mutual?\This is so painful.\Reira, you realize it's hard to come up with a comeback phrase in your case.\It wasn't mutual? This is so painful.\Not to mention there are writers around us taking notes.\Take, it's not a laughing matter.\Yasu asked me to tell you that you did a good job.\Wow, what a pretty boy! response:	Come play with me.
context: This is so painful.\Reira, you realize it's hard to come up with a comeback phrase in your case.\It wasn't mutual? This is so painful.\Not to mention there are writers around us taking notes.\Take, it's not a laughing matter.\Yasu asked me to tell you that you did a good job.\Wow, what a pretty boy!\Come play with me. response:	Hey!
context: Reira, you realize it's hard to come up with a comeback phrase in your case.\It wasn't mutual? This is so painful.\Not to mention there are writers around us taking notes.\Take, it's not a laughing matter.\Yasu asked me to tell you that you did a good job.\Wow, what a pretty boy!\Come play with me.\Hey! response:	Sure, but I'm expensive.
context: It wasn't mutual? This is so painful.\Not to mention there are writers around us taking notes.\Take, it's not a laughing matter.\Yasu asked me to tell you that you did a good job.\Wow, what a pretty boy!\Come play with me.\Hey!\Sure, but I'm expensive. response:	One hundred thousand yen per night for the works.
context: Not to mention there are writers around us taking notes.\Take, it's not a laughing matter.\Yasu asked me to tell you that you did a good job.\Wow, what a pretty boy!\Come play with me.\Hey!\Sure, but I'm expensive.\One hundred thousand yen per night for the works. response:	Shin!
context: Take, it's not a laughing matter.\Yasu asked me to tell you that you did a good job.\Wow, what a pretty boy!\Come play with me.\Hey!\Sure, but I'm expensive.\One hundred thousand yen per night for the works.\Shin! response:	You're cute too. How much?
context: Yasu asked me to tell you that you did a good job.\Wow, what a pretty boy!\Come play with me.\Hey!\Sure, but I'm expensive.\One hundred thousand yen per night for the works.\Shin!\You're cute too. How much? response:	Ren, save me. What's up with this person?
context: Wow, what a pretty boy!\Come play with me.\Hey!\Sure, but I'm expensive.\One hundred thousand yen per night for the works.\Shin!\You're cute too. How much?\Ren, save me. What's up with this person? response:	I think I'm going home.
context: Come play with me.\Hey!\Sure, but I'm expensive.\One hundred thousand yen per night for the works.\Shin!\You're cute too. How much?\Ren, save me. What's up with this person?\I think I'm going home. response:	Come on. We're partying. Come join us.
context: Hey!\Sure, but I'm expensive.\One hundred thousand yen per night for the works.\Shin!\You're cute too. How much?\Ren, save me. What's up with this person?\I think I'm going home.\Come on. We're partying. Come join us. response:	We've got a second and third party lined up, so we'll be at it until morning.
context: Sure, but I'm expensive.\One hundred thousand yen per night for the works.\Shin!\You're cute too. How much?\Ren, save me. What's up with this person?\I think I'm going home.\Come on. We're partying. Come join us.\We've got a second and third party lined up, so we'll be at it until morning. response:	Yay! I'm coming, I'm coming.
context: One hundred thousand yen per night for the works.\Shin!\You're cute too. How much?\Ren, save me. What's up with this person?\I think I'm going home.\Come on. We're partying. Come join us.\We've got a second and third party lined up, so we'll be at it until morning.\Yay! I'm coming, I'm coming. response:	Yay, come, come.
context: Shin!\You're cute too. How much?\Ren, save me. What's up with this person?\I think I'm going home.\Come on. We're partying. Come join us.\We've got a second and third party lined up, so we'll be at it until morning.\Yay! I'm coming, I'm coming.\Yay, come, come. response:	Yeah, I'm coming, I'm coming.
context: You're cute too. How much?\Ren, save me. What's up with this person?\I think I'm going home.\Come on. We're partying. Come join us.\We've got a second and third party lined up, so we'll be at it until morning.\Yay! I'm coming, I'm coming.\Yay, come, come.\Yeah, I'm coming, I'm coming. response:	Gin and tonic.
context: Ren, save me. What's up with this person?\I think I'm going home.\Come on. We're partying. Come join us.\We've got a second and third party lined up, so we'll be at it until morning.\Yay! I'm coming, I'm coming.\Yay, come, come.\Yeah, I'm coming, I'm coming.\Gin and tonic. response:	Are you sure, Nobu? We're only at the second party.
context: I think I'm going home.\Come on. We're partying. Come join us.\We've got a second and third party lined up, so we'll be at it until morning.\Yay! I'm coming, I'm coming.\Yay, come, come.\Yeah, I'm coming, I'm coming.\Gin and tonic.\Are you sure, Nobu? We're only at the second party. response:	Shouldn't you slow down with the drinking?
context: Come on. We're partying. Come join us.\We've got a second and third party lined up, so we'll be at it until morning.\Yay! I'm coming, I'm coming.\Yay, come, come.\Yeah, I'm coming, I'm coming.\Gin and tonic.\Are you sure, Nobu? We're only at the second party.\Shouldn't you slow down with the drinking? response:	I can't blend in with this atmosphere unless I'm drunk.
context: We've got a second and third party lined up, so we'll be at it until morning.\Yay! I'm coming, I'm coming.\Yay, come, come.\Yeah, I'm coming, I'm coming.\Gin and tonic.\Are you sure, Nobu? We're only at the second party.\Shouldn't you slow down with the drinking?\I can't blend in with this atmosphere unless I'm drunk. response:	Such a pure hearted guy!
context: Yay! I'm coming, I'm coming.\Yay, come, come.\Yeah, I'm coming, I'm coming.\Gin and tonic.\Are you sure, Nobu? We're only at the second party.\Shouldn't you slow down with the drinking?\I can't blend in with this atmosphere unless I'm drunk.\Such a pure hearted guy! response:	I wonder why Yasu went out with such a weird woman.
context: Yay, come, come.\Yeah, I'm coming, I'm coming.\Gin and tonic.\Are you sure, Nobu? We're only at the second party.\Shouldn't you slow down with the drinking?\I can't blend in with this atmosphere unless I'm drunk.\Such a pure hearted guy!\I wonder why Yasu went out with such a weird woman. response:	Weird woman?
context: Yeah, I'm coming, I'm coming.\Gin and tonic.\Are you sure, Nobu? We're only at the second party.\Shouldn't you slow down with the drinking?\I can't blend in with this atmosphere unless I'm drunk.\Such a pure hearted guy!\I wonder why Yasu went out with such a weird woman.\Weird woman? response:	The mysteries of Yasu keep building.
context: Gin and tonic.\Are you sure, Nobu? We're only at the second party.\Shouldn't you slow down with the drinking?\I can't blend in with this atmosphere unless I'm drunk.\Such a pure hearted guy!\I wonder why Yasu went out with such a weird woman.\Weird woman?\The mysteries of Yasu keep building. response:	I can't let you talk like that, Nobu.
context: Are you sure, Nobu? We're only at the second party.\Shouldn't you slow down with the drinking?\I can't blend in with this atmosphere unless I'm drunk.\Such a pure hearted guy!\I wonder why Yasu went out with such a weird woman.\Weird woman?\The mysteries of Yasu keep building.\I can't let you talk like that, Nobu. response:	How dare you talk of our Princess like that.
context: Shouldn't you slow down with the drinking?\I can't blend in with this atmosphere unless I'm drunk.\Such a pure hearted guy!\I wonder why Yasu went out with such a weird woman.\Weird woman?\The mysteries of Yasu keep building.\I can't let you talk like that, Nobu.\How dare you talk of our Princess like that. response:	Takumi... Sorry to bother you but could you please autograph these?
context: I can't blend in with this atmosphere unless I'm drunk.\Such a pure hearted guy!\I wonder why Yasu went out with such a weird woman.\Weird woman?\The mysteries of Yasu keep building.\I can't let you talk like that, Nobu.\How dare you talk of our Princess like that.\Takumi... Sorry to bother you but could you please autograph these? response:	What. What's this? You making me work, even in this place?
context: Such a pure hearted guy!\I wonder why Yasu went out with such a weird woman.\Weird woman?\The mysteries of Yasu keep building.\I can't let you talk like that, Nobu.\How dare you talk of our Princess like that.\Takumi... Sorry to bother you but could you please autograph these?\What. What's this? You making me work, even in this place? response:	Sorry.
context: I wonder why Yasu went out with such a weird woman.\Weird woman?\The mysteries of Yasu keep building.\I can't let you talk like that, Nobu.\How dare you talk of our Princess like that.\Takumi... Sorry to bother you but could you please autograph these?\What. What's this? You making me work, even in this place?\Sorry. response:	I got autographs from the others during breaks at rehearsals,
context: Weird woman?\The mysteries of Yasu keep building.\I can't let you talk like that, Nobu.\How dare you talk of our Princess like that.\Takumi... Sorry to bother you but could you please autograph these?\What. What's this? You making me work, even in this place?\Sorry.\I got autographs from the others during breaks at rehearsals, response:	but you seemed busy so I was gonna ask you later, then forgot.
context: The mysteries of Yasu keep building.\I can't let you talk like that, Nobu.\How dare you talk of our Princess like that.\Takumi... Sorry to bother you but could you please autograph these?\What. What's this? You making me work, even in this place?\Sorry.\I got autographs from the others during breaks at rehearsals,\but you seemed busy so I was gonna ask you later, then forgot. response:	It's a request from a very important sponsor.
context: I can't let you talk like that, Nobu.\How dare you talk of our Princess like that.\Takumi... Sorry to bother you but could you please autograph these?\What. What's this? You making me work, even in this place?\Sorry.\I got autographs from the others during breaks at rehearsals,\but you seemed busy so I was gonna ask you later, then forgot.\It's a request from a very important sponsor. response:	Okay, okay. If it's so important, then you shouldn't forget.
context: How dare you talk of our Princess like that.\Takumi... Sorry to bother you but could you please autograph these?\What. What's this? You making me work, even in this place?\Sorry.\I got autographs from the others during breaks at rehearsals,\but you seemed busy so I was gonna ask you later, then forgot.\It's a request from a very important sponsor.\Okay, okay. If it's so important, then you shouldn't forget. response:	Sorry.
context: Takumi... Sorry to bother you but could you please autograph these?\What. What's this? You making me work, even in this place?\Sorry.\I got autographs from the others during breaks at rehearsals,\but you seemed busy so I was gonna ask you later, then forgot.\It's a request from a very important sponsor.\Okay, okay. If it's so important, then you shouldn't forget.\Sorry. response:	Pull yourself together, manager.
context: What. What's this? You making me work, even in this place?\Sorry.\I got autographs from the others during breaks at rehearsals,\but you seemed busy so I was gonna ask you later, then forgot.\It's a request from a very important sponsor.\Okay, okay. If it's so important, then you shouldn't forget.\Sorry.\Pull yourself together, manager. response:	So you're signing them? Good for you.
context: Sorry.\I got autographs from the others during breaks at rehearsals,\but you seemed busy so I was gonna ask you later, then forgot.\It's a request from a very important sponsor.\Okay, okay. If it's so important, then you shouldn't forget.\Sorry.\Pull yourself together, manager.\So you're signing them? Good for you. response:	I'm a mature man, after all.
context: I got autographs from the others during breaks at rehearsals,\but you seemed busy so I was gonna ask you later, then forgot.\It's a request from a very important sponsor.\Okay, okay. If it's so important, then you shouldn't forget.\Sorry.\Pull yourself together, manager.\So you're signing them? Good for you.\I'm a mature man, after all. response:	You're the one who does the musical arrangements
context: but you seemed busy so I was gonna ask you later, then forgot.\It's a request from a very important sponsor.\Okay, okay. If it's so important, then you shouldn't forget.\Sorry.\Pull yourself together, manager.\So you're signing them? Good for you.\I'm a mature man, after all.\You're the one who does the musical arrangements response:	for all the Trapnest songs, right Takumi?
context: It's a request from a very important sponsor.\Okay, okay. If it's so important, then you shouldn't forget.\Sorry.\Pull yourself together, manager.\So you're signing them? Good for you.\I'm a mature man, after all.\You're the one who does the musical arrangements\for all the Trapnest songs, right Takumi? response:	That's right.
context: Okay, okay. If it's so important, then you shouldn't forget.\Sorry.\Pull yourself together, manager.\So you're signing them? Good for you.\I'm a mature man, after all.\You're the one who does the musical arrangements\for all the Trapnest songs, right Takumi?\That's right. response:	And you also produced your latest album, right?
context: Sorry.\Pull yourself together, manager.\So you're signing them? Good for you.\I'm a mature man, after all.\You're the one who does the musical arrangements\for all the Trapnest songs, right Takumi?\That's right.\And you also produced your latest album, right? response:	Well, yeah.
context: Pull yourself together, manager.\So you're signing them? Good for you.\I'm a mature man, after all.\You're the one who does the musical arrangements\for all the Trapnest songs, right Takumi?\That's right.\And you also produced your latest album, right?\Well, yeah. response:	So that's why it's so much better than the first one.
context: So you're signing them? Good for you.\I'm a mature man, after all.\You're the one who does the musical arrangements\for all the Trapnest songs, right Takumi?\That's right.\And you also produced your latest album, right?\Well, yeah.\So that's why it's so much better than the first one. response:	Oh? You're cute. How about for two hundred thousand yen?
context: I'm a mature man, after all.\You're the one who does the musical arrangements\for all the Trapnest songs, right Takumi?\That's right.\And you also produced your latest album, right?\Well, yeah.\So that's why it's so much better than the first one.\Oh? You're cute. How about for two hundred thousand yen? response:	But you're seriously great.
