context: Once, there was a Hero King response:	who brought peace to the world.
context: I want you to take care of Pastillage!\Don't even say that!\I called you here for my own selfish reasons,\and I can't even send you back home.\I've always regretted that.\I've told you this many times before...\There's nobody back home\who'll be sad or bothered if I'm gone. response:	I was happy I was able to
context: Don't even say that!\I called you here for my own selfish reasons,\and I can't even send you back home.\I've always regretted that.\I've told you this many times before...\There's nobody back home\who'll be sad or bothered if I'm gone.\I was happy I was able to response:	come here, and be with you.
context: I called you here for my own selfish reasons,\and I can't even send you back home.\I've always regretted that.\I've told you this many times before...\There's nobody back home\who'll be sad or bothered if I'm gone.\I was happy I was able to\come here, and be with you. response:	I was able to help everyone.
context: and I can't even send you back home.\I've always regretted that.\I've told you this many times before...\There's nobody back home\who'll be sad or bothered if I'm gone.\I was happy I was able to\come here, and be with you.\I was able to help everyone. response:	to be called a Hero...
context: I've always regretted that.\I've told you this many times before...\There's nobody back home\who'll be sad or bothered if I'm gone.\I was happy I was able to\come here, and be with you.\I was able to help everyone.\to be called a Hero... response:	to be surrounded by people's smiles.
context: I've told you this many times before...\There's nobody back home\who'll be sad or bothered if I'm gone.\I was happy I was able to\come here, and be with you.\I was able to help everyone.\to be called a Hero...\to be surrounded by people's smiles. response:	It's because you called me!
context: There's nobody back home\who'll be sad or bothered if I'm gone.\I was happy I was able to\come here, and be with you.\I was able to help everyone.\to be called a Hero...\to be surrounded by people's smiles.\It's because you called me! response:	It's because you were
context: who'll be sad or bothered if I'm gone.\I was happy I was able to\come here, and be with you.\I was able to help everyone.\to be called a Hero...\to be surrounded by people's smiles.\It's because you called me!\It's because you were response:	courageous enough to stay by my side.
context: I was happy I was able to\come here, and be with you.\I was able to help everyone.\to be called a Hero...\to be surrounded by people's smiles.\It's because you called me!\It's because you were\courageous enough to stay by my side. response:	I was so happy when
context: come here, and be with you.\I was able to help everyone.\to be called a Hero...\to be surrounded by people's smiles.\It's because you called me!\It's because you were\courageous enough to stay by my side.\I was so happy when response:	you said you'd be my gun.
context: I was able to help everyone.\to be called a Hero...\to be surrounded by people's smiles.\It's because you called me!\It's because you were\courageous enough to stay by my side.\I was so happy when\you said you'd be my gun. response:	But from now on,
context: to be called a Hero...\to be surrounded by people's smiles.\It's because you called me!\It's because you were\courageous enough to stay by my side.\I was so happy when\you said you'd be my gun.\But from now on, response:	I want you to live your own life.
context: to be surrounded by people's smiles.\It's because you called me!\It's because you were\courageous enough to stay by my side.\I was so happy when\you said you'd be my gun.\But from now on,\I want you to live your own life. response:	I'd had a feeling this would happen.
context: It's because you called me!\It's because you were\courageous enough to stay by my side.\I was so happy when\you said you'd be my gun.\But from now on,\I want you to live your own life.\I'd had a feeling this would happen. response:	Fi was a user of spirit and healing magic,
context: It's because you were\courageous enough to stay by my side.\I was so happy when\you said you'd be my gun.\But from now on,\I want you to live your own life.\I'd had a feeling this would happen.\Fi was a user of spirit and healing magic, response:	which made her especially vulnerable to the poison the demons put out.
context: courageous enough to stay by my side.\I was so happy when\you said you'd be my gun.\But from now on,\I want you to live your own life.\I'd had a feeling this would happen.\Fi was a user of spirit and healing magic,\which made her especially vulnerable to the poison the demons put out. response:	The morning after we'd spoken,
context: I was so happy when\you said you'd be my gun.\But from now on,\I want you to live your own life.\I'd had a feeling this would happen.\Fi was a user of spirit and healing magic,\which made her especially vulnerable to the poison the demons put out.\The morning after we'd spoken, response:	she left like always...
context: you said you'd be my gun.\But from now on,\I want you to live your own life.\I'd had a feeling this would happen.\Fi was a user of spirit and healing magic,\which made her especially vulnerable to the poison the demons put out.\The morning after we'd spoken,\she left like always... response:	There was no sign of her for two weeks,
context: But from now on,\I want you to live your own life.\I'd had a feeling this would happen.\Fi was a user of spirit and healing magic,\which made her especially vulnerable to the poison the demons put out.\The morning after we'd spoken,\she left like always...\There was no sign of her for two weeks, response:	and then she showed up barely able to move.
context: I want you to live your own life.\I'd had a feeling this would happen.\Fi was a user of spirit and healing magic,\which made her especially vulnerable to the poison the demons put out.\The morning after we'd spoken,\she left like always...\There was no sign of her for two weeks,\and then she showed up barely able to move. response:	I'm back.
context: I'd had a feeling this would happen.\Fi was a user of spirit and healing magic,\which made her especially vulnerable to the poison the demons put out.\The morning after we'd spoken,\she left like always...\There was no sign of her for two weeks,\and then she showed up barely able to move.\I'm back. response:	She'd defeated a demon possessed by a cursed blade in Northern Villand,
context: Fi was a user of spirit and healing magic,\which made her especially vulnerable to the poison the demons put out.\The morning after we'd spoken,\she left like always...\There was no sign of her for two weeks,\and then she showed up barely able to move.\I'm back.\She'd defeated a demon possessed by a cursed blade in Northern Villand, response:	the Poison Dragon of the Ice Wall, all alone.
context: which made her especially vulnerable to the poison the demons put out.\The morning after we'd spoken,\she left like always...\There was no sign of her for two weeks,\and then she showed up barely able to move.\I'm back.\She'd defeated a demon possessed by a cursed blade in Northern Villand,\the Poison Dragon of the Ice Wall, all alone. response:	She went to sleep, and then...
context: The morning after we'd spoken,\she left like always...\There was no sign of her for two weeks,\and then she showed up barely able to move.\I'm back.\She'd defeated a demon possessed by a cursed blade in Northern Villand,\the Poison Dragon of the Ice Wall, all alone.\She went to sleep, and then... response:	Valerie told me that during our journey
context: she left like always...\There was no sign of her for two weeks,\and then she showed up barely able to move.\I'm back.\She'd defeated a demon possessed by a cursed blade in Northern Villand,\the Poison Dragon of the Ice Wall, all alone.\She went to sleep, and then...\Valerie told me that during our journey response:	Fi had realized how much longer
context: There was no sign of her for two weeks,\and then she showed up barely able to move.\I'm back.\She'd defeated a demon possessed by a cursed blade in Northern Villand,\the Poison Dragon of the Ice Wall, all alone.\She went to sleep, and then...\Valerie told me that during our journey\Fi had realized how much longer response:	she had to live.
context: and then she showed up barely able to move.\I'm back.\She'd defeated a demon possessed by a cursed blade in Northern Villand,\the Poison Dragon of the Ice Wall, all alone.\She went to sleep, and then...\Valerie told me that during our journey\Fi had realized how much longer\she had to live. response:	Even if I'd stayed put,
context: I'm back.\She'd defeated a demon possessed by a cursed blade in Northern Villand,\the Poison Dragon of the Ice Wall, all alone.\She went to sleep, and then...\Valerie told me that during our journey\Fi had realized how much longer\she had to live.\Even if I'd stayed put, response:	I wouldn't have lasted that much longer.
context: She'd defeated a demon possessed by a cursed blade in Northern Villand,\the Poison Dragon of the Ice Wall, all alone.\She went to sleep, and then...\Valerie told me that during our journey\Fi had realized how much longer\she had to live.\Even if I'd stayed put,\I wouldn't have lasted that much longer. response:	I decided I'd rather keep going towards
context: the Poison Dragon of the Ice Wall, all alone.\She went to sleep, and then...\Valerie told me that during our journey\Fi had realized how much longer\she had to live.\Even if I'd stayed put,\I wouldn't have lasted that much longer.\I decided I'd rather keep going towards response:	the world I dreamed of,
context: She went to sleep, and then...\Valerie told me that during our journey\Fi had realized how much longer\she had to live.\Even if I'd stayed put,\I wouldn't have lasted that much longer.\I decided I'd rather keep going towards\the world I dreamed of, response:	instead of quitting my journey midway and extending my life for no good reason.
context: Valerie told me that during our journey\Fi had realized how much longer\she had to live.\Even if I'd stayed put,\I wouldn't have lasted that much longer.\I decided I'd rather keep going towards\the world I dreamed of,\instead of quitting my journey midway and extending my life for no good reason. response:	And just like I'd dreamed of,
context: Fi had realized how much longer\she had to live.\Even if I'd stayed put,\I wouldn't have lasted that much longer.\I decided I'd rather keep going towards\the world I dreamed of,\instead of quitting my journey midway and extending my life for no good reason.\And just like I'd dreamed of, response:	the world is so much bigger now.
context: she had to live.\Even if I'd stayed put,\I wouldn't have lasted that much longer.\I decided I'd rather keep going towards\the world I dreamed of,\instead of quitting my journey midway and extending my life for no good reason.\And just like I'd dreamed of,\the world is so much bigger now. response:	I was able to help the world take
context: Even if I'd stayed put,\I wouldn't have lasted that much longer.\I decided I'd rather keep going towards\the world I dreamed of,\instead of quitting my journey midway and extending my life for no good reason.\And just like I'd dreamed of,\the world is so much bigger now.\I was able to help the world take response:	a step closer towards peace.
context: I wouldn't have lasted that much longer.\I decided I'd rather keep going towards\the world I dreamed of,\instead of quitting my journey midway and extending my life for no good reason.\And just like I'd dreamed of,\the world is so much bigger now.\I was able to help the world take\a step closer towards peace. response:	I don't regret it at all.
context: I decided I'd rather keep going towards\the world I dreamed of,\instead of quitting my journey midway and extending my life for no good reason.\And just like I'd dreamed of,\the world is so much bigger now.\I was able to help the world take\a step closer towards peace.\I don't regret it at all. response:	was happy.
context: the world I dreamed of,\instead of quitting my journey midway and extending my life for no good reason.\And just like I'd dreamed of,\the world is so much bigger now.\I was able to help the world take\a step closer towards peace.\I don't regret it at all.\was happy. response:	And so
context: instead of quitting my journey midway and extending my life for no good reason.\And just like I'd dreamed of,\the world is so much bigger now.\I was able to help the world take\a step closer towards peace.\I don't regret it at all.\was happy.\And so response:	the Hero Princess, Clarifier Einz Pastillage, went into a long slumber,
context: And just like I'd dreamed of,\the world is so much bigger now.\I was able to help the world take\a step closer towards peace.\I don't regret it at all.\was happy.\And so\the Hero Princess, Clarifier Einz Pastillage, went into a long slumber, response:	never to be forgotten
context: the world is so much bigger now.\I was able to help the world take\a step closer towards peace.\I don't regret it at all.\was happy.\And so\the Hero Princess, Clarifier Einz Pastillage, went into a long slumber,\never to be forgotten response:	in the history of Flognarde.
context: I was able to help the world take\a step closer towards peace.\I don't regret it at all.\was happy.\And so\the Hero Princess, Clarifier Einz Pastillage, went into a long slumber,\never to be forgotten\in the history of Flognarde. response:	Pastillage became a dukedom
context: a step closer towards peace.\I don't regret it at all.\was happy.\And so\the Hero Princess, Clarifier Einz Pastillage, went into a long slumber,\never to be forgotten\in the history of Flognarde.\Pastillage became a dukedom response:	instead of a monarchy.
context: I don't regret it at all.\was happy.\And so\the Hero Princess, Clarifier Einz Pastillage, went into a long slumber,\never to be forgotten\in the history of Flognarde.\Pastillage became a dukedom\instead of a monarchy. response:	Valerie and I slowly began to
context: was happy.\And so\the Hero Princess, Clarifier Einz Pastillage, went into a long slumber,\never to be forgotten\in the history of Flognarde.\Pastillage became a dukedom\instead of a monarchy.\Valerie and I slowly began to response:	disappear from the people's eyes.
context: And so\the Hero Princess, Clarifier Einz Pastillage, went into a long slumber,\never to be forgotten\in the history of Flognarde.\Pastillage became a dukedom\instead of a monarchy.\Valerie and I slowly began to\disappear from the people's eyes. response:	We watched the children who were born set out on their own,
context: the Hero Princess, Clarifier Einz Pastillage, went into a long slumber,\never to be forgotten\in the history of Flognarde.\Pastillage became a dukedom\instead of a monarchy.\Valerie and I slowly began to\disappear from the people's eyes.\We watched the children who were born set out on their own, response:	and then watched our grandchildren be born.
context: never to be forgotten\in the history of Flognarde.\Pastillage became a dukedom\instead of a monarchy.\Valerie and I slowly began to\disappear from the people's eyes.\We watched the children who were born set out on their own,\and then watched our grandchildren be born. response:	After that, we decided to sleep in the same place Fi did.
context: in the history of Flognarde.\Pastillage became a dukedom\instead of a monarchy.\Valerie and I slowly began to\disappear from the people's eyes.\We watched the children who were born set out on their own,\and then watched our grandchildren be born.\After that, we decided to sleep in the same place Fi did. response:	Isuka and Hina have continued their journey ever since.
context: Pastillage became a dukedom\instead of a monarchy.\Valerie and I slowly began to\disappear from the people's eyes.\We watched the children who were born set out on their own,\and then watched our grandchildren be born.\After that, we decided to sleep in the same place Fi did.\Isuka and Hina have continued their journey ever since. response:	I met Yukikaze after
context: instead of a monarchy.\Valerie and I slowly began to\disappear from the people's eyes.\We watched the children who were born set out on their own,\and then watched our grandchildren be born.\After that, we decided to sleep in the same place Fi did.\Isuka and Hina have continued their journey ever since.\I met Yukikaze after response:	my brother and I split up to
context: Valerie and I slowly began to\disappear from the people's eyes.\We watched the children who were born set out on their own,\and then watched our grandchildren be born.\After that, we decided to sleep in the same place Fi did.\Isuka and Hina have continued their journey ever since.\I met Yukikaze after\my brother and I split up to response:	continue our journeys separately.
context: disappear from the people's eyes.\We watched the children who were born set out on their own,\and then watched our grandchildren be born.\After that, we decided to sleep in the same place Fi did.\Isuka and Hina have continued their journey ever since.\I met Yukikaze after\my brother and I split up to\continue our journeys separately. response:	And when Shinku and Couver touched the monument,
context: We watched the children who were born set out on their own,\and then watched our grandchildren be born.\After that, we decided to sleep in the same place Fi did.\Isuka and Hina have continued their journey ever since.\I met Yukikaze after\my brother and I split up to\continue our journeys separately.\And when Shinku and Couver touched the monument, response:	we awoke, and that's how we got where we are now.
context: and then watched our grandchildren be born.\After that, we decided to sleep in the same place Fi did.\Isuka and Hina have continued their journey ever since.\I met Yukikaze after\my brother and I split up to\continue our journeys separately.\And when Shinku and Couver touched the monument,\we awoke, and that's how we got where we are now. response:	We were able to see that our descendants are doing well,
context: After that, we decided to sleep in the same place Fi did.\Isuka and Hina have continued their journey ever since.\I met Yukikaze after\my brother and I split up to\continue our journeys separately.\And when Shinku and Couver touched the monument,\we awoke, and that's how we got where we are now.\We were able to see that our descendants are doing well, response:	and the world is at peace.
context: Isuka and Hina have continued their journey ever since.\I met Yukikaze after\my brother and I split up to\continue our journeys separately.\And when Shinku and Couver touched the monument,\we awoke, and that's how we got where we are now.\We were able to see that our descendants are doing well,\and the world is at peace. response:	We're happy, of course,
context: I met Yukikaze after\my brother and I split up to\continue our journeys separately.\And when Shinku and Couver touched the monument,\we awoke, and that's how we got where we are now.\We were able to see that our descendants are doing well,\and the world is at peace.\We're happy, of course, response:	and I'm sure Fi is, too.
context: my brother and I split up to\continue our journeys separately.\And when Shinku and Couver touched the monument,\we awoke, and that's how we got where we are now.\We were able to see that our descendants are doing well,\and the world is at peace.\We're happy, of course,\and I'm sure Fi is, too. response:	But of course, the current peace isn't going to last forever.
context: continue our journeys separately.\And when Shinku and Couver touched the monument,\we awoke, and that's how we got where we are now.\We were able to see that our descendants are doing well,\and the world is at peace.\We're happy, of course,\and I'm sure Fi is, too.\But of course, the current peace isn't going to last forever. response:	There's no guarantee
context: And when Shinku and Couver touched the monument,\we awoke, and that's how we got where we are now.\We were able to see that our descendants are doing well,\and the world is at peace.\We're happy, of course,\and I'm sure Fi is, too.\But of course, the current peace isn't going to last forever.\There's no guarantee response:	that a Hero will come save you when you fall.
context: we awoke, and that's how we got where we are now.\We were able to see that our descendants are doing well,\and the world is at peace.\We're happy, of course,\and I'm sure Fi is, too.\But of course, the current peace isn't going to last forever.\There's no guarantee\that a Hero will come save you when you fall. response:	I want you to not forget that.
context: We were able to see that our descendants are doing well,\and the world is at peace.\We're happy, of course,\and I'm sure Fi is, too.\But of course, the current peace isn't going to last forever.\There's no guarantee\that a Hero will come save you when you fall.\I want you to not forget that. response:	Right!
context: and the world is at peace.\We're happy, of course,\and I'm sure Fi is, too.\But of course, the current peace isn't going to last forever.\There's no guarantee\that a Hero will come save you when you fall.\I want you to not forget that.\Right! response:	This ended up taking a lot of time.
context: We're happy, of course,\and I'm sure Fi is, too.\But of course, the current peace isn't going to last forever.\There's no guarantee\that a Hero will come save you when you fall.\I want you to not forget that.\Right!\This ended up taking a lot of time. response:	Let's take a break.
context: and I'm sure Fi is, too.\But of course, the current peace isn't going to last forever.\There's no guarantee\that a Hero will come save you when you fall.\I want you to not forget that.\Right!\This ended up taking a lot of time.\Let's take a break. response:	Bring some more tea.
context: But of course, the current peace isn't going to last forever.\There's no guarantee\that a Hero will come save you when you fall.\I want you to not forget that.\Right!\This ended up taking a lot of time.\Let's take a break.\Bring some more tea. response:	Sorry!
context: There's no guarantee\that a Hero will come save you when you fall.\I want you to not forget that.\Right!\This ended up taking a lot of time.\Let's take a break.\Bring some more tea.\Sorry! response:	We're late!
context: that a Hero will come save you when you fall.\I want you to not forget that.\Right!\This ended up taking a lot of time.\Let's take a break.\Bring some more tea.\Sorry!\We're late! response:	Um, is the story...
context: I want you to not forget that.\Right!\This ended up taking a lot of time.\Let's take a break.\Bring some more tea.\Sorry!\We're late!\Um, is the story... response:	It's all over!
context: Right!\This ended up taking a lot of time.\Let's take a break.\Bring some more tea.\Sorry!\We're late!\Um, is the story...\It's all over! response:	You three are so late!
context: This ended up taking a lot of time.\Let's take a break.\Bring some more tea.\Sorry!\We're late!\Um, is the story...\It's all over!\You three are so late! response:	Well, I've told Millihiore and Shinku
context: Let's take a break.\Bring some more tea.\Sorry!\We're late!\Um, is the story...\It's all over!\You three are so late!\Well, I've told Millihiore and Shinku response:	a little of it before...
context: Bring some more tea.\Sorry!\We're late!\Um, is the story...\It's all over!\You three are so late!\Well, I've told Millihiore and Shinku\a little of it before... response:	The Heroes and the princesses are all happy now.
context: Sorry!\We're late!\Um, is the story...\It's all over!\You three are so late!\Well, I've told Millihiore and Shinku\a little of it before...\The Heroes and the princesses are all happy now. response:	Please keep watching over us, Fi.
context: We're late!\Um, is the story...\It's all over!\You three are so late!\Well, I've told Millihiore and Shinku\a little of it before...\The Heroes and the princesses are all happy now.\Please keep watching over us, Fi. response:	My ancestor's story was so moving!
context: Um, is the story...\It's all over!\You three are so late!\Well, I've told Millihiore and Shinku\a little of it before...\The Heroes and the princesses are all happy now.\Please keep watching over us, Fi.\My ancestor's story was so moving! response:	I'm still watching over the happiness of my descendants.
context: It's all over!\You three are so late!\Well, I've told Millihiore and Shinku\a little of it before...\The Heroes and the princesses are all happy now.\Please keep watching over us, Fi.\My ancestor's story was so moving!\I'm still watching over the happiness of my descendants. response:	The Star Whale in the Sky Sea
context: You three are so late!\Well, I've told Millihiore and Shinku\a little of it before...\The Heroes and the princesses are all happy now.\Please keep watching over us, Fi.\My ancestor's story was so moving!\I'm still watching over the happiness of my descendants.\The Star Whale in the Sky Sea response:	See you next time, too, okay?
