context: Were you just singing? response:	I was on my way to pick up the uniform I ordered,
context: Sure, it's close by.\If the principal shows up, pick me up on the way with the bus.\I'm starting to feel a little nervous.\Yes?\Um...\You must be one of Tomoko's students.\Yes!\Is she in right now? response:	She just went to the hospital for a check-up.
context: If the principal shows up, pick me up on the way with the bus.\I'm starting to feel a little nervous.\Yes?\Um...\You must be one of Tomoko's students.\Yes!\Is she in right now?\She just went to the hospital for a check-up. response:	Can you tell me which hospital?
context: I'm starting to feel a little nervous.\Yes?\Um...\You must be one of Tomoko's students.\Yes!\Is she in right now?\She just went to the hospital for a check-up.\Can you tell me which hospital? response:	Miyamoto-san!
context: Yes?\Um...\You must be one of Tomoko's students.\Yes!\Is she in right now?\She just went to the hospital for a check-up.\Can you tell me which hospital?\Miyamoto-san! response:	I found the principal.
context: Um...\You must be one of Tomoko's students.\Yes!\Is she in right now?\She just went to the hospital for a check-up.\Can you tell me which hospital?\Miyamoto-san!\I found the principal. response:	You found him?
context: You must be one of Tomoko's students.\Yes!\Is she in right now?\She just went to the hospital for a check-up.\Can you tell me which hospital?\Miyamoto-san!\I found the principal.\You found him? response:	Joint Recital
context: Yes!\Is she in right now?\She just went to the hospital for a check-up.\Can you tell me which hospital?\Miyamoto-san!\I found the principal.\You found him?\Joint Recital response:	Rehearsal's started.
context: Is she in right now?\She just went to the hospital for a check-up.\Can you tell me which hospital?\Miyamoto-san!\I found the principal.\You found him?\Joint Recital\Rehearsal's started. response:	Is everything okay over there?
context: She just went to the hospital for a check-up.\Can you tell me which hospital?\Miyamoto-san!\I found the principal.\You found him?\Joint Recital\Rehearsal's started.\Is everything okay over there? response:	They just found the principal, but I'm not sure what's going on.
context: Can you tell me which hospital?\Miyamoto-san!\I found the principal.\You found him?\Joint Recital\Rehearsal's started.\Is everything okay over there?\They just found the principal, but I'm not sure what's going on. response:	Shirohamazaka High School Choir Club?
context: Miyamoto-san!\I found the principal.\You found him?\Joint Recital\Rehearsal's started.\Is everything okay over there?\They just found the principal, but I'm not sure what's going on.\Shirohamazaka High School Choir Club? response:	I'm here with Mr. Tada...
context: I found the principal.\You found him?\Joint Recital\Rehearsal's started.\Is everything okay over there?\They just found the principal, but I'm not sure what's going on.\Shirohamazaka High School Choir Club?\I'm here with Mr. Tada... response:	Yes!
context: You found him?\Joint Recital\Rehearsal's started.\Is everything okay over there?\They just found the principal, but I'm not sure what's going on.\Shirohamazaka High School Choir Club?\I'm here with Mr. Tada...\Yes! response:	I have to go.
context: Joint Recital\Rehearsal's started.\Is everything okay over there?\They just found the principal, but I'm not sure what's going on.\Shirohamazaka High School Choir Club?\I'm here with Mr. Tada...\Yes!\I have to go. response:	Okay, I'll be there soon!
context: Rehearsal's started.\Is everything okay over there?\They just found the principal, but I'm not sure what's going on.\Shirohamazaka High School Choir Club?\I'm here with Mr. Tada...\Yes!\I have to go.\Okay, I'll be there soon! response:	Look, I stopped, okay?!
context: Is everything okay over there?\They just found the principal, but I'm not sure what's going on.\Shirohamazaka High School Choir Club?\I'm here with Mr. Tada...\Yes!\I have to go.\Okay, I'll be there soon!\Look, I stopped, okay?! response:	And I just had it waxed!
context: They just found the principal, but I'm not sure what's going on.\Shirohamazaka High School Choir Club?\I'm here with Mr. Tada...\Yes!\I have to go.\Okay, I'll be there soon!\Look, I stopped, okay?!\And I just had it waxed! response:	I even wax my bicycles. That's the kind of man I am.
context: Shirohamazaka High School Choir Club?\I'm here with Mr. Tada...\Yes!\I have to go.\Okay, I'll be there soon!\Look, I stopped, okay?!\And I just had it waxed!\I even wax my bicycles. That's the kind of man I am. response:	Sir!
context: I'm here with Mr. Tada...\Yes!\I have to go.\Okay, I'll be there soon!\Look, I stopped, okay?!\And I just had it waxed!\I even wax my bicycles. That's the kind of man I am.\Sir! response:	Understand?
context: Yes!\I have to go.\Okay, I'll be there soon!\Look, I stopped, okay?!\And I just had it waxed!\I even wax my bicycles. That's the kind of man I am.\Sir!\Understand? response:	Maternity Ward
context: I have to go.\Okay, I'll be there soon!\Look, I stopped, okay?!\And I just had it waxed!\I even wax my bicycles. That's the kind of man I am.\Sir!\Understand?\Maternity Ward response:	Ms. Takahashi!
context: Okay, I'll be there soon!\Look, I stopped, okay?!\And I just had it waxed!\I even wax my bicycles. That's the kind of man I am.\Sir!\Understand?\Maternity Ward\Ms. Takahashi! response:	Okita? What are you doing here?
context: Look, I stopped, okay?!\And I just had it waxed!\I even wax my bicycles. That's the kind of man I am.\Sir!\Understand?\Maternity Ward\Ms. Takahashi!\Okita? What are you doing here? response:	Are you pregnant?
context: And I just had it waxed!\I even wax my bicycles. That's the kind of man I am.\Sir!\Understand?\Maternity Ward\Ms. Takahashi!\Okita? What are you doing here?\Are you pregnant? response:	No.
context: I even wax my bicycles. That's the kind of man I am.\Sir!\Understand?\Maternity Ward\Ms. Takahashi!\Okita? What are you doing here?\Are you pregnant?\No. response:	The principal's out.
context: Sir!\Understand?\Maternity Ward\Ms. Takahashi!\Okita? What are you doing here?\Are you pregnant?\No.\The principal's out. response:	What?!
context: Understand?\Maternity Ward\Ms. Takahashi!\Okita? What are you doing here?\Are you pregnant?\No.\The principal's out.\What?! response:	But I called the school and arranged for the bus to leave,
context: Maternity Ward\Ms. Takahashi!\Okita? What are you doing here?\Are you pregnant?\No.\The principal's out.\What?!\But I called the school and arranged for the bus to leave, response:	so I think we'll make it, somehow.
context: Ms. Takahashi!\Okita? What are you doing here?\Are you pregnant?\No.\The principal's out.\What?!\But I called the school and arranged for the bus to leave,\so I think we'll make it, somehow. response:	Then we'll go to the auditorium.
context: Okita? What are you doing here?\Are you pregnant?\No.\The principal's out.\What?!\But I called the school and arranged for the bus to leave,\so I think we'll make it, somehow.\Then we'll go to the auditorium. response:	Great. Where are you now?
context: Are you pregnant?\No.\The principal's out.\What?!\But I called the school and arranged for the bus to leave,\so I think we'll make it, somehow.\Then we'll go to the auditorium.\Great. Where are you now? response:	I'm at the hospital, so...
context: No.\The principal's out.\What?!\But I called the school and arranged for the bus to leave,\so I think we'll make it, somehow.\Then we'll go to the auditorium.\Great. Where are you now?\I'm at the hospital, so... response:	Konatsu!
context: The principal's out.\What?!\But I called the school and arranged for the bus to leave,\so I think we'll make it, somehow.\Then we'll go to the auditorium.\Great. Where are you now?\I'm at the hospital, so...\Konatsu! response:	You're here?!
context: What?!\But I called the school and arranged for the bus to leave,\so I think we'll make it, somehow.\Then we'll go to the auditorium.\Great. Where are you now?\I'm at the hospital, so...\Konatsu!\You're here?! response:	Could you please let the choir club sing last?
context: But I called the school and arranged for the bus to leave,\so I think we'll make it, somehow.\Then we'll go to the auditorium.\Great. Where are you now?\I'm at the hospital, so...\Konatsu!\You're here?!\Could you please let the choir club sing last? response:	They said they're on their way and will definitely make it.
context: so I think we'll make it, somehow.\Then we'll go to the auditorium.\Great. Where are you now?\I'm at the hospital, so...\Konatsu!\You're here?!\Could you please let the choir club sing last?\They said they're on their way and will definitely make it. response:	I know it's asking a lot to change the program last-minute...
context: Then we'll go to the auditorium.\Great. Where are you now?\I'm at the hospital, so...\Konatsu!\You're here?!\Could you please let the choir club sing last?\They said they're on their way and will definitely make it.\I know it's asking a lot to change the program last-minute... response:	I just got a call from the principal.
context: Great. Where are you now?\I'm at the hospital, so...\Konatsu!\You're here?!\Could you please let the choir club sing last?\They said they're on their way and will definitely make it.\I know it's asking a lot to change the program last-minute...\I just got a call from the principal. response:	Huh?
context: I'm at the hospital, so...\Konatsu!\You're here?!\Could you please let the choir club sing last?\They said they're on their way and will definitely make it.\I know it's asking a lot to change the program last-minute...\I just got a call from the principal.\Huh? response:	Though I don't want to, I'll put your club after the voice majors.
context: Konatsu!\You're here?!\Could you please let the choir club sing last?\They said they're on their way and will definitely make it.\I know it's asking a lot to change the program last-minute...\I just got a call from the principal.\Huh?\Though I don't want to, I'll put your club after the voice majors. response:	Thank you very much.
context: You're here?!\Could you please let the choir club sing last?\They said they're on their way and will definitely make it.\I know it's asking a lot to change the program last-minute...\I just got a call from the principal.\Huh?\Though I don't want to, I'll put your club after the voice majors.\Thank you very much. response:	Almost there.
context: Could you please let the choir club sing last?\They said they're on their way and will definitely make it.\I know it's asking a lot to change the program last-minute...\I just got a call from the principal.\Huh?\Though I don't want to, I'll put your club after the voice majors.\Thank you very much.\Almost there. response:	This is really cutting it close.
context: They said they're on their way and will definitely make it.\I know it's asking a lot to change the program last-minute...\I just got a call from the principal.\Huh?\Though I don't want to, I'll put your club after the voice majors.\Thank you very much.\Almost there.\This is really cutting it close. response:	Yeah.
context: I know it's asking a lot to change the program last-minute...\I just got a call from the principal.\Huh?\Though I don't want to, I'll put your club after the voice majors.\Thank you very much.\Almost there.\This is really cutting it close.\Yeah. response:	Where's the rest of your group?
context: I just got a call from the principal.\Huh?\Though I don't want to, I'll put your club after the voice majors.\Thank you very much.\Almost there.\This is really cutting it close.\Yeah.\Where's the rest of your group? response:	On their way.
context: Huh?\Though I don't want to, I'll put your club after the voice majors.\Thank you very much.\Almost there.\This is really cutting it close.\Yeah.\Where's the rest of your group?\On their way. response:	Sakai-san's the only one there.
context: Though I don't want to, I'll put your club after the voice majors.\Thank you very much.\Almost there.\This is really cutting it close.\Yeah.\Where's the rest of your group?\On their way.\Sakai-san's the only one there. response:	Sakai-san?
context: Thank you very much.\Almost there.\This is really cutting it close.\Yeah.\Where's the rest of your group?\On their way.\Sakai-san's the only one there.\Sakai-san? response:	Wow...
context: Almost there.\This is really cutting it close.\Yeah.\Where's the rest of your group?\On their way.\Sakai-san's the only one there.\Sakai-san?\Wow... response:	Goodness, that scared me.
context: This is really cutting it close.\Yeah.\Where's the rest of your group?\On their way.\Sakai-san's the only one there.\Sakai-san?\Wow...\Goodness, that scared me. response:	Do you want us to crash?!
context: Yeah.\Where's the rest of your group?\On their way.\Sakai-san's the only one there.\Sakai-san?\Wow...\Goodness, that scared me.\Do you want us to crash?! response:	I've trained.
context: Where's the rest of your group?\On their way.\Sakai-san's the only one there.\Sakai-san?\Wow...\Goodness, that scared me.\Do you want us to crash?!\I've trained. response:	This isn't going to be like last year!
context: On their way.\Sakai-san's the only one there.\Sakai-san?\Wow...\Goodness, that scared me.\Do you want us to crash?!\I've trained.\This isn't going to be like last year! response:	Relax, relax, relax.
context: Sakai-san's the only one there.\Sakai-san?\Wow...\Goodness, that scared me.\Do you want us to crash?!\I've trained.\This isn't going to be like last year!\Relax, relax, relax. response:	Next up, we have the Shirohamazaki High School Choir Club performing Melody of the Heart.
context: Sakai-san?\Wow...\Goodness, that scared me.\Do you want us to crash?!\I've trained.\This isn't going to be like last year!\Relax, relax, relax.\Next up, we have the Shirohamazaki High School Choir Club performing Melody of the Heart. response:	Where's Miyamoto-san?
context: Wow...\Goodness, that scared me.\Do you want us to crash?!\I've trained.\This isn't going to be like last year!\Relax, relax, relax.\Next up, we have the Shirohamazaki High School Choir Club performing Melody of the Heart.\Where's Miyamoto-san? response:	Not here yet.
context: Goodness, that scared me.\Do you want us to crash?!\I've trained.\This isn't going to be like last year!\Relax, relax, relax.\Next up, we have the Shirohamazaki High School Choir Club performing Melody of the Heart.\Where's Miyamoto-san?\Not here yet. response:	Found you!
context: Do you want us to crash?!\I've trained.\This isn't going to be like last year!\Relax, relax, relax.\Next up, we have the Shirohamazaki High School Choir Club performing Melody of the Heart.\Where's Miyamoto-san?\Not here yet.\Found you! response:	Hurry! They're introducing you guys!
context: I've trained.\This isn't going to be like last year!\Relax, relax, relax.\Next up, we have the Shirohamazaki High School Choir Club performing Melody of the Heart.\Where's Miyamoto-san?\Not here yet.\Found you!\Hurry! They're introducing you guys! response:	Is everyone else already out there?
context: This isn't going to be like last year!\Relax, relax, relax.\Next up, we have the Shirohamazaki High School Choir Club performing Melody of the Heart.\Where's Miyamoto-san?\Not here yet.\Found you!\Hurry! They're introducing you guys!\Is everyone else already out there? response:	What? They're not with you?
context: Relax, relax, relax.\Next up, we have the Shirohamazaki High School Choir Club performing Melody of the Heart.\Where's Miyamoto-san?\Not here yet.\Found you!\Hurry! They're introducing you guys!\Is everyone else already out there?\What? They're not with you? response:	We've finally cleared the congestion, so it shouldn't be long.
context: Next up, we have the Shirohamazaki High School Choir Club performing Melody of the Heart.\Where's Miyamoto-san?\Not here yet.\Found you!\Hurry! They're introducing you guys!\Is everyone else already out there?\What? They're not with you?\We've finally cleared the congestion, so it shouldn't be long. response:	How's it going over there?
context: Where's Miyamoto-san?\Not here yet.\Found you!\Hurry! They're introducing you guys!\Is everyone else already out there?\What? They're not with you?\We've finally cleared the congestion, so it shouldn't be long.\How's it going over there? response:	Are we going to make it?
context: Not here yet.\Found you!\Hurry! They're introducing you guys!\Is everyone else already out there?\What? They're not with you?\We've finally cleared the congestion, so it shouldn't be long.\How's it going over there?\Are we going to make it? response:	Sis?!
context: Found you!\Hurry! They're introducing you guys!\Is everyone else already out there?\What? They're not with you?\We've finally cleared the congestion, so it shouldn't be long.\How's it going over there?\Are we going to make it?\Sis?! response:	I'll tell them you're not going on.
context: Hurry! They're introducing you guys!\Is everyone else already out there?\What? They're not with you?\We've finally cleared the congestion, so it shouldn't be long.\How's it going over there?\Are we going to make it?\Sis?!\I'll tell them you're not going on. response:	I'm going home.
context: Is everyone else already out there?\What? They're not with you?\We've finally cleared the congestion, so it shouldn't be long.\How's it going over there?\Are we going to make it?\Sis?!\I'll tell them you're not going on.\I'm going home. response:	You get all these people involved, and now you just wanna quit and go home?!
context: What? They're not with you?\We've finally cleared the congestion, so it shouldn't be long.\How's it going over there?\Are we going to make it?\Sis?!\I'll tell them you're not going on.\I'm going home.\You get all these people involved, and now you just wanna quit and go home?! response:	What's wrong with you?
context: We've finally cleared the congestion, so it shouldn't be long.\How's it going over there?\Are we going to make it?\Sis?!\I'll tell them you're not going on.\I'm going home.\You get all these people involved, and now you just wanna quit and go home?!\What's wrong with you? response:	This is your last chance!
context: How's it going over there?\Are we going to make it?\Sis?!\I'll tell them you're not going on.\I'm going home.\You get all these people involved, and now you just wanna quit and go home?!\What's wrong with you?\This is your last chance! response:	You're right.
context: Are we going to make it?\Sis?!\I'll tell them you're not going on.\I'm going home.\You get all these people involved, and now you just wanna quit and go home?!\What's wrong with you?\This is your last chance!\You're right. response:	I've got to overwrite last year's shame!
context: Sis?!\I'll tell them you're not going on.\I'm going home.\You get all these people involved, and now you just wanna quit and go home?!\What's wrong with you?\This is your last chance!\You're right.\I've got to overwrite last year's shame! response:	Singing is all that matters!
context: I'll tell them you're not going on.\I'm going home.\You get all these people involved, and now you just wanna quit and go home?!\What's wrong with you?\This is your last chance!\You're right.\I've got to overwrite last year's shame!\Singing is all that matters! response:	I don't care if I make a fool of myself.
context: I'm going home.\You get all these people involved, and now you just wanna quit and go home?!\What's wrong with you?\This is your last chance!\You're right.\I've got to overwrite last year's shame!\Singing is all that matters!\I don't care if I make a fool of myself. response:	I have to see this through!
context: You get all these people involved, and now you just wanna quit and go home?!\What's wrong with you?\This is your last chance!\You're right.\I've got to overwrite last year's shame!\Singing is all that matters!\I don't care if I make a fool of myself.\I have to see this through! response:	Thanks for all your help, Sakai-san.
context: What's wrong with you?\This is your last chance!\You're right.\I've got to overwrite last year's shame!\Singing is all that matters!\I don't care if I make a fool of myself.\I have to see this through!\Thanks for all your help, Sakai-san. response:	I'm going to find the answer you wanted last time.
context: This is your last chance!\You're right.\I've got to overwrite last year's shame!\Singing is all that matters!\I don't care if I make a fool of myself.\I have to see this through!\Thanks for all your help, Sakai-san.\I'm going to find the answer you wanted last time. response:	What do you sing for?
context: You're right.\I've got to overwrite last year's shame!\Singing is all that matters!\I don't care if I make a fool of myself.\I have to see this through!\Thanks for all your help, Sakai-san.\I'm going to find the answer you wanted last time.\What do you sing for? response:	Are you ready?
context: I've got to overwrite last year's shame!\Singing is all that matters!\I don't care if I make a fool of myself.\I have to see this through!\Thanks for all your help, Sakai-san.\I'm going to find the answer you wanted last time.\What do you sing for?\Are you ready? response:	Yeah.
context: Singing is all that matters!\I don't care if I make a fool of myself.\I have to see this through!\Thanks for all your help, Sakai-san.\I'm going to find the answer you wanted last time.\What do you sing for?\Are you ready?\Yeah. response:	We've just gotta get through one song.
context: I don't care if I make a fool of myself.\I have to see this through!\Thanks for all your help, Sakai-san.\I'm going to find the answer you wanted last time.\What do you sing for?\Are you ready?\Yeah.\We've just gotta get through one song. response:	Are you okay?
context: I have to see this through!\Thanks for all your help, Sakai-san.\I'm going to find the answer you wanted last time.\What do you sing for?\Are you ready?\Yeah.\We've just gotta get through one song.\Are you okay? response:	Yeah.
context: Thanks for all your help, Sakai-san.\I'm going to find the answer you wanted last time.\What do you sing for?\Are you ready?\Yeah.\We've just gotta get through one song.\Are you okay?\Yeah. response:	Just imagine you're looking at a pumpkin patch.
context: I'm going to find the answer you wanted last time.\What do you sing for?\Are you ready?\Yeah.\We've just gotta get through one song.\Are you okay?\Yeah.\Just imagine you're looking at a pumpkin patch. response:	I've never seen a pumpkin patch...
context: What do you sing for?\Are you ready?\Yeah.\We've just gotta get through one song.\Are you okay?\Yeah.\Just imagine you're looking at a pumpkin patch.\I've never seen a pumpkin patch... response:	A watermelon patch, then.
context: Are you ready?\Yeah.\We've just gotta get through one song.\Are you okay?\Yeah.\Just imagine you're looking at a pumpkin patch.\I've never seen a pumpkin patch...\A watermelon patch, then. response:	You're rude.
context: Yeah.\We've just gotta get through one song.\Are you okay?\Yeah.\Just imagine you're looking at a pumpkin patch.\I've never seen a pumpkin patch...\A watermelon patch, then.\You're rude. response:	Sakai-san?
context: We've just gotta get through one song.\Are you okay?\Yeah.\Just imagine you're looking at a pumpkin patch.\I've never seen a pumpkin patch...\A watermelon patch, then.\You're rude.\Sakai-san? response:	Okay.
context: Are you okay?\Yeah.\Just imagine you're looking at a pumpkin patch.\I've never seen a pumpkin patch...\A watermelon patch, then.\You're rude.\Sakai-san?\Okay. response:	What did she say?
context: Yeah.\Just imagine you're looking at a pumpkin patch.\I've never seen a pumpkin patch...\A watermelon patch, then.\You're rude.\Sakai-san?\Okay.\What did she say? response:	I think I owe her three cakes now.
context: Just imagine you're looking at a pumpkin patch.\I've never seen a pumpkin patch...\A watermelon patch, then.\You're rude.\Sakai-san?\Okay.\What did she say?\I think I owe her three cakes now. response:	All right, let's do this.
context: I've never seen a pumpkin patch...\A watermelon patch, then.\You're rude.\Sakai-san?\Okay.\What did she say?\I think I owe her three cakes now.\All right, let's do this. response:	A fresh wind races through the grass and leaves.
context: A watermelon patch, then.\You're rude.\Sakai-san?\Okay.\What did she say?\I think I owe her three cakes now.\All right, let's do this.\A fresh wind races through the grass and leaves. response:	The view is clear, as far as the eye can see.
context: You're rude.\Sakai-san?\Okay.\What did she say?\I think I owe her three cakes now.\All right, let's do this.\A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see. response:	And now, a graceful light is flooding,
context: Sakai-san?\Okay.\What did she say?\I think I owe her three cakes now.\All right, let's do this.\A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see.\And now, a graceful light is flooding, response:	softly illuminating everything.
context: Okay.\What did she say?\I think I owe her three cakes now.\All right, let's do this.\A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see.\And now, a graceful light is flooding,\softly illuminating everything. response:	Even if you can't see the stars
context: What did she say?\I think I owe her three cakes now.\All right, let's do this.\A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see.\And now, a graceful light is flooding,\softly illuminating everything.\Even if you can't see the stars response:	because of the rain,
context: I think I owe her three cakes now.\All right, let's do this.\A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see.\And now, a graceful light is flooding,\softly illuminating everything.\Even if you can't see the stars\because of the rain, response:	the future you're dreaming of
context: All right, let's do this.\A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see.\And now, a graceful light is flooding,\softly illuminating everything.\Even if you can't see the stars\because of the rain,\the future you're dreaming of response:	is still right there.
context: A fresh wind races through the grass and leaves.\The view is clear, as far as the eye can see.\And now, a graceful light is flooding,\softly illuminating everything.\Even if you can't see the stars\because of the rain,\the future you're dreaming of\is still right there. response:	Let's sing every day,
context: The view is clear, as far as the eye can see.\And now, a graceful light is flooding,\softly illuminating everything.\Even if you can't see the stars\because of the rain,\the future you're dreaming of\is still right there.\Let's sing every day, response:	with all our hearts,
context: And now, a graceful light is flooding,\softly illuminating everything.\Even if you can't see the stars\because of the rain,\the future you're dreaming of\is still right there.\Let's sing every day,\with all our hearts, response:	our song echoing to the skies,
context: softly illuminating everything.\Even if you can't see the stars\because of the rain,\the future you're dreaming of\is still right there.\Let's sing every day,\with all our hearts,\our song echoing to the skies, response:	and beyond.
context: Even if you can't see the stars\because of the rain,\the future you're dreaming of\is still right there.\Let's sing every day,\with all our hearts,\our song echoing to the skies,\and beyond. response:	And if it should ever
context: because of the rain,\the future you're dreaming of\is still right there.\Let's sing every day,\with all our hearts,\our song echoing to the skies,\and beyond.\And if it should ever response:	reach you again somewhere,
context: the future you're dreaming of\is still right there.\Let's sing every day,\with all our hearts,\our song echoing to the skies,\and beyond.\And if it should ever\reach you again somewhere, response:	I want you to remember
context: is still right there.\Let's sing every day,\with all our hearts,\our song echoing to the skies,\and beyond.\And if it should ever\reach you again somewhere,\I want you to remember response:	the days we spent with beaming smiles.
context: Let's sing every day,\with all our hearts,\our song echoing to the skies,\and beyond.\And if it should ever\reach you again somewhere,\I want you to remember\the days we spent with beaming smiles. response:	Let's sing every day,
context: with all our hearts,\our song echoing to the skies,\and beyond.\And if it should ever\reach you again somewhere,\I want you to remember\the days we spent with beaming smiles.\Let's sing every day, response:	with all our hearts,
context: our song echoing to the skies,\and beyond.\And if it should ever\reach you again somewhere,\I want you to remember\the days we spent with beaming smiles.\Let's sing every day,\with all our hearts, response:	our song echoing to the skies,
context: and beyond.\And if it should ever\reach you again somewhere,\I want you to remember\the days we spent with beaming smiles.\Let's sing every day,\with all our hearts,\our song echoing to the skies, response:	and beyond.
context: And if it should ever\reach you again somewhere,\I want you to remember\the days we spent with beaming smiles.\Let's sing every day,\with all our hearts,\our song echoing to the skies,\and beyond. response:	And if it should ever
context: reach you again somewhere,\I want you to remember\the days we spent with beaming smiles.\Let's sing every day,\with all our hearts,\our song echoing to the skies,\and beyond.\And if it should ever response:	reach you again somewhere,
context: I want you to remember\the days we spent with beaming smiles.\Let's sing every day,\with all our hearts,\our song echoing to the skies,\and beyond.\And if it should ever\reach you again somewhere, response:	I want you to remember
context: the days we spent with beaming smiles.\Let's sing every day,\with all our hearts,\our song echoing to the skies,\and beyond.\And if it should ever\reach you again somewhere,\I want you to remember response:	the days we spent with sparkling eyes.
context: Let's sing every day,\with all our hearts,\our song echoing to the skies,\and beyond.\And if it should ever\reach you again somewhere,\I want you to remember\the days we spent with sparkling eyes. response:	The days we spent with beaming smiles.
context: with all our hearts,\our song echoing to the skies,\and beyond.\And if it should ever\reach you again somewhere,\I want you to remember\the days we spent with sparkling eyes.\The days we spent with beaming smiles. response:	I'll be hospitalized for a while,
context: our song echoing to the skies,\and beyond.\And if it should ever\reach you again somewhere,\I want you to remember\the days we spent with sparkling eyes.\The days we spent with beaming smiles.\I'll be hospitalized for a while, response:	so you'll have to take over my duties for the time being.
context: and beyond.\And if it should ever\reach you again somewhere,\I want you to remember\the days we spent with sparkling eyes.\The days we spent with beaming smiles.\I'll be hospitalized for a while,\so you'll have to take over my duties for the time being. response:	Yes, sir.
context: And if it should ever\reach you again somewhere,\I want you to remember\the days we spent with sparkling eyes.\The days we spent with beaming smiles.\I'll be hospitalized for a while,\so you'll have to take over my duties for the time being.\Yes, sir. response:	You can call me Sawa.
context: reach you again somewhere,\I want you to remember\the days we spent with sparkling eyes.\The days we spent with beaming smiles.\I'll be hospitalized for a while,\so you'll have to take over my duties for the time being.\Yes, sir.\You can call me Sawa. response:	Tai-kun?
context: I want you to remember\the days we spent with sparkling eyes.\The days we spent with beaming smiles.\I'll be hospitalized for a while,\so you'll have to take over my duties for the time being.\Yes, sir.\You can call me Sawa.\Tai-kun? response:	If we do this, I want to win.
context: the days we spent with sparkling eyes.\The days we spent with beaming smiles.\I'll be hospitalized for a while,\so you'll have to take over my duties for the time being.\Yes, sir.\You can call me Sawa.\Tai-kun?\If we do this, I want to win. response:	Please let us sing here!
context: The days we spent with beaming smiles.\I'll be hospitalized for a while,\so you'll have to take over my duties for the time being.\Yes, sir.\You can call me Sawa.\Tai-kun?\If we do this, I want to win.\Please let us sing here! response:	Episode 3 Swinging and Meeting
context: I'll be hospitalized for a while,\so you'll have to take over my duties for the time being.\Yes, sir.\You can call me Sawa.\Tai-kun?\If we do this, I want to win.\Please let us sing here!\Episode 3 Swinging and Meeting response:	But if I win, both of you have to join the badminton club.
