context: Spring... response:	A warm breeze stirs the cherry tree branches, and tickles my hair.
context: Huh? Kosaki's little sister?\Really? So you have a little sister, Kosaki!\Nice to meet you! What's your name?\Does he have something on you!?\Huh? Something on me? Um, what are you talking...\Because otherwise, it doesn't make sense!\A person like you, so drop-dead gorgeous, so stylish, who seems so likable...\With someone who's so obviously a loser? response:	Who looks so shallow and unpleasant...
context: Really? So you have a little sister, Kosaki!\Nice to meet you! What's your name?\Does he have something on you!?\Huh? Something on me? Um, what are you talking...\Because otherwise, it doesn't make sense!\A person like you, so drop-dead gorgeous, so stylish, who seems so likable...\With someone who's so obviously a loser?\Who looks so shallow and unpleasant... response:	It makes no sense at all that you'd be seeing him!
context: Nice to meet you! What's your name?\Does he have something on you!?\Huh? Something on me? Um, what are you talking...\Because otherwise, it doesn't make sense!\A person like you, so drop-dead gorgeous, so stylish, who seems so likable...\With someone who's so obviously a loser?\Who looks so shallow and unpleasant...\It makes no sense at all that you'd be seeing him! response:	Hey, hey, hey!
context: Does he have something on you!?\Huh? Something on me? Um, what are you talking...\Because otherwise, it doesn't make sense!\A person like you, so drop-dead gorgeous, so stylish, who seems so likable...\With someone who's so obviously a loser?\Who looks so shallow and unpleasant...\It makes no sense at all that you'd be seeing him!\Hey, hey, hey! response:	Wh-What...? How could say such a thing, Haru? Apologize!
context: Huh? Something on me? Um, what are you talking...\Because otherwise, it doesn't make sense!\A person like you, so drop-dead gorgeous, so stylish, who seems so likable...\With someone who's so obviously a loser?\Who looks so shallow and unpleasant...\It makes no sense at all that you'd be seeing him!\Hey, hey, hey!\Wh-What...? How could say such a thing, Haru? Apologize! response:	I get that you're upset, but that kind of talk is uncalled for!
context: Because otherwise, it doesn't make sense!\A person like you, so drop-dead gorgeous, so stylish, who seems so likable...\With someone who's so obviously a loser?\Who looks so shallow and unpleasant...\It makes no sense at all that you'd be seeing him!\Hey, hey, hey!\Wh-What...? How could say such a thing, Haru? Apologize!\I get that you're upset, but that kind of talk is uncalled for! response:	Come on, Chitoge, you tell her, too!
context: A person like you, so drop-dead gorgeous, so stylish, who seems so likable...\With someone who's so obviously a loser?\Who looks so shallow and unpleasant...\It makes no sense at all that you'd be seeing him!\Hey, hey, hey!\Wh-What...? How could say such a thing, Haru? Apologize!\I get that you're upset, but that kind of talk is uncalled for!\Come on, Chitoge, you tell her, too! response:	I see, so your name is Haru, huh?
context: With someone who's so obviously a loser?\Who looks so shallow and unpleasant...\It makes no sense at all that you'd be seeing him!\Hey, hey, hey!\Wh-What...? How could say such a thing, Haru? Apologize!\I get that you're upset, but that kind of talk is uncalled for!\Come on, Chitoge, you tell her, too!\I see, so your name is Haru, huh? response:	You're such a sweet, good little girl, aren't you, Haru?
context: Who looks so shallow and unpleasant...\It makes no sense at all that you'd be seeing him!\Hey, hey, hey!\Wh-What...? How could say such a thing, Haru? Apologize!\I get that you're upset, but that kind of talk is uncalled for!\Come on, Chitoge, you tell her, too!\I see, so your name is Haru, huh?\You're such a sweet, good little girl, aren't you, Haru? response:	My name is Chitoge Kirisaki. Nice to meet you!
context: It makes no sense at all that you'd be seeing him!\Hey, hey, hey!\Wh-What...? How could say such a thing, Haru? Apologize!\I get that you're upset, but that kind of talk is uncalled for!\Come on, Chitoge, you tell her, too!\I see, so your name is Haru, huh?\You're such a sweet, good little girl, aren't you, Haru?\My name is Chitoge Kirisaki. Nice to meet you! response:	Master Raku!
context: Hey, hey, hey!\Wh-What...? How could say such a thing, Haru? Apologize!\I get that you're upset, but that kind of talk is uncalled for!\Come on, Chitoge, you tell her, too!\I see, so your name is Haru, huh?\You're such a sweet, good little girl, aren't you, Haru?\My name is Chitoge Kirisaki. Nice to meet you!\Master Raku! response:	Would you care to join me for tea over here?
context: Wh-What...? How could say such a thing, Haru? Apologize!\I get that you're upset, but that kind of talk is uncalled for!\Come on, Chitoge, you tell her, too!\I see, so your name is Haru, huh?\You're such a sweet, good little girl, aren't you, Haru?\My name is Chitoge Kirisaki. Nice to meet you!\Master Raku!\Would you care to join me for tea over here? response:	Whoa! Tachibana!
context: I get that you're upset, but that kind of talk is uncalled for!\Come on, Chitoge, you tell her, too!\I see, so your name is Haru, huh?\You're such a sweet, good little girl, aren't you, Haru?\My name is Chitoge Kirisaki. Nice to meet you!\Master Raku!\Would you care to join me for tea over here?\Whoa! Tachibana! response:	Wh-What the...?
context: Come on, Chitoge, you tell her, too!\I see, so your name is Haru, huh?\You're such a sweet, good little girl, aren't you, Haru?\My name is Chitoge Kirisaki. Nice to meet you!\Master Raku!\Would you care to join me for tea over here?\Whoa! Tachibana!\Wh-What the...? response:	What's this? Who might this girl be?
context: I see, so your name is Haru, huh?\You're such a sweet, good little girl, aren't you, Haru?\My name is Chitoge Kirisaki. Nice to meet you!\Master Raku!\Would you care to join me for tea over here?\Whoa! Tachibana!\Wh-What the...?\What's this? Who might this girl be? response:	Who is this girl? And hey, another beauty!
context: You're such a sweet, good little girl, aren't you, Haru?\My name is Chitoge Kirisaki. Nice to meet you!\Master Raku!\Would you care to join me for tea over here?\Whoa! Tachibana!\Wh-What the...?\What's this? Who might this girl be?\Who is this girl? And hey, another beauty! response:	I'm telling you, stop clinging to me!
context: My name is Chitoge Kirisaki. Nice to meet you!\Master Raku!\Would you care to join me for tea over here?\Whoa! Tachibana!\Wh-What the...?\What's this? Who might this girl be?\Who is this girl? And hey, another beauty!\I'm telling you, stop clinging to me! response:	Oh, please, where's the harm?
context: Master Raku!\Would you care to join me for tea over here?\Whoa! Tachibana!\Wh-What the...?\What's this? Who might this girl be?\Who is this girl? And hey, another beauty!\I'm telling you, stop clinging to me!\Oh, please, where's the harm? response:	Listen, listen, listen, listen, Master Raku...
context: Would you care to join me for tea over here?\Whoa! Tachibana!\Wh-What the...?\What's this? Who might this girl be?\Who is this girl? And hey, another beauty!\I'm telling you, stop clinging to me!\Oh, please, where's the harm?\Listen, listen, listen, listen, Master Raku... response:	Is this girl another one of Ichijo's groupies?
context: Whoa! Tachibana!\Wh-What the...?\What's this? Who might this girl be?\Who is this girl? And hey, another beauty!\I'm telling you, stop clinging to me!\Oh, please, where's the harm?\Listen, listen, listen, listen, Master Raku...\Is this girl another one of Ichijo's groupies? response:	Come now, you don't mind, do you, Master Raku?
context: Wh-What the...?\What's this? Who might this girl be?\Who is this girl? And hey, another beauty!\I'm telling you, stop clinging to me!\Oh, please, where's the harm?\Listen, listen, listen, listen, Master Raku...\Is this girl another one of Ichijo's groupies?\Come now, you don't mind, do you, Master Raku? response:	Whoa! Cut it out!
context: What's this? Who might this girl be?\Who is this girl? And hey, another beauty!\I'm telling you, stop clinging to me!\Oh, please, where's the harm?\Listen, listen, listen, listen, Master Raku...\Is this girl another one of Ichijo's groupies?\Come now, you don't mind, do you, Master Raku?\Whoa! Cut it out! response:	No, no... I mean, never mind that...
context: Who is this girl? And hey, another beauty!\I'm telling you, stop clinging to me!\Oh, please, where's the harm?\Listen, listen, listen, listen, Master Raku...\Is this girl another one of Ichijo's groupies?\Come now, you don't mind, do you, Master Raku?\Whoa! Cut it out!\No, no... I mean, never mind that... response:	H-H-How can you just stand in the middle of the hall
context: I'm telling you, stop clinging to me!\Oh, please, where's the harm?\Listen, listen, listen, listen, Master Raku...\Is this girl another one of Ichijo's groupies?\Come now, you don't mind, do you, Master Raku?\Whoa! Cut it out!\No, no... I mean, never mind that...\H-H-How can you just stand in the middle of the hall response:	Cut it out!
context: Oh, please, where's the harm?\Listen, listen, listen, listen, Master Raku...\Is this girl another one of Ichijo's groupies?\Come now, you don't mind, do you, Master Raku?\Whoa! Cut it out!\No, no... I mean, never mind that...\H-H-How can you just stand in the middle of the hall\Cut it out! response:	There's no need to be so bashful!
context: Listen, listen, listen, listen, Master Raku...\Is this girl another one of Ichijo's groupies?\Come now, you don't mind, do you, Master Raku?\Whoa! Cut it out!\No, no... I mean, never mind that...\H-H-How can you just stand in the middle of the hall\Cut it out!\There's no need to be so bashful! response:	without a care in the world, your arms around a guy?
context: Is this girl another one of Ichijo's groupies?\Come now, you don't mind, do you, Master Raku?\Whoa! Cut it out!\No, no... I mean, never mind that...\H-H-How can you just stand in the middle of the hall\Cut it out!\There's no need to be so bashful!\without a care in the world, your arms around a guy? response:	Listen, listen, Master Raku...
context: Come now, you don't mind, do you, Master Raku?\Whoa! Cut it out!\No, no... I mean, never mind that...\H-H-How can you just stand in the middle of the hall\Cut it out!\There's no need to be so bashful!\without a care in the world, your arms around a guy?\Listen, listen, Master Raku... response:	Not only that, but he's got a girlfriend!
context: Whoa! Cut it out!\No, no... I mean, never mind that...\H-H-How can you just stand in the middle of the hall\Cut it out!\There's no need to be so bashful!\without a care in the world, your arms around a guy?\Listen, listen, Master Raku...\Not only that, but he's got a girlfriend! response:	Doesn't that mean anything to you?
context: No, no... I mean, never mind that...\H-H-How can you just stand in the middle of the hall\Cut it out!\There's no need to be so bashful!\without a care in the world, your arms around a guy?\Listen, listen, Master Raku...\Not only that, but he's got a girlfriend!\Doesn't that mean anything to you? response:	Excuse me?
context: H-H-How can you just stand in the middle of the hall\Cut it out!\There's no need to be so bashful!\without a care in the world, your arms around a guy?\Listen, listen, Master Raku...\Not only that, but he's got a girlfriend!\Doesn't that mean anything to you?\Excuse me? response:	I see you're still but a mere child.
context: Cut it out!\There's no need to be so bashful!\without a care in the world, your arms around a guy?\Listen, listen, Master Raku...\Not only that, but he's got a girlfriend!\Doesn't that mean anything to you?\Excuse me?\I see you're still but a mere child. response:	Love is something that you must see through to the end.
context: There's no need to be so bashful!\without a care in the world, your arms around a guy?\Listen, listen, Master Raku...\Not only that, but he's got a girlfriend!\Doesn't that mean anything to you?\Excuse me?\I see you're still but a mere child.\Love is something that you must see through to the end. response:	Even in the face of such obstacles as girlfriends,
context: without a care in the world, your arms around a guy?\Listen, listen, Master Raku...\Not only that, but he's got a girlfriend!\Doesn't that mean anything to you?\Excuse me?\I see you're still but a mere child.\Love is something that you must see through to the end.\Even in the face of such obstacles as girlfriends, response:	so long as you have love, there is nothing that you can't overcome!
context: Listen, listen, Master Raku...\Not only that, but he's got a girlfriend!\Doesn't that mean anything to you?\Excuse me?\I see you're still but a mere child.\Love is something that you must see through to the end.\Even in the face of such obstacles as girlfriends,\so long as you have love, there is nothing that you can't overcome! response:	And so, Master Raku, now that we're going to be second-years,
context: Not only that, but he's got a girlfriend!\Doesn't that mean anything to you?\Excuse me?\I see you're still but a mere child.\Love is something that you must see through to the end.\Even in the face of such obstacles as girlfriends,\so long as you have love, there is nothing that you can't overcome!\And so, Master Raku, now that we're going to be second-years, response:	isn't it about time you discarded your outmoded girlfriend, and switched over to me?
context: Doesn't that mean anything to you?\Excuse me?\I see you're still but a mere child.\Love is something that you must see through to the end.\Even in the face of such obstacles as girlfriends,\so long as you have love, there is nothing that you can't overcome!\And so, Master Raku, now that we're going to be second-years,\isn't it about time you discarded your outmoded girlfriend, and switched over to me? response:	I do offer a discount for switching, you know!
context: Excuse me?\I see you're still but a mere child.\Love is something that you must see through to the end.\Even in the face of such obstacles as girlfriends,\so long as you have love, there is nothing that you can't overcome!\And so, Master Raku, now that we're going to be second-years,\isn't it about time you discarded your outmoded girlfriend, and switched over to me?\I do offer a discount for switching, you know! response:	Don't talk about me like I'm a used car!
context: I see you're still but a mere child.\Love is something that you must see through to the end.\Even in the face of such obstacles as girlfriends,\so long as you have love, there is nothing that you can't overcome!\And so, Master Raku, now that we're going to be second-years,\isn't it about time you discarded your outmoded girlfriend, and switched over to me?\I do offer a discount for switching, you know!\Don't talk about me like I'm a used car! response:	What's going on? Is this person seriously in love with Ichijo?
context: Love is something that you must see through to the end.\Even in the face of such obstacles as girlfriends,\so long as you have love, there is nothing that you can't overcome!\And so, Master Raku, now that we're going to be second-years,\isn't it about time you discarded your outmoded girlfriend, and switched over to me?\I do offer a discount for switching, you know!\Don't talk about me like I'm a used car!\What's going on? Is this person seriously in love with Ichijo? response:	Now I'm totally confused...
context: Even in the face of such obstacles as girlfriends,\so long as you have love, there is nothing that you can't overcome!\And so, Master Raku, now that we're going to be second-years,\isn't it about time you discarded your outmoded girlfriend, and switched over to me?\I do offer a discount for switching, you know!\Don't talk about me like I'm a used car!\What's going on? Is this person seriously in love with Ichijo?\Now I'm totally confused... response:	Haru, Ichijo isn't quite the villain you think he is.
context: so long as you have love, there is nothing that you can't overcome!\And so, Master Raku, now that we're going to be second-years,\isn't it about time you discarded your outmoded girlfriend, and switched over to me?\I do offer a discount for switching, you know!\Don't talk about me like I'm a used car!\What's going on? Is this person seriously in love with Ichijo?\Now I'm totally confused...\Haru, Ichijo isn't quite the villain you think he is. response:	Sister...
context: And so, Master Raku, now that we're going to be second-years,\isn't it about time you discarded your outmoded girlfriend, and switched over to me?\I do offer a discount for switching, you know!\Don't talk about me like I'm a used car!\What's going on? Is this person seriously in love with Ichijo?\Now I'm totally confused...\Haru, Ichijo isn't quite the villain you think he is.\Sister... response:	I don't know what kind of rumors you've heard, but rumors are just rumors, okay?
context: isn't it about time you discarded your outmoded girlfriend, and switched over to me?\I do offer a discount for switching, you know!\Don't talk about me like I'm a used car!\What's going on? Is this person seriously in love with Ichijo?\Now I'm totally confused...\Haru, Ichijo isn't quite the villain you think he is.\Sister...\I don't know what kind of rumors you've heard, but rumors are just rumors, okay? response:	No, you're wrong, Sister.
context: I do offer a discount for switching, you know!\Don't talk about me like I'm a used car!\What's going on? Is this person seriously in love with Ichijo?\Now I'm totally confused...\Haru, Ichijo isn't quite the villain you think he is.\Sister...\I don't know what kind of rumors you've heard, but rumors are just rumors, okay?\No, you're wrong, Sister. response:	You're too nice, that's why you see him that way.
context: Don't talk about me like I'm a used car!\What's going on? Is this person seriously in love with Ichijo?\Now I'm totally confused...\Haru, Ichijo isn't quite the villain you think he is.\Sister...\I don't know what kind of rumors you've heard, but rumors are just rumors, okay?\No, you're wrong, Sister.\You're too nice, that's why you see him that way. response:	After all... after all, I...
context: What's going on? Is this person seriously in love with Ichijo?\Now I'm totally confused...\Haru, Ichijo isn't quite the villain you think he is.\Sister...\I don't know what kind of rumors you've heard, but rumors are just rumors, okay?\No, you're wrong, Sister.\You're too nice, that's why you see him that way.\After all... after all, I... response:	After all...
context: Now I'm totally confused...\Haru, Ichijo isn't quite the villain you think he is.\Sister...\I don't know what kind of rumors you've heard, but rumors are just rumors, okay?\No, you're wrong, Sister.\You're too nice, that's why you see him that way.\After all... after all, I...\After all... response:	After all, this person got a look at my underwear!
context: Haru, Ichijo isn't quite the villain you think he is.\Sister...\I don't know what kind of rumors you've heard, but rumors are just rumors, okay?\No, you're wrong, Sister.\You're too nice, that's why you see him that way.\After all... after all, I...\After all...\After all, this person got a look at my underwear! response:	What kind of underwear do I have on today again?
context: Sister...\I don't know what kind of rumors you've heard, but rumors are just rumors, okay?\No, you're wrong, Sister.\You're too nice, that's why you see him that way.\After all... after all, I...\After all...\After all, this person got a look at my underwear!\What kind of underwear do I have on today again? response:	Tell me... what does she mean, darling?
context: I don't know what kind of rumors you've heard, but rumors are just rumors, okay?\No, you're wrong, Sister.\You're too nice, that's why you see him that way.\After all... after all, I...\After all...\After all, this person got a look at my underwear!\What kind of underwear do I have on today again?\Tell me... what does she mean, darling? response:	It's a misunderstanding!
context: No, you're wrong, Sister.\You're too nice, that's why you see him that way.\After all... after all, I...\After all...\After all, this person got a look at my underwear!\What kind of underwear do I have on today again?\Tell me... what does she mean, darling?\It's a misunderstanding! response:	Save your breath!
context: You're too nice, that's why you see him that way.\After all... after all, I...\After all...\After all, this person got a look at my underwear!\What kind of underwear do I have on today again?\Tell me... what does she mean, darling?\It's a misunderstanding!\Save your breath! response:	What a nightmare. A guy like that sneaking a peek at my underwear!
context: After all... after all, I...\After all...\After all, this person got a look at my underwear!\What kind of underwear do I have on today again?\Tell me... what does she mean, darling?\It's a misunderstanding!\Save your breath!\What a nightmare. A guy like that sneaking a peek at my underwear! response:	And my sister doesn't believe me... What am I supposed to...
context: After all...\After all, this person got a look at my underwear!\What kind of underwear do I have on today again?\Tell me... what does she mean, darling?\It's a misunderstanding!\Save your breath!\What a nightmare. A guy like that sneaking a peek at my underwear!\And my sister doesn't believe me... What am I supposed to... response:	Animal Care Looking for New Members
context: After all, this person got a look at my underwear!\What kind of underwear do I have on today again?\Tell me... what does she mean, darling?\It's a misunderstanding!\Save your breath!\What a nightmare. A guy like that sneaking a peek at my underwear!\And my sister doesn't believe me... What am I supposed to...\Animal Care Looking for New Members response:	Club activities, huh? What should I do now that I'm in high school?
context: What kind of underwear do I have on today again?\Tell me... what does she mean, darling?\It's a misunderstanding!\Save your breath!\What a nightmare. A guy like that sneaking a peek at my underwear!\And my sister doesn't believe me... What am I supposed to...\Animal Care Looking for New Members\Club activities, huh? What should I do now that I'm in high school? response:	Hey...
context: Tell me... what does she mean, darling?\It's a misunderstanding!\Save your breath!\What a nightmare. A guy like that sneaking a peek at my underwear!\And my sister doesn't believe me... What am I supposed to...\Animal Care Looking for New Members\Club activities, huh? What should I do now that I'm in high school?\Hey... response:	Animal Care Looking for New Members
context: It's a misunderstanding!\Save your breath!\What a nightmare. A guy like that sneaking a peek at my underwear!\And my sister doesn't believe me... What am I supposed to...\Animal Care Looking for New Members\Club activities, huh? What should I do now that I'm in high school?\Hey...\Animal Care Looking for New Members response:	There's something called Animal Care!
context: Save your breath!\What a nightmare. A guy like that sneaking a peek at my underwear!\And my sister doesn't believe me... What am I supposed to...\Animal Care Looking for New Members\Club activities, huh? What should I do now that I'm in high school?\Hey...\Animal Care Looking for New Members\There's something called Animal Care! response:	Animal Care, huh?
context: What a nightmare. A guy like that sneaking a peek at my underwear!\And my sister doesn't believe me... What am I supposed to...\Animal Care Looking for New Members\Club activities, huh? What should I do now that I'm in high school?\Hey...\Animal Care Looking for New Members\There's something called Animal Care!\Animal Care, huh? response:	Being surrounded by adorable animals who heal my soul... that might be nice!
context: And my sister doesn't believe me... What am I supposed to...\Animal Care Looking for New Members\Club activities, huh? What should I do now that I'm in high school?\Hey...\Animal Care Looking for New Members\There's something called Animal Care!\Animal Care, huh?\Being surrounded by adorable animals who heal my soul... that might be nice! response:	Wait.
context: Animal Care Looking for New Members\Club activities, huh? What should I do now that I'm in high school?\Hey...\Animal Care Looking for New Members\There's something called Animal Care!\Animal Care, huh?\Being surrounded by adorable animals who heal my soul... that might be nice!\Wait. response:	What's that guy doing here!?
context: Club activities, huh? What should I do now that I'm in high school?\Hey...\Animal Care Looking for New Members\There's something called Animal Care!\Animal Care, huh?\Being surrounded by adorable animals who heal my soul... that might be nice!\Wait.\What's that guy doing here!? response:	Here you go! Time to eat!
context: Hey...\Animal Care Looking for New Members\There's something called Animal Care!\Animal Care, huh?\Being surrounded by adorable animals who heal my soul... that might be nice!\Wait.\What's that guy doing here!?\Here you go! Time to eat! response:	Go on, eat! Hey, good boy, good boy!
context: Animal Care Looking for New Members\There's something called Animal Care!\Animal Care, huh?\Being surrounded by adorable animals who heal my soul... that might be nice!\Wait.\What's that guy doing here!?\Here you go! Time to eat!\Go on, eat! Hey, good boy, good boy! response:	This really sucks!
context: There's something called Animal Care!\Animal Care, huh?\Being surrounded by adorable animals who heal my soul... that might be nice!\Wait.\What's that guy doing here!?\Here you go! Time to eat!\Go on, eat! Hey, good boy, good boy!\This really sucks! response:	Why do I have to run into him in a place like this?
context: Animal Care, huh?\Being surrounded by adorable animals who heal my soul... that might be nice!\Wait.\What's that guy doing here!?\Here you go! Time to eat!\Go on, eat! Hey, good boy, good boy!\This really sucks!\Why do I have to run into him in a place like this? response:	Actually, why is he taking care of animals, anyway?
context: Being surrounded by adorable animals who heal my soul... that might be nice!\Wait.\What's that guy doing here!?\Here you go! Time to eat!\Go on, eat! Hey, good boy, good boy!\This really sucks!\Why do I have to run into him in a place like this?\Actually, why is he taking care of animals, anyway? response:	I'm going home! No way am I gonna end up in the same club as him...
context: Wait.\What's that guy doing here!?\Here you go! Time to eat!\Go on, eat! Hey, good boy, good boy!\This really sucks!\Why do I have to run into him in a place like this?\Actually, why is he taking care of animals, anyway?\I'm going home! No way am I gonna end up in the same club as him... response:	Oh, man...
context: What's that guy doing here!?\Here you go! Time to eat!\Go on, eat! Hey, good boy, good boy!\This really sucks!\Why do I have to run into him in a place like this?\Actually, why is he taking care of animals, anyway?\I'm going home! No way am I gonna end up in the same club as him...\Oh, man... response:	I wonder if Onodera's gonna show up today...
context: Here you go! Time to eat!\Go on, eat! Hey, good boy, good boy!\This really sucks!\Why do I have to run into him in a place like this?\Actually, why is he taking care of animals, anyway?\I'm going home! No way am I gonna end up in the same club as him...\Oh, man...\I wonder if Onodera's gonna show up today... response:	What... what?
context: Go on, eat! Hey, good boy, good boy!\This really sucks!\Why do I have to run into him in a place like this?\Actually, why is he taking care of animals, anyway?\I'm going home! No way am I gonna end up in the same club as him...\Oh, man...\I wonder if Onodera's gonna show up today...\What... what? response:	It would be just the two of us right now...
context: This really sucks!\Why do I have to run into him in a place like this?\Actually, why is he taking care of animals, anyway?\I'm going home! No way am I gonna end up in the same club as him...\Oh, man...\I wonder if Onodera's gonna show up today...\What... what?\It would be just the two of us right now... response:	And then we could just head home together...
context: Why do I have to run into him in a place like this?\Actually, why is he taking care of animals, anyway?\I'm going home! No way am I gonna end up in the same club as him...\Oh, man...\I wonder if Onodera's gonna show up today...\What... what?\It would be just the two of us right now...\And then we could just head home together... response:	Yeah, right! Well, not that that would ever happen, but...
context: Actually, why is he taking care of animals, anyway?\I'm going home! No way am I gonna end up in the same club as him...\Oh, man...\I wonder if Onodera's gonna show up today...\What... what?\It would be just the two of us right now...\And then we could just head home together...\Yeah, right! Well, not that that would ever happen, but... response:	You're awful, you know that?
context: I'm going home! No way am I gonna end up in the same club as him...\Oh, man...\I wonder if Onodera's gonna show up today...\What... what?\It would be just the two of us right now...\And then we could just head home together...\Yeah, right! Well, not that that would ever happen, but...\You're awful, you know that? response:	Oh, crap! Did she hear me just now?
context: Oh, man...\I wonder if Onodera's gonna show up today...\What... what?\It would be just the two of us right now...\And then we could just head home together...\Yeah, right! Well, not that that would ever happen, but...\You're awful, you know that?\Oh, crap! Did she hear me just now? response:	Huh? But you're that...
context: I wonder if Onodera's gonna show up today...\What... what?\It would be just the two of us right now...\And then we could just head home together...\Yeah, right! Well, not that that would ever happen, but...\You're awful, you know that?\Oh, crap! Did she hear me just now?\Huh? But you're that... response:	I can't believe you're trying to make a move on my sister,
context: What... what?\It would be just the two of us right now...\And then we could just head home together...\Yeah, right! Well, not that that would ever happen, but...\You're awful, you know that?\Oh, crap! Did she hear me just now?\Huh? But you're that...\I can't believe you're trying to make a move on my sister, response:	when you have such a beautiful girlfriend!
context: It would be just the two of us right now...\And then we could just head home together...\Yeah, right! Well, not that that would ever happen, but...\You're awful, you know that?\Oh, crap! Did she hear me just now?\Huh? But you're that...\I can't believe you're trying to make a move on my sister,\when you have such a beautiful girlfriend! response:	Now there's no doubt in my mind!
context: And then we could just head home together...\Yeah, right! Well, not that that would ever happen, but...\You're awful, you know that?\Oh, crap! Did she hear me just now?\Huh? But you're that...\I can't believe you're trying to make a move on my sister,\when you have such a beautiful girlfriend!\Now there's no doubt in my mind! response:	You're everything I've heard you are - a low-life piece of trash!
context: Yeah, right! Well, not that that would ever happen, but...\You're awful, you know that?\Oh, crap! Did she hear me just now?\Huh? But you're that...\I can't believe you're trying to make a move on my sister,\when you have such a beautiful girlfriend!\Now there's no doubt in my mind!\You're everything I've heard you are - a low-life piece of trash! response:	A person like you...
context: You're awful, you know that?\Oh, crap! Did she hear me just now?\Huh? But you're that...\I can't believe you're trying to make a move on my sister,\when you have such a beautiful girlfriend!\Now there's no doubt in my mind!\You're everything I've heard you are - a low-life piece of trash!\A person like you... response:	I will never let you get your hands on my sis
context: Oh, crap! Did she hear me just now?\Huh? But you're that...\I can't believe you're trying to make a move on my sister,\when you have such a beautiful girlfriend!\Now there's no doubt in my mind!\You're everything I've heard you are - a low-life piece of trash!\A person like you...\I will never let you get your hands on my sis response:	ter...
context: Huh? But you're that...\I can't believe you're trying to make a move on my sister,\when you have such a beautiful girlfriend!\Now there's no doubt in my mind!\You're everything I've heard you are - a low-life piece of trash!\A person like you...\I will never let you get your hands on my sis\ter... response:	Now that I'm seeing them up close, those bears are pretty cute.
context: I can't believe you're trying to make a move on my sister,\when you have such a beautiful girlfriend!\Now there's no doubt in my mind!\You're everything I've heard you are - a low-life piece of trash!\A person like you...\I will never let you get your hands on my sis\ter...\Now that I'm seeing them up close, those bears are pretty cute. response:	It's been a while since we took a bath together, Haru.
context: when you have such a beautiful girlfriend!\Now there's no doubt in my mind!\You're everything I've heard you are - a low-life piece of trash!\A person like you...\I will never let you get your hands on my sis\ter...\Now that I'm seeing them up close, those bears are pretty cute.\It's been a while since we took a bath together, Haru. response:	Brings back memories, huh?
context: Now there's no doubt in my mind!\You're everything I've heard you are - a low-life piece of trash!\A person like you...\I will never let you get your hands on my sis\ter...\Now that I'm seeing them up close, those bears are pretty cute.\It's been a while since we took a bath together, Haru.\Brings back memories, huh? response:	I guess.
context: You're everything I've heard you are - a low-life piece of trash!\A person like you...\I will never let you get your hands on my sis\ter...\Now that I'm seeing them up close, those bears are pretty cute.\It's been a while since we took a bath together, Haru.\Brings back memories, huh?\I guess. response:	Are you still mad at Ichijo?
context: A person like you...\I will never let you get your hands on my sis\ter...\Now that I'm seeing them up close, those bears are pretty cute.\It's been a while since we took a bath together, Haru.\Brings back memories, huh?\I guess.\Are you still mad at Ichijo? response:	Of course I am! He saw my underwear again! That's twice, you know?
context: I will never let you get your hands on my sis\ter...\Now that I'm seeing them up close, those bears are pretty cute.\It's been a while since we took a bath together, Haru.\Brings back memories, huh?\I guess.\Are you still mad at Ichijo?\Of course I am! He saw my underwear again! That's twice, you know? response:	So unbelievable! I'm never gonna forgive that guy!
context: ter...\Now that I'm seeing them up close, those bears are pretty cute.\It's been a while since we took a bath together, Haru.\Brings back memories, huh?\I guess.\Are you still mad at Ichijo?\Of course I am! He saw my underwear again! That's twice, you know?\So unbelievable! I'm never gonna forgive that guy! response:	I hate myself for even thinking for a second that he was nice!
context: Now that I'm seeing them up close, those bears are pretty cute.\It's been a while since we took a bath together, Haru.\Brings back memories, huh?\I guess.\Are you still mad at Ichijo?\Of course I am! He saw my underwear again! That's twice, you know?\So unbelievable! I'm never gonna forgive that guy!\I hate myself for even thinking for a second that he was nice! response:	You don't have to go that far...
context: It's been a while since we took a bath together, Haru.\Brings back memories, huh?\I guess.\Are you still mad at Ichijo?\Of course I am! He saw my underwear again! That's twice, you know?\So unbelievable! I'm never gonna forgive that guy!\I hate myself for even thinking for a second that he was nice!\You don't have to go that far... response:	Ichijo is a nice person, you know.
context: Brings back memories, huh?\I guess.\Are you still mad at Ichijo?\Of course I am! He saw my underwear again! That's twice, you know?\So unbelievable! I'm never gonna forgive that guy!\I hate myself for even thinking for a second that he was nice!\You don't have to go that far...\Ichijo is a nice person, you know. response:	Sure, maybe today you didn't happen to see it, but...
context: I guess.\Are you still mad at Ichijo?\Of course I am! He saw my underwear again! That's twice, you know?\So unbelievable! I'm never gonna forgive that guy!\I hate myself for even thinking for a second that he was nice!\You don't have to go that far...\Ichijo is a nice person, you know.\Sure, maybe today you didn't happen to see it, but... response:	I don't get it. What makes you think he's a good person?
context: Are you still mad at Ichijo?\Of course I am! He saw my underwear again! That's twice, you know?\So unbelievable! I'm never gonna forgive that guy!\I hate myself for even thinking for a second that he was nice!\You don't have to go that far...\Ichijo is a nice person, you know.\Sure, maybe today you didn't happen to see it, but...\I don't get it. What makes you think he's a good person? response:	Well, I'm not sure that I can explain what it is...
