context: Hyakkimaru got injured due to the sudden return of his hearing. response:	A girl named Mio took him in.
context: But we saw her enter the Sakai camp last night.\She's been disposed of for being a suspected spy.\Mio, Take!\Let go, idiot! How could you...!\I see you're one of them, too.\Who are you?\His arms...\Mio, wake up! Take! response:	Pick a red flower
context: She's been disposed of for being a suspected spy.\Mio, Take!\Let go, idiot! How could you...!\I see you're one of them, too.\Who are you?\His arms...\Mio, wake up! Take!\Pick a red flower response:	Mio...
context: Mio, Take!\Let go, idiot! How could you...!\I see you're one of them, too.\Who are you?\His arms...\Mio, wake up! Take!\Pick a red flower\Mio... response:	To give to her
context: Let go, idiot! How could you...!\I see you're one of them, too.\Who are you?\His arms...\Mio, wake up! Take!\Pick a red flower\Mio...\To give to her response:	Kill him!
context: I see you're one of them, too.\Who are you?\His arms...\Mio, wake up! Take!\Pick a red flower\Mio...\To give to her\Kill him! response:	What the...
context: Who are you?\His arms...\Mio, wake up! Take!\Pick a red flower\Mio...\To give to her\Kill him!\What the... response:	You devil...!
context: His arms...\Mio, wake up! Take!\Pick a red flower\Mio...\To give to her\Kill him!\What the...\You devil...! response:	No, Hyakkimaru...
context: Mio, wake up! Take!\Pick a red flower\Mio...\To give to her\Kill him!\What the...\You devil...!\No, Hyakkimaru... response:	You better hope the beast that comes out of the cave isn't a monster.
context: Pick a red flower\Mio...\To give to her\Kill him!\What the...\You devil...!\No, Hyakkimaru...\You better hope the beast that comes out of the cave isn't a monster. response:	Spare me, please, I beg you...
context: Mio...\To give to her\Kill him!\What the...\You devil...!\No, Hyakkimaru...\You better hope the beast that comes out of the cave isn't a monster.\Spare me, please, I beg you... response:	Stop it, Hyakkimaru, stop!
context: To give to her\Kill him!\What the...\You devil...!\No, Hyakkimaru...\You better hope the beast that comes out of the cave isn't a monster.\Spare me, please, I beg you...\Stop it, Hyakkimaru, stop! response:	Don't! You can't turn into a monster!
context: Kill him!\What the...\You devil...!\No, Hyakkimaru...\You better hope the beast that comes out of the cave isn't a monster.\Spare me, please, I beg you...\Stop it, Hyakkimaru, stop!\Don't! You can't turn into a monster! response:	Please bro, come on!
context: What the...\You devil...!\No, Hyakkimaru...\You better hope the beast that comes out of the cave isn't a monster.\Spare me, please, I beg you...\Stop it, Hyakkimaru, stop!\Don't! You can't turn into a monster!\Please bro, come on! response:	Hyakkimaru, Mio had this with her.
context: You devil...!\No, Hyakkimaru...\You better hope the beast that comes out of the cave isn't a monster.\Spare me, please, I beg you...\Stop it, Hyakkimaru, stop!\Don't! You can't turn into a monster!\Please bro, come on!\Hyakkimaru, Mio had this with her. response:	It's seed rice.
context: No, Hyakkimaru...\You better hope the beast that comes out of the cave isn't a monster.\Spare me, please, I beg you...\Stop it, Hyakkimaru, stop!\Don't! You can't turn into a monster!\Please bro, come on!\Hyakkimaru, Mio had this with her.\It's seed rice. response:	She really got it back from the samurai.
context: You better hope the beast that comes out of the cave isn't a monster.\Spare me, please, I beg you...\Stop it, Hyakkimaru, stop!\Don't! You can't turn into a monster!\Please bro, come on!\Hyakkimaru, Mio had this with her.\It's seed rice.\She really got it back from the samurai. response:	To make her own rice paddy.
context: Spare me, please, I beg you...\Stop it, Hyakkimaru, stop!\Don't! You can't turn into a monster!\Please bro, come on!\Hyakkimaru, Mio had this with her.\It's seed rice.\She really got it back from the samurai.\To make her own rice paddy. response:	She didn't lose.
context: Stop it, Hyakkimaru, stop!\Don't! You can't turn into a monster!\Please bro, come on!\Hyakkimaru, Mio had this with her.\It's seed rice.\She really got it back from the samurai.\To make her own rice paddy.\She didn't lose. response:	So you can't lose either.
context: Don't! You can't turn into a monster!\Please bro, come on!\Hyakkimaru, Mio had this with her.\It's seed rice.\She really got it back from the samurai.\To make her own rice paddy.\She didn't lose.\So you can't lose either. response:	Please...
context: Please bro, come on!\Hyakkimaru, Mio had this with her.\It's seed rice.\She really got it back from the samurai.\To make her own rice paddy.\She didn't lose.\So you can't lose either.\Please... response:	Mi... o...
context: Hyakkimaru, Mio had this with her.\It's seed rice.\She really got it back from the samurai.\To make her own rice paddy.\She didn't lose.\So you can't lose either.\Please...\Mi... o... response:	Here.
context: It's seed rice.\She really got it back from the samurai.\To make her own rice paddy.\She didn't lose.\So you can't lose either.\Please...\Mi... o...\Here. response:	Pick a red flower
context: She really got it back from the samurai.\To make her own rice paddy.\She didn't lose.\So you can't lose either.\Please...\Mi... o...\Here.\Pick a red flower response:	To give to her
context: To make her own rice paddy.\She didn't lose.\So you can't lose either.\Please...\Mi... o...\Here.\Pick a red flower\To give to her response:	In her hair
context: She didn't lose.\So you can't lose either.\Please...\Mi... o...\Here.\Pick a red flower\To give to her\In her hair response:	I will put the flower
context: So you can't lose either.\Please...\Mi... o...\Here.\Pick a red flower\To give to her\In her hair\I will put the flower response:	Sorrow scatters in the wind,
context: Please...\Mi... o...\Here.\Pick a red flower\To give to her\In her hair\I will put the flower\Sorrow scatters in the wind, response:	piling up to form shadows
context: Mi... o...\Here.\Pick a red flower\To give to her\In her hair\I will put the flower\Sorrow scatters in the wind,\piling up to form shadows response:	Our footsteps admonish indifference in such verbose ways
context: Here.\Pick a red flower\To give to her\In her hair\I will put the flower\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways response:	As I peek into your fathomless eyes, I lose my composure
context: Pick a red flower\To give to her\In her hair\I will put the flower\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure response:	Is there any hope in the place I am heading to?
context: To give to her\In her hair\I will put the flower\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to? response:	I feign amusement and laugh
context: In her hair\I will put the flower\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh response:	because this road is so dark
context: I will put the flower\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark response:	I will be there to shine the light
context: Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light response:	I'm used to playing at saying goodbye,
context: piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye, response:	but I cried when I waved to you
context: Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you response:	Our fiery woes fade... and fade... until night falls upon us
context: As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us response:	If I knew tomorrow would be so mundane,
context: Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us\If I knew tomorrow would be so mundane, response:	I wouldn't have said that I wanted to live
context: I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us\If I knew tomorrow would be so mundane,\I wouldn't have said that I wanted to live response:	I know it's futile but can't help dreaming of a future... a future... you are to blame
context: because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us\If I knew tomorrow would be so mundane,\I wouldn't have said that I wanted to live\I know it's futile but can't help dreaming of a future... a future... you are to blame response:	Arijigoku
