context: Master. response:	I cleaned up the elixir cauldron chamber.
context: I could still head up the mountain freely.\Now that the divine energy is here, it's so hard for me to get close.\This means that High God Mo Yuan has been restored to his body.\What are you doing up here?\Nothing much.\I just felt that Kunlun Mountain was restored to its former glory\so I came to take a look.\High God Mo Yuan's spirit has returned to his body. response:	High God Zhe Yan, High God Bai Zhen of Qing Qiu
context: Now that the divine energy is here, it's so hard for me to get close.\This means that High God Mo Yuan has been restored to his body.\What are you doing up here?\Nothing much.\I just felt that Kunlun Mountain was restored to its former glory\so I came to take a look.\High God Mo Yuan's spirit has returned to his body.\High God Zhe Yan, High God Bai Zhen of Qing Qiu response:	and that Lady High God are here.
context: This means that High God Mo Yuan has been restored to his body.\What are you doing up here?\Nothing much.\I just felt that Kunlun Mountain was restored to its former glory\so I came to take a look.\High God Mo Yuan's spirit has returned to his body.\High God Zhe Yan, High God Bai Zhen of Qing Qiu\and that Lady High God are here. response:	It really is true then.
context: What are you doing up here?\Nothing much.\I just felt that Kunlun Mountain was restored to its former glory\so I came to take a look.\High God Mo Yuan's spirit has returned to his body.\High God Zhe Yan, High God Bai Zhen of Qing Qiu\and that Lady High God are here.\It really is true then. response:	Thank you for telling me.
context: Nothing much.\I just felt that Kunlun Mountain was restored to its former glory\so I came to take a look.\High God Mo Yuan's spirit has returned to his body.\High God Zhe Yan, High God Bai Zhen of Qing Qiu\and that Lady High God are here.\It really is true then.\Thank you for telling me. response:	This person is so weird.
context: I just felt that Kunlun Mountain was restored to its former glory\so I came to take a look.\High God Mo Yuan's spirit has returned to his body.\High God Zhe Yan, High God Bai Zhen of Qing Qiu\and that Lady High God are here.\It really is true then.\Thank you for telling me.\This person is so weird. response:	He's not even happy to hear that High God Mo Yuan has returned.
context: so I came to take a look.\High God Mo Yuan's spirit has returned to his body.\High God Zhe Yan, High God Bai Zhen of Qing Qiu\and that Lady High God are here.\It really is true then.\Thank you for telling me.\This person is so weird.\He's not even happy to hear that High God Mo Yuan has returned. response:	Could he be... of another tribe?
context: High God Mo Yuan's spirit has returned to his body.\High God Zhe Yan, High God Bai Zhen of Qing Qiu\and that Lady High God are here.\It really is true then.\Thank you for telling me.\This person is so weird.\He's not even happy to hear that High God Mo Yuan has returned.\Could he be... of another tribe? response:	Perhaps?
context: High God Zhe Yan, High God Bai Zhen of Qing Qiu\and that Lady High God are here.\It really is true then.\Thank you for telling me.\This person is so weird.\He's not even happy to hear that High God Mo Yuan has returned.\Could he be... of another tribe?\Perhaps? response:	Xiao Jiu.
context: and that Lady High God are here.\It really is true then.\Thank you for telling me.\This person is so weird.\He's not even happy to hear that High God Mo Yuan has returned.\Could he be... of another tribe?\Perhaps?\Xiao Jiu. response:	Good morning, Auntie.
context: It really is true then.\Thank you for telling me.\This person is so weird.\He's not even happy to hear that High God Mo Yuan has returned.\Could he be... of another tribe?\Perhaps?\Xiao Jiu.\Good morning, Auntie. response:	It's already late in the day.
context: Thank you for telling me.\This person is so weird.\He's not even happy to hear that High God Mo Yuan has returned.\Could he be... of another tribe?\Perhaps?\Xiao Jiu.\Good morning, Auntie.\It's already late in the day. response:	Bai Zhen and Zhe Yan have been waiting for you.
context: This person is so weird.\He's not even happy to hear that High God Mo Yuan has returned.\Could he be... of another tribe?\Perhaps?\Xiao Jiu.\Good morning, Auntie.\It's already late in the day.\Bai Zhen and Zhe Yan have been waiting for you. response:	They are waiting for me?
context: He's not even happy to hear that High God Mo Yuan has returned.\Could he be... of another tribe?\Perhaps?\Xiao Jiu.\Good morning, Auntie.\It's already late in the day.\Bai Zhen and Zhe Yan have been waiting for you.\They are waiting for me? response:	Yes, you should know that the Celestial Tribe and Qing Qiu
context: Could he be... of another tribe?\Perhaps?\Xiao Jiu.\Good morning, Auntie.\It's already late in the day.\Bai Zhen and Zhe Yan have been waiting for you.\They are waiting for me?\Yes, you should know that the Celestial Tribe and Qing Qiu response:	are busy preparing for my wedding with Ye Hua.
context: Perhaps?\Xiao Jiu.\Good morning, Auntie.\It's already late in the day.\Bai Zhen and Zhe Yan have been waiting for you.\They are waiting for me?\Yes, you should know that the Celestial Tribe and Qing Qiu\are busy preparing for my wedding with Ye Hua. response:	You have to take my throne
context: Xiao Jiu.\Good morning, Auntie.\It's already late in the day.\Bai Zhen and Zhe Yan have been waiting for you.\They are waiting for me?\Yes, you should know that the Celestial Tribe and Qing Qiu\are busy preparing for my wedding with Ye Hua.\You have to take my throne response:	so it's time you sort yourself out and head back to Qing Qiu.
context: Good morning, Auntie.\It's already late in the day.\Bai Zhen and Zhe Yan have been waiting for you.\They are waiting for me?\Yes, you should know that the Celestial Tribe and Qing Qiu\are busy preparing for my wedding with Ye Hua.\You have to take my throne\so it's time you sort yourself out and head back to Qing Qiu. response:	You'd have me take your throne?
context: It's already late in the day.\Bai Zhen and Zhe Yan have been waiting for you.\They are waiting for me?\Yes, you should know that the Celestial Tribe and Qing Qiu\are busy preparing for my wedding with Ye Hua.\You have to take my throne\so it's time you sort yourself out and head back to Qing Qiu.\You'd have me take your throne? response:	You're the only girl of your generation in our entire clan.
context: Bai Zhen and Zhe Yan have been waiting for you.\They are waiting for me?\Yes, you should know that the Celestial Tribe and Qing Qiu\are busy preparing for my wedding with Ye Hua.\You have to take my throne\so it's time you sort yourself out and head back to Qing Qiu.\You'd have me take your throne?\You're the only girl of your generation in our entire clan. response:	Who else is to take the throne but you?
context: They are waiting for me?\Yes, you should know that the Celestial Tribe and Qing Qiu\are busy preparing for my wedding with Ye Hua.\You have to take my throne\so it's time you sort yourself out and head back to Qing Qiu.\You'd have me take your throne?\You're the only girl of your generation in our entire clan.\Who else is to take the throne but you? response:	You also want me to give up on Dong Hua?
context: Yes, you should know that the Celestial Tribe and Qing Qiu\are busy preparing for my wedding with Ye Hua.\You have to take my throne\so it's time you sort yourself out and head back to Qing Qiu.\You'd have me take your throne?\You're the only girl of your generation in our entire clan.\Who else is to take the throne but you?\You also want me to give up on Dong Hua? response:	I didn't say that.
context: are busy preparing for my wedding with Ye Hua.\You have to take my throne\so it's time you sort yourself out and head back to Qing Qiu.\You'd have me take your throne?\You're the only girl of your generation in our entire clan.\Who else is to take the throne but you?\You also want me to give up on Dong Hua?\I didn't say that. response:	You're marrying into the Celestial Tribe so you can't keep the throne.
context: You have to take my throne\so it's time you sort yourself out and head back to Qing Qiu.\You'd have me take your throne?\You're the only girl of your generation in our entire clan.\Who else is to take the throne but you?\You also want me to give up on Dong Hua?\I didn't say that.\You're marrying into the Celestial Tribe so you can't keep the throne. response:	You won't be able to look after our people in Qing Qiu
context: so it's time you sort yourself out and head back to Qing Qiu.\You'd have me take your throne?\You're the only girl of your generation in our entire clan.\Who else is to take the throne but you?\You also want me to give up on Dong Hua?\I didn't say that.\You're marrying into the Celestial Tribe so you can't keep the throne.\You won't be able to look after our people in Qing Qiu response:	after you're married into the Celestial Palace.
context: You'd have me take your throne?\You're the only girl of your generation in our entire clan.\Who else is to take the throne but you?\You also want me to give up on Dong Hua?\I didn't say that.\You're marrying into the Celestial Tribe so you can't keep the throne.\You won't be able to look after our people in Qing Qiu\after you're married into the Celestial Palace. response:	However, if I wish to marry Lord Dong Hua
context: You're the only girl of your generation in our entire clan.\Who else is to take the throne but you?\You also want me to give up on Dong Hua?\I didn't say that.\You're marrying into the Celestial Tribe so you can't keep the throne.\You won't be able to look after our people in Qing Qiu\after you're married into the Celestial Palace.\However, if I wish to marry Lord Dong Hua response:	I'll also have to marry into the Celestial Palace.
context: Who else is to take the throne but you?\You also want me to give up on Dong Hua?\I didn't say that.\You're marrying into the Celestial Tribe so you can't keep the throne.\You won't be able to look after our people in Qing Qiu\after you're married into the Celestial Palace.\However, if I wish to marry Lord Dong Hua\I'll also have to marry into the Celestial Palace. response:	I also won't be able to look after our people in Qing Qiu.
context: You also want me to give up on Dong Hua?\I didn't say that.\You're marrying into the Celestial Tribe so you can't keep the throne.\You won't be able to look after our people in Qing Qiu\after you're married into the Celestial Palace.\However, if I wish to marry Lord Dong Hua\I'll also have to marry into the Celestial Palace.\I also won't be able to look after our people in Qing Qiu. response:	Auntie, you know this but you still want me take your throne?
context: I didn't say that.\You're marrying into the Celestial Tribe so you can't keep the throne.\You won't be able to look after our people in Qing Qiu\after you're married into the Celestial Palace.\However, if I wish to marry Lord Dong Hua\I'll also have to marry into the Celestial Palace.\I also won't be able to look after our people in Qing Qiu.\Auntie, you know this but you still want me take your throne? response:	You mean to make me stay in Qing Qiu forever, don't you?
context: You're marrying into the Celestial Tribe so you can't keep the throne.\You won't be able to look after our people in Qing Qiu\after you're married into the Celestial Palace.\However, if I wish to marry Lord Dong Hua\I'll also have to marry into the Celestial Palace.\I also won't be able to look after our people in Qing Qiu.\Auntie, you know this but you still want me take your throne?\You mean to make me stay in Qing Qiu forever, don't you? response:	Xiao Jiu, it's best for you to forget him.
context: You won't be able to look after our people in Qing Qiu\after you're married into the Celestial Palace.\However, if I wish to marry Lord Dong Hua\I'll also have to marry into the Celestial Palace.\I also won't be able to look after our people in Qing Qiu.\Auntie, you know this but you still want me take your throne?\You mean to make me stay in Qing Qiu forever, don't you?\Xiao Jiu, it's best for you to forget him. response:	But you said last night that
context: after you're married into the Celestial Palace.\However, if I wish to marry Lord Dong Hua\I'll also have to marry into the Celestial Palace.\I also won't be able to look after our people in Qing Qiu.\Auntie, you know this but you still want me take your throne?\You mean to make me stay in Qing Qiu forever, don't you?\Xiao Jiu, it's best for you to forget him.\But you said last night that response:	you wouldn't ever be able to forget Crown Prince Ye Hua either.
context: However, if I wish to marry Lord Dong Hua\I'll also have to marry into the Celestial Palace.\I also won't be able to look after our people in Qing Qiu.\Auntie, you know this but you still want me take your throne?\You mean to make me stay in Qing Qiu forever, don't you?\Xiao Jiu, it's best for you to forget him.\But you said last night that\you wouldn't ever be able to forget Crown Prince Ye Hua either. response:	Because you like him.
context: I'll also have to marry into the Celestial Palace.\I also won't be able to look after our people in Qing Qiu.\Auntie, you know this but you still want me take your throne?\You mean to make me stay in Qing Qiu forever, don't you?\Xiao Jiu, it's best for you to forget him.\But you said last night that\you wouldn't ever be able to forget Crown Prince Ye Hua either.\Because you like him. response:	Why would you have me do what you can't do?
context: I also won't be able to look after our people in Qing Qiu.\Auntie, you know this but you still want me take your throne?\You mean to make me stay in Qing Qiu forever, don't you?\Xiao Jiu, it's best for you to forget him.\But you said last night that\you wouldn't ever be able to forget Crown Prince Ye Hua either.\Because you like him.\Why would you have me do what you can't do? response:	Xiao Jiu, listen.
context: Auntie, you know this but you still want me take your throne?\You mean to make me stay in Qing Qiu forever, don't you?\Xiao Jiu, it's best for you to forget him.\But you said last night that\you wouldn't ever be able to forget Crown Prince Ye Hua either.\Because you like him.\Why would you have me do what you can't do?\Xiao Jiu, listen. response:	You and Dong Hua are not meant to be.
context: You mean to make me stay in Qing Qiu forever, don't you?\Xiao Jiu, it's best for you to forget him.\But you said last night that\you wouldn't ever be able to forget Crown Prince Ye Hua either.\Because you like him.\Why would you have me do what you can't do?\Xiao Jiu, listen.\You and Dong Hua are not meant to be. response:	Why do you keep pushing it?
context: Xiao Jiu, it's best for you to forget him.\But you said last night that\you wouldn't ever be able to forget Crown Prince Ye Hua either.\Because you like him.\Why would you have me do what you can't do?\Xiao Jiu, listen.\You and Dong Hua are not meant to be.\Why do you keep pushing it? response:	I thought that after last night I at least had your support.
context: But you said last night that\you wouldn't ever be able to forget Crown Prince Ye Hua either.\Because you like him.\Why would you have me do what you can't do?\Xiao Jiu, listen.\You and Dong Hua are not meant to be.\Why do you keep pushing it?\I thought that after last night I at least had your support. response:	Even if everyone in our family tries to tie me down
context: you wouldn't ever be able to forget Crown Prince Ye Hua either.\Because you like him.\Why would you have me do what you can't do?\Xiao Jiu, listen.\You and Dong Hua are not meant to be.\Why do you keep pushing it?\I thought that after last night I at least had your support.\Even if everyone in our family tries to tie me down response:	only you would untie me
context: Because you like him.\Why would you have me do what you can't do?\Xiao Jiu, listen.\You and Dong Hua are not meant to be.\Why do you keep pushing it?\I thought that after last night I at least had your support.\Even if everyone in our family tries to tie me down\only you would untie me response:	and let me try again to make Lord Dong Hua like me.
context: Why would you have me do what you can't do?\Xiao Jiu, listen.\You and Dong Hua are not meant to be.\Why do you keep pushing it?\I thought that after last night I at least had your support.\Even if everyone in our family tries to tie me down\only you would untie me\and let me try again to make Lord Dong Hua like me. response:	I don't want to become the Queen.
context: Xiao Jiu, listen.\You and Dong Hua are not meant to be.\Why do you keep pushing it?\I thought that after last night I at least had your support.\Even if everyone in our family tries to tie me down\only you would untie me\and let me try again to make Lord Dong Hua like me.\I don't want to become the Queen. response:	Once I become the Queen, I can never come to the Nine Heavens again!
context: You and Dong Hua are not meant to be.\Why do you keep pushing it?\I thought that after last night I at least had your support.\Even if everyone in our family tries to tie me down\only you would untie me\and let me try again to make Lord Dong Hua like me.\I don't want to become the Queen.\Once I become the Queen, I can never come to the Nine Heavens again! response:	Xiao Jiu!
context: Why do you keep pushing it?\I thought that after last night I at least had your support.\Even if everyone in our family tries to tie me down\only you would untie me\and let me try again to make Lord Dong Hua like me.\I don't want to become the Queen.\Once I become the Queen, I can never come to the Nine Heavens again!\Xiao Jiu! response:	Xiao Jiu!
context: I thought that after last night I at least had your support.\Even if everyone in our family tries to tie me down\only you would untie me\and let me try again to make Lord Dong Hua like me.\I don't want to become the Queen.\Once I become the Queen, I can never come to the Nine Heavens again!\Xiao Jiu!\Xiao Jiu! response:	Xiao Jiu!
context: Even if everyone in our family tries to tie me down\only you would untie me\and let me try again to make Lord Dong Hua like me.\I don't want to become the Queen.\Once I become the Queen, I can never come to the Nine Heavens again!\Xiao Jiu!\Xiao Jiu!\Xiao Jiu! response:	It still didn't work?
context: only you would untie me\and let me try again to make Lord Dong Hua like me.\I don't want to become the Queen.\Once I become the Queen, I can never come to the Nine Heavens again!\Xiao Jiu!\Xiao Jiu!\Xiao Jiu!\It still didn't work? response:	All I told her was to become the Queen of Qing Qiu
context: and let me try again to make Lord Dong Hua like me.\I don't want to become the Queen.\Once I become the Queen, I can never come to the Nine Heavens again!\Xiao Jiu!\Xiao Jiu!\Xiao Jiu!\It still didn't work?\All I told her was to become the Queen of Qing Qiu response:	and she broke down in tears.
context: I don't want to become the Queen.\Once I become the Queen, I can never come to the Nine Heavens again!\Xiao Jiu!\Xiao Jiu!\Xiao Jiu!\It still didn't work?\All I told her was to become the Queen of Qing Qiu\and she broke down in tears. response:	The two of you, one fell in love too soon and the other too late.
context: Once I become the Queen, I can never come to the Nine Heavens again!\Xiao Jiu!\Xiao Jiu!\Xiao Jiu!\It still didn't work?\All I told her was to become the Queen of Qing Qiu\and she broke down in tears.\The two of you, one fell in love too soon and the other too late. response:	Forget it. Leave her to me.
context: Xiao Jiu!\Xiao Jiu!\Xiao Jiu!\It still didn't work?\All I told her was to become the Queen of Qing Qiu\and she broke down in tears.\The two of you, one fell in love too soon and the other too late.\Forget it. Leave her to me. response:	I'll bring her home safely.
context: Xiao Jiu!\Xiao Jiu!\It still didn't work?\All I told her was to become the Queen of Qing Qiu\and she broke down in tears.\The two of you, one fell in love too soon and the other too late.\Forget it. Leave her to me.\I'll bring her home safely. response:	Tell Second Brother not to be too harsh on her.
context: Xiao Jiu!\It still didn't work?\All I told her was to become the Queen of Qing Qiu\and she broke down in tears.\The two of you, one fell in love too soon and the other too late.\Forget it. Leave her to me.\I'll bring her home safely.\Tell Second Brother not to be too harsh on her. response:	Don't worry.
context: It still didn't work?\All I told her was to become the Queen of Qing Qiu\and she broke down in tears.\The two of you, one fell in love too soon and the other too late.\Forget it. Leave her to me.\I'll bring her home safely.\Tell Second Brother not to be too harsh on her.\Don't worry. response:	I know what to do.
context: All I told her was to become the Queen of Qing Qiu\and she broke down in tears.\The two of you, one fell in love too soon and the other too late.\Forget it. Leave her to me.\I'll bring her home safely.\Tell Second Brother not to be too harsh on her.\Don't worry.\I know what to do. response:	You're her aunt so you feel bad for her.
context: and she broke down in tears.\The two of you, one fell in love too soon and the other too late.\Forget it. Leave her to me.\I'll bring her home safely.\Tell Second Brother not to be too harsh on her.\Don't worry.\I know what to do.\You're her aunt so you feel bad for her. response:	I'm her fourth uncle, how could I not feel bad for her?
context: The two of you, one fell in love too soon and the other too late.\Forget it. Leave her to me.\I'll bring her home safely.\Tell Second Brother not to be too harsh on her.\Don't worry.\I know what to do.\You're her aunt so you feel bad for her.\I'm her fourth uncle, how could I not feel bad for her? response:	Zhe Yan is worried about Mo Yuan's health
context: Forget it. Leave her to me.\I'll bring her home safely.\Tell Second Brother not to be too harsh on her.\Don't worry.\I know what to do.\You're her aunt so you feel bad for her.\I'm her fourth uncle, how could I not feel bad for her?\Zhe Yan is worried about Mo Yuan's health response:	so he will stay in Kunlun Mountain for a few more days.
context: I'll bring her home safely.\Tell Second Brother not to be too harsh on her.\Don't worry.\I know what to do.\You're her aunt so you feel bad for her.\I'm her fourth uncle, how could I not feel bad for her?\Zhe Yan is worried about Mo Yuan's health\so he will stay in Kunlun Mountain for a few more days. response:	I'll get going now.
context: Tell Second Brother not to be too harsh on her.\Don't worry.\I know what to do.\You're her aunt so you feel bad for her.\I'm her fourth uncle, how could I not feel bad for her?\Zhe Yan is worried about Mo Yuan's health\so he will stay in Kunlun Mountain for a few more days.\I'll get going now. response:	All right.
context: Don't worry.\I know what to do.\You're her aunt so you feel bad for her.\I'm her fourth uncle, how could I not feel bad for her?\Zhe Yan is worried about Mo Yuan's health\so he will stay in Kunlun Mountain for a few more days.\I'll get going now.\All right. response:	Would you like to see A-Yin?
context: I know what to do.\You're her aunt so you feel bad for her.\I'm her fourth uncle, how could I not feel bad for her?\Zhe Yan is worried about Mo Yuan's health\so he will stay in Kunlun Mountain for a few more days.\I'll get going now.\All right.\Would you like to see A-Yin? response:	Yes.
context: You're her aunt so you feel bad for her.\I'm her fourth uncle, how could I not feel bad for her?\Zhe Yan is worried about Mo Yuan's health\so he will stay in Kunlun Mountain for a few more days.\I'll get going now.\All right.\Would you like to see A-Yin?\Yes. response:	So would I.
context: I'm her fourth uncle, how could I not feel bad for her?\Zhe Yan is worried about Mo Yuan's health\so he will stay in Kunlun Mountain for a few more days.\I'll get going now.\All right.\Would you like to see A-Yin?\Yes.\So would I. response:	This might be the last chance I get to see her.
context: Zhe Yan is worried about Mo Yuan's health\so he will stay in Kunlun Mountain for a few more days.\I'll get going now.\All right.\Would you like to see A-Yin?\Yes.\So would I.\This might be the last chance I get to see her. response:	Isn't the Crown Prince going to marry her soon?
context: so he will stay in Kunlun Mountain for a few more days.\I'll get going now.\All right.\Would you like to see A-Yin?\Yes.\So would I.\This might be the last chance I get to see her.\Isn't the Crown Prince going to marry her soon? response:	The wedding invitation will surely be sent to Grand Ziming Palace.
context: I'll get going now.\All right.\Would you like to see A-Yin?\Yes.\So would I.\This might be the last chance I get to see her.\Isn't the Crown Prince going to marry her soon?\The wedding invitation will surely be sent to Grand Ziming Palace. response:	My Lord, you can see her then.
context: All right.\Would you like to see A-Yin?\Yes.\So would I.\This might be the last chance I get to see her.\Isn't the Crown Prince going to marry her soon?\The wedding invitation will surely be sent to Grand Ziming Palace.\My Lord, you can see her then. response:	I can't wait until then.
context: Would you like to see A-Yin?\Yes.\So would I.\This might be the last chance I get to see her.\Isn't the Crown Prince going to marry her soon?\The wedding invitation will surely be sent to Grand Ziming Palace.\My Lord, you can see her then.\I can't wait until then. response:	You can't wait until then?
context: Yes.\So would I.\This might be the last chance I get to see her.\Isn't the Crown Prince going to marry her soon?\The wedding invitation will surely be sent to Grand Ziming Palace.\My Lord, you can see her then.\I can't wait until then.\You can't wait until then? response:	Why not?
context: So would I.\This might be the last chance I get to see her.\Isn't the Crown Prince going to marry her soon?\The wedding invitation will surely be sent to Grand Ziming Palace.\My Lord, you can see her then.\I can't wait until then.\You can't wait until then?\Why not? response:	Aren't they getting married soon?
context: This might be the last chance I get to see her.\Isn't the Crown Prince going to marry her soon?\The wedding invitation will surely be sent to Grand Ziming Palace.\My Lord, you can see her then.\I can't wait until then.\You can't wait until then?\Why not?\Aren't they getting married soon? response:	What are you looking at?
context: Isn't the Crown Prince going to marry her soon?\The wedding invitation will surely be sent to Grand Ziming Palace.\My Lord, you can see her then.\I can't wait until then.\You can't wait until then?\Why not?\Aren't they getting married soon?\What are you looking at? response:	Young lady, you're ruining your pretty face with all that crying.
context: The wedding invitation will surely be sent to Grand Ziming Palace.\My Lord, you can see her then.\I can't wait until then.\You can't wait until then?\Why not?\Aren't they getting married soon?\What are you looking at?\Young lady, you're ruining your pretty face with all that crying. response:	That's quite a strange sight in Kunlun Mountain.
context: My Lord, you can see her then.\I can't wait until then.\You can't wait until then?\Why not?\Aren't they getting married soon?\What are you looking at?\Young lady, you're ruining your pretty face with all that crying.\That's quite a strange sight in Kunlun Mountain. response:	You dare to say that I'm ruining my face?
context: I can't wait until then.\You can't wait until then?\Why not?\Aren't they getting married soon?\What are you looking at?\Young lady, you're ruining your pretty face with all that crying.\That's quite a strange sight in Kunlun Mountain.\You dare to say that I'm ruining my face? response:	I'll keep crying until you can't bear to watch me.
context: You can't wait until then?\Why not?\Aren't they getting married soon?\What are you looking at?\Young lady, you're ruining your pretty face with all that crying.\That's quite a strange sight in Kunlun Mountain.\You dare to say that I'm ruining my face?\I'll keep crying until you can't bear to watch me. response:	Go ahead.
context: Why not?\Aren't they getting married soon?\What are you looking at?\Young lady, you're ruining your pretty face with all that crying.\That's quite a strange sight in Kunlun Mountain.\You dare to say that I'm ruining my face?\I'll keep crying until you can't bear to watch me.\Go ahead. response:	You're the one who is upset, not me.
context: Aren't they getting married soon?\What are you looking at?\Young lady, you're ruining your pretty face with all that crying.\That's quite a strange sight in Kunlun Mountain.\You dare to say that I'm ruining my face?\I'll keep crying until you can't bear to watch me.\Go ahead.\You're the one who is upset, not me. response:	Is this cave pretty?
context: What are you looking at?\Young lady, you're ruining your pretty face with all that crying.\That's quite a strange sight in Kunlun Mountain.\You dare to say that I'm ruining my face?\I'll keep crying until you can't bear to watch me.\Go ahead.\You're the one who is upset, not me.\Is this cave pretty? response:	It is very pretty to me.
context: Young lady, you're ruining your pretty face with all that crying.\That's quite a strange sight in Kunlun Mountain.\You dare to say that I'm ruining my face?\I'll keep crying until you can't bear to watch me.\Go ahead.\You're the one who is upset, not me.\Is this cave pretty?\It is very pretty to me. response:	What a boring man.
context: That's quite a strange sight in Kunlun Mountain.\You dare to say that I'm ruining my face?\I'll keep crying until you can't bear to watch me.\Go ahead.\You're the one who is upset, not me.\Is this cave pretty?\It is very pretty to me.\What a boring man. response:	Indeed, how boring.
context: You dare to say that I'm ruining my face?\I'll keep crying until you can't bear to watch me.\Go ahead.\You're the one who is upset, not me.\Is this cave pretty?\It is very pretty to me.\What a boring man.\Indeed, how boring. response:	I said that you're a boring man.
context: I'll keep crying until you can't bear to watch me.\Go ahead.\You're the one who is upset, not me.\Is this cave pretty?\It is very pretty to me.\What a boring man.\Indeed, how boring.\I said that you're a boring man. response:	I know.
context: Go ahead.\You're the one who is upset, not me.\Is this cave pretty?\It is very pretty to me.\What a boring man.\Indeed, how boring.\I said that you're a boring man.\I know. response:	I'm also talking about myself.
context: You're the one who is upset, not me.\Is this cave pretty?\It is very pretty to me.\What a boring man.\Indeed, how boring.\I said that you're a boring man.\I know.\I'm also talking about myself. response:	Here I stand before the cave and as I look back tens of thousands of years...
context: Is this cave pretty?\It is very pretty to me.\What a boring man.\Indeed, how boring.\I said that you're a boring man.\I know.\I'm also talking about myself.\Here I stand before the cave and as I look back tens of thousands of years... response:	I realize just how long and boring my life has been.
context: It is very pretty to me.\What a boring man.\Indeed, how boring.\I said that you're a boring man.\I know.\I'm also talking about myself.\Here I stand before the cave and as I look back tens of thousands of years...\I realize just how long and boring my life has been. response:	- Good baby... - Ghost Lord.
context: What a boring man.\Indeed, how boring.\I said that you're a boring man.\I know.\I'm also talking about myself.\Here I stand before the cave and as I look back tens of thousands of years...\I realize just how long and boring my life has been.\- Good baby... - Ghost Lord. response:	Did you get to see the Crown Prince?
context: Indeed, how boring.\I said that you're a boring man.\I know.\I'm also talking about myself.\Here I stand before the cave and as I look back tens of thousands of years...\I realize just how long and boring my life has been.\- Good baby... - Ghost Lord.\Did you get to see the Crown Prince? response:	I didn't.
context: I said that you're a boring man.\I know.\I'm also talking about myself.\Here I stand before the cave and as I look back tens of thousands of years...\I realize just how long and boring my life has been.\- Good baby... - Ghost Lord.\Did you get to see the Crown Prince?\I didn't. response:	You didn't?
context: I know.\I'm also talking about myself.\Here I stand before the cave and as I look back tens of thousands of years...\I realize just how long and boring my life has been.\- Good baby... - Ghost Lord.\Did you get to see the Crown Prince?\I didn't.\You didn't? response:	Did you not see the Heavenly Lord or Lord Dong Hua either?
context: I'm also talking about myself.\Here I stand before the cave and as I look back tens of thousands of years...\I realize just how long and boring my life has been.\- Good baby... - Ghost Lord.\Did you get to see the Crown Prince?\I didn't.\You didn't?\Did you not see the Heavenly Lord or Lord Dong Hua either? response:	Why not?
context: Here I stand before the cave and as I look back tens of thousands of years...\I realize just how long and boring my life has been.\- Good baby... - Ghost Lord.\Did you get to see the Crown Prince?\I didn't.\You didn't?\Did you not see the Heavenly Lord or Lord Dong Hua either?\Why not? response:	Didn't you visit the Celestial Tribe because you were worried that
context: I realize just how long and boring my life has been.\- Good baby... - Ghost Lord.\Did you get to see the Crown Prince?\I didn't.\You didn't?\Did you not see the Heavenly Lord or Lord Dong Hua either?\Why not?\Didn't you visit the Celestial Tribe because you were worried that response:	once Father breaks out of the bell
context: - Good baby... - Ghost Lord.\Did you get to see the Crown Prince?\I didn't.\You didn't?\Did you not see the Heavenly Lord or Lord Dong Hua either?\Why not?\Didn't you visit the Celestial Tribe because you were worried that\once Father breaks out of the bell response:	he will burn all four seas with crimson hellfire?
context: Did you get to see the Crown Prince?\I didn't.\You didn't?\Did you not see the Heavenly Lord or Lord Dong Hua either?\Why not?\Didn't you visit the Celestial Tribe because you were worried that\once Father breaks out of the bell\he will burn all four seas with crimson hellfire? response:	Now that the Ghost Realm is in chaos
context: I didn't.\You didn't?\Did you not see the Heavenly Lord or Lord Dong Hua either?\Why not?\Didn't you visit the Celestial Tribe because you were worried that\once Father breaks out of the bell\he will burn all four seas with crimson hellfire?\Now that the Ghost Realm is in chaos response:	the clan leaders can't suppress the riots anymore.
context: You didn't?\Did you not see the Heavenly Lord or Lord Dong Hua either?\Why not?\Didn't you visit the Celestial Tribe because you were worried that\once Father breaks out of the bell\he will burn all four seas with crimson hellfire?\Now that the Ghost Realm is in chaos\the clan leaders can't suppress the riots anymore. response:	Li Jing, we have no time to lose.
context: Did you not see the Heavenly Lord or Lord Dong Hua either?\Why not?\Didn't you visit the Celestial Tribe because you were worried that\once Father breaks out of the bell\he will burn all four seas with crimson hellfire?\Now that the Ghost Realm is in chaos\the clan leaders can't suppress the riots anymore.\Li Jing, we have no time to lose. response:	If Father really breaks out of the bell our people will all support him.
context: Why not?\Didn't you visit the Celestial Tribe because you were worried that\once Father breaks out of the bell\he will burn all four seas with crimson hellfire?\Now that the Ghost Realm is in chaos\the clan leaders can't suppress the riots anymore.\Li Jing, we have no time to lose.\If Father really breaks out of the bell our people will all support him. response:	By then, it will be too late to ask the Celestial Tribe for help!
context: Didn't you visit the Celestial Tribe because you were worried that\once Father breaks out of the bell\he will burn all four seas with crimson hellfire?\Now that the Ghost Realm is in chaos\the clan leaders can't suppress the riots anymore.\Li Jing, we have no time to lose.\If Father really breaks out of the bell our people will all support him.\By then, it will be too late to ask the Celestial Tribe for help! response:	I know.
