context: Huh?! response:	Come out. I've known you were there for some time now.
context: Miroku!\Monk!\Don't rush to your death...\I'm going to devour you one by one anyway.\And I'll start with you, Kagome.\Inuyasha...lnuyasha...\Fool!\Inuyasha is already... response:	What's this?! Inuyasha's mind...!
context: Monk!\Don't rush to your death...\I'm going to devour you one by one anyway.\And I'll start with you, Kagome.\Inuyasha...lnuyasha...\Fool!\Inuyasha is already...\What's this?! Inuyasha's mind...! response:	What's the matter, Goshinki?
context: Don't rush to your death...\I'm going to devour you one by one anyway.\And I'll start with you, Kagome.\Inuyasha...lnuyasha...\Fool!\Inuyasha is already...\What's this?! Inuyasha's mind...!\What's the matter, Goshinki? response:	I thought you could read my mind!
context: I'm going to devour you one by one anyway.\And I'll start with you, Kagome.\Inuyasha...lnuyasha...\Fool!\Inuyasha is already...\What's this?! Inuyasha's mind...!\What's the matter, Goshinki?\I thought you could read my mind! response:	l-Inuyasha!
context: And I'll start with you, Kagome.\Inuyasha...lnuyasha...\Fool!\Inuyasha is already...\What's this?! Inuyasha's mind...!\What's the matter, Goshinki?\I thought you could read my mind!\l-Inuyasha! response:	What's happened to Inuyasha? His face...!
context: Inuyasha...lnuyasha...\Fool!\Inuyasha is already...\What's this?! Inuyasha's mind...!\What's the matter, Goshinki?\I thought you could read my mind!\l-Inuyasha!\What's happened to Inuyasha? His face...! response:	I don't understand...
context: Fool!\Inuyasha is already...\What's this?! Inuyasha's mind...!\What's the matter, Goshinki?\I thought you could read my mind!\l-Inuyasha!\What's happened to Inuyasha? His face...!\I don't understand... response:	Inuyasha, why have you transformed?
context: Inuyasha is already...\What's this?! Inuyasha's mind...!\What's the matter, Goshinki?\I thought you could read my mind!\l-Inuyasha!\What's happened to Inuyasha? His face...!\I don't understand...\Inuyasha, why have you transformed? response:	Who knows?!
context: What's this?! Inuyasha's mind...!\What's the matter, Goshinki?\I thought you could read my mind!\l-Inuyasha!\What's happened to Inuyasha? His face...!\I don't understand...\Inuyasha, why have you transformed?\Who knows?! response:	Before you worry about me, say your prayers, Goshinki.
context: What's the matter, Goshinki?\I thought you could read my mind!\l-Inuyasha!\What's happened to Inuyasha? His face...!\I don't understand...\Inuyasha, why have you transformed?\Who knows?!\Before you worry about me, say your prayers, Goshinki. response:	What's going on?!
context: I thought you could read my mind!\l-Inuyasha!\What's happened to Inuyasha? His face...!\I don't understand...\Inuyasha, why have you transformed?\Who knows?!\Before you worry about me, say your prayers, Goshinki.\What's going on?! response:	Inuyasha's mind is completely different from just a minute ago.
context: l-Inuyasha!\What's happened to Inuyasha? His face...!\I don't understand...\Inuyasha, why have you transformed?\Who knows?!\Before you worry about me, say your prayers, Goshinki.\What's going on?!\Inuyasha's mind is completely different from just a minute ago. response:	There's no sadness, no fear, no confusion...not even anger.
context: What's happened to Inuyasha? His face...!\I don't understand...\Inuyasha, why have you transformed?\Who knows?!\Before you worry about me, say your prayers, Goshinki.\What's going on?!\Inuyasha's mind is completely different from just a minute ago.\There's no sadness, no fear, no confusion...not even anger. response:	He's delighted at the thought of killing me!
context: I don't understand...\Inuyasha, why have you transformed?\Who knows?!\Before you worry about me, say your prayers, Goshinki.\What's going on?!\Inuyasha's mind is completely different from just a minute ago.\There's no sadness, no fear, no confusion...not even anger.\He's delighted at the thought of killing me! response:	You half-demon! I'll rip you apart with my fangs!
context: Inuyasha, why have you transformed?\Who knows?!\Before you worry about me, say your prayers, Goshinki.\What's going on?!\Inuyasha's mind is completely different from just a minute ago.\There's no sadness, no fear, no confusion...not even anger.\He's delighted at the thought of killing me!\You half-demon! I'll rip you apart with my fangs! response:	The demon blood that flows through my body...
context: Who knows?!\Before you worry about me, say your prayers, Goshinki.\What's going on?!\Inuyasha's mind is completely different from just a minute ago.\There's no sadness, no fear, no confusion...not even anger.\He's delighted at the thought of killing me!\You half-demon! I'll rip you apart with my fangs!\The demon blood that flows through my body... response:	Silence!
context: Before you worry about me, say your prayers, Goshinki.\What's going on?!\Inuyasha's mind is completely different from just a minute ago.\There's no sadness, no fear, no confusion...not even anger.\He's delighted at the thought of killing me!\You half-demon! I'll rip you apart with my fangs!\The demon blood that flows through my body...\Silence! response:	isn't like yours!
context: What's going on?!\Inuyasha's mind is completely different from just a minute ago.\There's no sadness, no fear, no confusion...not even anger.\He's delighted at the thought of killing me!\You half-demon! I'll rip you apart with my fangs!\The demon blood that flows through my body...\Silence!\isn't like yours! response:	This half-demon...
context: Inuyasha's mind is completely different from just a minute ago.\There's no sadness, no fear, no confusion...not even anger.\He's delighted at the thought of killing me!\You half-demon! I'll rip you apart with my fangs!\The demon blood that flows through my body...\Silence!\isn't like yours!\This half-demon... response:	is in a class much higher than you!
context: There's no sadness, no fear, no confusion...not even anger.\He's delighted at the thought of killing me!\You half-demon! I'll rip you apart with my fangs!\The demon blood that flows through my body...\Silence!\isn't like yours!\This half-demon...\is in a class much higher than you! response:	Goshinki! I enjoyed that!
context: He's delighted at the thought of killing me!\You half-demon! I'll rip you apart with my fangs!\The demon blood that flows through my body...\Silence!\isn't like yours!\This half-demon...\is in a class much higher than you!\Goshinki! I enjoyed that! response:	Inuyasha...
context: You half-demon! I'll rip you apart with my fangs!\The demon blood that flows through my body...\Silence!\isn't like yours!\This half-demon...\is in a class much higher than you!\Goshinki! I enjoyed that!\Inuyasha... response:	Inuyasha, what happened to you?!
context: The demon blood that flows through my body...\Silence!\isn't like yours!\This half-demon...\is in a class much higher than you!\Goshinki! I enjoyed that!\Inuyasha...\Inuyasha, what happened to you?! response:	I feel the blood rushing through my body.
context: Silence!\isn't like yours!\This half-demon...\is in a class much higher than you!\Goshinki! I enjoyed that!\Inuyasha...\Inuyasha, what happened to you?!\I feel the blood rushing through my body. response:	What is this?! This feeling...?
context: isn't like yours!\This half-demon...\is in a class much higher than you!\Goshinki! I enjoyed that!\Inuyasha...\Inuyasha, what happened to you?!\I feel the blood rushing through my body.\What is this?! This feeling...? response:	I...haven't had enough killing!
context: This half-demon...\is in a class much higher than you!\Goshinki! I enjoyed that!\Inuyasha...\Inuyasha, what happened to you?!\I feel the blood rushing through my body.\What is this?! This feeling...?\I...haven't had enough killing! response:	Inuyasha...
context: is in a class much higher than you!\Goshinki! I enjoyed that!\Inuyasha...\Inuyasha, what happened to you?!\I feel the blood rushing through my body.\What is this?! This feeling...?\I...haven't had enough killing!\Inuyasha... response:	Don't get near me!
context: Goshinki! I enjoyed that!\Inuyasha...\Inuyasha, what happened to you?!\I feel the blood rushing through my body.\What is this?! This feeling...?\I...haven't had enough killing!\Inuyasha...\Don't get near me! response:	I don't know what I'll do next!
context: Inuyasha...\Inuyasha, what happened to you?!\I feel the blood rushing through my body.\What is this?! This feeling...?\I...haven't had enough killing!\Inuyasha...\Don't get near me!\I don't know what I'll do next! response:	What's happened to you, Inuyasha?!
context: Inuyasha, what happened to you?!\I feel the blood rushing through my body.\What is this?! This feeling...?\I...haven't had enough killing!\Inuyasha...\Don't get near me!\I don't know what I'll do next!\What's happened to you, Inuyasha?! response:	The evil side of Inuyasha is growing stronger.
context: I feel the blood rushing through my body.\What is this?! This feeling...?\I...haven't had enough killing!\Inuyasha...\Don't get near me!\I don't know what I'll do next!\What's happened to you, Inuyasha?!\The evil side of Inuyasha is growing stronger. response:	Yes. He's just like a full-blooded demon!
context: What is this?! This feeling...?\I...haven't had enough killing!\Inuyasha...\Don't get near me!\I don't know what I'll do next!\What's happened to you, Inuyasha?!\The evil side of Inuyasha is growing stronger.\Yes. He's just like a full-blooded demon! response:	Inuyasha...
context: I...haven't had enough killing!\Inuyasha...\Don't get near me!\I don't know what I'll do next!\What's happened to you, Inuyasha?!\The evil side of Inuyasha is growing stronger.\Yes. He's just like a full-blooded demon!\Inuyasha... response:	the enemy is gone.
context: Inuyasha...\Don't get near me!\I don't know what I'll do next!\What's happened to you, Inuyasha?!\The evil side of Inuyasha is growing stronger.\Yes. He's just like a full-blooded demon!\Inuyasha...\the enemy is gone. response:	Don't get near me!
context: Don't get near me!\I don't know what I'll do next!\What's happened to you, Inuyasha?!\The evil side of Inuyasha is growing stronger.\Yes. He's just like a full-blooded demon!\Inuyasha...\the enemy is gone.\Don't get near me! response:	Kagome!
context: I don't know what I'll do next!\What's happened to you, Inuyasha?!\The evil side of Inuyasha is growing stronger.\Yes. He's just like a full-blooded demon!\Inuyasha...\the enemy is gone.\Don't get near me!\Kagome! response:	Don't get near him, Miss Kagome!
context: What's happened to you, Inuyasha?!\The evil side of Inuyasha is growing stronger.\Yes. He's just like a full-blooded demon!\Inuyasha...\the enemy is gone.\Don't get near me!\Kagome!\Don't get near him, Miss Kagome! response:	Inuyasha...
context: The evil side of Inuyasha is growing stronger.\Yes. He's just like a full-blooded demon!\Inuyasha...\the enemy is gone.\Don't get near me!\Kagome!\Don't get near him, Miss Kagome!\Inuyasha... response:	- Kagome! - Watch out!
context: Yes. He's just like a full-blooded demon!\Inuyasha...\the enemy is gone.\Don't get near me!\Kagome!\Don't get near him, Miss Kagome!\Inuyasha...\- Kagome! - Watch out! response:	Inuyasha, sit!
context: Inuyasha...\the enemy is gone.\Don't get near me!\Kagome!\Don't get near him, Miss Kagome!\Inuyasha...\- Kagome! - Watch out!\Inuyasha, sit! response:	W-what're you doing?!
context: the enemy is gone.\Don't get near me!\Kagome!\Don't get near him, Miss Kagome!\Inuyasha...\- Kagome! - Watch out!\Inuyasha, sit!\W-what're you doing?! response:	- He's back to normal. - What?
context: Don't get near me!\Kagome!\Don't get near him, Miss Kagome!\Inuyasha...\- Kagome! - Watch out!\Inuyasha, sit!\W-what're you doing?!\- He's back to normal. - What? response:	I'm so relieved, Inuyasha!
context: Kagome!\Don't get near him, Miss Kagome!\Inuyasha...\- Kagome! - Watch out!\Inuyasha, sit!\W-what're you doing?!\- He's back to normal. - What?\I'm so relieved, Inuyasha! response:	What's the matter?
context: Don't get near him, Miss Kagome!\Inuyasha...\- Kagome! - Watch out!\Inuyasha, sit!\W-what're you doing?!\- He's back to normal. - What?\I'm so relieved, Inuyasha!\What's the matter? response:	W-what? I...
context: Inuyasha...\- Kagome! - Watch out!\Inuyasha, sit!\W-what're you doing?!\- He's back to normal. - What?\I'm so relieved, Inuyasha!\What's the matter?\W-what? I... response:	Sesshomaru gets a hold of the demon's fang...
context: - Kagome! - Watch out!\Inuyasha, sit!\W-what're you doing?!\- He's back to normal. - What?\I'm so relieved, Inuyasha!\What's the matter?\W-what? I...\Sesshomaru gets a hold of the demon's fang... response:	and has a frightening sword forged.
context: Inuyasha, sit!\W-what're you doing?!\- He's back to normal. - What?\I'm so relieved, Inuyasha!\What's the matter?\W-what? I...\Sesshomaru gets a hold of the demon's fang...\and has a frightening sword forged. response:	One swing of this sword bisects Jaken.
context: W-what're you doing?!\- He's back to normal. - What?\I'm so relieved, Inuyasha!\What's the matter?\W-what? I...\Sesshomaru gets a hold of the demon's fang...\and has a frightening sword forged.\One swing of this sword bisects Jaken. response:	This sword, Tokijin, was forged by swordsmith Kaijinbo...
context: - He's back to normal. - What?\I'm so relieved, Inuyasha!\What's the matter?\W-what? I...\Sesshomaru gets a hold of the demon's fang...\and has a frightening sword forged.\One swing of this sword bisects Jaken.\This sword, Tokijin, was forged by swordsmith Kaijinbo... response:	who was banished by his master Totosai...
context: I'm so relieved, Inuyasha!\What's the matter?\W-what? I...\Sesshomaru gets a hold of the demon's fang...\and has a frightening sword forged.\One swing of this sword bisects Jaken.\This sword, Tokijin, was forged by swordsmith Kaijinbo...\who was banished by his master Totosai... response:	but why does he come after Inuyasha?!
context: What's the matter?\W-what? I...\Sesshomaru gets a hold of the demon's fang...\and has a frightening sword forged.\One swing of this sword bisects Jaken.\This sword, Tokijin, was forged by swordsmith Kaijinbo...\who was banished by his master Totosai...\but why does he come after Inuyasha?! response:	Why does the sword exude evil aura?
context: W-what? I...\Sesshomaru gets a hold of the demon's fang...\and has a frightening sword forged.\One swing of this sword bisects Jaken.\This sword, Tokijin, was forged by swordsmith Kaijinbo...\who was banished by his master Totosai...\but why does he come after Inuyasha?!\Why does the sword exude evil aura? response:	Inuyasha who has reverted to a human form is in danger!
context: Sesshomaru gets a hold of the demon's fang...\and has a frightening sword forged.\One swing of this sword bisects Jaken.\This sword, Tokijin, was forged by swordsmith Kaijinbo...\who was banished by his master Totosai...\but why does he come after Inuyasha?!\Why does the sword exude evil aura?\Inuyasha who has reverted to a human form is in danger! response:	Next on Inuyasha: Kaijinbo's Evil Sword!
context: and has a frightening sword forged.\One swing of this sword bisects Jaken.\This sword, Tokijin, was forged by swordsmith Kaijinbo...\who was banished by his master Totosai...\but why does he come after Inuyasha?!\Why does the sword exude evil aura?\Inuyasha who has reverted to a human form is in danger!\Next on Inuyasha: Kaijinbo's Evil Sword! response:	Don't miss it!
