context: We're going to be third-years starting next week. response:	We're the most senior people at school.
context: Yes.\Today's the first day.\Can I ask you for a favor, then?\What do you want now?\I'm not switching with you.\If you're going to be with Futaro,\could you find some information for his gift?\Huh? Me? response:	You're sure?
context: Today's the first day.\Can I ask you for a favor, then?\What do you want now?\I'm not switching with you.\If you're going to be with Futaro,\could you find some information for his gift?\Huh? Me?\You're sure? response:	Yeah.
context: Can I ask you for a favor, then?\What do you want now?\I'm not switching with you.\If you're going to be with Futaro,\could you find some information for his gift?\Huh? Me?\You're sure?\Yeah. response:	I have to go to work starting today, too.
context: What do you want now?\I'm not switching with you.\If you're going to be with Futaro,\could you find some information for his gift?\Huh? Me?\You're sure?\Yeah.\I have to go to work starting today, too. response:	I have to work hard to make him happy on his birthday.
context: I'm not switching with you.\If you're going to be with Futaro,\could you find some information for his gift?\Huh? Me?\You're sure?\Yeah.\I have to go to work starting today, too.\I have to work hard to make him happy on his birthday. response:	You've got some confidence, letting me make the move.
context: If you're going to be with Futaro,\could you find some information for his gift?\Huh? Me?\You're sure?\Yeah.\I have to go to work starting today, too.\I have to work hard to make him happy on his birthday.\You've got some confidence, letting me make the move. response:	A lot happened during spring break, but I'm in the lead...
context: could you find some information for his gift?\Huh? Me?\You're sure?\Yeah.\I have to go to work starting today, too.\I have to work hard to make him happy on his birthday.\You've got some confidence, letting me make the move.\A lot happened during spring break, but I'm in the lead... response:	I think.
context: Huh? Me?\You're sure?\Yeah.\I have to go to work starting today, too.\I have to work hard to make him happy on his birthday.\You've got some confidence, letting me make the move.\A lot happened during spring break, but I'm in the lead...\I think. response:	So why am I feeling so anxious?
context: You're sure?\Yeah.\I have to go to work starting today, too.\I have to work hard to make him happy on his birthday.\You've got some confidence, letting me make the move.\A lot happened during spring break, but I'm in the lead...\I think.\So why am I feeling so anxious? response:	I don't think it worked out that way for me.
context: Yeah.\I have to go to work starting today, too.\I have to work hard to make him happy on his birthday.\You've got some confidence, letting me make the move.\A lot happened during spring break, but I'm in the lead...\I think.\So why am I feeling so anxious?\I don't think it worked out that way for me. response:	I confessed to him.
context: I have to go to work starting today, too.\I have to work hard to make him happy on his birthday.\You've got some confidence, letting me make the move.\A lot happened during spring break, but I'm in the lead...\I think.\So why am I feeling so anxious?\I don't think it worked out that way for me.\I confessed to him. response:	There's no way it hasn't had an effect on him, right?
context: I have to work hard to make him happy on his birthday.\You've got some confidence, letting me make the move.\A lot happened during spring break, but I'm in the lead...\I think.\So why am I feeling so anxious?\I don't think it worked out that way for me.\I confessed to him.\There's no way it hasn't had an effect on him, right? response:	Oh, are you starting today?
context: You've got some confidence, letting me make the move.\A lot happened during spring break, but I'm in the lead...\I think.\So why am I feeling so anxious?\I don't think it worked out that way for me.\I confessed to him.\There's no way it hasn't had an effect on him, right?\Oh, are you starting today? response:	Y-Yeah, I am.
context: A lot happened during spring break, but I'm in the lead...\I think.\So why am I feeling so anxious?\I don't think it worked out that way for me.\I confessed to him.\There's no way it hasn't had an effect on him, right?\Oh, are you starting today?\Y-Yeah, I am. response:	They're letting me into the kitchen already.
context: I think.\So why am I feeling so anxious?\I don't think it worked out that way for me.\I confessed to him.\There's no way it hasn't had an effect on him, right?\Oh, are you starting today?\Y-Yeah, I am.\They're letting me into the kitchen already. response:	By the way, what do you think of my hair?
context: So why am I feeling so anxious?\I don't think it worked out that way for me.\I confessed to him.\There's no way it hasn't had an effect on him, right?\Oh, are you starting today?\Y-Yeah, I am.\They're letting me into the kitchen already.\By the way, what do you think of my hair? response:	Well, it looks like it's suited for work.
context: I don't think it worked out that way for me.\I confessed to him.\There's no way it hasn't had an effect on him, right?\Oh, are you starting today?\Y-Yeah, I am.\They're letting me into the kitchen already.\By the way, what do you think of my hair?\Well, it looks like it's suited for work. response:	Don't drag me down.
context: I confessed to him.\There's no way it hasn't had an effect on him, right?\Oh, are you starting today?\Y-Yeah, I am.\They're letting me into the kitchen already.\By the way, what do you think of my hair?\Well, it looks like it's suited for work.\Don't drag me down. response:	Who do you think I am?
context: There's no way it hasn't had an effect on him, right?\Oh, are you starting today?\Y-Yeah, I am.\They're letting me into the kitchen already.\By the way, what do you think of my hair?\Well, it looks like it's suited for work.\Don't drag me down.\Who do you think I am? response:	This job is a piece of cake.
context: Oh, are you starting today?\Y-Yeah, I am.\They're letting me into the kitchen already.\By the way, what do you think of my hair?\Well, it looks like it's suited for work.\Don't drag me down.\Who do you think I am?\This job is a piece of cake. response:	You may be in charge of the chores, but you're still a spoiled rich girl.
context: Y-Yeah, I am.\They're letting me into the kitchen already.\By the way, what do you think of my hair?\Well, it looks like it's suited for work.\Don't drag me down.\Who do you think I am?\This job is a piece of cake.\You may be in charge of the chores, but you're still a spoiled rich girl. response:	You're about to learn how hard workthe real worldtruly is!
context: They're letting me into the kitchen already.\By the way, what do you think of my hair?\Well, it looks like it's suited for work.\Don't drag me down.\Who do you think I am?\This job is a piece of cake.\You may be in charge of the chores, but you're still a spoiled rich girl.\You're about to learn how hard workthe real worldtruly is! response:	Amazing! It's perfect!
context: By the way, what do you think of my hair?\Well, it looks like it's suited for work.\Don't drag me down.\Who do you think I am?\This job is a piece of cake.\You may be in charge of the chores, but you're still a spoiled rich girl.\You're about to learn how hard workthe real worldtruly is!\Amazing! It's perfect! response:	I can't believe you pulled this off on your first day.
context: Well, it looks like it's suited for work.\Don't drag me down.\Who do you think I am?\This job is a piece of cake.\You may be in charge of the chores, but you're still a spoiled rich girl.\You're about to learn how hard workthe real worldtruly is!\Amazing! It's perfect!\I can't believe you pulled this off on your first day. response:	You're a genius.
context: Don't drag me down.\Who do you think I am?\This job is a piece of cake.\You may be in charge of the chores, but you're still a spoiled rich girl.\You're about to learn how hard workthe real worldtruly is!\Amazing! It's perfect!\I can't believe you pulled this off on your first day.\You're a genius. response:	Am I?
context: Who do you think I am?\This job is a piece of cake.\You may be in charge of the chores, but you're still a spoiled rich girl.\You're about to learn how hard workthe real worldtruly is!\Amazing! It's perfect!\I can't believe you pulled this off on your first day.\You're a genius.\Am I? response:	You're just good at teaching, Boss.
context: This job is a piece of cake.\You may be in charge of the chores, but you're still a spoiled rich girl.\You're about to learn how hard workthe real worldtruly is!\Amazing! It's perfect!\I can't believe you pulled this off on your first day.\You're a genius.\Am I?\You're just good at teaching, Boss. response:	If anything, I feel like he's more distant than before.
context: You may be in charge of the chores, but you're still a spoiled rich girl.\You're about to learn how hard workthe real worldtruly is!\Amazing! It's perfect!\I can't believe you pulled this off on your first day.\You're a genius.\Am I?\You're just good at teaching, Boss.\If anything, I feel like he's more distant than before. response:	Maybe I shouldn't have confessed.
context: You're about to learn how hard workthe real worldtruly is!\Amazing! It's perfect!\I can't believe you pulled this off on your first day.\You're a genius.\Am I?\You're just good at teaching, Boss.\If anything, I feel like he's more distant than before.\Maybe I shouldn't have confessed. response:	Man, I'm so glad you joined us, Nakano-san.
context: Amazing! It's perfect!\I can't believe you pulled this off on your first day.\You're a genius.\Am I?\You're just good at teaching, Boss.\If anything, I feel like he's more distant than before.\Maybe I shouldn't have confessed.\Man, I'm so glad you joined us, Nakano-san. response:	We have an important reservation tonight.
context: I can't believe you pulled this off on your first day.\You're a genius.\Am I?\You're just good at teaching, Boss.\If anything, I feel like he's more distant than before.\Maybe I shouldn't have confessed.\Man, I'm so glad you joined us, Nakano-san.\We have an important reservation tonight. response:	Oh, yeah, all the part-timers are working today.
context: You're a genius.\Am I?\You're just good at teaching, Boss.\If anything, I feel like he's more distant than before.\Maybe I shouldn't have confessed.\Man, I'm so glad you joined us, Nakano-san.\We have an important reservation tonight.\Oh, yeah, all the part-timers are working today. response:	Is a large group coming in?
context: Am I?\You're just good at teaching, Boss.\If anything, I feel like he's more distant than before.\Maybe I shouldn't have confessed.\Man, I'm so glad you joined us, Nakano-san.\We have an important reservation tonight.\Oh, yeah, all the part-timers are working today.\Is a large group coming in? response:	No, just one person.
context: You're just good at teaching, Boss.\If anything, I feel like he's more distant than before.\Maybe I shouldn't have confessed.\Man, I'm so glad you joined us, Nakano-san.\We have an important reservation tonight.\Oh, yeah, all the part-timers are working today.\Is a large group coming in?\No, just one person. response:	A famous reviewer, known to those in the know.
context: If anything, I feel like he's more distant than before.\Maybe I shouldn't have confessed.\Man, I'm so glad you joined us, Nakano-san.\We have an important reservation tonight.\Oh, yeah, all the part-timers are working today.\Is a large group coming in?\No, just one person.\A famous reviewer, known to those in the know. response:	May.
context: Maybe I shouldn't have confessed.\Man, I'm so glad you joined us, Nakano-san.\We have an important reservation tonight.\Oh, yeah, all the part-timers are working today.\Is a large group coming in?\No, just one person.\A famous reviewer, known to those in the know.\May. response:	Her evaluations are said to be so accurate that
context: Man, I'm so glad you joined us, Nakano-san.\We have an important reservation tonight.\Oh, yeah, all the part-timers are working today.\Is a large group coming in?\No, just one person.\A famous reviewer, known to those in the know.\May.\Her evaluations are said to be so accurate that response:	a shop's customers are multiplied by the number of stars she gives it on review sites.
context: We have an important reservation tonight.\Oh, yeah, all the part-timers are working today.\Is a large group coming in?\No, just one person.\A famous reviewer, known to those in the know.\May.\Her evaluations are said to be so accurate that\a shop's customers are multiplied by the number of stars she gives it on review sites. response:	And she wants to try our new spring dish.
context: Oh, yeah, all the part-timers are working today.\Is a large group coming in?\No, just one person.\A famous reviewer, known to those in the know.\May.\Her evaluations are said to be so accurate that\a shop's customers are multiplied by the number of stars she gives it on review sites.\And she wants to try our new spring dish. response:	For five stars!
context: Is a large group coming in?\No, just one person.\A famous reviewer, known to those in the know.\May.\Her evaluations are said to be so accurate that\a shop's customers are multiplied by the number of stars she gives it on review sites.\And she wants to try our new spring dish.\For five stars! response:	Yes!
context: No, just one person.\A famous reviewer, known to those in the know.\May.\Her evaluations are said to be so accurate that\a shop's customers are multiplied by the number of stars she gives it on review sites.\And she wants to try our new spring dish.\For five stars!\Yes! response:	I need to work hard.
context: A famous reviewer, known to those in the know.\May.\Her evaluations are said to be so accurate that\a shop's customers are multiplied by the number of stars she gives it on review sites.\And she wants to try our new spring dish.\For five stars!\Yes!\I need to work hard. response:	I have to become part of the team here and get closer to Futaro soon.
context: May.\Her evaluations are said to be so accurate that\a shop's customers are multiplied by the number of stars she gives it on review sites.\And she wants to try our new spring dish.\For five stars!\Yes!\I need to work hard.\I have to become part of the team here and get closer to Futaro soon. response:	Boss, this batter...
context: Her evaluations are said to be so accurate that\a shop's customers are multiplied by the number of stars she gives it on review sites.\And she wants to try our new spring dish.\For five stars!\Yes!\I need to work hard.\I have to become part of the team here and get closer to Futaro soon.\Boss, this batter... response:	It doesn't taste quite right.
context: a shop's customers are multiplied by the number of stars she gives it on review sites.\And she wants to try our new spring dish.\For five stars!\Yes!\I need to work hard.\I have to become part of the team here and get closer to Futaro soon.\Boss, this batter...\It doesn't taste quite right. response:	Indeed...
context: And she wants to try our new spring dish.\For five stars!\Yes!\I need to work hard.\I have to become part of the team here and get closer to Futaro soon.\Boss, this batter...\It doesn't taste quite right.\Indeed... response:	I'm sorry! That one's mine.
context: For five stars!\Yes!\I need to work hard.\I have to become part of the team here and get closer to Futaro soon.\Boss, this batter...\It doesn't taste quite right.\Indeed...\I'm sorry! That one's mine. response:	Let's redo it.
context: Yes!\I need to work hard.\I have to become part of the team here and get closer to Futaro soon.\Boss, this batter...\It doesn't taste quite right.\Indeed...\I'm sorry! That one's mine.\Let's redo it. response:	O-Okay.
context: I need to work hard.\I have to become part of the team here and get closer to Futaro soon.\Boss, this batter...\It doesn't taste quite right.\Indeed...\I'm sorry! That one's mine.\Let's redo it.\O-Okay. response:	I'm going for a break.
context: I have to become part of the team here and get closer to Futaro soon.\Boss, this batter...\It doesn't taste quite right.\Indeed...\I'm sorry! That one's mine.\Let's redo it.\O-Okay.\I'm going for a break. response:	Okay.
context: Boss, this batter...\It doesn't taste quite right.\Indeed...\I'm sorry! That one's mine.\Let's redo it.\O-Okay.\I'm going for a break.\Okay. response:	Nakano-san, take a break while you can, too.
context: It doesn't taste quite right.\Indeed...\I'm sorry! That one's mine.\Let's redo it.\O-Okay.\I'm going for a break.\Okay.\Nakano-san, take a break while you can, too. response:	No, I can keep going.
context: Indeed...\I'm sorry! That one's mine.\Let's redo it.\O-Okay.\I'm going for a break.\Okay.\Nakano-san, take a break while you can, too.\No, I can keep going. response:	I want to keep going.
context: I'm sorry! That one's mine.\Let's redo it.\O-Okay.\I'm going for a break.\Okay.\Nakano-san, take a break while you can, too.\No, I can keep going.\I want to keep going. response:	You should take breaks when you have the chance to.
context: Let's redo it.\O-Okay.\I'm going for a break.\Okay.\Nakano-san, take a break while you can, too.\No, I can keep going.\I want to keep going.\You should take breaks when you have the chance to. response:	This must have been especially hard for you as a newcomer.
context: O-Okay.\I'm going for a break.\Okay.\Nakano-san, take a break while you can, too.\No, I can keep going.\I want to keep going.\You should take breaks when you have the chance to.\This must have been especially hard for you as a newcomer. response:	Sorry.
context: I'm going for a break.\Okay.\Nakano-san, take a break while you can, too.\No, I can keep going.\I want to keep going.\You should take breaks when you have the chance to.\This must have been especially hard for you as a newcomer.\Sorry. response:	Okay.
context: Okay.\Nakano-san, take a break while you can, too.\No, I can keep going.\I want to keep going.\You should take breaks when you have the chance to.\This must have been especially hard for you as a newcomer.\Sorry.\Okay. response:	I understand.
context: Nakano-san, take a break while you can, too.\No, I can keep going.\I want to keep going.\You should take breaks when you have the chance to.\This must have been especially hard for you as a newcomer.\Sorry.\Okay.\I understand. response:	What do I do?
context: No, I can keep going.\I want to keep going.\You should take breaks when you have the chance to.\This must have been especially hard for you as a newcomer.\Sorry.\Okay.\I understand.\What do I do? response:	Everyone seemed busy because of me.
context: I want to keep going.\You should take breaks when you have the chance to.\This must have been especially hard for you as a newcomer.\Sorry.\Okay.\I understand.\What do I do?\Everyone seemed busy because of me. response:	I should go back and...
context: You should take breaks when you have the chance to.\This must have been especially hard for you as a newcomer.\Sorry.\Okay.\I understand.\What do I do?\Everyone seemed busy because of me.\I should go back and... response:	The boss said it, too.
context: This must have been especially hard for you as a newcomer.\Sorry.\Okay.\I understand.\What do I do?\Everyone seemed busy because of me.\I should go back and...\The boss said it, too. response:	It's not your fault.
context: Sorry.\Okay.\I understand.\What do I do?\Everyone seemed busy because of me.\I should go back and...\The boss said it, too.\It's not your fault. response:	It's entirely the boss's fault for pushing the work onto a new recruit.
context: Okay.\I understand.\What do I do?\Everyone seemed busy because of me.\I should go back and...\The boss said it, too.\It's not your fault.\It's entirely the boss's fault for pushing the work onto a new recruit. response:	But it's not usually a problem.
context: I understand.\What do I do?\Everyone seemed busy because of me.\I should go back and...\The boss said it, too.\It's not your fault.\It's entirely the boss's fault for pushing the work onto a new recruit.\But it's not usually a problem. response:	Why did it have to happen today?
context: What do I do?\Everyone seemed busy because of me.\I should go back and...\The boss said it, too.\It's not your fault.\It's entirely the boss's fault for pushing the work onto a new recruit.\But it's not usually a problem.\Why did it have to happen today? response:	I embarrassed myself in front of Futaro.
context: Everyone seemed busy because of me.\I should go back and...\The boss said it, too.\It's not your fault.\It's entirely the boss's fault for pushing the work onto a new recruit.\But it's not usually a problem.\Why did it have to happen today?\I embarrassed myself in front of Futaro. response:	Take a look at this.
context: I should go back and...\The boss said it, too.\It's not your fault.\It's entirely the boss's fault for pushing the work onto a new recruit.\But it's not usually a problem.\Why did it have to happen today?\I embarrassed myself in front of Futaro.\Take a look at this. response:	But don't get too good of a look.
context: The boss said it, too.\It's not your fault.\It's entirely the boss's fault for pushing the work onto a new recruit.\But it's not usually a problem.\Why did it have to happen today?\I embarrassed myself in front of Futaro.\Take a look at this.\But don't get too good of a look. response:	They're Santa decorations that I accidentally bought a thousand of instead of a hundred.
context: It's not your fault.\It's entirely the boss's fault for pushing the work onto a new recruit.\But it's not usually a problem.\Why did it have to happen today?\I embarrassed myself in front of Futaro.\Take a look at this.\But don't get too good of a look.\They're Santa decorations that I accidentally bought a thousand of instead of a hundred. response:	Huh?
context: It's entirely the boss's fault for pushing the work onto a new recruit.\But it's not usually a problem.\Why did it have to happen today?\I embarrassed myself in front of Futaro.\Take a look at this.\But don't get too good of a look.\They're Santa decorations that I accidentally bought a thousand of instead of a hundred.\Huh? response:	Also, the dent on this rack...
context: But it's not usually a problem.\Why did it have to happen today?\I embarrassed myself in front of Futaro.\Take a look at this.\But don't get too good of a look.\They're Santa decorations that I accidentally bought a thousand of instead of a hundred.\Huh?\Also, the dent on this rack... response:	This is from when I fell.
context: Why did it have to happen today?\I embarrassed myself in front of Futaro.\Take a look at this.\But don't get too good of a look.\They're Santa decorations that I accidentally bought a thousand of instead of a hundred.\Huh?\Also, the dent on this rack...\This is from when I fell. response:	Wh-What are you talking about?
context: I embarrassed myself in front of Futaro.\Take a look at this.\But don't get too good of a look.\They're Santa decorations that I accidentally bought a thousand of instead of a hundred.\Huh?\Also, the dent on this rack...\This is from when I fell.\Wh-What are you talking about? response:	I can't count the number of times I served cakes to the wrong customers or broke dishes.
context: Take a look at this.\But don't get too good of a look.\They're Santa decorations that I accidentally bought a thousand of instead of a hundred.\Huh?\Also, the dent on this rack...\This is from when I fell.\Wh-What are you talking about?\I can't count the number of times I served cakes to the wrong customers or broke dishes. response:	Compared to that, your mistake was trivial.
context: But don't get too good of a look.\They're Santa decorations that I accidentally bought a thousand of instead of a hundred.\Huh?\Also, the dent on this rack...\This is from when I fell.\Wh-What are you talking about?\I can't count the number of times I served cakes to the wrong customers or broke dishes.\Compared to that, your mistake was trivial. response:	Are you trying to cheer me up?
context: They're Santa decorations that I accidentally bought a thousand of instead of a hundred.\Huh?\Also, the dent on this rack...\This is from when I fell.\Wh-What are you talking about?\I can't count the number of times I served cakes to the wrong customers or broke dishes.\Compared to that, your mistake was trivial.\Are you trying to cheer me up? response:	N-No, I'm not!
context: Huh?\Also, the dent on this rack...\This is from when I fell.\Wh-What are you talking about?\I can't count the number of times I served cakes to the wrong customers or broke dishes.\Compared to that, your mistake was trivial.\Are you trying to cheer me up?\N-No, I'm not! response:	I'm trying to teach you how brutal work is!
context: Also, the dent on this rack...\This is from when I fell.\Wh-What are you talking about?\I can't count the number of times I served cakes to the wrong customers or broke dishes.\Compared to that, your mistake was trivial.\Are you trying to cheer me up?\N-No, I'm not!\I'm trying to teach you how brutal work is! response:	I'm your senior, technically.
context: This is from when I fell.\Wh-What are you talking about?\I can't count the number of times I served cakes to the wrong customers or broke dishes.\Compared to that, your mistake was trivial.\Are you trying to cheer me up?\N-No, I'm not!\I'm trying to teach you how brutal work is!\I'm your senior, technically. response:	Why?
context: Wh-What are you talking about?\I can't count the number of times I served cakes to the wrong customers or broke dishes.\Compared to that, your mistake was trivial.\Are you trying to cheer me up?\N-No, I'm not!\I'm trying to teach you how brutal work is!\I'm your senior, technically.\Why? response:	Why are you avoiding me, then?
context: I can't count the number of times I served cakes to the wrong customers or broke dishes.\Compared to that, your mistake was trivial.\Are you trying to cheer me up?\N-No, I'm not!\I'm trying to teach you how brutal work is!\I'm your senior, technically.\Why?\Why are you avoiding me, then? response:	Sorry to make things awkward for you.
context: Compared to that, your mistake was trivial.\Are you trying to cheer me up?\N-No, I'm not!\I'm trying to teach you how brutal work is!\I'm your senior, technically.\Why?\Why are you avoiding me, then?\Sorry to make things awkward for you. response:	It must be hard working with me.
context: Are you trying to cheer me up?\N-No, I'm not!\I'm trying to teach you how brutal work is!\I'm your senior, technically.\Why?\Why are you avoiding me, then?\Sorry to make things awkward for you.\It must be hard working with me. response:	I've worked a ton of jobs, but every time something happens, I realize...
context: N-No, I'm not!\I'm trying to teach you how brutal work is!\I'm your senior, technically.\Why?\Why are you avoiding me, then?\Sorry to make things awkward for you.\It must be hard working with me.\I've worked a ton of jobs, but every time something happens, I realize... response:	all I'm ever good for is studying.
context: I'm trying to teach you how brutal work is!\I'm your senior, technically.\Why?\Why are you avoiding me, then?\Sorry to make things awkward for you.\It must be hard working with me.\I've worked a ton of jobs, but every time something happens, I realize...\all I'm ever good for is studying. response:	All I am is smart, the top of the class, and easily qualified to tutor the five of you.
context: I'm your senior, technically.\Why?\Why are you avoiding me, then?\Sorry to make things awkward for you.\It must be hard working with me.\I've worked a ton of jobs, but every time something happens, I realize...\all I'm ever good for is studying.\All I am is smart, the top of the class, and easily qualified to tutor the five of you. response:	You sound way too confident.
context: Why?\Why are you avoiding me, then?\Sorry to make things awkward for you.\It must be hard working with me.\I've worked a ton of jobs, but every time something happens, I realize...\all I'm ever good for is studying.\All I am is smart, the top of the class, and easily qualified to tutor the five of you.\You sound way too confident. response:	So this is the first time...
context: Why are you avoiding me, then?\Sorry to make things awkward for you.\It must be hard working with me.\I've worked a ton of jobs, but every time something happens, I realize...\all I'm ever good for is studying.\All I am is smart, the top of the class, and easily qualified to tutor the five of you.\You sound way too confident.\So this is the first time... response:	that anyone's told me they loved me.
context: Sorry to make things awkward for you.\It must be hard working with me.\I've worked a ton of jobs, but every time something happens, I realize...\all I'm ever good for is studying.\All I am is smart, the top of the class, and easily qualified to tutor the five of you.\You sound way too confident.\So this is the first time...\that anyone's told me they loved me. response:	I didn't know how to talk to you.
context: It must be hard working with me.\I've worked a ton of jobs, but every time something happens, I realize...\all I'm ever good for is studying.\All I am is smart, the top of the class, and easily qualified to tutor the five of you.\You sound way too confident.\So this is the first time...\that anyone's told me they loved me.\I didn't know how to talk to you. response:	But I'll answer now.
context: I've worked a ton of jobs, but every time something happens, I realize...\all I'm ever good for is studying.\All I am is smart, the top of the class, and easily qualified to tutor the five of you.\You sound way too confident.\So this is the first time...\that anyone's told me they loved me.\I didn't know how to talk to you.\But I'll answer now. response:	How I feel about you is...
context: all I'm ever good for is studying.\All I am is smart, the top of the class, and easily qualified to tutor the five of you.\You sound way too confident.\So this is the first time...\that anyone's told me they loved me.\I didn't know how to talk to you.\But I'll answer now.\How I feel about you is... response:	Wait!
context: All I am is smart, the top of the class, and easily qualified to tutor the five of you.\You sound way too confident.\So this is the first time...\that anyone's told me they loved me.\I didn't know how to talk to you.\But I'll answer now.\How I feel about you is...\Wait! response:	I know you don't like me.
context: You sound way too confident.\So this is the first time...\that anyone's told me they loved me.\I didn't know how to talk to you.\But I'll answer now.\How I feel about you is...\Wait!\I know you don't like me. response:	I've been so nasty to you.
context: So this is the first time...\that anyone's told me they loved me.\I didn't know how to talk to you.\But I'll answer now.\How I feel about you is...\Wait!\I know you don't like me.\I've been so nasty to you. response:	But don't make up your mind yet.
context: that anyone's told me they loved me.\I didn't know how to talk to you.\But I'll answer now.\How I feel about you is...\Wait!\I know you don't like me.\I've been so nasty to you.\But don't make up your mind yet. response:	We're finally working together, and I haven't gotten to tell you anything yet.
context: I didn't know how to talk to you.\But I'll answer now.\How I feel about you is...\Wait!\I know you don't like me.\I've been so nasty to you.\But don't make up your mind yet.\We're finally working together, and I haven't gotten to tell you anything yet. response:	So I want you to know me better.
context: But I'll answer now.\How I feel about you is...\Wait!\I know you don't like me.\I've been so nasty to you.\But don't make up your mind yet.\We're finally working together, and I haven't gotten to tell you anything yet.\So I want you to know me better. response:	I want you to really know how much I love you!
context: How I feel about you is...\Wait!\I know you don't like me.\I've been so nasty to you.\But don't make up your mind yet.\We're finally working together, and I haven't gotten to tell you anything yet.\So I want you to know me better.\I want you to really know how much I love you! response:	That so?
context: Wait!\I know you don't like me.\I've been so nasty to you.\But don't make up your mind yet.\We're finally working together, and I haven't gotten to tell you anything yet.\So I want you to know me better.\I want you to really know how much I love you!\That so? response:	Perfect timing, you two.
context: I know you don't like me.\I've been so nasty to you.\But don't make up your mind yet.\We're finally working together, and I haven't gotten to tell you anything yet.\So I want you to know me better.\I want you to really know how much I love you!\That so?\Perfect timing, you two. response:	May-san has arrived.
context: I've been so nasty to you.\But don't make up your mind yet.\We're finally working together, and I haven't gotten to tell you anything yet.\So I want you to know me better.\I want you to really know how much I love you!\That so?\Perfect timing, you two.\May-san has arrived. response:	Got it. I'll be right there.
context: But don't make up your mind yet.\We're finally working together, and I haven't gotten to tell you anything yet.\So I want you to know me better.\I want you to really know how much I love you!\That so?\Perfect timing, you two.\May-san has arrived.\Got it. I'll be right there. response:	What's wrong, Uesugi-kun?
context: We're finally working together, and I haven't gotten to tell you anything yet.\So I want you to know me better.\I want you to really know how much I love you!\That so?\Perfect timing, you two.\May-san has arrived.\Got it. I'll be right there.\What's wrong, Uesugi-kun? response:	Your face is red up to your ears.
context: So I want you to know me better.\I want you to really know how much I love you!\That so?\Perfect timing, you two.\May-san has arrived.\Got it. I'll be right there.\What's wrong, Uesugi-kun?\Your face is red up to your ears. response:	No, this is...
context: I want you to really know how much I love you!\That so?\Perfect timing, you two.\May-san has arrived.\Got it. I'll be right there.\What's wrong, Uesugi-kun?\Your face is red up to your ears.\No, this is... response:	Best be ready,
context: That so?\Perfect timing, you two.\May-san has arrived.\Got it. I'll be right there.\What's wrong, Uesugi-kun?\Your face is red up to your ears.\No, this is...\Best be ready, response:	Fu-kun.
context: Perfect timing, you two.\May-san has arrived.\Got it. I'll be right there.\What's wrong, Uesugi-kun?\Your face is red up to your ears.\No, this is...\Best be ready,\Fu-kun. response:	That's May-san.
context: May-san has arrived.\Got it. I'll be right there.\What's wrong, Uesugi-kun?\Your face is red up to your ears.\No, this is...\Best be ready,\Fu-kun.\That's May-san. response:	I'll go take her order.
context: Got it. I'll be right there.\What's wrong, Uesugi-kun?\Your face is red up to your ears.\No, this is...\Best be ready,\Fu-kun.\That's May-san.\I'll go take her order. response:	We're in the middle of work!
context: What's wrong, Uesugi-kun?\Your face is red up to your ears.\No, this is...\Best be ready,\Fu-kun.\That's May-san.\I'll go take her order.\We're in the middle of work! response:	What the hell are you doing, Itsuki?
context: Your face is red up to your ears.\No, this is...\Best be ready,\Fu-kun.\That's May-san.\I'll go take her order.\We're in the middle of work!\What the hell are you doing, Itsuki? response:	It can't be...
context: No, this is...\Best be ready,\Fu-kun.\That's May-san.\I'll go take her order.\We're in the middle of work!\What the hell are you doing, Itsuki?\It can't be... response:	How did you know?!
context: Best be ready,\Fu-kun.\That's May-san.\I'll go take her order.\We're in the middle of work!\What the hell are you doing, Itsuki?\It can't be...\How did you know?! response:	Morning.
context: Fu-kun.\That's May-san.\I'll go take her order.\We're in the middle of work!\What the hell are you doing, Itsuki?\It can't be...\How did you know?!\Morning. response:	Ichika.
context: That's May-san.\I'll go take her order.\We're in the middle of work!\What the hell are you doing, Itsuki?\It can't be...\How did you know?!\Morning.\Ichika. response:	It's almost fishy how often I bump into you on the way to school.
context: I'll go take her order.\We're in the middle of work!\What the hell are you doing, Itsuki?\It can't be...\How did you know?!\Morning.\Ichika.\It's almost fishy how often I bump into you on the way to school. response:	Huh? Oh...
context: We're in the middle of work!\What the hell are you doing, Itsuki?\It can't be...\How did you know?!\Morning.\Ichika.\It's almost fishy how often I bump into you on the way to school.\Huh? Oh... response:	Aren't the other girls with you?
context: What the hell are you doing, Itsuki?\It can't be...\How did you know?!\Morning.\Ichika.\It's almost fishy how often I bump into you on the way to school.\Huh? Oh...\Aren't the other girls with you? response:	I came to buy this. It's just a coincidence that I ran into you.
context: It can't be...\How did you know?!\Morning.\Ichika.\It's almost fishy how often I bump into you on the way to school.\Huh? Oh...\Aren't the other girls with you?\I came to buy this. It's just a coincidence that I ran into you. response:	Oh, this is for you.
context: How did you know?!\Morning.\Ichika.\It's almost fishy how often I bump into you on the way to school.\Huh? Oh...\Aren't the other girls with you?\I came to buy this. It's just a coincidence that I ran into you.\Oh, this is for you. response:	You got it for me when you didn't know you'd run into me?
context: Morning.\Ichika.\It's almost fishy how often I bump into you on the way to school.\Huh? Oh...\Aren't the other girls with you?\I came to buy this. It's just a coincidence that I ran into you.\Oh, this is for you.\You got it for me when you didn't know you'd run into me? response:	I can't drink coffee, though.
