context: Looks like we managed to break through the blockade. response:	I wish he'd hurry up and fill us in on the next part of the plan.
context: Heat dump complete!\Amazing! He destroyed it in one blow!\Recall Tokishima immediately.\We'll begin reentry any moment.\Wait, grab Akira! Retrieve Akira!\Unit 6 is too far away from the ship.\It's too late to save her.\It's like that other time all over again! response:	Again, I'm just...
context: Amazing! He destroyed it in one blow!\Recall Tokishima immediately.\We'll begin reentry any moment.\Wait, grab Akira! Retrieve Akira!\Unit 6 is too far away from the ship.\It's too late to save her.\It's like that other time all over again!\Again, I'm just... response:	Why did I go and do that?
context: Recall Tokishima immediately.\We'll begin reentry any moment.\Wait, grab Akira! Retrieve Akira!\Unit 6 is too far away from the ship.\It's too late to save her.\It's like that other time all over again!\Again, I'm just...\Why did I go and do that? response:	I knew what would happen.
context: We'll begin reentry any moment.\Wait, grab Akira! Retrieve Akira!\Unit 6 is too far away from the ship.\It's too late to save her.\It's like that other time all over again!\Again, I'm just...\Why did I go and do that?\I knew what would happen. response:	No matter what I did, he would never...
context: Wait, grab Akira! Retrieve Akira!\Unit 6 is too far away from the ship.\It's too late to save her.\It's like that other time all over again!\Again, I'm just...\Why did I go and do that?\I knew what would happen.\No matter what I did, he would never... response:	Brother...
context: Unit 6 is too far away from the ship.\It's too late to save her.\It's like that other time all over again!\Again, I'm just...\Why did I go and do that?\I knew what would happen.\No matter what I did, he would never...\Brother... response:	JIOR National University High Schoo l 66th Annual Entrance Exam Sheet
context: It's too late to save her.\It's like that other time all over again!\Again, I'm just...\Why did I go and do that?\I knew what would happen.\No matter what I did, he would never...\Brother...\JIOR National University High Schoo l 66th Annual Entrance Exam Sheet response:	Brother!
context: It's like that other time all over again!\Again, I'm just...\Why did I go and do that?\I knew what would happen.\No matter what I did, he would never...\Brother...\JIOR National University High Schoo l 66th Annual Entrance Exam Sheet\Brother! response:	Akira!
context: Again, I'm just...\Why did I go and do that?\I knew what would happen.\No matter what I did, he would never...\Brother...\JIOR National University High Schoo l 66th Annual Entrance Exam Sheet\Brother!\Akira! response:	You're Akira-chan?
context: Why did I go and do that?\I knew what would happen.\No matter what I did, he would never...\Brother...\JIOR National University High Schoo l 66th Annual Entrance Exam Sheet\Brother!\Akira!\You're Akira-chan? response:	I'd like to ask you a few questions, if you don't mind.
context: I knew what would happen.\No matter what I did, he would never...\Brother...\JIOR National University High Schoo l 66th Annual Entrance Exam Sheet\Brother!\Akira!\You're Akira-chan?\I'd like to ask you a few questions, if you don't mind. response:	I see here that you're scheduled to take the exam today.
context: No matter what I did, he would never...\Brother...\JIOR National University High Schoo l 66th Annual Entrance Exam Sheet\Brother!\Akira!\You're Akira-chan?\I'd like to ask you a few questions, if you don't mind.\I see here that you're scheduled to take the exam today. response:	You didn't ask her to hack into the exam test sheet, did you?
context: Brother...\JIOR National University High Schoo l 66th Annual Entrance Exam Sheet\Brother!\Akira!\You're Akira-chan?\I'd like to ask you a few questions, if you don't mind.\I see here that you're scheduled to take the exam today.\You didn't ask her to hack into the exam test sheet, did you? response:	I had no idea.
context: JIOR National University High Schoo l 66th Annual Entrance Exam Sheet\Brother!\Akira!\You're Akira-chan?\I'd like to ask you a few questions, if you don't mind.\I see here that you're scheduled to take the exam today.\You didn't ask her to hack into the exam test sheet, did you?\I had no idea. response:	I don't understand why she would do such a thing, either.
context: Brother!\Akira!\You're Akira-chan?\I'd like to ask you a few questions, if you don't mind.\I see here that you're scheduled to take the exam today.\You didn't ask her to hack into the exam test sheet, did you?\I had no idea.\I don't understand why she would do such a thing, either. response:	Help me!
context: Akira!\You're Akira-chan?\I'd like to ask you a few questions, if you don't mind.\I see here that you're scheduled to take the exam today.\You didn't ask her to hack into the exam test sheet, did you?\I had no idea.\I don't understand why she would do such a thing, either.\Help me! response:	It's not like he cares if I live or die anyway.
context: You're Akira-chan?\I'd like to ask you a few questions, if you don't mind.\I see here that you're scheduled to take the exam today.\You didn't ask her to hack into the exam test sheet, did you?\I had no idea.\I don't understand why she would do such a thing, either.\Help me!\It's not like he cares if I live or die anyway. response:	Takahi.
context: I'd like to ask you a few questions, if you don't mind.\I see here that you're scheduled to take the exam today.\You didn't ask her to hack into the exam test sheet, did you?\I had no idea.\I don't understand why she would do such a thing, either.\Help me!\It's not like he cares if I live or die anyway.\Takahi. response:	Move us over to Akira. Please.
context: I see here that you're scheduled to take the exam today.\You didn't ask her to hack into the exam test sheet, did you?\I had no idea.\I don't understand why she would do such a thing, either.\Help me!\It's not like he cares if I live or die anyway.\Takahi.\Move us over to Akira. Please. response:	Satomi...
context: You didn't ask her to hack into the exam test sheet, did you?\I had no idea.\I don't understand why she would do such a thing, either.\Help me!\It's not like he cares if I live or die anyway.\Takahi.\Move us over to Akira. Please.\Satomi... response:	Haruto?
context: I had no idea.\I don't understand why she would do such a thing, either.\Help me!\It's not like he cares if I live or die anyway.\Takahi.\Move us over to Akira. Please.\Satomi...\Haruto? response:	What?
context: I don't understand why she would do such a thing, either.\Help me!\It's not like he cares if I live or die anyway.\Takahi.\Move us over to Akira. Please.\Satomi...\Haruto?\What? response:	Unit 1, it's...
context: Help me!\It's not like he cares if I live or die anyway.\Takahi.\Move us over to Akira. Please.\Satomi...\Haruto?\What?\Unit 1, it's... response:	What do you think you're doing? Return at once!
context: It's not like he cares if I live or die anyway.\Takahi.\Move us over to Akira. Please.\Satomi...\Haruto?\What?\Unit 1, it's...\What do you think you're doing? Return at once! response:	I can't stand by and watch one of us die!
context: Takahi.\Move us over to Akira. Please.\Satomi...\Haruto?\What?\Unit 1, it's...\What do you think you're doing? Return at once!\I can't stand by and watch one of us die! response:	I'm saving her!
context: Move us over to Akira. Please.\Satomi...\Haruto?\What?\Unit 1, it's...\What do you think you're doing? Return at once!\I can't stand by and watch one of us die!\I'm saving her! response:	Sentimental fool!
context: Satomi...\Haruto?\What?\Unit 1, it's...\What do you think you're doing? Return at once!\I can't stand by and watch one of us die!\I'm saving her!\Sentimental fool! response:	What did you do?
context: Haruto?\What?\Unit 1, it's...\What do you think you're doing? Return at once!\I can't stand by and watch one of us die!\I'm saving her!\Sentimental fool!\What did you do? response:	It isn't compatible with aftermarket parts?
context: What?\Unit 1, it's...\What do you think you're doing? Return at once!\I can't stand by and watch one of us die!\I'm saving her!\Sentimental fool!\What did you do?\It isn't compatible with aftermarket parts? response:	My controls, they're
context: Unit 1, it's...\What do you think you're doing? Return at once!\I can't stand by and watch one of us die!\I'm saving her!\Sentimental fool!\What did you do?\It isn't compatible with aftermarket parts?\My controls, they're response:	Haruto!
context: What do you think you're doing? Return at once!\I can't stand by and watch one of us die!\I'm saving her!\Sentimental fool!\What did you do?\It isn't compatible with aftermarket parts?\My controls, they're\Haruto! response:	Haruto! Haruto!
context: I can't stand by and watch one of us die!\I'm saving her!\Sentimental fool!\What did you do?\It isn't compatible with aftermarket parts?\My controls, they're\Haruto!\Haruto! Haruto! response:	Change the ship's trajectory! Save Akira!
context: I'm saving her!\Sentimental fool!\What did you do?\It isn't compatible with aftermarket parts?\My controls, they're\Haruto!\Haruto! Haruto!\Change the ship's trajectory! Save Akira! response:	If we override our trajectory now, this ship will burn up too!
context: Sentimental fool!\What did you do?\It isn't compatible with aftermarket parts?\My controls, they're\Haruto!\Haruto! Haruto!\Change the ship's trajectory! Save Akira!\If we override our trajectory now, this ship will burn up too! response:	So you're just going to let her die?!
context: What did you do?\It isn't compatible with aftermarket parts?\My controls, they're\Haruto!\Haruto! Haruto!\Change the ship's trajectory! Save Akira!\If we override our trajectory now, this ship will burn up too!\So you're just going to let her die?! response:	If I let this chance pass by,
context: It isn't compatible with aftermarket parts?\My controls, they're\Haruto!\Haruto! Haruto!\Change the ship's trajectory! Save Akira!\If we override our trajectory now, this ship will burn up too!\So you're just going to let her die?!\If I let this chance pass by, response:	when will I ever get another to make things right with Akira?
context: My controls, they're\Haruto!\Haruto! Haruto!\Change the ship's trajectory! Save Akira!\If we override our trajectory now, this ship will burn up too!\So you're just going to let her die?!\If I let this chance pass by,\when will I ever get another to make things right with Akira? response:	This time, I'm gonna protect her!
context: Haruto!\Haruto! Haruto!\Change the ship's trajectory! Save Akira!\If we override our trajectory now, this ship will burn up too!\So you're just going to let her die?!\If I let this chance pass by,\when will I ever get another to make things right with Akira?\This time, I'm gonna protect her! response:	As her big brother!
context: Haruto! Haruto!\Change the ship's trajectory! Save Akira!\If we override our trajectory now, this ship will burn up too!\So you're just going to let her die?!\If I let this chance pass by,\when will I ever get another to make things right with Akira?\This time, I'm gonna protect her!\As her big brother! response:	A transmission from Unit 6? What's this?
context: Change the ship's trajectory! Save Akira!\If we override our trajectory now, this ship will burn up too!\So you're just going to let her die?!\If I let this chance pass by,\when will I ever get another to make things right with Akira?\This time, I'm gonna protect her!\As her big brother!\A transmission from Unit 6? What's this? response:	These are... ground control radio transmissions?
context: If we override our trajectory now, this ship will burn up too!\So you're just going to let her die?!\If I let this chance pass by,\when will I ever get another to make things right with Akira?\This time, I'm gonna protect her!\As her big brother!\A transmission from Unit 6? What's this?\These are... ground control radio transmissions? response:	She's hacking them?
context: So you're just going to let her die?!\If I let this chance pass by,\when will I ever get another to make things right with Akira?\This time, I'm gonna protect her!\As her big brother!\A transmission from Unit 6? What's this?\These are... ground control radio transmissions?\She's hacking them? response:	Hacking them?
context: If I let this chance pass by,\when will I ever get another to make things right with Akira?\This time, I'm gonna protect her!\As her big brother!\A transmission from Unit 6? What's this?\These are... ground control radio transmissions?\She's hacking them?\Hacking them? response:	It means that even if this ship veers off course,
context: when will I ever get another to make things right with Akira?\This time, I'm gonna protect her!\As her big brother!\A transmission from Unit 6? What's this?\These are... ground control radio transmissions?\She's hacking them?\Hacking them?\It means that even if this ship veers off course, response:	we'd still be able to make reentry if we locked onto one of these.
context: This time, I'm gonna protect her!\As her big brother!\A transmission from Unit 6? What's this?\These are... ground control radio transmissions?\She's hacking them?\Hacking them?\It means that even if this ship veers off course,\we'd still be able to make reentry if we locked onto one of these. response:	This is... Akira's voice!
context: As her big brother!\A transmission from Unit 6? What's this?\These are... ground control radio transmissions?\She's hacking them?\Hacking them?\It means that even if this ship veers off course,\we'd still be able to make reentry if we locked onto one of these.\This is... Akira's voice! response:	She's calling out to me! Asking me to save her!
context: A transmission from Unit 6? What's this?\These are... ground control radio transmissions?\She's hacking them?\Hacking them?\It means that even if this ship veers off course,\we'd still be able to make reentry if we locked onto one of these.\This is... Akira's voice!\She's calling out to me! Asking me to save her! response:	Pick out appropriate guidance from that mess?
context: These are... ground control radio transmissions?\She's hacking them?\Hacking them?\It means that even if this ship veers off course,\we'd still be able to make reentry if we locked onto one of these.\This is... Akira's voice!\She's calling out to me! Asking me to save her!\Pick out appropriate guidance from that mess? response:	But that's not...
context: She's hacking them?\Hacking them?\It means that even if this ship veers off course,\we'd still be able to make reentry if we locked onto one of these.\This is... Akira's voice!\She's calling out to me! Asking me to save her!\Pick out appropriate guidance from that mess?\But that's not... response:	It's impossible! Not from all that noise!
context: Hacking them?\It means that even if this ship veers off course,\we'd still be able to make reentry if we locked onto one of these.\This is... Akira's voice!\She's calling out to me! Asking me to save her!\Pick out appropriate guidance from that mess?\But that's not...\It's impossible! Not from all that noise! response:	I can't make out anything they're saying!
context: It means that even if this ship veers off course,\we'd still be able to make reentry if we locked onto one of these.\This is... Akira's voice!\She's calling out to me! Asking me to save her!\Pick out appropriate guidance from that mess?\But that's not...\It's impossible! Not from all that noise!\I can't make out anything they're saying! response:	Stop talking all at once!
context: we'd still be able to make reentry if we locked onto one of these.\This is... Akira's voice!\She's calling out to me! Asking me to save her!\Pick out appropriate guidance from that mess?\But that's not...\It's impossible! Not from all that noise!\I can't make out anything they're saying!\Stop talking all at once! response:	It's no use! I can't make anything out!
context: This is... Akira's voice!\She's calling out to me! Asking me to save her!\Pick out appropriate guidance from that mess?\But that's not...\It's impossible! Not from all that noise!\I can't make out anything they're saying!\Stop talking all at once!\It's no use! I can't make anything out! response:	Alter heading... to 10 o'clock, 40 minutes.
context: She's calling out to me! Asking me to save her!\Pick out appropriate guidance from that mess?\But that's not...\It's impossible! Not from all that noise!\I can't make out anything they're saying!\Stop talking all at once!\It's no use! I can't make anything out!\Alter heading... to 10 o'clock, 40 minutes. response:	Adjust entry angle... to 27 degrees.
context: Pick out appropriate guidance from that mess?\But that's not...\It's impossible! Not from all that noise!\I can't make out anything they're saying!\Stop talking all at once!\It's no use! I can't make anything out!\Alter heading... to 10 o'clock, 40 minutes.\Adjust entry angle... to 27 degrees. response:	To the north-northeast...
context: But that's not...\It's impossible! Not from all that noise!\I can't make out anything they're saying!\Stop talking all at once!\It's no use! I can't make anything out!\Alter heading... to 10 o'clock, 40 minutes.\Adjust entry angle... to 27 degrees.\To the north-northeast... response:	Satomi? You can...
context: It's impossible! Not from all that noise!\I can't make out anything they're saying!\Stop talking all at once!\It's no use! I can't make anything out!\Alter heading... to 10 o'clock, 40 minutes.\Adjust entry angle... to 27 degrees.\To the north-northeast...\Satomi? You can... response:	I'll call out the instructions!
context: I can't make out anything they're saying!\Stop talking all at once!\It's no use! I can't make anything out!\Alter heading... to 10 o'clock, 40 minutes.\Adjust entry angle... to 27 degrees.\To the north-northeast...\Satomi? You can...\I'll call out the instructions! response:	I want you to take the ship's controls!
context: Stop talking all at once!\It's no use! I can't make anything out!\Alter heading... to 10 o'clock, 40 minutes.\Adjust entry angle... to 27 degrees.\To the north-northeast...\Satomi? You can...\I'll call out the instructions!\I want you to take the ship's controls! response:	You want me to jeopardize everything just to save your little sister?
context: It's no use! I can't make anything out!\Alter heading... to 10 o'clock, 40 minutes.\Adjust entry angle... to 27 degrees.\To the north-northeast...\Satomi? You can...\I'll call out the instructions!\I want you to take the ship's controls!\You want me to jeopardize everything just to save your little sister? response:	If we do nothing, it will mean losing two Valvraves.
context: Alter heading... to 10 o'clock, 40 minutes.\Adjust entry angle... to 27 degrees.\To the north-northeast...\Satomi? You can...\I'll call out the instructions!\I want you to take the ship's controls!\You want me to jeopardize everything just to save your little sister?\If we do nothing, it will mean losing two Valvraves. response:	Wouldn't that throw a wrench in your plans?
context: Adjust entry angle... to 27 degrees.\To the north-northeast...\Satomi? You can...\I'll call out the instructions!\I want you to take the ship's controls!\You want me to jeopardize everything just to save your little sister?\If we do nothing, it will mean losing two Valvraves.\Wouldn't that throw a wrench in your plans? response:	Takahi...
context: To the north-northeast...\Satomi? You can...\I'll call out the instructions!\I want you to take the ship's controls!\You want me to jeopardize everything just to save your little sister?\If we do nothing, it will mean losing two Valvraves.\Wouldn't that throw a wrench in your plans?\Takahi... response:	Leaders have to be prepared to show a firm hand.
context: Satomi? You can...\I'll call out the instructions!\I want you to take the ship's controls!\You want me to jeopardize everything just to save your little sister?\If we do nothing, it will mean losing two Valvraves.\Wouldn't that throw a wrench in your plans?\Takahi...\Leaders have to be prepared to show a firm hand. response:	You need Haruto's abilities, don't you?
context: I'll call out the instructions!\I want you to take the ship's controls!\You want me to jeopardize everything just to save your little sister?\If we do nothing, it will mean losing two Valvraves.\Wouldn't that throw a wrench in your plans?\Takahi...\Leaders have to be prepared to show a firm hand.\You need Haruto's abilities, don't you? response:	We need someone who can
context: I want you to take the ship's controls!\You want me to jeopardize everything just to save your little sister?\If we do nothing, it will mean losing two Valvraves.\Wouldn't that throw a wrench in your plans?\Takahi...\Leaders have to be prepared to show a firm hand.\You need Haruto's abilities, don't you?\We need someone who can response:	make the reentry work even after we go off course.
context: You want me to jeopardize everything just to save your little sister?\If we do nothing, it will mean losing two Valvraves.\Wouldn't that throw a wrench in your plans?\Takahi...\Leaders have to be prepared to show a firm hand.\You need Haruto's abilities, don't you?\We need someone who can\make the reentry work even after we go off course. response:	You're the only one with the skill to do that.
context: If we do nothing, it will mean losing two Valvraves.\Wouldn't that throw a wrench in your plans?\Takahi...\Leaders have to be prepared to show a firm hand.\You need Haruto's abilities, don't you?\We need someone who can\make the reentry work even after we go off course.\You're the only one with the skill to do that. response:	I'm begging you, L-elf.
context: Wouldn't that throw a wrench in your plans?\Takahi...\Leaders have to be prepared to show a firm hand.\You need Haruto's abilities, don't you?\We need someone who can\make the reentry work even after we go off course.\You're the only one with the skill to do that.\I'm begging you, L-elf. response:	Please!
context: Takahi...\Leaders have to be prepared to show a firm hand.\You need Haruto's abilities, don't you?\We need someone who can\make the reentry work even after we go off course.\You're the only one with the skill to do that.\I'm begging you, L-elf.\Please! response:	As you wish.
context: Leaders have to be prepared to show a firm hand.\You need Haruto's abilities, don't you?\We need someone who can\make the reentry work even after we go off course.\You're the only one with the skill to do that.\I'm begging you, L-elf.\Please!\As you wish. response:	I won't turn a deaf ear.
context: You need Haruto's abilities, don't you?\We need someone who can\make the reentry work even after we go off course.\You're the only one with the skill to do that.\I'm begging you, L-elf.\Please!\As you wish.\I won't turn a deaf ear. response:	All this time, I've pretended not to hear you.
context: We need someone who can\make the reentry work even after we go off course.\You're the only one with the skill to do that.\I'm begging you, L-elf.\Please!\As you wish.\I won't turn a deaf ear.\All this time, I've pretended not to hear you. response:	Pretended not to see you.
context: make the reentry work even after we go off course.\You're the only one with the skill to do that.\I'm begging you, L-elf.\Please!\As you wish.\I won't turn a deaf ear.\All this time, I've pretended not to hear you.\Pretended not to see you. response:	Help me!
context: You're the only one with the skill to do that.\I'm begging you, L-elf.\Please!\As you wish.\I won't turn a deaf ear.\All this time, I've pretended not to hear you.\Pretended not to see you.\Help me! response:	Help me!
context: I'm begging you, L-elf.\Please!\As you wish.\I won't turn a deaf ear.\All this time, I've pretended not to hear you.\Pretended not to see you.\Help me!\Help me! response:	Help me!
context: Please!\As you wish.\I won't turn a deaf ear.\All this time, I've pretended not to hear you.\Pretended not to see you.\Help me!\Help me!\Help me! response:	Brother...
context: As you wish.\I won't turn a deaf ear.\All this time, I've pretended not to hear you.\Pretended not to see you.\Help me!\Help me!\Help me!\Brother... response:	Akira!
context: I won't turn a deaf ear.\All this time, I've pretended not to hear you.\Pretended not to see you.\Help me!\Help me!\Help me!\Brother...\Akira! response:	Brother!
context: All this time, I've pretended not to hear you.\Pretended not to see you.\Help me!\Help me!\Help me!\Brother...\Akira!\Brother! response:	I won't hide from it anymore!
context: Pretended not to see you.\Help me!\Help me!\Help me!\Brother...\Akira!\Brother!\I won't hide from it anymore! response:	The crime and the punishment, we'll take them on together!
context: Help me!\Help me!\Help me!\Brother...\Akira!\Brother!\I won't hide from it anymore!\The crime and the punishment, we'll take them on together! response:	Because we're family!
context: Help me!\Help me!\Brother...\Akira!\Brother!\I won't hide from it anymore!\The crime and the punishment, we'll take them on together!\Because we're family! response:	Units 1 and 6 are aboard the shuttle!
context: Help me!\Brother...\Akira!\Brother!\I won't hide from it anymore!\The crime and the punishment, we'll take them on together!\Because we're family!\Units 1 and 6 are aboard the shuttle! response:	Satomi!
context: Brother...\Akira!\Brother!\I won't hide from it anymore!\The crime and the punishment, we'll take them on together!\Because we're family!\Units 1 and 6 are aboard the shuttle!\Satomi! response:	Pretty...
context: Akira!\Brother!\I won't hide from it anymore!\The crime and the punishment, we'll take them on together!\Because we're family!\Units 1 and 6 are aboard the shuttle!\Satomi!\Pretty... response:	Akira! Are you okay?! You're okay!
context: Brother!\I won't hide from it anymore!\The crime and the punishment, we'll take them on together!\Because we're family!\Units 1 and 6 are aboard the shuttle!\Satomi!\Pretty...\Akira! Are you okay?! You're okay! response:	Stop talking so much, Brother.
context: I won't hide from it anymore!\The crime and the punishment, we'll take them on together!\Because we're family!\Units 1 and 6 are aboard the shuttle!\Satomi!\Pretty...\Akira! Are you okay?! You're okay!\Stop talking so much, Brother. response:	Hey!
context: The crime and the punishment, we'll take them on together!\Because we're family!\Units 1 and 6 are aboard the shuttle!\Satomi!\Pretty...\Akira! Are you okay?! You're okay!\Stop talking so much, Brother.\Hey! response:	Haruto, are you okay?
context: Because we're family!\Units 1 and 6 are aboard the shuttle!\Satomi!\Pretty...\Akira! Are you okay?! You're okay!\Stop talking so much, Brother.\Hey!\Haruto, are you okay? response:	Haruto?
context: Units 1 and 6 are aboard the shuttle!\Satomi!\Pretty...\Akira! Are you okay?! You're okay!\Stop talking so much, Brother.\Hey!\Haruto, are you okay?\Haruto? response:	His eyes, they...
context: Satomi!\Pretty...\Akira! Are you okay?! You're okay!\Stop talking so much, Brother.\Hey!\Haruto, are you okay?\Haruto?\His eyes, they... response:	- L-elf. - What?
context: Pretty...\Akira! Are you okay?! You're okay!\Stop talking so much, Brother.\Hey!\Haruto, are you okay?\Haruto?\His eyes, they...\- L-elf. - What? response:	Where did you set us down?
context: Akira! Are you okay?! You're okay!\Stop talking so much, Brother.\Hey!\Haruto, are you okay?\Haruto?\His eyes, they...\- L-elf. - What?\Where did you set us down? response:	We went off course.
context: Stop talking so much, Brother.\Hey!\Haruto, are you okay?\Haruto?\His eyes, they...\- L-elf. - What?\Where did you set us down?\We went off course. response:	We're inside Dorssian territory.
context: Hey!\Haruto, are you okay?\Haruto?\His eyes, they...\- L-elf. - What?\Where did you set us down?\We went off course.\We're inside Dorssian territory. response:	Next time, episode 15, Return to Karlstein.
context: Haruto, are you okay?\Haruto?\His eyes, they...\- L-elf. - What?\Where did you set us down?\We went off course.\We're inside Dorssian territory.\Next time, episode 15, Return to Karlstein. response:	Valvrave the Liberator...
context: Haruto?\His eyes, they...\- L-elf. - What?\Where did you set us down?\We went off course.\We're inside Dorssian territory.\Next time, episode 15, Return to Karlstein.\Valvrave the Liberator... response:	The system that will expose the truth of the world.
