context: When Elder Tale was a game, one goal was to make response:	the game world a one-half-scale model of Earth.
context: Right.\Demikas Race/ Human Monk, Lv. 90\It's fine...\Take out the guardian first.\Right!\Die!\No... They'll kill him!\Heal everyone! Now! response:	Right!
context: Demikas Race/ Human Monk, Lv. 90\It's fine...\Take out the guardian first.\Right!\Die!\No... They'll kill him!\Heal everyone! Now!\Right! response:	Heartbeat Healing!
context: It's fine...\Take out the guardian first.\Right!\Die!\No... They'll kill him!\Heal everyone! Now!\Right!\Heartbeat Healing! response:	Druid is one of the healing classes.
context: Take out the guardian first.\Right!\Die!\No... They'll kill him!\Heal everyone! Now!\Right!\Heartbeat Healing!\Druid is one of the healing classes. response:	Nyanta Race/ Cat-man Swashbuckler, Lv. 90
context: Right!\Die!\No... They'll kill him!\Heal everyone! Now!\Right!\Heartbeat Healing!\Druid is one of the healing classes.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90 response:	Once they cast a healing pulse on someone, it remains in effect for a short time.
context: Die!\No... They'll kill him!\Heal everyone! Now!\Right!\Heartbeat Healing!\Druid is one of the healing classes.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\Once they cast a healing pulse on someone, it remains in effect for a short time. response:	Oh, no...
context: No... They'll kill him!\Heal everyone! Now!\Right!\Heartbeat Healing!\Druid is one of the healing classes.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\Once they cast a healing pulse on someone, it remains in effect for a short time.\Oh, no... response:	I can't keep this up!
context: Heal everyone! Now!\Right!\Heartbeat Healing!\Druid is one of the healing classes.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\Once they cast a healing pulse on someone, it remains in effect for a short time.\Oh, no...\I can't keep this up! response:	My level isn't high enough.
context: Right!\Heartbeat Healing!\Druid is one of the healing classes.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\Once they cast a healing pulse on someone, it remains in effect for a short time.\Oh, no...\I can't keep this up!\My level isn't high enough. response:	Don't worry about Naotsugu.
context: Heartbeat Healing!\Druid is one of the healing classes.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\Once they cast a healing pulse on someone, it remains in effect for a short time.\Oh, no...\I can't keep this up!\My level isn't high enough.\Don't worry about Naotsugu. response:	Focus on Nyanta.
context: Druid is one of the healing classes.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\Once they cast a healing pulse on someone, it remains in effect for a short time.\Oh, no...\I can't keep this up!\My level isn't high enough.\Don't worry about Naotsugu.\Focus on Nyanta. response:	But... They're both in danger!
context: Nyanta Race/ Cat-man Swashbuckler, Lv. 90\Once they cast a healing pulse on someone, it remains in effect for a short time.\Oh, no...\I can't keep this up!\My level isn't high enough.\Don't worry about Naotsugu.\Focus on Nyanta.\But... They're both in danger! response:	If you can't do something, then don't.
context: Once they cast a healing pulse on someone, it remains in effect for a short time.\Oh, no...\I can't keep this up!\My level isn't high enough.\Don't worry about Naotsugu.\Focus on Nyanta.\But... They're both in danger!\If you can't do something, then don't. response:	Focus on what you can.
context: Oh, no...\I can't keep this up!\My level isn't high enough.\Don't worry about Naotsugu.\Focus on Nyanta.\But... They're both in danger!\If you can't do something, then don't.\Focus on what you can. response:	Heal!
context: I can't keep this up!\My level isn't high enough.\Don't worry about Naotsugu.\Focus on Nyanta.\But... They're both in danger!\If you can't do something, then don't.\Focus on what you can.\Heal! response:	What's this?
context: My level isn't high enough.\Don't worry about Naotsugu.\Focus on Nyanta.\But... They're both in danger!\If you can't do something, then don't.\Focus on what you can.\Heal!\What's this? response:	Must be hard to get by with one crappy healer,
context: Don't worry about Naotsugu.\Focus on Nyanta.\But... They're both in danger!\If you can't do something, then don't.\Focus on what you can.\Heal!\What's this?\Must be hard to get by with one crappy healer, response:	cat...
context: Focus on Nyanta.\But... They're both in danger!\If you can't do something, then don't.\Focus on what you can.\Heal!\What's this?\Must be hard to get by with one crappy healer,\cat... response:	No, it isn't!
context: But... They're both in danger!\If you can't do something, then don't.\Focus on what you can.\Heal!\What's this?\Must be hard to get by with one crappy healer,\cat...\No, it isn't! response:	Just shut up.
context: If you can't do something, then don't.\Focus on what you can.\Heal!\What's this?\Must be hard to get by with one crappy healer,\cat...\No, it isn't!\Just shut up. response:	Your friend, the warrior, is about to go down!
context: Focus on what you can.\Heal!\What's this?\Must be hard to get by with one crappy healer,\cat...\No, it isn't!\Just shut up.\Your friend, the warrior, is about to go down! response:	Naotsugu
context: Heal!\What's this?\Must be hard to get by with one crappy healer,\cat...\No, it isn't!\Just shut up.\Your friend, the warrior, is about to go down!\Naotsugu response:	Naotsugu Nyanta
context: What's this?\Must be hard to get by with one crappy healer,\cat...\No, it isn't!\Just shut up.\Your friend, the warrior, is about to go down!\Naotsugu\Naotsugu Nyanta response:	Shiro!
context: Must be hard to get by with one crappy healer,\cat...\No, it isn't!\Just shut up.\Your friend, the warrior, is about to go down!\Naotsugu\Naotsugu Nyanta\Shiro! response:	Ready the spell.
context: cat...\No, it isn't!\Just shut up.\Your friend, the warrior, is about to go down!\Naotsugu\Naotsugu Nyanta\Shiro!\Ready the spell. response:	R-Right.
context: No, it isn't!\Just shut up.\Your friend, the warrior, is about to go down!\Naotsugu\Naotsugu Nyanta\Shiro!\Ready the spell.\R-Right. response:	Castle of Stone!
context: Just shut up.\Your friend, the warrior, is about to go down!\Naotsugu\Naotsugu Nyanta\Shiro!\Ready the spell.\R-Right.\Castle of Stone! response:	No damage?
context: Your friend, the warrior, is about to go down!\Naotsugu\Naotsugu Nyanta\Shiro!\Ready the spell.\R-Right.\Castle of Stone!\No damage? response:	Castle of Stone...
context: Naotsugu\Naotsugu Nyanta\Shiro!\Ready the spell.\R-Right.\Castle of Stone!\No damage?\Castle of Stone... response:	This spell blocks all damage for a ten-second period.
context: Naotsugu Nyanta\Shiro!\Ready the spell.\R-Right.\Castle of Stone!\No damage?\Castle of Stone...\This spell blocks all damage for a ten-second period. response:	An emergency-defense skill only available to guardians.
context: Shiro!\Ready the spell.\R-Right.\Castle of Stone!\No damage?\Castle of Stone...\This spell blocks all damage for a ten-second period.\An emergency-defense skill only available to guardians. response:	Now.
context: Ready the spell.\R-Right.\Castle of Stone!\No damage?\Castle of Stone...\This spell blocks all damage for a ten-second period.\An emergency-defense skill only available to guardians.\Now. response:	Cast all your healing spells on Naotsugu!
context: R-Right.\Castle of Stone!\No damage?\Castle of Stone...\This spell blocks all damage for a ten-second period.\An emergency-defense skill only available to guardians.\Now.\Cast all your healing spells on Naotsugu! response:	Okay.
context: Castle of Stone!\No damage?\Castle of Stone...\This spell blocks all damage for a ten-second period.\An emergency-defense skill only available to guardians.\Now.\Cast all your healing spells on Naotsugu!\Okay. response:	Healing Wind!
context: No damage?\Castle of Stone...\This spell blocks all damage for a ten-second period.\An emergency-defense skill only available to guardians.\Now.\Cast all your healing spells on Naotsugu!\Okay.\Healing Wind! response:	Naotsugu
context: Castle of Stone...\This spell blocks all damage for a ten-second period.\An emergency-defense skill only available to guardians.\Now.\Cast all your healing spells on Naotsugu!\Okay.\Healing Wind!\Naotsugu response:	Buying time won't save you, Serara.
context: This spell blocks all damage for a ten-second period.\An emergency-defense skill only available to guardians.\Now.\Cast all your healing spells on Naotsugu!\Okay.\Healing Wind!\Naotsugu\Buying time won't save you, Serara. response:	Castle of Stone has a ten-minute cool down!
context: An emergency-defense skill only available to guardians.\Now.\Cast all your healing spells on Naotsugu!\Okay.\Healing Wind!\Naotsugu\Buying time won't save you, Serara.\Castle of Stone has a ten-minute cool down! response:	If he's using a skill he can't use again for another ten minutes,
context: Now.\Cast all your healing spells on Naotsugu!\Okay.\Healing Wind!\Naotsugu\Buying time won't save you, Serara.\Castle of Stone has a ten-minute cool down!\If he's using a skill he can't use again for another ten minutes, response:	that guardian must be out of options.
context: Cast all your healing spells on Naotsugu!\Okay.\Healing Wind!\Naotsugu\Buying time won't save you, Serara.\Castle of Stone has a ten-minute cool down!\If he's using a skill he can't use again for another ten minutes,\that guardian must be out of options. response:	He must be starting to panic.
context: Okay.\Healing Wind!\Naotsugu\Buying time won't save you, Serara.\Castle of Stone has a ten-minute cool down!\If he's using a skill he can't use again for another ten minutes,\that guardian must be out of options.\He must be starting to panic. response:	When the spell runs out, you're dead.
context: Healing Wind!\Naotsugu\Buying time won't save you, Serara.\Castle of Stone has a ten-minute cool down!\If he's using a skill he can't use again for another ten minutes,\that guardian must be out of options.\He must be starting to panic.\When the spell runs out, you're dead. response:	You've made this harder than it had to be, Serara.
context: Naotsugu\Buying time won't save you, Serara.\Castle of Stone has a ten-minute cool down!\If he's using a skill he can't use again for another ten minutes,\that guardian must be out of options.\He must be starting to panic.\When the spell runs out, you're dead.\You've made this harder than it had to be, Serara. response:	Serara Naotsugu
context: Buying time won't save you, Serara.\Castle of Stone has a ten-minute cool down!\If he's using a skill he can't use again for another ten minutes,\that guardian must be out of options.\He must be starting to panic.\When the spell runs out, you're dead.\You've made this harder than it had to be, Serara.\Serara Naotsugu response:	Quickly...
context: Castle of Stone has a ten-minute cool down!\If he's using a skill he can't use again for another ten minutes,\that guardian must be out of options.\He must be starting to panic.\When the spell runs out, you're dead.\You've made this harder than it had to be, Serara.\Serara Naotsugu\Quickly... response:	Heal quickly!
context: If he's using a skill he can't use again for another ten minutes,\that guardian must be out of options.\He must be starting to panic.\When the spell runs out, you're dead.\You've made this harder than it had to be, Serara.\Serara Naotsugu\Quickly...\Heal quickly! response:	Tiger Echo Fist!
context: that guardian must be out of options.\He must be starting to panic.\When the spell runs out, you're dead.\You've made this harder than it had to be, Serara.\Serara Naotsugu\Quickly...\Heal quickly!\Tiger Echo Fist! response:	Nyanta!
context: He must be starting to panic.\When the spell runs out, you're dead.\You've made this harder than it had to be, Serara.\Serara Naotsugu\Quickly...\Heal quickly!\Tiger Echo Fist!\Nyanta! response:	Think it's about time...
context: When the spell runs out, you're dead.\You've made this harder than it had to be, Serara.\Serara Naotsugu\Quickly...\Heal quickly!\Tiger Echo Fist!\Nyanta!\Think it's about time... response:	Shiroe?
context: You've made this harder than it had to be, Serara.\Serara Naotsugu\Quickly...\Heal quickly!\Tiger Echo Fist!\Nyanta!\Think it's about time...\Shiroe? response:	Here we go, Chief Nyanta.
context: Serara Naotsugu\Quickly...\Heal quickly!\Tiger Echo Fist!\Nyanta!\Think it's about time...\Shiroe?\Here we go, Chief Nyanta. response:	What are you talking about?
context: Quickly...\Heal quickly!\Tiger Echo Fist!\Nyanta!\Think it's about time...\Shiroe?\Here we go, Chief Nyanta.\What are you talking about? response:	Thorn Bind Hostage!
context: Heal quickly!\Tiger Echo Fist!\Nyanta!\Think it's about time...\Shiroe?\Here we go, Chief Nyanta.\What are you talking about?\Thorn Bind Hostage! response:	A root?
context: Tiger Echo Fist!\Nyanta!\Think it's about time...\Shiroe?\Here we go, Chief Nyanta.\What are you talking about?\Thorn Bind Hostage!\A root? response:	That won't work on me!
context: Nyanta!\Think it's about time...\Shiroe?\Here we go, Chief Nyanta.\What are you talking about?\Thorn Bind Hostage!\A root?\That won't work on me! response:	Got you!
context: Think it's about time...\Shiroe?\Here we go, Chief Nyanta.\What are you talking about?\Thorn Bind Hostage!\A root?\That won't work on me!\Got you! response:	I-Impossible...
context: Shiroe?\Here we go, Chief Nyanta.\What are you talking about?\Thorn Bind Hostage!\A root?\That won't work on me!\Got you!\I-Impossible... response:	Our guild master...
context: Here we go, Chief Nyanta.\What are you talking about?\Thorn Bind Hostage!\A root?\That won't work on me!\Got you!\I-Impossible...\Our guild master... response:	Demikas
context: What are you talking about?\Thorn Bind Hostage!\A root?\That won't work on me!\Got you!\I-Impossible...\Our guild master...\Demikas response:	His entire HP vanished in an instant?
context: Thorn Bind Hostage!\A root?\That won't work on me!\Got you!\I-Impossible...\Our guild master...\Demikas\His entire HP vanished in an instant? response:	What did you do?
context: A root?\That won't work on me!\Got you!\I-Impossible...\Our guild master...\Demikas\His entire HP vanished in an instant?\What did you do? response:	Healers, heal!
context: That won't work on me!\Got you!\I-Impossible...\Our guild master...\Demikas\His entire HP vanished in an instant?\What did you do?\Healers, heal! response:	We can still
context: Got you!\I-Impossible...\Our guild master...\Demikas\His entire HP vanished in an instant?\What did you do?\Healers, heal!\We can still response:	Crap...
context: I-Impossible...\Our guild master...\Demikas\His entire HP vanished in an instant?\What did you do?\Healers, heal!\We can still\Crap... response:	A single attack
context: Our guild master...\Demikas\His entire HP vanished in an instant?\What did you do?\Healers, heal!\We can still\Crap...\A single attack response:	from a swashbuckler could never defeat a level-90 monk.
context: Demikas\His entire HP vanished in an instant?\What did you do?\Healers, heal!\We can still\Crap...\A single attack\from a swashbuckler could never defeat a level-90 monk. response:	Even an assassin, which boasts the highest attack power
context: His entire HP vanished in an instant?\What did you do?\Healers, heal!\We can still\Crap...\A single attack\from a swashbuckler could never defeat a level-90 monk.\Even an assassin, which boasts the highest attack power response:	among weapon-specialization classes, couldn't do that.
context: What did you do?\Healers, heal!\We can still\Crap...\A single attack\from a swashbuckler could never defeat a level-90 monk.\Even an assassin, which boasts the highest attack power\among weapon-specialization classes, couldn't do that. response:	Most likely, the secret lies in my lord's spell,
context: Healers, heal!\We can still\Crap...\A single attack\from a swashbuckler could never defeat a level-90 monk.\Even an assassin, which boasts the highest attack power\among weapon-specialization classes, couldn't do that.\Most likely, the secret lies in my lord's spell, response:	Thorn Bind Hostage.
context: We can still\Crap...\A single attack\from a swashbuckler could never defeat a level-90 monk.\Even an assassin, which boasts the highest attack power\among weapon-specialization classes, couldn't do that.\Most likely, the secret lies in my lord's spell,\Thorn Bind Hostage. response:	Those shining thorns deal 1,000 damage to the target
context: Crap...\A single attack\from a swashbuckler could never defeat a level-90 monk.\Even an assassin, which boasts the highest attack power\among weapon-specialization classes, couldn't do that.\Most likely, the secret lies in my lord's spell,\Thorn Bind Hostage.\Those shining thorns deal 1,000 damage to the target response:	for each hit by an ally.
context: A single attack\from a swashbuckler could never defeat a level-90 monk.\Even an assassin, which boasts the highest attack power\among weapon-specialization classes, couldn't do that.\Most likely, the secret lies in my lord's spell,\Thorn Bind Hostage.\Those shining thorns deal 1,000 damage to the target\for each hit by an ally. response:	Destroying all five thorns does 5,000 damage.
context: from a swashbuckler could never defeat a level-90 monk.\Even an assassin, which boasts the highest attack power\among weapon-specialization classes, couldn't do that.\Most likely, the secret lies in my lord's spell,\Thorn Bind Hostage.\Those shining thorns deal 1,000 damage to the target\for each hit by an ally.\Destroying all five thorns does 5,000 damage. response:	Even with the sword damage,
context: Even an assassin, which boasts the highest attack power\among weapon-specialization classes, couldn't do that.\Most likely, the secret lies in my lord's spell,\Thorn Bind Hostage.\Those shining thorns deal 1,000 damage to the target\for each hit by an ally.\Destroying all five thorns does 5,000 damage.\Even with the sword damage, response:	that isn't enough to beat Demikas...
context: among weapon-specialization classes, couldn't do that.\Most likely, the secret lies in my lord's spell,\Thorn Bind Hostage.\Those shining thorns deal 1,000 damage to the target\for each hit by an ally.\Destroying all five thorns does 5,000 damage.\Even with the sword damage,\that isn't enough to beat Demikas... response:	Which probably means that...
context: Most likely, the secret lies in my lord's spell,\Thorn Bind Hostage.\Those shining thorns deal 1,000 damage to the target\for each hit by an ally.\Destroying all five thorns does 5,000 damage.\Even with the sword damage,\that isn't enough to beat Demikas...\Which probably means that... response:	Monk, Lv. 90
context: Thorn Bind Hostage.\Those shining thorns deal 1,000 damage to the target\for each hit by an ally.\Destroying all five thorns does 5,000 damage.\Even with the sword damage,\that isn't enough to beat Demikas...\Which probably means that...\Monk, Lv. 90 response:	Thorn Bind Hostage has a fifteen-second cool down.
context: Those shining thorns deal 1,000 damage to the target\for each hit by an ally.\Destroying all five thorns does 5,000 damage.\Even with the sword damage,\that isn't enough to beat Demikas...\Which probably means that...\Monk, Lv. 90\Thorn Bind Hostage has a fifteen-second cool down. response:	Electrical Fuzz Thorn Bind Hostage (seconds left) Cast on Beat Soul Weapon
context: for each hit by an ally.\Destroying all five thorns does 5,000 damage.\Even with the sword damage,\that isn't enough to beat Demikas...\Which probably means that...\Monk, Lv. 90\Thorn Bind Hostage has a fifteen-second cool down.\Electrical Fuzz Thorn Bind Hostage (seconds left) Cast on Beat Soul Weapon response:	The swashbuckler waited fourteen seconds to begin his attack.
context: Destroying all five thorns does 5,000 damage.\Even with the sword damage,\that isn't enough to beat Demikas...\Which probably means that...\Monk, Lv. 90\Thorn Bind Hostage has a fifteen-second cool down.\Electrical Fuzz Thorn Bind Hostage (seconds left) Cast on Beat Soul Weapon\The swashbuckler waited fourteen seconds to begin his attack. response:	He hit nine times.
context: Even with the sword damage,\that isn't enough to beat Demikas...\Which probably means that...\Monk, Lv. 90\Thorn Bind Hostage has a fifteen-second cool down.\Electrical Fuzz Thorn Bind Hostage (seconds left) Cast on Beat Soul Weapon\The swashbuckler waited fourteen seconds to begin his attack.\He hit nine times. response:	First five...
context: that isn't enough to beat Demikas...\Which probably means that...\Monk, Lv. 90\Thorn Bind Hostage has a fifteen-second cool down.\Electrical Fuzz Thorn Bind Hostage (seconds left) Cast on Beat Soul Weapon\The swashbuckler waited fourteen seconds to begin his attack.\He hit nine times.\First five... response:	One attack takes.22 seconds.
context: Which probably means that...\Monk, Lv. 90\Thorn Bind Hostage has a fifteen-second cool down.\Electrical Fuzz Thorn Bind Hostage (seconds left) Cast on Beat Soul Weapon\The swashbuckler waited fourteen seconds to begin his attack.\He hit nine times.\First five...\One attack takes.22 seconds. response:	And after he destroyed the fifth,
context: Monk, Lv. 90\Thorn Bind Hostage has a fifteen-second cool down.\Electrical Fuzz Thorn Bind Hostage (seconds left) Cast on Beat Soul Weapon\The swashbuckler waited fourteen seconds to begin his attack.\He hit nine times.\First five...\One attack takes.22 seconds.\And after he destroyed the fifth, response:	my lord recast the thorns.
context: Thorn Bind Hostage has a fifteen-second cool down.\Electrical Fuzz Thorn Bind Hostage (seconds left) Cast on Beat Soul Weapon\The swashbuckler waited fourteen seconds to begin his attack.\He hit nine times.\First five...\One attack takes.22 seconds.\And after he destroyed the fifth,\my lord recast the thorns. response:	And then he cut four...
context: Electrical Fuzz Thorn Bind Hostage (seconds left) Cast on Beat Soul Weapon\The swashbuckler waited fourteen seconds to begin his attack.\He hit nine times.\First five...\One attack takes.22 seconds.\And after he destroyed the fifth,\my lord recast the thorns.\And then he cut four... response:	I didn't see it clearly.
context: The swashbuckler waited fourteen seconds to begin his attack.\He hit nine times.\First five...\One attack takes.22 seconds.\And after he destroyed the fifth,\my lord recast the thorns.\And then he cut four...\I didn't see it clearly. response:	But that's the only explanation.
context: He hit nine times.\First five...\One attack takes.22 seconds.\And after he destroyed the fifth,\my lord recast the thorns.\And then he cut four...\I didn't see it clearly.\But that's the only explanation. response:	But is it really possible?
context: First five...\One attack takes.22 seconds.\And after he destroyed the fifth,\my lord recast the thorns.\And then he cut four...\I didn't see it clearly.\But that's the only explanation.\But is it really possible? response:	That must be why Naotsugu used Castle of Stone.
context: One attack takes.22 seconds.\And after he destroyed the fifth,\my lord recast the thorns.\And then he cut four...\I didn't see it clearly.\But that's the only explanation.\But is it really possible?\That must be why Naotsugu used Castle of Stone. response:	He knew this was their plan.
context: And after he destroyed the fifth,\my lord recast the thorns.\And then he cut four...\I didn't see it clearly.\But that's the only explanation.\But is it really possible?\That must be why Naotsugu used Castle of Stone.\He knew this was their plan. response:	For them to work together that way, without coordinating ahead of time...
context: my lord recast the thorns.\And then he cut four...\I didn't see it clearly.\But that's the only explanation.\But is it really possible?\That must be why Naotsugu used Castle of Stone.\He knew this was their plan.\For them to work together that way, without coordinating ahead of time... response:	I could not do that...
context: And then he cut four...\I didn't see it clearly.\But that's the only explanation.\But is it really possible?\That must be why Naotsugu used Castle of Stone.\He knew this was their plan.\For them to work together that way, without coordinating ahead of time...\I could not do that... response:	Put away your swords!
context: I didn't see it clearly.\But that's the only explanation.\But is it really possible?\That must be why Naotsugu used Castle of Stone.\He knew this was their plan.\For them to work together that way, without coordinating ahead of time...\I could not do that...\Put away your swords! response:	We came through the Depths of Palm.
context: But that's the only explanation.\But is it really possible?\That must be why Naotsugu used Castle of Stone.\He knew this was their plan.\For them to work together that way, without coordinating ahead of time...\I could not do that...\Put away your swords!\We came through the Depths of Palm. response:	Akihabara and this city are no longer so far apart as to prevent travel between them.
context: But is it really possible?\That must be why Naotsugu used Castle of Stone.\He knew this was their plan.\For them to work together that way, without coordinating ahead of time...\I could not do that...\Put away your swords!\We came through the Depths of Palm.\Akihabara and this city are no longer so far apart as to prevent travel between them. response:	You're finished causing this kind of trouble!
context: That must be why Naotsugu used Castle of Stone.\He knew this was their plan.\For them to work together that way, without coordinating ahead of time...\I could not do that...\Put away your swords!\We came through the Depths of Palm.\Akihabara and this city are no longer so far apart as to prevent travel between them.\You're finished causing this kind of trouble! response:	We've won this battle.
context: He knew this was their plan.\For them to work together that way, without coordinating ahead of time...\I could not do that...\Put away your swords!\We came through the Depths of Palm.\Akihabara and this city are no longer so far apart as to prevent travel between them.\You're finished causing this kind of trouble!\We've won this battle. response:	Or do you still want to fight, Demikas?
context: For them to work together that way, without coordinating ahead of time...\I could not do that...\Put away your swords!\We came through the Depths of Palm.\Akihabara and this city are no longer so far apart as to prevent travel between them.\You're finished causing this kind of trouble!\We've won this battle.\Or do you still want to fight, Demikas? response:	Shut your mouth...
context: I could not do that...\Put away your swords!\We came through the Depths of Palm.\Akihabara and this city are no longer so far apart as to prevent travel between them.\You're finished causing this kind of trouble!\We've won this battle.\Or do you still want to fight, Demikas?\Shut your mouth... response:	I'm sending you all to the Cathedral.
context: Put away your swords!\We came through the Depths of Palm.\Akihabara and this city are no longer so far apart as to prevent travel between them.\You're finished causing this kind of trouble!\We've won this battle.\Or do you still want to fight, Demikas?\Shut your mouth...\I'm sending you all to the Cathedral. response:	Over and over again...
context: We came through the Depths of Palm.\Akihabara and this city are no longer so far apart as to prevent travel between them.\You're finished causing this kind of trouble!\We've won this battle.\Or do you still want to fight, Demikas?\Shut your mouth...\I'm sending you all to the Cathedral.\Over and over again... response:	Until you break!
context: Akihabara and this city are no longer so far apart as to prevent travel between them.\You're finished causing this kind of trouble!\We've won this battle.\Or do you still want to fight, Demikas?\Shut your mouth...\I'm sending you all to the Cathedral.\Over and over again...\Until you break! response:	Stop!
context: You're finished causing this kind of trouble!\We've won this battle.\Or do you still want to fight, Demikas?\Shut your mouth...\I'm sending you all to the Cathedral.\Over and over again...\Until you break!\Stop! response:	Seems you're the one taking a trip to the Cathedral.
context: We've won this battle.\Or do you still want to fight, Demikas?\Shut your mouth...\I'm sending you all to the Cathedral.\Over and over again...\Until you break!\Stop!\Seems you're the one taking a trip to the Cathedral. response:	Shiroe/ Adventurer
context: Or do you still want to fight, Demikas?\Shut your mouth...\I'm sending you all to the Cathedral.\Over and over again...\Until you break!\Stop!\Seems you're the one taking a trip to the Cathedral.\Shiroe/ Adventurer response:	I won't forget you...
context: Shut your mouth...\I'm sending you all to the Cathedral.\Over and over again...\Until you break!\Stop!\Seems you're the one taking a trip to the Cathedral.\Shiroe/ Adventurer\I won't forget you... response:	Enchanter Shiroe,
context: I'm sending you all to the Cathedral.\Over and over again...\Until you break!\Stop!\Seems you're the one taking a trip to the Cathedral.\Shiroe/ Adventurer\I won't forget you...\Enchanter Shiroe, response:	I won't forget your face!
context: Over and over again...\Until you break!\Stop!\Seems you're the one taking a trip to the Cathedral.\Shiroe/ Adventurer\I won't forget you...\Enchanter Shiroe,\I won't forget your face! response:	Serara, you're coming, right?
context: Until you break!\Stop!\Seems you're the one taking a trip to the Cathedral.\Shiroe/ Adventurer\I won't forget you...\Enchanter Shiroe,\I won't forget your face!\Serara, you're coming, right? response:	Akatsuki!
context: Stop!\Seems you're the one taking a trip to the Cathedral.\Shiroe/ Adventurer\I won't forget you...\Enchanter Shiroe,\I won't forget your face!\Serara, you're coming, right?\Akatsuki! response:	Let's go.
context: Seems you're the one taking a trip to the Cathedral.\Shiroe/ Adventurer\I won't forget you...\Enchanter Shiroe,\I won't forget your face!\Serara, you're coming, right?\Akatsuki!\Let's go. response:	Time to take off!
context: Shiroe/ Adventurer\I won't forget you...\Enchanter Shiroe,\I won't forget your face!\Serara, you're coming, right?\Akatsuki!\Let's go.\Time to take off! response:	We're getting out of here!
context: I won't forget you...\Enchanter Shiroe,\I won't forget your face!\Serara, you're coming, right?\Akatsuki!\Let's go.\Time to take off!\We're getting out of here! response:	My lord...
context: Enchanter Shiroe,\I won't forget your face!\Serara, you're coming, right?\Akatsuki!\Let's go.\Time to take off!\We're getting out of here!\My lord... response:	What is it, Akatsuki?
context: I won't forget your face!\Serara, you're coming, right?\Akatsuki!\Let's go.\Time to take off!\We're getting out of here!\My lord...\What is it, Akatsuki? response:	Nothing.
context: Serara, you're coming, right?\Akatsuki!\Let's go.\Time to take off!\We're getting out of here!\My lord...\What is it, Akatsuki?\Nothing. response:	Let's go home.
context: Akatsuki!\Let's go.\Time to take off!\We're getting out of here!\My lord...\What is it, Akatsuki?\Nothing.\Let's go home. response:	To Akihabara.
context: Let's go.\Time to take off!\We're getting out of here!\My lord...\What is it, Akatsuki?\Nothing.\Let's go home.\To Akihabara. response:	Yeah.
context: Time to take off!\We're getting out of here!\My lord...\What is it, Akatsuki?\Nothing.\Let's go home.\To Akihabara.\Yeah. response:	On their way back to Akihabara,
context: We're getting out of here!\My lord...\What is it, Akatsuki?\Nothing.\Let's go home.\To Akihabara.\Yeah.\On their way back to Akihabara, response:	Shiroe and his friends enjoy a moment of peace.
context: My lord...\What is it, Akatsuki?\Nothing.\Let's go home.\To Akihabara.\Yeah.\On their way back to Akihabara,\Shiroe and his friends enjoy a moment of peace. response:	And then Nyanta reveals a shocking truth.
context: What is it, Akatsuki?\Nothing.\Let's go home.\To Akihabara.\Yeah.\On their way back to Akihabara,\Shiroe and his friends enjoy a moment of peace.\And then Nyanta reveals a shocking truth. response:	A secret about this world that will change everything they thought they knew.
context: Nothing.\Let's go home.\To Akihabara.\Yeah.\On their way back to Akihabara,\Shiroe and his friends enjoy a moment of peace.\And then Nyanta reveals a shocking truth.\A secret about this world that will change everything they thought they knew. response:	Meanwhile, young children are spending their days
context: Let's go home.\To Akihabara.\Yeah.\On their way back to Akihabara,\Shiroe and his friends enjoy a moment of peace.\And then Nyanta reveals a shocking truth.\A secret about this world that will change everything they thought they knew.\Meanwhile, young children are spending their days response:	amidst endless despair in Akihabara.
context: To Akihabara.\Yeah.\On their way back to Akihabara,\Shiroe and his friends enjoy a moment of peace.\And then Nyanta reveals a shocking truth.\A secret about this world that will change everything they thought they knew.\Meanwhile, young children are spending their days\amidst endless despair in Akihabara. response:	Next time: Return to Akihabara.
context: Yeah.\On their way back to Akihabara,\Shiroe and his friends enjoy a moment of peace.\And then Nyanta reveals a shocking truth.\A secret about this world that will change everything they thought they knew.\Meanwhile, young children are spending their days\amidst endless despair in Akihabara.\Next time: Return to Akihabara. response:	Return to Akihabara
context: On their way back to Akihabara,\Shiroe and his friends enjoy a moment of peace.\And then Nyanta reveals a shocking truth.\A secret about this world that will change everything they thought they knew.\Meanwhile, young children are spending their days\amidst endless despair in Akihabara.\Next time: Return to Akihabara.\Return to Akihabara response:	This is our reality.
