context: Polishing my body and soul... response:	I want you...
context: It's a little girl who tamed a fox.\So she keeps getting lost.\A goddess getting lost?\Yeah.\That's why the Bonbori Festival takes places in October.\Bonbori Festival...?\October.\On the day when all of the gods in Japan return to Izumo, response:	everyone holds a bonbori up high to make a path.
context: So she keeps getting lost.\A goddess getting lost?\Yeah.\That's why the Bonbori Festival takes places in October.\Bonbori Festival...?\October.\On the day when all of the gods in Japan return to Izumo,\everyone holds a bonbori up high to make a path. response:	Wow...
context: A goddess getting lost?\Yeah.\That's why the Bonbori Festival takes places in October.\Bonbori Festival...?\October.\On the day when all of the gods in Japan return to Izumo,\everyone holds a bonbori up high to make a path.\Wow... response:	In order to prevent the gods from straying from their paths.
context: Yeah.\That's why the Bonbori Festival takes places in October.\Bonbori Festival...?\October.\On the day when all of the gods in Japan return to Izumo,\everyone holds a bonbori up high to make a path.\Wow...\In order to prevent the gods from straying from their paths. response:	A path...!
context: That's why the Bonbori Festival takes places in October.\Bonbori Festival...?\October.\On the day when all of the gods in Japan return to Izumo,\everyone holds a bonbori up high to make a path.\Wow...\In order to prevent the gods from straying from their paths.\A path...! response:	So pretty...
context: Bonbori Festival...?\October.\On the day when all of the gods in Japan return to Izumo,\everyone holds a bonbori up high to make a path.\Wow...\In order to prevent the gods from straying from their paths.\A path...!\So pretty... response:	That must be a really pretty festival, Nakochi!
context: October.\On the day when all of the gods in Japan return to Izumo,\everyone holds a bonbori up high to make a path.\Wow...\In order to prevent the gods from straying from their paths.\A path...!\So pretty...\That must be a really pretty festival, Nakochi! response:	Nakochi?
context: On the day when all of the gods in Japan return to Izumo,\everyone holds a bonbori up high to make a path.\Wow...\In order to prevent the gods from straying from their paths.\A path...!\So pretty...\That must be a really pretty festival, Nakochi!\Nakochi? response:	Minko is Minchi, so I figured you can be Nakochi.
context: everyone holds a bonbori up high to make a path.\Wow...\In order to prevent the gods from straying from their paths.\A path...!\So pretty...\That must be a really pretty festival, Nakochi!\Nakochi?\Minko is Minchi, so I figured you can be Nakochi. response:	Is it going to bother you?
context: Wow...\In order to prevent the gods from straying from their paths.\A path...!\So pretty...\That must be a really pretty festival, Nakochi!\Nakochi?\Minko is Minchi, so I figured you can be Nakochi.\Is it going to bother you? response:	No!
context: In order to prevent the gods from straying from their paths.\A path...!\So pretty...\That must be a really pretty festival, Nakochi!\Nakochi?\Minko is Minchi, so I figured you can be Nakochi.\Is it going to bother you?\No! response:	I'm really happy to be given a nickname.
context: A path...!\So pretty...\That must be a really pretty festival, Nakochi!\Nakochi?\Minko is Minchi, so I figured you can be Nakochi.\Is it going to bother you?\No!\I'm really happy to be given a nickname. response:	Y-Yeah?
context: So pretty...\That must be a really pretty festival, Nakochi!\Nakochi?\Minko is Minchi, so I figured you can be Nakochi.\Is it going to bother you?\No!\I'm really happy to be given a nickname.\Y-Yeah? response:	I've always wanted
context: That must be a really pretty festival, Nakochi!\Nakochi?\Minko is Minchi, so I figured you can be Nakochi.\Is it going to bother you?\No!\I'm really happy to be given a nickname.\Y-Yeah?\I've always wanted response:	to have friends I can use nicknames with.
context: Nakochi?\Minko is Minchi, so I figured you can be Nakochi.\Is it going to bother you?\No!\I'm really happy to be given a nickname.\Y-Yeah?\I've always wanted\to have friends I can use nicknames with. response:	Tsurugi Minko Minmi Minmin Mimoh Minpo
context: Minko is Minchi, so I figured you can be Nakochi.\Is it going to bother you?\No!\I'm really happy to be given a nickname.\Y-Yeah?\I've always wanted\to have friends I can use nicknames with.\Tsurugi Minko Minmi Minmin Mimoh Minpo response:	But I could never come up with anything good.
context: Is it going to bother you?\No!\I'm really happy to be given a nickname.\Y-Yeah?\I've always wanted\to have friends I can use nicknames with.\Tsurugi Minko Minmi Minmin Mimoh Minpo\But I could never come up with anything good. response:	Minko-chan.
context: No!\I'm really happy to be given a nickname.\Y-Yeah?\I've always wanted\to have friends I can use nicknames with.\Tsurugi Minko Minmi Minmin Mimoh Minpo\But I could never come up with anything good.\Minko-chan. response:	Minchan.
context: I'm really happy to be given a nickname.\Y-Yeah?\I've always wanted\to have friends I can use nicknames with.\Tsurugi Minko Minmi Minmin Mimoh Minpo\But I could never come up with anything good.\Minko-chan.\Minchan. response:	Minmin...
context: Y-Yeah?\I've always wanted\to have friends I can use nicknames with.\Tsurugi Minko Minmi Minmin Mimoh Minpo\But I could never come up with anything good.\Minko-chan.\Minchan.\Minmin... response:	Minchan
context: I've always wanted\to have friends I can use nicknames with.\Tsurugi Minko Minmi Minmin Mimoh Minpo\But I could never come up with anything good.\Minko-chan.\Minchan.\Minmin...\Minchan response:	Okay.
context: to have friends I can use nicknames with.\Tsurugi Minko Minmi Minmin Mimoh Minpo\But I could never come up with anything good.\Minko-chan.\Minchan.\Minmin...\Minchan\Okay. response:	M-Minchi-
context: Tsurugi Minko Minmi Minmin Mimoh Minpo\But I could never come up with anything good.\Minko-chan.\Minchan.\Minmin...\Minchan\Okay.\M-Minchi- response:	I-I couldn't finish it!
context: But I could never come up with anything good.\Minko-chan.\Minchan.\Minmin...\Minchan\Okay.\M-Minchi-\I-I couldn't finish it! response:	Minchi just doesn't sound right!
context: Minko-chan.\Minchan.\Minmin...\Minchan\Okay.\M-Minchi-\I-I couldn't finish it!\Minchi just doesn't sound right! response:	It just doesn't!
context: Minchan.\Minmin...\Minchan\Okay.\M-Minchi-\I-I couldn't finish it!\Minchi just doesn't sound right!\It just doesn't! response:	What is it, Nako?
context: Minmin...\Minchan\Okay.\M-Minchi-\I-I couldn't finish it!\Minchi just doesn't sound right!\It just doesn't!\What is it, Nako? response:	Well,
context: Minchan\Okay.\M-Minchi-\I-I couldn't finish it!\Minchi just doesn't sound right!\It just doesn't!\What is it, Nako?\Well, response:	about the Mist Room's breakfast tomorrow,
context: Okay.\M-Minchi-\I-I couldn't finish it!\Minchi just doesn't sound right!\It just doesn't!\What is it, Nako?\Well,\about the Mist Room's breakfast tomorrow, response:	Wow, that's interesting!
context: M-Minchi-\I-I couldn't finish it!\Minchi just doesn't sound right!\It just doesn't!\What is it, Nako?\Well,\about the Mist Room's breakfast tomorrow,\Wow, that's interesting! response:	It's not...
context: I-I couldn't finish it!\Minchi just doesn't sound right!\It just doesn't!\What is it, Nako?\Well,\about the Mist Room's breakfast tomorrow,\Wow, that's interesting!\It's not... response:	I wonder if people around here
context: Minchi just doesn't sound right!\It just doesn't!\What is it, Nako?\Well,\about the Mist Room's breakfast tomorrow,\Wow, that's interesting!\It's not...\I wonder if people around here response:	tend to write down their thoughts.
context: It just doesn't!\What is it, Nako?\Well,\about the Mist Room's breakfast tomorrow,\Wow, that's interesting!\It's not...\I wonder if people around here\tend to write down their thoughts. response:	Minko did the same with balut, too.
context: What is it, Nako?\Well,\about the Mist Room's breakfast tomorrow,\Wow, that's interesting!\It's not...\I wonder if people around here\tend to write down their thoughts.\Minko did the same with balut, too. response:	Thoughtful people...
context: Well,\about the Mist Room's breakfast tomorrow,\Wow, that's interesting!\It's not...\I wonder if people around here\tend to write down their thoughts.\Minko did the same with balut, too.\Thoughtful people... response:	Huh?
context: about the Mist Room's breakfast tomorrow,\Wow, that's interesting!\It's not...\I wonder if people around here\tend to write down their thoughts.\Minko did the same with balut, too.\Thoughtful people...\Huh? response:	Nothing.
context: Wow, that's interesting!\It's not...\I wonder if people around here\tend to write down their thoughts.\Minko did the same with balut, too.\Thoughtful people...\Huh?\Nothing. response:	Nakochi, think of a nickname for me, too!
context: It's not...\I wonder if people around here\tend to write down their thoughts.\Minko did the same with balut, too.\Thoughtful people...\Huh?\Nothing.\Nakochi, think of a nickname for me, too! response:	I-I'll try.
context: I wonder if people around here\tend to write down their thoughts.\Minko did the same with balut, too.\Thoughtful people...\Huh?\Nothing.\Nakochi, think of a nickname for me, too!\I-I'll try. response:	Looking forward to it!
context: tend to write down their thoughts.\Minko did the same with balut, too.\Thoughtful people...\Huh?\Nothing.\Nakochi, think of a nickname for me, too!\I-I'll try.\Looking forward to it! response:	I enjoy the scent of the cherry blossom in here.
context: Minko did the same with balut, too.\Thoughtful people...\Huh?\Nothing.\Nakochi, think of a nickname for me, too!\I-I'll try.\Looking forward to it!\I enjoy the scent of the cherry blossom in here. response:	Yes, Tohru made it.
context: Thoughtful people...\Huh?\Nothing.\Nakochi, think of a nickname for me, too!\I-I'll try.\Looking forward to it!\I enjoy the scent of the cherry blossom in here.\Yes, Tohru made it. response:	That kiddo has really improved.
context: Huh?\Nothing.\Nakochi, think of a nickname for me, too!\I-I'll try.\Looking forward to it!\I enjoy the scent of the cherry blossom in here.\Yes, Tohru made it.\That kiddo has really improved. response:	Okay...
context: Nothing.\Nakochi, think of a nickname for me, too!\I-I'll try.\Looking forward to it!\I enjoy the scent of the cherry blossom in here.\Yes, Tohru made it.\That kiddo has really improved.\Okay... response:	The table is set.
context: Nakochi, think of a nickname for me, too!\I-I'll try.\Looking forward to it!\I enjoy the scent of the cherry blossom in here.\Yes, Tohru made it.\That kiddo has really improved.\Okay...\The table is set. response:	Okay, then...
context: I-I'll try.\Looking forward to it!\I enjoy the scent of the cherry blossom in here.\Yes, Tohru made it.\That kiddo has really improved.\Okay...\The table is set.\Okay, then... response:	Hello?
context: Looking forward to it!\I enjoy the scent of the cherry blossom in here.\Yes, Tohru made it.\That kiddo has really improved.\Okay...\The table is set.\Okay, then...\Hello? response:	Oh...
context: I enjoy the scent of the cherry blossom in here.\Yes, Tohru made it.\That kiddo has really improved.\Okay...\The table is set.\Okay, then...\Hello?\Oh... response:	I'll be right back, Ohana.
context: Yes, Tohru made it.\That kiddo has really improved.\Okay...\The table is set.\Okay, then...\Hello?\Oh...\I'll be right back, Ohana. response:	Okay.
context: That kiddo has really improved.\Okay...\The table is set.\Okay, then...\Hello?\Oh...\I'll be right back, Ohana.\Okay. response:	Hey! What are you doing?!
context: Okay...\The table is set.\Okay, then...\Hello?\Oh...\I'll be right back, Ohana.\Okay.\Hey! What are you doing?! response:	Of all people...
context: The table is set.\Okay, then...\Hello?\Oh...\I'll be right back, Ohana.\Okay.\Hey! What are you doing?!\Of all people... response:	That's not where you put the fish!
context: Okay, then...\Hello?\Oh...\I'll be right back, Ohana.\Okay.\Hey! What are you doing?!\Of all people...\That's not where you put the fish! response:	Sorry.
context: Hello?\Oh...\I'll be right back, Ohana.\Okay.\Hey! What are you doing?!\Of all people...\That's not where you put the fish!\Sorry. response:	It makes the food look bad, don't you think?
context: Oh...\I'll be right back, Ohana.\Okay.\Hey! What are you doing?!\Of all people...\That's not where you put the fish!\Sorry.\It makes the food look bad, don't you think? response:	Oh yeah, how was school?
context: I'll be right back, Ohana.\Okay.\Hey! What are you doing?!\Of all people...\That's not where you put the fish!\Sorry.\It makes the food look bad, don't you think?\Oh yeah, how was school? response:	Huh?
context: Okay.\Hey! What are you doing?!\Of all people...\That's not where you put the fish!\Sorry.\It makes the food look bad, don't you think?\Oh yeah, how was school?\Huh? response:	Bet you didn't make any friends.
context: Hey! What are you doing?!\Of all people...\That's not where you put the fish!\Sorry.\It makes the food look bad, don't you think?\Oh yeah, how was school?\Huh?\Bet you didn't make any friends. response:	Miss Inconsiderate.
context: Of all people...\That's not where you put the fish!\Sorry.\It makes the food look bad, don't you think?\Oh yeah, how was school?\Huh?\Bet you didn't make any friends.\Miss Inconsiderate. response:	The successor to the Fukuya inn goes to your school, right?
context: That's not where you put the fish!\Sorry.\It makes the food look bad, don't you think?\Oh yeah, how was school?\Huh?\Bet you didn't make any friends.\Miss Inconsiderate.\The successor to the Fukuya inn goes to your school, right? response:	Who, Yuina?
context: Sorry.\It makes the food look bad, don't you think?\Oh yeah, how was school?\Huh?\Bet you didn't make any friends.\Miss Inconsiderate.\The successor to the Fukuya inn goes to your school, right?\Who, Yuina? response:	I can't believe you two are the same age.
context: It makes the food look bad, don't you think?\Oh yeah, how was school?\Huh?\Bet you didn't make any friends.\Miss Inconsiderate.\The successor to the Fukuya inn goes to your school, right?\Who, Yuina?\I can't believe you two are the same age. response:	Wouldn't be able to tell with your body development.
context: Oh yeah, how was school?\Huh?\Bet you didn't make any friends.\Miss Inconsiderate.\The successor to the Fukuya inn goes to your school, right?\Who, Yuina?\I can't believe you two are the same age.\Wouldn't be able to tell with your body development. response:	Are you referring to my upper arm?
context: Huh?\Bet you didn't make any friends.\Miss Inconsiderate.\The successor to the Fukuya inn goes to your school, right?\Who, Yuina?\I can't believe you two are the same age.\Wouldn't be able to tell with your body development.\Are you referring to my upper arm? response:	Minko!
context: Bet you didn't make any friends.\Miss Inconsiderate.\The successor to the Fukuya inn goes to your school, right?\Who, Yuina?\I can't believe you two are the same age.\Wouldn't be able to tell with your body development.\Are you referring to my upper arm?\Minko! response:	I'll do it.
context: Miss Inconsiderate.\The successor to the Fukuya inn goes to your school, right?\Who, Yuina?\I can't believe you two are the same age.\Wouldn't be able to tell with your body development.\Are you referring to my upper arm?\Minko!\I'll do it. response:	She has other things to do.
context: The successor to the Fukuya inn goes to your school, right?\Who, Yuina?\I can't believe you two are the same age.\Wouldn't be able to tell with your body development.\Are you referring to my upper arm?\Minko!\I'll do it.\She has other things to do. response:	Go on.
context: Who, Yuina?\I can't believe you two are the same age.\Wouldn't be able to tell with your body development.\Are you referring to my upper arm?\Minko!\I'll do it.\She has other things to do.\Go on. response:	Here, Minko.
context: I can't believe you two are the same age.\Wouldn't be able to tell with your body development.\Are you referring to my upper arm?\Minko!\I'll do it.\She has other things to do.\Go on.\Here, Minko. response:	Okay.
context: Wouldn't be able to tell with your body development.\Are you referring to my upper arm?\Minko!\I'll do it.\She has other things to do.\Go on.\Here, Minko.\Okay. response:	She saved me...
context: Are you referring to my upper arm?\Minko!\I'll do it.\She has other things to do.\Go on.\Here, Minko.\Okay.\She saved me... response:	She's actually a nice girl...
context: Minko!\I'll do it.\She has other things to do.\Go on.\Here, Minko.\Okay.\She saved me...\She's actually a nice girl... response:	I wish I could become friends with her.
context: I'll do it.\She has other things to do.\Go on.\Here, Minko.\Okay.\She saved me...\She's actually a nice girl...\I wish I could become friends with her. response:	I need to start by calling her Minchi.
context: She has other things to do.\Go on.\Here, Minko.\Okay.\She saved me...\She's actually a nice girl...\I wish I could become friends with her.\I need to start by calling her Minchi. response:	I-I need to say something.
context: Go on.\Here, Minko.\Okay.\She saved me...\She's actually a nice girl...\I wish I could become friends with her.\I need to start by calling her Minchi.\I-I need to say something. response:	Let's see...
context: Here, Minko.\Okay.\She saved me...\She's actually a nice girl...\I wish I could become friends with her.\I need to start by calling her Minchi.\I-I need to say something.\Let's see... response:	Oh!
context: Okay.\She saved me...\She's actually a nice girl...\I wish I could become friends with her.\I need to start by calling her Minchi.\I-I need to say something.\Let's see...\Oh! response:	Girl talk expands when we talk about a common enemy.
context: She saved me...\She's actually a nice girl...\I wish I could become friends with her.\I need to start by calling her Minchi.\I-I need to say something.\Let's see...\Oh!\Girl talk expands when we talk about a common enemy. response:	Hey, Minko?
context: She's actually a nice girl...\I wish I could become friends with her.\I need to start by calling her Minchi.\I-I need to say something.\Let's see...\Oh!\Girl talk expands when we talk about a common enemy.\Hey, Minko? response:	Thanks for earlier.
context: I wish I could become friends with her.\I need to start by calling her Minchi.\I-I need to say something.\Let's see...\Oh!\Girl talk expands when we talk about a common enemy.\Hey, Minko?\Thanks for earlier. response:	Tohru is alawys complaining about something.
context: I need to start by calling her Minchi.\I-I need to say something.\Let's see...\Oh!\Girl talk expands when we talk about a common enemy.\Hey, Minko?\Thanks for earlier.\Tohru is alawys complaining about something. response:	His villainy is apparent in his eyes!
context: I-I need to say something.\Let's see...\Oh!\Girl talk expands when we talk about a common enemy.\Hey, Minko?\Thanks for earlier.\Tohru is alawys complaining about something.\His villainy is apparent in his eyes! response:	She reacted!
context: Let's see...\Oh!\Girl talk expands when we talk about a common enemy.\Hey, Minko?\Thanks for earlier.\Tohru is alawys complaining about something.\His villainy is apparent in his eyes!\She reacted! response:	This is where I use her nickname...
context: Oh!\Girl talk expands when we talk about a common enemy.\Hey, Minko?\Thanks for earlier.\Tohru is alawys complaining about something.\His villainy is apparent in his eyes!\She reacted!\This is where I use her nickname... response:	Don't you agree, Minchi?
context: Girl talk expands when we talk about a common enemy.\Hey, Minko?\Thanks for earlier.\Tohru is alawys complaining about something.\His villainy is apparent in his eyes!\She reacted!\This is where I use her nickname...\Don't you agree, Minchi? response:	Huh?!
context: Hey, Minko?\Thanks for earlier.\Tohru is alawys complaining about something.\His villainy is apparent in his eyes!\She reacted!\This is where I use her nickname...\Don't you agree, Minchi?\Huh?! response:	You're such a balut!
context: Thanks for earlier.\Tohru is alawys complaining about something.\His villainy is apparent in his eyes!\She reacted!\This is where I use her nickname...\Don't you agree, Minchi?\Huh?!\You're such a balut! response:	I am?
context: Tohru is alawys complaining about something.\His villainy is apparent in his eyes!\She reacted!\This is where I use her nickname...\Don't you agree, Minchi?\Huh?!\You're such a balut!\I am? response:	Tohru never complains.
context: His villainy is apparent in his eyes!\She reacted!\This is where I use her nickname...\Don't you agree, Minchi?\Huh?!\You're such a balut!\I am?\Tohru never complains. response:	He may be sharp-tongued,
context: She reacted!\This is where I use her nickname...\Don't you agree, Minchi?\Huh?!\You're such a balut!\I am?\Tohru never complains.\He may be sharp-tongued, response:	but that's only because
context: This is where I use her nickname...\Don't you agree, Minchi?\Huh?!\You're such a balut!\I am?\Tohru never complains.\He may be sharp-tongued,\but that's only because response:	he's always thinking about others!
context: Don't you agree, Minchi?\Huh?!\You're such a balut!\I am?\Tohru never complains.\He may be sharp-tongued,\but that's only because\he's always thinking about others! response:	He's more determined than anyone, and...
context: Huh?!\You're such a balut!\I am?\Tohru never complains.\He may be sharp-tongued,\but that's only because\he's always thinking about others!\He's more determined than anyone, and... response:	He's kinder than anyone I know!
context: You're such a balut!\I am?\Tohru never complains.\He may be sharp-tongued,\but that's only because\he's always thinking about others!\He's more determined than anyone, and...\He's kinder than anyone I know! response:	Someone with a sharp tongue,
context: I am?\Tohru never complains.\He may be sharp-tongued,\but that's only because\he's always thinking about others!\He's more determined than anyone, and...\He's kinder than anyone I know!\Someone with a sharp tongue, response:	but is actually kind and determined.
context: Tohru never complains.\He may be sharp-tongued,\but that's only because\he's always thinking about others!\He's more determined than anyone, and...\He's kinder than anyone I know!\Someone with a sharp tongue,\but is actually kind and determined. response:	Where have I heard this before...
context: He may be sharp-tongued,\but that's only because\he's always thinking about others!\He's more determined than anyone, and...\He's kinder than anyone I know!\Someone with a sharp tongue,\but is actually kind and determined.\Where have I heard this before... response:	Minchi, don't tell me the person you like is...!
context: but that's only because\he's always thinking about others!\He's more determined than anyone, and...\He's kinder than anyone I know!\Someone with a sharp tongue,\but is actually kind and determined.\Where have I heard this before...\Minchi, don't tell me the person you like is...! response:	Minchi!
context: he's always thinking about others!\He's more determined than anyone, and...\He's kinder than anyone I know!\Someone with a sharp tongue,\but is actually kind and determined.\Where have I heard this before...\Minchi, don't tell me the person you like is...!\Minchi! response:	Oh dear.
context: He's more determined than anyone, and...\He's kinder than anyone I know!\Someone with a sharp tongue,\but is actually kind and determined.\Where have I heard this before...\Minchi, don't tell me the person you like is...!\Minchi!\Oh dear. response:	Good night!
context: He's kinder than anyone I know!\Someone with a sharp tongue,\but is actually kind and determined.\Where have I heard this before...\Minchi, don't tell me the person you like is...!\Minchi!\Oh dear.\Good night! response:	Good morning!
context: Someone with a sharp tongue,\but is actually kind and determined.\Where have I heard this before...\Minchi, don't tell me the person you like is...!\Minchi!\Oh dear.\Good night!\Good morning! response:	Minko!
context: but is actually kind and determined.\Where have I heard this before...\Minchi, don't tell me the person you like is...!\Minchi!\Oh dear.\Good night!\Good morning!\Minko! response:	Hang on! I'm sorry!
context: Where have I heard this before...\Minchi, don't tell me the person you like is...!\Minchi!\Oh dear.\Good night!\Good morning!\Minko!\Hang on! I'm sorry! response:	I said something stupid again.
context: Minchi, don't tell me the person you like is...!\Minchi!\Oh dear.\Good night!\Good morning!\Minko!\Hang on! I'm sorry!\I said something stupid again. response:	About Tohru...
context: Minchi!\Oh dear.\Good night!\Good morning!\Minko!\Hang on! I'm sorry!\I said something stupid again.\About Tohru... response:	Balut!
context: Oh dear.\Good night!\Good morning!\Minko!\Hang on! I'm sorry!\I said something stupid again.\About Tohru...\Balut! response:	Why don't you understand
context: Good night!\Good morning!\Minko!\Hang on! I'm sorry!\I said something stupid again.\About Tohru...\Balut!\Why don't you understand response:	that what you're saying *right now* is stupid?!
context: Good morning!\Minko!\Hang on! I'm sorry!\I said something stupid again.\About Tohru...\Balut!\Why don't you understand\that what you're saying *right now* is stupid?! response:	I'm sorry!
context: Minko!\Hang on! I'm sorry!\I said something stupid again.\About Tohru...\Balut!\Why don't you understand\that what you're saying *right now* is stupid?!\I'm sorry! response:	Tohru?
context: Hang on! I'm sorry!\I said something stupid again.\About Tohru...\Balut!\Why don't you understand\that what you're saying *right now* is stupid?!\I'm sorry!\Tohru? response:	Yuina?!
context: I said something stupid again.\About Tohru...\Balut!\Why don't you understand\that what you're saying *right now* is stupid?!\I'm sorry!\Tohru?\Yuina?! response:	Let's party
context: About Tohru...\Balut!\Why don't you understand\that what you're saying *right now* is stupid?!\I'm sorry!\Tohru?\Yuina?!\Let's party response:	Let's party?
context: Balut!\Why don't you understand\that what you're saying *right now* is stupid?!\I'm sorry!\Tohru?\Yuina?!\Let's party\Let's party? response:	M-Minko!
context: Why don't you understand\that what you're saying *right now* is stupid?!\I'm sorry!\Tohru?\Yuina?!\Let's party\Let's party?\M-Minko! response:	Episode 4 Grey Heron Rhapsody
context: that what you're saying *right now* is stupid?!\I'm sorry!\Tohru?\Yuina?!\Let's party\Let's party?\M-Minko!\Episode 4 Grey Heron Rhapsody response:	Falling in love with someone is incredible.
context: I'm sorry!\Tohru?\Yuina?!\Let's party\Let's party?\M-Minko!\Episode 4 Grey Heron Rhapsody\Falling in love with someone is incredible. response:	He won't be coming.
context: Tohru?\Yuina?!\Let's party\Let's party?\M-Minko!\Episode 4 Grey Heron Rhapsody\Falling in love with someone is incredible.\He won't be coming. response:	What do you-
context: Yuina?!\Let's party\Let's party?\M-Minko!\Episode 4 Grey Heron Rhapsody\Falling in love with someone is incredible.\He won't be coming.\What do you- response:	I saw it last night.
context: Let's party\Let's party?\M-Minko!\Episode 4 Grey Heron Rhapsody\Falling in love with someone is incredible.\He won't be coming.\What do you-\I saw it last night. response:	Kitchen hand.
context: Let's party?\M-Minko!\Episode 4 Grey Heron Rhapsody\Falling in love with someone is incredible.\He won't be coming.\What do you-\I saw it last night.\Kitchen hand. response:	Please let me work here!
context: M-Minko!\Episode 4 Grey Heron Rhapsody\Falling in love with someone is incredible.\He won't be coming.\What do you-\I saw it last night.\Kitchen hand.\Please let me work here! response:	Episode 5 A Tearful Chef Romance
