context: Next up is the weather forecast for the Kanto Region. response:	Due to areas of low pressure coming in from the west,
context: But the truth is, it secretly hides a great sadness inside.\Well, that's all for today.\Kanda-kun...\I took the day off work\Um, I mean, I've got the day off.\Let's go look for someone to take the cats.\Oh, yeah.\Thanks for everything, Aoyama. response:	Once Nozomi and Hikari are gone, you can finally move.
context: Well, that's all for today.\Kanda-kun...\I took the day off work\Um, I mean, I've got the day off.\Let's go look for someone to take the cats.\Oh, yeah.\Thanks for everything, Aoyama.\Once Nozomi and Hikari are gone, you can finally move. response:	Kanda-kun.
context: Kanda-kun...\I took the day off work\Um, I mean, I've got the day off.\Let's go look for someone to take the cats.\Oh, yeah.\Thanks for everything, Aoyama.\Once Nozomi and Hikari are gone, you can finally move.\Kanda-kun. response:	Hmm?
context: I took the day off work\Um, I mean, I've got the day off.\Let's go look for someone to take the cats.\Oh, yeah.\Thanks for everything, Aoyama.\Once Nozomi and Hikari are gone, you can finally move.\Kanda-kun.\Hmm? response:	Are you sure you want to do this?
context: Um, I mean, I've got the day off.\Let's go look for someone to take the cats.\Oh, yeah.\Thanks for everything, Aoyama.\Once Nozomi and Hikari are gone, you can finally move.\Kanda-kun.\Hmm?\Are you sure you want to do this? response:	What do you mean?
context: Let's go look for someone to take the cats.\Oh, yeah.\Thanks for everything, Aoyama.\Once Nozomi and Hikari are gone, you can finally move.\Kanda-kun.\Hmm?\Are you sure you want to do this?\What do you mean? response:	Well, just by looking at you, I can sort of tell...
context: Oh, yeah.\Thanks for everything, Aoyama.\Once Nozomi and Hikari are gone, you can finally move.\Kanda-kun.\Hmm?\Are you sure you want to do this?\What do you mean?\Well, just by looking at you, I can sort of tell... response:	Do you have a minute?
context: Thanks for everything, Aoyama.\Once Nozomi and Hikari are gone, you can finally move.\Kanda-kun.\Hmm?\Are you sure you want to do this?\What do you mean?\Well, just by looking at you, I can sort of tell...\Do you have a minute? response:	Huh?
context: Once Nozomi and Hikari are gone, you can finally move.\Kanda-kun.\Hmm?\Are you sure you want to do this?\What do you mean?\Well, just by looking at you, I can sort of tell...\Do you have a minute?\Huh? response:	What was that?
context: Kanda-kun.\Hmm?\Are you sure you want to do this?\What do you mean?\Well, just by looking at you, I can sort of tell...\Do you have a minute?\Huh?\What was that? response:	Crazy way to hit on someone.
context: Hmm?\Are you sure you want to do this?\What do you mean?\Well, just by looking at you, I can sort of tell...\Do you have a minute?\Huh?\What was that?\Crazy way to hit on someone. response:	Stolen love?
context: Are you sure you want to do this?\What do you mean?\Well, just by looking at you, I can sort of tell...\Do you have a minute?\Huh?\What was that?\Crazy way to hit on someone.\Stolen love? response:	Kanda-kun...
context: What do you mean?\Well, just by looking at you, I can sort of tell...\Do you have a minute?\Huh?\What was that?\Crazy way to hit on someone.\Stolen love?\Kanda-kun... response:	Poor Aoyama...
context: Well, just by looking at you, I can sort of tell...\Do you have a minute?\Huh?\What was that?\Crazy way to hit on someone.\Stolen love?\Kanda-kun...\Poor Aoyama... response:	Uh, um...
context: Do you have a minute?\Huh?\What was that?\Crazy way to hit on someone.\Stolen love?\Kanda-kun...\Poor Aoyama...\Uh, um... response:	Can I help you?
context: Huh?\What was that?\Crazy way to hit on someone.\Stolen love?\Kanda-kun...\Poor Aoyama...\Uh, um...\Can I help you? response:	I like sweet things.
context: What was that?\Crazy way to hit on someone.\Stolen love?\Kanda-kun...\Poor Aoyama...\Uh, um...\Can I help you?\I like sweet things. response:	Oh, I see...
context: Crazy way to hit on someone.\Stolen love?\Kanda-kun...\Poor Aoyama...\Uh, um...\Can I help you?\I like sweet things.\Oh, I see... response:	What?
context: Stolen love?\Kanda-kun...\Poor Aoyama...\Uh, um...\Can I help you?\I like sweet things.\Oh, I see...\What? response:	I like the union of sweet and salty flavors.
context: Kanda-kun...\Poor Aoyama...\Uh, um...\Can I help you?\I like sweet things.\Oh, I see...\What?\I like the union of sweet and salty flavors. response:	Uh, I... I see...
context: Poor Aoyama...\Uh, um...\Can I help you?\I like sweet things.\Oh, I see...\What?\I like the union of sweet and salty flavors.\Uh, I... I see... response:	How is Shiina-san?
context: Uh, um...\Can I help you?\I like sweet things.\Oh, I see...\What?\I like the union of sweet and salty flavors.\Uh, I... I see...\How is Shiina-san? response:	She's depressed.
context: Can I help you?\I like sweet things.\Oh, I see...\What?\I like the union of sweet and salty flavors.\Uh, I... I see...\How is Shiina-san?\She's depressed. response:	Here. Read this.
context: I like sweet things.\Oh, I see...\What?\I like the union of sweet and salty flavors.\Uh, I... I see...\How is Shiina-san?\She's depressed.\Here. Read this. response:	Nanohana Hall?
context: Oh, I see...\What?\I like the union of sweet and salty flavors.\Uh, I... I see...\How is Shiina-san?\She's depressed.\Here. Read this.\Nanohana Hall? response:	Shiina-san's art is perfect.
context: What?\I like the union of sweet and salty flavors.\Uh, I... I see...\How is Shiina-san?\She's depressed.\Here. Read this.\Nanohana Hall?\Shiina-san's art is perfect. response:	Her only weakness is her stories.
context: I like the union of sweet and salty flavors.\Uh, I... I see...\How is Shiina-san?\She's depressed.\Here. Read this.\Nanohana Hall?\Shiina-san's art is perfect.\Her only weakness is her stories. response:	So I told her to use events actually occurring...
context: Uh, I... I see...\How is Shiina-san?\She's depressed.\Here. Read this.\Nanohana Hall?\Shiina-san's art is perfect.\Her only weakness is her stories.\So I told her to use events actually occurring... response:	at Sakura Hall as reference.
context: How is Shiina-san?\She's depressed.\Here. Read this.\Nanohana Hall?\Shiina-san's art is perfect.\Her only weakness is her stories.\So I told her to use events actually occurring...\at Sakura Hall as reference. response:	Wait, what is this?
context: She's depressed.\Here. Read this.\Nanohana Hall?\Shiina-san's art is perfect.\Her only weakness is her stories.\So I told her to use events actually occurring...\at Sakura Hall as reference.\Wait, what is this? response:	Shiina and my roles are reversed?!
context: Here. Read this.\Nanohana Hall?\Shiina-san's art is perfect.\Her only weakness is her stories.\So I told her to use events actually occurring...\at Sakura Hall as reference.\Wait, what is this?\Shiina and my roles are reversed?! response:	Hey!
context: Nanohana Hall?\Shiina-san's art is perfect.\Her only weakness is her stories.\So I told her to use events actually occurring...\at Sakura Hall as reference.\Wait, what is this?\Shiina and my roles are reversed?!\Hey! response:	Just keep reading.
context: Shiina-san's art is perfect.\Her only weakness is her stories.\So I told her to use events actually occurring...\at Sakura Hall as reference.\Wait, what is this?\Shiina and my roles are reversed?!\Hey!\Just keep reading. response:	The boy who couldn't even choose...
context: Her only weakness is her stories.\So I told her to use events actually occurring...\at Sakura Hall as reference.\Wait, what is this?\Shiina and my roles are reversed?!\Hey!\Just keep reading.\The boy who couldn't even choose... response:	his own underwear actually had a clear goal.
context: So I told her to use events actually occurring...\at Sakura Hall as reference.\Wait, what is this?\Shiina and my roles are reversed?!\Hey!\Just keep reading.\The boy who couldn't even choose...\his own underwear actually had a clear goal. response:	On the other hand, the heroine...
context: at Sakura Hall as reference.\Wait, what is this?\Shiina and my roles are reversed?!\Hey!\Just keep reading.\The boy who couldn't even choose...\his own underwear actually had a clear goal.\On the other hand, the heroine... response:	can't find anything she wants to do.
context: Wait, what is this?\Shiina and my roles are reversed?!\Hey!\Just keep reading.\The boy who couldn't even choose...\his own underwear actually had a clear goal.\On the other hand, the heroine...\can't find anything she wants to do. response:	Then, some stuff happens...
context: Shiina and my roles are reversed?!\Hey!\Just keep reading.\The boy who couldn't even choose...\his own underwear actually had a clear goal.\On the other hand, the heroine...\can't find anything she wants to do.\Then, some stuff happens... response:	The problem is what happens next.
context: Hey!\Just keep reading.\The boy who couldn't even choose...\his own underwear actually had a clear goal.\On the other hand, the heroine...\can't find anything she wants to do.\Then, some stuff happens...\The problem is what happens next. response:	What?
context: Just keep reading.\The boy who couldn't even choose...\his own underwear actually had a clear goal.\On the other hand, the heroine...\can't find anything she wants to do.\Then, some stuff happens...\The problem is what happens next.\What? response:	As you can see,
context: The boy who couldn't even choose...\his own underwear actually had a clear goal.\On the other hand, the heroine...\can't find anything she wants to do.\Then, some stuff happens...\The problem is what happens next.\What?\As you can see, response:	this powerfully abrupt ending isn't a happy one.
context: his own underwear actually had a clear goal.\On the other hand, the heroine...\can't find anything she wants to do.\Then, some stuff happens...\The problem is what happens next.\What?\As you can see,\this powerfully abrupt ending isn't a happy one. response:	This is the main reason Shiina-san failed to win the award.
context: On the other hand, the heroine...\can't find anything she wants to do.\Then, some stuff happens...\The problem is what happens next.\What?\As you can see,\this powerfully abrupt ending isn't a happy one.\This is the main reason Shiina-san failed to win the award. response:	The heroine is leaving Nanohana Hall...
context: can't find anything she wants to do.\Then, some stuff happens...\The problem is what happens next.\What?\As you can see,\this powerfully abrupt ending isn't a happy one.\This is the main reason Shiina-san failed to win the award.\The heroine is leaving Nanohana Hall... response:	Goodbye.
context: Then, some stuff happens...\The problem is what happens next.\What?\As you can see,\this powerfully abrupt ending isn't a happy one.\This is the main reason Shiina-san failed to win the award.\The heroine is leaving Nanohana Hall...\Goodbye. response:	I told her over and over again to fix the ending.
context: The problem is what happens next.\What?\As you can see,\this powerfully abrupt ending isn't a happy one.\This is the main reason Shiina-san failed to win the award.\The heroine is leaving Nanohana Hall...\Goodbye.\I told her over and over again to fix the ending. response:	But she wouldn't listen to me.
context: What?\As you can see,\this powerfully abrupt ending isn't a happy one.\This is the main reason Shiina-san failed to win the award.\The heroine is leaving Nanohana Hall...\Goodbye.\I told her over and over again to fix the ending.\But she wouldn't listen to me. response:	What?
context: As you can see,\this powerfully abrupt ending isn't a happy one.\This is the main reason Shiina-san failed to win the award.\The heroine is leaving Nanohana Hall...\Goodbye.\I told her over and over again to fix the ending.\But she wouldn't listen to me.\What? response:	She said it was your wish.
context: this powerfully abrupt ending isn't a happy one.\This is the main reason Shiina-san failed to win the award.\The heroine is leaving Nanohana Hall...\Goodbye.\I told her over and over again to fix the ending.\But she wouldn't listen to me.\What?\She said it was your wish. response:	Yes, yes!
context: This is the main reason Shiina-san failed to win the award.\The heroine is leaving Nanohana Hall...\Goodbye.\I told her over and over again to fix the ending.\But she wouldn't listen to me.\What?\She said it was your wish.\Yes, yes! response:	An ending that captures the careening drive of youth!
context: The heroine is leaving Nanohana Hall...\Goodbye.\I told her over and over again to fix the ending.\But she wouldn't listen to me.\What?\She said it was your wish.\Yes, yes!\An ending that captures the careening drive of youth! response:	It's sending shivers down my spine!
context: Goodbye.\I told her over and over again to fix the ending.\But she wouldn't listen to me.\What?\She said it was your wish.\Yes, yes!\An ending that captures the careening drive of youth!\It's sending shivers down my spine! response:	This might work...
context: I told her over and over again to fix the ending.\But she wouldn't listen to me.\What?\She said it was your wish.\Yes, yes!\An ending that captures the careening drive of youth!\It's sending shivers down my spine!\This might work... response:	My wish?
context: But she wouldn't listen to me.\What?\She said it was your wish.\Yes, yes!\An ending that captures the careening drive of youth!\It's sending shivers down my spine!\This might work...\My wish? response:	Chihiro-sensei!
context: What?\She said it was your wish.\Yes, yes!\An ending that captures the careening drive of youth!\It's sending shivers down my spine!\This might work...\My wish?\Chihiro-sensei! response:	Huh?
context: She said it was your wish.\Yes, yes!\An ending that captures the careening drive of youth!\It's sending shivers down my spine!\This might work...\My wish?\Chihiro-sensei!\Huh? response:	What's wrong, Kanda? Did you forget something?
context: Yes, yes!\An ending that captures the careening drive of youth!\It's sending shivers down my spine!\This might work...\My wish?\Chihiro-sensei!\Huh?\What's wrong, Kanda? Did you forget something? response:	What?
context: An ending that captures the careening drive of youth!\It's sending shivers down my spine!\This might work...\My wish?\Chihiro-sensei!\Huh?\What's wrong, Kanda? Did you forget something?\What? response:	I have to start here.
context: It's sending shivers down my spine!\This might work...\My wish?\Chihiro-sensei!\Huh?\What's wrong, Kanda? Did you forget something?\What?\I have to start here. response:	See you later!
context: This might work...\My wish?\Chihiro-sensei!\Huh?\What's wrong, Kanda? Did you forget something?\What?\I have to start here.\See you later! response:	What was that about?
context: My wish?\Chihiro-sensei!\Huh?\What's wrong, Kanda? Did you forget something?\What?\I have to start here.\See you later!\What was that about? response:	Career Plan Suimei University of the Arts: Media Studies
context: Chihiro-sensei!\Huh?\What's wrong, Kanda? Did you forget something?\What?\I have to start here.\See you later!\What was that about?\Career Plan Suimei University of the Arts: Media Studies response:	I see...
context: Huh?\What's wrong, Kanda? Did you forget something?\What?\I have to start here.\See you later!\What was that about?\Career Plan Suimei University of the Arts: Media Studies\I see... response:	My wish is...
context: What's wrong, Kanda? Did you forget something?\What?\I have to start here.\See you later!\What was that about?\Career Plan Suimei University of the Arts: Media Studies\I see...\My wish is... response:	Shiina-san, is this what you want?
context: What?\I have to start here.\See you later!\What was that about?\Career Plan Suimei University of the Arts: Media Studies\I see...\My wish is...\Shiina-san, is this what you want? response:	What I want?
context: I have to start here.\See you later!\What was that about?\Career Plan Suimei University of the Arts: Media Studies\I see...\My wish is...\Shiina-san, is this what you want?\What I want? response:	You should write the ending you want.
context: See you later!\What was that about?\Career Plan Suimei University of the Arts: Media Studies\I see...\My wish is...\Shiina-san, is this what you want?\What I want?\You should write the ending you want. response:	The ending I want.
context: What was that about?\Career Plan Suimei University of the Arts: Media Studies\I see...\My wish is...\Shiina-san, is this what you want?\What I want?\You should write the ending you want.\The ending I want. response:	That's right.
context: Career Plan Suimei University of the Arts: Media Studies\I see...\My wish is...\Shiina-san, is this what you want?\What I want?\You should write the ending you want.\The ending I want.\That's right. response:	What's the ending you want to see?
context: I see...\My wish is...\Shiina-san, is this what you want?\What I want?\You should write the ending you want.\The ending I want.\That's right.\What's the ending you want to see? response:	Goodbye.
context: My wish is...\Shiina-san, is this what you want?\What I want?\You should write the ending you want.\The ending I want.\That's right.\What's the ending you want to see?\Goodbye. response:	My...
context: Shiina-san, is this what you want?\What I want?\You should write the ending you want.\The ending I want.\That's right.\What's the ending you want to see?\Goodbye.\My... response:	My wish isn't to leave Sakura Hall.
context: What I want?\You should write the ending you want.\The ending I want.\That's right.\What's the ending you want to see?\Goodbye.\My...\My wish isn't to leave Sakura Hall. response:	Becoming a Programmer
context: You should write the ending you want.\The ending I want.\That's right.\What's the ending you want to see?\Goodbye.\My...\My wish isn't to leave Sakura Hall.\Becoming a Programmer response:	I was putting pressure on myself.
context: The ending I want.\That's right.\What's the ending you want to see?\Goodbye.\My...\My wish isn't to leave Sakura Hall.\Becoming a Programmer\I was putting pressure on myself. response:	I was just running from Sakura Hall... from reality...
context: That's right.\What's the ending you want to see?\Goodbye.\My...\My wish isn't to leave Sakura Hall.\Becoming a Programmer\I was putting pressure on myself.\I was just running from Sakura Hall... from reality... response:	My wish is...
context: What's the ending you want to see?\Goodbye.\My...\My wish isn't to leave Sakura Hall.\Becoming a Programmer\I was putting pressure on myself.\I was just running from Sakura Hall... from reality...\My wish is... response:	Shiina!
context: Goodbye.\My...\My wish isn't to leave Sakura Hall.\Becoming a Programmer\I was putting pressure on myself.\I was just running from Sakura Hall... from reality...\My wish is...\Shiina! response:	You can stay there. Just listen to me!
context: My...\My wish isn't to leave Sakura Hall.\Becoming a Programmer\I was putting pressure on myself.\I was just running from Sakura Hall... from reality...\My wish is...\Shiina!\You can stay there. Just listen to me! response:	There's something I want to tell you!
context: My wish isn't to leave Sakura Hall.\Becoming a Programmer\I was putting pressure on myself.\I was just running from Sakura Hall... from reality...\My wish is...\Shiina!\You can stay there. Just listen to me!\There's something I want to tell you! response:	I submitted my career plan!
context: Becoming a Programmer\I was putting pressure on myself.\I was just running from Sakura Hall... from reality...\My wish is...\Shiina!\You can stay there. Just listen to me!\There's something I want to tell you!\I submitted my career plan! response:	I want to go into Media Studies and make video games!
context: I was putting pressure on myself.\I was just running from Sakura Hall... from reality...\My wish is...\Shiina!\You can stay there. Just listen to me!\There's something I want to tell you!\I submitted my career plan!\I want to go into Media Studies and make video games! response:	I'm even thinking about participating in a development audition!
context: I was just running from Sakura Hall... from reality...\My wish is...\Shiina!\You can stay there. Just listen to me!\There's something I want to tell you!\I submitted my career plan!\I want to go into Media Studies and make video games!\I'm even thinking about participating in a development audition! response:	I'm home...
context: My wish is...\Shiina!\You can stay there. Just listen to me!\There's something I want to tell you!\I submitted my career plan!\I want to go into Media Studies and make video games!\I'm even thinking about participating in a development audition!\I'm home... response:	Huh?
context: Shiina!\You can stay there. Just listen to me!\There's something I want to tell you!\I submitted my career plan!\I want to go into Media Studies and make video games!\I'm even thinking about participating in a development audition!\I'm home...\Huh? response:	I want to be a game designer.
context: You can stay there. Just listen to me!\There's something I want to tell you!\I submitted my career plan!\I want to go into Media Studies and make video games!\I'm even thinking about participating in a development audition!\I'm home...\Huh?\I want to be a game designer. response:	I've always been interested, but I was too scared.
context: There's something I want to tell you!\I submitted my career plan!\I want to go into Media Studies and make video games!\I'm even thinking about participating in a development audition!\I'm home...\Huh?\I want to be a game designer.\I've always been interested, but I was too scared. response:	I kept thinking about what would happen if I failed.
context: I submitted my career plan!\I want to go into Media Studies and make video games!\I'm even thinking about participating in a development audition!\I'm home...\Huh?\I want to be a game designer.\I've always been interested, but I was too scared.\I kept thinking about what would happen if I failed. response:	I kept lining up reasons not to do it,
context: I want to go into Media Studies and make video games!\I'm even thinking about participating in a development audition!\I'm home...\Huh?\I want to be a game designer.\I've always been interested, but I was too scared.\I kept thinking about what would happen if I failed.\I kept lining up reasons not to do it, response:	like it's a waste of time, or I'll just get my feelings hurt,
context: I'm even thinking about participating in a development audition!\I'm home...\Huh?\I want to be a game designer.\I've always been interested, but I was too scared.\I kept thinking about what would happen if I failed.\I kept lining up reasons not to do it,\like it's a waste of time, or I'll just get my feelings hurt, response:	and gave up on it altogether.
context: I'm home...\Huh?\I want to be a game designer.\I've always been interested, but I was too scared.\I kept thinking about what would happen if I failed.\I kept lining up reasons not to do it,\like it's a waste of time, or I'll just get my feelings hurt,\and gave up on it altogether. response:	But watching you made me want to try harder.
context: Huh?\I want to be a game designer.\I've always been interested, but I was too scared.\I kept thinking about what would happen if I failed.\I kept lining up reasons not to do it,\like it's a waste of time, or I'll just get my feelings hurt,\and gave up on it altogether.\But watching you made me want to try harder. response:	Someday, I'll be like you!
context: I want to be a game designer.\I've always been interested, but I was too scared.\I kept thinking about what would happen if I failed.\I kept lining up reasons not to do it,\like it's a waste of time, or I'll just get my feelings hurt,\and gave up on it altogether.\But watching you made me want to try harder.\Someday, I'll be like you! response:	Shiina...
context: I've always been interested, but I was too scared.\I kept thinking about what would happen if I failed.\I kept lining up reasons not to do it,\like it's a waste of time, or I'll just get my feelings hurt,\and gave up on it altogether.\But watching you made me want to try harder.\Someday, I'll be like you!\Shiina... response:	You were up drawing all night again.
context: I kept thinking about what would happen if I failed.\I kept lining up reasons not to do it,\like it's a waste of time, or I'll just get my feelings hurt,\and gave up on it altogether.\But watching you made me want to try harder.\Someday, I'll be like you!\Shiina...\You were up drawing all night again. response:	You really are amazing.
context: I kept lining up reasons not to do it,\like it's a waste of time, or I'll just get my feelings hurt,\and gave up on it altogether.\But watching you made me want to try harder.\Someday, I'll be like you!\Shiina...\You were up drawing all night again.\You really are amazing. response:	I want to stay at Nanohana Hall...
context: like it's a waste of time, or I'll just get my feelings hurt,\and gave up on it altogether.\But watching you made me want to try harder.\Someday, I'll be like you!\Shiina...\You were up drawing all night again.\You really are amazing.\I want to stay at Nanohana Hall... response:	This is the happy ending you really wanted.
context: and gave up on it altogether.\But watching you made me want to try harder.\Someday, I'll be like you!\Shiina...\You were up drawing all night again.\You really are amazing.\I want to stay at Nanohana Hall...\This is the happy ending you really wanted. response:	What is this doing here?
context: But watching you made me want to try harder.\Someday, I'll be like you!\Shiina...\You were up drawing all night again.\You really are amazing.\I want to stay at Nanohana Hall...\This is the happy ending you really wanted.\What is this doing here? response:	Answer it.
context: Someday, I'll be like you!\Shiina...\You were up drawing all night again.\You really are amazing.\I want to stay at Nanohana Hall...\This is the happy ending you really wanted.\What is this doing here?\Answer it. response:	What?
context: Shiina...\You were up drawing all night again.\You really are amazing.\I want to stay at Nanohana Hall...\This is the happy ending you really wanted.\What is this doing here?\Answer it.\What? response:	You answer it.
context: You were up drawing all night again.\You really are amazing.\I want to stay at Nanohana Hall...\This is the happy ending you really wanted.\What is this doing here?\Answer it.\What?\You answer it. response:	Oh, come on!
context: You really are amazing.\I want to stay at Nanohana Hall...\This is the happy ending you really wanted.\What is this doing here?\Answer it.\What?\You answer it.\Oh, come on! response:	Yes, this is Shiina's cellphone.
context: I want to stay at Nanohana Hall...\This is the happy ending you really wanted.\What is this doing here?\Answer it.\What?\You answer it.\Oh, come on!\Yes, this is Shiina's cellphone. response:	What? Oh, thanks for earlier...
context: This is the happy ending you really wanted.\What is this doing here?\Answer it.\What?\You answer it.\Oh, come on!\Yes, this is Shiina's cellphone.\What? Oh, thanks for earlier... response:	Shiina. Shiina.
context: What is this doing here?\Answer it.\What?\You answer it.\Oh, come on!\Yes, this is Shiina's cellphone.\What? Oh, thanks for earlier...\Shiina. Shiina. response:	Wake up, Shiina.
context: Answer it.\What?\You answer it.\Oh, come on!\Yes, this is Shiina's cellphone.\What? Oh, thanks for earlier...\Shiina. Shiina.\Wake up, Shiina. response:	You're going to make your debut.
context: What?\You answer it.\Oh, come on!\Yes, this is Shiina's cellphone.\What? Oh, thanks for earlier...\Shiina. Shiina.\Wake up, Shiina.\You're going to make your debut. response:	Your debut?
context: You answer it.\Oh, come on!\Yes, this is Shiina's cellphone.\What? Oh, thanks for earlier...\Shiina. Shiina.\Wake up, Shiina.\You're going to make your debut.\Your debut? response:	No, you idiot. Yours.
context: Oh, come on!\Yes, this is Shiina's cellphone.\What? Oh, thanks for earlier...\Shiina. Shiina.\Wake up, Shiina.\You're going to make your debut.\Your debut?\No, you idiot. Yours. response:	You didn't win the New Artist Award...
context: Yes, this is Shiina's cellphone.\What? Oh, thanks for earlier...\Shiina. Shiina.\Wake up, Shiina.\You're going to make your debut.\Your debut?\No, you idiot. Yours.\You didn't win the New Artist Award... response:	but if you fix up your manuscript,
context: What? Oh, thanks for earlier...\Shiina. Shiina.\Wake up, Shiina.\You're going to make your debut.\Your debut?\No, you idiot. Yours.\You didn't win the New Artist Award...\but if you fix up your manuscript, response:	they'll print it in next month's issue.
context: Shiina. Shiina.\Wake up, Shiina.\You're going to make your debut.\Your debut?\No, you idiot. Yours.\You didn't win the New Artist Award...\but if you fix up your manuscript,\they'll print it in next month's issue. response:	It looks like you've already fixed them, though.
context: Wake up, Shiina.\You're going to make your debut.\Your debut?\No, you idiot. Yours.\You didn't win the New Artist Award...\but if you fix up your manuscript,\they'll print it in next month's issue.\It looks like you've already fixed them, though. response:	I wonder why...
context: You're going to make your debut.\Your debut?\No, you idiot. Yours.\You didn't win the New Artist Award...\but if you fix up your manuscript,\they'll print it in next month's issue.\It looks like you've already fixed them, though.\I wonder why... response:	I should be happy, but I'm crying.
context: Your debut?\No, you idiot. Yours.\You didn't win the New Artist Award...\but if you fix up your manuscript,\they'll print it in next month's issue.\It looks like you've already fixed them, though.\I wonder why...\I should be happy, but I'm crying. response:	Why?
context: No, you idiot. Yours.\You didn't win the New Artist Award...\but if you fix up your manuscript,\they'll print it in next month's issue.\It looks like you've already fixed them, though.\I wonder why...\I should be happy, but I'm crying.\Why? response:	Congratulations.
context: You didn't win the New Artist Award...\but if you fix up your manuscript,\they'll print it in next month's issue.\It looks like you've already fixed them, though.\I wonder why...\I should be happy, but I'm crying.\Why?\Congratulations. response:	We'll have to celebrate your debut.
context: but if you fix up your manuscript,\they'll print it in next month's issue.\It looks like you've already fixed them, though.\I wonder why...\I should be happy, but I'm crying.\Why?\Congratulations.\We'll have to celebrate your debut. response:	Then, I have a favor to ask of you.
context: they'll print it in next month's issue.\It looks like you've already fixed them, though.\I wonder why...\I should be happy, but I'm crying.\Why?\Congratulations.\We'll have to celebrate your debut.\Then, I have a favor to ask of you. response:	What's that?
context: It looks like you've already fixed them, though.\I wonder why...\I should be happy, but I'm crying.\Why?\Congratulations.\We'll have to celebrate your debut.\Then, I have a favor to ask of you.\What's that? response:	Call me by my name.
context: I wonder why...\I should be happy, but I'm crying.\Why?\Congratulations.\We'll have to celebrate your debut.\Then, I have a favor to ask of you.\What's that?\Call me by my name. response:	Shiina?
context: I should be happy, but I'm crying.\Why?\Congratulations.\We'll have to celebrate your debut.\Then, I have a favor to ask of you.\What's that?\Call me by my name.\Shiina? response:	Not that one.
context: Why?\Congratulations.\We'll have to celebrate your debut.\Then, I have a favor to ask of you.\What's that?\Call me by my name.\Shiina?\Not that one. response:	Hey! No, I can't do that!
context: Congratulations.\We'll have to celebrate your debut.\Then, I have a favor to ask of you.\What's that?\Call me by my name.\Shiina?\Not that one.\Hey! No, I can't do that! response:	I've never called a girl by her first name!
context: We'll have to celebrate your debut.\Then, I have a favor to ask of you.\What's that?\Call me by my name.\Shiina?\Not that one.\Hey! No, I can't do that!\I've never called a girl by her first name! response:	You call Misaki by her name...
context: Then, I have a favor to ask of you.\What's that?\Call me by my name.\Shiina?\Not that one.\Hey! No, I can't do that!\I've never called a girl by her first name!\You call Misaki by her name... response:	She's an alien!
context: What's that?\Call me by my name.\Shiina?\Not that one.\Hey! No, I can't do that!\I've never called a girl by her first name!\You call Misaki by her name...\She's an alien! response:	And Chihiro.
context: Call me by my name.\Shiina?\Not that one.\Hey! No, I can't do that!\I've never called a girl by her first name!\You call Misaki by her name...\She's an alien!\And Chihiro. response:	She's an Amazon!
context: Shiina?\Not that one.\Hey! No, I can't do that!\I've never called a girl by her first name!\You call Misaki by her name...\She's an alien!\And Chihiro.\She's an Amazon! response:	Then, what am I?
context: Not that one.\Hey! No, I can't do that!\I've never called a girl by her first name!\You call Misaki by her name...\She's an alien!\And Chihiro.\She's an Amazon!\Then, what am I? response:	Well, you're...
context: Hey! No, I can't do that!\I've never called a girl by her first name!\You call Misaki by her name...\She's an alien!\And Chihiro.\She's an Amazon!\Then, what am I?\Well, you're... response:	It's not fair.
context: I've never called a girl by her first name!\You call Misaki by her name...\She's an alien!\And Chihiro.\She's an Amazon!\Then, what am I?\Well, you're...\It's not fair. response:	Mashiro.
context: You call Misaki by her name...\She's an alien!\And Chihiro.\She's an Amazon!\Then, what am I?\Well, you're...\It's not fair.\Mashiro. response:	I knew it.
context: She's an alien!\And Chihiro.\She's an Amazon!\Then, what am I?\Well, you're...\It's not fair.\Mashiro.\I knew it. response:	You knew what?
context: And Chihiro.\She's an Amazon!\Then, what am I?\Well, you're...\It's not fair.\Mashiro.\I knew it.\You knew what? response:	I can't tell you.
context: She's an Amazon!\Then, what am I?\Well, you're...\It's not fair.\Mashiro.\I knew it.\You knew what?\I can't tell you. response:	What does that mean?
context: Then, what am I?\Well, you're...\It's not fair.\Mashiro.\I knew it.\You knew what?\I can't tell you.\What does that mean? response:	Naive!
context: Well, you're...\It's not fair.\Mashiro.\I knew it.\You knew what?\I can't tell you.\What does that mean?\Naive! response:	You're naive, Sorata!
context: It's not fair.\Mashiro.\I knew it.\You knew what?\I can't tell you.\What does that mean?\Naive!\You're naive, Sorata! response:	That's youth for you! It makes your heart race!
context: Mashiro.\I knew it.\You knew what?\I can't tell you.\What does that mean?\Naive!\You're naive, Sorata!\That's youth for you! It makes your heart race! response:	I'm sweating over here!
context: I knew it.\You knew what?\I can't tell you.\What does that mean?\Naive!\You're naive, Sorata!\That's youth for you! It makes your heart race!\I'm sweating over here! response:	H-Hey, how long were you guys listening in?
context: You knew what?\I can't tell you.\What does that mean?\Naive!\You're naive, Sorata!\That's youth for you! It makes your heart race!\I'm sweating over here!\H-Hey, how long were you guys listening in? response:	There's something I want to tell you!
context: I can't tell you.\What does that mean?\Naive!\You're naive, Sorata!\That's youth for you! It makes your heart race!\I'm sweating over here!\H-Hey, how long were you guys listening in?\There's something I want to tell you! response:	Gasp!
context: What does that mean?\Naive!\You're naive, Sorata!\That's youth for you! It makes your heart race!\I'm sweating over here!\H-Hey, how long were you guys listening in?\There's something I want to tell you!\Gasp! response:	From the beginning!
