context: Instead, let's come up with some amazing gift, and go to New York! response:	It's all-out war...
context: -Killed?! -Killed?!\S-So I lost my temper, and robbed 18 of the Russo Family's shops.\E-Eighteen?!\That must have taken all month!\N-No, one day!\-One day?! -One day?!\Jacuzzi was ten times more fearsome than usual.\And he also cried a hundred times more than usual. response:	I was out to avenge them, but it turned out...
context: S-So I lost my temper, and robbed 18 of the Russo Family's shops.\E-Eighteen?!\That must have taken all month!\N-No, one day!\-One day?! -One day?!\Jacuzzi was ten times more fearsome than usual.\And he also cried a hundred times more than usual.\I was out to avenge them, but it turned out... response:	So I'm not some outstanding person.
context: E-Eighteen?!\That must have taken all month!\N-No, one day!\-One day?! -One day?!\Jacuzzi was ten times more fearsome than usual.\And he also cried a hundred times more than usual.\I was out to avenge them, but it turned out...\So I'm not some outstanding person. response:	Don't let it bother you!
context: That must have taken all month!\N-No, one day!\-One day?! -One day?!\Jacuzzi was ten times more fearsome than usual.\And he also cried a hundred times more than usual.\I was out to avenge them, but it turned out...\So I'm not some outstanding person.\Don't let it bother you! response:	Cao Cao and Yoshitsune killed thousands, millions,
context: N-No, one day!\-One day?! -One day?!\Jacuzzi was ten times more fearsome than usual.\And he also cried a hundred times more than usual.\I was out to avenge them, but it turned out...\So I'm not some outstanding person.\Don't let it bother you!\Cao Cao and Yoshitsune killed thousands, millions, response:	billions, and trillions of people!
context: -One day?! -One day?!\Jacuzzi was ten times more fearsome than usual.\And he also cried a hundred times more than usual.\I was out to avenge them, but it turned out...\So I'm not some outstanding person.\Don't let it bother you!\Cao Cao and Yoshitsune killed thousands, millions,\billions, and trillions of people! response:	Even so, if those around them said they were great guys,
context: Jacuzzi was ten times more fearsome than usual.\And he also cried a hundred times more than usual.\I was out to avenge them, but it turned out...\So I'm not some outstanding person.\Don't let it bother you!\Cao Cao and Yoshitsune killed thousands, millions,\billions, and trillions of people!\Even so, if those around them said they were great guys, response:	then that makes them great guys!
context: And he also cried a hundred times more than usual.\I was out to avenge them, but it turned out...\So I'm not some outstanding person.\Don't let it bother you!\Cao Cao and Yoshitsune killed thousands, millions,\billions, and trillions of people!\Even so, if those around them said they were great guys,\then that makes them great guys! response:	Well, I mean, you know...
context: I was out to avenge them, but it turned out...\So I'm not some outstanding person.\Don't let it bother you!\Cao Cao and Yoshitsune killed thousands, millions,\billions, and trillions of people!\Even so, if those around them said they were great guys,\then that makes them great guys!\Well, I mean, you know... response:	You've got to live in the moment!
context: So I'm not some outstanding person.\Don't let it bother you!\Cao Cao and Yoshitsune killed thousands, millions,\billions, and trillions of people!\Even so, if those around them said they were great guys,\then that makes them great guys!\Well, I mean, you know...\You've got to live in the moment! response:	That's right!
context: Don't let it bother you!\Cao Cao and Yoshitsune killed thousands, millions,\billions, and trillions of people!\Even so, if those around them said they were great guys,\then that makes them great guys!\Well, I mean, you know...\You've got to live in the moment!\That's right! response:	So you see, Jacuzzi, we're telling you that you're a great guy.
context: Cao Cao and Yoshitsune killed thousands, millions,\billions, and trillions of people!\Even so, if those around them said they were great guys,\then that makes them great guys!\Well, I mean, you know...\You've got to live in the moment!\That's right!\So you see, Jacuzzi, we're telling you that you're a great guy. response:	Don't miss out on that wave!
context: billions, and trillions of people!\Even so, if those around them said they were great guys,\then that makes them great guys!\Well, I mean, you know...\You've got to live in the moment!\That's right!\So you see, Jacuzzi, we're telling you that you're a great guy.\Don't miss out on that wave! response:	Even if someone is against you,
context: Even so, if those around them said they were great guys,\then that makes them great guys!\Well, I mean, you know...\You've got to live in the moment!\That's right!\So you see, Jacuzzi, we're telling you that you're a great guy.\Don't miss out on that wave!\Even if someone is against you, response:	you've just got to let yourself go with the flow!
context: then that makes them great guys!\Well, I mean, you know...\You've got to live in the moment!\That's right!\So you see, Jacuzzi, we're telling you that you're a great guy.\Don't miss out on that wave!\Even if someone is against you,\you've just got to let yourself go with the flow! response:	Still, still, in order to make those waves,
context: Well, I mean, you know...\You've got to live in the moment!\That's right!\So you see, Jacuzzi, we're telling you that you're a great guy.\Don't miss out on that wave!\Even if someone is against you,\you've just got to let yourself go with the flow!\Still, still, in order to make those waves, response:	you need to have at least one of the people around you
context: You've got to live in the moment!\That's right!\So you see, Jacuzzi, we're telling you that you're a great guy.\Don't miss out on that wave!\Even if someone is against you,\you've just got to let yourself go with the flow!\Still, still, in order to make those waves,\you need to have at least one of the people around you response:	think that you're a great guy. We know you are!
context: That's right!\So you see, Jacuzzi, we're telling you that you're a great guy.\Don't miss out on that wave!\Even if someone is against you,\you've just got to let yourself go with the flow!\Still, still, in order to make those waves,\you need to have at least one of the people around you\think that you're a great guy. We know you are! response:	So, we're making waves for you!
context: So you see, Jacuzzi, we're telling you that you're a great guy.\Don't miss out on that wave!\Even if someone is against you,\you've just got to let yourself go with the flow!\Still, still, in order to make those waves,\you need to have at least one of the people around you\think that you're a great guy. We know you are!\So, we're making waves for you! response:	-Okay? -Okay?
context: Don't miss out on that wave!\Even if someone is against you,\you've just got to let yourself go with the flow!\Still, still, in order to make those waves,\you need to have at least one of the people around you\think that you're a great guy. We know you are!\So, we're making waves for you!\-Okay? -Okay? response:	Thanks.
context: Even if someone is against you,\you've just got to let yourself go with the flow!\Still, still, in order to make those waves,\you need to have at least one of the people around you\think that you're a great guy. We know you are!\So, we're making waves for you!\-Okay? -Okay?\Thanks. response:	-How. -How.
context: you've just got to let yourself go with the flow!\Still, still, in order to make those waves,\you need to have at least one of the people around you\think that you're a great guy. We know you are!\So, we're making waves for you!\-Okay? -Okay?\Thanks.\-How. -How. response:	We're going to take all of the unhappiness out of your home for you.
context: Still, still, in order to make those waves,\you need to have at least one of the people around you\think that you're a great guy. We know you are!\So, we're making waves for you!\-Okay? -Okay?\Thanks.\-How. -How.\We're going to take all of the unhappiness out of your home for you. response:	Then, the whole family will enjoy tranquility.
context: you need to have at least one of the people around you\think that you're a great guy. We know you are!\So, we're making waves for you!\-Okay? -Okay?\Thanks.\-How. -How.\We're going to take all of the unhappiness out of your home for you.\Then, the whole family will enjoy tranquility. response:	I'm sure your brother will regain his footing.
context: think that you're a great guy. We know you are!\So, we're making waves for you!\-Okay? -Okay?\Thanks.\-How. -How.\We're going to take all of the unhappiness out of your home for you.\Then, the whole family will enjoy tranquility.\I'm sure your brother will regain his footing. response:	He'll be rehabilitated!
context: So, we're making waves for you!\-Okay? -Okay?\Thanks.\-How. -How.\We're going to take all of the unhappiness out of your home for you.\Then, the whole family will enjoy tranquility.\I'm sure your brother will regain his footing.\He'll be rehabilitated! response:	-Bye. -Bye.
context: -Okay? -Okay?\Thanks.\-How. -How.\We're going to take all of the unhappiness out of your home for you.\Then, the whole family will enjoy tranquility.\I'm sure your brother will regain his footing.\He'll be rehabilitated!\-Bye. -Bye. response:	U-Um...
context: Thanks.\-How. -How.\We're going to take all of the unhappiness out of your home for you.\Then, the whole family will enjoy tranquility.\I'm sure your brother will regain his footing.\He'll be rehabilitated!\-Bye. -Bye.\U-Um... response:	That's right. What's your name?
context: -How. -How.\We're going to take all of the unhappiness out of your home for you.\Then, the whole family will enjoy tranquility.\I'm sure your brother will regain his footing.\He'll be rehabilitated!\-Bye. -Bye.\U-Um...\That's right. What's your name? response:	Eve...
context: We're going to take all of the unhappiness out of your home for you.\Then, the whole family will enjoy tranquility.\I'm sure your brother will regain his footing.\He'll be rehabilitated!\-Bye. -Bye.\U-Um...\That's right. What's your name?\Eve... response:	Eve Genoard.
context: Then, the whole family will enjoy tranquility.\I'm sure your brother will regain his footing.\He'll be rehabilitated!\-Bye. -Bye.\U-Um...\That's right. What's your name?\Eve...\Eve Genoard. response:	Eve, I'm sure that you will find happiness!
context: I'm sure your brother will regain his footing.\He'll be rehabilitated!\-Bye. -Bye.\U-Um...\That's right. What's your name?\Eve...\Eve Genoard.\Eve, I'm sure that you will find happiness! response:	Happiness?
context: He'll be rehabilitated!\-Bye. -Bye.\U-Um...\That's right. What's your name?\Eve...\Eve Genoard.\Eve, I'm sure that you will find happiness!\Happiness? response:	-Bye. -Bye.
context: -Bye. -Bye.\U-Um...\That's right. What's your name?\Eve...\Eve Genoard.\Eve, I'm sure that you will find happiness!\Happiness?\-Bye. -Bye. response:	-Bye. -Bye.
context: U-Um...\That's right. What's your name?\Eve...\Eve Genoard.\Eve, I'm sure that you will find happiness!\Happiness?\-Bye. -Bye.\-Bye. -Bye. response:	Where are you going?
context: That's right. What's your name?\Eve...\Eve Genoard.\Eve, I'm sure that you will find happiness!\Happiness?\-Bye. -Bye.\-Bye. -Bye.\Where are you going? response:	Why, to look for the Rail Tracer, of course.
context: Eve...\Eve Genoard.\Eve, I'm sure that you will find happiness!\Happiness?\-Bye. -Bye.\-Bye. -Bye.\Where are you going?\Why, to look for the Rail Tracer, of course. response:	We're going to ask it to leave this train.
context: Eve Genoard.\Eve, I'm sure that you will find happiness!\Happiness?\-Bye. -Bye.\-Bye. -Bye.\Where are you going?\Why, to look for the Rail Tracer, of course.\We're going to ask it to leave this train. response:	What if that doesn't work?
context: Eve, I'm sure that you will find happiness!\Happiness?\-Bye. -Bye.\-Bye. -Bye.\Where are you going?\Why, to look for the Rail Tracer, of course.\We're going to ask it to leave this train.\What if that doesn't work? response:	-We'll beat it up! -We'll beat it up!
context: Happiness?\-Bye. -Bye.\-Bye. -Bye.\Where are you going?\Why, to look for the Rail Tracer, of course.\We're going to ask it to leave this train.\What if that doesn't work?\-We'll beat it up! -We'll beat it up! response:	What if that still doesn't work?
context: -Bye. -Bye.\-Bye. -Bye.\Where are you going?\Why, to look for the Rail Tracer, of course.\We're going to ask it to leave this train.\What if that doesn't work?\-We'll beat it up! -We'll beat it up!\What if that still doesn't work? response:	-We'll run and hide! -We'll run and hide!
context: -Bye. -Bye.\Where are you going?\Why, to look for the Rail Tracer, of course.\We're going to ask it to leave this train.\What if that doesn't work?\-We'll beat it up! -We'll beat it up!\What if that still doesn't work?\-We'll run and hide! -We'll run and hide! response:	Huh?
context: Where are you going?\Why, to look for the Rail Tracer, of course.\We're going to ask it to leave this train.\What if that doesn't work?\-We'll beat it up! -We'll beat it up!\What if that still doesn't work?\-We'll run and hide! -We'll run and hide!\Huh? response:	The monster is sure to be strong. You'll be killed.
context: Why, to look for the Rail Tracer, of course.\We're going to ask it to leave this train.\What if that doesn't work?\-We'll beat it up! -We'll beat it up!\What if that still doesn't work?\-We'll run and hide! -We'll run and hide!\Huh?\The monster is sure to be strong. You'll be killed. response:	No problem!
context: We're going to ask it to leave this train.\What if that doesn't work?\-We'll beat it up! -We'll beat it up!\What if that still doesn't work?\-We'll run and hide! -We'll run and hide!\Huh?\The monster is sure to be strong. You'll be killed.\No problem! response:	If it comes down to it...
context: What if that doesn't work?\-We'll beat it up! -We'll beat it up!\What if that still doesn't work?\-We'll run and hide! -We'll run and hide!\Huh?\The monster is sure to be strong. You'll be killed.\No problem!\If it comes down to it... response:	I'll use my hundred-shot pistols.
context: -We'll beat it up! -We'll beat it up!\What if that still doesn't work?\-We'll run and hide! -We'll run and hide!\Huh?\The monster is sure to be strong. You'll be killed.\No problem!\If it comes down to it...\I'll use my hundred-shot pistols. response:	You don't even have a single-shot gun, do you?
context: What if that still doesn't work?\-We'll run and hide! -We'll run and hide!\Huh?\The monster is sure to be strong. You'll be killed.\No problem!\If it comes down to it...\I'll use my hundred-shot pistols.\You don't even have a single-shot gun, do you? response:	Indeed I don't.
context: -We'll run and hide! -We'll run and hide!\Huh?\The monster is sure to be strong. You'll be killed.\No problem!\If it comes down to it...\I'll use my hundred-shot pistols.\You don't even have a single-shot gun, do you?\Indeed I don't. response:	But you know what gunmen of old used to say...
context: Huh?\The monster is sure to be strong. You'll be killed.\No problem!\If it comes down to it...\I'll use my hundred-shot pistols.\You don't even have a single-shot gun, do you?\Indeed I don't.\But you know what gunmen of old used to say... response:	Everyone has a gun in their heart.
context: The monster is sure to be strong. You'll be killed.\No problem!\If it comes down to it...\I'll use my hundred-shot pistols.\You don't even have a single-shot gun, do you?\Indeed I don't.\But you know what gunmen of old used to say...\Everyone has a gun in their heart. response:	Don't go dying, now!
context: No problem!\If it comes down to it...\I'll use my hundred-shot pistols.\You don't even have a single-shot gun, do you?\Indeed I don't.\But you know what gunmen of old used to say...\Everyone has a gun in their heart.\Don't go dying, now! response:	-Bye. -Bye.
context: If it comes down to it...\I'll use my hundred-shot pistols.\You don't even have a single-shot gun, do you?\Indeed I don't.\But you know what gunmen of old used to say...\Everyone has a gun in their heart.\Don't go dying, now!\-Bye. -Bye. response:	What a couple of willful, do-as-you-please folks.
context: I'll use my hundred-shot pistols.\You don't even have a single-shot gun, do you?\Indeed I don't.\But you know what gunmen of old used to say...\Everyone has a gun in their heart.\Don't go dying, now!\-Bye. -Bye.\What a couple of willful, do-as-you-please folks. response:	Those two are much bigger bad guys than I am.
context: You don't even have a single-shot gun, do you?\Indeed I don't.\But you know what gunmen of old used to say...\Everyone has a gun in their heart.\Don't go dying, now!\-Bye. -Bye.\What a couple of willful, do-as-you-please folks.\Those two are much bigger bad guys than I am. response:	Let's go do a little as we please.
context: Indeed I don't.\But you know what gunmen of old used to say...\Everyone has a gun in their heart.\Don't go dying, now!\-Bye. -Bye.\What a couple of willful, do-as-you-please folks.\Those two are much bigger bad guys than I am.\Let's go do a little as we please. response:	If we're going to do this, let's be the biggest bad guys on the train!
context: But you know what gunmen of old used to say...\Everyone has a gun in their heart.\Don't go dying, now!\-Bye. -Bye.\What a couple of willful, do-as-you-please folks.\Those two are much bigger bad guys than I am.\Let's go do a little as we please.\If we're going to do this, let's be the biggest bad guys on the train! response:	Yeah. Sounds like fun, Jacuzzi.
context: Everyone has a gun in their heart.\Don't go dying, now!\-Bye. -Bye.\What a couple of willful, do-as-you-please folks.\Those two are much bigger bad guys than I am.\Let's go do a little as we please.\If we're going to do this, let's be the biggest bad guys on the train!\Yeah. Sounds like fun, Jacuzzi. response:	That's the end of that, huh?
context: Don't go dying, now!\-Bye. -Bye.\What a couple of willful, do-as-you-please folks.\Those two are much bigger bad guys than I am.\Let's go do a little as we please.\If we're going to do this, let's be the biggest bad guys on the train!\Yeah. Sounds like fun, Jacuzzi.\That's the end of that, huh? response:	The end of that.
context: -Bye. -Bye.\What a couple of willful, do-as-you-please folks.\Those two are much bigger bad guys than I am.\Let's go do a little as we please.\If we're going to do this, let's be the biggest bad guys on the train!\Yeah. Sounds like fun, Jacuzzi.\That's the end of that, huh?\The end of that. response:	You know, this car looks just like the one that hit us, huh?
context: What a couple of willful, do-as-you-please folks.\Those two are much bigger bad guys than I am.\Let's go do a little as we please.\If we're going to do this, let's be the biggest bad guys on the train!\Yeah. Sounds like fun, Jacuzzi.\That's the end of that, huh?\The end of that.\You know, this car looks just like the one that hit us, huh? response:	Just like it, huh?
context: Those two are much bigger bad guys than I am.\Let's go do a little as we please.\If we're going to do this, let's be the biggest bad guys on the train!\Yeah. Sounds like fun, Jacuzzi.\That's the end of that, huh?\The end of that.\You know, this car looks just like the one that hit us, huh?\Just like it, huh? response:	Um, actually...
context: Let's go do a little as we please.\If we're going to do this, let's be the biggest bad guys on the train!\Yeah. Sounds like fun, Jacuzzi.\That's the end of that, huh?\The end of that.\You know, this car looks just like the one that hit us, huh?\Just like it, huh?\Um, actually... response:	-Huh? -Huh?
context: If we're going to do this, let's be the biggest bad guys on the train!\Yeah. Sounds like fun, Jacuzzi.\That's the end of that, huh?\The end of that.\You know, this car looks just like the one that hit us, huh?\Just like it, huh?\Um, actually...\-Huh? -Huh? response:	Nothing, never mind.
context: Yeah. Sounds like fun, Jacuzzi.\That's the end of that, huh?\The end of that.\You know, this car looks just like the one that hit us, huh?\Just like it, huh?\Um, actually...\-Huh? -Huh?\Nothing, never mind. response:	By the way, miss, where are you taking these guys?
context: That's the end of that, huh?\The end of that.\You know, this car looks just like the one that hit us, huh?\Just like it, huh?\Um, actually...\-Huh? -Huh?\Nothing, never mind.\By the way, miss, where are you taking these guys? response:	To the police.
context: The end of that.\You know, this car looks just like the one that hit us, huh?\Just like it, huh?\Um, actually...\-Huh? -Huh?\Nothing, never mind.\By the way, miss, where are you taking these guys?\To the police. response:	I see. Well then, this is goodbye.
context: You know, this car looks just like the one that hit us, huh?\Just like it, huh?\Um, actually...\-Huh? -Huh?\Nothing, never mind.\By the way, miss, where are you taking these guys?\To the police.\I see. Well then, this is goodbye. response:	That's too bad.
context: Just like it, huh?\Um, actually...\-Huh? -Huh?\Nothing, never mind.\By the way, miss, where are you taking these guys?\To the police.\I see. Well then, this is goodbye.\That's too bad. response:	Is something the matter?
context: Um, actually...\-Huh? -Huh?\Nothing, never mind.\By the way, miss, where are you taking these guys?\To the police.\I see. Well then, this is goodbye.\That's too bad.\Is something the matter? response:	The police might be a bit, you know...
context: -Huh? -Huh?\Nothing, never mind.\By the way, miss, where are you taking these guys?\To the police.\I see. Well then, this is goodbye.\That's too bad.\Is something the matter?\The police might be a bit, you know... response:	They would arrest us, and all.
context: Nothing, never mind.\By the way, miss, where are you taking these guys?\To the police.\I see. Well then, this is goodbye.\That's too bad.\Is something the matter?\The police might be a bit, you know...\They would arrest us, and all. response:	Well, if I had to say, we're kind of on a journey to redeem ourselves.
context: By the way, miss, where are you taking these guys?\To the police.\I see. Well then, this is goodbye.\That's too bad.\Is something the matter?\The police might be a bit, you know...\They would arrest us, and all.\Well, if I had to say, we're kind of on a journey to redeem ourselves. response:	We're doing good things, to make up for all the bad things we've done.
context: To the police.\I see. Well then, this is goodbye.\That's too bad.\Is something the matter?\The police might be a bit, you know...\They would arrest us, and all.\Well, if I had to say, we're kind of on a journey to redeem ourselves.\We're doing good things, to make up for all the bad things we've done. response:	I see. You two are strong, aren't you?
context: I see. Well then, this is goodbye.\That's too bad.\Is something the matter?\The police might be a bit, you know...\They would arrest us, and all.\Well, if I had to say, we're kind of on a journey to redeem ourselves.\We're doing good things, to make up for all the bad things we've done.\I see. You two are strong, aren't you? response:	Oh, yes, I'm strong!
context: That's too bad.\Is something the matter?\The police might be a bit, you know...\They would arrest us, and all.\Well, if I had to say, we're kind of on a journey to redeem ourselves.\We're doing good things, to make up for all the bad things we've done.\I see. You two are strong, aren't you?\Oh, yes, I'm strong! response:	I'm strong!
context: Is something the matter?\The police might be a bit, you know...\They would arrest us, and all.\Well, if I had to say, we're kind of on a journey to redeem ourselves.\We're doing good things, to make up for all the bad things we've done.\I see. You two are strong, aren't you?\Oh, yes, I'm strong!\I'm strong! response:	I'm so afraid to face my sins, I can't stand it.
context: The police might be a bit, you know...\They would arrest us, and all.\Well, if I had to say, we're kind of on a journey to redeem ourselves.\We're doing good things, to make up for all the bad things we've done.\I see. You two are strong, aren't you?\Oh, yes, I'm strong!\I'm strong!\I'm so afraid to face my sins, I can't stand it. response:	What do you mean, miss? Have you done something bad?
context: They would arrest us, and all.\Well, if I had to say, we're kind of on a journey to redeem ourselves.\We're doing good things, to make up for all the bad things we've done.\I see. You two are strong, aren't you?\Oh, yes, I'm strong!\I'm strong!\I'm so afraid to face my sins, I can't stand it.\What do you mean, miss? Have you done something bad? response:	I've...
context: Well, if I had to say, we're kind of on a journey to redeem ourselves.\We're doing good things, to make up for all the bad things we've done.\I see. You two are strong, aren't you?\Oh, yes, I'm strong!\I'm strong!\I'm so afraid to face my sins, I can't stand it.\What do you mean, miss? Have you done something bad?\I've... response:	I don't know what might have happened,
context: We're doing good things, to make up for all the bad things we've done.\I see. You two are strong, aren't you?\Oh, yes, I'm strong!\I'm strong!\I'm so afraid to face my sins, I can't stand it.\What do you mean, miss? Have you done something bad?\I've...\I don't know what might have happened, response:	but you just got done saving us, right?!
context: I see. You two are strong, aren't you?\Oh, yes, I'm strong!\I'm strong!\I'm so afraid to face my sins, I can't stand it.\What do you mean, miss? Have you done something bad?\I've...\I don't know what might have happened,\but you just got done saving us, right?! response:	So then, let's just call it even!
context: Oh, yes, I'm strong!\I'm strong!\I'm so afraid to face my sins, I can't stand it.\What do you mean, miss? Have you done something bad?\I've...\I don't know what might have happened,\but you just got done saving us, right?!\So then, let's just call it even! response:	Mm-hmm! However many bad things a bad person has done,
context: I'm strong!\I'm so afraid to face my sins, I can't stand it.\What do you mean, miss? Have you done something bad?\I've...\I don't know what might have happened,\but you just got done saving us, right?!\So then, let's just call it even!\Mm-hmm! However many bad things a bad person has done, response:	if they do one good thing, everyone will think,
context: I'm so afraid to face my sins, I can't stand it.\What do you mean, miss? Have you done something bad?\I've...\I don't know what might have happened,\but you just got done saving us, right?!\So then, let's just call it even!\Mm-hmm! However many bad things a bad person has done,\if they do one good thing, everyone will think, response:	maybe they really are a good person, after all!
context: What do you mean, miss? Have you done something bad?\I've...\I don't know what might have happened,\but you just got done saving us, right?!\So then, let's just call it even!\Mm-hmm! However many bad things a bad person has done,\if they do one good thing, everyone will think,\maybe they really are a good person, after all! response:	-So, call it even! -So, call it even!
context: I've...\I don't know what might have happened,\but you just got done saving us, right?!\So then, let's just call it even!\Mm-hmm! However many bad things a bad person has done,\if they do one good thing, everyone will think,\maybe they really are a good person, after all!\-So, call it even! -So, call it even! response:	-Okay?! -Okay?!
context: I don't know what might have happened,\but you just got done saving us, right?!\So then, let's just call it even!\Mm-hmm! However many bad things a bad person has done,\if they do one good thing, everyone will think,\maybe they really are a good person, after all!\-So, call it even! -So, call it even!\-Okay?! -Okay?! response:	T-Thanks...
context: but you just got done saving us, right?!\So then, let's just call it even!\Mm-hmm! However many bad things a bad person has done,\if they do one good thing, everyone will think,\maybe they really are a good person, after all!\-So, call it even! -So, call it even!\-Okay?! -Okay?!\T-Thanks... response:	I have to go now.
context: So then, let's just call it even!\Mm-hmm! However many bad things a bad person has done,\if they do one good thing, everyone will think,\maybe they really are a good person, after all!\-So, call it even! -So, call it even!\-Okay?! -Okay?!\T-Thanks...\I have to go now. response:	Yeah, okay. Oh, I'm Isaac Dian.
context: Mm-hmm! However many bad things a bad person has done,\if they do one good thing, everyone will think,\maybe they really are a good person, after all!\-So, call it even! -So, call it even!\-Okay?! -Okay?!\T-Thanks...\I have to go now.\Yeah, okay. Oh, I'm Isaac Dian. response:	I'm Miria Harvent.
context: if they do one good thing, everyone will think,\maybe they really are a good person, after all!\-So, call it even! -So, call it even!\-Okay?! -Okay?!\T-Thanks...\I have to go now.\Yeah, okay. Oh, I'm Isaac Dian.\I'm Miria Harvent. response:	I-I'm Ennis. No last name.
context: maybe they really are a good person, after all!\-So, call it even! -So, call it even!\-Okay?! -Okay?!\T-Thanks...\I have to go now.\Yeah, okay. Oh, I'm Isaac Dian.\I'm Miria Harvent.\I-I'm Ennis. No last name. response:	You don't say? No last name, huh? That's unusual.
context: -So, call it even! -So, call it even!\-Okay?! -Okay?!\T-Thanks...\I have to go now.\Yeah, okay. Oh, I'm Isaac Dian.\I'm Miria Harvent.\I-I'm Ennis. No last name.\You don't say? No last name, huh? That's unusual. response:	We'll remember it. Ennis. Ennis, right?
context: -Okay?! -Okay?!\T-Thanks...\I have to go now.\Yeah, okay. Oh, I'm Isaac Dian.\I'm Miria Harvent.\I-I'm Ennis. No last name.\You don't say? No last name, huh? That's unusual.\We'll remember it. Ennis. Ennis, right? response:	Bye, now, Ennis!
context: T-Thanks...\I have to go now.\Yeah, okay. Oh, I'm Isaac Dian.\I'm Miria Harvent.\I-I'm Ennis. No last name.\You don't say? No last name, huh? That's unusual.\We'll remember it. Ennis. Ennis, right?\Bye, now, Ennis! response:	Bye, now!
context: I have to go now.\Yeah, okay. Oh, I'm Isaac Dian.\I'm Miria Harvent.\I-I'm Ennis. No last name.\You don't say? No last name, huh? That's unusual.\We'll remember it. Ennis. Ennis, right?\Bye, now, Ennis!\Bye, now! response:	Hey!
context: Yeah, okay. Oh, I'm Isaac Dian.\I'm Miria Harvent.\I-I'm Ennis. No last name.\You don't say? No last name, huh? That's unusual.\We'll remember it. Ennis. Ennis, right?\Bye, now, Ennis!\Bye, now!\Hey! response:	See you later!
context: I'm Miria Harvent.\I-I'm Ennis. No last name.\You don't say? No last name, huh? That's unusual.\We'll remember it. Ennis. Ennis, right?\Bye, now, Ennis!\Bye, now!\Hey!\See you later! response:	We'll see you later!
context: I-I'm Ennis. No last name.\You don't say? No last name, huh? That's unusual.\We'll remember it. Ennis. Ennis, right?\Bye, now, Ennis!\Bye, now!\Hey!\See you later!\We'll see you later! response:	Bye-bye!
context: You don't say? No last name, huh? That's unusual.\We'll remember it. Ennis. Ennis, right?\Bye, now, Ennis!\Bye, now!\Hey!\See you later!\We'll see you later!\Bye-bye! response:	See you later.
context: We'll remember it. Ennis. Ennis, right?\Bye, now, Ennis!\Bye, now!\Hey!\See you later!\We'll see you later!\Bye-bye!\See you later. response:	Eve...
context: Bye, now, Ennis!\Bye, now!\Hey!\See you later!\We'll see you later!\Bye-bye!\See you later.\Eve... response:	Eve...
context: Bye, now!\Hey!\See you later!\We'll see you later!\Bye-bye!\See you later.\Eve...\Eve... response:	Big Brother Dallas...
context: Hey!\See you later!\We'll see you later!\Bye-bye!\See you later.\Eve...\Eve...\Big Brother Dallas... response:	Sorry I've been away so long.
context: See you later!\We'll see you later!\Bye-bye!\See you later.\Eve...\Eve...\Big Brother Dallas...\Sorry I've been away so long. response:	What do you say tonight,
context: We'll see you later!\Bye-bye!\See you later.\Eve...\Eve...\Big Brother Dallas...\Sorry I've been away so long.\What do you say tonight, response:	I teach you some billiards or something, for old time's sake?
context: Bye-bye!\See you later.\Eve...\Eve...\Big Brother Dallas...\Sorry I've been away so long.\What do you say tonight,\I teach you some billiards or something, for old time's sake? response:	Mm-hmm.
context: See you later.\Eve...\Eve...\Big Brother Dallas...\Sorry I've been away so long.\What do you say tonight,\I teach you some billiards or something, for old time's sake?\Mm-hmm. response:	Oh, no!
context: Eve...\Eve...\Big Brother Dallas...\Sorry I've been away so long.\What do you say tonight,\I teach you some billiards or something, for old time's sake?\Mm-hmm.\Oh, no! response:	We've been robbed!
context: Eve...\Big Brother Dallas...\Sorry I've been away so long.\What do you say tonight,\I teach you some billiards or something, for old time's sake?\Mm-hmm.\Oh, no!\We've been robbed! response:	I'll go see what it is.
context: Big Brother Dallas...\Sorry I've been away so long.\What do you say tonight,\I teach you some billiards or something, for old time's sake?\Mm-hmm.\Oh, no!\We've been robbed!\I'll go see what it is. response:	Mm-hmm.
context: Sorry I've been away so long.\What do you say tonight,\I teach you some billiards or something, for old time's sake?\Mm-hmm.\Oh, no!\We've been robbed!\I'll go see what it is.\Mm-hmm. response:	Stop that praying, will you?!
context: What do you say tonight,\I teach you some billiards or something, for old time's sake?\Mm-hmm.\Oh, no!\We've been robbed!\I'll go see what it is.\Mm-hmm.\Stop that praying, will you?! response:	They say there's been a burglar. I can't take this.
context: I teach you some billiards or something, for old time's sake?\Mm-hmm.\Oh, no!\We've been robbed!\I'll go see what it is.\Mm-hmm.\Stop that praying, will you?!\They say there's been a burglar. I can't take this. response:	And here, I came home for some spending money
context: Mm-hmm.\Oh, no!\We've been robbed!\I'll go see what it is.\Mm-hmm.\Stop that praying, will you?!\They say there's been a burglar. I can't take this.\And here, I came home for some spending money response:	because I'd inherited something from Grandpa.
context: Oh, no!\We've been robbed!\I'll go see what it is.\Mm-hmm.\Stop that praying, will you?!\They say there's been a burglar. I can't take this.\And here, I came home for some spending money\because I'd inherited something from Grandpa. response:	Big Brother...
context: We've been robbed!\I'll go see what it is.\Mm-hmm.\Stop that praying, will you?!\They say there's been a burglar. I can't take this.\And here, I came home for some spending money\because I'd inherited something from Grandpa.\Big Brother... response:	You're a fool for believing in God!
context: I'll go see what it is.\Mm-hmm.\Stop that praying, will you?!\They say there's been a burglar. I can't take this.\And here, I came home for some spending money\because I'd inherited something from Grandpa.\Big Brother...\You're a fool for believing in God! response:	Looking up at the starry sky that goes on forever, we sing
