context: - What do you do on your days off? - I heard your radio show yesterday. response:	If you'd like, how about some tea later today?
context: In the future, there may be a challenge for you\that is beyond all your expectations. That's what I mean.\With an ability that lets me take over someone for only 5 seconds, what can I do?\That's for you to\No, nothing.\What? How you put it gets me curious.\With that attractive a face, you might have issues dealing with women...\I just didn't want to say that because I'm annoyed by it. response:	Yeah, really.
context: that is beyond all your expectations. That's what I mean.\With an ability that lets me take over someone for only 5 seconds, what can I do?\That's for you to\No, nothing.\What? How you put it gets me curious.\With that attractive a face, you might have issues dealing with women...\I just didn't want to say that because I'm annoyed by it.\Yeah, really. response:	I was just dumped by a intelligent and beautiful girl thanks to this ability.
context: With an ability that lets me take over someone for only 5 seconds, what can I do?\That's for you to\No, nothing.\What? How you put it gets me curious.\With that attractive a face, you might have issues dealing with women...\I just didn't want to say that because I'm annoyed by it.\Yeah, really.\I was just dumped by a intelligent and beautiful girl thanks to this ability. response:	That was a wise choice.
context: That's for you to\No, nothing.\What? How you put it gets me curious.\With that attractive a face, you might have issues dealing with women...\I just didn't want to say that because I'm annoyed by it.\Yeah, really.\I was just dumped by a intelligent and beautiful girl thanks to this ability.\That was a wise choice. response:	Love and romance should be built up after we are freed of these abilities.
context: No, nothing.\What? How you put it gets me curious.\With that attractive a face, you might have issues dealing with women...\I just didn't want to say that because I'm annoyed by it.\Yeah, really.\I was just dumped by a intelligent and beautiful girl thanks to this ability.\That was a wise choice.\Love and romance should be built up after we are freed of these abilities. response:	Just exactly how old do we need to be for them to be gone?
context: What? How you put it gets me curious.\With that attractive a face, you might have issues dealing with women...\I just didn't want to say that because I'm annoyed by it.\Yeah, really.\I was just dumped by a intelligent and beautiful girl thanks to this ability.\That was a wise choice.\Love and romance should be built up after we are freed of these abilities.\Just exactly how old do we need to be for them to be gone? response:	It should be gone by the time we graduate from high school.
context: With that attractive a face, you might have issues dealing with women...\I just didn't want to say that because I'm annoyed by it.\Yeah, really.\I was just dumped by a intelligent and beautiful girl thanks to this ability.\That was a wise choice.\Love and romance should be built up after we are freed of these abilities.\Just exactly how old do we need to be for them to be gone?\It should be gone by the time we graduate from high school. response:	Two more years, huh... that's a long time.
context: I just didn't want to say that because I'm annoyed by it.\Yeah, really.\I was just dumped by a intelligent and beautiful girl thanks to this ability.\That was a wise choice.\Love and romance should be built up after we are freed of these abilities.\Just exactly how old do we need to be for them to be gone?\It should be gone by the time we graduate from high school.\Two more years, huh... that's a long time. response:	Yes. For us, it is a very long time.
context: Yeah, really.\I was just dumped by a intelligent and beautiful girl thanks to this ability.\That was a wise choice.\Love and romance should be built up after we are freed of these abilities.\Just exactly how old do we need to be for them to be gone?\It should be gone by the time we graduate from high school.\Two more years, huh... that's a long time.\Yes. For us, it is a very long time. response:	In any case... this is too cold...
context: I was just dumped by a intelligent and beautiful girl thanks to this ability.\That was a wise choice.\Love and romance should be built up after we are freed of these abilities.\Just exactly how old do we need to be for them to be gone?\It should be gone by the time we graduate from high school.\Two more years, huh... that's a long time.\Yes. For us, it is a very long time.\In any case... this is too cold... response:	This warms me up...
context: That was a wise choice.\Love and romance should be built up after we are freed of these abilities.\Just exactly how old do we need to be for them to be gone?\It should be gone by the time we graduate from high school.\Two more years, huh... that's a long time.\Yes. For us, it is a very long time.\In any case... this is too cold...\This warms me up... response:	Then, we'll sleep using the same rotation as yesterday.
context: Love and romance should be built up after we are freed of these abilities.\Just exactly how old do we need to be for them to be gone?\It should be gone by the time we graduate from high school.\Two more years, huh... that's a long time.\Yes. For us, it is a very long time.\In any case... this is too cold...\This warms me up...\Then, we'll sleep using the same rotation as yesterday. response:	Tomorrow is Monday, right? Are we going to head straight to school from here?
context: Just exactly how old do we need to be for them to be gone?\It should be gone by the time we graduate from high school.\Two more years, huh... that's a long time.\Yes. For us, it is a very long time.\In any case... this is too cold...\This warms me up...\Then, we'll sleep using the same rotation as yesterday.\Tomorrow is Monday, right? Are we going to head straight to school from here? response:	I've been telling you from the beginning that we're staking out until the person shows up.
context: It should be gone by the time we graduate from high school.\Two more years, huh... that's a long time.\Yes. For us, it is a very long time.\In any case... this is too cold...\This warms me up...\Then, we'll sleep using the same rotation as yesterday.\Tomorrow is Monday, right? Are we going to head straight to school from here?\I've been telling you from the beginning that we're staking out until the person shows up. response:	This is just too impossible... it's as if we're living here now.
context: Two more years, huh... that's a long time.\Yes. For us, it is a very long time.\In any case... this is too cold...\This warms me up...\Then, we'll sleep using the same rotation as yesterday.\Tomorrow is Monday, right? Are we going to head straight to school from here?\I've been telling you from the beginning that we're staking out until the person shows up.\This is just too impossible... it's as if we're living here now. response:	That's exactly what I'm after.
context: Yes. For us, it is a very long time.\In any case... this is too cold...\This warms me up...\Then, we'll sleep using the same rotation as yesterday.\Tomorrow is Monday, right? Are we going to head straight to school from here?\I've been telling you from the beginning that we're staking out until the person shows up.\This is just too impossible... it's as if we're living here now.\That's exactly what I'm after. response:	Besides, ditching class will not affect our school reports at all.
context: In any case... this is too cold...\This warms me up...\Then, we'll sleep using the same rotation as yesterday.\Tomorrow is Monday, right? Are we going to head straight to school from here?\I've been telling you from the beginning that we're staking out until the person shows up.\This is just too impossible... it's as if we're living here now.\That's exactly what I'm after.\Besides, ditching class will not affect our school reports at all. response:	Even so, I'd really like to go home. I have a younger sister.
context: This warms me up...\Then, we'll sleep using the same rotation as yesterday.\Tomorrow is Monday, right? Are we going to head straight to school from here?\I've been telling you from the beginning that we're staking out until the person shows up.\This is just too impossible... it's as if we're living here now.\That's exactly what I'm after.\Besides, ditching class will not affect our school reports at all.\Even so, I'd really like to go home. I have a younger sister. response:	I already know that.
context: Then, we'll sleep using the same rotation as yesterday.\Tomorrow is Monday, right? Are we going to head straight to school from here?\I've been telling you from the beginning that we're staking out until the person shows up.\This is just too impossible... it's as if we're living here now.\That's exactly what I'm after.\Besides, ditching class will not affect our school reports at all.\Even so, I'd really like to go home. I have a younger sister.\I already know that. response:	Then, I'll promise to be back in the morning, so let me go home for now.
context: Tomorrow is Monday, right? Are we going to head straight to school from here?\I've been telling you from the beginning that we're staking out until the person shows up.\This is just too impossible... it's as if we're living here now.\That's exactly what I'm after.\Besides, ditching class will not affect our school reports at all.\Even so, I'd really like to go home. I have a younger sister.\I already know that.\Then, I'll promise to be back in the morning, so let me go home for now. response:	I can't. If I allow that for you, everyone else will say the same thing.
context: I've been telling you from the beginning that we're staking out until the person shows up.\This is just too impossible... it's as if we're living here now.\That's exactly what I'm after.\Besides, ditching class will not affect our school reports at all.\Even so, I'd really like to go home. I have a younger sister.\I already know that.\Then, I'll promise to be back in the morning, so let me go home for now.\I can't. If I allow that for you, everyone else will say the same thing. response:	Besides, I think it will be all right.
context: This is just too impossible... it's as if we're living here now.\That's exactly what I'm after.\Besides, ditching class will not affect our school reports at all.\Even so, I'd really like to go home. I have a younger sister.\I already know that.\Then, I'll promise to be back in the morning, so let me go home for now.\I can't. If I allow that for you, everyone else will say the same thing.\Besides, I think it will be all right. response:	What will?
context: That's exactly what I'm after.\Besides, ditching class will not affect our school reports at all.\Even so, I'd really like to go home. I have a younger sister.\I already know that.\Then, I'll promise to be back in the morning, so let me go home for now.\I can't. If I allow that for you, everyone else will say the same thing.\Besides, I think it will be all right.\What will? response:	I believe everything will be squared out by tomorrow.
context: Besides, ditching class will not affect our school reports at all.\Even so, I'd really like to go home. I have a younger sister.\I already know that.\Then, I'll promise to be back in the morning, so let me go home for now.\I can't. If I allow that for you, everyone else will say the same thing.\Besides, I think it will be all right.\What will?\I believe everything will be squared out by tomorrow. response:	Corn again...
context: Even so, I'd really like to go home. I have a younger sister.\I already know that.\Then, I'll promise to be back in the morning, so let me go home for now.\I can't. If I allow that for you, everyone else will say the same thing.\Besides, I think it will be all right.\What will?\I believe everything will be squared out by tomorrow.\Corn again... response:	Um...
context: I already know that.\Then, I'll promise to be back in the morning, so let me go home for now.\I can't. If I allow that for you, everyone else will say the same thing.\Besides, I think it will be all right.\What will?\I believe everything will be squared out by tomorrow.\Corn again...\Um... response:	What are you doing all the way here?
context: Then, I'll promise to be back in the morning, so let me go home for now.\I can't. If I allow that for you, everyone else will say the same thing.\Besides, I think it will be all right.\What will?\I believe everything will be squared out by tomorrow.\Corn again...\Um...\What are you doing all the way here? response:	Someone really showed up! Is it this guy?
context: I can't. If I allow that for you, everyone else will say the same thing.\Besides, I think it will be all right.\What will?\I believe everything will be squared out by tomorrow.\Corn again...\Um...\What are you doing all the way here?\Someone really showed up! Is it this guy? response:	Well, we all ran away from home.
context: Besides, I think it will be all right.\What will?\I believe everything will be squared out by tomorrow.\Corn again...\Um...\What are you doing all the way here?\Someone really showed up! Is it this guy?\Well, we all ran away from home. response:	We each have our own reasons, but we just hit it off really well.
context: What will?\I believe everything will be squared out by tomorrow.\Corn again...\Um...\What are you doing all the way here?\Someone really showed up! Is it this guy?\Well, we all ran away from home.\We each have our own reasons, but we just hit it off really well. response:	Another obvious lie...
context: I believe everything will be squared out by tomorrow.\Corn again...\Um...\What are you doing all the way here?\Someone really showed up! Is it this guy?\Well, we all ran away from home.\We each have our own reasons, but we just hit it off really well.\Another obvious lie... response:	Do you mean you're going to continue staying here?
context: Corn again...\Um...\What are you doing all the way here?\Someone really showed up! Is it this guy?\Well, we all ran away from home.\We each have our own reasons, but we just hit it off really well.\Another obvious lie...\Do you mean you're going to continue staying here? response:	Yes. We're planning on staying here forever. Because people won't find us out if we're here.
context: Um...\What are you doing all the way here?\Someone really showed up! Is it this guy?\Well, we all ran away from home.\We each have our own reasons, but we just hit it off really well.\Another obvious lie...\Do you mean you're going to continue staying here?\Yes. We're planning on staying here forever. Because people won't find us out if we're here. response:	But I found you out. I'm sure your parents are worried as well.
context: What are you doing all the way here?\Someone really showed up! Is it this guy?\Well, we all ran away from home.\We each have our own reasons, but we just hit it off really well.\Another obvious lie...\Do you mean you're going to continue staying here?\Yes. We're planning on staying here forever. Because people won't find us out if we're here.\But I found you out. I'm sure your parents are worried as well. response:	If you call the police, you'll be detained as well.
context: Someone really showed up! Is it this guy?\Well, we all ran away from home.\We each have our own reasons, but we just hit it off really well.\Another obvious lie...\Do you mean you're going to continue staying here?\Yes. We're planning on staying here forever. Because people won't find us out if we're here.\But I found you out. I'm sure your parents are worried as well.\If you call the police, you'll be detained as well. response:	Why?
context: Well, we all ran away from home.\We each have our own reasons, but we just hit it off really well.\Another obvious lie...\Do you mean you're going to continue staying here?\Yes. We're planning on staying here forever. Because people won't find us out if we're here.\But I found you out. I'm sure your parents are worried as well.\If you call the police, you'll be detained as well.\Why? response:	This is private property.
context: We each have our own reasons, but we just hit it off really well.\Another obvious lie...\Do you mean you're going to continue staying here?\Yes. We're planning on staying here forever. Because people won't find us out if we're here.\But I found you out. I'm sure your parents are worried as well.\If you call the police, you'll be detained as well.\Why?\This is private property. response:	Private property - Keep out!
context: Another obvious lie...\Do you mean you're going to continue staying here?\Yes. We're planning on staying here forever. Because people won't find us out if we're here.\But I found you out. I'm sure your parents are worried as well.\If you call the police, you'll be detained as well.\Why?\This is private property.\Private property - Keep out! response:	And this, too.
context: Do you mean you're going to continue staying here?\Yes. We're planning on staying here forever. Because people won't find us out if we're here.\But I found you out. I'm sure your parents are worried as well.\If you call the police, you'll be detained as well.\Why?\This is private property.\Private property - Keep out!\And this, too. response:	This is you, right?
context: Yes. We're planning on staying here forever. Because people won't find us out if we're here.\But I found you out. I'm sure your parents are worried as well.\If you call the police, you'll be detained as well.\Why?\This is private property.\Private property - Keep out!\And this, too.\This is you, right? response:	What is that?
context: But I found you out. I'm sure your parents are worried as well.\If you call the police, you'll be detained as well.\Why?\This is private property.\Private property - Keep out!\And this, too.\This is you, right?\What is that? response:	A scoop article of you practicing flight.
context: If you call the police, you'll be detained as well.\Why?\This is private property.\Private property - Keep out!\And this, too.\This is you, right?\What is that?\A scoop article of you practicing flight. response:	Flight..?
context: Why?\This is private property.\Private property - Keep out!\And this, too.\This is you, right?\What is that?\A scoop article of you practicing flight.\Flight..? response:	In mountains that people can normally enter, you can easily catch the eye of others.
context: This is private property.\Private property - Keep out!\And this, too.\This is you, right?\What is that?\A scoop article of you practicing flight.\Flight..?\In mountains that people can normally enter, you can easily catch the eye of others. response:	This place is close, and for you, a convenient mountain.
context: Private property - Keep out!\And this, too.\This is you, right?\What is that?\A scoop article of you practicing flight.\Flight..?\In mountains that people can normally enter, you can easily catch the eye of others.\This place is close, and for you, a convenient mountain. response:	But we camped out, and don't seem to show any signs of leaving.
context: And this, too.\This is you, right?\What is that?\A scoop article of you practicing flight.\Flight..?\In mountains that people can normally enter, you can easily catch the eye of others.\This place is close, and for you, a convenient mountain.\But we camped out, and don't seem to show any signs of leaving. response:	You got restless, and showed yourself before us.
context: This is you, right?\What is that?\A scoop article of you practicing flight.\Flight..?\In mountains that people can normally enter, you can easily catch the eye of others.\This place is close, and for you, a convenient mountain.\But we camped out, and don't seem to show any signs of leaving.\You got restless, and showed yourself before us. response:	So that you could shoo us away, then practice your flying once again.
context: What is that?\A scoop article of you practicing flight.\Flight..?\In mountains that people can normally enter, you can easily catch the eye of others.\This place is close, and for you, a convenient mountain.\But we camped out, and don't seem to show any signs of leaving.\You got restless, and showed yourself before us.\So that you could shoo us away, then practice your flying once again. response:	I can't fly. You must be insane. I'll call the police for you.
context: A scoop article of you practicing flight.\Flight..?\In mountains that people can normally enter, you can easily catch the eye of others.\This place is close, and for you, a convenient mountain.\But we camped out, and don't seem to show any signs of leaving.\You got restless, and showed yourself before us.\So that you could shoo us away, then practice your flying once again.\I can't fly. You must be insane. I'll call the police for you. response:	I think you're pretty insane yourself for coming all the way out here all alone, too?
context: Flight..?\In mountains that people can normally enter, you can easily catch the eye of others.\This place is close, and for you, a convenient mountain.\But we camped out, and don't seem to show any signs of leaving.\You got restless, and showed yourself before us.\So that you could shoo us away, then practice your flying once again.\I can't fly. You must be insane. I'll call the police for you.\I think you're pretty insane yourself for coming all the way out here all alone, too? response:	I came to pick some chestnuts.
context: In mountains that people can normally enter, you can easily catch the eye of others.\This place is close, and for you, a convenient mountain.\But we camped out, and don't seem to show any signs of leaving.\You got restless, and showed yourself before us.\So that you could shoo us away, then practice your flying once again.\I can't fly. You must be insane. I'll call the police for you.\I think you're pretty insane yourself for coming all the way out here all alone, too?\I came to pick some chestnuts. response:	There aren't any chestnuts this time of the year, right?
context: This place is close, and for you, a convenient mountain.\But we camped out, and don't seem to show any signs of leaving.\You got restless, and showed yourself before us.\So that you could shoo us away, then practice your flying once again.\I can't fly. You must be insane. I'll call the police for you.\I think you're pretty insane yourself for coming all the way out here all alone, too?\I came to pick some chestnuts.\There aren't any chestnuts this time of the year, right? response:	And I already recorded evidence that you were here at this time.
context: But we camped out, and don't seem to show any signs of leaving.\You got restless, and showed yourself before us.\So that you could shoo us away, then practice your flying once again.\I can't fly. You must be insane. I'll call the police for you.\I think you're pretty insane yourself for coming all the way out here all alone, too?\I came to pick some chestnuts.\There aren't any chestnuts this time of the year, right?\And I already recorded evidence that you were here at this time. response:	How troublesome!
context: You got restless, and showed yourself before us.\So that you could shoo us away, then practice your flying once again.\I can't fly. You must be insane. I'll call the police for you.\I think you're pretty insane yourself for coming all the way out here all alone, too?\I came to pick some chestnuts.\There aren't any chestnuts this time of the year, right?\And I already recorded evidence that you were here at this time.\How troublesome! response:	Give it to me. I'll erase it!
context: So that you could shoo us away, then practice your flying once again.\I can't fly. You must be insane. I'll call the police for you.\I think you're pretty insane yourself for coming all the way out here all alone, too?\I came to pick some chestnuts.\There aren't any chestnuts this time of the year, right?\And I already recorded evidence that you were here at this time.\How troublesome!\Give it to me. I'll erase it! response:	Yes!
context: I can't fly. You must be insane. I'll call the police for you.\I think you're pretty insane yourself for coming all the way out here all alone, too?\I came to pick some chestnuts.\There aren't any chestnuts this time of the year, right?\And I already recorded evidence that you were here at this time.\How troublesome!\Give it to me. I'll erase it!\Yes! response:	She used the well as a pitfall?
context: I think you're pretty insane yourself for coming all the way out here all alone, too?\I came to pick some chestnuts.\There aren't any chestnuts this time of the year, right?\And I already recorded evidence that you were here at this time.\How troublesome!\Give it to me. I'll erase it!\Yes!\She used the well as a pitfall? response:	Of course, if you fall into a hole that you don't know the bottom of,
context: I came to pick some chestnuts.\There aren't any chestnuts this time of the year, right?\And I already recorded evidence that you were here at this time.\How troublesome!\Give it to me. I'll erase it!\Yes!\She used the well as a pitfall?\Of course, if you fall into a hole that you don't know the bottom of, response:	you'd use your ability and fly, right?
context: There aren't any chestnuts this time of the year, right?\And I already recorded evidence that you were here at this time.\How troublesome!\Give it to me. I'll erase it!\Yes!\She used the well as a pitfall?\Of course, if you fall into a hole that you don't know the bottom of,\you'd use your ability and fly, right? response:	Though, I had shoved some hay at the bottom for cushioning.
context: And I already recorded evidence that you were here at this time.\How troublesome!\Give it to me. I'll erase it!\Yes!\She used the well as a pitfall?\Of course, if you fall into a hole that you don't know the bottom of,\you'd use your ability and fly, right?\Though, I had shoved some hay at the bottom for cushioning. response:	But thanks to you, I have an amazing footage for a scoop.
context: How troublesome!\Give it to me. I'll erase it!\Yes!\She used the well as a pitfall?\Of course, if you fall into a hole that you don't know the bottom of,\you'd use your ability and fly, right?\Though, I had shoved some hay at the bottom for cushioning.\But thanks to you, I have an amazing footage for a scoop. response:	A trap that she didn't even tell us about! She is just like the devil!
context: Give it to me. I'll erase it!\Yes!\She used the well as a pitfall?\Of course, if you fall into a hole that you don't know the bottom of,\you'd use your ability and fly, right?\Though, I had shoved some hay at the bottom for cushioning.\But thanks to you, I have an amazing footage for a scoop.\A trap that she didn't even tell us about! She is just like the devil! response:	Give me that!
context: Yes!\She used the well as a pitfall?\Of course, if you fall into a hole that you don't know the bottom of,\you'd use your ability and fly, right?\Though, I had shoved some hay at the bottom for cushioning.\But thanks to you, I have an amazing footage for a scoop.\A trap that she didn't even tell us about! She is just like the devil!\Give me that! response:	Otosaka, take over his body!
context: She used the well as a pitfall?\Of course, if you fall into a hole that you don't know the bottom of,\you'd use your ability and fly, right?\Though, I had shoved some hay at the bottom for cushioning.\But thanks to you, I have an amazing footage for a scoop.\A trap that she didn't even tell us about! She is just like the devil!\Give me that!\Otosaka, take over his body! response:	I'll defeat him using my teleport while you're taking him over!
context: Of course, if you fall into a hole that you don't know the bottom of,\you'd use your ability and fly, right?\Though, I had shoved some hay at the bottom for cushioning.\But thanks to you, I have an amazing footage for a scoop.\A trap that she didn't even tell us about! She is just like the devil!\Give me that!\Otosaka, take over his body!\I'll defeat him using my teleport while you're taking him over! response:	I hate it because it hurts...
context: you'd use your ability and fly, right?\Though, I had shoved some hay at the bottom for cushioning.\But thanks to you, I have an amazing footage for a scoop.\A trap that she didn't even tell us about! She is just like the devil!\Give me that!\Otosaka, take over his body!\I'll defeat him using my teleport while you're taking him over!\I hate it because it hurts... response:	Dammit!
context: Though, I had shoved some hay at the bottom for cushioning.\But thanks to you, I have an amazing footage for a scoop.\A trap that she didn't even tell us about! She is just like the devil!\Give me that!\Otosaka, take over his body!\I'll defeat him using my teleport while you're taking him over!\I hate it because it hurts...\Dammit! response:	This is mine!
context: But thanks to you, I have an amazing footage for a scoop.\A trap that she didn't even tell us about! She is just like the devil!\Give me that!\Otosaka, take over his body!\I'll defeat him using my teleport while you're taking him over!\I hate it because it hurts...\Dammit!\This is mine! response:	He's going to get away!
context: A trap that she didn't even tell us about! She is just like the devil!\Give me that!\Otosaka, take over his body!\I'll defeat him using my teleport while you're taking him over!\I hate it because it hurts...\Dammit!\This is mine!\He's going to get away! response:	Drats!
context: Give me that!\Otosaka, take over his body!\I'll defeat him using my teleport while you're taking him over!\I hate it because it hurts...\Dammit!\This is mine!\He's going to get away!\Drats! response:	I have no choice but to do it..!
context: Otosaka, take over his body!\I'll defeat him using my teleport while you're taking him over!\I hate it because it hurts...\Dammit!\This is mine!\He's going to get away!\Drats!\I have no choice but to do it..! response:	What height!
context: I'll defeat him using my teleport while you're taking him over!\I hate it because it hurts...\Dammit!\This is mine!\He's going to get away!\Drats!\I have no choice but to do it..!\What height! response:	I have to control it for now! Stop! Stop! Stop!
context: I hate it because it hurts...\Dammit!\This is mine!\He's going to get away!\Drats!\I have no choice but to do it..!\What height!\I have to control it for now! Stop! Stop! Stop! response:	Stop!
context: Dammit!\This is mine!\He's going to get away!\Drats!\I have no choice but to do it..!\What height!\I have to control it for now! Stop! Stop! Stop!\Stop! response:	You took such a reckless risk there.
context: This is mine!\He's going to get away!\Drats!\I have no choice but to do it..!\What height!\I have to control it for now! Stop! Stop! Stop!\Stop!\You took such a reckless risk there. response:	I should have just taken over him immediately instead of complaining.
context: He's going to get away!\Drats!\I have no choice but to do it..!\What height!\I have to control it for now! Stop! Stop! Stop!\Stop!\You took such a reckless risk there.\I should have just taken over him immediately instead of complaining. response:	What is this? What happened?
context: Drats!\I have no choice but to do it..!\What height!\I have to control it for now! Stop! Stop! Stop!\Stop!\You took such a reckless risk there.\I should have just taken over him immediately instead of complaining.\What is this? What happened? response:	Well, a bruise or a broken bone. That's good enough for an end result.
context: I have no choice but to do it..!\What height!\I have to control it for now! Stop! Stop! Stop!\Stop!\You took such a reckless risk there.\I should have just taken over him immediately instead of complaining.\What is this? What happened?\Well, a bruise or a broken bone. That's good enough for an end result. response:	My camcorder is fine, too. It's a good thing you survived.
context: What height!\I have to control it for now! Stop! Stop! Stop!\Stop!\You took such a reckless risk there.\I should have just taken over him immediately instead of complaining.\What is this? What happened?\Well, a bruise or a broken bone. That's good enough for an end result.\My camcorder is fine, too. It's a good thing you survived. response:	What the hell are you guys..?
context: I have to control it for now! Stop! Stop! Stop!\Stop!\You took such a reckless risk there.\I should have just taken over him immediately instead of complaining.\What is this? What happened?\Well, a bruise or a broken bone. That's good enough for an end result.\My camcorder is fine, too. It's a good thing you survived.\What the hell are you guys..? response:	We all have special abilities as well.
context: Stop!\You took such a reckless risk there.\I should have just taken over him immediately instead of complaining.\What is this? What happened?\Well, a bruise or a broken bone. That's good enough for an end result.\My camcorder is fine, too. It's a good thing you survived.\What the hell are you guys..?\We all have special abilities as well. response:	But, these abilities are like diseases that only show up during adolescence.
context: You took such a reckless risk there.\I should have just taken over him immediately instead of complaining.\What is this? What happened?\Well, a bruise or a broken bone. That's good enough for an end result.\My camcorder is fine, too. It's a good thing you survived.\What the hell are you guys..?\We all have special abilities as well.\But, these abilities are like diseases that only show up during adolescence. response:	It will disappear in due time.
context: I should have just taken over him immediately instead of complaining.\What is this? What happened?\Well, a bruise or a broken bone. That's good enough for an end result.\My camcorder is fine, too. It's a good thing you survived.\What the hell are you guys..?\We all have special abilities as well.\But, these abilities are like diseases that only show up during adolescence.\It will disappear in due time. response:	But, if someone finds out about your ability, you become a guinea pig for scientists.
context: What is this? What happened?\Well, a bruise or a broken bone. That's good enough for an end result.\My camcorder is fine, too. It's a good thing you survived.\What the hell are you guys..?\We all have special abilities as well.\But, these abilities are like diseases that only show up during adolescence.\It will disappear in due time.\But, if someone finds out about your ability, you become a guinea pig for scientists. response:	You don't want that, do you?
context: Well, a bruise or a broken bone. That's good enough for an end result.\My camcorder is fine, too. It's a good thing you survived.\What the hell are you guys..?\We all have special abilities as well.\But, these abilities are like diseases that only show up during adolescence.\It will disappear in due time.\But, if someone finds out about your ability, you become a guinea pig for scientists.\You don't want that, do you? response:	Then, what if your ability disappeared while you are flying?
context: My camcorder is fine, too. It's a good thing you survived.\What the hell are you guys..?\We all have special abilities as well.\But, these abilities are like diseases that only show up during adolescence.\It will disappear in due time.\But, if someone finds out about your ability, you become a guinea pig for scientists.\You don't want that, do you?\Then, what if your ability disappeared while you are flying? response:	You'll fall to your death, you know?
context: What the hell are you guys..?\We all have special abilities as well.\But, these abilities are like diseases that only show up during adolescence.\It will disappear in due time.\But, if someone finds out about your ability, you become a guinea pig for scientists.\You don't want that, do you?\Then, what if your ability disappeared while you are flying?\You'll fall to your death, you know? response:	Is it something to risk your life doing?
context: We all have special abilities as well.\But, these abilities are like diseases that only show up during adolescence.\It will disappear in due time.\But, if someone finds out about your ability, you become a guinea pig for scientists.\You don't want that, do you?\Then, what if your ability disappeared while you are flying?\You'll fall to your death, you know?\Is it something to risk your life doing? response:	Misa, Please.
context: But, these abilities are like diseases that only show up during adolescence.\It will disappear in due time.\But, if someone finds out about your ability, you become a guinea pig for scientists.\You don't want that, do you?\Then, what if your ability disappeared while you are flying?\You'll fall to your death, you know?\Is it something to risk your life doing?\Misa, Please. response:	Here.
context: It will disappear in due time.\But, if someone finds out about your ability, you become a guinea pig for scientists.\You don't want that, do you?\Then, what if your ability disappeared while you are flying?\You'll fall to your death, you know?\Is it something to risk your life doing?\Misa, Please.\Here. response:	I see...
context: But, if someone finds out about your ability, you become a guinea pig for scientists.\You don't want that, do you?\Then, what if your ability disappeared while you are flying?\You'll fall to your death, you know?\Is it something to risk your life doing?\Misa, Please.\Here.\I see... response:	I thought that this power was something granted just to me... but there were others.
context: You don't want that, do you?\Then, what if your ability disappeared while you are flying?\You'll fall to your death, you know?\Is it something to risk your life doing?\Misa, Please.\Here.\I see...\I thought that this power was something granted just to me... but there were others. response:	I wanted to someday freely fly through the skies.
context: Then, what if your ability disappeared while you are flying?\You'll fall to your death, you know?\Is it something to risk your life doing?\Misa, Please.\Here.\I see...\I thought that this power was something granted just to me... but there were others.\I wanted to someday freely fly through the skies. response:	I even had a dream of becoming Skyhigh Saito the Hollywood star...
context: You'll fall to your death, you know?\Is it something to risk your life doing?\Misa, Please.\Here.\I see...\I thought that this power was something granted just to me... but there were others.\I wanted to someday freely fly through the skies.\I even had a dream of becoming Skyhigh Saito the Hollywood star... response:	What a corny name!
context: Is it something to risk your life doing?\Misa, Please.\Here.\I see...\I thought that this power was something granted just to me... but there were others.\I wanted to someday freely fly through the skies.\I even had a dream of becoming Skyhigh Saito the Hollywood star...\What a corny name! response:	I understand that feeling, but for yourself as well, please don't use that ability from now on.
context: Misa, Please.\Here.\I see...\I thought that this power was something granted just to me... but there were others.\I wanted to someday freely fly through the skies.\I even had a dream of becoming Skyhigh Saito the Hollywood star...\What a corny name!\I understand that feeling, but for yourself as well, please don't use that ability from now on. response:	I got it.
context: Here.\I see...\I thought that this power was something granted just to me... but there were others.\I wanted to someday freely fly through the skies.\I even had a dream of becoming Skyhigh Saito the Hollywood star...\What a corny name!\I understand that feeling, but for yourself as well, please don't use that ability from now on.\I got it. response:	Thank you so much.
context: I see...\I thought that this power was something granted just to me... but there were others.\I wanted to someday freely fly through the skies.\I even had a dream of becoming Skyhigh Saito the Hollywood star...\What a corny name!\I understand that feeling, but for yourself as well, please don't use that ability from now on.\I got it.\Thank you so much. response:	That ended peacefully.
context: I thought that this power was something granted just to me... but there were others.\I wanted to someday freely fly through the skies.\I even had a dream of becoming Skyhigh Saito the Hollywood star...\What a corny name!\I understand that feeling, but for yourself as well, please don't use that ability from now on.\I got it.\Thank you so much.\That ended peacefully. response:	Oh, that took so long!
context: I wanted to someday freely fly through the skies.\I even had a dream of becoming Skyhigh Saito the Hollywood star...\What a corny name!\I understand that feeling, but for yourself as well, please don't use that ability from now on.\I got it.\Thank you so much.\That ended peacefully.\Oh, that took so long! response:	Really. That's totally how I feel.
context: I even had a dream of becoming Skyhigh Saito the Hollywood star...\What a corny name!\I understand that feeling, but for yourself as well, please don't use that ability from now on.\I got it.\Thank you so much.\That ended peacefully.\Oh, that took so long!\Really. That's totally how I feel. response:	I'm back.
context: What a corny name!\I understand that feeling, but for yourself as well, please don't use that ability from now on.\I got it.\Thank you so much.\That ended peacefully.\Oh, that took so long!\Really. That's totally how I feel.\I'm back. response:	I didn't think the student council was something this busy... I can't help it.
