context: Now then... response:	let's check out the state of the world...
context: Shut up!\So it is now with Kohaku.\He is able to stand before you because of the Sacred Jewel.\If it is extracted, he will die.\Understand, Sango?\Kohaku's life is in your hands.\Bring me the Tetsusaiga, Inuyasha's sword.\Then I shall let Kohaku have eternal life. response:	Don't underestimate me!
context: So it is now with Kohaku.\He is able to stand before you because of the Sacred Jewel.\If it is extracted, he will die.\Understand, Sango?\Kohaku's life is in your hands.\Bring me the Tetsusaiga, Inuyasha's sword.\Then I shall let Kohaku have eternal life.\Don't underestimate me! response:	Kohaku, Why?!
context: He is able to stand before you because of the Sacred Jewel.\If it is extracted, he will die.\Understand, Sango?\Kohaku's life is in your hands.\Bring me the Tetsusaiga, Inuyasha's sword.\Then I shall let Kohaku have eternal life.\Don't underestimate me!\Kohaku, Why?! response:	Why protect Naraku?!
context: If it is extracted, he will die.\Understand, Sango?\Kohaku's life is in your hands.\Bring me the Tetsusaiga, Inuyasha's sword.\Then I shall let Kohaku have eternal life.\Don't underestimate me!\Kohaku, Why?!\Why protect Naraku?! response:	I've made him forget...
context: Understand, Sango?\Kohaku's life is in your hands.\Bring me the Tetsusaiga, Inuyasha's sword.\Then I shall let Kohaku have eternal life.\Don't underestimate me!\Kohaku, Why?!\Why protect Naraku?!\I've made him forget... response:	I've erased all memories of you and of himself.
context: Kohaku's life is in your hands.\Bring me the Tetsusaiga, Inuyasha's sword.\Then I shall let Kohaku have eternal life.\Don't underestimate me!\Kohaku, Why?!\Why protect Naraku?!\I've made him forget...\I've erased all memories of you and of himself. response:	A fighting machine has no need of feelings.
context: Bring me the Tetsusaiga, Inuyasha's sword.\Then I shall let Kohaku have eternal life.\Don't underestimate me!\Kohaku, Why?!\Why protect Naraku?!\I've made him forget...\I've erased all memories of you and of himself.\A fighting machine has no need of feelings. response:	He slaughtered an entire village.
context: Then I shall let Kohaku have eternal life.\Don't underestimate me!\Kohaku, Why?!\Why protect Naraku?!\I've made him forget...\I've erased all memories of you and of himself.\A fighting machine has no need of feelings.\He slaughtered an entire village. response:	Kohaku has become a fine slayer.
context: Don't underestimate me!\Kohaku, Why?!\Why protect Naraku?!\I've made him forget...\I've erased all memories of you and of himself.\A fighting machine has no need of feelings.\He slaughtered an entire village.\Kohaku has become a fine slayer. response:	Why you!
context: Kohaku, Why?!\Why protect Naraku?!\I've made him forget...\I've erased all memories of you and of himself.\A fighting machine has no need of feelings.\He slaughtered an entire village.\Kohaku has become a fine slayer.\Why you! response:	Miasma!
context: Why protect Naraku?!\I've made him forget...\I've erased all memories of you and of himself.\A fighting machine has no need of feelings.\He slaughtered an entire village.\Kohaku has become a fine slayer.\Why you!\Miasma! response:	You will bring me the Tetsusaiga.
context: I've made him forget...\I've erased all memories of you and of himself.\A fighting machine has no need of feelings.\He slaughtered an entire village.\Kohaku has become a fine slayer.\Why you!\Miasma!\You will bring me the Tetsusaiga. response:	I will be waiting... Sango.
context: I've erased all memories of you and of himself.\A fighting machine has no need of feelings.\He slaughtered an entire village.\Kohaku has become a fine slayer.\Why you!\Miasma!\You will bring me the Tetsusaiga.\I will be waiting... Sango. response:	Sango!
context: A fighting machine has no need of feelings.\He slaughtered an entire village.\Kohaku has become a fine slayer.\Why you!\Miasma!\You will bring me the Tetsusaiga.\I will be waiting... Sango.\Sango! response:	That boy... your brother...
context: He slaughtered an entire village.\Kohaku has become a fine slayer.\Why you!\Miasma!\You will bring me the Tetsusaiga.\I will be waiting... Sango.\Sango!\That boy... your brother... response:	He wasn't Kohaku!
context: Kohaku has become a fine slayer.\Why you!\Miasma!\You will bring me the Tetsusaiga.\I will be waiting... Sango.\Sango!\That boy... your brother...\He wasn't Kohaku! response:	Sango...
context: Why you!\Miasma!\You will bring me the Tetsusaiga.\I will be waiting... Sango.\Sango!\That boy... your brother...\He wasn't Kohaku!\Sango... response:	Well, the main thing is that you returned unharmed.
context: Miasma!\You will bring me the Tetsusaiga.\I will be waiting... Sango.\Sango!\That boy... your brother...\He wasn't Kohaku!\Sango...\Well, the main thing is that you returned unharmed. response:	Sango... The one who laid this trap...
context: You will bring me the Tetsusaiga.\I will be waiting... Sango.\Sango!\That boy... your brother...\He wasn't Kohaku!\Sango...\Well, the main thing is that you returned unharmed.\Sango... The one who laid this trap... response:	the one behind the barrier...
context: I will be waiting... Sango.\Sango!\That boy... your brother...\He wasn't Kohaku!\Sango...\Well, the main thing is that you returned unharmed.\Sango... The one who laid this trap...\the one behind the barrier... response:	was it Naraku?
context: Sango!\That boy... your brother...\He wasn't Kohaku!\Sango...\Well, the main thing is that you returned unharmed.\Sango... The one who laid this trap...\the one behind the barrier...\was it Naraku? response:	Uh-huh.
context: That boy... your brother...\He wasn't Kohaku!\Sango...\Well, the main thing is that you returned unharmed.\Sango... The one who laid this trap...\the one behind the barrier...\was it Naraku?\Uh-huh. response:	Then you must be exhausted.
context: He wasn't Kohaku!\Sango...\Well, the main thing is that you returned unharmed.\Sango... The one who laid this trap...\the one behind the barrier...\was it Naraku?\Uh-huh.\Then you must be exhausted. response:	Let us return to the village and get some rest.
context: Sango...\Well, the main thing is that you returned unharmed.\Sango... The one who laid this trap...\the one behind the barrier...\was it Naraku?\Uh-huh.\Then you must be exhausted.\Let us return to the village and get some rest. response:	Monk...
context: Well, the main thing is that you returned unharmed.\Sango... The one who laid this trap...\the one behind the barrier...\was it Naraku?\Uh-huh.\Then you must be exhausted.\Let us return to the village and get some rest.\Monk... response:	Please...
context: Sango... The one who laid this trap...\the one behind the barrier...\was it Naraku?\Uh-huh.\Then you must be exhausted.\Let us return to the village and get some rest.\Monk...\Please... response:	hold a service for the villagers.
context: the one behind the barrier...\was it Naraku?\Uh-huh.\Then you must be exhausted.\Let us return to the village and get some rest.\Monk...\Please...\hold a service for the villagers. response:	This is the last.
context: was it Naraku?\Uh-huh.\Then you must be exhausted.\Let us return to the village and get some rest.\Monk...\Please...\hold a service for the villagers.\This is the last. response:	Amazing Kirara...
context: Uh-huh.\Then you must be exhausted.\Let us return to the village and get some rest.\Monk...\Please...\hold a service for the villagers.\This is the last.\Amazing Kirara... response:	her experience in a village of slayers paid off.
context: Then you must be exhausted.\Let us return to the village and get some rest.\Monk...\Please...\hold a service for the villagers.\This is the last.\Amazing Kirara...\her experience in a village of slayers paid off. response:	She sniffed out all the traps.
context: Let us return to the village and get some rest.\Monk...\Please...\hold a service for the villagers.\This is the last.\Amazing Kirara...\her experience in a village of slayers paid off.\She sniffed out all the traps. response:	We'll have Sango destroy all of these later.
context: Monk...\Please...\hold a service for the villagers.\This is the last.\Amazing Kirara...\her experience in a village of slayers paid off.\She sniffed out all the traps.\We'll have Sango destroy all of these later. response:	Now then, let's go tell everyone about Kirara's good work.
context: Please...\hold a service for the villagers.\This is the last.\Amazing Kirara...\her experience in a village of slayers paid off.\She sniffed out all the traps.\We'll have Sango destroy all of these later.\Now then, let's go tell everyone about Kirara's good work. response:	Huh?! Kirara... Where are you?
context: hold a service for the villagers.\This is the last.\Amazing Kirara...\her experience in a village of slayers paid off.\She sniffed out all the traps.\We'll have Sango destroy all of these later.\Now then, let's go tell everyone about Kirara's good work.\Huh?! Kirara... Where are you? response:	Kirara!
context: This is the last.\Amazing Kirara...\her experience in a village of slayers paid off.\She sniffed out all the traps.\We'll have Sango destroy all of these later.\Now then, let's go tell everyone about Kirara's good work.\Huh?! Kirara... Where are you?\Kirara! response:	Kirara!
context: Amazing Kirara...\her experience in a village of slayers paid off.\She sniffed out all the traps.\We'll have Sango destroy all of these later.\Now then, let's go tell everyone about Kirara's good work.\Huh?! Kirara... Where are you?\Kirara!\Kirara! response:	What do you think, Miroku?
context: her experience in a village of slayers paid off.\She sniffed out all the traps.\We'll have Sango destroy all of these later.\Now then, let's go tell everyone about Kirara's good work.\Huh?! Kirara... Where are you?\Kirara!\Kirara!\What do you think, Miroku? response:	About what?
context: She sniffed out all the traps.\We'll have Sango destroy all of these later.\Now then, let's go tell everyone about Kirara's good work.\Huh?! Kirara... Where are you?\Kirara!\Kirara!\What do you think, Miroku?\About what? response:	She said she met Naraku.
context: We'll have Sango destroy all of these later.\Now then, let's go tell everyone about Kirara's good work.\Huh?! Kirara... Where are you?\Kirara!\Kirara!\What do you think, Miroku?\About what?\She said she met Naraku. response:	I wonder what happened to Sango behind the barrier.
context: Now then, let's go tell everyone about Kirara's good work.\Huh?! Kirara... Where are you?\Kirara!\Kirara!\What do you think, Miroku?\About what?\She said she met Naraku.\I wonder what happened to Sango behind the barrier. response:	Probably that Naraku is the one manipulating her brother, Kohaku.
context: Huh?! Kirara... Where are you?\Kirara!\Kirara!\What do you think, Miroku?\About what?\She said she met Naraku.\I wonder what happened to Sango behind the barrier.\Probably that Naraku is the one manipulating her brother, Kohaku. response:	He tried to get Sango to fight Kohaku!
context: Kirara!\Kirara!\What do you think, Miroku?\About what?\She said she met Naraku.\I wonder what happened to Sango behind the barrier.\Probably that Naraku is the one manipulating her brother, Kohaku.\He tried to get Sango to fight Kohaku! response:	Naraku is unforgivable!
context: Kirara!\What do you think, Miroku?\About what?\She said she met Naraku.\I wonder what happened to Sango behind the barrier.\Probably that Naraku is the one manipulating her brother, Kohaku.\He tried to get Sango to fight Kohaku!\Naraku is unforgivable! response:	Sango can't slay her own brother.
context: What do you think, Miroku?\About what?\She said she met Naraku.\I wonder what happened to Sango behind the barrier.\Probably that Naraku is the one manipulating her brother, Kohaku.\He tried to get Sango to fight Kohaku!\Naraku is unforgivable!\Sango can't slay her own brother. response:	Let's leave her alone for a while.
context: About what?\She said she met Naraku.\I wonder what happened to Sango behind the barrier.\Probably that Naraku is the one manipulating her brother, Kohaku.\He tried to get Sango to fight Kohaku!\Naraku is unforgivable!\Sango can't slay her own brother.\Let's leave her alone for a while. response:	Until she's ready to talk to us about it.
context: She said she met Naraku.\I wonder what happened to Sango behind the barrier.\Probably that Naraku is the one manipulating her brother, Kohaku.\He tried to get Sango to fight Kohaku!\Naraku is unforgivable!\Sango can't slay her own brother.\Let's leave her alone for a while.\Until she's ready to talk to us about it. response:	How can you be so nonchalant?!
context: I wonder what happened to Sango behind the barrier.\Probably that Naraku is the one manipulating her brother, Kohaku.\He tried to get Sango to fight Kohaku!\Naraku is unforgivable!\Sango can't slay her own brother.\Let's leave her alone for a while.\Until she's ready to talk to us about it.\How can you be so nonchalant?! response:	He may be Naraku's puppet with a Sacred Jewel fragment...
context: Probably that Naraku is the one manipulating her brother, Kohaku.\He tried to get Sango to fight Kohaku!\Naraku is unforgivable!\Sango can't slay her own brother.\Let's leave her alone for a while.\Until she's ready to talk to us about it.\How can you be so nonchalant?!\He may be Naraku's puppet with a Sacred Jewel fragment... response:	Kohaku's the one who slaughtered this entire village!
context: He tried to get Sango to fight Kohaku!\Naraku is unforgivable!\Sango can't slay her own brother.\Let's leave her alone for a while.\Until she's ready to talk to us about it.\How can you be so nonchalant?!\He may be Naraku's puppet with a Sacred Jewel fragment...\Kohaku's the one who slaughtered this entire village! response:	If Sango can't kill him, I'll do it in one swing!
context: Naraku is unforgivable!\Sango can't slay her own brother.\Let's leave her alone for a while.\Until she's ready to talk to us about it.\How can you be so nonchalant?!\He may be Naraku's puppet with a Sacred Jewel fragment...\Kohaku's the one who slaughtered this entire village!\If Sango can't kill him, I'll do it in one swing! response:	Hey Sango! Any complaints?!
context: Sango can't slay her own brother.\Let's leave her alone for a while.\Until she's ready to talk to us about it.\How can you be so nonchalant?!\He may be Naraku's puppet with a Sacred Jewel fragment...\Kohaku's the one who slaughtered this entire village!\If Sango can't kill him, I'll do it in one swing!\Hey Sango! Any complaints?! response:	Inuyasha! You are sooo insensitive!
context: Let's leave her alone for a while.\Until she's ready to talk to us about it.\How can you be so nonchalant?!\He may be Naraku's puppet with a Sacred Jewel fragment...\Kohaku's the one who slaughtered this entire village!\If Sango can't kill him, I'll do it in one swing!\Hey Sango! Any complaints?!\Inuyasha! You are sooo insensitive! response:	Sango, wait!
context: Until she's ready to talk to us about it.\How can you be so nonchalant?!\He may be Naraku's puppet with a Sacred Jewel fragment...\Kohaku's the one who slaughtered this entire village!\If Sango can't kill him, I'll do it in one swing!\Hey Sango! Any complaints?!\Inuyasha! You are sooo insensitive!\Sango, wait! response:	But, pratically speaking, what will we do?
context: How can you be so nonchalant?!\He may be Naraku's puppet with a Sacred Jewel fragment...\Kohaku's the one who slaughtered this entire village!\If Sango can't kill him, I'll do it in one swing!\Hey Sango! Any complaints?!\Inuyasha! You are sooo insensitive!\Sango, wait!\But, pratically speaking, what will we do? response:	Kill him?
context: He may be Naraku's puppet with a Sacred Jewel fragment...\Kohaku's the one who slaughtered this entire village!\If Sango can't kill him, I'll do it in one swing!\Hey Sango! Any complaints?!\Inuyasha! You are sooo insensitive!\Sango, wait!\But, pratically speaking, what will we do?\Kill him? response:	Of course!
context: Kohaku's the one who slaughtered this entire village!\If Sango can't kill him, I'll do it in one swing!\Hey Sango! Any complaints?!\Inuyasha! You are sooo insensitive!\Sango, wait!\But, pratically speaking, what will we do?\Kill him?\Of course! response:	No matter what?
context: If Sango can't kill him, I'll do it in one swing!\Hey Sango! Any complaints?!\Inuyasha! You are sooo insensitive!\Sango, wait!\But, pratically speaking, what will we do?\Kill him?\Of course!\No matter what? response:	Of course!
context: Hey Sango! Any complaints?!\Inuyasha! You are sooo insensitive!\Sango, wait!\But, pratically speaking, what will we do?\Kill him?\Of course!\No matter what?\Of course! response:	Think about it! Naraku sent Sango's brother...
context: Inuyasha! You are sooo insensitive!\Sango, wait!\But, pratically speaking, what will we do?\Kill him?\Of course!\No matter what?\Of course!\Think about it! Naraku sent Sango's brother... response:	believing that we wouldn't be able to kill him.
context: Sango, wait!\But, pratically speaking, what will we do?\Kill him?\Of course!\No matter what?\Of course!\Think about it! Naraku sent Sango's brother...\believing that we wouldn't be able to kill him. response:	No way will I fall for that!
context: But, pratically speaking, what will we do?\Kill him?\Of course!\No matter what?\Of course!\Think about it! Naraku sent Sango's brother...\believing that we wouldn't be able to kill him.\No way will I fall for that! response:	Don't try too hard.
context: Kill him?\Of course!\No matter what?\Of course!\Think about it! Naraku sent Sango's brother...\believing that we wouldn't be able to kill him.\No way will I fall for that!\Don't try too hard. response:	Shaddup, will ya!? Damn!
context: Of course!\No matter what?\Of course!\Think about it! Naraku sent Sango's brother...\believing that we wouldn't be able to kill him.\No way will I fall for that!\Don't try too hard.\Shaddup, will ya!? Damn! response:	I hate my role...
context: No matter what?\Of course!\Think about it! Naraku sent Sango's brother...\believing that we wouldn't be able to kill him.\No way will I fall for that!\Don't try too hard.\Shaddup, will ya!? Damn!\I hate my role... response:	but I'll have to do it.
context: Of course!\Think about it! Naraku sent Sango's brother...\believing that we wouldn't be able to kill him.\No way will I fall for that!\Don't try too hard.\Shaddup, will ya!? Damn!\I hate my role...\but I'll have to do it. response:	Though I feel sorry for Sango...
context: Think about it! Naraku sent Sango's brother...\believing that we wouldn't be able to kill him.\No way will I fall for that!\Don't try too hard.\Shaddup, will ya!? Damn!\I hate my role...\but I'll have to do it.\Though I feel sorry for Sango... response:	I did it!
context: believing that we wouldn't be able to kill him.\No way will I fall for that!\Don't try too hard.\Shaddup, will ya!? Damn!\I hate my role...\but I'll have to do it.\Though I feel sorry for Sango...\I did it! response:	Weakling! Look at you!
context: No way will I fall for that!\Don't try too hard.\Shaddup, will ya!? Damn!\I hate my role...\but I'll have to do it.\Though I feel sorry for Sango...\I did it!\Weakling! Look at you! response:	Stop it! You!
context: Don't try too hard.\Shaddup, will ya!? Damn!\I hate my role...\but I'll have to do it.\Though I feel sorry for Sango...\I did it!\Weakling! Look at you!\Stop it! You! response:	How's the wound?
context: Shaddup, will ya!? Damn!\I hate my role...\but I'll have to do it.\Though I feel sorry for Sango...\I did it!\Weakling! Look at you!\Stop it! You!\How's the wound? response:	Sister!
context: I hate my role...\but I'll have to do it.\Though I feel sorry for Sango...\I did it!\Weakling! Look at you!\Stop it! You!\How's the wound?\Sister! response:	Rough, huh?
context: but I'll have to do it.\Though I feel sorry for Sango...\I did it!\Weakling! Look at you!\Stop it! You!\How's the wound?\Sister!\Rough, huh? response:	Can't be helped.
context: Though I feel sorry for Sango...\I did it!\Weakling! Look at you!\Stop it! You!\How's the wound?\Sister!\Rough, huh?\Can't be helped. response:	I have such a long way to go.
context: I did it!\Weakling! Look at you!\Stop it! You!\How's the wound?\Sister!\Rough, huh?\Can't be helped.\I have such a long way to go. response:	But Father said that you're getting better and better.
context: Weakling! Look at you!\Stop it! You!\How's the wound?\Sister!\Rough, huh?\Can't be helped.\I have such a long way to go.\But Father said that you're getting better and better. response:	Really?
context: Stop it! You!\How's the wound?\Sister!\Rough, huh?\Can't be helped.\I have such a long way to go.\But Father said that you're getting better and better.\Really? response:	Really.
context: How's the wound?\Sister!\Rough, huh?\Can't be helped.\I have such a long way to go.\But Father said that you're getting better and better.\Really?\Really. response:	It's the first time Father praised me!
context: Sister!\Rough, huh?\Can't be helped.\I have such a long way to go.\But Father said that you're getting better and better.\Really?\Really.\It's the first time Father praised me! response:	Feels kinda awkward.
context: Rough, huh?\Can't be helped.\I have such a long way to go.\But Father said that you're getting better and better.\Really?\Really.\It's the first time Father praised me!\Feels kinda awkward. response:	I made him forget...
context: Can't be helped.\I have such a long way to go.\But Father said that you're getting better and better.\Really?\Really.\It's the first time Father praised me!\Feels kinda awkward.\I made him forget... response:	I erased all his memories.
context: I have such a long way to go.\But Father said that you're getting better and better.\Really?\Really.\It's the first time Father praised me!\Feels kinda awkward.\I made him forget...\I erased all his memories. response:	Kohaku didn't react at all when he saw me.
context: But Father said that you're getting better and better.\Really?\Really.\It's the first time Father praised me!\Feels kinda awkward.\I made him forget...\I erased all his memories.\Kohaku didn't react at all when he saw me. response:	Has he truly forgotten all about me?
context: Really?\Really.\It's the first time Father praised me!\Feels kinda awkward.\I made him forget...\I erased all his memories.\Kohaku didn't react at all when he saw me.\Has he truly forgotten all about me? response:	No...
context: Really.\It's the first time Father praised me!\Feels kinda awkward.\I made him forget...\I erased all his memories.\Kohaku didn't react at all when he saw me.\Has he truly forgotten all about me?\No... response:	He doesn't even know that Naraku is our sworn enemy...
context: It's the first time Father praised me!\Feels kinda awkward.\I made him forget...\I erased all his memories.\Kohaku didn't react at all when he saw me.\Has he truly forgotten all about me?\No...\He doesn't even know that Naraku is our sworn enemy... response:	and it vexes me that Naraku manipulates Kohaku!
context: Feels kinda awkward.\I made him forget...\I erased all his memories.\Kohaku didn't react at all when he saw me.\Has he truly forgotten all about me?\No...\He doesn't even know that Naraku is our sworn enemy...\and it vexes me that Naraku manipulates Kohaku! response:	I want to take Kohaku back...
context: I made him forget...\I erased all his memories.\Kohaku didn't react at all when he saw me.\Has he truly forgotten all about me?\No...\He doesn't even know that Naraku is our sworn enemy...\and it vexes me that Naraku manipulates Kohaku!\I want to take Kohaku back... response:	away from Naraku's evil grip!
context: I erased all his memories.\Kohaku didn't react at all when he saw me.\Has he truly forgotten all about me?\No...\He doesn't even know that Naraku is our sworn enemy...\and it vexes me that Naraku manipulates Kohaku!\I want to take Kohaku back...\away from Naraku's evil grip! response:	Bring me Tetsusaiga, Inuyasha's sword.
context: Kohaku didn't react at all when he saw me.\Has he truly forgotten all about me?\No...\He doesn't even know that Naraku is our sworn enemy...\and it vexes me that Naraku manipulates Kohaku!\I want to take Kohaku back...\away from Naraku's evil grip!\Bring me Tetsusaiga, Inuyasha's sword. response:	Then I will give Kohaku eternal life.
context: Has he truly forgotten all about me?\No...\He doesn't even know that Naraku is our sworn enemy...\and it vexes me that Naraku manipulates Kohaku!\I want to take Kohaku back...\away from Naraku's evil grip!\Bring me Tetsusaiga, Inuyasha's sword.\Then I will give Kohaku eternal life. response:	Steal Tetsusaiga...
context: No...\He doesn't even know that Naraku is our sworn enemy...\and it vexes me that Naraku manipulates Kohaku!\I want to take Kohaku back...\away from Naraku's evil grip!\Bring me Tetsusaiga, Inuyasha's sword.\Then I will give Kohaku eternal life.\Steal Tetsusaiga... response:	In order to save Kohaku!
context: He doesn't even know that Naraku is our sworn enemy...\and it vexes me that Naraku manipulates Kohaku!\I want to take Kohaku back...\away from Naraku's evil grip!\Bring me Tetsusaiga, Inuyasha's sword.\Then I will give Kohaku eternal life.\Steal Tetsusaiga...\In order to save Kohaku! response:	Steal Inuyasha's sword in exchange for her brother's life?!
context: and it vexes me that Naraku manipulates Kohaku!\I want to take Kohaku back...\away from Naraku's evil grip!\Bring me Tetsusaiga, Inuyasha's sword.\Then I will give Kohaku eternal life.\Steal Tetsusaiga...\In order to save Kohaku!\Steal Inuyasha's sword in exchange for her brother's life?! response:	That Naraku is so rotten!
context: I want to take Kohaku back...\away from Naraku's evil grip!\Bring me Tetsusaiga, Inuyasha's sword.\Then I will give Kohaku eternal life.\Steal Tetsusaiga...\In order to save Kohaku!\Steal Inuyasha's sword in exchange for her brother's life?!\That Naraku is so rotten! response:	Kohaku is being thoroughly manipulated!
context: away from Naraku's evil grip!\Bring me Tetsusaiga, Inuyasha's sword.\Then I will give Kohaku eternal life.\Steal Tetsusaiga...\In order to save Kohaku!\Steal Inuyasha's sword in exchange for her brother's life?!\That Naraku is so rotten!\Kohaku is being thoroughly manipulated! response:	But we can't fight and risk killing him!
context: Bring me Tetsusaiga, Inuyasha's sword.\Then I will give Kohaku eternal life.\Steal Tetsusaiga...\In order to save Kohaku!\Steal Inuyasha's sword in exchange for her brother's life?!\That Naraku is so rotten!\Kohaku is being thoroughly manipulated!\But we can't fight and risk killing him! response:	We have no choice but to attack the castle shrouded in miasma...
context: Then I will give Kohaku eternal life.\Steal Tetsusaiga...\In order to save Kohaku!\Steal Inuyasha's sword in exchange for her brother's life?!\That Naraku is so rotten!\Kohaku is being thoroughly manipulated!\But we can't fight and risk killing him!\We have no choice but to attack the castle shrouded in miasma... response:	and destroy Naraku once and for all!
context: Steal Tetsusaiga...\In order to save Kohaku!\Steal Inuyasha's sword in exchange for her brother's life?!\That Naraku is so rotten!\Kohaku is being thoroughly manipulated!\But we can't fight and risk killing him!\We have no choice but to attack the castle shrouded in miasma...\and destroy Naraku once and for all! response:	Even I... even I'm hopping mad!
context: In order to save Kohaku!\Steal Inuyasha's sword in exchange for her brother's life?!\That Naraku is so rotten!\Kohaku is being thoroughly manipulated!\But we can't fight and risk killing him!\We have no choice but to attack the castle shrouded in miasma...\and destroy Naraku once and for all!\Even I... even I'm hopping mad! response:	Next on Inuyasha...
context: Steal Inuyasha's sword in exchange for her brother's life?!\That Naraku is so rotten!\Kohaku is being thoroughly manipulated!\But we can't fight and risk killing him!\We have no choice but to attack the castle shrouded in miasma...\and destroy Naraku once and for all!\Even I... even I'm hopping mad!\Next on Inuyasha... response:	Tetsusaiga is Stolen! Showdown at Naraku's Castle!
context: That Naraku is so rotten!\Kohaku is being thoroughly manipulated!\But we can't fight and risk killing him!\We have no choice but to attack the castle shrouded in miasma...\and destroy Naraku once and for all!\Even I... even I'm hopping mad!\Next on Inuyasha...\Tetsusaiga is Stolen! Showdown at Naraku's Castle! response:	Don't miss it!
