context: I'm counting on you then, Millihi-nee. response:	Sure.
context: Wow, this is incredible!\This brings back memories.\This is just like when we first met, Sink.\Yeah, huh.\You've grown up, Sink.\I'm overcome with emotion...\No, no, I think you've got that a bit wrong.\Normal Hero or big Hero, they're both great! response:	Jeez.
context: This brings back memories.\This is just like when we first met, Sink.\Yeah, huh.\You've grown up, Sink.\I'm overcome with emotion...\No, no, I think you've got that a bit wrong.\Normal Hero or big Hero, they're both great!\Jeez. response:	Ecle?
context: This is just like when we first met, Sink.\Yeah, huh.\You've grown up, Sink.\I'm overcome with emotion...\No, no, I think you've got that a bit wrong.\Normal Hero or big Hero, they're both great!\Jeez.\Ecle? response:	Is something wrong?
context: Yeah, huh.\You've grown up, Sink.\I'm overcome with emotion...\No, no, I think you've got that a bit wrong.\Normal Hero or big Hero, they're both great!\Jeez.\Ecle?\Is something wrong? response:	It's nothing!
context: You've grown up, Sink.\I'm overcome with emotion...\No, no, I think you've got that a bit wrong.\Normal Hero or big Hero, they're both great!\Jeez.\Ecle?\Is something wrong?\It's nothing! response:	There's something in our path!
context: I'm overcome with emotion...\No, no, I think you've got that a bit wrong.\Normal Hero or big Hero, they're both great!\Jeez.\Ecle?\Is something wrong?\It's nothing!\There's something in our path! response:	Evade!
context: No, no, I think you've got that a bit wrong.\Normal Hero or big Hero, they're both great!\Jeez.\Ecle?\Is something wrong?\It's nothing!\There's something in our path!\Evade! response:	Watch where you're going!
context: Normal Hero or big Hero, they're both great!\Jeez.\Ecle?\Is something wrong?\It's nothing!\There's something in our path!\Evade!\Watch where you're going! response:	Good evening, everyone!
context: Jeez.\Ecle?\Is something wrong?\It's nothing!\There's something in our path!\Evade!\Watch where you're going!\Good evening, everyone! response:	I just want to tell you how absolutely wonderful it is
context: Ecle?\Is something wrong?\It's nothing!\There's something in our path!\Evade!\Watch where you're going!\Good evening, everyone!\I just want to tell you how absolutely wonderful it is response:	to stand on Pastillage's legendary stage again this year.
context: Is something wrong?\It's nothing!\There's something in our path!\Evade!\Watch where you're going!\Good evening, everyone!\I just want to tell you how absolutely wonderful it is\to stand on Pastillage's legendary stage again this year. response:	I am so, so very happy to see you all, again.
context: It's nothing!\There's something in our path!\Evade!\Watch where you're going!\Good evening, everyone!\I just want to tell you how absolutely wonderful it is\to stand on Pastillage's legendary stage again this year.\I am so, so very happy to see you all, again. response:	We made it.
context: There's something in our path!\Evade!\Watch where you're going!\Good evening, everyone!\I just want to tell you how absolutely wonderful it is\to stand on Pastillage's legendary stage again this year.\I am so, so very happy to see you all, again.\We made it. response:	Quiet now.
context: Evade!\Watch where you're going!\Good evening, everyone!\I just want to tell you how absolutely wonderful it is\to stand on Pastillage's legendary stage again this year.\I am so, so very happy to see you all, again.\We made it.\Quiet now. response:	The day after tomorrow,
context: Watch where you're going!\Good evening, everyone!\I just want to tell you how absolutely wonderful it is\to stand on Pastillage's legendary stage again this year.\I am so, so very happy to see you all, again.\We made it.\Quiet now.\The day after tomorrow, response:	the three nations of Pastillage, Biscotti, and Galette
context: Good evening, everyone!\I just want to tell you how absolutely wonderful it is\to stand on Pastillage's legendary stage again this year.\I am so, so very happy to see you all, again.\We made it.\Quiet now.\The day after tomorrow,\the three nations of Pastillage, Biscotti, and Galette response:	will combine forces to host one huge event.
context: I just want to tell you how absolutely wonderful it is\to stand on Pastillage's legendary stage again this year.\I am so, so very happy to see you all, again.\We made it.\Quiet now.\The day after tomorrow,\the three nations of Pastillage, Biscotti, and Galette\will combine forces to host one huge event. response:	Of course we will be there,
context: to stand on Pastillage's legendary stage again this year.\I am so, so very happy to see you all, again.\We made it.\Quiet now.\The day after tomorrow,\the three nations of Pastillage, Biscotti, and Galette\will combine forces to host one huge event.\Of course we will be there, response:	as well as knights, Heroes, and everybody else,
context: I am so, so very happy to see you all, again.\We made it.\Quiet now.\The day after tomorrow,\the three nations of Pastillage, Biscotti, and Galette\will combine forces to host one huge event.\Of course we will be there,\as well as knights, Heroes, and everybody else, response:	all ensuring that it will be a great event!
context: We made it.\Quiet now.\The day after tomorrow,\the three nations of Pastillage, Biscotti, and Galette\will combine forces to host one huge event.\Of course we will be there,\as well as knights, Heroes, and everybody else,\all ensuring that it will be a great event! response:	Now, please listen to the Union Fest song,
context: Quiet now.\The day after tomorrow,\the three nations of Pastillage, Biscotti, and Galette\will combine forces to host one huge event.\Of course we will be there,\as well as knights, Heroes, and everybody else,\all ensuring that it will be a great event!\Now, please listen to the Union Fest song, response:	Heart Relation.
context: The day after tomorrow,\the three nations of Pastillage, Biscotti, and Galette\will combine forces to host one huge event.\Of course we will be there,\as well as knights, Heroes, and everybody else,\all ensuring that it will be a great event!\Now, please listen to the Union Fest song,\Heart Relation. response:	You were always by my side,
context: the three nations of Pastillage, Biscotti, and Galette\will combine forces to host one huge event.\Of course we will be there,\as well as knights, Heroes, and everybody else,\all ensuring that it will be a great event!\Now, please listen to the Union Fest song,\Heart Relation.\You were always by my side, response:	always right next to me.
context: will combine forces to host one huge event.\Of course we will be there,\as well as knights, Heroes, and everybody else,\all ensuring that it will be a great event!\Now, please listen to the Union Fest song,\Heart Relation.\You were always by my side,\always right next to me. response:	That's why we could
context: Of course we will be there,\as well as knights, Heroes, and everybody else,\all ensuring that it will be a great event!\Now, please listen to the Union Fest song,\Heart Relation.\You were always by my side,\always right next to me.\That's why we could response:	embrace the same hopes.
context: as well as knights, Heroes, and everybody else,\all ensuring that it will be a great event!\Now, please listen to the Union Fest song,\Heart Relation.\You were always by my side,\always right next to me.\That's why we could\embrace the same hopes. response:	I want to stretch
context: all ensuring that it will be a great event!\Now, please listen to the Union Fest song,\Heart Relation.\You were always by my side,\always right next to me.\That's why we could\embrace the same hopes.\I want to stretch response:	out this hand
context: Now, please listen to the Union Fest song,\Heart Relation.\You were always by my side,\always right next to me.\That's why we could\embrace the same hopes.\I want to stretch\out this hand response:	and touch you.
context: Heart Relation.\You were always by my side,\always right next to me.\That's why we could\embrace the same hopes.\I want to stretch\out this hand\and touch you. response:	Listen to the
context: You were always by my side,\always right next to me.\That's why we could\embrace the same hopes.\I want to stretch\out this hand\and touch you.\Listen to the response:	first beat
context: always right next to me.\That's why we could\embrace the same hopes.\I want to stretch\out this hand\and touch you.\Listen to the\first beat response:	of my heart.
context: That's why we could\embrace the same hopes.\I want to stretch\out this hand\and touch you.\Listen to the\first beat\of my heart. response:	I'm sure
context: embrace the same hopes.\I want to stretch\out this hand\and touch you.\Listen to the\first beat\of my heart.\I'm sure response:	we'll have a connection.
context: I want to stretch\out this hand\and touch you.\Listen to the\first beat\of my heart.\I'm sure\we'll have a connection. response:	Inscribe
context: out this hand\and touch you.\Listen to the\first beat\of my heart.\I'm sure\we'll have a connection.\Inscribe response:	it in the sky.
context: and touch you.\Listen to the\first beat\of my heart.\I'm sure\we'll have a connection.\Inscribe\it in the sky. response:	Gather more courage.
context: Listen to the\first beat\of my heart.\I'm sure\we'll have a connection.\Inscribe\it in the sky.\Gather more courage. response:	Be strong.
context: first beat\of my heart.\I'm sure\we'll have a connection.\Inscribe\it in the sky.\Gather more courage.\Be strong. response:	Be strong,
context: of my heart.\I'm sure\we'll have a connection.\Inscribe\it in the sky.\Gather more courage.\Be strong.\Be strong, response:	so that we can bind
context: I'm sure\we'll have a connection.\Inscribe\it in the sky.\Gather more courage.\Be strong.\Be strong,\so that we can bind response:	our hearts!
context: we'll have a connection.\Inscribe\it in the sky.\Gather more courage.\Be strong.\Be strong,\so that we can bind\our hearts! response:	Under the blue sky...
context: Inscribe\it in the sky.\Gather more courage.\Be strong.\Be strong,\so that we can bind\our hearts!\Under the blue sky... response:	Under the blue sky...
context: it in the sky.\Gather more courage.\Be strong.\Be strong,\so that we can bind\our hearts!\Under the blue sky...\Under the blue sky... response:	The echo of the bell...
context: Gather more courage.\Be strong.\Be strong,\so that we can bind\our hearts!\Under the blue sky...\Under the blue sky...\The echo of the bell... response:	The echo of the bell...
context: Be strong.\Be strong,\so that we can bind\our hearts!\Under the blue sky...\Under the blue sky...\The echo of the bell...\The echo of the bell... response:	Listen to it.
context: Be strong,\so that we can bind\our hearts!\Under the blue sky...\Under the blue sky...\The echo of the bell...\The echo of the bell...\Listen to it. response:	The beginning
context: so that we can bind\our hearts!\Under the blue sky...\Under the blue sky...\The echo of the bell...\The echo of the bell...\Listen to it.\The beginning response:	is right there.
context: our hearts!\Under the blue sky...\Under the blue sky...\The echo of the bell...\The echo of the bell...\Listen to it.\The beginning\is right there. response:	I'm sure
context: Under the blue sky...\Under the blue sky...\The echo of the bell...\The echo of the bell...\Listen to it.\The beginning\is right there.\I'm sure response:	we'll have a connection.
context: Under the blue sky...\The echo of the bell...\The echo of the bell...\Listen to it.\The beginning\is right there.\I'm sure\we'll have a connection. response:	Let it reverberate through the sky.
context: The echo of the bell...\The echo of the bell...\Listen to it.\The beginning\is right there.\I'm sure\we'll have a connection.\Let it reverberate through the sky. response:	Gather your love and courage.
context: The echo of the bell...\Listen to it.\The beginning\is right there.\I'm sure\we'll have a connection.\Let it reverberate through the sky.\Gather your love and courage. response:	Be strong.
context: Listen to it.\The beginning\is right there.\I'm sure\we'll have a connection.\Let it reverberate through the sky.\Gather your love and courage.\Be strong. response:	Be strong,
context: The beginning\is right there.\I'm sure\we'll have a connection.\Let it reverberate through the sky.\Gather your love and courage.\Be strong.\Be strong, response:	so that our hearts
context: is right there.\I'm sure\we'll have a connection.\Let it reverberate through the sky.\Gather your love and courage.\Be strong.\Be strong,\so that our hearts response:	will never part.
context: I'm sure\we'll have a connection.\Let it reverberate through the sky.\Gather your love and courage.\Be strong.\Be strong,\so that our hearts\will never part. response:	The musical festival was a huge success,
context: we'll have a connection.\Let it reverberate through the sky.\Gather your love and courage.\Be strong.\Be strong,\so that our hearts\will never part.\The musical festival was a huge success, response:	but there wasn't much time to rest afterwards
context: Let it reverberate through the sky.\Gather your love and courage.\Be strong.\Be strong,\so that our hearts\will never part.\The musical festival was a huge success,\but there wasn't much time to rest afterwards response:	because the next huge event was upon us.
context: Gather your love and courage.\Be strong.\Be strong,\so that our hearts\will never part.\The musical festival was a huge success,\but there wasn't much time to rest afterwards\because the next huge event was upon us. response:	Finally, tomorrow we have the three countries' great joint event.
context: Be strong.\Be strong,\so that our hearts\will never part.\The musical festival was a huge success,\but there wasn't much time to rest afterwards\because the next huge event was upon us.\Finally, tomorrow we have the three countries' great joint event. response:	Let's give it all we've got.
context: Be strong,\so that our hearts\will never part.\The musical festival was a huge success,\but there wasn't much time to rest afterwards\because the next huge event was upon us.\Finally, tomorrow we have the three countries' great joint event.\Let's give it all we've got. response:	Yeah!
context: so that our hearts\will never part.\The musical festival was a huge success,\but there wasn't much time to rest afterwards\because the next huge event was upon us.\Finally, tomorrow we have the three countries' great joint event.\Let's give it all we've got.\Yeah! response:	It is Galette's pride to win anything that bears the war moniker!
context: will never part.\The musical festival was a huge success,\but there wasn't much time to rest afterwards\because the next huge event was upon us.\Finally, tomorrow we have the three countries' great joint event.\Let's give it all we've got.\Yeah!\It is Galette's pride to win anything that bears the war moniker! response:	It is obvious that we will win!
context: The musical festival was a huge success,\but there wasn't much time to rest afterwards\because the next huge event was upon us.\Finally, tomorrow we have the three countries' great joint event.\Let's give it all we've got.\Yeah!\It is Galette's pride to win anything that bears the war moniker!\It is obvious that we will win! response:	Let's do our best, Sink.
context: but there wasn't much time to rest afterwards\because the next huge event was upon us.\Finally, tomorrow we have the three countries' great joint event.\Let's give it all we've got.\Yeah!\It is Galette's pride to win anything that bears the war moniker!\It is obvious that we will win!\Let's do our best, Sink. response:	Let's, Princess!
context: because the next huge event was upon us.\Finally, tomorrow we have the three countries' great joint event.\Let's give it all we've got.\Yeah!\It is Galette's pride to win anything that bears the war moniker!\It is obvious that we will win!\Let's do our best, Sink.\Let's, Princess! response:	Oh no, my body isn't obeying me...
context: Finally, tomorrow we have the three countries' great joint event.\Let's give it all we've got.\Yeah!\It is Galette's pride to win anything that bears the war moniker!\It is obvious that we will win!\Let's do our best, Sink.\Let's, Princess!\Oh no, my body isn't obeying me... response:	Union Fest
context: Let's give it all we've got.\Yeah!\It is Galette's pride to win anything that bears the war moniker!\It is obvious that we will win!\Let's do our best, Sink.\Let's, Princess!\Oh no, my body isn't obeying me...\Union Fest response:	Princess, even now your dance moves are so elegant.
