context: I'm back, Gramps! response:	Is the bath water hot?
context: Huh?! You're conscious!\Umm... What happened?\Never mind... Look at Satoru!\Huh?!\Satoru!\Mom...\Mom... Umm...\Sis is inside the closet. response:	Please hurry and get her!
context: Umm... What happened?\Never mind... Look at Satoru!\Huh?!\Satoru!\Mom...\Mom... Umm...\Sis is inside the closet.\Please hurry and get her! response:	This is how I died.
context: Never mind... Look at Satoru!\Huh?!\Satoru!\Mom...\Mom... Umm...\Sis is inside the closet.\Please hurry and get her!\This is how I died. response:	I couldn't be saved...
context: Huh?!\Satoru!\Mom...\Mom... Umm...\Sis is inside the closet.\Please hurry and get her!\This is how I died.\I couldn't be saved... response:	Mayu!
context: Satoru!\Mom...\Mom... Umm...\Sis is inside the closet.\Please hurry and get her!\This is how I died.\I couldn't be saved...\Mayu! response:	Mayu!
context: Mom...\Mom... Umm...\Sis is inside the closet.\Please hurry and get her!\This is how I died.\I couldn't be saved...\Mayu!\Mayu! response:	Who is that?! Mom?!
context: Mom... Umm...\Sis is inside the closet.\Please hurry and get her!\This is how I died.\I couldn't be saved...\Mayu!\Mayu!\Who is that?! Mom?! response:	Where are you?!
context: Sis is inside the closet.\Please hurry and get her!\This is how I died.\I couldn't be saved...\Mayu!\Mayu!\Who is that?! Mom?!\Where are you?! response:	Answer!
context: Please hurry and get her!\This is how I died.\I couldn't be saved...\Mayu!\Mayu!\Who is that?! Mom?!\Where are you?!\Answer! response:	Mayu!
context: This is how I died.\I couldn't be saved...\Mayu!\Mayu!\Who is that?! Mom?!\Where are you?!\Answer!\Mayu! response:	Hurry! Let's get out of here!
context: I couldn't be saved...\Mayu!\Mayu!\Who is that?! Mom?!\Where are you?!\Answer!\Mayu!\Hurry! Let's get out of here! response:	Are you crazy?! I'm already dead!
context: Mayu!\Mayu!\Who is that?! Mom?!\Where are you?!\Answer!\Mayu!\Hurry! Let's get out of here!\Are you crazy?! I'm already dead! response:	I don't have a home anymore!
context: Mayu!\Who is that?! Mom?!\Where are you?!\Answer!\Mayu!\Hurry! Let's get out of here!\Are you crazy?! I'm already dead!\I don't have a home anymore! response:	Mayu!
context: Who is that?! Mom?!\Where are you?!\Answer!\Mayu!\Hurry! Let's get out of here!\Are you crazy?! I'm already dead!\I don't have a home anymore!\Mayu! response:	Mayu!
context: Where are you?!\Answer!\Mayu!\Hurry! Let's get out of here!\Are you crazy?! I'm already dead!\I don't have a home anymore!\Mayu!\Mayu! response:	You're going home, Mayu.
context: Answer!\Mayu!\Hurry! Let's get out of here!\Are you crazy?! I'm already dead!\I don't have a home anymore!\Mayu!\Mayu!\You're going home, Mayu. response:	You're going home and make peace with your mother.
context: Mayu!\Hurry! Let's get out of here!\Are you crazy?! I'm already dead!\I don't have a home anymore!\Mayu!\Mayu!\You're going home, Mayu.\You're going home and make peace with your mother. response:	Your mother loves you so very much!
context: Hurry! Let's get out of here!\Are you crazy?! I'm already dead!\I don't have a home anymore!\Mayu!\Mayu!\You're going home, Mayu.\You're going home and make peace with your mother.\Your mother loves you so very much! response:	Is it okay if you never see her again?
context: Are you crazy?! I'm already dead!\I don't have a home anymore!\Mayu!\Mayu!\You're going home, Mayu.\You're going home and make peace with your mother.\Your mother loves you so very much!\Is it okay if you never see her again? response:	She's not angry?
context: I don't have a home anymore!\Mayu!\Mayu!\You're going home, Mayu.\You're going home and make peace with your mother.\Your mother loves you so very much!\Is it okay if you never see her again?\She's not angry? response:	Mom's not angry at me?
context: Mayu!\Mayu!\You're going home, Mayu.\You're going home and make peace with your mother.\Your mother loves you so very much!\Is it okay if you never see her again?\She's not angry?\Mom's not angry at me? response:	Don't you worry. She's your mother!
context: Mayu!\You're going home, Mayu.\You're going home and make peace with your mother.\Your mother loves you so very much!\Is it okay if you never see her again?\She's not angry?\Mom's not angry at me?\Don't you worry. She's your mother! response:	Try to remember...
context: You're going home, Mayu.\You're going home and make peace with your mother.\Your mother loves you so very much!\Is it okay if you never see her again?\She's not angry?\Mom's not angry at me?\Don't you worry. She's your mother!\Try to remember... response:	about your mother...
context: You're going home and make peace with your mother.\Your mother loves you so very much!\Is it okay if you never see her again?\She's not angry?\Mom's not angry at me?\Don't you worry. She's your mother!\Try to remember...\about your mother... response:	Mom!
context: Your mother loves you so very much!\Is it okay if you never see her again?\She's not angry?\Mom's not angry at me?\Don't you worry. She's your mother!\Try to remember...\about your mother...\Mom! response:	I want to see you one more time, so I can say I'm sorry!
context: Is it okay if you never see her again?\She's not angry?\Mom's not angry at me?\Don't you worry. She's your mother!\Try to remember...\about your mother...\Mom!\I want to see you one more time, so I can say I'm sorry! response:	I wanted to make up with you!
context: She's not angry?\Mom's not angry at me?\Don't you worry. She's your mother!\Try to remember...\about your mother...\Mom!\I want to see you one more time, so I can say I'm sorry!\I wanted to make up with you! response:	Mayu...
context: Mom's not angry at me?\Don't you worry. She's your mother!\Try to remember...\about your mother...\Mom!\I want to see you one more time, so I can say I'm sorry!\I wanted to make up with you!\Mayu... response:	Mommy!
context: Don't you worry. She's your mother!\Try to remember...\about your mother...\Mom!\I want to see you one more time, so I can say I'm sorry!\I wanted to make up with you!\Mayu...\Mommy! response:	Mayu!
context: Try to remember...\about your mother...\Mom!\I want to see you one more time, so I can say I'm sorry!\I wanted to make up with you!\Mayu...\Mommy!\Mayu! response:	Mommy!
context: about your mother...\Mom!\I want to see you one more time, so I can say I'm sorry!\I wanted to make up with you!\Mayu...\Mommy!\Mayu!\Mommy! response:	I'm sorry...
context: Mom!\I want to see you one more time, so I can say I'm sorry!\I wanted to make up with you!\Mayu...\Mommy!\Mayu!\Mommy!\I'm sorry... response:	Mayu...
context: I want to see you one more time, so I can say I'm sorry!\I wanted to make up with you!\Mayu...\Mommy!\Mayu!\Mommy!\I'm sorry...\Mayu... response:	I have to go now.
context: I wanted to make up with you!\Mayu...\Mommy!\Mayu!\Mommy!\I'm sorry...\Mayu...\I have to go now. response:	I hope it worked.
context: Mayu...\Mommy!\Mayu!\Mommy!\I'm sorry...\Mayu...\I have to go now.\I hope it worked. response:	Cripes! You get into such scrapes!
context: Mommy!\Mayu!\Mommy!\I'm sorry...\Mayu...\I have to go now.\I hope it worked.\Cripes! You get into such scrapes! response:	One wrong move and you'd have been dragged into hell...
context: Mayu!\Mommy!\I'm sorry...\Mayu...\I have to go now.\I hope it worked.\Cripes! You get into such scrapes!\One wrong move and you'd have been dragged into hell... response:	with that impish evil spirit!
context: Mommy!\I'm sorry...\Mayu...\I have to go now.\I hope it worked.\Cripes! You get into such scrapes!\One wrong move and you'd have been dragged into hell...\with that impish evil spirit! response:	Evil spirit...
context: I'm sorry...\Mayu...\I have to go now.\I hope it worked.\Cripes! You get into such scrapes!\One wrong move and you'd have been dragged into hell...\with that impish evil spirit!\Evil spirit... response:	One week later, Satoru was released from the hospital.
context: Mayu...\I have to go now.\I hope it worked.\Cripes! You get into such scrapes!\One wrong move and you'd have been dragged into hell...\with that impish evil spirit!\Evil spirit...\One week later, Satoru was released from the hospital. response:	Kagome!
context: I have to go now.\I hope it worked.\Cripes! You get into such scrapes!\One wrong move and you'd have been dragged into hell...\with that impish evil spirit!\Evil spirit...\One week later, Satoru was released from the hospital.\Kagome! response:	Mayu!
context: I hope it worked.\Cripes! You get into such scrapes!\One wrong move and you'd have been dragged into hell...\with that impish evil spirit!\Evil spirit...\One week later, Satoru was released from the hospital.\Kagome!\Mayu! response:	I wanted to thank you before I left.
context: Cripes! You get into such scrapes!\One wrong move and you'd have been dragged into hell...\with that impish evil spirit!\Evil spirit...\One week later, Satoru was released from the hospital.\Kagome!\Mayu!\I wanted to thank you before I left. response:	Such a pretty cotton kimono!
context: One wrong move and you'd have been dragged into hell...\with that impish evil spirit!\Evil spirit...\One week later, Satoru was released from the hospital.\Kagome!\Mayu!\I wanted to thank you before I left.\Such a pretty cotton kimono! response:	Mom sewed it for me.
context: with that impish evil spirit!\Evil spirit...\One week later, Satoru was released from the hospital.\Kagome!\Mayu!\I wanted to thank you before I left.\Such a pretty cotton kimono!\Mom sewed it for me. response:	Thanks for everything. Bye-bye!
context: Evil spirit...\One week later, Satoru was released from the hospital.\Kagome!\Mayu!\I wanted to thank you before I left.\Such a pretty cotton kimono!\Mom sewed it for me.\Thanks for everything. Bye-bye! response:	Mayu, you weren't meant to be an evil spirit.
context: One week later, Satoru was released from the hospital.\Kagome!\Mayu!\I wanted to thank you before I left.\Such a pretty cotton kimono!\Mom sewed it for me.\Thanks for everything. Bye-bye!\Mayu, you weren't meant to be an evil spirit. response:	You were just a little girl who loved her mother very much.
context: Kagome!\Mayu!\I wanted to thank you before I left.\Such a pretty cotton kimono!\Mom sewed it for me.\Thanks for everything. Bye-bye!\Mayu, you weren't meant to be an evil spirit.\You were just a little girl who loved her mother very much. response:	Inuyasha... Half-demon and half-human.
context: Mayu!\I wanted to thank you before I left.\Such a pretty cotton kimono!\Mom sewed it for me.\Thanks for everything. Bye-bye!\Mayu, you weren't meant to be an evil spirit.\You were just a little girl who loved her mother very much.\Inuyasha... Half-demon and half-human. response:	Inuyasha's goal is to gather the fragments of the Sacred Jewel...
context: I wanted to thank you before I left.\Such a pretty cotton kimono!\Mom sewed it for me.\Thanks for everything. Bye-bye!\Mayu, you weren't meant to be an evil spirit.\You were just a little girl who loved her mother very much.\Inuyasha... Half-demon and half-human.\Inuyasha's goal is to gather the fragments of the Sacred Jewel... response:	to become a full-fledged demon.
context: Such a pretty cotton kimono!\Mom sewed it for me.\Thanks for everything. Bye-bye!\Mayu, you weren't meant to be an evil spirit.\You were just a little girl who loved her mother very much.\Inuyasha... Half-demon and half-human.\Inuyasha's goal is to gather the fragments of the Sacred Jewel...\to become a full-fledged demon. response:	During our search for the fragments...
context: Mom sewed it for me.\Thanks for everything. Bye-bye!\Mayu, you weren't meant to be an evil spirit.\You were just a little girl who loved her mother very much.\Inuyasha... Half-demon and half-human.\Inuyasha's goal is to gather the fragments of the Sacred Jewel...\to become a full-fledged demon.\During our search for the fragments... response:	we come to the rescue of a girl named Nazuna.
context: Thanks for everything. Bye-bye!\Mayu, you weren't meant to be an evil spirit.\You were just a little girl who loved her mother very much.\Inuyasha... Half-demon and half-human.\Inuyasha's goal is to gather the fragments of the Sacred Jewel...\to become a full-fledged demon.\During our search for the fragments...\we come to the rescue of a girl named Nazuna. response:	She takes us to spend the night at an old temple.
context: Mayu, you weren't meant to be an evil spirit.\You were just a little girl who loved her mother very much.\Inuyasha... Half-demon and half-human.\Inuyasha's goal is to gather the fragments of the Sacred Jewel...\to become a full-fledged demon.\During our search for the fragments...\we come to the rescue of a girl named Nazuna.\She takes us to spend the night at an old temple. response:	The Spider Lord lurks in the shadows... Is it a trap?
context: You were just a little girl who loved her mother very much.\Inuyasha... Half-demon and half-human.\Inuyasha's goal is to gather the fragments of the Sacred Jewel...\to become a full-fledged demon.\During our search for the fragments...\we come to the rescue of a girl named Nazuna.\She takes us to spend the night at an old temple.\The Spider Lord lurks in the shadows... Is it a trap? response:	But on this moonless night, a secret weakness is revealed!
context: Inuyasha... Half-demon and half-human.\Inuyasha's goal is to gather the fragments of the Sacred Jewel...\to become a full-fledged demon.\During our search for the fragments...\we come to the rescue of a girl named Nazuna.\She takes us to spend the night at an old temple.\The Spider Lord lurks in the shadows... Is it a trap?\But on this moonless night, a secret weakness is revealed! response:	The Mystery of the New Moon and the Black-haired Inuyasha!
context: Inuyasha's goal is to gather the fragments of the Sacred Jewel...\to become a full-fledged demon.\During our search for the fragments...\we come to the rescue of a girl named Nazuna.\She takes us to spend the night at an old temple.\The Spider Lord lurks in the shadows... Is it a trap?\But on this moonless night, a secret weakness is revealed!\The Mystery of the New Moon and the Black-haired Inuyasha! response:	Don't miss it!
