context: Memories from ten years ago... response:	The words of the man who was my dad...
context: Why is this even happening?\Couldn't you tell immediately that the church wasn't safe?\I'm not that stupid. Of course I could tell!\Then you should have turned right around, idiot!\How could you try a projection with those injuries?\That'll only make things worse!\And you're telling me you aren't in pain?\I swear, you're so messed up! response:	Well, you're hurting worse than I am, right?
context: Couldn't you tell immediately that the church wasn't safe?\I'm not that stupid. Of course I could tell!\Then you should have turned right around, idiot!\How could you try a projection with those injuries?\That'll only make things worse!\And you're telling me you aren't in pain?\I swear, you're so messed up!\Well, you're hurting worse than I am, right? response:	So let's go home.
context: I'm not that stupid. Of course I could tell!\Then you should have turned right around, idiot!\How could you try a projection with those injuries?\That'll only make things worse!\And you're telling me you aren't in pain?\I swear, you're so messed up!\Well, you're hurting worse than I am, right?\So let's go home. response:	You can gripe and moan once we get back.
context: Then you should have turned right around, idiot!\How could you try a projection with those injuries?\That'll only make things worse!\And you're telling me you aren't in pain?\I swear, you're so messed up!\Well, you're hurting worse than I am, right?\So let's go home.\You can gripe and moan once we get back. response:	Uh...
context: How could you try a projection with those injuries?\That'll only make things worse!\And you're telling me you aren't in pain?\I swear, you're so messed up!\Well, you're hurting worse than I am, right?\So let's go home.\You can gripe and moan once we get back.\Uh... response:	I can't believe this. A guy made me cry.
context: That'll only make things worse!\And you're telling me you aren't in pain?\I swear, you're so messed up!\Well, you're hurting worse than I am, right?\So let's go home.\You can gripe and moan once we get back.\Uh...\I can't believe this. A guy made me cry. response:	T-Tohsaka, my hand
context: And you're telling me you aren't in pain?\I swear, you're so messed up!\Well, you're hurting worse than I am, right?\So let's go home.\You can gripe and moan once we get back.\Uh...\I can't believe this. A guy made me cry.\T-Tohsaka, my hand response:	Shut up.
context: I swear, you're so messed up!\Well, you're hurting worse than I am, right?\So let's go home.\You can gripe and moan once we get back.\Uh...\I can't believe this. A guy made me cry.\T-Tohsaka, my hand\Shut up. response:	You're going to make this right, jerk.
context: Well, you're hurting worse than I am, right?\So let's go home.\You can gripe and moan once we get back.\Uh...\I can't believe this. A guy made me cry.\T-Tohsaka, my hand\Shut up.\You're going to make this right, jerk. response:	Listen,
context: So let's go home.\You can gripe and moan once we get back.\Uh...\I can't believe this. A guy made me cry.\T-Tohsaka, my hand\Shut up.\You're going to make this right, jerk.\Listen, response:	don't you dare turn around.
context: You can gripe and moan once we get back.\Uh...\I can't believe this. A guy made me cry.\T-Tohsaka, my hand\Shut up.\You're going to make this right, jerk.\Listen,\don't you dare turn around. response:	If you see my face, I'll get really mad.
context: Uh...\I can't believe this. A guy made me cry.\T-Tohsaka, my hand\Shut up.\You're going to make this right, jerk.\Listen,\don't you dare turn around.\If you see my face, I'll get really mad. response:	Archer was right.
context: I can't believe this. A guy made me cry.\T-Tohsaka, my hand\Shut up.\You're going to make this right, jerk.\Listen,\don't you dare turn around.\If you see my face, I'll get really mad.\Archer was right. response:	I should have defeated Caster when I had the chance, no matter what it took.
context: T-Tohsaka, my hand\Shut up.\You're going to make this right, jerk.\Listen,\don't you dare turn around.\If you see my face, I'll get really mad.\Archer was right.\I should have defeated Caster when I had the chance, no matter what it took. response:	I'm not whining or anything,
context: Shut up.\You're going to make this right, jerk.\Listen,\don't you dare turn around.\If you see my face, I'll get really mad.\Archer was right.\I should have defeated Caster when I had the chance, no matter what it took.\I'm not whining or anything, response:	but I always mess up the most important thing.
context: You're going to make this right, jerk.\Listen,\don't you dare turn around.\If you see my face, I'll get really mad.\Archer was right.\I should have defeated Caster when I had the chance, no matter what it took.\I'm not whining or anything,\but I always mess up the most important thing. response:	I can handle the second or third most important thing easily.
context: Listen,\don't you dare turn around.\If you see my face, I'll get really mad.\Archer was right.\I should have defeated Caster when I had the chance, no matter what it took.\I'm not whining or anything,\but I always mess up the most important thing.\I can handle the second or third most important thing easily. response:	But I always mess up the most important one.
context: don't you dare turn around.\If you see my face, I'll get really mad.\Archer was right.\I should have defeated Caster when I had the chance, no matter what it took.\I'm not whining or anything,\but I always mess up the most important thing.\I can handle the second or third most important thing easily.\But I always mess up the most important one. response:	I can't only blame him for going over to her side.
context: If you see my face, I'll get really mad.\Archer was right.\I should have defeated Caster when I had the chance, no matter what it took.\I'm not whining or anything,\but I always mess up the most important thing.\I can handle the second or third most important thing easily.\But I always mess up the most important one.\I can't only blame him for going over to her side. response:	I'm beaten.
context: Archer was right.\I should have defeated Caster when I had the chance, no matter what it took.\I'm not whining or anything,\but I always mess up the most important thing.\I can handle the second or third most important thing easily.\But I always mess up the most important one.\I can't only blame him for going over to her side.\I'm beaten. response:	After all I said,
context: I should have defeated Caster when I had the chance, no matter what it took.\I'm not whining or anything,\but I always mess up the most important thing.\I can handle the second or third most important thing easily.\But I always mess up the most important one.\I can't only blame him for going over to her side.\I'm beaten.\After all I said, response:	I suddenly found myself cornered.
context: I'm not whining or anything,\but I always mess up the most important thing.\I can handle the second or third most important thing easily.\But I always mess up the most important one.\I can't only blame him for going over to her side.\I'm beaten.\After all I said,\I suddenly found myself cornered. response:	I think this is where you're supposed to say, By what?
context: but I always mess up the most important thing.\I can handle the second or third most important thing easily.\But I always mess up the most important one.\I can't only blame him for going over to her side.\I'm beaten.\After all I said,\I suddenly found myself cornered.\I think this is where you're supposed to say, By what? response:	Oh. Then, cornered by what?
context: I can handle the second or third most important thing easily.\But I always mess up the most important one.\I can't only blame him for going over to her side.\I'm beaten.\After all I said,\I suddenly found myself cornered.\I think this is where you're supposed to say, By what?\Oh. Then, cornered by what? response:	You said a thing like that, so I got even more depressed that I failed.
context: But I always mess up the most important one.\I can't only blame him for going over to her side.\I'm beaten.\After all I said,\I suddenly found myself cornered.\I think this is where you're supposed to say, By what?\Oh. Then, cornered by what?\You said a thing like that, so I got even more depressed that I failed. response:	That's only temporary, right?
context: I can't only blame him for going over to her side.\I'm beaten.\After all I said,\I suddenly found myself cornered.\I think this is where you're supposed to say, By what?\Oh. Then, cornered by what?\You said a thing like that, so I got even more depressed that I failed.\That's only temporary, right? response:	You haven't done anything to beat yourself up over.
context: I'm beaten.\After all I said,\I suddenly found myself cornered.\I think this is where you're supposed to say, By what?\Oh. Then, cornered by what?\You said a thing like that, so I got even more depressed that I failed.\That's only temporary, right?\You haven't done anything to beat yourself up over. response:	Why not?
context: After all I said,\I suddenly found myself cornered.\I think this is where you're supposed to say, By what?\Oh. Then, cornered by what?\You said a thing like that, so I got even more depressed that I failed.\That's only temporary, right?\You haven't done anything to beat yourself up over.\Why not? response:	We're in this mess because my strategy was so wrong.
context: I suddenly found myself cornered.\I think this is where you're supposed to say, By what?\Oh. Then, cornered by what?\You said a thing like that, so I got even more depressed that I failed.\That's only temporary, right?\You haven't done anything to beat yourself up over.\Why not?\We're in this mess because my strategy was so wrong. response:	That just means you failed at one thing.
context: I think this is where you're supposed to say, By what?\Oh. Then, cornered by what?\You said a thing like that, so I got even more depressed that I failed.\That's only temporary, right?\You haven't done anything to beat yourself up over.\Why not?\We're in this mess because my strategy was so wrong.\That just means you failed at one thing. response:	But that doesn't mean you're wrong, Tohsaka.
context: Oh. Then, cornered by what?\You said a thing like that, so I got even more depressed that I failed.\That's only temporary, right?\You haven't done anything to beat yourself up over.\Why not?\We're in this mess because my strategy was so wrong.\That just means you failed at one thing.\But that doesn't mean you're wrong, Tohsaka. response:	To be honest, you look blindingly brilliant to me.
context: You said a thing like that, so I got even more depressed that I failed.\That's only temporary, right?\You haven't done anything to beat yourself up over.\Why not?\We're in this mess because my strategy was so wrong.\That just means you failed at one thing.\But that doesn't mean you're wrong, Tohsaka.\To be honest, you look blindingly brilliant to me. response:	I don't regret things, either.
context: That's only temporary, right?\You haven't done anything to beat yourself up over.\Why not?\We're in this mess because my strategy was so wrong.\That just means you failed at one thing.\But that doesn't mean you're wrong, Tohsaka.\To be honest, you look blindingly brilliant to me.\I don't regret things, either. response:	I believe what I've done was the right thing, but...
context: You haven't done anything to beat yourself up over.\Why not?\We're in this mess because my strategy was so wrong.\That just means you failed at one thing.\But that doesn't mean you're wrong, Tohsaka.\To be honest, you look blindingly brilliant to me.\I don't regret things, either.\I believe what I've done was the right thing, but... response:	That belief is a mess of patches.
context: Why not?\We're in this mess because my strategy was so wrong.\That just means you failed at one thing.\But that doesn't mean you're wrong, Tohsaka.\To be honest, you look blindingly brilliant to me.\I don't regret things, either.\I believe what I've done was the right thing, but...\That belief is a mess of patches. response:	But once you get that regret out of your system,
context: We're in this mess because my strategy was so wrong.\That just means you failed at one thing.\But that doesn't mean you're wrong, Tohsaka.\To be honest, you look blindingly brilliant to me.\I don't regret things, either.\I believe what I've done was the right thing, but...\That belief is a mess of patches.\But once you get that regret out of your system, response:	I bet you'll pay them back twice over.
context: That just means you failed at one thing.\But that doesn't mean you're wrong, Tohsaka.\To be honest, you look blindingly brilliant to me.\I don't regret things, either.\I believe what I've done was the right thing, but...\That belief is a mess of patches.\But once you get that regret out of your system,\I bet you'll pay them back twice over. response:	By the way, why did you save me?
context: But that doesn't mean you're wrong, Tohsaka.\To be honest, you look blindingly brilliant to me.\I don't regret things, either.\I believe what I've done was the right thing, but...\That belief is a mess of patches.\But once you get that regret out of your system,\I bet you'll pay them back twice over.\By the way, why did you save me? response:	Huh? How did you get that?
context: To be honest, you look blindingly brilliant to me.\I don't regret things, either.\I believe what I've done was the right thing, but...\That belief is a mess of patches.\But once you get that regret out of your system,\I bet you'll pay them back twice over.\By the way, why did you save me?\Huh? How did you get that? response:	Anyway, you can have it back.
context: I don't regret things, either.\I believe what I've done was the right thing, but...\That belief is a mess of patches.\But once you get that regret out of your system,\I bet you'll pay them back twice over.\By the way, why did you save me?\Huh? How did you get that?\Anyway, you can have it back. response:	I have another pendant just like it at my house.
context: I believe what I've done was the right thing, but...\That belief is a mess of patches.\But once you get that regret out of your system,\I bet you'll pay them back twice over.\By the way, why did you save me?\Huh? How did you get that?\Anyway, you can have it back.\I have another pendant just like it at my house. response:	After Lancer nearly killed me at school, it was lying next to me.
context: That belief is a mess of patches.\But once you get that regret out of your system,\I bet you'll pay them back twice over.\By the way, why did you save me?\Huh? How did you get that?\Anyway, you can have it back.\I have another pendant just like it at my house.\After Lancer nearly killed me at school, it was lying next to me. response:	I picked it up, and I've had it ever since.
context: But once you get that regret out of your system,\I bet you'll pay them back twice over.\By the way, why did you save me?\Huh? How did you get that?\Anyway, you can have it back.\I have another pendant just like it at my house.\After Lancer nearly killed me at school, it was lying next to me.\I picked it up, and I've had it ever since. response:	You have one just like it?
context: I bet you'll pay them back twice over.\By the way, why did you save me?\Huh? How did you get that?\Anyway, you can have it back.\I have another pendant just like it at my house.\After Lancer nearly killed me at school, it was lying next to me.\I picked it up, and I've had it ever since.\You have one just like it? response:	Huh? Did I say something strange?
context: By the way, why did you save me?\Huh? How did you get that?\Anyway, you can have it back.\I have another pendant just like it at my house.\After Lancer nearly killed me at school, it was lying next to me.\I picked it up, and I've had it ever since.\You have one just like it?\Huh? Did I say something strange? response:	No, not really.
context: Huh? How did you get that?\Anyway, you can have it back.\I have another pendant just like it at my house.\After Lancer nearly killed me at school, it was lying next to me.\I picked it up, and I've had it ever since.\You have one just like it?\Huh? Did I say something strange?\No, not really. response:	Anyway, why would this be a reason for you to save me?
context: Anyway, you can have it back.\I have another pendant just like it at my house.\After Lancer nearly killed me at school, it was lying next to me.\I picked it up, and I've had it ever since.\You have one just like it?\Huh? Did I say something strange?\No, not really.\Anyway, why would this be a reason for you to save me? response:	Well...
context: I have another pendant just like it at my house.\After Lancer nearly killed me at school, it was lying next to me.\I picked it up, and I've had it ever since.\You have one just like it?\Huh? Did I say something strange?\No, not really.\Anyway, why would this be a reason for you to save me?\Well... response:	The truth is, that was an afterthought.
context: After Lancer nearly killed me at school, it was lying next to me.\I picked it up, and I've had it ever since.\You have one just like it?\Huh? Did I say something strange?\No, not really.\Anyway, why would this be a reason for you to save me?\Well...\The truth is, that was an afterthought. response:	If I must confess,
context: I picked it up, and I've had it ever since.\You have one just like it?\Huh? Did I say something strange?\No, not really.\Anyway, why would this be a reason for you to save me?\Well...\The truth is, that was an afterthought.\If I must confess, response:	I've always looked up to this girl named Tohsaka Rin.
context: You have one just like it?\Huh? Did I say something strange?\No, not really.\Anyway, why would this be a reason for you to save me?\Well...\The truth is, that was an afterthought.\If I must confess,\I've always looked up to this girl named Tohsaka Rin. response:	Then, inconvenient as it was...
context: Huh? Did I say something strange?\No, not really.\Anyway, why would this be a reason for you to save me?\Well...\The truth is, that was an afterthought.\If I must confess,\I've always looked up to this girl named Tohsaka Rin.\Then, inconvenient as it was... response:	When I finally got around to talking to her, I fell for her even more.
context: No, not really.\Anyway, why would this be a reason for you to save me?\Well...\The truth is, that was an afterthought.\If I must confess,\I've always looked up to this girl named Tohsaka Rin.\Then, inconvenient as it was...\When I finally got around to talking to her, I fell for her even more. response:	So before I knew it, I had already jumped down there without thinking.
context: Anyway, why would this be a reason for you to save me?\Well...\The truth is, that was an afterthought.\If I must confess,\I've always looked up to this girl named Tohsaka Rin.\Then, inconvenient as it was...\When I finally got around to talking to her, I fell for her even more.\So before I knew it, I had already jumped down there without thinking. response:	H-Hey, if you go around blurting out things like that without thinking,
context: Well...\The truth is, that was an afterthought.\If I must confess,\I've always looked up to this girl named Tohsaka Rin.\Then, inconvenient as it was...\When I finally got around to talking to her, I fell for her even more.\So before I knew it, I had already jumped down there without thinking.\H-Hey, if you go around blurting out things like that without thinking, response:	people will get the wrong idea!
context: The truth is, that was an afterthought.\If I must confess,\I've always looked up to this girl named Tohsaka Rin.\Then, inconvenient as it was...\When I finally got around to talking to her, I fell for her even more.\So before I knew it, I had already jumped down there without thinking.\H-Hey, if you go around blurting out things like that without thinking,\people will get the wrong idea! response:	I really do have feelings for you!
context: If I must confess,\I've always looked up to this girl named Tohsaka Rin.\Then, inconvenient as it was...\When I finally got around to talking to her, I fell for her even more.\So before I knew it, I had already jumped down there without thinking.\H-Hey, if you go around blurting out things like that without thinking,\people will get the wrong idea!\I really do have feelings for you! response:	Y-You jerk! You enormous jerk!
context: I've always looked up to this girl named Tohsaka Rin.\Then, inconvenient as it was...\When I finally got around to talking to her, I fell for her even more.\So before I knew it, I had already jumped down there without thinking.\H-Hey, if you go around blurting out things like that without thinking,\people will get the wrong idea!\I really do have feelings for you!\Y-You jerk! You enormous jerk! response:	Thanks for coming to my rescue.
context: Then, inconvenient as it was...\When I finally got around to talking to her, I fell for her even more.\So before I knew it, I had already jumped down there without thinking.\H-Hey, if you go around blurting out things like that without thinking,\people will get the wrong idea!\I really do have feelings for you!\Y-You jerk! You enormous jerk!\Thanks for coming to my rescue. response:	I was really happy that you saved me.
context: When I finally got around to talking to her, I fell for her even more.\So before I knew it, I had already jumped down there without thinking.\H-Hey, if you go around blurting out things like that without thinking,\people will get the wrong idea!\I really do have feelings for you!\Y-You jerk! You enormous jerk!\Thanks for coming to my rescue.\I was really happy that you saved me. response:	I appreciate your thoughtfulness, but before that...
context: So before I knew it, I had already jumped down there without thinking.\H-Hey, if you go around blurting out things like that without thinking,\people will get the wrong idea!\I really do have feelings for you!\Y-You jerk! You enormous jerk!\Thanks for coming to my rescue.\I was really happy that you saved me.\I appreciate your thoughtfulness, but before that... response:	It works best when the raw materials are pure.
context: H-Hey, if you go around blurting out things like that without thinking,\people will get the wrong idea!\I really do have feelings for you!\Y-You jerk! You enormous jerk!\Thanks for coming to my rescue.\I was really happy that you saved me.\I appreciate your thoughtfulness, but before that...\It works best when the raw materials are pure. response:	Could we work with other Masters?
context: people will get the wrong idea!\I really do have feelings for you!\Y-You jerk! You enormous jerk!\Thanks for coming to my rescue.\I was really happy that you saved me.\I appreciate your thoughtfulness, but before that...\It works best when the raw materials are pure.\Could we work with other Masters? response:	You are about to die here, so is that any of your concern?
context: I really do have feelings for you!\Y-You jerk! You enormous jerk!\Thanks for coming to my rescue.\I was really happy that you saved me.\I appreciate your thoughtfulness, but before that...\It works best when the raw materials are pure.\Could we work with other Masters?\You are about to die here, so is that any of your concern? response:	Next Time The Princess of Colchis
