context: you won't be able to save the two in the basement! response:	Hey, Yu, Ayumi. It's been a while.
context: we will assume you traveled to the past to change destinies,\and kill off Furuki's family. See you.\That far...\Phone call, Furuki.\It's you, Otosaka...\Furuki... are you all right?\They threatened me... I'm sorry.\Just as I thought. response:	How long have they been threatening you?
context: and kill off Furuki's family. See you.\That far...\Phone call, Furuki.\It's you, Otosaka...\Furuki... are you all right?\They threatened me... I'm sorry.\Just as I thought.\How long have they been threatening you? response:	Back around when we were getting ready to build the academy...
context: That far...\Phone call, Furuki.\It's you, Otosaka...\Furuki... are you all right?\They threatened me... I'm sorry.\Just as I thought.\How long have they been threatening you?\Back around when we were getting ready to build the academy... response:	This makes it pretty tough...
context: Phone call, Furuki.\It's you, Otosaka...\Furuki... are you all right?\They threatened me... I'm sorry.\Just as I thought.\How long have they been threatening you?\Back around when we were getting ready to build the academy...\This makes it pretty tough... response:	If I talked, they said they would kill my family.
context: It's you, Otosaka...\Furuki... are you all right?\They threatened me... I'm sorry.\Just as I thought.\How long have they been threatening you?\Back around when we were getting ready to build the academy...\This makes it pretty tough...\If I talked, they said they would kill my family. response:	I thought about suicide... but I couldn't leave my family behind... so...
context: Furuki... are you all right?\They threatened me... I'm sorry.\Just as I thought.\How long have they been threatening you?\Back around when we were getting ready to build the academy...\This makes it pretty tough...\If I talked, they said they would kill my family.\I thought about suicide... but I couldn't leave my family behind... so... response:	That's why all of this happened!
context: They threatened me... I'm sorry.\Just as I thought.\How long have they been threatening you?\Back around when we were getting ready to build the academy...\This makes it pretty tough...\If I talked, they said they would kill my family.\I thought about suicide... but I couldn't leave my family behind... so...\That's why all of this happened! response:	It's an error in my judgment.
context: Just as I thought.\How long have they been threatening you?\Back around when we were getting ready to build the academy...\This makes it pretty tough...\If I talked, they said they would kill my family.\I thought about suicide... but I couldn't leave my family behind... so...\That's why all of this happened!\It's an error in my judgment. response:	There is no need for you to torment yourself, Furuki.
context: How long have they been threatening you?\Back around when we were getting ready to build the academy...\This makes it pretty tough...\If I talked, they said they would kill my family.\I thought about suicide... but I couldn't leave my family behind... so...\That's why all of this happened!\It's an error in my judgment.\There is no need for you to torment yourself, Furuki. response:	I will make sure to rescue your family.
context: Back around when we were getting ready to build the academy...\This makes it pretty tough...\If I talked, they said they would kill my family.\I thought about suicide... but I couldn't leave my family behind... so...\That's why all of this happened!\It's an error in my judgment.\There is no need for you to torment yourself, Furuki.\I will make sure to rescue your family. response:	I'm really sorry...
context: This makes it pretty tough...\If I talked, they said they would kill my family.\I thought about suicide... but I couldn't leave my family behind... so...\That's why all of this happened!\It's an error in my judgment.\There is no need for you to torment yourself, Furuki.\I will make sure to rescue your family.\I'm really sorry... response:	So they've made it out to Japan as well?
context: If I talked, they said they would kill my family.\I thought about suicide... but I couldn't leave my family behind... so...\That's why all of this happened!\It's an error in my judgment.\There is no need for you to torment yourself, Furuki.\I will make sure to rescue your family.\I'm really sorry...\So they've made it out to Japan as well? response:	However, how did they get Kumagami?
context: I thought about suicide... but I couldn't leave my family behind... so...\That's why all of this happened!\It's an error in my judgment.\There is no need for you to torment yourself, Furuki.\I will make sure to rescue your family.\I'm really sorry...\So they've made it out to Japan as well?\However, how did they get Kumagami? response:	They are threatening Furuki.
context: That's why all of this happened!\It's an error in my judgment.\There is no need for you to torment yourself, Furuki.\I will make sure to rescue your family.\I'm really sorry...\So they've made it out to Japan as well?\However, how did they get Kumagami?\They are threatening Furuki. response:	It was my mistake. He had a family, but I gave tacit consent...
context: It's an error in my judgment.\There is no need for you to torment yourself, Furuki.\I will make sure to rescue your family.\I'm really sorry...\So they've made it out to Japan as well?\However, how did they get Kumagami?\They are threatening Furuki.\It was my mistake. He had a family, but I gave tacit consent... response:	To think the enemy would come in from that angle...
context: There is no need for you to torment yourself, Furuki.\I will make sure to rescue your family.\I'm really sorry...\So they've made it out to Japan as well?\However, how did they get Kumagami?\They are threatening Furuki.\It was my mistake. He had a family, but I gave tacit consent...\To think the enemy would come in from that angle... response:	Then, what if you had your little brother time-leap to before
context: I will make sure to rescue your family.\I'm really sorry...\So they've made it out to Japan as well?\However, how did they get Kumagami?\They are threatening Furuki.\It was my mistake. He had a family, but I gave tacit consent...\To think the enemy would come in from that angle...\Then, what if you had your little brother time-leap to before response:	Furuki started getting threatened?
context: I'm really sorry...\So they've made it out to Japan as well?\However, how did they get Kumagami?\They are threatening Furuki.\It was my mistake. He had a family, but I gave tacit consent...\To think the enemy would come in from that angle...\Then, what if you had your little brother time-leap to before\Furuki started getting threatened? response:	If he was threatened from before the academy was built...
context: So they've made it out to Japan as well?\However, how did they get Kumagami?\They are threatening Furuki.\It was my mistake. He had a family, but I gave tacit consent...\To think the enemy would come in from that angle...\Then, what if you had your little brother time-leap to before\Furuki started getting threatened?\If he was threatened from before the academy was built... response:	I'm not sure if we can follow the same path or not.
context: However, how did they get Kumagami?\They are threatening Furuki.\It was my mistake. He had a family, but I gave tacit consent...\To think the enemy would come in from that angle...\Then, what if you had your little brother time-leap to before\Furuki started getting threatened?\If he was threatened from before the academy was built...\I'm not sure if we can follow the same path or not. response:	Which means, there is a possibility that this entire syndicate may not even exist.
context: They are threatening Furuki.\It was my mistake. He had a family, but I gave tacit consent...\To think the enemy would come in from that angle...\Then, what if you had your little brother time-leap to before\Furuki started getting threatened?\If he was threatened from before the academy was built...\I'm not sure if we can follow the same path or not.\Which means, there is a possibility that this entire syndicate may not even exist. response:	The risk is just too big.
context: It was my mistake. He had a family, but I gave tacit consent...\To think the enemy would come in from that angle...\Then, what if you had your little brother time-leap to before\Furuki started getting threatened?\If he was threatened from before the academy was built...\I'm not sure if we can follow the same path or not.\Which means, there is a possibility that this entire syndicate may not even exist.\The risk is just too big. response:	Then, how about we have your little brother rescue Kumagami first?
context: To think the enemy would come in from that angle...\Then, what if you had your little brother time-leap to before\Furuki started getting threatened?\If he was threatened from before the academy was built...\I'm not sure if we can follow the same path or not.\Which means, there is a possibility that this entire syndicate may not even exist.\The risk is just too big.\Then, how about we have your little brother rescue Kumagami first? response:	If we do that, Furuki's family will be sacrificed... they can notice such anomalies.
context: Then, what if you had your little brother time-leap to before\Furuki started getting threatened?\If he was threatened from before the academy was built...\I'm not sure if we can follow the same path or not.\Which means, there is a possibility that this entire syndicate may not even exist.\The risk is just too big.\Then, how about we have your little brother rescue Kumagami first?\If we do that, Furuki's family will be sacrificed... they can notice such anomalies. response:	Then, how about using an ability wielder other than your little brother
context: Furuki started getting threatened?\If he was threatened from before the academy was built...\I'm not sure if we can follow the same path or not.\Which means, there is a possibility that this entire syndicate may not even exist.\The risk is just too big.\Then, how about we have your little brother rescue Kumagami first?\If we do that, Furuki's family will be sacrificed... they can notice such anomalies.\Then, how about using an ability wielder other than your little brother response:	They told me Yu needs to go alone.
context: If he was threatened from before the academy was built...\I'm not sure if we can follow the same path or not.\Which means, there is a possibility that this entire syndicate may not even exist.\The risk is just too big.\Then, how about we have your little brother rescue Kumagami first?\If we do that, Furuki's family will be sacrificed... they can notice such anomalies.\Then, how about using an ability wielder other than your little brother\They told me Yu needs to go alone. response:	If we screw up, everyone caught by them will fall victim to their hands.
context: I'm not sure if we can follow the same path or not.\Which means, there is a possibility that this entire syndicate may not even exist.\The risk is just too big.\Then, how about we have your little brother rescue Kumagami first?\If we do that, Furuki's family will be sacrificed... they can notice such anomalies.\Then, how about using an ability wielder other than your little brother\They told me Yu needs to go alone.\If we screw up, everyone caught by them will fall victim to their hands. response:	There's nothing we can do, then...
context: Which means, there is a possibility that this entire syndicate may not even exist.\The risk is just too big.\Then, how about we have your little brother rescue Kumagami first?\If we do that, Furuki's family will be sacrificed... they can notice such anomalies.\Then, how about using an ability wielder other than your little brother\They told me Yu needs to go alone.\If we screw up, everyone caught by them will fall victim to their hands.\There's nothing we can do, then... response:	Sounds more like we have a better shot if we let the little brother go in by himself.
context: The risk is just too big.\Then, how about we have your little brother rescue Kumagami first?\If we do that, Furuki's family will be sacrificed... they can notice such anomalies.\Then, how about using an ability wielder other than your little brother\They told me Yu needs to go alone.\If we screw up, everyone caught by them will fall victim to their hands.\There's nothing we can do, then...\Sounds more like we have a better shot if we let the little brother go in by himself. response:	What?
context: Then, how about we have your little brother rescue Kumagami first?\If we do that, Furuki's family will be sacrificed... they can notice such anomalies.\Then, how about using an ability wielder other than your little brother\They told me Yu needs to go alone.\If we screw up, everyone caught by them will fall victim to their hands.\There's nothing we can do, then...\Sounds more like we have a better shot if we let the little brother go in by himself.\What? response:	We're probably against ability wielders, so he can plunder their abilities.
context: If we do that, Furuki's family will be sacrificed... they can notice such anomalies.\Then, how about using an ability wielder other than your little brother\They told me Yu needs to go alone.\If we screw up, everyone caught by them will fall victim to their hands.\There's nothing we can do, then...\Sounds more like we have a better shot if we let the little brother go in by himself.\What?\We're probably against ability wielders, so he can plunder their abilities. response:	Even if he screws up, he can use time-leap to redo everything from this point in time.
context: Then, how about using an ability wielder other than your little brother\They told me Yu needs to go alone.\If we screw up, everyone caught by them will fall victim to their hands.\There's nothing we can do, then...\Sounds more like we have a better shot if we let the little brother go in by himself.\What?\We're probably against ability wielders, so he can plunder their abilities.\Even if he screws up, he can use time-leap to redo everything from this point in time. response:	That way, there won't be any irregularities, so they won't notice that he time-leaped!
context: They told me Yu needs to go alone.\If we screw up, everyone caught by them will fall victim to their hands.\There's nothing we can do, then...\Sounds more like we have a better shot if we let the little brother go in by himself.\What?\We're probably against ability wielders, so he can plunder their abilities.\Even if he screws up, he can use time-leap to redo everything from this point in time.\That way, there won't be any irregularities, so they won't notice that he time-leaped! response:	We have to bet on Yu now, don't we...
context: If we screw up, everyone caught by them will fall victim to their hands.\There's nothing we can do, then...\Sounds more like we have a better shot if we let the little brother go in by himself.\What?\We're probably against ability wielders, so he can plunder their abilities.\Even if he screws up, he can use time-leap to redo everything from this point in time.\That way, there won't be any irregularities, so they won't notice that he time-leaped!\We have to bet on Yu now, don't we... response:	So unbecoming... what a sight...
context: There's nothing we can do, then...\Sounds more like we have a better shot if we let the little brother go in by himself.\What?\We're probably against ability wielders, so he can plunder their abilities.\Even if he screws up, he can use time-leap to redo everything from this point in time.\That way, there won't be any irregularities, so they won't notice that he time-leaped!\We have to bet on Yu now, don't we...\So unbecoming... what a sight... response:	Tomori is held hostage?
context: Sounds more like we have a better shot if we let the little brother go in by himself.\What?\We're probably against ability wielders, so he can plunder their abilities.\Even if he screws up, he can use time-leap to redo everything from this point in time.\That way, there won't be any irregularities, so they won't notice that he time-leaped!\We have to bet on Yu now, don't we...\So unbecoming... what a sight...\Tomori is held hostage? response:	Many security guards at the dorm were put down.
context: What?\We're probably against ability wielders, so he can plunder their abilities.\Even if he screws up, he can use time-leap to redo everything from this point in time.\That way, there won't be any irregularities, so they won't notice that he time-leaped!\We have to bet on Yu now, don't we...\So unbecoming... what a sight...\Tomori is held hostage?\Many security guards at the dorm were put down. response:	There is no doubt these are pros that came from overseas...
context: We're probably against ability wielders, so he can plunder their abilities.\Even if he screws up, he can use time-leap to redo everything from this point in time.\That way, there won't be any irregularities, so they won't notice that he time-leaped!\We have to bet on Yu now, don't we...\So unbecoming... what a sight...\Tomori is held hostage?\Many security guards at the dorm were put down.\There is no doubt these are pros that came from overseas... response:	And I'm sure they're armed as well.
context: Even if he screws up, he can use time-leap to redo everything from this point in time.\That way, there won't be any irregularities, so they won't notice that he time-leaped!\We have to bet on Yu now, don't we...\So unbecoming... what a sight...\Tomori is held hostage?\Many security guards at the dorm were put down.\There is no doubt these are pros that came from overseas...\And I'm sure they're armed as well. response:	You want me to go to a place like that... by myself?
context: That way, there won't be any irregularities, so they won't notice that he time-leaped!\We have to bet on Yu now, don't we...\So unbecoming... what a sight...\Tomori is held hostage?\Many security guards at the dorm were put down.\There is no doubt these are pros that came from overseas...\And I'm sure they're armed as well.\You want me to go to a place like that... by myself? response:	You can do it. It's fine!
context: We have to bet on Yu now, don't we...\So unbecoming... what a sight...\Tomori is held hostage?\Many security guards at the dorm were put down.\There is no doubt these are pros that came from overseas...\And I'm sure they're armed as well.\You want me to go to a place like that... by myself?\You can do it. It's fine! response:	First off, plunder all the abilities of everyone in the area,
context: So unbecoming... what a sight...\Tomori is held hostage?\Many security guards at the dorm were put down.\There is no doubt these are pros that came from overseas...\And I'm sure they're armed as well.\You want me to go to a place like that... by myself?\You can do it. It's fine!\First off, plunder all the abilities of everyone in the area, response:	and make them drop their weapons. You can do that, right?
context: Tomori is held hostage?\Many security guards at the dorm were put down.\There is no doubt these are pros that came from overseas...\And I'm sure they're armed as well.\You want me to go to a place like that... by myself?\You can do it. It's fine!\First off, plunder all the abilities of everyone in the area,\and make them drop their weapons. You can do that, right? response:	If it's not a hidden enemy...
context: Many security guards at the dorm were put down.\There is no doubt these are pros that came from overseas...\And I'm sure they're armed as well.\You want me to go to a place like that... by myself?\You can do it. It's fine!\First off, plunder all the abilities of everyone in the area,\and make them drop their weapons. You can do that, right?\If it's not a hidden enemy... response:	The enemy wants you. They won't do anything that would kill you.
context: There is no doubt these are pros that came from overseas...\And I'm sure they're armed as well.\You want me to go to a place like that... by myself?\You can do it. It's fine!\First off, plunder all the abilities of everyone in the area,\and make them drop their weapons. You can do that, right?\If it's not a hidden enemy...\The enemy wants you. They won't do anything that would kill you. response:	However, if you get caught, or they put Nao or Kumagami in harm's way,
context: And I'm sure they're armed as well.\You want me to go to a place like that... by myself?\You can do it. It's fine!\First off, plunder all the abilities of everyone in the area,\and make them drop their weapons. You can do that, right?\If it's not a hidden enemy...\The enemy wants you. They won't do anything that would kill you.\However, if you get caught, or they put Nao or Kumagami in harm's way, response:	use your time-leap ability to come back to this point in time!
context: You want me to go to a place like that... by myself?\You can do it. It's fine!\First off, plunder all the abilities of everyone in the area,\and make them drop their weapons. You can do that, right?\If it's not a hidden enemy...\The enemy wants you. They won't do anything that would kill you.\However, if you get caught, or they put Nao or Kumagami in harm's way,\use your time-leap ability to come back to this point in time! response:	We can build a new tactic at that point.
context: You can do it. It's fine!\First off, plunder all the abilities of everyone in the area,\and make them drop their weapons. You can do that, right?\If it's not a hidden enemy...\The enemy wants you. They won't do anything that would kill you.\However, if you get caught, or they put Nao or Kumagami in harm's way,\use your time-leap ability to come back to this point in time!\We can build a new tactic at that point. response:	One more thing, make sure to never get too excited!
context: First off, plunder all the abilities of everyone in the area,\and make them drop their weapons. You can do that, right?\If it's not a hidden enemy...\The enemy wants you. They won't do anything that would kill you.\However, if you get caught, or they put Nao or Kumagami in harm's way,\use your time-leap ability to come back to this point in time!\We can build a new tactic at that point.\One more thing, make sure to never get too excited! response:	Your collapse power will trigger, and your own life will be in danger.
context: and make them drop their weapons. You can do that, right?\If it's not a hidden enemy...\The enemy wants you. They won't do anything that would kill you.\However, if you get caught, or they put Nao or Kumagami in harm's way,\use your time-leap ability to come back to this point in time!\We can build a new tactic at that point.\One more thing, make sure to never get too excited!\Your collapse power will trigger, and your own life will be in danger. response:	Got that, Yu?
context: If it's not a hidden enemy...\The enemy wants you. They won't do anything that would kill you.\However, if you get caught, or they put Nao or Kumagami in harm's way,\use your time-leap ability to come back to this point in time!\We can build a new tactic at that point.\One more thing, make sure to never get too excited!\Your collapse power will trigger, and your own life will be in danger.\Got that, Yu? response:	What's with this...
context: The enemy wants you. They won't do anything that would kill you.\However, if you get caught, or they put Nao or Kumagami in harm's way,\use your time-leap ability to come back to this point in time!\We can build a new tactic at that point.\One more thing, make sure to never get too excited!\Your collapse power will trigger, and your own life will be in danger.\Got that, Yu?\What's with this... response:	Yu?
context: However, if you get caught, or they put Nao or Kumagami in harm's way,\use your time-leap ability to come back to this point in time!\We can build a new tactic at that point.\One more thing, make sure to never get too excited!\Your collapse power will trigger, and your own life will be in danger.\Got that, Yu?\What's with this...\Yu? response:	What's with all this! There's no way I can do something like that!
context: use your time-leap ability to come back to this point in time!\We can build a new tactic at that point.\One more thing, make sure to never get too excited!\Your collapse power will trigger, and your own life will be in danger.\Got that, Yu?\What's with this...\Yu?\What's with all this! There's no way I can do something like that! response:	This isn't a problem that one individual can handle on his own!
context: We can build a new tactic at that point.\One more thing, make sure to never get too excited!\Your collapse power will trigger, and your own life will be in danger.\Got that, Yu?\What's with this...\Yu?\What's with all this! There's no way I can do something like that!\This isn't a problem that one individual can handle on his own! response:	I was just someone that got good grades by unfair means,
context: One more thing, make sure to never get too excited!\Your collapse power will trigger, and your own life will be in danger.\Got that, Yu?\What's with this...\Yu?\What's with all this! There's no way I can do something like that!\This isn't a problem that one individual can handle on his own!\I was just someone that got good grades by unfair means, response:	nothing more than a fiend of cheating!
context: Your collapse power will trigger, and your own life will be in danger.\Got that, Yu?\What's with this...\Yu?\What's with all this! There's no way I can do something like that!\This isn't a problem that one individual can handle on his own!\I was just someone that got good grades by unfair means,\nothing more than a fiend of cheating! response:	I'm a despicable guy that has only thought about himself!
context: Got that, Yu?\What's with this...\Yu?\What's with all this! There's no way I can do something like that!\This isn't a problem that one individual can handle on his own!\I was just someone that got good grades by unfair means,\nothing more than a fiend of cheating!\I'm a despicable guy that has only thought about himself! response:	I am just a greedy human that wanted everyone to see me in a good light!
context: What's with this...\Yu?\What's with all this! There's no way I can do something like that!\This isn't a problem that one individual can handle on his own!\I was just someone that got good grades by unfair means,\nothing more than a fiend of cheating!\I'm a despicable guy that has only thought about himself!\I am just a greedy human that wanted everyone to see me in a good light! response:	That's all I am... what can I-
context: Yu?\What's with all this! There's no way I can do something like that!\This isn't a problem that one individual can handle on his own!\I was just someone that got good grades by unfair means,\nothing more than a fiend of cheating!\I'm a despicable guy that has only thought about himself!\I am just a greedy human that wanted everyone to see me in a good light!\That's all I am... what can I- response:	Calm down!
context: What's with all this! There's no way I can do something like that!\This isn't a problem that one individual can handle on his own!\I was just someone that got good grades by unfair means,\nothing more than a fiend of cheating!\I'm a despicable guy that has only thought about himself!\I am just a greedy human that wanted everyone to see me in a good light!\That's all I am... what can I-\Calm down! response:	Listen to my heartbeat. Concentrate on only that!
context: This isn't a problem that one individual can handle on his own!\I was just someone that got good grades by unfair means,\nothing more than a fiend of cheating!\I'm a despicable guy that has only thought about himself!\I am just a greedy human that wanted everyone to see me in a good light!\That's all I am... what can I-\Calm down!\Listen to my heartbeat. Concentrate on only that! response:	Are you calm now?
context: I was just someone that got good grades by unfair means,\nothing more than a fiend of cheating!\I'm a despicable guy that has only thought about himself!\I am just a greedy human that wanted everyone to see me in a good light!\That's all I am... what can I-\Calm down!\Listen to my heartbeat. Concentrate on only that!\Are you calm now? response:	I'm sorry... I was rushing things too much.
context: nothing more than a fiend of cheating!\I'm a despicable guy that has only thought about himself!\I am just a greedy human that wanted everyone to see me in a good light!\That's all I am... what can I-\Calm down!\Listen to my heartbeat. Concentrate on only that!\Are you calm now?\I'm sorry... I was rushing things too much. response:	If you feel you're in trouble, time-leap back to this point in time.
context: I'm a despicable guy that has only thought about himself!\I am just a greedy human that wanted everyone to see me in a good light!\That's all I am... what can I-\Calm down!\Listen to my heartbeat. Concentrate on only that!\Are you calm now?\I'm sorry... I was rushing things too much.\If you feel you're in trouble, time-leap back to this point in time. response:	That's all you need to remember.
context: I am just a greedy human that wanted everyone to see me in a good light!\That's all I am... what can I-\Calm down!\Listen to my heartbeat. Concentrate on only that!\Are you calm now?\I'm sorry... I was rushing things too much.\If you feel you're in trouble, time-leap back to this point in time.\That's all you need to remember. response:	We still have a bit of time left. Calmly think it over.
context: That's all I am... what can I-\Calm down!\Listen to my heartbeat. Concentrate on only that!\Are you calm now?\I'm sorry... I was rushing things too much.\If you feel you're in trouble, time-leap back to this point in time.\That's all you need to remember.\We still have a bit of time left. Calmly think it over. response:	However... you seem like you'd be popular from just your looks.
context: Calm down!\Listen to my heartbeat. Concentrate on only that!\Are you calm now?\I'm sorry... I was rushing things too much.\If you feel you're in trouble, time-leap back to this point in time.\That's all you need to remember.\We still have a bit of time left. Calmly think it over.\However... you seem like you'd be popular from just your looks. response:	Was there also a need to play the role of a genius by cheating as much as possible?
context: Listen to my heartbeat. Concentrate on only that!\Are you calm now?\I'm sorry... I was rushing things too much.\If you feel you're in trouble, time-leap back to this point in time.\That's all you need to remember.\We still have a bit of time left. Calmly think it over.\However... you seem like you'd be popular from just your looks.\Was there also a need to play the role of a genius by cheating as much as possible? response:	That's the real question.
context: Are you calm now?\I'm sorry... I was rushing things too much.\If you feel you're in trouble, time-leap back to this point in time.\That's all you need to remember.\We still have a bit of time left. Calmly think it over.\However... you seem like you'd be popular from just your looks.\Was there also a need to play the role of a genius by cheating as much as possible?\That's the real question. response:	It really was a horrible start for us...
context: I'm sorry... I was rushing things too much.\If you feel you're in trouble, time-leap back to this point in time.\That's all you need to remember.\We still have a bit of time left. Calmly think it over.\However... you seem like you'd be popular from just your looks.\Was there also a need to play the role of a genius by cheating as much as possible?\That's the real question.\It really was a horrible start for us... response:	To do some investigation, of course.
context: If you feel you're in trouble, time-leap back to this point in time.\That's all you need to remember.\We still have a bit of time left. Calmly think it over.\However... you seem like you'd be popular from just your looks.\Was there also a need to play the role of a genius by cheating as much as possible?\That's the real question.\It really was a horrible start for us...\To do some investigation, of course. response:	But my dream is to film a ZHIEND music video.
context: That's all you need to remember.\We still have a bit of time left. Calmly think it over.\However... you seem like you'd be popular from just your looks.\Was there also a need to play the role of a genius by cheating as much as possible?\That's the real question.\It really was a horrible start for us...\To do some investigation, of course.\But my dream is to film a ZHIEND music video. response:	That is why I decided that I'll stick it out with you, until you have risen back up to normal.
context: We still have a bit of time left. Calmly think it over.\However... you seem like you'd be popular from just your looks.\Was there also a need to play the role of a genius by cheating as much as possible?\That's the real question.\It really was a horrible start for us...\To do some investigation, of course.\But my dream is to film a ZHIEND music video.\That is why I decided that I'll stick it out with you, until you have risen back up to normal. response:	It was the same thing with Ayumi... it's too late to realize something after losing it...
context: However... you seem like you'd be popular from just your looks.\Was there also a need to play the role of a genius by cheating as much as possible?\That's the real question.\It really was a horrible start for us...\To do some investigation, of course.\But my dream is to film a ZHIEND music video.\That is why I decided that I'll stick it out with you, until you have risen back up to normal.\It was the same thing with Ayumi... it's too late to realize something after losing it... response:	I will make sure to rescue Tomori.
context: Was there also a need to play the role of a genius by cheating as much as possible?\That's the real question.\It really was a horrible start for us...\To do some investigation, of course.\But my dream is to film a ZHIEND music video.\That is why I decided that I'll stick it out with you, until you have risen back up to normal.\It was the same thing with Ayumi... it's too late to realize something after losing it...\I will make sure to rescue Tomori. response:	I've made up my mind.
context: That's the real question.\It really was a horrible start for us...\To do some investigation, of course.\But my dream is to film a ZHIEND music video.\That is why I decided that I'll stick it out with you, until you have risen back up to normal.\It was the same thing with Ayumi... it's too late to realize something after losing it...\I will make sure to rescue Tomori.\I've made up my mind. response:	You've accepted your fate?
context: It really was a horrible start for us...\To do some investigation, of course.\But my dream is to film a ZHIEND music video.\That is why I decided that I'll stick it out with you, until you have risen back up to normal.\It was the same thing with Ayumi... it's too late to realize something after losing it...\I will make sure to rescue Tomori.\I've made up my mind.\You've accepted your fate? response:	Yeah.
context: To do some investigation, of course.\But my dream is to film a ZHIEND music video.\That is why I decided that I'll stick it out with you, until you have risen back up to normal.\It was the same thing with Ayumi... it's too late to realize something after losing it...\I will make sure to rescue Tomori.\I've made up my mind.\You've accepted your fate?\Yeah. response:	We'll follow you in a bit. You are not alone.
context: But my dream is to film a ZHIEND music video.\That is why I decided that I'll stick it out with you, until you have risen back up to normal.\It was the same thing with Ayumi... it's too late to realize something after losing it...\I will make sure to rescue Tomori.\I've made up my mind.\You've accepted your fate?\Yeah.\We'll follow you in a bit. You are not alone. response:	If something happens, we'll rescue you right away.
context: That is why I decided that I'll stick it out with you, until you have risen back up to normal.\It was the same thing with Ayumi... it's too late to realize something after losing it...\I will make sure to rescue Tomori.\I've made up my mind.\You've accepted your fate?\Yeah.\We'll follow you in a bit. You are not alone.\If something happens, we'll rescue you right away. response:	Yeah...
context: It was the same thing with Ayumi... it's too late to realize something after losing it...\I will make sure to rescue Tomori.\I've made up my mind.\You've accepted your fate?\Yeah.\We'll follow you in a bit. You are not alone.\If something happens, we'll rescue you right away.\Yeah... response:	So are you Furuki?
context: I will make sure to rescue Tomori.\I've made up my mind.\You've accepted your fate?\Yeah.\We'll follow you in a bit. You are not alone.\If something happens, we'll rescue you right away.\Yeah...\So are you Furuki? response:	Yeah.
context: I've made up my mind.\You've accepted your fate?\Yeah.\We'll follow you in a bit. You are not alone.\If something happens, we'll rescue you right away.\Yeah...\So are you Furuki?\Yeah. response:	Get in.
context: You've accepted your fate?\Yeah.\We'll follow you in a bit. You are not alone.\If something happens, we'll rescue you right away.\Yeah...\So are you Furuki?\Yeah.\Get in. response:	Ishihara Mountain Industry
context: Yeah.\We'll follow you in a bit. You are not alone.\If something happens, we'll rescue you right away.\Yeah...\So are you Furuki?\Yeah.\Get in.\Ishihara Mountain Industry response:	I brought him here!
context: We'll follow you in a bit. You are not alone.\If something happens, we'll rescue you right away.\Yeah...\So are you Furuki?\Yeah.\Get in.\Ishihara Mountain Industry\I brought him here! response:	People in the field of vision...
context: If something happens, we'll rescue you right away.\Yeah...\So are you Furuki?\Yeah.\Get in.\Ishihara Mountain Industry\I brought him here!\People in the field of vision... response:	Just these two.
context: Yeah...\So are you Furuki?\Yeah.\Get in.\Ishihara Mountain Industry\I brought him here!\People in the field of vision...\Just these two. response:	But they're adults... and not ability wielders.
context: So are you Furuki?\Yeah.\Get in.\Ishihara Mountain Industry\I brought him here!\People in the field of vision...\Just these two.\But they're adults... and not ability wielders. response:	Then, as promised, I will release your family to you.
context: Yeah.\Get in.\Ishihara Mountain Industry\I brought him here!\People in the field of vision...\Just these two.\But they're adults... and not ability wielders.\Then, as promised, I will release your family to you. response:	Hey, take this.
context: Get in.\Ishihara Mountain Industry\I brought him here!\People in the field of vision...\Just these two.\But they're adults... and not ability wielders.\Then, as promised, I will release your family to you.\Hey, take this. response:	That's the key to the condo. The location is written on the tag.
context: Ishihara Mountain Industry\I brought him here!\People in the field of vision...\Just these two.\But they're adults... and not ability wielders.\Then, as promised, I will release your family to you.\Hey, take this.\That's the key to the condo. The location is written on the tag. response:	I'm sorry... this was the only thing I could do...
context: I brought him here!\People in the field of vision...\Just these two.\But they're adults... and not ability wielders.\Then, as promised, I will release your family to you.\Hey, take this.\That's the key to the condo. The location is written on the tag.\I'm sorry... this was the only thing I could do... response:	Let's do this...
context: People in the field of vision...\Just these two.\But they're adults... and not ability wielders.\Then, as promised, I will release your family to you.\Hey, take this.\That's the key to the condo. The location is written on the tag.\I'm sorry... this was the only thing I could do...\Let's do this... response:	They're not armed..?
context: Just these two.\But they're adults... and not ability wielders.\Then, as promised, I will release your family to you.\Hey, take this.\That's the key to the condo. The location is written on the tag.\I'm sorry... this was the only thing I could do...\Let's do this...\They're not armed..? response:	Are you satisfied now?
context: But they're adults... and not ability wielders.\Then, as promised, I will release your family to you.\Hey, take this.\That's the key to the condo. The location is written on the tag.\I'm sorry... this was the only thing I could do...\Let's do this...\They're not armed..?\Are you satisfied now? response:	Where's Tomori?
context: Then, as promised, I will release your family to you.\Hey, take this.\That's the key to the condo. The location is written on the tag.\I'm sorry... this was the only thing I could do...\Let's do this...\They're not armed..?\Are you satisfied now?\Where's Tomori? response:	Right below us... both of them are in the basement.
context: Hey, take this.\That's the key to the condo. The location is written on the tag.\I'm sorry... this was the only thing I could do...\Let's do this...\They're not armed..?\Are you satisfied now?\Where's Tomori?\Right below us... both of them are in the basement. response:	Release both of them right away!
context: That's the key to the condo. The location is written on the tag.\I'm sorry... this was the only thing I could do...\Let's do this...\They're not armed..?\Are you satisfied now?\Where's Tomori?\Right below us... both of them are in the basement.\Release both of them right away! response:	Not good... I must time-leap...
