context: Principal's Office response:	Teaching Staff Building
context: subete kanau\iroirona mono ga\atashi wo oikondeku\ikiru nokori jikan wo\yume no zahyou wo kurue\zenbu daiji na mono na no ni\iza kokora de chotto\amai mono tabete yukou response:	sou iu shikou teishi
context: iroirona mono ga\atashi wo oikondeku\ikiru nokori jikan wo\yume no zahyou wo kurue\zenbu daiji na mono na no ni\iza kokora de chotto\amai mono tabete yukou\sou iu shikou teishi response:	katari to muimi datta
context: atashi wo oikondeku\ikiru nokori jikan wo\yume no zahyou wo kurue\zenbu daiji na mono na no ni\iza kokora de chotto\amai mono tabete yukou\sou iu shikou teishi\katari to muimi datta response:	aruitekita michi furikaeru
context: ikiru nokori jikan wo\yume no zahyou wo kurue\zenbu daiji na mono na no ni\iza kokora de chotto\amai mono tabete yukou\sou iu shikou teishi\katari to muimi datta\aruitekita michi furikaeru response:	SS
context: yume no zahyou wo kurue\zenbu daiji na mono na no ni\iza kokora de chotto\amai mono tabete yukou\sou iu shikou teishi\katari to muimi datta\aruitekita michi furikaeru\SS response:	OO
context: zenbu daiji na mono na no ni\iza kokora de chotto\amai mono tabete yukou\sou iu shikou teishi\katari to muimi datta\aruitekita michi furikaeru\SS\OO response:	</lyrics>
context: iza kokora de chotto\amai mono tabete yukou\sou iu shikou teishi\katari to muimi datta\aruitekita michi furikaeru\SS\OO\</lyrics> response:	What the hell is going on?
context: amai mono tabete yukou\sou iu shikou teishi\katari to muimi datta\aruitekita michi furikaeru\SS\OO\</lyrics>\What the hell is going on? response:	What are you doing?
context: sou iu shikou teishi\katari to muimi datta\aruitekita michi furikaeru\SS\OO\</lyrics>\What the hell is going on?\What are you doing? response:	Go back to your dorms!
context: katari to muimi datta\aruitekita michi furikaeru\SS\OO\</lyrics>\What the hell is going on?\What are you doing?\Go back to your dorms! response:	No way! We have to watch this!
context: aruitekita michi furikaeru\SS\OO\</lyrics>\What the hell is going on?\What are you doing?\Go back to your dorms!\No way! We have to watch this! response:	That's right! Why don't you just go away!
context: SS\OO\</lyrics>\What the hell is going on?\What are you doing?\Go back to your dorms!\No way! We have to watch this!\That's right! Why don't you just go away! response:	Yeah!
context: OO\</lyrics>\What the hell is going on?\What are you doing?\Go back to your dorms!\No way! We have to watch this!\That's right! Why don't you just go away!\Yeah! response:	She's here!
context: </lyrics>\What the hell is going on?\What are you doing?\Go back to your dorms!\No way! We have to watch this!\That's right! Why don't you just go away!\Yeah!\She's here! response:	Give me more energy, everyone!
context: What the hell is going on?\What are you doing?\Go back to your dorms!\No way! We have to watch this!\That's right! Why don't you just go away!\Yeah!\She's here!\Give me more energy, everyone! response:	No, no one can do that for us...
context: What are you doing?\Go back to your dorms!\No way! We have to watch this!\That's right! Why don't you just go away!\Yeah!\She's here!\Give me more energy, everyone!\No, no one can do that for us... response:	We'll do it with our own strength!
context: Go back to your dorms!\No way! We have to watch this!\That's right! Why don't you just go away!\Yeah!\She's here!\Give me more energy, everyone!\No, no one can do that for us...\We'll do it with our own strength! response:	Angel has appeared.
context: No way! We have to watch this!\That's right! Why don't you just go away!\Yeah!\She's here!\Give me more energy, everyone!\No, no one can do that for us...\We'll do it with our own strength!\Angel has appeared. response:	Understood.
context: That's right! Why don't you just go away!\Yeah!\She's here!\Give me more energy, everyone!\No, no one can do that for us...\We'll do it with our own strength!\Angel has appeared.\Understood. response:	Takeyama - kun.
context: Yeah!\She's here!\Give me more energy, everyone!\No, no one can do that for us...\We'll do it with our own strength!\Angel has appeared.\Understood.\Takeyama - kun. response:	I'm currently running a high speed password - cracking program.
context: She's here!\Give me more energy, everyone!\No, no one can do that for us...\We'll do it with our own strength!\Angel has appeared.\Understood.\Takeyama - kun.\I'm currently running a high speed password - cracking program. response:	It will be done soon.
context: Give me more energy, everyone!\No, no one can do that for us...\We'll do it with our own strength!\Angel has appeared.\Understood.\Takeyama - kun.\I'm currently running a high speed password - cracking program.\It will be done soon. response:	Also, please call me Christ.
context: No, no one can do that for us...\We'll do it with our own strength!\Angel has appeared.\Understood.\Takeyama - kun.\I'm currently running a high speed password - cracking program.\It will be done soon.\Also, please call me Christ. response:	We're in.
context: We'll do it with our own strength!\Angel has appeared.\Understood.\Takeyama - kun.\I'm currently running a high speed password - cracking program.\It will be done soon.\Also, please call me Christ.\We're in. response:	Good job, Takeyama - kun!
context: Angel has appeared.\Understood.\Takeyama - kun.\I'm currently running a high speed password - cracking program.\It will be done soon.\Also, please call me Christ.\We're in.\Good job, Takeyama - kun! response:	Copy all the data!
context: Understood.\Takeyama - kun.\I'm currently running a high speed password - cracking program.\It will be done soon.\Also, please call me Christ.\We're in.\Good job, Takeyama - kun!\Copy all the data! response:	That would take too much time.
context: Takeyama - kun.\I'm currently running a high speed password - cracking program.\It will be done soon.\Also, please call me Christ.\We're in.\Good job, Takeyama - kun!\Copy all the data!\That would take too much time. response:	An hour, at least.
context: I'm currently running a high speed password - cracking program.\It will be done soon.\Also, please call me Christ.\We're in.\Good job, Takeyama - kun!\Copy all the data!\That would take too much time.\An hour, at least. response:	And please, call me Chri
context: It will be done soon.\Also, please call me Christ.\We're in.\Good job, Takeyama - kun!\Copy all the data!\That would take too much time.\An hour, at least.\And please, call me Chri response:	Why don't we just take the whole hard disk?
context: Also, please call me Christ.\We're in.\Good job, Takeyama - kun!\Copy all the data!\That would take too much time.\An hour, at least.\And please, call me Chri\Why don't we just take the whole hard disk? response:	She'll notice that!
context: We're in.\Good job, Takeyama - kun!\Copy all the data!\That would take too much time.\An hour, at least.\And please, call me Chri\Why don't we just take the whole hard disk?\She'll notice that! response:	So what do we do?
context: Good job, Takeyama - kun!\Copy all the data!\That would take too much time.\An hour, at least.\And please, call me Chri\Why don't we just take the whole hard disk?\She'll notice that!\So what do we do? response:	Just show us any suspicious data, Takeyama - kun!
context: Copy all the data!\That would take too much time.\An hour, at least.\And please, call me Chri\Why don't we just take the whole hard disk?\She'll notice that!\So what do we do?\Just show us any suspicious data, Takeyama - kun! response:	It's Christ!
context: That would take too much time.\An hour, at least.\And please, call me Chri\Why don't we just take the whole hard disk?\She'll notice that!\So what do we do?\Just show us any suspicious data, Takeyama - kun!\It's Christ! response:	A list of students?
context: An hour, at least.\And please, call me Chri\Why don't we just take the whole hard disk?\She'll notice that!\So what do we do?\Just show us any suspicious data, Takeyama - kun!\It's Christ!\A list of students? response:	NPCs...
context: And please, call me Chri\Why don't we just take the whole hard disk?\She'll notice that!\So what do we do?\Just show us any suspicious data, Takeyama - kun!\It's Christ!\A list of students?\NPCs... response:	No, we're included too.
context: Why don't we just take the whole hard disk?\She'll notice that!\So what do we do?\Just show us any suspicious data, Takeyama - kun!\It's Christ!\A list of students?\NPCs...\No, we're included too. response:	It's just a name register!
context: She'll notice that!\So what do we do?\Just show us any suspicious data, Takeyama - kun!\It's Christ!\A list of students?\NPCs...\No, we're included too.\It's just a name register! response:	There's not going to be anything suspicious there!
context: So what do we do?\Just show us any suspicious data, Takeyama - kun!\It's Christ!\A list of students?\NPCs...\No, we're included too.\It's just a name register!\There's not going to be anything suspicious there! response:	This really is just trespassing!
context: Just show us any suspicious data, Takeyama - kun!\It's Christ!\A list of students?\NPCs...\No, we're included too.\It's just a name register!\There's not going to be anything suspicious there!\This really is just trespassing! response:	Shut up!
context: It's Christ!\A list of students?\NPCs...\No, we're included too.\It's just a name register!\There's not going to be anything suspicious there!\This really is just trespassing!\Shut up! response:	The diversionary squad has been suppressed.
context: A list of students?\NPCs...\No, we're included too.\It's just a name register!\There's not going to be anything suspicious there!\This really is just trespassing!\Shut up!\The diversionary squad has been suppressed. response:	Angel is returning.
context: NPCs...\No, we're included too.\It's just a name register!\There's not going to be anything suspicious there!\This really is just trespassing!\Shut up!\The diversionary squad has been suppressed.\Angel is returning. response:	We're out of time...
context: No, we're included too.\It's just a name register!\There's not going to be anything suspicious there!\This really is just trespassing!\Shut up!\The diversionary squad has been suppressed.\Angel is returning.\We're out of time... response:	We didn't manage to get anything this time either...
context: It's just a name register!\There's not going to be anything suspicious there!\This really is just trespassing!\Shut up!\The diversionary squad has been suppressed.\Angel is returning.\We're out of time...\We didn't manage to get anything this time either... response:	We're retreating.
context: There's not going to be anything suspicious there!\This really is just trespassing!\Shut up!\The diversionary squad has been suppressed.\Angel is returning.\We're out of time...\We didn't manage to get anything this time either...\We're retreating. response:	Dammit, stop screwing with us!
context: This really is just trespassing!\Shut up!\The diversionary squad has been suppressed.\Angel is returning.\We're out of time...\We didn't manage to get anything this time either...\We're retreating.\Dammit, stop screwing with us! response:	Stop it!
context: Shut up!\The diversionary squad has been suppressed.\Angel is returning.\We're out of time...\We didn't manage to get anything this time either...\We're retreating.\Dammit, stop screwing with us!\Stop it! response:	This is for us!
context: The diversionary squad has been suppressed.\Angel is returning.\We're out of time...\We didn't manage to get anything this time either...\We're retreating.\Dammit, stop screwing with us!\Stop it!\This is for us! response:	Let them go!
context: Angel is returning.\We're out of time...\We didn't manage to get anything this time either...\We're retreating.\Dammit, stop screwing with us!\Stop it!\This is for us!\Let them go! response:	Their music supports us!
context: We're out of time...\We didn't manage to get anything this time either...\We're retreating.\Dammit, stop screwing with us!\Stop it!\This is for us!\Let them go!\Their music supports us! response:	Please!
context: We didn't manage to get anything this time either...\We're retreating.\Dammit, stop screwing with us!\Stop it!\This is for us!\Let them go!\Their music supports us!\Please! response:	We were just being lenient till now.
context: We're retreating.\Dammit, stop screwing with us!\Stop it!\This is for us!\Let them go!\Their music supports us!\Please!\We were just being lenient till now. response:	Don't get cocky!
context: Dammit, stop screwing with us!\Stop it!\This is for us!\Let them go!\Their music supports us!\Please!\We were just being lenient till now.\Don't get cocky! response:	We're confiscating all these instruments.
context: Stop it!\This is for us!\Let them go!\Their music supports us!\Please!\We were just being lenient till now.\Don't get cocky!\We're confiscating all these instruments. response:	It's not the cultural festival or anything.
context: This is for us!\Let them go!\Their music supports us!\Please!\We were just being lenient till now.\Don't get cocky!\We're confiscating all these instruments.\It's not the cultural festival or anything. response:	We won't let you get away with this again.
context: Let them go!\Their music supports us!\Please!\We were just being lenient till now.\Don't get cocky!\We're confiscating all these instruments.\It's not the cultural festival or anything.\We won't let you get away with this again. response:	I can throw this away, right?
context: Their music supports us!\Please!\We were just being lenient till now.\Don't get cocky!\We're confiscating all these instruments.\It's not the cultural festival or anything.\We won't let you get away with this again.\I can throw this away, right? response:	Don't touch that...
context: Please!\We were just being lenient till now.\Don't get cocky!\We're confiscating all these instruments.\It's not the cultural festival or anything.\We won't let you get away with this again.\I can throw this away, right?\Don't touch that... response:	Don't...
context: We were just being lenient till now.\Don't get cocky!\We're confiscating all these instruments.\It's not the cultural festival or anything.\We won't let you get away with this again.\I can throw this away, right?\Don't touch that...\Don't... response:	Don't touch that!!
context: Don't get cocky!\We're confiscating all these instruments.\It's not the cultural festival or anything.\We won't let you get away with this again.\I can throw this away, right?\Don't touch that...\Don't...\Don't touch that!! response:	Stop that!
context: We're confiscating all these instruments.\It's not the cultural festival or anything.\We won't let you get away with this again.\I can throw this away, right?\Don't touch that...\Don't...\Don't touch that!!\Stop that! response:	Stop!
context: It's not the cultural festival or anything.\We won't let you get away with this again.\I can throw this away, right?\Don't touch that...\Don't...\Don't touch that!!\Stop that!\Stop! response:	Hand it over.
context: We won't let you get away with this again.\I can throw this away, right?\Don't touch that...\Don't...\Don't touch that!!\Stop that!\Stop!\Hand it over. response:	<lyrics>
context: I can throw this away, right?\Don't touch that...\Don't...\Don't touch that!!\Stop that!\Stop!\Hand it over.\<lyrics> response:	joushiki butteru yatsuga waratteru
context: Don't touch that...\Don't...\Don't touch that!!\Stop that!\Stop!\Hand it over.\<lyrics>\joushiki butteru yatsuga waratteru response:	tsugi wa donna uso wo tsuku
context: Don't...\Don't touch that!!\Stop that!\Stop!\Hand it over.\<lyrics>\joushiki butteru yatsuga waratteru\tsugi wa donna uso wo tsuku response:	sorede erareta mono
context: Don't touch that!!\Stop that!\Stop!\Hand it over.\<lyrics>\joushiki butteru yatsuga waratteru\tsugi wa donna uso wo tsuku\sorede erareta mono response:	daijini kazatteokeru no?
context: Stop that!\Stop!\Hand it over.\<lyrics>\joushiki butteru yatsuga waratteru\tsugi wa donna uso wo tsuku\sorede erareta mono\daijini kazatteokeru no? response:	hito wa sore demo susumanakya naranai
context: Stop!\Hand it over.\<lyrics>\joushiki butteru yatsuga waratteru\tsugi wa donna uso wo tsuku\sorede erareta mono\daijini kazatteokeru no?\hito wa sore demo susumanakya naranai response:	sonna no wo utau yo
context: Hand it over.\<lyrics>\joushiki butteru yatsuga waratteru\tsugi wa donna uso wo tsuku\sorede erareta mono\daijini kazatteokeru no?\hito wa sore demo susumanakya naranai\sonna no wo utau yo response:	naiteru kimi koso
context: <lyrics>\joushiki butteru yatsuga waratteru\tsugi wa donna uso wo tsuku\sorede erareta mono\daijini kazatteokeru no?\hito wa sore demo susumanakya naranai\sonna no wo utau yo\naiteru kimi koso response:	kodokuna kimi koso
context: joushiki butteru yatsuga waratteru\tsugi wa donna uso wo tsuku\sorede erareta mono\daijini kazatteokeru no?\hito wa sore demo susumanakya naranai\sonna no wo utau yo\naiteru kimi koso\kodokuna kimi koso response:	tadashii yo
context: tsugi wa donna uso wo tsuku\sorede erareta mono\daijini kazatteokeru no?\hito wa sore demo susumanakya naranai\sonna no wo utau yo\naiteru kimi koso\kodokuna kimi koso\tadashii yo response:	ningen rashii yo
context: sorede erareta mono\daijini kazatteokeru no?\hito wa sore demo susumanakya naranai\sonna no wo utau yo\naiteru kimi koso\kodokuna kimi koso\tadashii yo\ningen rashii yo response:	otoshita namida ga
context: daijini kazatteokeru no?\hito wa sore demo susumanakya naranai\sonna no wo utau yo\naiteru kimi koso\kodokuna kimi koso\tadashii yo\ningen rashii yo\otoshita namida ga response:	kouin wo
context: hito wa sore demo susumanakya naranai\sonna no wo utau yo\naiteru kimi koso\kodokuna kimi koso\tadashii yo\ningen rashii yo\otoshita namida ga\kouin wo response:	konna ni mo utsukushii
context: sonna no wo utau yo\naiteru kimi koso\kodokuna kimi koso\tadashii yo\ningen rashii yo\otoshita namida ga\kouin wo\konna ni mo utsukushii response:	uso ja nai
context: naiteru kimi koso\kodokuna kimi koso\tadashii yo\ningen rashii yo\otoshita namida ga\kouin wo\konna ni mo utsukushii\uso ja nai response:	hontou no bokura wo
context: kodokuna kimi koso\tadashii yo\ningen rashii yo\otoshita namida ga\kouin wo\konna ni mo utsukushii\uso ja nai\hontou no bokura wo response:	arigatou
context: tadashii yo\ningen rashii yo\otoshita namida ga\kouin wo\konna ni mo utsukushii\uso ja nai\hontou no bokura wo\arigatou response:	The ones who ignore common sense laugh
context: ningen rashii yo\otoshita namida ga\kouin wo\konna ni mo utsukushii\uso ja nai\hontou no bokura wo\arigatou\The ones who ignore common sense laugh response:	What will they lie about next?
context: otoshita namida ga\kouin wo\konna ni mo utsukushii\uso ja nai\hontou no bokura wo\arigatou\The ones who ignore common sense laugh\What will they lie about next? response:	What will be gained
context: kouin wo\konna ni mo utsukushii\uso ja nai\hontou no bokura wo\arigatou\The ones who ignore common sense laugh\What will they lie about next?\What will be gained response:	Can we hang it proud?
context: konna ni mo utsukushii\uso ja nai\hontou no bokura wo\arigatou\The ones who ignore common sense laugh\What will they lie about next?\What will be gained\Can we hang it proud? response:	Man must go on regardless
context: uso ja nai\hontou no bokura wo\arigatou\The ones who ignore common sense laugh\What will they lie about next?\What will be gained\Can we hang it proud?\Man must go on regardless response:	That is my song
context: hontou no bokura wo\arigatou\The ones who ignore common sense laugh\What will they lie about next?\What will be gained\Can we hang it proud?\Man must go on regardless\That is my song response:	It's because you're crying
context: arigatou\The ones who ignore common sense laugh\What will they lie about next?\What will be gained\Can we hang it proud?\Man must go on regardless\That is my song\It's because you're crying response:	It's because you're lonely
context: The ones who ignore common sense laugh\What will they lie about next?\What will be gained\Can we hang it proud?\Man must go on regardless\That is my song\It's because you're crying\It's because you're lonely response:	You're right
context: What will they lie about next?\What will be gained\Can we hang it proud?\Man must go on regardless\That is my song\It's because you're crying\It's because you're lonely\You're right response:	That's being human
context: What will be gained\Can we hang it proud?\Man must go on regardless\That is my song\It's because you're crying\It's because you're lonely\You're right\That's being human response:	Those tears I cried
context: Can we hang it proud?\Man must go on regardless\That is my song\It's because you're crying\It's because you're lonely\You're right\That's being human\Those tears I cried response:	In time...
context: Man must go on regardless\That is my song\It's because you're crying\It's because you're lonely\You're right\That's being human\Those tears I cried\In time... response:	It's so beautiful
context: That is my song\It's because you're crying\It's because you're lonely\You're right\That's being human\Those tears I cried\In time...\It's so beautiful response:	It's not a lie
context: It's because you're crying\It's because you're lonely\You're right\That's being human\Those tears I cried\In time...\It's so beautiful\It's not a lie response:	For the real us
context: It's because you're lonely\You're right\That's being human\Those tears I cried\In time...\It's so beautiful\It's not a lie\For the real us response:	Thank you
context: You're right\That's being human\Those tears I cried\In time...\It's so beautiful\It's not a lie\For the real us\Thank you response:	SO
context: That's being human\Those tears I cried\In time...\It's so beautiful\It's not a lie\For the real us\Thank you\SO response:	HO
context: Those tears I cried\In time...\It's so beautiful\It's not a lie\For the real us\Thank you\SO\HO response:	OS
context: In time...\It's so beautiful\It's not a lie\For the real us\Thank you\SO\HO\OS response:	</lyrics>
context: It's so beautiful\It's not a lie\For the real us\Thank you\SO\HO\OS\</lyrics> response:	The new song...
context: It's not a lie\For the real us\Thank you\SO\HO\OS\</lyrics>\The new song... response:	Takeyama - kun!
context: For the real us\Thank you\SO\HO\OS\</lyrics>\The new song...\Takeyama - kun! response:	Got it. And call me Christ!
context: Thank you\SO\HO\OS\</lyrics>\The new song...\Takeyama - kun!\Got it. And call me Christ! response:	This is my life...
context: SO\HO\OS\</lyrics>\The new song...\Takeyama - kun!\Got it. And call me Christ!\This is my life... response:	To go on singing like this...
context: HO\OS\</lyrics>\The new song...\Takeyama - kun!\Got it. And call me Christ!\This is my life...\To go on singing like this... response:	This is why I was born.
context: OS\</lyrics>\The new song...\Takeyama - kun!\Got it. And call me Christ!\This is my life...\To go on singing like this...\This is why I was born. response:	Just as I was saved...
context: </lyrics>\The new song...\Takeyama - kun!\Got it. And call me Christ!\This is my life...\To go on singing like this...\This is why I was born.\Just as I was saved... response:	I'll save someone else like this.
context: The new song...\Takeyama - kun!\Got it. And call me Christ!\This is my life...\To go on singing like this...\This is why I was born.\Just as I was saved...\I'll save someone else like this. response:	Finally...
context: Takeyama - kun!\Got it. And call me Christ!\This is my life...\To go on singing like this...\This is why I was born.\Just as I was saved...\I'll save someone else like this.\Finally... response:	I finally found it.
context: Got it. And call me Christ!\This is my life...\To go on singing like this...\This is why I was born.\Just as I was saved...\I'll save someone else like this.\Finally...\I finally found it. response:	Iwasawa...
context: This is my life...\To go on singing like this...\This is why I was born.\Just as I was saved...\I'll save someone else like this.\Finally...\I finally found it.\Iwasawa... response:	Can you summarize what we learned, Yurippe?
context: To go on singing like this...\This is why I was born.\Just as I was saved...\I'll save someone else like this.\Finally...\I finally found it.\Iwasawa...\Can you summarize what we learned, Yurippe? response:	Angel is developing her own powers herself.
context: This is why I was born.\Just as I was saved...\I'll save someone else like this.\Finally...\I finally found it.\Iwasawa...\Can you summarize what we learned, Yurippe?\Angel is developing her own powers herself. response:	And strangely enough, it looks like she's doing it the same way we make weapons.
context: Just as I was saved...\I'll save someone else like this.\Finally...\I finally found it.\Iwasawa...\Can you summarize what we learned, Yurippe?\Angel is developing her own powers herself.\And strangely enough, it looks like she's doing it the same way we make weapons. response:	What does that mean?
context: I'll save someone else like this.\Finally...\I finally found it.\Iwasawa...\Can you summarize what we learned, Yurippe?\Angel is developing her own powers herself.\And strangely enough, it looks like she's doing it the same way we make weapons.\What does that mean? response:	I'm not certain yet,
context: Finally...\I finally found it.\Iwasawa...\Can you summarize what we learned, Yurippe?\Angel is developing her own powers herself.\And strangely enough, it looks like she's doing it the same way we make weapons.\What does that mean?\I'm not certain yet, response:	so I won't say anything now.
context: I finally found it.\Iwasawa...\Can you summarize what we learned, Yurippe?\Angel is developing her own powers herself.\And strangely enough, it looks like she's doing it the same way we make weapons.\What does that mean?\I'm not certain yet,\so I won't say anything now. response:	Come on, don't be so secretive, Yurippe.
context: Iwasawa...\Can you summarize what we learned, Yurippe?\Angel is developing her own powers herself.\And strangely enough, it looks like she's doing it the same way we make weapons.\What does that mean?\I'm not certain yet,\so I won't say anything now.\Come on, don't be so secretive, Yurippe. response:	The fact that she needs to use the same methods as us...
context: Can you summarize what we learned, Yurippe?\Angel is developing her own powers herself.\And strangely enough, it looks like she's doing it the same way we make weapons.\What does that mean?\I'm not certain yet,\so I won't say anything now.\Come on, don't be so secretive, Yurippe.\The fact that she needs to use the same methods as us... response:	The only conclusion we can draw from that is...
context: Angel is developing her own powers herself.\And strangely enough, it looks like she's doing it the same way we make weapons.\What does that mean?\I'm not certain yet,\so I won't say anything now.\Come on, don't be so secretive, Yurippe.\The fact that she needs to use the same methods as us...\The only conclusion we can draw from that is... response:	the worst case scenario.
context: And strangely enough, it looks like she's doing it the same way we make weapons.\What does that mean?\I'm not certain yet,\so I won't say anything now.\Come on, don't be so secretive, Yurippe.\The fact that she needs to use the same methods as us...\The only conclusion we can draw from that is...\the worst case scenario. response:	There are no gods anywhere.
context: What does that mean?\I'm not certain yet,\so I won't say anything now.\Come on, don't be so secretive, Yurippe.\The fact that she needs to use the same methods as us...\The only conclusion we can draw from that is...\the worst case scenario.\There are no gods anywhere. response:	Why doesn't Angel get her powers from God?
context: I'm not certain yet,\so I won't say anything now.\Come on, don't be so secretive, Yurippe.\The fact that she needs to use the same methods as us...\The only conclusion we can draw from that is...\the worst case scenario.\There are no gods anywhere.\Why doesn't Angel get her powers from God? response:	Why does she have to develop them herself?
context: so I won't say anything now.\Come on, don't be so secretive, Yurippe.\The fact that she needs to use the same methods as us...\The only conclusion we can draw from that is...\the worst case scenario.\There are no gods anywhere.\Why doesn't Angel get her powers from God?\Why does she have to develop them herself? response:	I'll bring up the next issue then.
context: Come on, don't be so secretive, Yurippe.\The fact that she needs to use the same methods as us...\The only conclusion we can draw from that is...\the worst case scenario.\There are no gods anywhere.\Why doesn't Angel get her powers from God?\Why does she have to develop them herself?\I'll bring up the next issue then. response:	Where did Iwasawa - san disappear to?
context: The fact that she needs to use the same methods as us...\The only conclusion we can draw from that is...\the worst case scenario.\There are no gods anywhere.\Why doesn't Angel get her powers from God?\Why does she have to develop them herself?\I'll bring up the next issue then.\Where did Iwasawa - san disappear to? response:	Didn't Angel erase her?
context: The only conclusion we can draw from that is...\the worst case scenario.\There are no gods anywhere.\Why doesn't Angel get her powers from God?\Why does she have to develop them herself?\I'll bring up the next issue then.\Where did Iwasawa - san disappear to?\Didn't Angel erase her? response:	But it was in the middle of a concert!
context: the worst case scenario.\There are no gods anywhere.\Why doesn't Angel get her powers from God?\Why does she have to develop them herself?\I'll bring up the next issue then.\Where did Iwasawa - san disappear to?\Didn't Angel erase her?\But it was in the middle of a concert! response:	What are you saying happened, then?
context: There are no gods anywhere.\Why doesn't Angel get her powers from God?\Why does she have to develop them herself?\I'll bring up the next issue then.\Where did Iwasawa - san disappear to?\Didn't Angel erase her?\But it was in the middle of a concert!\What are you saying happened, then? response:	Who could have done that to Iwasawa-san...
context: Why doesn't Angel get her powers from God?\Why does she have to develop them herself?\I'll bring up the next issue then.\Where did Iwasawa - san disappear to?\Didn't Angel erase her?\But it was in the middle of a concert!\What are you saying happened, then?\Who could have done that to Iwasawa-san... response:	No one.
context: Why does she have to develop them herself?\I'll bring up the next issue then.\Where did Iwasawa - san disappear to?\Didn't Angel erase her?\But it was in the middle of a concert!\What are you saying happened, then?\Who could have done that to Iwasawa-san...\No one. response:	She accepted it herself.
context: I'll bring up the next issue then.\Where did Iwasawa - san disappear to?\Didn't Angel erase her?\But it was in the middle of a concert!\What are you saying happened, then?\Who could have done that to Iwasawa-san...\No one.\She accepted it herself. response:	That's all there is to it.
context: Where did Iwasawa - san disappear to?\Didn't Angel erase her?\But it was in the middle of a concert!\What are you saying happened, then?\Who could have done that to Iwasawa-san...\No one.\She accepted it herself.\That's all there is to it. response:	To disappear, you have to obey what Angel says and lead a normal student life.
context: Didn't Angel erase her?\But it was in the middle of a concert!\What are you saying happened, then?\Who could have done that to Iwasawa-san...\No one.\She accepted it herself.\That's all there is to it.\To disappear, you have to obey what Angel says and lead a normal student life. response:	But that isn't the only way.
context: But it was in the middle of a concert!\What are you saying happened, then?\Who could have done that to Iwasawa-san...\No one.\She accepted it herself.\That's all there is to it.\To disappear, you have to obey what Angel says and lead a normal student life.\But that isn't the only way. response:	< preview >
context: What are you saying happened, then?\Who could have done that to Iwasawa-san...\No one.\She accepted it herself.\That's all there is to it.\To disappear, you have to obey what Angel says and lead a normal student life.\But that isn't the only way.\< preview > response:	Play ball!
context: Who could have done that to Iwasawa-san...\No one.\She accepted it herself.\That's all there is to it.\To disappear, you have to obey what Angel says and lead a normal student life.\But that isn't the only way.\< preview >\Play ball! response:	I'll be useful!
context: No one.\She accepted it herself.\That's all there is to it.\To disappear, you have to obey what Angel says and lead a normal student life.\But that isn't the only way.\< preview >\Play ball!\I'll be useful! response:	It's baseball.
context: She accepted it herself.\That's all there is to it.\To disappear, you have to obey what Angel says and lead a normal student life.\But that isn't the only way.\< preview >\Play ball!\I'll be useful!\It's baseball. response:	Don't stop the dancing!
context: That's all there is to it.\To disappear, you have to obey what Angel says and lead a normal student life.\But that isn't the only way.\< preview >\Play ball!\I'll be useful!\It's baseball.\Don't stop the dancing! response:	It's a challenge, kid.
context: To disappear, you have to obey what Angel says and lead a normal student life.\But that isn't the only way.\< preview >\Play ball!\I'll be useful!\It's baseball.\Don't stop the dancing!\It's a challenge, kid. response:	This is Iwasawa's replacement?
context: But that isn't the only way.\< preview >\Play ball!\I'll be useful!\It's baseball.\Don't stop the dancing!\It's a challenge, kid.\This is Iwasawa's replacement? response:	I don't know what the hell I did before I died!
context: < preview >\Play ball!\I'll be useful!\It's baseball.\Don't stop the dancing!\It's a challenge, kid.\This is Iwasawa's replacement?\I don't know what the hell I did before I died! response:	Let's make the best team ever!
context: Play ball!\I'll be useful!\It's baseball.\Don't stop the dancing!\It's a challenge, kid.\This is Iwasawa's replacement?\I don't know what the hell I did before I died!\Let's make the best team ever! response:	Yui, nyan <3
context: I'll be useful!\It's baseball.\Don't stop the dancing!\It's a challenge, kid.\This is Iwasawa's replacement?\I don't know what the hell I did before I died!\Let's make the best team ever!\Yui, nyan <3 response:	Just who are we fighting?
context: It's baseball.\Don't stop the dancing!\It's a challenge, kid.\This is Iwasawa's replacement?\I don't know what the hell I did before I died!\Let's make the best team ever!\Yui, nyan <3\Just who are we fighting? response:	You're fired.
context: Don't stop the dancing!\It's a challenge, kid.\This is Iwasawa's replacement?\I don't know what the hell I did before I died!\Let's make the best team ever!\Yui, nyan <3\Just who are we fighting?\You're fired. response:	It's a punishment game more terrifying than death.
context: It's a challenge, kid.\This is Iwasawa's replacement?\I don't know what the hell I did before I died!\Let's make the best team ever!\Yui, nyan <3\Just who are we fighting?\You're fired.\It's a punishment game more terrifying than death. response:	Your team is not registered.
context: This is Iwasawa's replacement?\I don't know what the hell I did before I died!\Let's make the best team ever!\Yui, nyan <3\Just who are we fighting?\You're fired.\It's a punishment game more terrifying than death.\Your team is not registered. response:	That might feel better than anything yet...
context: I don't know what the hell I did before I died!\Let's make the best team ever!\Yui, nyan <3\Just who are we fighting?\You're fired.\It's a punishment game more terrifying than death.\Your team is not registered.\That might feel better than anything yet... response:	Mazui presents
context: Let's make the best team ever!\Yui, nyan <3\Just who are we fighting?\You're fired.\It's a punishment game more terrifying than death.\Your team is not registered.\That might feel better than anything yet...\Mazui presents response:	mezamete wa kurikaesu nemuri asa wa
