context: Speak in a Confrontational Manner response:	What's this? Some kind of joke?
context: I'm a delinquent, and delinquents have no favorite...\He likes the athletic festival, the culture festival,\and the school marathon.\And he likes field trips.\Well, if I'm forced to participate, I guess I will!\That is absolutely correct!\And the next question is to Watanuki!\Where would Karuta like to go for a date? response:	A d-date?
context: He likes the athletic festival, the culture festival,\and the school marathon.\And he likes field trips.\Well, if I'm forced to participate, I guess I will!\That is absolutely correct!\And the next question is to Watanuki!\Where would Karuta like to go for a date?\A d-date? response:	Karuta!
context: and the school marathon.\And he likes field trips.\Well, if I'm forced to participate, I guess I will!\That is absolutely correct!\And the next question is to Watanuki!\Where would Karuta like to go for a date?\A d-date?\Karuta! response:	I guess I could take you out to eat something good...
context: And he likes field trips.\Well, if I'm forced to participate, I guess I will!\That is absolutely correct!\And the next question is to Watanuki!\Where would Karuta like to go for a date?\A d-date?\Karuta!\I guess I could take you out to eat something good... response:	Okay.
context: Well, if I'm forced to participate, I guess I will!\That is absolutely correct!\And the next question is to Watanuki!\Where would Karuta like to go for a date?\A d-date?\Karuta!\I guess I could take you out to eat something good...\Okay. response:	They're in their own world!
context: That is absolutely correct!\And the next question is to Watanuki!\Where would Karuta like to go for a date?\A d-date?\Karuta!\I guess I could take you out to eat something good...\Okay.\They're in their own world! response:	Then, the next question goes over here!
context: And the next question is to Watanuki!\Where would Karuta like to go for a date?\A d-date?\Karuta!\I guess I could take you out to eat something good...\Okay.\They're in their own world!\Then, the next question goes over here! response:	Karuta, Karuta...
context: Where would Karuta like to go for a date?\A d-date?\Karuta!\I guess I could take you out to eat something good...\Okay.\They're in their own world!\Then, the next question goes over here!\Karuta, Karuta... response:	Yo.
context: A d-date?\Karuta!\I guess I could take you out to eat something good...\Okay.\They're in their own world!\Then, the next question goes over here!\Karuta, Karuta...\Yo. response:	What does Nobara Yukinokouji's favorite word...
context: Karuta!\I guess I could take you out to eat something good...\Okay.\They're in their own world!\Then, the next question goes over here!\Karuta, Karuta...\Yo.\What does Nobara Yukinokouji's favorite word... response:	Maniac!
context: I guess I could take you out to eat something good...\Okay.\They're in their own world!\Then, the next question goes over here!\Karuta, Karuta...\Yo.\What does Nobara Yukinokouji's favorite word...\Maniac! response:	What does that word mean?
context: Okay.\They're in their own world!\Then, the next question goes over here!\Karuta, Karuta...\Yo.\What does Nobara Yukinokouji's favorite word...\Maniac!\What does that word mean? response:	Sexy?
context: They're in their own world!\Then, the next question goes over here!\Karuta, Karuta...\Yo.\What does Nobara Yukinokouji's favorite word...\Maniac!\What does that word mean?\Sexy? response:	No!
context: Then, the next question goes over here!\Karuta, Karuta...\Yo.\What does Nobara Yukinokouji's favorite word...\Maniac!\What does that word mean?\Sexy?\No! response:	Are you listening?
context: Karuta, Karuta...\Yo.\What does Nobara Yukinokouji's favorite word...\Maniac!\What does that word mean?\Sexy?\No!\Are you listening? response:	When I say maniac,
context: Yo.\What does Nobara Yukinokouji's favorite word...\Maniac!\What does that word mean?\Sexy?\No!\Are you listening?\When I say maniac, response:	I'm going from this...
context: What does Nobara Yukinokouji's favorite word...\Maniac!\What does that word mean?\Sexy?\No!\Are you listening?\When I say maniac,\I'm going from this... response:	to this!
context: Maniac!\What does that word mean?\Sexy?\No!\Are you listening?\When I say maniac,\I'm going from this...\to this! response:	Yes, maniac.
context: What does that word mean?\Sexy?\No!\Are you listening?\When I say maniac,\I'm going from this...\to this!\Yes, maniac. response:	From this...
context: Sexy?\No!\Are you listening?\When I say maniac,\I'm going from this...\to this!\Yes, maniac.\From this... response:	to this!
context: No!\Are you listening?\When I say maniac,\I'm going from this...\to this!\Yes, maniac.\From this...\to this! response:	Yes, maniac.
context: Are you listening?\When I say maniac,\I'm going from this...\to this!\Yes, maniac.\From this...\to this!\Yes, maniac. response:	Karuta looks best in thigh-highs,
context: When I say maniac,\I'm going from this...\to this!\Yes, maniac.\From this...\to this!\Yes, maniac.\Karuta looks best in thigh-highs, response:	not knee-highs!
context: I'm going from this...\to this!\Yes, maniac.\From this...\to this!\Yes, maniac.\Karuta looks best in thigh-highs,\not knee-highs! response:	I don't get it.
context: to this!\Yes, maniac.\From this...\to this!\Yes, maniac.\Karuta looks best in thigh-highs,\not knee-highs!\I don't get it. response:	Look.
context: Yes, maniac.\From this...\to this!\Yes, maniac.\Karuta looks best in thigh-highs,\not knee-highs!\I don't get it.\Look. response:	From this...
context: From this...\to this!\Yes, maniac.\Karuta looks best in thigh-highs,\not knee-highs!\I don't get it.\Look.\From this... response:	to this!
context: to this!\Yes, maniac.\Karuta looks best in thigh-highs,\not knee-highs!\I don't get it.\Look.\From this...\to this! response:	Yes, maniac.
context: Yes, maniac.\Karuta looks best in thigh-highs,\not knee-highs!\I don't get it.\Look.\From this...\to this!\Yes, maniac. response:	From this...
context: Karuta looks best in thigh-highs,\not knee-highs!\I don't get it.\Look.\From this...\to this!\Yes, maniac.\From this... response:	to this!
context: not knee-highs!\I don't get it.\Look.\From this...\to this!\Yes, maniac.\From this...\to this! response:	Yes, maniac.
context: I don't get it.\Look.\From this...\to this!\Yes, maniac.\From this...\to this!\Yes, maniac. response:	And for your information, Ririchiyo isn't tsundere. She's tsunshun.
context: Look.\From this...\to this!\Yes, maniac.\From this...\to this!\Yes, maniac.\And for your information, Ririchiyo isn't tsundere. She's tsunshun. response:	Well done.
context: From this...\to this!\Yes, maniac.\From this...\to this!\Yes, maniac.\And for your information, Ririchiyo isn't tsundere. She's tsunshun.\Well done. response:	Depressed
context: to this!\Yes, maniac.\From this...\to this!\Yes, maniac.\And for your information, Ririchiyo isn't tsundere. She's tsunshun.\Well done.\Depressed response:	After her hostility, she gets depressed. So she's tsunshun!
context: Yes, maniac.\From this...\to this!\Yes, maniac.\And for your information, Ririchiyo isn't tsundere. She's tsunshun.\Well done.\Depressed\After her hostility, she gets depressed. So she's tsunshun! response:	Don't get them mixed up!
context: From this...\to this!\Yes, maniac.\And for your information, Ririchiyo isn't tsundere. She's tsunshun.\Well done.\Depressed\After her hostility, she gets depressed. So she's tsunshun!\Don't get them mixed up! response:	You're really getting into this!
context: to this!\Yes, maniac.\And for your information, Ririchiyo isn't tsundere. She's tsunshun.\Well done.\Depressed\After her hostility, she gets depressed. So she's tsunshun!\Don't get them mixed up!\You're really getting into this! response:	Please don't create a category for me.
context: Yes, maniac.\And for your information, Ririchiyo isn't tsundere. She's tsunshun.\Well done.\Depressed\After her hostility, she gets depressed. So she's tsunshun!\Don't get them mixed up!\You're really getting into this!\Please don't create a category for me. response:	It's a shame about Nobara.
context: And for your information, Ririchiyo isn't tsundere. She's tsunshun.\Well done.\Depressed\After her hostility, she gets depressed. So she's tsunshun!\Don't get them mixed up!\You're really getting into this!\Please don't create a category for me.\It's a shame about Nobara. response:	She has the looks...
context: Well done.\Depressed\After her hostility, she gets depressed. So she's tsunshun!\Don't get them mixed up!\You're really getting into this!\Please don't create a category for me.\It's a shame about Nobara.\She has the looks... response:	Those feet! Those tiny feet...
context: Depressed\After her hostility, she gets depressed. So she's tsunshun!\Don't get them mixed up!\You're really getting into this!\Please don't create a category for me.\It's a shame about Nobara.\She has the looks...\Those feet! Those tiny feet... response:	They're not even feet, they're tootsies!
context: After her hostility, she gets depressed. So she's tsunshun!\Don't get them mixed up!\You're really getting into this!\Please don't create a category for me.\It's a shame about Nobara.\She has the looks...\Those feet! Those tiny feet...\They're not even feet, they're tootsies! response:	And now, a question for you, Nobara!
context: Don't get them mixed up!\You're really getting into this!\Please don't create a category for me.\It's a shame about Nobara.\She has the looks...\Those feet! Those tiny feet...\They're not even feet, they're tootsies!\And now, a question for you, Nobara! response:	I don't care about men!
context: You're really getting into this!\Please don't create a category for me.\It's a shame about Nobara.\She has the looks...\Those feet! Those tiny feet...\They're not even feet, they're tootsies!\And now, a question for you, Nobara!\I don't care about men! response:	Well, then.
context: Please don't create a category for me.\It's a shame about Nobara.\She has the looks...\Those feet! Those tiny feet...\They're not even feet, they're tootsies!\And now, a question for you, Nobara!\I don't care about men!\Well, then. response:	I have a question for Sou.
context: It's a shame about Nobara.\She has the looks...\Those feet! Those tiny feet...\They're not even feet, they're tootsies!\And now, a question for you, Nobara!\I don't care about men!\Well, then.\I have a question for Sou. response:	That was harsh...
context: She has the looks...\Those feet! Those tiny feet...\They're not even feet, they're tootsies!\And now, a question for you, Nobara!\I don't care about men!\Well, then.\I have a question for Sou.\That was harsh... response:	Oh? How so?
context: Those feet! Those tiny feet...\They're not even feet, they're tootsies!\And now, a question for you, Nobara!\I don't care about men!\Well, then.\I have a question for Sou.\That was harsh...\Oh? How so? response:	Yes?
context: They're not even feet, they're tootsies!\And now, a question for you, Nobara!\I don't care about men!\Well, then.\I have a question for Sou.\That was harsh...\Oh? How so?\Yes? response:	Here it comes!
context: And now, a question for you, Nobara!\I don't care about men!\Well, then.\I have a question for Sou.\That was harsh...\Oh? How so?\Yes?\Here it comes! response:	Is Chiyo
context: I don't care about men!\Well, then.\I have a question for Sou.\That was harsh...\Oh? How so?\Yes?\Here it comes!\Is Chiyo response:	Cat Person
context: Well, then.\I have a question for Sou.\That was harsh...\Oh? How so?\Yes?\Here it comes!\Is Chiyo\Cat Person response:	a cat person or a dog person?
context: I have a question for Sou.\That was harsh...\Oh? How so?\Yes?\Here it comes!\Is Chiyo\Cat Person\a cat person or a dog person? response:	Dog Person
context: That was harsh...\Oh? How so?\Yes?\Here it comes!\Is Chiyo\Cat Person\a cat person or a dog person?\Dog Person response:	If I had to pick one,
context: Oh? How so?\Yes?\Here it comes!\Is Chiyo\Cat Person\a cat person or a dog person?\Dog Person\If I had to pick one, response:	she would be a dog person, but she likes cats, too.
context: Yes?\Here it comes!\Is Chiyo\Cat Person\a cat person or a dog person?\Dog Person\If I had to pick one,\she would be a dog person, but she likes cats, too. response:	I chose one because I had to.
context: Here it comes!\Is Chiyo\Cat Person\a cat person or a dog person?\Dog Person\If I had to pick one,\she would be a dog person, but she likes cats, too.\I chose one because I had to. response:	But I believe she likes both.
context: Is Chiyo\Cat Person\a cat person or a dog person?\Dog Person\If I had to pick one,\she would be a dog person, but she likes cats, too.\I chose one because I had to.\But I believe she likes both. response:	Chiyo?
context: Cat Person\a cat person or a dog person?\Dog Person\If I had to pick one,\she would be a dog person, but she likes cats, too.\I chose one because I had to.\But I believe she likes both.\Chiyo? response:	He's correct.
context: a cat person or a dog person?\Dog Person\If I had to pick one,\she would be a dog person, but she likes cats, too.\I chose one because I had to.\But I believe she likes both.\Chiyo?\He's correct. response:	When it comes to food, she prefers
context: Dog Person\If I had to pick one,\she would be a dog person, but she likes cats, too.\I chose one because I had to.\But I believe she likes both.\Chiyo?\He's correct.\When it comes to food, she prefers response:	easy to digest foods, with carefully selected ingredients.
context: If I had to pick one,\she would be a dog person, but she likes cats, too.\I chose one because I had to.\But I believe she likes both.\Chiyo?\He's correct.\When it comes to food, she prefers\easy to digest foods, with carefully selected ingredients. response:	She dislikes strongly flavored or greasy foods.
context: she would be a dog person, but she likes cats, too.\I chose one because I had to.\But I believe she likes both.\Chiyo?\He's correct.\When it comes to food, she prefers\easy to digest foods, with carefully selected ingredients.\She dislikes strongly flavored or greasy foods. response:	I guess I really do have that preference.
context: I chose one because I had to.\But I believe she likes both.\Chiyo?\He's correct.\When it comes to food, she prefers\easy to digest foods, with carefully selected ingredients.\She dislikes strongly flavored or greasy foods.\I guess I really do have that preference. response:	She also avoids spicy food or
context: But I believe she likes both.\Chiyo?\He's correct.\When it comes to food, she prefers\easy to digest foods, with carefully selected ingredients.\She dislikes strongly flavored or greasy foods.\I guess I really do have that preference.\She also avoids spicy food or response:	things with a grotesque appearance, such as sea cucumbers.
context: Chiyo?\He's correct.\When it comes to food, she prefers\easy to digest foods, with carefully selected ingredients.\She dislikes strongly flavored or greasy foods.\I guess I really do have that preference.\She also avoids spicy food or\things with a grotesque appearance, such as sea cucumbers. response:	Miketsukami...
context: He's correct.\When it comes to food, she prefers\easy to digest foods, with carefully selected ingredients.\She dislikes strongly flavored or greasy foods.\I guess I really do have that preference.\She also avoids spicy food or\things with a grotesque appearance, such as sea cucumbers.\Miketsukami... response:	In terms of clothing,
context: When it comes to food, she prefers\easy to digest foods, with carefully selected ingredients.\She dislikes strongly flavored or greasy foods.\I guess I really do have that preference.\She also avoids spicy food or\things with a grotesque appearance, such as sea cucumbers.\Miketsukami...\In terms of clothing, response:	she prefers black, white, gray, blue, brown.
context: easy to digest foods, with carefully selected ingredients.\She dislikes strongly flavored or greasy foods.\I guess I really do have that preference.\She also avoids spicy food or\things with a grotesque appearance, such as sea cucumbers.\Miketsukami...\In terms of clothing,\she prefers black, white, gray, blue, brown. response:	If the color is too strong,
context: She dislikes strongly flavored or greasy foods.\I guess I really do have that preference.\She also avoids spicy food or\things with a grotesque appearance, such as sea cucumbers.\Miketsukami...\In terms of clothing,\she prefers black, white, gray, blue, brown.\If the color is too strong, response:	she tends to choose less bright fabrics.
context: I guess I really do have that preference.\She also avoids spicy food or\things with a grotesque appearance, such as sea cucumbers.\Miketsukami...\In terms of clothing,\she prefers black, white, gray, blue, brown.\If the color is too strong,\she tends to choose less bright fabrics. response:	Enough.
context: She also avoids spicy food or\things with a grotesque appearance, such as sea cucumbers.\Miketsukami...\In terms of clothing,\she prefers black, white, gray, blue, brown.\If the color is too strong,\she tends to choose less bright fabrics.\Enough. response:	She generally sleeps seven hours a night.
context: things with a grotesque appearance, such as sea cucumbers.\Miketsukami...\In terms of clothing,\she prefers black, white, gray, blue, brown.\If the color is too strong,\she tends to choose less bright fabrics.\Enough.\She generally sleeps seven hours a night. response:	She usually takes her bath directly before going to bed.
context: Miketsukami...\In terms of clothing,\she prefers black, white, gray, blue, brown.\If the color is too strong,\she tends to choose less bright fabrics.\Enough.\She generally sleeps seven hours a night.\She usually takes her bath directly before going to bed. response:	Stop!
context: In terms of clothing,\she prefers black, white, gray, blue, brown.\If the color is too strong,\she tends to choose less bright fabrics.\Enough.\She generally sleeps seven hours a night.\She usually takes her bath directly before going to bed.\Stop! response:	One of her true pleasures is to read a bit before she goes to bed.
context: she prefers black, white, gray, blue, brown.\If the color is too strong,\she tends to choose less bright fabrics.\Enough.\She generally sleeps seven hours a night.\She usually takes her bath directly before going to bed.\Stop!\One of her true pleasures is to read a bit before she goes to bed. response:	Miketsukami, stop!
context: If the color is too strong,\she tends to choose less bright fabrics.\Enough.\She generally sleeps seven hours a night.\She usually takes her bath directly before going to bed.\Stop!\One of her true pleasures is to read a bit before she goes to bed.\Miketsukami, stop! response:	If you'd like to know, right now she's reading...
context: she tends to choose less bright fabrics.\Enough.\She generally sleeps seven hours a night.\She usually takes her bath directly before going to bed.\Stop!\One of her true pleasures is to read a bit before she goes to bed.\Miketsukami, stop!\If you'd like to know, right now she's reading... response:	Enough, already!
context: Enough.\She generally sleeps seven hours a night.\She usually takes her bath directly before going to bed.\Stop!\One of her true pleasures is to read a bit before she goes to bed.\Miketsukami, stop!\If you'd like to know, right now she's reading...\Enough, already! response:	I'm very sorry.
context: She generally sleeps seven hours a night.\She usually takes her bath directly before going to bed.\Stop!\One of her true pleasures is to read a bit before she goes to bed.\Miketsukami, stop!\If you'd like to know, right now she's reading...\Enough, already!\I'm very sorry. response:	I simply could not control myself.
context: She usually takes her bath directly before going to bed.\Stop!\One of her true pleasures is to read a bit before she goes to bed.\Miketsukami, stop!\If you'd like to know, right now she's reading...\Enough, already!\I'm very sorry.\I simply could not control myself. response:	Learn to control it. You're an adult.
context: Stop!\One of her true pleasures is to read a bit before she goes to bed.\Miketsukami, stop!\If you'd like to know, right now she's reading...\Enough, already!\I'm very sorry.\I simply could not control myself.\Learn to control it. You're an adult. response:	But thanks to all that, my turn never came.
context: One of her true pleasures is to read a bit before she goes to bed.\Miketsukami, stop!\If you'd like to know, right now she's reading...\Enough, already!\I'm very sorry.\I simply could not control myself.\Learn to control it. You're an adult.\But thanks to all that, my turn never came. response:	All right!
context: Miketsukami, stop!\If you'd like to know, right now she's reading...\Enough, already!\I'm very sorry.\I simply could not control myself.\Learn to control it. You're an adult.\But thanks to all that, my turn never came.\All right! response:	Time's up!
context: If you'd like to know, right now she's reading...\Enough, already!\I'm very sorry.\I simply could not control myself.\Learn to control it. You're an adult.\But thanks to all that, my turn never came.\All right!\Time's up! response:	The end!
context: Enough, already!\I'm very sorry.\I simply could not control myself.\Learn to control it. You're an adult.\But thanks to all that, my turn never came.\All right!\Time's up!\The end! response:	But we don't have a clear winner!
context: I'm very sorry.\I simply could not control myself.\Learn to control it. You're an adult.\But thanks to all that, my turn never came.\All right!\Time's up!\The end!\But we don't have a clear winner! response:	Want to continue by yourself, Watanuki?
context: I simply could not control myself.\Learn to control it. You're an adult.\But thanks to all that, my turn never came.\All right!\Time's up!\The end!\But we don't have a clear winner!\Want to continue by yourself, Watanuki? response:	What good will that do?!
context: Learn to control it. You're an adult.\But thanks to all that, my turn never came.\All right!\Time's up!\The end!\But we don't have a clear winner!\Want to continue by yourself, Watanuki?\What good will that do?! response:	Th-Then,
context: But thanks to all that, my turn never came.\All right!\Time's up!\The end!\But we don't have a clear winner!\Want to continue by yourself, Watanuki?\What good will that do?!\Th-Then, response:	will you meet me in my room, at eight?
context: All right!\Time's up!\The end!\But we don't have a clear winner!\Want to continue by yourself, Watanuki?\What good will that do?!\Th-Then,\will you meet me in my room, at eight? response:	I will.
context: Time's up!\The end!\But we don't have a clear winner!\Want to continue by yourself, Watanuki?\What good will that do?!\Th-Then,\will you meet me in my room, at eight?\I will. response:	Chiyo's been on edge since this morning.
context: The end!\But we don't have a clear winner!\Want to continue by yourself, Watanuki?\What good will that do?!\Th-Then,\will you meet me in my room, at eight?\I will.\Chiyo's been on edge since this morning. response:	On edge?
context: But we don't have a clear winner!\Want to continue by yourself, Watanuki?\What good will that do?!\Th-Then,\will you meet me in my room, at eight?\I will.\Chiyo's been on edge since this morning.\On edge? response:	But I'm glad she's gotten more comfortable.
context: Want to continue by yourself, Watanuki?\What good will that do?!\Th-Then,\will you meet me in my room, at eight?\I will.\Chiyo's been on edge since this morning.\On edge?\But I'm glad she's gotten more comfortable. response:	What do you mean?
context: What good will that do?!\Th-Then,\will you meet me in my room, at eight?\I will.\Chiyo's been on edge since this morning.\On edge?\But I'm glad she's gotten more comfortable.\What do you mean? response:	She means to relax, relax!
context: Th-Then,\will you meet me in my room, at eight?\I will.\Chiyo's been on edge since this morning.\On edge?\But I'm glad she's gotten more comfortable.\What do you mean?\She means to relax, relax! response:	I don't get it.
context: will you meet me in my room, at eight?\I will.\Chiyo's been on edge since this morning.\On edge?\But I'm glad she's gotten more comfortable.\What do you mean?\She means to relax, relax!\I don't get it. response:	Don't Talk
context: I will.\Chiyo's been on edge since this morning.\On edge?\But I'm glad she's gotten more comfortable.\What do you mean?\She means to relax, relax!\I don't get it.\Don't Talk response:	Is this one of Natsume's pranks again?
context: Chiyo's been on edge since this morning.\On edge?\But I'm glad she's gotten more comfortable.\What do you mean?\She means to relax, relax!\I don't get it.\Don't Talk\Is this one of Natsume's pranks again? response:	Did Natsume do this?
context: On edge?\But I'm glad she's gotten more comfortable.\What do you mean?\She means to relax, relax!\I don't get it.\Don't Talk\Is this one of Natsume's pranks again?\Did Natsume do this? response:	I-I didn't think of that!
context: But I'm glad she's gotten more comfortable.\What do you mean?\She means to relax, relax!\I don't get it.\Don't Talk\Is this one of Natsume's pranks again?\Did Natsume do this?\I-I didn't think of that! response:	You are very cute.
context: What do you mean?\She means to relax, relax!\I don't get it.\Don't Talk\Is this one of Natsume's pranks again?\Did Natsume do this?\I-I didn't think of that!\You are very cute. response:	Not the point!
context: She means to relax, relax!\I don't get it.\Don't Talk\Is this one of Natsume's pranks again?\Did Natsume do this?\I-I didn't think of that!\You are very cute.\Not the point! response:	Don't Talk
context: I don't get it.\Don't Talk\Is this one of Natsume's pranks again?\Did Natsume do this?\I-I didn't think of that!\You are very cute.\Not the point!\Don't Talk response:	So, how long are we not supposed to speak?
context: Don't Talk\Is this one of Natsume's pranks again?\Did Natsume do this?\I-I didn't think of that!\You are very cute.\Not the point!\Don't Talk\So, how long are we not supposed to speak? response:	How long are we not supposed to speak?
context: Is this one of Natsume's pranks again?\Did Natsume do this?\I-I didn't think of that!\You are very cute.\Not the point!\Don't Talk\So, how long are we not supposed to speak?\How long are we not supposed to speak? response:	Huh?
context: Did Natsume do this?\I-I didn't think of that!\You are very cute.\Not the point!\Don't Talk\So, how long are we not supposed to speak?\How long are we not supposed to speak?\Huh? response:	You really are very cute. May I take your picture, to commemorate this?
context: I-I didn't think of that!\You are very cute.\Not the point!\Don't Talk\So, how long are we not supposed to speak?\How long are we not supposed to speak?\Huh?\You really are very cute. May I take your picture, to commemorate this? response:	Again, not the point!
context: You are very cute.\Not the point!\Don't Talk\So, how long are we not supposed to speak?\How long are we not supposed to speak?\Huh?\You really are very cute. May I take your picture, to commemorate this?\Again, not the point! response:	We're in the lounge, so we can speak now.
context: Not the point!\Don't Talk\So, how long are we not supposed to speak?\How long are we not supposed to speak?\Huh?\You really are very cute. May I take your picture, to commemorate this?\Again, not the point!\We're in the lounge, so we can speak now. response:	What was that?
context: Don't Talk\So, how long are we not supposed to speak?\How long are we not supposed to speak?\Huh?\You really are very cute. May I take your picture, to commemorate this?\Again, not the point!\We're in the lounge, so we can speak now.\What was that? response:	Another paper?
context: So, how long are we not supposed to speak?\How long are we not supposed to speak?\Huh?\You really are very cute. May I take your picture, to commemorate this?\Again, not the point!\We're in the lounge, so we can speak now.\What was that?\Another paper? response:	Read the other side out loud.
context: How long are we not supposed to speak?\Huh?\You really are very cute. May I take your picture, to commemorate this?\Again, not the point!\We're in the lounge, so we can speak now.\What was that?\Another paper?\Read the other side out loud. response:	Assignment One Draw the Shape of Tokyo
context: Huh?\You really are very cute. May I take your picture, to commemorate this?\Again, not the point!\We're in the lounge, so we can speak now.\What was that?\Another paper?\Read the other side out loud.\Assignment One Draw the Shape of Tokyo response:	Assignment One: draw the shape of Tokyo.
context: You really are very cute. May I take your picture, to commemorate this?\Again, not the point!\We're in the lounge, so we can speak now.\What was that?\Another paper?\Read the other side out loud.\Assignment One Draw the Shape of Tokyo\Assignment One: draw the shape of Tokyo. response:	What's this now? A quiz?
context: Again, not the point!\We're in the lounge, so we can speak now.\What was that?\Another paper?\Read the other side out loud.\Assignment One Draw the Shape of Tokyo\Assignment One: draw the shape of Tokyo.\What's this now? A quiz? response:	Whose prank is this?
context: We're in the lounge, so we can speak now.\What was that?\Another paper?\Read the other side out loud.\Assignment One Draw the Shape of Tokyo\Assignment One: draw the shape of Tokyo.\What's this now? A quiz?\Whose prank is this? response:	You didn't do it?
context: What was that?\Another paper?\Read the other side out loud.\Assignment One Draw the Shape of Tokyo\Assignment One: draw the shape of Tokyo.\What's this now? A quiz?\Whose prank is this?\You didn't do it? response:	Or the flyers in the hall?
context: Another paper?\Read the other side out loud.\Assignment One Draw the Shape of Tokyo\Assignment One: draw the shape of Tokyo.\What's this now? A quiz?\Whose prank is this?\You didn't do it?\Or the flyers in the hall? response:	What? It wasn't me.
context: Read the other side out loud.\Assignment One Draw the Shape of Tokyo\Assignment One: draw the shape of Tokyo.\What's this now? A quiz?\Whose prank is this?\You didn't do it?\Or the flyers in the hall?\What? It wasn't me. response:	Chiyo, it saddens me that you'd suspect me.
context: Assignment One Draw the Shape of Tokyo\Assignment One: draw the shape of Tokyo.\What's this now? A quiz?\Whose prank is this?\You didn't do it?\Or the flyers in the hall?\What? It wasn't me.\Chiyo, it saddens me that you'd suspect me. response:	I-I'm sorry...
context: Assignment One: draw the shape of Tokyo.\What's this now? A quiz?\Whose prank is this?\You didn't do it?\Or the flyers in the hall?\What? It wasn't me.\Chiyo, it saddens me that you'd suspect me.\I-I'm sorry... response:	But then, who's doing this?
context: What's this now? A quiz?\Whose prank is this?\You didn't do it?\Or the flyers in the hall?\What? It wasn't me.\Chiyo, it saddens me that you'd suspect me.\I-I'm sorry...\But then, who's doing this? response:	Let's see...
context: Whose prank is this?\You didn't do it?\Or the flyers in the hall?\What? It wasn't me.\Chiyo, it saddens me that you'd suspect me.\I-I'm sorry...\But then, who's doing this?\Let's see... response:	The winner gets a Blu-ray recorder.
context: You didn't do it?\Or the flyers in the hall?\What? It wasn't me.\Chiyo, it saddens me that you'd suspect me.\I-I'm sorry...\But then, who's doing this?\Let's see...\The winner gets a Blu-ray recorder. response:	Will someone bring me a sheet of paper?
context: Or the flyers in the hall?\What? It wasn't me.\Chiyo, it saddens me that you'd suspect me.\I-I'm sorry...\But then, who's doing this?\Let's see...\The winner gets a Blu-ray recorder.\Will someone bring me a sheet of paper? response:	You're doing it?
context: What? It wasn't me.\Chiyo, it saddens me that you'd suspect me.\I-I'm sorry...\But then, who's doing this?\Let's see...\The winner gets a Blu-ray recorder.\Will someone bring me a sheet of paper?\You're doing it? response:	What shape, exactly, is Tokyo?
context: Chiyo, it saddens me that you'd suspect me.\I-I'm sorry...\But then, who's doing this?\Let's see...\The winner gets a Blu-ray recorder.\Will someone bring me a sheet of paper?\You're doing it?\What shape, exactly, is Tokyo? response:	Someone once told me it's shaped like a potato bug.
context: I-I'm sorry...\But then, who's doing this?\Let's see...\The winner gets a Blu-ray recorder.\Will someone bring me a sheet of paper?\You're doing it?\What shape, exactly, is Tokyo?\Someone once told me it's shaped like a potato bug. response:	A potato bug?
context: But then, who's doing this?\Let's see...\The winner gets a Blu-ray recorder.\Will someone bring me a sheet of paper?\You're doing it?\What shape, exactly, is Tokyo?\Someone once told me it's shaped like a potato bug.\A potato bug? response:	I saw one, not long ago.
context: Let's see...\The winner gets a Blu-ray recorder.\Will someone bring me a sheet of paper?\You're doing it?\What shape, exactly, is Tokyo?\Someone once told me it's shaped like a potato bug.\A potato bug?\I saw one, not long ago. response:	You saw one here, in the city?
context: The winner gets a Blu-ray recorder.\Will someone bring me a sheet of paper?\You're doing it?\What shape, exactly, is Tokyo?\Someone once told me it's shaped like a potato bug.\A potato bug?\I saw one, not long ago.\You saw one here, in the city? response:	I saw one in a Friday night movie.
context: Will someone bring me a sheet of paper?\You're doing it?\What shape, exactly, is Tokyo?\Someone once told me it's shaped like a potato bug.\A potato bug?\I saw one, not long ago.\You saw one here, in the city?\I saw one in a Friday night movie. response:	Done.
context: You're doing it?\What shape, exactly, is Tokyo?\Someone once told me it's shaped like a potato bug.\A potato bug?\I saw one, not long ago.\You saw one here, in the city?\I saw one in a Friday night movie.\Done. response:	Now I know what you saw.
context: What shape, exactly, is Tokyo?\Someone once told me it's shaped like a potato bug.\A potato bug?\I saw one, not long ago.\You saw one here, in the city?\I saw one in a Friday night movie.\Done.\Now I know what you saw. response:	Do you really think Tokyo looks like that?!
context: Someone once told me it's shaped like a potato bug.\A potato bug?\I saw one, not long ago.\You saw one here, in the city?\I saw one in a Friday night movie.\Done.\Now I know what you saw.\Do you really think Tokyo looks like that?! response:	Yeah, it isn't like that.
context: A potato bug?\I saw one, not long ago.\You saw one here, in the city?\I saw one in a Friday night movie.\Done.\Now I know what you saw.\Do you really think Tokyo looks like that?!\Yeah, it isn't like that. response:	It's more like...
context: I saw one, not long ago.\You saw one here, in the city?\I saw one in a Friday night movie.\Done.\Now I know what you saw.\Do you really think Tokyo looks like that?!\Yeah, it isn't like that.\It's more like... response:	This.
context: You saw one here, in the city?\I saw one in a Friday night movie.\Done.\Now I know what you saw.\Do you really think Tokyo looks like that?!\Yeah, it isn't like that.\It's more like...\This. response:	You've totally forgotten the task at hand!
context: I saw one in a Friday night movie.\Done.\Now I know what you saw.\Do you really think Tokyo looks like that?!\Yeah, it isn't like that.\It's more like...\This.\You've totally forgotten the task at hand! response:	You're pretty good.
