context: Asta, Noelle, and Magna encountered response:	a mysterious enemy when they arrived at Saussy Village.
context: Do your best.\Yeah!\By the time you join the Magic Knights,\I'm going to be working even harder, doing even more missions,\and I'll be even closer to becoming the Wizard King.\Jeez. There you go talking nonsense again.\But you need to dream big. That's what it means to be a man!\I'll be waiting for you, kid! response:	Right!
context: Yeah!\By the time you join the Magic Knights,\I'm going to be working even harder, doing even more missions,\and I'll be even closer to becoming the Wizard King.\Jeez. There you go talking nonsense again.\But you need to dream big. That's what it means to be a man!\I'll be waiting for you, kid!\Right! response:	Yeah!
context: By the time you join the Magic Knights,\I'm going to be working even harder, doing even more missions,\and I'll be even closer to becoming the Wizard King.\Jeez. There you go talking nonsense again.\But you need to dream big. That's what it means to be a man!\I'll be waiting for you, kid!\Right!\Yeah! response:	Ow, ow, ow, ow!
context: I'm going to be working even harder, doing even more missions,\and I'll be even closer to becoming the Wizard King.\Jeez. There you go talking nonsense again.\But you need to dream big. That's what it means to be a man!\I'll be waiting for you, kid!\Right!\Yeah!\Ow, ow, ow, ow! response:	What do you have against my head, you stupid bird?! You wanna fight?!
context: and I'll be even closer to becoming the Wizard King.\Jeez. There you go talking nonsense again.\But you need to dream big. That's what it means to be a man!\I'll be waiting for you, kid!\Right!\Yeah!\Ow, ow, ow, ow!\What do you have against my head, you stupid bird?! You wanna fight?! response:	Why, you...
context: Jeez. There you go talking nonsense again.\But you need to dream big. That's what it means to be a man!\I'll be waiting for you, kid!\Right!\Yeah!\Ow, ow, ow, ow!\What do you have against my head, you stupid bird?! You wanna fight?!\Why, you... response:	What's that stone?
context: But you need to dream big. That's what it means to be a man!\I'll be waiting for you, kid!\Right!\Yeah!\Ow, ow, ow, ow!\What do you have against my head, you stupid bird?! You wanna fight?!\Why, you...\What's that stone? response:	Oh, that's a charm that my grandpa had.
context: I'll be waiting for you, kid!\Right!\Yeah!\Ow, ow, ow, ow!\What do you have against my head, you stupid bird?! You wanna fight?!\Why, you...\What's that stone?\Oh, that's a charm that my grandpa had. response:	Hey, that's really important!
context: Right!\Yeah!\Ow, ow, ow, ow!\What do you have against my head, you stupid bird?! You wanna fight?!\Why, you...\What's that stone?\Oh, that's a charm that my grandpa had.\Hey, that's really important! response:	Let go! Give it back!
context: Yeah!\Ow, ow, ow, ow!\What do you have against my head, you stupid bird?! You wanna fight?!\Why, you...\What's that stone?\Oh, that's a charm that my grandpa had.\Hey, that's really important!\Let go! Give it back! response:	You can have it. Apparently that bird really likes it.
context: Ow, ow, ow, ow!\What do you have against my head, you stupid bird?! You wanna fight?!\Why, you...\What's that stone?\Oh, that's a charm that my grandpa had.\Hey, that's really important!\Let go! Give it back!\You can have it. Apparently that bird really likes it. response:	It's the least I can do to repay you guys for saving us.
context: What do you have against my head, you stupid bird?! You wanna fight?!\Why, you...\What's that stone?\Oh, that's a charm that my grandpa had.\Hey, that's really important!\Let go! Give it back!\You can have it. Apparently that bird really likes it.\It's the least I can do to repay you guys for saving us. response:	O-Okay...
context: Why, you...\What's that stone?\Oh, that's a charm that my grandpa had.\Hey, that's really important!\Let go! Give it back!\You can have it. Apparently that bird really likes it.\It's the least I can do to repay you guys for saving us.\O-Okay... response:	Those spiteful little eyes...
context: What's that stone?\Oh, that's a charm that my grandpa had.\Hey, that's really important!\Let go! Give it back!\You can have it. Apparently that bird really likes it.\It's the least I can do to repay you guys for saving us.\O-Okay...\Those spiteful little eyes... response:	Th-They're so cute!
context: Oh, that's a charm that my grandpa had.\Hey, that's really important!\Let go! Give it back!\You can have it. Apparently that bird really likes it.\It's the least I can do to repay you guys for saving us.\O-Okay...\Those spiteful little eyes...\Th-They're so cute! response:	You can come over here, too!
context: Hey, that's really important!\Let go! Give it back!\You can have it. Apparently that bird really likes it.\It's the least I can do to repay you guys for saving us.\O-Okay...\Those spiteful little eyes...\Th-They're so cute!\You can come over here, too! response:	Ow, ow, ow, ow, ow, ow, ow, ow!
context: Let go! Give it back!\You can have it. Apparently that bird really likes it.\It's the least I can do to repay you guys for saving us.\O-Okay...\Those spiteful little eyes...\Th-They're so cute!\You can come over here, too!\Ow, ow, ow, ow, ow, ow, ow, ow! response:	What is your problem with my head?! I'm gonna barbecue you!
context: You can have it. Apparently that bird really likes it.\It's the least I can do to repay you guys for saving us.\O-Okay...\Those spiteful little eyes...\Th-They're so cute!\You can come over here, too!\Ow, ow, ow, ow, ow, ow, ow, ow!\What is your problem with my head?! I'm gonna barbecue you! response:	Come back here!
context: It's the least I can do to repay you guys for saving us.\O-Okay...\Those spiteful little eyes...\Th-They're so cute!\You can come over here, too!\Ow, ow, ow, ow, ow, ow, ow, ow!\What is your problem with my head?! I'm gonna barbecue you!\Come back here! response:	Ow, ow, ow, ow, ow, ow, ow, ow!
context: O-Okay...\Those spiteful little eyes...\Th-They're so cute!\You can come over here, too!\Ow, ow, ow, ow, ow, ow, ow, ow!\What is your problem with my head?! I'm gonna barbecue you!\Come back here!\Ow, ow, ow, ow, ow, ow, ow, ow! response:	The heck are you doing, you jerk?!
context: Those spiteful little eyes...\Th-They're so cute!\You can come over here, too!\Ow, ow, ow, ow, ow, ow, ow, ow!\What is your problem with my head?! I'm gonna barbecue you!\Come back here!\Ow, ow, ow, ow, ow, ow, ow, ow!\The heck are you doing, you jerk?! response:	So Heath was... I see.
context: Th-They're so cute!\You can come over here, too!\Ow, ow, ow, ow, ow, ow, ow, ow!\What is your problem with my head?! I'm gonna barbecue you!\Come back here!\Ow, ow, ow, ow, ow, ow, ow, ow!\The heck are you doing, you jerk?!\So Heath was... I see. response:	So the magic stone fell into the hands of the Black Bulls.
context: You can come over here, too!\Ow, ow, ow, ow, ow, ow, ow, ow!\What is your problem with my head?! I'm gonna barbecue you!\Come back here!\Ow, ow, ow, ow, ow, ow, ow, ow!\The heck are you doing, you jerk?!\So Heath was... I see.\So the magic stone fell into the hands of the Black Bulls. response:	Yes.
context: Ow, ow, ow, ow, ow, ow, ow, ow!\What is your problem with my head?! I'm gonna barbecue you!\Come back here!\Ow, ow, ow, ow, ow, ow, ow, ow!\The heck are you doing, you jerk?!\So Heath was... I see.\So the magic stone fell into the hands of the Black Bulls.\Yes. response:	No matter.
context: What is your problem with my head?! I'm gonna barbecue you!\Come back here!\Ow, ow, ow, ow, ow, ow, ow, ow!\The heck are you doing, you jerk?!\So Heath was... I see.\So the magic stone fell into the hands of the Black Bulls.\Yes.\No matter. response:	We can take care of the Black Bulls at any time.
context: Come back here!\Ow, ow, ow, ow, ow, ow, ow, ow!\The heck are you doing, you jerk?!\So Heath was... I see.\So the magic stone fell into the hands of the Black Bulls.\Yes.\No matter.\We can take care of the Black Bulls at any time. response:	Let them hold on to the magic stone for a while.
context: Ow, ow, ow, ow, ow, ow, ow, ow!\The heck are you doing, you jerk?!\So Heath was... I see.\So the magic stone fell into the hands of the Black Bulls.\Yes.\No matter.\We can take care of the Black Bulls at any time.\Let them hold on to the magic stone for a while. response:	Our master's resurrection is close at hand.
context: The heck are you doing, you jerk?!\So Heath was... I see.\So the magic stone fell into the hands of the Black Bulls.\Yes.\No matter.\We can take care of the Black Bulls at any time.\Let them hold on to the magic stone for a while.\Our master's resurrection is close at hand. response:	No one can escape from here
context: So Heath was... I see.\So the magic stone fell into the hands of the Black Bulls.\Yes.\No matter.\We can take care of the Black Bulls at any time.\Let them hold on to the magic stone for a while.\Our master's resurrection is close at hand.\No one can escape from here response:	Once again in the small closed off classroom
context: So the magic stone fell into the hands of the Black Bulls.\Yes.\No matter.\We can take care of the Black Bulls at any time.\Let them hold on to the magic stone for a while.\Our master's resurrection is close at hand.\No one can escape from here\Once again in the small closed off classroom response:	The star of the class was shining yet again
context: Yes.\No matter.\We can take care of the Black Bulls at any time.\Let them hold on to the magic stone for a while.\Our master's resurrection is close at hand.\No one can escape from here\Once again in the small closed off classroom\The star of the class was shining yet again response:	They shine so bright that I close my eyes
context: No matter.\We can take care of the Black Bulls at any time.\Let them hold on to the magic stone for a while.\Our master's resurrection is close at hand.\No one can escape from here\Once again in the small closed off classroom\The star of the class was shining yet again\They shine so bright that I close my eyes response:	I've thought many times
context: We can take care of the Black Bulls at any time.\Let them hold on to the magic stone for a while.\Our master's resurrection is close at hand.\No one can escape from here\Once again in the small closed off classroom\The star of the class was shining yet again\They shine so bright that I close my eyes\I've thought many times response:	That the revolution was within my hands
context: Let them hold on to the magic stone for a while.\Our master's resurrection is close at hand.\No one can escape from here\Once again in the small closed off classroom\The star of the class was shining yet again\They shine so bright that I close my eyes\I've thought many times\That the revolution was within my hands response:	Isn't it strange? If you want to laugh, go ahead and laugh
context: Our master's resurrection is close at hand.\No one can escape from here\Once again in the small closed off classroom\The star of the class was shining yet again\They shine so bright that I close my eyes\I've thought many times\That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh response:	The rest of us who were left behind wanted to become something
context: No one can escape from here\Once again in the small closed off classroom\The star of the class was shining yet again\They shine so bright that I close my eyes\I've thought many times\That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something response:	We repeat the same morning over and over
context: Once again in the small closed off classroom\The star of the class was shining yet again\They shine so bright that I close my eyes\I've thought many times\That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something\We repeat the same morning over and over response:	You're the only one who can choose your tomorrow
context: The star of the class was shining yet again\They shine so bright that I close my eyes\I've thought many times\That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something\We repeat the same morning over and over\You're the only one who can choose your tomorrow response:	Let's go beyond our current selves
context: They shine so bright that I close my eyes\I've thought many times\That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something\We repeat the same morning over and over\You're the only one who can choose your tomorrow\Let's go beyond our current selves response:	Petit Clover!
context: I've thought many times\That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something\We repeat the same morning over and over\You're the only one who can choose your tomorrow\Let's go beyond our current selves\Petit Clover! response:	Who's the Most Similar?
context: That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something\We repeat the same morning over and over\You're the only one who can choose your tomorrow\Let's go beyond our current selves\Petit Clover!\Who's the Most Similar? response:	Who's the Most Similar?
context: Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something\We repeat the same morning over and over\You're the only one who can choose your tomorrow\Let's go beyond our current selves\Petit Clover!\Who's the Most Similar?\Who's the Most Similar? response:	The winner is...
context: The rest of us who were left behind wanted to become something\We repeat the same morning over and over\You're the only one who can choose your tomorrow\Let's go beyond our current selves\Petit Clover!\Who's the Most Similar?\Who's the Most Similar?\The winner is... response:	this bird.
context: We repeat the same morning over and over\You're the only one who can choose your tomorrow\Let's go beyond our current selves\Petit Clover!\Who's the Most Similar?\Who's the Most Similar?\The winner is...\this bird. response:	What?!
context: You're the only one who can choose your tomorrow\Let's go beyond our current selves\Petit Clover!\Who's the Most Similar?\Who's the Most Similar?\The winner is...\this bird.\What?! response:	Magna, you've grown so much.
context: Let's go beyond our current selves\Petit Clover!\Who's the Most Similar?\Who's the Most Similar?\The winner is...\this bird.\What?!\Magna, you've grown so much. response:	You're no longer just a delinquent. You're a real man now.
context: Petit Clover!\Who's the Most Similar?\Who's the Most Similar?\The winner is...\this bird.\What?!\Magna, you've grown so much.\You're no longer just a delinquent. You're a real man now. response:	You're on fire! You're shining!
context: Who's the Most Similar?\Who's the Most Similar?\The winner is...\this bird.\What?!\Magna, you've grown so much.\You're no longer just a delinquent. You're a real man now.\You're on fire! You're shining! response:	Page 11 What Happened on a Certain Day in the Castle Town
context: Who's the Most Similar?\The winner is...\this bird.\What?!\Magna, you've grown so much.\You're no longer just a delinquent. You're a real man now.\You're on fire! You're shining!\Page 11 What Happened on a Certain Day in the Castle Town response:	What Happened on a Certain Day in the Castle Town.
context: The winner is...\this bird.\What?!\Magna, you've grown so much.\You're no longer just a delinquent. You're a real man now.\You're on fire! You're shining!\Page 11 What Happened on a Certain Day in the Castle Town\What Happened on a Certain Day in the Castle Town. response:	Not giving up is my magic!
