context: Oh, no! Jellal's been brought back to life! response:	But...
context: Then how about this, I wonder?\Oh, crap!\He slipped out?\You're slow!\What are you, slow in the head?\Oh, that's rich.\You're the one that's slow in the head!\Your weak point is the weakness of your attacks! response:	No matter how fast you are, you can't seal the deal!
context: Oh, crap!\He slipped out?\You're slow!\What are you, slow in the head?\Oh, that's rich.\You're the one that's slow in the head!\Your weak point is the weakness of your attacks!\No matter how fast you are, you can't seal the deal! response:	Ice Make Hedgehog!
context: He slipped out?\You're slow!\What are you, slow in the head?\Oh, that's rich.\You're the one that's slow in the head!\Your weak point is the weakness of your attacks!\No matter how fast you are, you can't seal the deal!\Ice Make Hedgehog! response:	Close in on me, and you're shish kebab...
context: You're slow!\What are you, slow in the head?\Oh, that's rich.\You're the one that's slow in the head!\Your weak point is the weakness of your attacks!\No matter how fast you are, you can't seal the deal!\Ice Make Hedgehog!\Close in on me, and you're shish kebab... response:	So what'll you do?
context: What are you, slow in the head?\Oh, that's rich.\You're the one that's slow in the head!\Your weak point is the weakness of your attacks!\No matter how fast you are, you can't seal the deal!\Ice Make Hedgehog!\Close in on me, and you're shish kebab...\So what'll you do? response:	Come at me with that speed you're so proud of!
context: Oh, that's rich.\You're the one that's slow in the head!\Your weak point is the weakness of your attacks!\No matter how fast you are, you can't seal the deal!\Ice Make Hedgehog!\Close in on me, and you're shish kebab...\So what'll you do?\Come at me with that speed you're so proud of! response:	Such a fool you are...
context: You're the one that's slow in the head!\Your weak point is the weakness of your attacks!\No matter how fast you are, you can't seal the deal!\Ice Make Hedgehog!\Close in on me, and you're shish kebab...\So what'll you do?\Come at me with that speed you're so proud of!\Such a fool you are... response:	Gear Change... Red Zone!
context: Your weak point is the weakness of your attacks!\No matter how fast you are, you can't seal the deal!\Ice Make Hedgehog!\Close in on me, and you're shish kebab...\So what'll you do?\Come at me with that speed you're so proud of!\Such a fool you are...\Gear Change... Red Zone! response:	Now that was my top speed.
context: No matter how fast you are, you can't seal the deal!\Ice Make Hedgehog!\Close in on me, and you're shish kebab...\So what'll you do?\Come at me with that speed you're so proud of!\Such a fool you are...\Gear Change... Red Zone!\Now that was my top speed. response:	You think I'd be serious at first against weaker opponents like you?
context: Ice Make Hedgehog!\Close in on me, and you're shish kebab...\So what'll you do?\Come at me with that speed you're so proud of!\Such a fool you are...\Gear Change... Red Zone!\Now that was my top speed.\You think I'd be serious at first against weaker opponents like you? response:	Really?
context: Close in on me, and you're shish kebab...\So what'll you do?\Come at me with that speed you're so proud of!\Such a fool you are...\Gear Change... Red Zone!\Now that was my top speed.\You think I'd be serious at first against weaker opponents like you?\Really? response:	I'm not done yet!
context: So what'll you do?\Come at me with that speed you're so proud of!\Such a fool you are...\Gear Change... Red Zone!\Now that was my top speed.\You think I'd be serious at first against weaker opponents like you?\Really?\I'm not done yet! response:	Hey now...
context: Come at me with that speed you're so proud of!\Such a fool you are...\Gear Change... Red Zone!\Now that was my top speed.\You think I'd be serious at first against weaker opponents like you?\Really?\I'm not done yet!\Hey now... response:	Where do you think you're going?
context: Such a fool you are...\Gear Change... Red Zone!\Now that was my top speed.\You think I'd be serious at first against weaker opponents like you?\Really?\I'm not done yet!\Hey now...\Where do you think you're going? response:	Lyon-sama...
context: Gear Change... Red Zone!\Now that was my top speed.\You think I'd be serious at first against weaker opponents like you?\Really?\I'm not done yet!\Hey now...\Where do you think you're going?\Lyon-sama... response:	What happened to that momentum you had at first?
context: Now that was my top speed.\You think I'd be serious at first against weaker opponents like you?\Really?\I'm not done yet!\Hey now...\Where do you think you're going?\Lyon-sama...\What happened to that momentum you had at first? response:	Well, you are damn tenacious...
context: You think I'd be serious at first against weaker opponents like you?\Really?\I'm not done yet!\Hey now...\Where do you think you're going?\Lyon-sama...\What happened to that momentum you had at first?\Well, you are damn tenacious... response:	How far is he going?
context: Really?\I'm not done yet!\Hey now...\Where do you think you're going?\Lyon-sama...\What happened to that momentum you had at first?\Well, you are damn tenacious...\How far is he going? response:	Ice Make Eagle!
context: I'm not done yet!\Hey now...\Where do you think you're going?\Lyon-sama...\What happened to that momentum you had at first?\Well, you are damn tenacious...\How far is he going?\Ice Make Eagle! response:	Don't you understand that you can't hit me?
context: Hey now...\Where do you think you're going?\Lyon-sama...\What happened to that momentum you had at first?\Well, you are damn tenacious...\How far is he going?\Ice Make Eagle!\Don't you understand that you can't hit me? response:	Hey, what's wrong? You think you can stop me with that, huh?
context: Where do you think you're going?\Lyon-sama...\What happened to that momentum you had at first?\Well, you are damn tenacious...\How far is he going?\Ice Make Eagle!\Don't you understand that you can't hit me?\Hey, what's wrong? You think you can stop me with that, huh? response:	You said that I don't have any way to seal the deal with you.
context: Lyon-sama...\What happened to that momentum you had at first?\Well, you are damn tenacious...\How far is he going?\Ice Make Eagle!\Don't you understand that you can't hit me?\Hey, what's wrong? You think you can stop me with that, huh?\You said that I don't have any way to seal the deal with you. response:	Well, since you asked...
context: What happened to that momentum you had at first?\Well, you are damn tenacious...\How far is he going?\Ice Make Eagle!\Don't you understand that you can't hit me?\Hey, what's wrong? You think you can stop me with that, huh?\You said that I don't have any way to seal the deal with you.\Well, since you asked... response:	This should do nicely.
context: Well, you are damn tenacious...\How far is he going?\Ice Make Eagle!\Don't you understand that you can't hit me?\Hey, what's wrong? You think you can stop me with that, huh?\You said that I don't have any way to seal the deal with you.\Well, since you asked...\This should do nicely. response:	As long as I have the speed, I can get you first, before you have a chance to use magic.
context: How far is he going?\Ice Make Eagle!\Don't you understand that you can't hit me?\Hey, what's wrong? You think you can stop me with that, huh?\You said that I don't have any way to seal the deal with you.\Well, since you asked...\This should do nicely.\As long as I have the speed, I can get you first, before you have a chance to use magic. response:	Well, there's nothing wrong with being a bit arrogant when you're young.
context: Ice Make Eagle!\Don't you understand that you can't hit me?\Hey, what's wrong? You think you can stop me with that, huh?\You said that I don't have any way to seal the deal with you.\Well, since you asked...\This should do nicely.\As long as I have the speed, I can get you first, before you have a chance to use magic.\Well, there's nothing wrong with being a bit arrogant when you're young. response:	But you were up against the wrong dude.
context: Don't you understand that you can't hit me?\Hey, what's wrong? You think you can stop me with that, huh?\You said that I don't have any way to seal the deal with you.\Well, since you asked...\This should do nicely.\As long as I have the speed, I can get you first, before you have a chance to use magic.\Well, there's nothing wrong with being a bit arrogant when you're young.\But you were up against the wrong dude. response:	I'm one of Oracion Seis.
context: Hey, what's wrong? You think you can stop me with that, huh?\You said that I don't have any way to seal the deal with you.\Well, since you asked...\This should do nicely.\As long as I have the speed, I can get you first, before you have a chance to use magic.\Well, there's nothing wrong with being a bit arrogant when you're young.\But you were up against the wrong dude.\I'm one of Oracion Seis. response:	Six Generals. Six Prayers.
context: You said that I don't have any way to seal the deal with you.\Well, since you asked...\This should do nicely.\As long as I have the speed, I can get you first, before you have a chance to use magic.\Well, there's nothing wrong with being a bit arrogant when you're young.\But you were up against the wrong dude.\I'm one of Oracion Seis.\Six Generals. Six Prayers. response:	Six Pillars that will never crumble.
context: Well, since you asked...\This should do nicely.\As long as I have the speed, I can get you first, before you have a chance to use magic.\Well, there's nothing wrong with being a bit arrogant when you're young.\But you were up against the wrong dude.\I'm one of Oracion Seis.\Six Generals. Six Prayers.\Six Pillars that will never crumble. response:	Only death awaits those who rock the pillars.
context: This should do nicely.\As long as I have the speed, I can get you first, before you have a chance to use magic.\Well, there's nothing wrong with being a bit arrogant when you're young.\But you were up against the wrong dude.\I'm one of Oracion Seis.\Six Generals. Six Prayers.\Six Pillars that will never crumble.\Only death awaits those who rock the pillars. response:	As I thought.
context: As long as I have the speed, I can get you first, before you have a chance to use magic.\Well, there's nothing wrong with being a bit arrogant when you're young.\But you were up against the wrong dude.\I'm one of Oracion Seis.\Six Generals. Six Prayers.\Six Pillars that will never crumble.\Only death awaits those who rock the pillars.\As I thought. response:	When I saw the birds flying by so fast in the sky, I figured out how your magic really works.
context: Well, there's nothing wrong with being a bit arrogant when you're young.\But you were up against the wrong dude.\I'm one of Oracion Seis.\Six Generals. Six Prayers.\Six Pillars that will never crumble.\Only death awaits those who rock the pillars.\As I thought.\When I saw the birds flying by so fast in the sky, I figured out how your magic really works. response:	Your magic doesn't increase your own speed.
context: But you were up against the wrong dude.\I'm one of Oracion Seis.\Six Generals. Six Prayers.\Six Pillars that will never crumble.\Only death awaits those who rock the pillars.\As I thought.\When I saw the birds flying by so fast in the sky, I figured out how your magic really works.\Your magic doesn't increase your own speed. response:	It lowers the speed of your opponents...
context: I'm one of Oracion Seis.\Six Generals. Six Prayers.\Six Pillars that will never crumble.\Only death awaits those who rock the pillars.\As I thought.\When I saw the birds flying by so fast in the sky, I figured out how your magic really works.\Your magic doesn't increase your own speed.\It lowers the speed of your opponents... response:	Or more accurately, it slows down their sense of time in a certain area.
context: Six Generals. Six Prayers.\Six Pillars that will never crumble.\Only death awaits those who rock the pillars.\As I thought.\When I saw the birds flying by so fast in the sky, I figured out how your magic really works.\Your magic doesn't increase your own speed.\It lowers the speed of your opponents...\Or more accurately, it slows down their sense of time in a certain area. response:	In other words, you slow me down.
context: Six Pillars that will never crumble.\Only death awaits those who rock the pillars.\As I thought.\When I saw the birds flying by so fast in the sky, I figured out how your magic really works.\Your magic doesn't increase your own speed.\It lowers the speed of your opponents...\Or more accurately, it slows down their sense of time in a certain area.\In other words, you slow me down. response:	And since the magic only affects a certain area,
context: Only death awaits those who rock the pillars.\As I thought.\When I saw the birds flying by so fast in the sky, I figured out how your magic really works.\Your magic doesn't increase your own speed.\It lowers the speed of your opponents...\Or more accurately, it slows down their sense of time in a certain area.\In other words, you slow me down.\And since the magic only affects a certain area, response:	when someone sees you from outside your range...
context: As I thought.\When I saw the birds flying by so fast in the sky, I figured out how your magic really works.\Your magic doesn't increase your own speed.\It lowers the speed of your opponents...\Or more accurately, it slows down their sense of time in a certain area.\In other words, you slow me down.\And since the magic only affects a certain area,\when someone sees you from outside your range... response:	They can take away your speed!
context: When I saw the birds flying by so fast in the sky, I figured out how your magic really works.\Your magic doesn't increase your own speed.\It lowers the speed of your opponents...\Or more accurately, it slows down their sense of time in a certain area.\In other words, you slow me down.\And since the magic only affects a certain area,\when someone sees you from outside your range...\They can take away your speed! response:	That's why you had me get so far away from him?
context: Your magic doesn't increase your own speed.\It lowers the speed of your opponents...\Or more accurately, it slows down their sense of time in a certain area.\In other words, you slow me down.\And since the magic only affects a certain area,\when someone sees you from outside your range...\They can take away your speed!\That's why you had me get so far away from him? response:	I see... I see it all!
context: It lowers the speed of your opponents...\Or more accurately, it slows down their sense of time in a certain area.\In other words, you slow me down.\And since the magic only affects a certain area,\when someone sees you from outside your range...\They can take away your speed!\That's why you had me get so far away from him?\I see... I see it all! response:	But at that range... There's no way he'll hit!
context: Or more accurately, it slows down their sense of time in a certain area.\In other words, you slow me down.\And since the magic only affects a certain area,\when someone sees you from outside your range...\They can take away your speed!\That's why you had me get so far away from him?\I see... I see it all!\But at that range... There's no way he'll hit! response:	Oh, he'll hit.
context: In other words, you slow me down.\And since the magic only affects a certain area,\when someone sees you from outside your range...\They can take away your speed!\That's why you had me get so far away from him?\I see... I see it all!\But at that range... There's no way he'll hit!\Oh, he'll hit. response:	It doesn't matter how far away he is!
context: And since the magic only affects a certain area,\when someone sees you from outside your range...\They can take away your speed!\That's why you had me get so far away from him?\I see... I see it all!\But at that range... There's no way he'll hit!\Oh, he'll hit.\It doesn't matter how far away he is! response:	'Cause there's nothing stronger than a member of Fairy Tail
context: when someone sees you from outside your range...\They can take away your speed!\That's why you had me get so far away from him?\I see... I see it all!\But at that range... There's no way he'll hit!\Oh, he'll hit.\It doesn't matter how far away he is!\'Cause there's nothing stronger than a member of Fairy Tail response:	and the strength of their passion!!
context: They can take away your speed!\That's why you had me get so far away from him?\I see... I see it all!\But at that range... There's no way he'll hit!\Oh, he'll hit.\It doesn't matter how far away he is!\'Cause there's nothing stronger than a member of Fairy Tail\and the strength of their passion!! response:	Super Freeze Arrow!
context: That's why you had me get so far away from him?\I see... I see it all!\But at that range... There's no way he'll hit!\Oh, he'll hit.\It doesn't matter how far away he is!\'Cause there's nothing stronger than a member of Fairy Tail\and the strength of their passion!!\Super Freeze Arrow! response:	It's fast!
context: I see... I see it all!\But at that range... There's no way he'll hit!\Oh, he'll hit.\It doesn't matter how far away he is!\'Cause there's nothing stronger than a member of Fairy Tail\and the strength of their passion!!\Super Freeze Arrow!\It's fast! response:	My prayer...
context: But at that range... There's no way he'll hit!\Oh, he'll hit.\It doesn't matter how far away he is!\'Cause there's nothing stronger than a member of Fairy Tail\and the strength of their passion!!\Super Freeze Arrow!\It's fast!\My prayer... response:	To be faster than anyone... To be faster...
context: Oh, he'll hit.\It doesn't matter how far away he is!\'Cause there's nothing stronger than a member of Fairy Tail\and the strength of their passion!!\Super Freeze Arrow!\It's fast!\My prayer...\To be faster than anyone... To be faster... response:	You did it, Lyon.
context: It doesn't matter how far away he is!\'Cause there's nothing stronger than a member of Fairy Tail\and the strength of their passion!!\Super Freeze Arrow!\It's fast!\My prayer...\To be faster than anyone... To be faster...\You did it, Lyon. response:	We still got five more of these guys.
context: 'Cause there's nothing stronger than a member of Fairy Tail\and the strength of their passion!!\Super Freeze Arrow!\It's fast!\My prayer...\To be faster than anyone... To be faster...\You did it, Lyon.\We still got five more of these guys. response:	I actually thought you two were fighting back there!
context: and the strength of their passion!!\Super Freeze Arrow!\It's fast!\My prayer...\To be faster than anyone... To be faster...\You did it, Lyon.\We still got five more of these guys.\I actually thought you two were fighting back there! response:	I'd expect nothing less from the older pupil.
context: Super Freeze Arrow!\It's fast!\My prayer...\To be faster than anyone... To be faster...\You did it, Lyon.\We still got five more of these guys.\I actually thought you two were fighting back there!\I'd expect nothing less from the older pupil. response:	Can you stand?
context: It's fast!\My prayer...\To be faster than anyone... To be faster...\You did it, Lyon.\We still got five more of these guys.\I actually thought you two were fighting back there!\I'd expect nothing less from the older pupil.\Can you stand? response:	Don't make fun of me.
context: My prayer...\To be faster than anyone... To be faster...\You did it, Lyon.\We still got five more of these guys.\I actually thought you two were fighting back there!\I'd expect nothing less from the older pupil.\Can you stand?\Don't make fun of me. response:	It's not over!
context: To be faster than anyone... To be faster...\You did it, Lyon.\We still got five more of these guys.\I actually thought you two were fighting back there!\I'd expect nothing less from the older pupil.\Can you stand?\Don't make fun of me.\It's not over! response:	I swear on the name Oracion Seis, if I go down in defeat, I'll take you with me!
context: You did it, Lyon.\We still got five more of these guys.\I actually thought you two were fighting back there!\I'd expect nothing less from the older pupil.\Can you stand?\Don't make fun of me.\It's not over!\I swear on the name Oracion Seis, if I go down in defeat, I'll take you with me! response:	That's...
context: We still got five more of these guys.\I actually thought you two were fighting back there!\I'd expect nothing less from the older pupil.\Can you stand?\Don't make fun of me.\It's not over!\I swear on the name Oracion Seis, if I go down in defeat, I'll take you with me!\That's... response:	An explosive lacrima...
context: I actually thought you two were fighting back there!\I'd expect nothing less from the older pupil.\Can you stand?\Don't make fun of me.\It's not over!\I swear on the name Oracion Seis, if I go down in defeat, I'll take you with me!\That's...\An explosive lacrima... response:	You bastard... Are you planning on...
context: I'd expect nothing less from the older pupil.\Can you stand?\Don't make fun of me.\It's not over!\I swear on the name Oracion Seis, if I go down in defeat, I'll take you with me!\That's...\An explosive lacrima...\You bastard... Are you planning on... response:	One man, one kill!
context: Can you stand?\Don't make fun of me.\It's not over!\I swear on the name Oracion Seis, if I go down in defeat, I'll take you with me!\That's...\An explosive lacrima...\You bastard... Are you planning on...\One man, one kill! response:	Why, you...
context: Don't make fun of me.\It's not over!\I swear on the name Oracion Seis, if I go down in defeat, I'll take you with me!\That's...\An explosive lacrima...\You bastard... Are you planning on...\One man, one kill!\Why, you... response:	Crap... Why do I have to run out of magic power now?
context: It's not over!\I swear on the name Oracion Seis, if I go down in defeat, I'll take you with me!\That's...\An explosive lacrima...\You bastard... Are you planning on...\One man, one kill!\Why, you...\Crap... Why do I have to run out of magic power now? response:	Lyon!
context: I swear on the name Oracion Seis, if I go down in defeat, I'll take you with me!\That's...\An explosive lacrima...\You bastard... Are you planning on...\One man, one kill!\Why, you...\Crap... Why do I have to run out of magic power now?\Lyon! response:	Lyon-sama!
context: That's...\An explosive lacrima...\You bastard... Are you planning on...\One man, one kill!\Why, you...\Crap... Why do I have to run out of magic power now?\Lyon!\Lyon-sama! response:	Sheesh...
context: An explosive lacrima...\You bastard... Are you planning on...\One man, one kill!\Why, you...\Crap... Why do I have to run out of magic power now?\Lyon!\Lyon-sama!\Sheesh... response:	The things I do for you, younger pupil...
context: You bastard... Are you planning on...\One man, one kill!\Why, you...\Crap... Why do I have to run out of magic power now?\Lyon!\Lyon-sama!\Sheesh...\The things I do for you, younger pupil... response:	Lyon!
context: One man, one kill!\Why, you...\Crap... Why do I have to run out of magic power now?\Lyon!\Lyon-sama!\Sheesh...\The things I do for you, younger pupil...\Lyon! response:	Lyon-sama!
context: Why, you...\Crap... Why do I have to run out of magic power now?\Lyon!\Lyon-sama!\Sheesh...\The things I do for you, younger pupil...\Lyon!\Lyon-sama! response:	Lyon!
context: Crap... Why do I have to run out of magic power now?\Lyon!\Lyon-sama!\Sheesh...\The things I do for you, younger pupil...\Lyon!\Lyon-sama!\Lyon! response:	Racer is... gone?
context: Lyon!\Lyon-sama!\Sheesh...\The things I do for you, younger pupil...\Lyon!\Lyon-sama!\Lyon!\Racer is... gone? response:	One corner of the Six Generals has broken?
context: Lyon-sama!\Sheesh...\The things I do for you, younger pupil...\Lyon!\Lyon-sama!\Lyon!\Racer is... gone?\One corner of the Six Generals has broken? response:	I underestimated our enemy!
context: Sheesh...\The things I do for you, younger pupil...\Lyon!\Lyon-sama!\Lyon!\Racer is... gone?\One corner of the Six Generals has broken?\I underestimated our enemy! response:	I never thought I would have to wake him up...
context: The things I do for you, younger pupil...\Lyon!\Lyon-sama!\Lyon!\Racer is... gone?\One corner of the Six Generals has broken?\I underestimated our enemy!\I never thought I would have to wake him up... response:	Midnight!
context: Lyon!\Lyon-sama!\Lyon!\Racer is... gone?\One corner of the Six Generals has broken?\I underestimated our enemy!\I never thought I would have to wake him up...\Midnight! response:	Awake?
context: Lyon-sama!\Lyon!\Racer is... gone?\One corner of the Six Generals has broken?\I underestimated our enemy!\I never thought I would have to wake him up...\Midnight!\Awake? response:	Get rid of every last one of them.
context: Lyon!\Racer is... gone?\One corner of the Six Generals has broken?\I underestimated our enemy!\I never thought I would have to wake him up...\Midnight!\Awake?\Get rid of every last one of them. response:	Yes... Father.
context: Racer is... gone?\One corner of the Six Generals has broken?\I underestimated our enemy!\I never thought I would have to wake him up...\Midnight!\Awake?\Get rid of every last one of them.\Yes... Father. response:	I sure wish I could breathe fire...
context: One corner of the Six Generals has broken?\I underestimated our enemy!\I never thought I would have to wake him up...\Midnight!\Awake?\Get rid of every last one of them.\Yes... Father.\I sure wish I could breathe fire... response:	What's this all of a sudden?
context: I underestimated our enemy!\I never thought I would have to wake him up...\Midnight!\Awake?\Get rid of every last one of them.\Yes... Father.\I sure wish I could breathe fire...\What's this all of a sudden? response:	'Cause I could fry fish, or light up dark places... It's handy!
context: I never thought I would have to wake him up...\Midnight!\Awake?\Get rid of every last one of them.\Yes... Father.\I sure wish I could breathe fire...\What's this all of a sudden?\'Cause I could fry fish, or light up dark places... It's handy! response:	Then why don't you try eating my flames?
context: Midnight!\Awake?\Get rid of every last one of them.\Yes... Father.\I sure wish I could breathe fire...\What's this all of a sudden?\'Cause I could fry fish, or light up dark places... It's handy!\Then why don't you try eating my flames? response:	It might let you use breath attacks!
context: Awake?\Get rid of every last one of them.\Yes... Father.\I sure wish I could breathe fire...\What's this all of a sudden?\'Cause I could fry fish, or light up dark places... It's handy!\Then why don't you try eating my flames?\It might let you use breath attacks! response:	Cats aren't good with hot food, so I'll pass.
context: Get rid of every last one of them.\Yes... Father.\I sure wish I could breathe fire...\What's this all of a sudden?\'Cause I could fry fish, or light up dark places... It's handy!\Then why don't you try eating my flames?\It might let you use breath attacks!\Cats aren't good with hot food, so I'll pass. response:	Next time: Darkness.
context: Yes... Father.\I sure wish I could breathe fire...\What's this all of a sudden?\'Cause I could fry fish, or light up dark places... It's handy!\Then why don't you try eating my flames?\It might let you use breath attacks!\Cats aren't good with hot food, so I'll pass.\Next time: Darkness. response:	Just try eating it, sheesh!
context: I sure wish I could breathe fire...\What's this all of a sudden?\'Cause I could fry fish, or light up dark places... It's handy!\Then why don't you try eating my flames?\It might let you use breath attacks!\Cats aren't good with hot food, so I'll pass.\Next time: Darkness.\Just try eating it, sheesh! response:	There's at least a chance, right?
context: What's this all of a sudden?\'Cause I could fry fish, or light up dark places... It's handy!\Then why don't you try eating my flames?\It might let you use breath attacks!\Cats aren't good with hot food, so I'll pass.\Next time: Darkness.\Just try eating it, sheesh!\There's at least a chance, right? response:	I guess you're right. Let's see here...
context: 'Cause I could fry fish, or light up dark places... It's handy!\Then why don't you try eating my flames?\It might let you use breath attacks!\Cats aren't good with hot food, so I'll pass.\Next time: Darkness.\Just try eating it, sheesh!\There's at least a chance, right?\I guess you're right. Let's see here... response:	Here.
