context: Vapor pressure stabilized. response:	It should work this time.
context: Dorothy and I will go alone.\You would leave me behind again?\Miss Chise...?\I'm a stronger asset than Dorothy!\I know.\Then why...\You came to us under the graces of Lord Horikawa.\We can't ask you to put yourself in danger. response:	Your concern is unnecessary!
context: You would leave me behind again?\Miss Chise...?\I'm a stronger asset than Dorothy!\I know.\Then why...\You came to us under the graces of Lord Horikawa.\We can't ask you to put yourself in danger.\Your concern is unnecessary! response:	I said I would go!
context: Miss Chise...?\I'm a stronger asset than Dorothy!\I know.\Then why...\You came to us under the graces of Lord Horikawa.\We can't ask you to put yourself in danger.\Your concern is unnecessary!\I said I would go! response:	Your Highness?
context: I'm a stronger asset than Dorothy!\I know.\Then why...\You came to us under the graces of Lord Horikawa.\We can't ask you to put yourself in danger.\Your concern is unnecessary!\I said I would go!\Your Highness? response:	I'm going, too.
context: I know.\Then why...\You came to us under the graces of Lord Horikawa.\We can't ask you to put yourself in danger.\Your concern is unnecessary!\I said I would go!\Your Highness?\I'm going, too. response:	No, you can't!
context: Then why...\You came to us under the graces of Lord Horikawa.\We can't ask you to put yourself in danger.\Your concern is unnecessary!\I said I would go!\Your Highness?\I'm going, too.\No, you can't! response:	I've been trained.
context: You came to us under the graces of Lord Horikawa.\We can't ask you to put yourself in danger.\Your concern is unnecessary!\I said I would go!\Your Highness?\I'm going, too.\No, you can't!\I've been trained. response:	Besides, if I go, you won't have to leave a guard with me.
context: We can't ask you to put yourself in danger.\Your concern is unnecessary!\I said I would go!\Your Highness?\I'm going, too.\No, you can't!\I've been trained.\Besides, if I go, you won't have to leave a guard with me. response:	Wait a minute, Princess.
context: Your concern is unnecessary!\I said I would go!\Your Highness?\I'm going, too.\No, you can't!\I've been trained.\Besides, if I go, you won't have to leave a guard with me.\Wait a minute, Princess. response:	This isn't some party we're talking about.
context: I said I would go!\Your Highness?\I'm going, too.\No, you can't!\I've been trained.\Besides, if I go, you won't have to leave a guard with me.\Wait a minute, Princess.\This isn't some party we're talking about. response:	It's too dangerous for an amateur.
context: Your Highness?\I'm going, too.\No, you can't!\I've been trained.\Besides, if I go, you won't have to leave a guard with me.\Wait a minute, Princess.\This isn't some party we're talking about.\It's too dangerous for an amateur. response:	I'd like to know why you're so eager to take the risk.
context: I'm going, too.\No, you can't!\I've been trained.\Besides, if I go, you won't have to leave a guard with me.\Wait a minute, Princess.\This isn't some party we're talking about.\It's too dangerous for an amateur.\I'd like to know why you're so eager to take the risk. response:	Come now, I've been in danger all along.
context: No, you can't!\I've been trained.\Besides, if I go, you won't have to leave a guard with me.\Wait a minute, Princess.\This isn't some party we're talking about.\It's too dangerous for an amateur.\I'd like to know why you're so eager to take the risk.\Come now, I've been in danger all along. response:	If word gets out that I'm a spy, it's over for me.
context: I've been trained.\Besides, if I go, you won't have to leave a guard with me.\Wait a minute, Princess.\This isn't some party we're talking about.\It's too dangerous for an amateur.\I'd like to know why you're so eager to take the risk.\Come now, I've been in danger all along.\If word gets out that I'm a spy, it's over for me. response:	I'm standing on a precipice... a bridge much narrower and more fragile than this one.
context: Besides, if I go, you won't have to leave a guard with me.\Wait a minute, Princess.\This isn't some party we're talking about.\It's too dangerous for an amateur.\I'd like to know why you're so eager to take the risk.\Come now, I've been in danger all along.\If word gets out that I'm a spy, it's over for me.\I'm standing on a precipice... a bridge much narrower and more fragile than this one. response:	That's no reason to put yourself in MORE danger!
context: Wait a minute, Princess.\This isn't some party we're talking about.\It's too dangerous for an amateur.\I'd like to know why you're so eager to take the risk.\Come now, I've been in danger all along.\If word gets out that I'm a spy, it's over for me.\I'm standing on a precipice... a bridge much narrower and more fragile than this one.\That's no reason to put yourself in MORE danger! response:	It's the same either way.
context: This isn't some party we're talking about.\It's too dangerous for an amateur.\I'd like to know why you're so eager to take the risk.\Come now, I've been in danger all along.\If word gets out that I'm a spy, it's over for me.\I'm standing on a precipice... a bridge much narrower and more fragile than this one.\That's no reason to put yourself in MORE danger!\It's the same either way. response:	If you all fail, that will lead them directly to my secret.
context: It's too dangerous for an amateur.\I'd like to know why you're so eager to take the risk.\Come now, I've been in danger all along.\If word gets out that I'm a spy, it's over for me.\I'm standing on a precipice... a bridge much narrower and more fragile than this one.\That's no reason to put yourself in MORE danger!\It's the same either way.\If you all fail, that will lead them directly to my secret. response:	And in that case,
context: I'd like to know why you're so eager to take the risk.\Come now, I've been in danger all along.\If word gets out that I'm a spy, it's over for me.\I'm standing on a precipice... a bridge much narrower and more fragile than this one.\That's no reason to put yourself in MORE danger!\It's the same either way.\If you all fail, that will lead them directly to my secret.\And in that case, response:	I must put my life on the line to make this plan succeed.
context: Come now, I've been in danger all along.\If word gets out that I'm a spy, it's over for me.\I'm standing on a precipice... a bridge much narrower and more fragile than this one.\That's no reason to put yourself in MORE danger!\It's the same either way.\If you all fail, that will lead them directly to my secret.\And in that case,\I must put my life on the line to make this plan succeed. response:	If Princess is a double agent,
context: If word gets out that I'm a spy, it's over for me.\I'm standing on a precipice... a bridge much narrower and more fragile than this one.\That's no reason to put yourself in MORE danger!\It's the same either way.\If you all fail, that will lead them directly to my secret.\And in that case,\I must put my life on the line to make this plan succeed.\If Princess is a double agent, response:	it shouldn't matter if her secret gets out- she would have a safety net.
context: I'm standing on a precipice... a bridge much narrower and more fragile than this one.\That's no reason to put yourself in MORE danger!\It's the same either way.\If you all fail, that will lead them directly to my secret.\And in that case,\I must put my life on the line to make this plan succeed.\If Princess is a double agent,\it shouldn't matter if her secret gets out- she would have a safety net. response:	There would be no reason to take such a big risk.
context: That's no reason to put yourself in MORE danger!\It's the same either way.\If you all fail, that will lead them directly to my secret.\And in that case,\I must put my life on the line to make this plan succeed.\If Princess is a double agent,\it shouldn't matter if her secret gets out- she would have a safety net.\There would be no reason to take such a big risk. response:	All right, Princess.
context: It's the same either way.\If you all fail, that will lead them directly to my secret.\And in that case,\I must put my life on the line to make this plan succeed.\If Princess is a double agent,\it shouldn't matter if her secret gets out- she would have a safety net.\There would be no reason to take such a big risk.\All right, Princess. response:	We're on this boat together, then.
context: If you all fail, that will lead them directly to my secret.\And in that case,\I must put my life on the line to make this plan succeed.\If Princess is a double agent,\it shouldn't matter if her secret gets out- she would have a safety net.\There would be no reason to take such a big risk.\All right, Princess.\We're on this boat together, then. response:	Yes!
context: And in that case,\I must put my life on the line to make this plan succeed.\If Princess is a double agent,\it shouldn't matter if her secret gets out- she would have a safety net.\There would be no reason to take such a big risk.\All right, Princess.\We're on this boat together, then.\Yes! response:	What was that?
context: I must put my life on the line to make this plan succeed.\If Princess is a double agent,\it shouldn't matter if her secret gets out- she would have a safety net.\There would be no reason to take such a big risk.\All right, Princess.\We're on this boat together, then.\Yes!\What was that? response:	Did you kill him?
context: If Princess is a double agent,\it shouldn't matter if her secret gets out- she would have a safety net.\There would be no reason to take such a big risk.\All right, Princess.\We're on this boat together, then.\Yes!\What was that?\Did you kill him? response:	He wasn't strong enough to merit killing.
context: it shouldn't matter if her secret gets out- she would have a safety net.\There would be no reason to take such a big risk.\All right, Princess.\We're on this boat together, then.\Yes!\What was that?\Did you kill him?\He wasn't strong enough to merit killing. response:	What do we do now?
context: There would be no reason to take such a big risk.\All right, Princess.\We're on this boat together, then.\Yes!\What was that?\Did you kill him?\He wasn't strong enough to merit killing.\What do we do now? response:	We split into two groups.
context: All right, Princess.\We're on this boat together, then.\Yes!\What was that?\Did you kill him?\He wasn't strong enough to merit killing.\What do we do now?\We split into two groups. response:	Princess and I will go aft.
context: We're on this boat together, then.\Yes!\What was that?\Did you kill him?\He wasn't strong enough to merit killing.\What do we do now?\We split into two groups.\Princess and I will go aft. response:	Right. We'll take the bow, then.
context: Yes!\What was that?\Did you kill him?\He wasn't strong enough to merit killing.\What do we do now?\We split into two groups.\Princess and I will go aft.\Right. We'll take the bow, then. response:	Charlotte.
context: What was that?\Did you kill him?\He wasn't strong enough to merit killing.\What do we do now?\We split into two groups.\Princess and I will go aft.\Right. We'll take the bow, then.\Charlotte. response:	Are you angry?
context: Did you kill him?\He wasn't strong enough to merit killing.\What do we do now?\We split into two groups.\Princess and I will go aft.\Right. We'll take the bow, then.\Charlotte.\Are you angry? response:	Of course I am, after that stunt...
context: He wasn't strong enough to merit killing.\What do we do now?\We split into two groups.\Princess and I will go aft.\Right. We'll take the bow, then.\Charlotte.\Are you angry?\Of course I am, after that stunt... response:	I was worried sick.
context: What do we do now?\We split into two groups.\Princess and I will go aft.\Right. We'll take the bow, then.\Charlotte.\Are you angry?\Of course I am, after that stunt...\I was worried sick. response:	I'm sorry.
context: We split into two groups.\Princess and I will go aft.\Right. We'll take the bow, then.\Charlotte.\Are you angry?\Of course I am, after that stunt...\I was worried sick.\I'm sorry. response:	Meanie. You like to see me squirm.
context: Princess and I will go aft.\Right. We'll take the bow, then.\Charlotte.\Are you angry?\Of course I am, after that stunt...\I was worried sick.\I'm sorry.\Meanie. You like to see me squirm. response:	Can you blame me, Charlotte?
context: Right. We'll take the bow, then.\Charlotte.\Are you angry?\Of course I am, after that stunt...\I was worried sick.\I'm sorry.\Meanie. You like to see me squirm.\Can you blame me, Charlotte? response:	You act like I'm the only important one.
context: Charlotte.\Are you angry?\Of course I am, after that stunt...\I was worried sick.\I'm sorry.\Meanie. You like to see me squirm.\Can you blame me, Charlotte?\You act like I'm the only important one. response:	Because...
context: Are you angry?\Of course I am, after that stunt...\I was worried sick.\I'm sorry.\Meanie. You like to see me squirm.\Can you blame me, Charlotte?\You act like I'm the only important one.\Because... response:	When we were children, you talked to me like normal.
context: Of course I am, after that stunt...\I was worried sick.\I'm sorry.\Meanie. You like to see me squirm.\Can you blame me, Charlotte?\You act like I'm the only important one.\Because...\When we were children, you talked to me like normal. response:	If I did that now, people would know we're old friends.
context: I was worried sick.\I'm sorry.\Meanie. You like to see me squirm.\Can you blame me, Charlotte?\You act like I'm the only important one.\Because...\When we were children, you talked to me like normal.\If I did that now, people would know we're old friends. response:	But we're ALL friends.
context: I'm sorry.\Meanie. You like to see me squirm.\Can you blame me, Charlotte?\You act like I'm the only important one.\Because...\When we were children, you talked to me like normal.\If I did that now, people would know we're old friends.\But we're ALL friends. response:	All right, then, why don't we say we met and realized we're kindred spirits?
context: Meanie. You like to see me squirm.\Can you blame me, Charlotte?\You act like I'm the only important one.\Because...\When we were children, you talked to me like normal.\If I did that now, people would know we're old friends.\But we're ALL friends.\All right, then, why don't we say we met and realized we're kindred spirits? response:	Then we wouldn't have to hide our friendship.
context: Can you blame me, Charlotte?\You act like I'm the only important one.\Because...\When we were children, you talked to me like normal.\If I did that now, people would know we're old friends.\But we're ALL friends.\All right, then, why don't we say we met and realized we're kindred spirits?\Then we wouldn't have to hide our friendship. response:	No.
context: You act like I'm the only important one.\Because...\When we were children, you talked to me like normal.\If I did that now, people would know we're old friends.\But we're ALL friends.\All right, then, why don't we say we met and realized we're kindred spirits?\Then we wouldn't have to hide our friendship.\No. response:	I would lose control of myself.
context: Because...\When we were children, you talked to me like normal.\If I did that now, people would know we're old friends.\But we're ALL friends.\All right, then, why don't we say we met and realized we're kindred spirits?\Then we wouldn't have to hide our friendship.\No.\I would lose control of myself. response:	I think it's good to let your hair down on occasion.
context: When we were children, you talked to me like normal.\If I did that now, people would know we're old friends.\But we're ALL friends.\All right, then, why don't we say we met and realized we're kindred spirits?\Then we wouldn't have to hide our friendship.\No.\I would lose control of myself.\I think it's good to let your hair down on occasion. response:	Like you used to.
context: If I did that now, people would know we're old friends.\But we're ALL friends.\All right, then, why don't we say we met and realized we're kindred spirits?\Then we wouldn't have to hide our friendship.\No.\I would lose control of myself.\I think it's good to let your hair down on occasion.\Like you used to. response:	I hate who I used to be.
context: But we're ALL friends.\All right, then, why don't we say we met and realized we're kindred spirits?\Then we wouldn't have to hide our friendship.\No.\I would lose control of myself.\I think it's good to let your hair down on occasion.\Like you used to.\I hate who I used to be. response:	But it's the old you
context: All right, then, why don't we say we met and realized we're kindred spirits?\Then we wouldn't have to hide our friendship.\No.\I would lose control of myself.\I think it's good to let your hair down on occasion.\Like you used to.\I hate who I used to be.\But it's the old you response:	that I love so much.
context: Then we wouldn't have to hide our friendship.\No.\I would lose control of myself.\I think it's good to let your hair down on occasion.\Like you used to.\I hate who I used to be.\But it's the old you\that I love so much. response:	You've finally shown your true colors.
context: No.\I would lose control of myself.\I think it's good to let your hair down on occasion.\Like you used to.\I hate who I used to be.\But it's the old you\that I love so much.\You've finally shown your true colors. response:	What?!
context: I would lose control of myself.\I think it's good to let your hair down on occasion.\Like you used to.\I hate who I used to be.\But it's the old you\that I love so much.\You've finally shown your true colors.\What?! response:	The Cavorite research team, I presume?
context: I think it's good to let your hair down on occasion.\Like you used to.\I hate who I used to be.\But it's the old you\that I love so much.\You've finally shown your true colors.\What?!\The Cavorite research team, I presume? response:	We'd like you to come with us.
context: Like you used to.\I hate who I used to be.\But it's the old you\that I love so much.\You've finally shown your true colors.\What?!\The Cavorite research team, I presume?\We'd like you to come with us. response:	You're...
context: I hate who I used to be.\But it's the old you\that I love so much.\You've finally shown your true colors.\What?!\The Cavorite research team, I presume?\We'd like you to come with us.\You're... response:	You can't be...
context: But it's the old you\that I love so much.\You've finally shown your true colors.\What?!\The Cavorite research team, I presume?\We'd like you to come with us.\You're...\You can't be... response:	We are spies.
context: that I love so much.\You've finally shown your true colors.\What?!\The Cavorite research team, I presume?\We'd like you to come with us.\You're...\You can't be...\We are spies. response:	We haven't settled on a name yet.
context: You've finally shown your true colors.\What?!\The Cavorite research team, I presume?\We'd like you to come with us.\You're...\You can't be...\We are spies.\We haven't settled on a name yet. response:	Not only did we get the prototype, but we have the researchers in custody.
context: What?!\The Cavorite research team, I presume?\We'd like you to come with us.\You're...\You can't be...\We are spies.\We haven't settled on a name yet.\Not only did we get the prototype, but we have the researchers in custody. response:	The results were even better than we hoped.
context: The Cavorite research team, I presume?\We'd like you to come with us.\You're...\You can't be...\We are spies.\We haven't settled on a name yet.\Not only did we get the prototype, but we have the researchers in custody.\The results were even better than we hoped. response:	Now Princess is clear of all suspicion.
context: We'd like you to come with us.\You're...\You can't be...\We are spies.\We haven't settled on a name yet.\Not only did we get the prototype, but we have the researchers in custody.\The results were even better than we hoped.\Now Princess is clear of all suspicion. response:	No.
context: You're...\You can't be...\We are spies.\We haven't settled on a name yet.\Not only did we get the prototype, but we have the researchers in custody.\The results were even better than we hoped.\Now Princess is clear of all suspicion.\No. response:	This world isn't black and white.
context: You can't be...\We are spies.\We haven't settled on a name yet.\Not only did we get the prototype, but we have the researchers in custody.\The results were even better than we hoped.\Now Princess is clear of all suspicion.\No.\This world isn't black and white. response:	Only black and grey.
context: We are spies.\We haven't settled on a name yet.\Not only did we get the prototype, but we have the researchers in custody.\The results were even better than we hoped.\Now Princess is clear of all suspicion.\No.\This world isn't black and white.\Only black and grey. response:	And the princess is grey.
context: We haven't settled on a name yet.\Not only did we get the prototype, but we have the researchers in custody.\The results were even better than we hoped.\Now Princess is clear of all suspicion.\No.\This world isn't black and white.\Only black and grey.\And the princess is grey. response:	Keep a constant watch on her.
context: Not only did we get the prototype, but we have the researchers in custody.\The results were even better than we hoped.\Now Princess is clear of all suspicion.\No.\This world isn't black and white.\Only black and grey.\And the princess is grey.\Keep a constant watch on her. response:	All right, then.
context: The results were even better than we hoped.\Now Princess is clear of all suspicion.\No.\This world isn't black and white.\Only black and grey.\And the princess is grey.\Keep a constant watch on her.\All right, then. response:	As part of the food series, let's be Team Carrot!
context: Now Princess is clear of all suspicion.\No.\This world isn't black and white.\Only black and grey.\And the princess is grey.\Keep a constant watch on her.\All right, then.\As part of the food series, let's be Team Carrot! response:	These are getting worse and worse.
context: No.\This world isn't black and white.\Only black and grey.\And the princess is grey.\Keep a constant watch on her.\All right, then.\As part of the food series, let's be Team Carrot!\These are getting worse and worse. response:	I don't especially like carrots.
context: This world isn't black and white.\Only black and grey.\And the princess is grey.\Keep a constant watch on her.\All right, then.\As part of the food series, let's be Team Carrot!\These are getting worse and worse.\I don't especially like carrots. response:	Your Highness! You mustn't be picky!
context: Only black and grey.\And the princess is grey.\Keep a constant watch on her.\All right, then.\As part of the food series, let's be Team Carrot!\These are getting worse and worse.\I don't especially like carrots.\Your Highness! You mustn't be picky! response:	I know. What about Team White Pigeon?
context: And the princess is grey.\Keep a constant watch on her.\All right, then.\As part of the food series, let's be Team Carrot!\These are getting worse and worse.\I don't especially like carrots.\Your Highness! You mustn't be picky!\I know. What about Team White Pigeon? response:	Pigeon?
context: Keep a constant watch on her.\All right, then.\As part of the food series, let's be Team Carrot!\These are getting worse and worse.\I don't especially like carrots.\Your Highness! You mustn't be picky!\I know. What about Team White Pigeon?\Pigeon? response:	Not bad.
context: All right, then.\As part of the food series, let's be Team Carrot!\These are getting worse and worse.\I don't especially like carrots.\Your Highness! You mustn't be picky!\I know. What about Team White Pigeon?\Pigeon?\Not bad. response:	It's pretty and cute. I like it!
context: As part of the food series, let's be Team Carrot!\These are getting worse and worse.\I don't especially like carrots.\Your Highness! You mustn't be picky!\I know. What about Team White Pigeon?\Pigeon?\Not bad.\It's pretty and cute. I like it! response:	They do call spies pigeons.
context: These are getting worse and worse.\I don't especially like carrots.\Your Highness! You mustn't be picky!\I know. What about Team White Pigeon?\Pigeon?\Not bad.\It's pretty and cute. I like it!\They do call spies pigeons. response:	Really?
context: I don't especially like carrots.\Your Highness! You mustn't be picky!\I know. What about Team White Pigeon?\Pigeon?\Not bad.\It's pretty and cute. I like it!\They do call spies pigeons.\Really? response:	After the Flood, Noah sent a dove... a pigeon... to scout for land.
context: Your Highness! You mustn't be picky!\I know. What about Team White Pigeon?\Pigeon?\Not bad.\It's pretty and cute. I like it!\They do call spies pigeons.\Really?\After the Flood, Noah sent a dove... a pigeon... to scout for land. response:	Then that settles it.
context: I know. What about Team White Pigeon?\Pigeon?\Not bad.\It's pretty and cute. I like it!\They do call spies pigeons.\Really?\After the Flood, Noah sent a dove... a pigeon... to scout for land.\Then that settles it. response:	What do you think, Miss Dorothy?
context: Pigeon?\Not bad.\It's pretty and cute. I like it!\They do call spies pigeons.\Really?\After the Flood, Noah sent a dove... a pigeon... to scout for land.\Then that settles it.\What do you think, Miss Dorothy? response:	I like it. Team White Pigeon.
context: Not bad.\It's pretty and cute. I like it!\They do call spies pigeons.\Really?\After the Flood, Noah sent a dove... a pigeon... to scout for land.\Then that settles it.\What do you think, Miss Dorothy?\I like it. Team White Pigeon. response:	I especially like that it's not grey.
context: It's pretty and cute. I like it!\They do call spies pigeons.\Really?\After the Flood, Noah sent a dove... a pigeon... to scout for land.\Then that settles it.\What do you think, Miss Dorothy?\I like it. Team White Pigeon.\I especially like that it's not grey. response:	I knew you'd like it!
