context: What was that? response:	Wouldn't it be in the Alliance's best interests to ally ourselves with that mage Siluca?
context: Hey, there...\My dear cousin.\Head back to the stronghold to aid Lady Marrine!\Fall back! Fall back!\Sir Theo!\Whoa!\Aishela!\Thank goodness! response:	I wouldn't know what I'd do if you never woke up again!
context: My dear cousin.\Head back to the stronghold to aid Lady Marrine!\Fall back! Fall back!\Sir Theo!\Whoa!\Aishela!\Thank goodness!\I wouldn't know what I'd do if you never woke up again! response:	I thought I was a goner, too.
context: Head back to the stronghold to aid Lady Marrine!\Fall back! Fall back!\Sir Theo!\Whoa!\Aishela!\Thank goodness!\I wouldn't know what I'd do if you never woke up again!\I thought I was a goner, too. response:	It's all thanks to Priscilla!
context: Fall back! Fall back!\Sir Theo!\Whoa!\Aishela!\Thank goodness!\I wouldn't know what I'd do if you never woke up again!\I thought I was a goner, too.\It's all thanks to Priscilla! response:	If you can heal wounds that serious, then as I thought, you must be Farnese's G-
context: Sir Theo!\Whoa!\Aishela!\Thank goodness!\I wouldn't know what I'd do if you never woke up again!\I thought I was a goner, too.\It's all thanks to Priscilla!\If you can heal wounds that serious, then as I thought, you must be Farnese's G- response:	It was all God's will!
context: Whoa!\Aishela!\Thank goodness!\I wouldn't know what I'd do if you never woke up again!\I thought I was a goner, too.\It's all thanks to Priscilla!\If you can heal wounds that serious, then as I thought, you must be Farnese's G-\It was all God's will! response:	Th-Thanks.
context: Aishela!\Thank goodness!\I wouldn't know what I'd do if you never woke up again!\I thought I was a goner, too.\It's all thanks to Priscilla!\If you can heal wounds that serious, then as I thought, you must be Farnese's G-\It was all God's will!\Th-Thanks. response:	Here's my report.
context: Thank goodness!\I wouldn't know what I'd do if you never woke up again!\I thought I was a goner, too.\It's all thanks to Priscilla!\If you can heal wounds that serious, then as I thought, you must be Farnese's G-\It was all God's will!\Th-Thanks.\Here's my report. response:	The Knights of Valdrind suffered immense casualties.
context: I wouldn't know what I'd do if you never woke up again!\I thought I was a goner, too.\It's all thanks to Priscilla!\If you can heal wounds that serious, then as I thought, you must be Farnese's G-\It was all God's will!\Th-Thanks.\Here's my report.\The Knights of Valdrind suffered immense casualties. response:	They must've decided that further combat would be ill-advised,
context: I thought I was a goner, too.\It's all thanks to Priscilla!\If you can heal wounds that serious, then as I thought, you must be Farnese's G-\It was all God's will!\Th-Thanks.\Here's my report.\The Knights of Valdrind suffered immense casualties.\They must've decided that further combat would be ill-advised, response:	as the entire force is in retreat.
context: It's all thanks to Priscilla!\If you can heal wounds that serious, then as I thought, you must be Farnese's G-\It was all God's will!\Th-Thanks.\Here's my report.\The Knights of Valdrind suffered immense casualties.\They must've decided that further combat would be ill-advised,\as the entire force is in retreat. response:	Guess we found a way out of that jam!
context: If you can heal wounds that serious, then as I thought, you must be Farnese's G-\It was all God's will!\Th-Thanks.\Here's my report.\The Knights of Valdrind suffered immense casualties.\They must've decided that further combat would be ill-advised,\as the entire force is in retreat.\Guess we found a way out of that jam! response:	That said, under no circumstances is the Earl of Artuk our ally.
context: It was all God's will!\Th-Thanks.\Here's my report.\The Knights of Valdrind suffered immense casualties.\They must've decided that further combat would be ill-advised,\as the entire force is in retreat.\Guess we found a way out of that jam!\That said, under no circumstances is the Earl of Artuk our ally. response:	There's no telling how he'll deal with you.
context: Th-Thanks.\Here's my report.\The Knights of Valdrind suffered immense casualties.\They must've decided that further combat would be ill-advised,\as the entire force is in retreat.\Guess we found a way out of that jam!\That said, under no circumstances is the Earl of Artuk our ally.\There's no telling how he'll deal with you. response:	Speaking of the Earl of Artuk...
context: Here's my report.\The Knights of Valdrind suffered immense casualties.\They must've decided that further combat would be ill-advised,\as the entire force is in retreat.\Guess we found a way out of that jam!\That said, under no circumstances is the Earl of Artuk our ally.\There's no telling how he'll deal with you.\Speaking of the Earl of Artuk... response:	Pardon me!
context: The Knights of Valdrind suffered immense casualties.\They must've decided that further combat would be ill-advised,\as the entire force is in retreat.\Guess we found a way out of that jam!\That said, under no circumstances is the Earl of Artuk our ally.\There's no telling how he'll deal with you.\Speaking of the Earl of Artuk...\Pardon me! response:	So you're Lord Theo, huh?
context: They must've decided that further combat would be ill-advised,\as the entire force is in retreat.\Guess we found a way out of that jam!\That said, under no circumstances is the Earl of Artuk our ally.\There's no telling how he'll deal with you.\Speaking of the Earl of Artuk...\Pardon me!\So you're Lord Theo, huh? response:	I watched you guys in battle.
context: as the entire force is in retreat.\Guess we found a way out of that jam!\That said, under no circumstances is the Earl of Artuk our ally.\There's no telling how he'll deal with you.\Speaking of the Earl of Artuk...\Pardon me!\So you're Lord Theo, huh?\I watched you guys in battle. response:	I'd like to pay my utmost respect.
context: Guess we found a way out of that jam!\That said, under no circumstances is the Earl of Artuk our ally.\There's no telling how he'll deal with you.\Speaking of the Earl of Artuk...\Pardon me!\So you're Lord Theo, huh?\I watched you guys in battle.\I'd like to pay my utmost respect. response:	I'm sincerely grateful to you for saving us in our time of crisis.
context: That said, under no circumstances is the Earl of Artuk our ally.\There's no telling how he'll deal with you.\Speaking of the Earl of Artuk...\Pardon me!\So you're Lord Theo, huh?\I watched you guys in battle.\I'd like to pay my utmost respect.\I'm sincerely grateful to you for saving us in our time of crisis. response:	Don't mention it. It wasn't only for your sake.
context: There's no telling how he'll deal with you.\Speaking of the Earl of Artuk...\Pardon me!\So you're Lord Theo, huh?\I watched you guys in battle.\I'd like to pay my utmost respect.\I'm sincerely grateful to you for saving us in our time of crisis.\Don't mention it. It wasn't only for your sake. response:	I might have let Marrine get away,
context: Speaking of the Earl of Artuk...\Pardon me!\So you're Lord Theo, huh?\I watched you guys in battle.\I'd like to pay my utmost respect.\I'm sincerely grateful to you for saving us in our time of crisis.\Don't mention it. It wasn't only for your sake.\I might have let Marrine get away, response:	but in terms of military gains, we did good.
context: Pardon me!\So you're Lord Theo, huh?\I watched you guys in battle.\I'd like to pay my utmost respect.\I'm sincerely grateful to you for saving us in our time of crisis.\Don't mention it. It wasn't only for your sake.\I might have let Marrine get away,\but in terms of military gains, we did good. response:	Now, I'd like to discuss the next steps with you...
context: So you're Lord Theo, huh?\I watched you guys in battle.\I'd like to pay my utmost respect.\I'm sincerely grateful to you for saving us in our time of crisis.\Don't mention it. It wasn't only for your sake.\I might have let Marrine get away,\but in terms of military gains, we did good.\Now, I'd like to discuss the next steps with you... response:	Your Lordship!
context: I watched you guys in battle.\I'd like to pay my utmost respect.\I'm sincerely grateful to you for saving us in our time of crisis.\Don't mention it. It wasn't only for your sake.\I might have let Marrine get away,\but in terms of military gains, we did good.\Now, I'd like to discuss the next steps with you...\Your Lordship! response:	First allow me to apologize for my numerous affronts!
context: I'd like to pay my utmost respect.\I'm sincerely grateful to you for saving us in our time of crisis.\Don't mention it. It wasn't only for your sake.\I might have let Marrine get away,\but in terms of military gains, we did good.\Now, I'd like to discuss the next steps with you...\Your Lordship!\First allow me to apologize for my numerous affronts! response:	What's this? I see no reason for you to apologize.
context: I'm sincerely grateful to you for saving us in our time of crisis.\Don't mention it. It wasn't only for your sake.\I might have let Marrine get away,\but in terms of military gains, we did good.\Now, I'd like to discuss the next steps with you...\Your Lordship!\First allow me to apologize for my numerous affronts!\What's this? I see no reason for you to apologize. response:	What?
context: Don't mention it. It wasn't only for your sake.\I might have let Marrine get away,\but in terms of military gains, we did good.\Now, I'd like to discuss the next steps with you...\Your Lordship!\First allow me to apologize for my numerous affronts!\What's this? I see no reason for you to apologize.\What? response:	You entered into a contract with me, and carried out your mission splendidly, yes?
context: I might have let Marrine get away,\but in terms of military gains, we did good.\Now, I'd like to discuss the next steps with you...\Your Lordship!\First allow me to apologize for my numerous affronts!\What's this? I see no reason for you to apologize.\What?\You entered into a contract with me, and carried out your mission splendidly, yes? response:	You threw Savis into a state of disorder, and pried it away from the Alliance.
context: but in terms of military gains, we did good.\Now, I'd like to discuss the next steps with you...\Your Lordship!\First allow me to apologize for my numerous affronts!\What's this? I see no reason for you to apologize.\What?\You entered into a contract with me, and carried out your mission splendidly, yes?\You threw Savis into a state of disorder, and pried it away from the Alliance. response:	Therefore, the Mage Academy no longer has any reason to penalize you,
context: Now, I'd like to discuss the next steps with you...\Your Lordship!\First allow me to apologize for my numerous affronts!\What's this? I see no reason for you to apologize.\What?\You entered into a contract with me, and carried out your mission splendidly, yes?\You threw Savis into a state of disorder, and pried it away from the Alliance.\Therefore, the Mage Academy no longer has any reason to penalize you, response:	W-Well...
context: Your Lordship!\First allow me to apologize for my numerous affronts!\What's this? I see no reason for you to apologize.\What?\You entered into a contract with me, and carried out your mission splendidly, yes?\You threw Savis into a state of disorder, and pried it away from the Alliance.\Therefore, the Mage Academy no longer has any reason to penalize you,\W-Well... response:	Then what will happen to Lord Theo?
context: First allow me to apologize for my numerous affronts!\What's this? I see no reason for you to apologize.\What?\You entered into a contract with me, and carried out your mission splendidly, yes?\You threw Savis into a state of disorder, and pried it away from the Alliance.\Therefore, the Mage Academy no longer has any reason to penalize you,\W-Well...\Then what will happen to Lord Theo? response:	Well, Lord Theo will become the leader of Savis.
context: What's this? I see no reason for you to apologize.\What?\You entered into a contract with me, and carried out your mission splendidly, yes?\You threw Savis into a state of disorder, and pried it away from the Alliance.\Therefore, the Mage Academy no longer has any reason to penalize you,\W-Well...\Then what will happen to Lord Theo?\Well, Lord Theo will become the leader of Savis. response:	I won't ask him to serve me.
context: What?\You entered into a contract with me, and carried out your mission splendidly, yes?\You threw Savis into a state of disorder, and pried it away from the Alliance.\Therefore, the Mage Academy no longer has any reason to penalize you,\W-Well...\Then what will happen to Lord Theo?\Well, Lord Theo will become the leader of Savis.\I won't ask him to serve me. response:	Let's join forces in this battle, as Union comrades!
context: You entered into a contract with me, and carried out your mission splendidly, yes?\You threw Savis into a state of disorder, and pried it away from the Alliance.\Therefore, the Mage Academy no longer has any reason to penalize you,\W-Well...\Then what will happen to Lord Theo?\Well, Lord Theo will become the leader of Savis.\I won't ask him to serve me.\Let's join forces in this battle, as Union comrades! response:	King of Savis, Viscount Theo Cornaro...
context: You threw Savis into a state of disorder, and pried it away from the Alliance.\Therefore, the Mage Academy no longer has any reason to penalize you,\W-Well...\Then what will happen to Lord Theo?\Well, Lord Theo will become the leader of Savis.\I won't ask him to serve me.\Let's join forces in this battle, as Union comrades!\King of Savis, Viscount Theo Cornaro... response:	All hail!
context: Therefore, the Mage Academy no longer has any reason to penalize you,\W-Well...\Then what will happen to Lord Theo?\Well, Lord Theo will become the leader of Savis.\I won't ask him to serve me.\Let's join forces in this battle, as Union comrades!\King of Savis, Viscount Theo Cornaro...\All hail! response:	All hail!
context: W-Well...\Then what will happen to Lord Theo?\Well, Lord Theo will become the leader of Savis.\I won't ask him to serve me.\Let's join forces in this battle, as Union comrades!\King of Savis, Viscount Theo Cornaro...\All hail!\All hail! response:	I cannot agree to that.
context: Then what will happen to Lord Theo?\Well, Lord Theo will become the leader of Savis.\I won't ask him to serve me.\Let's join forces in this battle, as Union comrades!\King of Savis, Viscount Theo Cornaro...\All hail!\All hail!\I cannot agree to that. response:	You have other conditions, perhaps?
context: Well, Lord Theo will become the leader of Savis.\I won't ask him to serve me.\Let's join forces in this battle, as Union comrades!\King of Savis, Viscount Theo Cornaro...\All hail!\All hail!\I cannot agree to that.\You have other conditions, perhaps? response:	I'd like to pledge my allegiance to you as a knight.
context: I won't ask him to serve me.\Let's join forces in this battle, as Union comrades!\King of Savis, Viscount Theo Cornaro...\All hail!\All hail!\I cannot agree to that.\You have other conditions, perhaps?\I'd like to pledge my allegiance to you as a knight. response:	I'm content having a high enough court rank to employ Siluca.
context: Let's join forces in this battle, as Union comrades!\King of Savis, Viscount Theo Cornaro...\All hail!\All hail!\I cannot agree to that.\You have other conditions, perhaps?\I'd like to pledge my allegiance to you as a knight.\I'm content having a high enough court rank to employ Siluca. response:	What's he talking about?
context: King of Savis, Viscount Theo Cornaro...\All hail!\All hail!\I cannot agree to that.\You have other conditions, perhaps?\I'd like to pledge my allegiance to you as a knight.\I'm content having a high enough court rank to employ Siluca.\What's he talking about? response:	Most likely, he won't relinquish Siluca.
context: All hail!\All hail!\I cannot agree to that.\You have other conditions, perhaps?\I'd like to pledge my allegiance to you as a knight.\I'm content having a high enough court rank to employ Siluca.\What's he talking about?\Most likely, he won't relinquish Siluca. response:	However, since that would be the same as disregarding your kindness,
context: All hail!\I cannot agree to that.\You have other conditions, perhaps?\I'd like to pledge my allegiance to you as a knight.\I'm content having a high enough court rank to employ Siluca.\What's he talking about?\Most likely, he won't relinquish Siluca.\However, since that would be the same as disregarding your kindness, response:	he is willing to serve you.
context: I cannot agree to that.\You have other conditions, perhaps?\I'd like to pledge my allegiance to you as a knight.\I'm content having a high enough court rank to employ Siluca.\What's he talking about?\Most likely, he won't relinquish Siluca.\However, since that would be the same as disregarding your kindness,\he is willing to serve you. response:	Not like the guy matters to me at all.
context: You have other conditions, perhaps?\I'd like to pledge my allegiance to you as a knight.\I'm content having a high enough court rank to employ Siluca.\What's he talking about?\Most likely, he won't relinquish Siluca.\However, since that would be the same as disregarding your kindness,\he is willing to serve you.\Not like the guy matters to me at all. response:	I sense he is a different kind of man than the Lords under your control.
context: I'd like to pledge my allegiance to you as a knight.\I'm content having a high enough court rank to employ Siluca.\What's he talking about?\Most likely, he won't relinquish Siluca.\However, since that would be the same as disregarding your kindness,\he is willing to serve you.\Not like the guy matters to me at all.\I sense he is a different kind of man than the Lords under your control. response:	Along with Siluca Meletes, I'm sure you'll find him useful.
context: I'm content having a high enough court rank to employ Siluca.\What's he talking about?\Most likely, he won't relinquish Siluca.\However, since that would be the same as disregarding your kindness,\he is willing to serve you.\Not like the guy matters to me at all.\I sense he is a different kind of man than the Lords under your control.\Along with Siluca Meletes, I'm sure you'll find him useful. response:	Well, if you say so.
context: What's he talking about?\Most likely, he won't relinquish Siluca.\However, since that would be the same as disregarding your kindness,\he is willing to serve you.\Not like the guy matters to me at all.\I sense he is a different kind of man than the Lords under your control.\Along with Siluca Meletes, I'm sure you'll find him useful.\Well, if you say so. response:	Very well, but I won't allocate any territories to you. You'll be living in my castle.
context: Most likely, he won't relinquish Siluca.\However, since that would be the same as disregarding your kindness,\he is willing to serve you.\Not like the guy matters to me at all.\I sense he is a different kind of man than the Lords under your control.\Along with Siluca Meletes, I'm sure you'll find him useful.\Well, if you say so.\Very well, but I won't allocate any territories to you. You'll be living in my castle. response:	And Siluca, I'm going to treat you as one of my own mages, is that acceptable?
context: However, since that would be the same as disregarding your kindness,\he is willing to serve you.\Not like the guy matters to me at all.\I sense he is a different kind of man than the Lords under your control.\Along with Siluca Meletes, I'm sure you'll find him useful.\Well, if you say so.\Very well, but I won't allocate any territories to you. You'll be living in my castle.\And Siluca, I'm going to treat you as one of my own mages, is that acceptable? response:	Very well, my lord.
context: he is willing to serve you.\Not like the guy matters to me at all.\I sense he is a different kind of man than the Lords under your control.\Along with Siluca Meletes, I'm sure you'll find him useful.\Well, if you say so.\Very well, but I won't allocate any territories to you. You'll be living in my castle.\And Siluca, I'm going to treat you as one of my own mages, is that acceptable?\Very well, my lord. response:	Um... Lord Theo?
context: Not like the guy matters to me at all.\I sense he is a different kind of man than the Lords under your control.\Along with Siluca Meletes, I'm sure you'll find him useful.\Well, if you say so.\Very well, but I won't allocate any territories to you. You'll be living in my castle.\And Siluca, I'm going to treat you as one of my own mages, is that acceptable?\Very well, my lord.\Um... Lord Theo? response:	Don't say a word. This was my own decision.
context: I sense he is a different kind of man than the Lords under your control.\Along with Siluca Meletes, I'm sure you'll find him useful.\Well, if you say so.\Very well, but I won't allocate any territories to you. You'll be living in my castle.\And Siluca, I'm going to treat you as one of my own mages, is that acceptable?\Very well, my lord.\Um... Lord Theo?\Don't say a word. This was my own decision. response:	I'm returning to being a knight, and leaving this land.
context: Along with Siluca Meletes, I'm sure you'll find him useful.\Well, if you say so.\Very well, but I won't allocate any territories to you. You'll be living in my castle.\And Siluca, I'm going to treat you as one of my own mages, is that acceptable?\Very well, my lord.\Um... Lord Theo?\Don't say a word. This was my own decision.\I'm returning to being a knight, and leaving this land. response:	I'm handing over my court rank to you, Lassic.
context: Well, if you say so.\Very well, but I won't allocate any territories to you. You'll be living in my castle.\And Siluca, I'm going to treat you as one of my own mages, is that acceptable?\Very well, my lord.\Um... Lord Theo?\Don't say a word. This was my own decision.\I'm returning to being a knight, and leaving this land.\I'm handing over my court rank to you, Lassic. response:	You sure about that?
context: Very well, but I won't allocate any territories to you. You'll be living in my castle.\And Siluca, I'm going to treat you as one of my own mages, is that acceptable?\Very well, my lord.\Um... Lord Theo?\Don't say a word. This was my own decision.\I'm returning to being a knight, and leaving this land.\I'm handing over my court rank to you, Lassic.\You sure about that? response:	It's fine with me.
context: And Siluca, I'm going to treat you as one of my own mages, is that acceptable?\Very well, my lord.\Um... Lord Theo?\Don't say a word. This was my own decision.\I'm returning to being a knight, and leaving this land.\I'm handing over my court rank to you, Lassic.\You sure about that?\It's fine with me. response:	But that doesn't mean I'm abandoning my dream.
context: Very well, my lord.\Um... Lord Theo?\Don't say a word. This was my own decision.\I'm returning to being a knight, and leaving this land.\I'm handing over my court rank to you, Lassic.\You sure about that?\It's fine with me.\But that doesn't mean I'm abandoning my dream. response:	Someday, I'm going back to my homeland.
context: Um... Lord Theo?\Don't say a word. This was my own decision.\I'm returning to being a knight, and leaving this land.\I'm handing over my court rank to you, Lassic.\You sure about that?\It's fine with me.\But that doesn't mean I'm abandoning my dream.\Someday, I'm going back to my homeland. response:	All right.
context: Don't say a word. This was my own decision.\I'm returning to being a knight, and leaving this land.\I'm handing over my court rank to you, Lassic.\You sure about that?\It's fine with me.\But that doesn't mean I'm abandoning my dream.\Someday, I'm going back to my homeland.\All right. response:	But remember, my loyalties will always lie with you.
context: I'm returning to being a knight, and leaving this land.\I'm handing over my court rank to you, Lassic.\You sure about that?\It's fine with me.\But that doesn't mean I'm abandoning my dream.\Someday, I'm going back to my homeland.\All right.\But remember, my loyalties will always lie with you. response:	If you ever need me, I'll drop everything to come to your aid.
context: I'm handing over my court rank to you, Lassic.\You sure about that?\It's fine with me.\But that doesn't mean I'm abandoning my dream.\Someday, I'm going back to my homeland.\All right.\But remember, my loyalties will always lie with you.\If you ever need me, I'll drop everything to come to your aid. response:	Thanks.
context: You sure about that?\It's fine with me.\But that doesn't mean I'm abandoning my dream.\Someday, I'm going back to my homeland.\All right.\But remember, my loyalties will always lie with you.\If you ever need me, I'll drop everything to come to your aid.\Thanks. response:	I, too, have made a promise to God to guide you.
context: It's fine with me.\But that doesn't mean I'm abandoning my dream.\Someday, I'm going back to my homeland.\All right.\But remember, my loyalties will always lie with you.\If you ever need me, I'll drop everything to come to your aid.\Thanks.\I, too, have made a promise to God to guide you. response:	I'll be joining you in Artuk, so I look forward to continuing work with you.
context: But that doesn't mean I'm abandoning my dream.\Someday, I'm going back to my homeland.\All right.\But remember, my loyalties will always lie with you.\If you ever need me, I'll drop everything to come to your aid.\Thanks.\I, too, have made a promise to God to guide you.\I'll be joining you in Artuk, so I look forward to continuing work with you. response:	If you want to spread the gospel, I hope you clear it with the earl first.
context: Someday, I'm going back to my homeland.\All right.\But remember, my loyalties will always lie with you.\If you ever need me, I'll drop everything to come to your aid.\Thanks.\I, too, have made a promise to God to guide you.\I'll be joining you in Artuk, so I look forward to continuing work with you.\If you want to spread the gospel, I hope you clear it with the earl first. response:	Now that I'm a lowly knight, with no territories to speak of.
context: All right.\But remember, my loyalties will always lie with you.\If you ever need me, I'll drop everything to come to your aid.\Thanks.\I, too, have made a promise to God to guide you.\I'll be joining you in Artuk, so I look forward to continuing work with you.\If you want to spread the gospel, I hope you clear it with the earl first.\Now that I'm a lowly knight, with no territories to speak of. response:	Hey, you'll get more territories in no time!
context: But remember, my loyalties will always lie with you.\If you ever need me, I'll drop everything to come to your aid.\Thanks.\I, too, have made a promise to God to guide you.\I'll be joining you in Artuk, so I look forward to continuing work with you.\If you want to spread the gospel, I hope you clear it with the earl first.\Now that I'm a lowly knight, with no territories to speak of.\Hey, you'll get more territories in no time! response:	I hope that's true!
context: If you ever need me, I'll drop everything to come to your aid.\Thanks.\I, too, have made a promise to God to guide you.\I'll be joining you in Artuk, so I look forward to continuing work with you.\If you want to spread the gospel, I hope you clear it with the earl first.\Now that I'm a lowly knight, with no territories to speak of.\Hey, you'll get more territories in no time!\I hope that's true! response:	Could it be that I...
context: Thanks.\I, too, have made a promise to God to guide you.\I'll be joining you in Artuk, so I look forward to continuing work with you.\If you want to spread the gospel, I hope you clear it with the earl first.\Now that I'm a lowly knight, with no territories to speak of.\Hey, you'll get more territories in no time!\I hope that's true!\Could it be that I... response:	DECISION
context: I, too, have made a promise to God to guide you.\I'll be joining you in Artuk, so I look forward to continuing work with you.\If you want to spread the gospel, I hope you clear it with the earl first.\Now that I'm a lowly knight, with no territories to speak of.\Hey, you'll get more territories in no time!\I hope that's true!\Could it be that I...\DECISION response:	EPISODE 5: FOREST OF ETERNAL DARKNESS
