context: Edolas, the homeland of Carla and myself! response:	I'm glad we made it there to search for our missing friends,
context: Hey... If I disappear again sometime...\Will you come and find me, Natsu?\I've found you...\Lisanna!\Hey!\Since when did you start acting like an animal?\But Lisanna is alive... Right over there...\What the hell are you talking about? response:	Whatever, just calm down.
context: Will you come and find me, Natsu?\I've found you...\Lisanna!\Hey!\Since when did you start acting like an animal?\But Lisanna is alive... Right over there...\What the hell are you talking about?\Whatever, just calm down. response:	Cry on my shoulder, just like old times.
context: I've found you...\Lisanna!\Hey!\Since when did you start acting like an animal?\But Lisanna is alive... Right over there...\What the hell are you talking about?\Whatever, just calm down.\Cry on my shoulder, just like old times. response:	We're best buds, right?
context: Lisanna!\Hey!\Since when did you start acting like an animal?\But Lisanna is alive... Right over there...\What the hell are you talking about?\Whatever, just calm down.\Cry on my shoulder, just like old times.\We're best buds, right? response:	Take off your clothes, Gray...
context: Hey!\Since when did you start acting like an animal?\But Lisanna is alive... Right over there...\What the hell are you talking about?\Whatever, just calm down.\Cry on my shoulder, just like old times.\We're best buds, right?\Take off your clothes, Gray... response:	You two sure are close!
context: Since when did you start acting like an animal?\But Lisanna is alive... Right over there...\What the hell are you talking about?\Whatever, just calm down.\Cry on my shoulder, just like old times.\We're best buds, right?\Take off your clothes, Gray...\You two sure are close! response:	Always fawning all over each other...
context: But Lisanna is alive... Right over there...\What the hell are you talking about?\Whatever, just calm down.\Cry on my shoulder, just like old times.\We're best buds, right?\Take off your clothes, Gray...\You two sure are close!\Always fawning all over each other... response:	Well, you and Levy fight too much, Lucy!
context: What the hell are you talking about?\Whatever, just calm down.\Cry on my shoulder, just like old times.\We're best buds, right?\Take off your clothes, Gray...\You two sure are close!\Always fawning all over each other...\Well, you and Levy fight too much, Lucy! response:	W-Why is Lisanna here?
context: Whatever, just calm down.\Cry on my shoulder, just like old times.\We're best buds, right?\Take off your clothes, Gray...\You two sure are close!\Always fawning all over each other...\Well, you and Levy fight too much, Lucy!\W-Why is Lisanna here? response:	Mira-san's little sister... She was supposed to have died, right?
context: Cry on my shoulder, just like old times.\We're best buds, right?\Take off your clothes, Gray...\You two sure are close!\Always fawning all over each other...\Well, you and Levy fight too much, Lucy!\W-Why is Lisanna here?\Mira-san's little sister... She was supposed to have died, right? response:	Then it's not that everyone has turned opposite.
context: We're best buds, right?\Take off your clothes, Gray...\You two sure are close!\Always fawning all over each other...\Well, you and Levy fight too much, Lucy!\W-Why is Lisanna here?\Mira-san's little sister... She was supposed to have died, right?\Then it's not that everyone has turned opposite. response:	See? Mira hasn't changed at all.
context: Take off your clothes, Gray...\You two sure are close!\Always fawning all over each other...\Well, you and Levy fight too much, Lucy!\W-Why is Lisanna here?\Mira-san's little sister... She was supposed to have died, right?\Then it's not that everyone has turned opposite.\See? Mira hasn't changed at all. response:	But the clincher is that.
context: You two sure are close!\Always fawning all over each other...\Well, you and Levy fight too much, Lucy!\W-Why is Lisanna here?\Mira-san's little sister... She was supposed to have died, right?\Then it's not that everyone has turned opposite.\See? Mira hasn't changed at all.\But the clincher is that. response:	Doesn't that girl look a bit like you, Wendy?
context: Always fawning all over each other...\Well, you and Levy fight too much, Lucy!\W-Why is Lisanna here?\Mira-san's little sister... She was supposed to have died, right?\Then it's not that everyone has turned opposite.\See? Mira hasn't changed at all.\But the clincher is that.\Doesn't that girl look a bit like you, Wendy? response:	You think?
context: Well, you and Levy fight too much, Lucy!\W-Why is Lisanna here?\Mira-san's little sister... She was supposed to have died, right?\Then it's not that everyone has turned opposite.\See? Mira hasn't changed at all.\But the clincher is that.\Doesn't that girl look a bit like you, Wendy?\You think? response:	Seems pretty similar.
context: W-Why is Lisanna here?\Mira-san's little sister... She was supposed to have died, right?\Then it's not that everyone has turned opposite.\See? Mira hasn't changed at all.\But the clincher is that.\Doesn't that girl look a bit like you, Wendy?\You think?\Seems pretty similar. response:	Me?!
context: Mira-san's little sister... She was supposed to have died, right?\Then it's not that everyone has turned opposite.\See? Mira hasn't changed at all.\But the clincher is that.\Doesn't that girl look a bit like you, Wendy?\You think?\Seems pretty similar.\Me?! response:	Not opposite... Different.
context: Then it's not that everyone has turned opposite.\See? Mira hasn't changed at all.\But the clincher is that.\Doesn't that girl look a bit like you, Wendy?\You think?\Seems pretty similar.\Me?!\Not opposite... Different. response:	T-Then that means...
context: See? Mira hasn't changed at all.\But the clincher is that.\Doesn't that girl look a bit like you, Wendy?\You think?\Seems pretty similar.\Me?!\Not opposite... Different.\T-Then that means... response:	Right.
context: But the clincher is that.\Doesn't that girl look a bit like you, Wendy?\You think?\Seems pretty similar.\Me?!\Not opposite... Different.\T-Then that means...\Right. response:	These people are not the ones we are looking for.
context: Doesn't that girl look a bit like you, Wendy?\You think?\Seems pretty similar.\Me?!\Not opposite... Different.\T-Then that means...\Right.\These people are not the ones we are looking for. response:	They're different people.
context: You think?\Seems pretty similar.\Me?!\Not opposite... Different.\T-Then that means...\Right.\These people are not the ones we are looking for.\They're different people. response:	They're from Edolas.
context: Seems pretty similar.\Me?!\Not opposite... Different.\T-Then that means...\Right.\These people are not the ones we are looking for.\They're different people.\They're from Edolas. response:	They were here originally!
context: Me?!\Not opposite... Different.\T-Then that means...\Right.\These people are not the ones we are looking for.\They're different people.\They're from Edolas.\They were here originally! response:	It's not so unbelievable.
context: Not opposite... Different.\T-Then that means...\Right.\These people are not the ones we are looking for.\They're different people.\They're from Edolas.\They were here originally!\It's not so unbelievable. response:	Like, parallel worlds.
context: T-Then that means...\Right.\These people are not the ones we are looking for.\They're different people.\They're from Edolas.\They were here originally!\It's not so unbelievable.\Like, parallel worlds. response:	Edolas has its own culture and history.
context: Right.\These people are not the ones we are looking for.\They're different people.\They're from Edolas.\They were here originally!\It's not so unbelievable.\Like, parallel worlds.\Edolas has its own culture and history. response:	There's a possibility it has its own Fairy Tail!
context: These people are not the ones we are looking for.\They're different people.\They're from Edolas.\They were here originally!\It's not so unbelievable.\Like, parallel worlds.\Edolas has its own culture and history.\There's a possibility it has its own Fairy Tail! response:	But that's...
context: They're different people.\They're from Edolas.\They were here originally!\It's not so unbelievable.\Like, parallel worlds.\Edolas has its own culture and history.\There's a possibility it has its own Fairy Tail!\But that's... response:	This is the Fairy Tail that was in Edolas to begin with?
context: They're from Edolas.\They were here originally!\It's not so unbelievable.\Like, parallel worlds.\Edolas has its own culture and history.\There's a possibility it has its own Fairy Tail!\But that's...\This is the Fairy Tail that was in Edolas to begin with? response:	Then where are the versions that we know?
context: They were here originally!\It's not so unbelievable.\Like, parallel worlds.\Edolas has its own culture and history.\There's a possibility it has its own Fairy Tail!\But that's...\This is the Fairy Tail that was in Edolas to begin with?\Then where are the versions that we know? response:	What the hell are you blabbing about?
context: It's not so unbelievable.\Like, parallel worlds.\Edolas has its own culture and history.\There's a possibility it has its own Fairy Tail!\But that's...\This is the Fairy Tail that was in Edolas to begin with?\Then where are the versions that we know?\What the hell are you blabbing about? response:	How should I know?
context: Like, parallel worlds.\Edolas has its own culture and history.\There's a possibility it has its own Fairy Tail!\But that's...\This is the Fairy Tail that was in Edolas to begin with?\Then where are the versions that we know?\What the hell are you blabbing about?\How should I know? response:	That's what we're trying to find out.
context: Edolas has its own culture and history.\There's a possibility it has its own Fairy Tail!\But that's...\This is the Fairy Tail that was in Edolas to begin with?\Then where are the versions that we know?\What the hell are you blabbing about?\How should I know?\That's what we're trying to find out. response:	It'll be trouble to stay here any longer. Let's go.
context: There's a possibility it has its own Fairy Tail!\But that's...\This is the Fairy Tail that was in Edolas to begin with?\Then where are the versions that we know?\What the hell are you blabbing about?\How should I know?\That's what we're trying to find out.\It'll be trouble to stay here any longer. Let's go. response:	Carla, where are you going?
context: But that's...\This is the Fairy Tail that was in Edolas to begin with?\Then where are the versions that we know?\What the hell are you blabbing about?\How should I know?\That's what we're trying to find out.\It'll be trouble to stay here any longer. Let's go.\Carla, where are you going? response:	To the Royal City!
context: This is the Fairy Tail that was in Edolas to begin with?\Then where are the versions that we know?\What the hell are you blabbing about?\How should I know?\That's what we're trying to find out.\It'll be trouble to stay here any longer. Let's go.\Carla, where are you going?\To the Royal City! response:	There should be a clue about what happened to the guild in the Royal City!
context: Then where are the versions that we know?\What the hell are you blabbing about?\How should I know?\That's what we're trying to find out.\It'll be trouble to stay here any longer. Let's go.\Carla, where are you going?\To the Royal City!\There should be a clue about what happened to the guild in the Royal City! response:	It's the Fairy Hunter!
context: What the hell are you blabbing about?\How should I know?\That's what we're trying to find out.\It'll be trouble to stay here any longer. Let's go.\Carla, where are you going?\To the Royal City!\There should be a clue about what happened to the guild in the Royal City!\It's the Fairy Hunter! response:	The Fairy Hunter is here!
context: How should I know?\That's what we're trying to find out.\It'll be trouble to stay here any longer. Let's go.\Carla, where are you going?\To the Royal City!\There should be a clue about what happened to the guild in the Royal City!\It's the Fairy Hunter!\The Fairy Hunter is here! response:	You over there, cat! Where do you think you're going? It's dangerous outside!
context: That's what we're trying to find out.\It'll be trouble to stay here any longer. Let's go.\Carla, where are you going?\To the Royal City!\There should be a clue about what happened to the guild in the Royal City!\It's the Fairy Hunter!\The Fairy Hunter is here!\You over there, cat! Where do you think you're going? It's dangerous outside! response:	Crap!
context: It'll be trouble to stay here any longer. Let's go.\Carla, where are you going?\To the Royal City!\There should be a clue about what happened to the guild in the Royal City!\It's the Fairy Hunter!\The Fairy Hunter is here!\You over there, cat! Where do you think you're going? It's dangerous outside!\Crap! response:	This location's been found out already?
context: Carla, where are you going?\To the Royal City!\There should be a clue about what happened to the guild in the Royal City!\It's the Fairy Hunter!\The Fairy Hunter is here!\You over there, cat! Where do you think you're going? It's dangerous outside!\Crap!\This location's been found out already? response:	The people from the Kingdom are after us again...
context: To the Royal City!\There should be a clue about what happened to the guild in the Royal City!\It's the Fairy Hunter!\The Fairy Hunter is here!\You over there, cat! Where do you think you're going? It's dangerous outside!\Crap!\This location's been found out already?\The people from the Kingdom are after us again... response:	This is terrible!
context: There should be a clue about what happened to the guild in the Royal City!\It's the Fairy Hunter!\The Fairy Hunter is here!\You over there, cat! Where do you think you're going? It's dangerous outside!\Crap!\This location's been found out already?\The people from the Kingdom are after us again...\This is terrible! response:	Kingdom?
context: It's the Fairy Hunter!\The Fairy Hunter is here!\You over there, cat! Where do you think you're going? It's dangerous outside!\Crap!\This location's been found out already?\The people from the Kingdom are after us again...\This is terrible!\Kingdom? response:	The people who sent us to Earthland.
context: The Fairy Hunter is here!\You over there, cat! Where do you think you're going? It's dangerous outside!\Crap!\This location's been found out already?\The people from the Kingdom are after us again...\This is terrible!\Kingdom?\The people who sent us to Earthland. response:	We're the enemies of Fairy Tail?
context: You over there, cat! Where do you think you're going? It's dangerous outside!\Crap!\This location's been found out already?\The people from the Kingdom are after us again...\This is terrible!\Kingdom?\The people who sent us to Earthland.\We're the enemies of Fairy Tail? response:	Reactor ready for ignition.
context: Crap!\This location's been found out already?\The people from the Kingdom are after us again...\This is terrible!\Kingdom?\The people who sent us to Earthland.\We're the enemies of Fairy Tail?\Reactor ready for ignition. response:	Coordinates set.
context: This location's been found out already?\The people from the Kingdom are after us again...\This is terrible!\Kingdom?\The people who sent us to Earthland.\We're the enemies of Fairy Tail?\Reactor ready for ignition.\Coordinates set. response:	Error compensation complete in 5, 4, 3, 2, 1...
context: The people from the Kingdom are after us again...\This is terrible!\Kingdom?\The people who sent us to Earthland.\We're the enemies of Fairy Tail?\Reactor ready for ignition.\Coordinates set.\Error compensation complete in 5, 4, 3, 2, 1... response:	Connected to the marker!
context: This is terrible!\Kingdom?\The people who sent us to Earthland.\We're the enemies of Fairy Tail?\Reactor ready for ignition.\Coordinates set.\Error compensation complete in 5, 4, 3, 2, 1...\Connected to the marker! response:	Shock absorber charged with magic!
context: Kingdom?\The people who sent us to Earthland.\We're the enemies of Fairy Tail?\Reactor ready for ignition.\Coordinates set.\Error compensation complete in 5, 4, 3, 2, 1...\Connected to the marker!\Shock absorber charged with magic! response:	How long until the transmission magic circle, Levy?
context: The people who sent us to Earthland.\We're the enemies of Fairy Tail?\Reactor ready for ignition.\Coordinates set.\Error compensation complete in 5, 4, 3, 2, 1...\Connected to the marker!\Shock absorber charged with magic!\How long until the transmission magic circle, Levy? response:	I'm working on it right now! Suck it, Lucy!
context: We're the enemies of Fairy Tail?\Reactor ready for ignition.\Coordinates set.\Error compensation complete in 5, 4, 3, 2, 1...\Connected to the marker!\Shock absorber charged with magic!\How long until the transmission magic circle, Levy?\I'm working on it right now! Suck it, Lucy! response:	It's gonna be too late!
context: Reactor ready for ignition.\Coordinates set.\Error compensation complete in 5, 4, 3, 2, 1...\Connected to the marker!\Shock absorber charged with magic!\How long until the transmission magic circle, Levy?\I'm working on it right now! Suck it, Lucy!\It's gonna be too late! response:	The Fairy Hunter is coming!
context: Coordinates set.\Error compensation complete in 5, 4, 3, 2, 1...\Connected to the marker!\Shock absorber charged with magic!\How long until the transmission magic circle, Levy?\I'm working on it right now! Suck it, Lucy!\It's gonna be too late!\The Fairy Hunter is coming! response:	I know that, sheesh!
context: Error compensation complete in 5, 4, 3, 2, 1...\Connected to the marker!\Shock absorber charged with magic!\How long until the transmission magic circle, Levy?\I'm working on it right now! Suck it, Lucy!\It's gonna be too late!\The Fairy Hunter is coming!\I know that, sheesh! response:	Stop blabbing and hurry up!
context: Connected to the marker!\Shock absorber charged with magic!\How long until the transmission magic circle, Levy?\I'm working on it right now! Suck it, Lucy!\It's gonna be too late!\The Fairy Hunter is coming!\I know that, sheesh!\Stop blabbing and hurry up! response:	Fairy Hunter?
context: Shock absorber charged with magic!\How long until the transmission magic circle, Levy?\I'm working on it right now! Suck it, Lucy!\It's gonna be too late!\The Fairy Hunter is coming!\I know that, sheesh!\Stop blabbing and hurry up!\Fairy Hunter? response:	40 output for transmission threshold...
context: How long until the transmission magic circle, Levy?\I'm working on it right now! Suck it, Lucy!\It's gonna be too late!\The Fairy Hunter is coming!\I know that, sheesh!\Stop blabbing and hurry up!\Fairy Hunter?\40 output for transmission threshold... response:	43...
context: I'm working on it right now! Suck it, Lucy!\It's gonna be too late!\The Fairy Hunter is coming!\I know that, sheesh!\Stop blabbing and hurry up!\Fairy Hunter?\40 output for transmission threshold...\43... response:	46...
context: It's gonna be too late!\The Fairy Hunter is coming!\I know that, sheesh!\Stop blabbing and hurry up!\Fairy Hunter?\40 output for transmission threshold...\43...\46... response:	51!
context: The Fairy Hunter is coming!\I know that, sheesh!\Stop blabbing and hurry up!\Fairy Hunter?\40 output for transmission threshold...\43...\46...\51! response:	What?
context: I know that, sheesh!\Stop blabbing and hurry up!\Fairy Hunter?\40 output for transmission threshold...\43...\46...\51!\What? response:	Keep your head on straight, you loser.
context: Stop blabbing and hurry up!\Fairy Hunter?\40 output for transmission threshold...\43...\46...\51!\What?\Keep your head on straight, you loser. response:	Hurry up, Levy!
context: Fairy Hunter?\40 output for transmission threshold...\43...\46...\51!\What?\Keep your head on straight, you loser.\Hurry up, Levy! response:	There's no time to waste!
context: 40 output for transmission threshold...\43...\46...\51!\What?\Keep your head on straight, you loser.\Hurry up, Levy!\There's no time to waste! response:	Shut up!
context: 43...\46...\51!\What?\Keep your head on straight, you loser.\Hurry up, Levy!\There's no time to waste!\Shut up! response:	Output at 61...
context: 46...\51!\What?\Keep your head on straight, you loser.\Hurry up, Levy!\There's no time to waste!\Shut up!\Output at 61... response:	63!
context: 51!\What?\Keep your head on straight, you loser.\Hurry up, Levy!\There's no time to waste!\Shut up!\Output at 61...\63! response:	Two minutes until transmission!
context: What?\Keep your head on straight, you loser.\Hurry up, Levy!\There's no time to waste!\Shut up!\Output at 61...\63!\Two minutes until transmission! response:	The air... is shaking...
context: Keep your head on straight, you loser.\Hurry up, Levy!\There's no time to waste!\Shut up!\Output at 61...\63!\Two minutes until transmission!\The air... is shaking... response:	She's coming!
context: Hurry up, Levy!\There's no time to waste!\Shut up!\Output at 61...\63!\Two minutes until transmission!\The air... is shaking...\She's coming! response:	What's that?
context: There's no time to waste!\Shut up!\Output at 61...\63!\Two minutes until transmission!\The air... is shaking...\She's coming!\What's that? response:	The Fairy Hunter!
context: Shut up!\Output at 61...\63!\Two minutes until transmission!\The air... is shaking...\She's coming!\What's that?\The Fairy Hunter! response:	What's that?
context: Output at 61...\63!\Two minutes until transmission!\The air... is shaking...\She's coming!\What's that?\The Fairy Hunter!\What's that? response:	The Kingdom is after Fairy Tail?
context: 63!\Two minutes until transmission!\The air... is shaking...\She's coming!\What's that?\The Fairy Hunter!\What's that?\The Kingdom is after Fairy Tail? response:	But why?
context: Two minutes until transmission!\The air... is shaking...\She's coming!\What's that?\The Fairy Hunter!\What's that?\The Kingdom is after Fairy Tail?\But why? response:	Isn't that obvious?
context: The air... is shaking...\She's coming!\What's that?\The Fairy Hunter!\What's that?\The Kingdom is after Fairy Tail?\But why?\Isn't that obvious? response:	Me?
context: She's coming!\What's that?\The Fairy Hunter!\What's that?\The Kingdom is after Fairy Tail?\But why?\Isn't that obvious?\Me? response:	By order of the King, all wizard guilds were abolished.
context: What's that?\The Fairy Hunter!\What's that?\The Kingdom is after Fairy Tail?\But why?\Isn't that obvious?\Me?\By order of the King, all wizard guilds were abolished. response:	Only one is left in the world...
context: The Fairy Hunter!\What's that?\The Kingdom is after Fairy Tail?\But why?\Isn't that obvious?\Me?\By order of the King, all wizard guilds were abolished.\Only one is left in the world... response:	The one right here.
context: What's that?\The Kingdom is after Fairy Tail?\But why?\Isn't that obvious?\Me?\By order of the King, all wizard guilds were abolished.\Only one is left in the world...\The one right here. response:	You came with Natsu, even though you didn't know?
context: The Kingdom is after Fairy Tail?\But why?\Isn't that obvious?\Me?\By order of the King, all wizard guilds were abolished.\Only one is left in the world...\The one right here.\You came with Natsu, even though you didn't know? response:	In other words, we're an underground guild.
context: But why?\Isn't that obvious?\Me?\By order of the King, all wizard guilds were abolished.\Only one is left in the world...\The one right here.\You came with Natsu, even though you didn't know?\In other words, we're an underground guild. response:	Okay! We've passed the critical point for transmission!
context: Isn't that obvious?\Me?\By order of the King, all wizard guilds were abolished.\Only one is left in the world...\The one right here.\You came with Natsu, even though you didn't know?\In other words, we're an underground guild.\Okay! We've passed the critical point for transmission! response:	Shock absorber activated!
context: Me?\By order of the King, all wizard guilds were abolished.\Only one is left in the world...\The one right here.\You came with Natsu, even though you didn't know?\In other words, we're an underground guild.\Okay! We've passed the critical point for transmission!\Shock absorber activated! response:	Transmission magic circle, expand!
context: By order of the King, all wizard guilds were abolished.\Only one is left in the world...\The one right here.\You came with Natsu, even though you didn't know?\In other words, we're an underground guild.\Okay! We've passed the critical point for transmission!\Shock absorber activated!\Transmission magic circle, expand! response:	What is it now?
context: Only one is left in the world...\The one right here.\You came with Natsu, even though you didn't know?\In other words, we're an underground guild.\Okay! We've passed the critical point for transmission!\Shock absorber activated!\Transmission magic circle, expand!\What is it now? response:	M-My body!
context: The one right here.\You came with Natsu, even though you didn't know?\In other words, we're an underground guild.\Okay! We've passed the critical point for transmission!\Shock absorber activated!\Transmission magic circle, expand!\What is it now?\M-My body! response:	We're floating!
context: You came with Natsu, even though you didn't know?\In other words, we're an underground guild.\Okay! We've passed the critical point for transmission!\Shock absorber activated!\Transmission magic circle, expand!\What is it now?\M-My body!\We're floating! response:	Everyone, grab onto something!
context: In other words, we're an underground guild.\Okay! We've passed the critical point for transmission!\Shock absorber activated!\Transmission magic circle, expand!\What is it now?\M-My body!\We're floating!\Everyone, grab onto something! response:	I want to grab onto you, Juvia-chan!
context: Okay! We've passed the critical point for transmission!\Shock absorber activated!\Transmission magic circle, expand!\What is it now?\M-My body!\We're floating!\Everyone, grab onto something!\I want to grab onto you, Juvia-chan! response:	God damn, you're suffocating!
context: Shock absorber activated!\Transmission magic circle, expand!\What is it now?\M-My body!\We're floating!\Everyone, grab onto something!\I want to grab onto you, Juvia-chan!\God damn, you're suffocating! response:	Transmission, activate!
context: Transmission magic circle, expand!\What is it now?\M-My body!\We're floating!\Everyone, grab onto something!\I want to grab onto you, Juvia-chan!\God damn, you're suffocating!\Transmission, activate! response:	Ah... Will we transfer safely, I wonder?
context: What is it now?\M-My body!\We're floating!\Everyone, grab onto something!\I want to grab onto you, Juvia-chan!\God damn, you're suffocating!\Transmission, activate!\Ah... Will we transfer safely, I wonder? response:	Cana-san, I will protect you!
context: M-My body!\We're floating!\Everyone, grab onto something!\I want to grab onto you, Juvia-chan!\God damn, you're suffocating!\Transmission, activate!\Ah... Will we transfer safely, I wonder?\Cana-san, I will protect you! response:	No, I will!
context: We're floating!\Everyone, grab onto something!\I want to grab onto you, Juvia-chan!\God damn, you're suffocating!\Transmission, activate!\Ah... Will we transfer safely, I wonder?\Cana-san, I will protect you!\No, I will! response:	Nee-chan, Lisanna... Hold onto me tight!
context: Everyone, grab onto something!\I want to grab onto you, Juvia-chan!\God damn, you're suffocating!\Transmission, activate!\Ah... Will we transfer safely, I wonder?\Cana-san, I will protect you!\No, I will!\Nee-chan, Lisanna... Hold onto me tight! response:	It's shaking... Shaking!
context: I want to grab onto you, Juvia-chan!\God damn, you're suffocating!\Transmission, activate!\Ah... Will we transfer safely, I wonder?\Cana-san, I will protect you!\No, I will!\Nee-chan, Lisanna... Hold onto me tight!\It's shaking... Shaking! response:	Transmission, eh?
context: God damn, you're suffocating!\Transmission, activate!\Ah... Will we transfer safely, I wonder?\Cana-san, I will protect you!\No, I will!\Nee-chan, Lisanna... Hold onto me tight!\It's shaking... Shaking!\Transmission, eh? response:	Transmission magic, I see.
context: Transmission, activate!\Ah... Will we transfer safely, I wonder?\Cana-san, I will protect you!\No, I will!\Nee-chan, Lisanna... Hold onto me tight!\It's shaking... Shaking!\Transmission, eh?\Transmission magic, I see. response:	Using that much magical power so foolishly...
context: Ah... Will we transfer safely, I wonder?\Cana-san, I will protect you!\No, I will!\Nee-chan, Lisanna... Hold onto me tight!\It's shaking... Shaking!\Transmission, eh?\Transmission magic, I see.\Using that much magical power so foolishly... response:	They really are quite the troublesome bunch.
context: Cana-san, I will protect you!\No, I will!\Nee-chan, Lisanna... Hold onto me tight!\It's shaking... Shaking!\Transmission, eh?\Transmission magic, I see.\Using that much magical power so foolishly...\They really are quite the troublesome bunch. response:	That damn underground guild...
context: No, I will!\Nee-chan, Lisanna... Hold onto me tight!\It's shaking... Shaking!\Transmission, eh?\Transmission magic, I see.\Using that much magical power so foolishly...\They really are quite the troublesome bunch.\That damn underground guild... response:	Sugar Boy, you're here?
context: Nee-chan, Lisanna... Hold onto me tight!\It's shaking... Shaking!\Transmission, eh?\Transmission magic, I see.\Using that much magical power so foolishly...\They really are quite the troublesome bunch.\That damn underground guild...\Sugar Boy, you're here? response:	Those fairies sure are quick at running, yes...
context: It's shaking... Shaking!\Transmission, eh?\Transmission magic, I see.\Using that much magical power so foolishly...\They really are quite the troublesome bunch.\That damn underground guild...\Sugar Boy, you're here?\Those fairies sure are quick at running, yes... response:	They flit from one place to another, like flies... Damn vermin...
context: Transmission, eh?\Transmission magic, I see.\Using that much magical power so foolishly...\They really are quite the troublesome bunch.\That damn underground guild...\Sugar Boy, you're here?\Those fairies sure are quick at running, yes...\They flit from one place to another, like flies... Damn vermin... response:	You were quite close, Fairy Hunter.
context: Transmission magic, I see.\Using that much magical power so foolishly...\They really are quite the troublesome bunch.\That damn underground guild...\Sugar Boy, you're here?\Those fairies sure are quick at running, yes...\They flit from one place to another, like flies... Damn vermin...\You were quite close, Fairy Hunter. response:	However, they won't be able to transfer too many more times.
context: Using that much magical power so foolishly...\They really are quite the troublesome bunch.\That damn underground guild...\Sugar Boy, you're here?\Those fairies sure are quick at running, yes...\They flit from one place to another, like flies... Damn vermin...\You were quite close, Fairy Hunter.\However, they won't be able to transfer too many more times. response:	It's only a matter of time until you catch your prey.
context: They really are quite the troublesome bunch.\That damn underground guild...\Sugar Boy, you're here?\Those fairies sure are quick at running, yes...\They flit from one place to another, like flies... Damn vermin...\You were quite close, Fairy Hunter.\However, they won't be able to transfer too many more times.\It's only a matter of time until you catch your prey. response:	On another subject, it seems the giant Anima plan was a success.
context: That damn underground guild...\Sugar Boy, you're here?\Those fairies sure are quick at running, yes...\They flit from one place to another, like flies... Damn vermin...\You were quite close, Fairy Hunter.\However, they won't be able to transfer too many more times.\It's only a matter of time until you catch your prey.\On another subject, it seems the giant Anima plan was a success. response:	So, all Magic Regiment Captains are to return to the Royal City.
context: Sugar Boy, you're here?\Those fairies sure are quick at running, yes...\They flit from one place to another, like flies... Damn vermin...\You were quite close, Fairy Hunter.\However, they won't be able to transfer too many more times.\It's only a matter of time until you catch your prey.\On another subject, it seems the giant Anima plan was a success.\So, all Magic Regiment Captains are to return to the Royal City. response:	The Earthland Fairy Tail was destroyed?
context: Those fairies sure are quick at running, yes...\They flit from one place to another, like flies... Damn vermin...\You were quite close, Fairy Hunter.\However, they won't be able to transfer too many more times.\It's only a matter of time until you catch your prey.\On another subject, it seems the giant Anima plan was a success.\So, all Magic Regiment Captains are to return to the Royal City.\The Earthland Fairy Tail was destroyed? response:	More accurately, absorbed.
context: They flit from one place to another, like flies... Damn vermin...\You were quite close, Fairy Hunter.\However, they won't be able to transfer too many more times.\It's only a matter of time until you catch your prey.\On another subject, it seems the giant Anima plan was a success.\So, all Magic Regiment Captains are to return to the Royal City.\The Earthland Fairy Tail was destroyed?\More accurately, absorbed. response:	Our king sure does things in a big way.
context: You were quite close, Fairy Hunter.\However, they won't be able to transfer too many more times.\It's only a matter of time until you catch your prey.\On another subject, it seems the giant Anima plan was a success.\So, all Magic Regiment Captains are to return to the Royal City.\The Earthland Fairy Tail was destroyed?\More accurately, absorbed.\Our king sure does things in a big way. response:	What happened to the wizards that were absorbed from Earthland?
context: However, they won't be able to transfer too many more times.\It's only a matter of time until you catch your prey.\On another subject, it seems the giant Anima plan was a success.\So, all Magic Regiment Captains are to return to the Royal City.\The Earthland Fairy Tail was destroyed?\More accurately, absorbed.\Our king sure does things in a big way.\What happened to the wizards that were absorbed from Earthland? response:	In the Royal City.
context: It's only a matter of time until you catch your prey.\On another subject, it seems the giant Anima plan was a success.\So, all Magic Regiment Captains are to return to the Royal City.\The Earthland Fairy Tail was destroyed?\More accurately, absorbed.\Our king sure does things in a big way.\What happened to the wizards that were absorbed from Earthland?\In the Royal City. response:	They've become a giant lacrima.
context: On another subject, it seems the giant Anima plan was a success.\So, all Magic Regiment Captains are to return to the Royal City.\The Earthland Fairy Tail was destroyed?\More accurately, absorbed.\Our king sure does things in a big way.\What happened to the wizards that were absorbed from Earthland?\In the Royal City.\They've become a giant lacrima. response:	Lovely.
context: So, all Magic Regiment Captains are to return to the Royal City.\The Earthland Fairy Tail was destroyed?\More accurately, absorbed.\Our king sure does things in a big way.\What happened to the wizards that were absorbed from Earthland?\In the Royal City.\They've become a giant lacrima.\Lovely. response:	Now Edolas doesn't need to worry about magic power for the time being.
context: The Earthland Fairy Tail was destroyed?\More accurately, absorbed.\Our king sure does things in a big way.\What happened to the wizards that were absorbed from Earthland?\In the Royal City.\They've become a giant lacrima.\Lovely.\Now Edolas doesn't need to worry about magic power for the time being. response:	Okay, children! Moving's complete!
context: More accurately, absorbed.\Our king sure does things in a big way.\What happened to the wizards that were absorbed from Earthland?\In the Royal City.\They've become a giant lacrima.\Lovely.\Now Edolas doesn't need to worry about magic power for the time being.\Okay, children! Moving's complete! response:	We're saved...
context: Our king sure does things in a big way.\What happened to the wizards that were absorbed from Earthland?\In the Royal City.\They've become a giant lacrima.\Lovely.\Now Edolas doesn't need to worry about magic power for the time being.\Okay, children! Moving's complete!\We're saved... response:	Looks like we were able to transfer in one piece.
