context: The cumulative results for the practical exam are out! response:	I can't believe he got first place with no rescue points.
context: Get set...\She can nullify the gravitational pull of any object she touches.\However, if she goes over capacity, she'll get really nauseous.\Oh, but that's faster than I was in junior high!\Everyone, you're not being creative enough.\On your mark...\I'll show you what it's like...\Get set... response:	Aoyama Yuuga. Quirk: Navel Laser!
context: She can nullify the gravitational pull of any object she touches.\However, if she goes over capacity, she'll get really nauseous.\Oh, but that's faster than I was in junior high!\Everyone, you're not being creative enough.\On your mark...\I'll show you what it's like...\Get set...\Aoyama Yuuga. Quirk: Navel Laser! response:	He can shoot a laser from his bellybutton.
context: However, if she goes over capacity, she'll get really nauseous.\Oh, but that's faster than I was in junior high!\Everyone, you're not being creative enough.\On your mark...\I'll show you what it's like...\Get set...\Aoyama Yuuga. Quirk: Navel Laser!\He can shoot a laser from his bellybutton. response:	He's limited by the amount of time he can shoot continuously.
context: Oh, but that's faster than I was in junior high!\Everyone, you're not being creative enough.\On your mark...\I'll show you what it's like...\Get set...\Aoyama Yuuga. Quirk: Navel Laser!\He can shoot a laser from his bellybutton.\He's limited by the amount of time he can shoot continuously. response:	If I shoot for more than a second, I get a stomachache.
context: Everyone, you're not being creative enough.\On your mark...\I'll show you what it's like...\Get set...\Aoyama Yuuga. Quirk: Navel Laser!\He can shoot a laser from his bellybutton.\He's limited by the amount of time he can shoot continuously.\If I shoot for more than a second, I get a stomachache. response:	What the heck?
context: On your mark...\I'll show you what it's like...\Get set...\Aoyama Yuuga. Quirk: Navel Laser!\He can shoot a laser from his bellybutton.\He's limited by the amount of time he can shoot continuously.\If I shoot for more than a second, I get a stomachache.\What the heck? response:	What the heck?
context: I'll show you what it's like...\Get set...\Aoyama Yuuga. Quirk: Navel Laser!\He can shoot a laser from his bellybutton.\He's limited by the amount of time he can shoot continuously.\If I shoot for more than a second, I get a stomachache.\What the heck?\What the heck? response:	Looking at the upper limit of your Quirks and the room for growth in each result,
context: Get set...\Aoyama Yuuga. Quirk: Navel Laser!\He can shoot a laser from his bellybutton.\He's limited by the amount of time he can shoot continuously.\If I shoot for more than a second, I get a stomachache.\What the heck?\What the heck?\Looking at the upper limit of your Quirks and the room for growth in each result, response:	it becomes clear what you can and can't do.
context: Aoyama Yuuga. Quirk: Navel Laser!\He can shoot a laser from his bellybutton.\He's limited by the amount of time he can shoot continuously.\If I shoot for more than a second, I get a stomachache.\What the heck?\What the heck?\Looking at the upper limit of your Quirks and the room for growth in each result,\it becomes clear what you can and can't do. response:	On your mark...
context: He can shoot a laser from his bellybutton.\He's limited by the amount of time he can shoot continuously.\If I shoot for more than a second, I get a stomachache.\What the heck?\What the heck?\Looking at the upper limit of your Quirks and the room for growth in each result,\it becomes clear what you can and can't do.\On your mark... response:	Get set...
context: He's limited by the amount of time he can shoot continuously.\If I shoot for more than a second, I get a stomachache.\What the heck?\What the heck?\Looking at the upper limit of your Quirks and the room for growth in each result,\it becomes clear what you can and can't do.\On your mark...\Get set... response:	That will connect to the creativity needed for you to survive.
context: If I shoot for more than a second, I get a stomachache.\What the heck?\What the heck?\Looking at the upper limit of your Quirks and the room for growth in each result,\it becomes clear what you can and can't do.\On your mark...\Get set...\That will connect to the creativity needed for you to survive. response:	Explosive speed!
context: What the heck?\What the heck?\Looking at the upper limit of your Quirks and the room for growth in each result,\it becomes clear what you can and can't do.\On your mark...\Get set...\That will connect to the creativity needed for you to survive.\Explosive speed! response:	Bakugou Katsuki. Quirk: Explosion!
context: What the heck?\Looking at the upper limit of your Quirks and the room for growth in each result,\it becomes clear what you can and can't do.\On your mark...\Get set...\That will connect to the creativity needed for you to survive.\Explosive speed!\Bakugou Katsuki. Quirk: Explosion! response:	When I use both hands, the force disperses...
context: Looking at the upper limit of your Quirks and the room for growth in each result,\it becomes clear what you can and can't do.\On your mark...\Get set...\That will connect to the creativity needed for you to survive.\Explosive speed!\Bakugou Katsuki. Quirk: Explosion!\When I use both hands, the force disperses... response:	Deku is...
context: it becomes clear what you can and can't do.\On your mark...\Get set...\That will connect to the creativity needed for you to survive.\Explosive speed!\Bakugou Katsuki. Quirk: Explosion!\When I use both hands, the force disperses...\Deku is... response:	There are seven more tests.
context: On your mark...\Get set...\That will connect to the creativity needed for you to survive.\Explosive speed!\Bakugou Katsuki. Quirk: Explosion!\When I use both hands, the force disperses...\Deku is...\There are seven more tests. response:	I'm sure everyone will use their Quirks to produce some extraordinary results.
context: Get set...\That will connect to the creativity needed for you to survive.\Explosive speed!\Bakugou Katsuki. Quirk: Explosion!\When I use both hands, the force disperses...\Deku is...\There are seven more tests.\I'm sure everyone will use their Quirks to produce some extraordinary results. response:	On the other hand, I have this power that will break my body if I use it once.
context: That will connect to the creativity needed for you to survive.\Explosive speed!\Bakugou Katsuki. Quirk: Explosion!\When I use both hands, the force disperses...\Deku is...\There are seven more tests.\I'm sure everyone will use their Quirks to produce some extraordinary results.\On the other hand, I have this power that will break my body if I use it once. response:	Control... Control...
context: Explosive speed!\Bakugou Katsuki. Quirk: Explosion!\When I use both hands, the force disperses...\Deku is...\There are seven more tests.\I'm sure everyone will use their Quirks to produce some extraordinary results.\On the other hand, I have this power that will break my body if I use it once.\Control... Control... response:	Even if I have the image in my head, when I have to actually use it...
context: Bakugou Katsuki. Quirk: Explosion!\When I use both hands, the force disperses...\Deku is...\There are seven more tests.\I'm sure everyone will use their Quirks to produce some extraordinary results.\On the other hand, I have this power that will break my body if I use it once.\Control... Control...\Even if I have the image in my head, when I have to actually use it... response:	The trick to controlling...
context: When I use both hands, the force disperses...\Deku is...\There are seven more tests.\I'm sure everyone will use their Quirks to produce some extraordinary results.\On the other hand, I have this power that will break my body if I use it once.\Control... Control...\Even if I have the image in my head, when I have to actually use it...\The trick to controlling... response:	Wow, that's All Might for you!
context: Deku is...\There are seven more tests.\I'm sure everyone will use their Quirks to produce some extraordinary results.\On the other hand, I have this power that will break my body if I use it once.\Control... Control...\Even if I have the image in my head, when I have to actually use it...\The trick to controlling...\Wow, that's All Might for you! response:	You have already pulled out the 100.
context: There are seven more tests.\I'm sure everyone will use their Quirks to produce some extraordinary results.\On the other hand, I have this power that will break my body if I use it once.\Control... Control...\Even if I have the image in my head, when I have to actually use it...\The trick to controlling...\Wow, that's All Might for you!\You have already pulled out the 100. response:	It destroyed me, though.
context: I'm sure everyone will use their Quirks to produce some extraordinary results.\On the other hand, I have this power that will break my body if I use it once.\Control... Control...\Even if I have the image in my head, when I have to actually use it...\The trick to controlling...\Wow, that's All Might for you!\You have already pulled out the 100.\It destroyed me, though. response:	But now that you have, it'll be easy.
context: On the other hand, I have this power that will break my body if I use it once.\Control... Control...\Even if I have the image in my head, when I have to actually use it...\The trick to controlling...\Wow, that's All Might for you!\You have already pulled out the 100.\It destroyed me, though.\But now that you have, it'll be easy. response:	You should have already grasped the feeling.
context: Control... Control...\Even if I have the image in my head, when I have to actually use it...\The trick to controlling...\Wow, that's All Might for you!\You have already pulled out the 100.\It destroyed me, though.\But now that you have, it'll be easy.\You should have already grasped the feeling. response:	What was it like?
context: Even if I have the image in my head, when I have to actually use it...\The trick to controlling...\Wow, that's All Might for you!\You have already pulled out the 100.\It destroyed me, though.\But now that you have, it'll be easy.\You should have already grasped the feeling.\What was it like? response:	It was like a bzzt or a whoosh...
context: The trick to controlling...\Wow, that's All Might for you!\You have already pulled out the 100.\It destroyed me, though.\But now that you have, it'll be easy.\You should have already grasped the feeling.\What was it like?\It was like a bzzt or a whoosh... response:	Um...
context: Wow, that's All Might for you!\You have already pulled out the 100.\It destroyed me, though.\But now that you have, it'll be easy.\You should have already grasped the feeling.\What was it like?\It was like a bzzt or a whoosh...\Um... response:	Ah, I know!
context: You have already pulled out the 100.\It destroyed me, though.\But now that you have, it'll be easy.\You should have already grasped the feeling.\What was it like?\It was like a bzzt or a whoosh...\Um...\Ah, I know! response:	Like an egg put into a microwave!
context: It destroyed me, though.\But now that you have, it'll be easy.\You should have already grasped the feeling.\What was it like?\It was like a bzzt or a whoosh...\Um...\Ah, I know!\Like an egg put into a microwave! response:	That's boring, but unique!
context: But now that you have, it'll be easy.\You should have already grasped the feeling.\What was it like?\It was like a bzzt or a whoosh...\Um...\Ah, I know!\Like an egg put into a microwave!\That's boring, but unique! response:	If that's the image you have,
context: You should have already grasped the feeling.\What was it like?\It was like a bzzt or a whoosh...\Um...\Ah, I know!\Like an egg put into a microwave!\That's boring, but unique!\If that's the image you have, response:	then lower the wattage,
context: What was it like?\It was like a bzzt or a whoosh...\Um...\Ah, I know!\Like an egg put into a microwave!\That's boring, but unique!\If that's the image you have,\then lower the wattage, response:	or shorten the cook time.
context: It was like a bzzt or a whoosh...\Um...\Ah, I know!\Like an egg put into a microwave!\That's boring, but unique!\If that's the image you have,\then lower the wattage,\or shorten the cook time. response:	Anything's fine, just focus on the image of the egg not exploding.
context: Um...\Ah, I know!\Like an egg put into a microwave!\That's boring, but unique!\If that's the image you have,\then lower the wattage,\or shorten the cook time.\Anything's fine, just focus on the image of the egg not exploding. response:	The image...?
context: Ah, I know!\Like an egg put into a microwave!\That's boring, but unique!\If that's the image you have,\then lower the wattage,\or shorten the cook time.\Anything's fine, just focus on the image of the egg not exploding.\The image...? response:	You have three weeks until school starts.
context: Like an egg put into a microwave!\That's boring, but unique!\If that's the image you have,\then lower the wattage,\or shorten the cook time.\Anything's fine, just focus on the image of the egg not exploding.\The image...?\You have three weeks until school starts. response:	Keep focusing on that image.
context: That's boring, but unique!\If that's the image you have,\then lower the wattage,\or shorten the cook time.\Anything's fine, just focus on the image of the egg not exploding.\The image...?\You have three weeks until school starts.\Keep focusing on that image. response:	It won't happen overnight, but I'm sure you will be able to do it someday.
context: If that's the image you have,\then lower the wattage,\or shorten the cook time.\Anything's fine, just focus on the image of the egg not exploding.\The image...?\You have three weeks until school starts.\Keep focusing on that image.\It won't happen overnight, but I'm sure you will be able to do it someday. response:	The image of the egg not exploding...
context: then lower the wattage,\or shorten the cook time.\Anything's fine, just focus on the image of the egg not exploding.\The image...?\You have three weeks until school starts.\Keep focusing on that image.\It won't happen overnight, but I'm sure you will be able to do it someday.\The image of the egg not exploding... response:	Wow!
context: or shorten the cook time.\Anything's fine, just focus on the image of the egg not exploding.\The image...?\You have three weeks until school starts.\Keep focusing on that image.\It won't happen overnight, but I'm sure you will be able to do it someday.\The image of the egg not exploding...\Wow! response:	540 kilograms?
context: Anything's fine, just focus on the image of the egg not exploding.\The image...?\You have three weeks until school starts.\Keep focusing on that image.\It won't happen overnight, but I'm sure you will be able to do it someday.\The image of the egg not exploding...\Wow!\540 kilograms? response:	What are you, a gorilla?
context: The image...?\You have three weeks until school starts.\Keep focusing on that image.\It won't happen overnight, but I'm sure you will be able to do it someday.\The image of the egg not exploding...\Wow!\540 kilograms?\What are you, a gorilla? response:	Oh, an octopus?
context: You have three weeks until school starts.\Keep focusing on that image.\It won't happen overnight, but I'm sure you will be able to do it someday.\The image of the egg not exploding...\Wow!\540 kilograms?\What are you, a gorilla?\Oh, an octopus? response:	Octopuses... are sexy.
context: Keep focusing on that image.\It won't happen overnight, but I'm sure you will be able to do it someday.\The image of the egg not exploding...\Wow!\540 kilograms?\What are you, a gorilla?\Oh, an octopus?\Octopuses... are sexy. response:	Control...
context: It won't happen overnight, but I'm sure you will be able to do it someday.\The image of the egg not exploding...\Wow!\540 kilograms?\What are you, a gorilla?\Oh, an octopus?\Octopuses... are sexy.\Control... response:	Infinity?!
context: The image of the egg not exploding...\Wow!\540 kilograms?\What are you, a gorilla?\Oh, an octopus?\Octopuses... are sexy.\Control...\Infinity?! response:	Infinity?!
context: Wow!\540 kilograms?\What are you, a gorilla?\Oh, an octopus?\Octopuses... are sexy.\Control...\Infinity?!\Infinity?! response:	That's amazing!
context: 540 kilograms?\What are you, a gorilla?\Oh, an octopus?\Octopuses... are sexy.\Control...\Infinity?!\Infinity?!\That's amazing! response:	She got infinity!
context: What are you, a gorilla?\Oh, an octopus?\Octopuses... are sexy.\Control...\Infinity?!\Infinity?!\That's amazing!\She got infinity! response:	This is bad.
context: Oh, an octopus?\Octopuses... are sexy.\Control...\Infinity?!\Infinity?!\That's amazing!\She got infinity!\This is bad. response:	It's not something simple that I can just do right away.
context: Octopuses... are sexy.\Control...\Infinity?!\Infinity?!\That's amazing!\She got infinity!\This is bad.\It's not something simple that I can just do right away. response:	Everyone's leaving at least one amazing result...
context: Control...\Infinity?!\Infinity?!\That's amazing!\She got infinity!\This is bad.\It's not something simple that I can just do right away.\Everyone's leaving at least one amazing result... response:	All that's left is this, the long-distance run, sit-ups, and the seated toe-touch.
context: Infinity?!\Infinity?!\That's amazing!\She got infinity!\This is bad.\It's not something simple that I can just do right away.\Everyone's leaving at least one amazing result...\All that's left is this, the long-distance run, sit-ups, and the seated toe-touch. response:	It's now or never.
context: Infinity?!\That's amazing!\She got infinity!\This is bad.\It's not something simple that I can just do right away.\Everyone's leaving at least one amazing result...\All that's left is this, the long-distance run, sit-ups, and the seated toe-touch.\It's now or never. response:	At this rate, I'll be last.
context: That's amazing!\She got infinity!\This is bad.\It's not something simple that I can just do right away.\Everyone's leaving at least one amazing result...\All that's left is this, the long-distance run, sit-ups, and the seated toe-touch.\It's now or never.\At this rate, I'll be last. response:	It doesn't look good for Midoriya if he continues like this.
context: She got infinity!\This is bad.\It's not something simple that I can just do right away.\Everyone's leaving at least one amazing result...\All that's left is this, the long-distance run, sit-ups, and the seated toe-touch.\It's now or never.\At this rate, I'll be last.\It doesn't look good for Midoriya if he continues like this. response:	Huh? Of course not.
context: This is bad.\It's not something simple that I can just do right away.\Everyone's leaving at least one amazing result...\All that's left is this, the long-distance run, sit-ups, and the seated toe-touch.\It's now or never.\At this rate, I'll be last.\It doesn't look good for Midoriya if he continues like this.\Huh? Of course not. response:	He's a Quirkless small fry, you know.
context: It's not something simple that I can just do right away.\Everyone's leaving at least one amazing result...\All that's left is this, the long-distance run, sit-ups, and the seated toe-touch.\It's now or never.\At this rate, I'll be last.\It doesn't look good for Midoriya if he continues like this.\Huh? Of course not.\He's a Quirkless small fry, you know. response:	Quirkless?!
context: Everyone's leaving at least one amazing result...\All that's left is this, the long-distance run, sit-ups, and the seated toe-touch.\It's now or never.\At this rate, I'll be last.\It doesn't look good for Midoriya if he continues like this.\Huh? Of course not.\He's a Quirkless small fry, you know.\Quirkless?! response:	Are you not aware of what he did in the entrance exam?
context: All that's left is this, the long-distance run, sit-ups, and the seated toe-touch.\It's now or never.\At this rate, I'll be last.\It doesn't look good for Midoriya if he continues like this.\Huh? Of course not.\He's a Quirkless small fry, you know.\Quirkless?!\Are you not aware of what he did in the entrance exam? response:	Huh?
context: It's now or never.\At this rate, I'll be last.\It doesn't look good for Midoriya if he continues like this.\Huh? Of course not.\He's a Quirkless small fry, you know.\Quirkless?!\Are you not aware of what he did in the entrance exam?\Huh? response:	It's about time, huh?
context: At this rate, I'll be last.\It doesn't look good for Midoriya if he continues like this.\Huh? Of course not.\He's a Quirkless small fry, you know.\Quirkless?!\Are you not aware of what he did in the entrance exam?\Huh?\It's about time, huh? response:	Izuku! You're really cool.
context: It doesn't look good for Midoriya if he continues like this.\Huh? Of course not.\He's a Quirkless small fry, you know.\Quirkless?!\Are you not aware of what he did in the entrance exam?\Huh?\It's about time, huh?\Izuku! You're really cool. response:	You can become a hero.
context: Huh? Of course not.\He's a Quirkless small fry, you know.\Quirkless?!\Are you not aware of what he did in the entrance exam?\Huh?\It's about time, huh?\Izuku! You're really cool.\You can become a hero. response:	I'll definitely become one!
context: He's a Quirkless small fry, you know.\Quirkless?!\Are you not aware of what he did in the entrance exam?\Huh?\It's about time, huh?\Izuku! You're really cool.\You can become a hero.\I'll definitely become one! response:	46 meters.
context: Quirkless?!\Are you not aware of what he did in the entrance exam?\Huh?\It's about time, huh?\Izuku! You're really cool.\You can become a hero.\I'll definitely become one!\46 meters. response:	I was definitely trying to use it just now...
context: Are you not aware of what he did in the entrance exam?\Huh?\It's about time, huh?\Izuku! You're really cool.\You can become a hero.\I'll definitely become one!\46 meters.\I was definitely trying to use it just now... response:	I erased your Quirk.
context: Huh?\It's about time, huh?\Izuku! You're really cool.\You can become a hero.\I'll definitely become one!\46 meters.\I was definitely trying to use it just now...\I erased your Quirk. response:	That entrance exam was definitely not rational enough.
context: It's about time, huh?\Izuku! You're really cool.\You can become a hero.\I'll definitely become one!\46 meters.\I was definitely trying to use it just now...\I erased your Quirk.\That entrance exam was definitely not rational enough. response:	Even a kid like you was accepted.
context: Izuku! You're really cool.\You can become a hero.\I'll definitely become one!\46 meters.\I was definitely trying to use it just now...\I erased your Quirk.\That entrance exam was definitely not rational enough.\Even a kid like you was accepted. response:	You erased my Quirk?
context: You can become a hero.\I'll definitely become one!\46 meters.\I was definitely trying to use it just now...\I erased your Quirk.\That entrance exam was definitely not rational enough.\Even a kid like you was accepted.\You erased my Quirk? response:	Those goggles...
context: I'll definitely become one!\46 meters.\I was definitely trying to use it just now...\I erased your Quirk.\That entrance exam was definitely not rational enough.\Even a kid like you was accepted.\You erased my Quirk?\Those goggles... response:	I see!
context: 46 meters.\I was definitely trying to use it just now...\I erased your Quirk.\That entrance exam was definitely not rational enough.\Even a kid like you was accepted.\You erased my Quirk?\Those goggles...\I see! response:	You can erase other people's Quirks with your Quirk just by looking at them.
context: I was definitely trying to use it just now...\I erased your Quirk.\That entrance exam was definitely not rational enough.\Even a kid like you was accepted.\You erased my Quirk?\Those goggles...\I see!\You can erase other people's Quirks with your Quirk just by looking at them. response:	The Erasure Hero,
context: I erased your Quirk.\That entrance exam was definitely not rational enough.\Even a kid like you was accepted.\You erased my Quirk?\Those goggles...\I see!\You can erase other people's Quirks with your Quirk just by looking at them.\The Erasure Hero, response:	Eraser Head!
context: That entrance exam was definitely not rational enough.\Even a kid like you was accepted.\You erased my Quirk?\Those goggles...\I see!\You can erase other people's Quirks with your Quirk just by looking at them.\The Erasure Hero,\Eraser Head! response:	Eraser?
context: Even a kid like you was accepted.\You erased my Quirk?\Those goggles...\I see!\You can erase other people's Quirks with your Quirk just by looking at them.\The Erasure Hero,\Eraser Head!\Eraser? response:	I don't know him.
context: You erased my Quirk?\Those goggles...\I see!\You can erase other people's Quirks with your Quirk just by looking at them.\The Erasure Hero,\Eraser Head!\Eraser?\I don't know him. response:	I've heard of him.
context: Those goggles...\I see!\You can erase other people's Quirks with your Quirk just by looking at them.\The Erasure Hero,\Eraser Head!\Eraser?\I don't know him.\I've heard of him. response:	He's an underground hero.
context: I see!\You can erase other people's Quirks with your Quirk just by looking at them.\The Erasure Hero,\Eraser Head!\Eraser?\I don't know him.\I've heard of him.\He's an underground hero. response:	He doesn't like media attention because he says it hinders his work.
context: You can erase other people's Quirks with your Quirk just by looking at them.\The Erasure Hero,\Eraser Head!\Eraser?\I don't know him.\I've heard of him.\He's an underground hero.\He doesn't like media attention because he says it hinders his work. response:	That's right, young Midoriya.
context: The Erasure Hero,\Eraser Head!\Eraser?\I don't know him.\I've heard of him.\He's an underground hero.\He doesn't like media attention because he says it hinders his work.\That's right, young Midoriya. response:	He and I don't get along.
context: Eraser Head!\Eraser?\I don't know him.\I've heard of him.\He's an underground hero.\He doesn't like media attention because he says it hinders his work.\That's right, young Midoriya.\He and I don't get along. response:	From what I can tell, you can't control your Quirk, can you?
context: Eraser?\I don't know him.\I've heard of him.\He's an underground hero.\He doesn't like media attention because he says it hinders his work.\That's right, young Midoriya.\He and I don't get along.\From what I can tell, you can't control your Quirk, can you? response:	Do you intend to become incapacitated again and have someone save you?
context: I don't know him.\I've heard of him.\He's an underground hero.\He doesn't like media attention because he says it hinders his work.\That's right, young Midoriya.\He and I don't get along.\From what I can tell, you can't control your Quirk, can you?\Do you intend to become incapacitated again and have someone save you? response:	Th-That's not my intention
context: I've heard of him.\He's an underground hero.\He doesn't like media attention because he says it hinders his work.\That's right, young Midoriya.\He and I don't get along.\From what I can tell, you can't control your Quirk, can you?\Do you intend to become incapacitated again and have someone save you?\Th-That's not my intention response:	Whatever your intention,
context: He's an underground hero.\He doesn't like media attention because he says it hinders his work.\That's right, young Midoriya.\He and I don't get along.\From what I can tell, you can't control your Quirk, can you?\Do you intend to become incapacitated again and have someone save you?\Th-That's not my intention\Whatever your intention, response:	I'm saying that's what those around you will be forced to do.
context: He doesn't like media attention because he says it hinders his work.\That's right, young Midoriya.\He and I don't get along.\From what I can tell, you can't control your Quirk, can you?\Do you intend to become incapacitated again and have someone save you?\Th-That's not my intention\Whatever your intention,\I'm saying that's what those around you will be forced to do. response:	In the past,
context: That's right, young Midoriya.\He and I don't get along.\From what I can tell, you can't control your Quirk, can you?\Do you intend to become incapacitated again and have someone save you?\Th-That's not my intention\Whatever your intention,\I'm saying that's what those around you will be forced to do.\In the past, response:	there was an oppressively passionate hero who saved over a thousand people by himself
context: He and I don't get along.\From what I can tell, you can't control your Quirk, can you?\Do you intend to become incapacitated again and have someone save you?\Th-That's not my intention\Whatever your intention,\I'm saying that's what those around you will be forced to do.\In the past,\there was an oppressively passionate hero who saved over a thousand people by himself response:	and created a legend.
context: From what I can tell, you can't control your Quirk, can you?\Do you intend to become incapacitated again and have someone save you?\Th-That's not my intention\Whatever your intention,\I'm saying that's what those around you will be forced to do.\In the past,\there was an oppressively passionate hero who saved over a thousand people by himself\and created a legend. response:	Even if you have the same reckless valor...
context: Do you intend to become incapacitated again and have someone save you?\Th-That's not my intention\Whatever your intention,\I'm saying that's what those around you will be forced to do.\In the past,\there was an oppressively passionate hero who saved over a thousand people by himself\and created a legend.\Even if you have the same reckless valor... response:	Midoriya Izuku.
context: Th-That's not my intention\Whatever your intention,\I'm saying that's what those around you will be forced to do.\In the past,\there was an oppressively passionate hero who saved over a thousand people by himself\and created a legend.\Even if you have the same reckless valor...\Midoriya Izuku. response:	With your power, you can't become a hero.
context: Whatever your intention,\I'm saying that's what those around you will be forced to do.\In the past,\there was an oppressively passionate hero who saved over a thousand people by himself\and created a legend.\Even if you have the same reckless valor...\Midoriya Izuku.\With your power, you can't become a hero. response:	I've returned your Quirk.
context: I'm saying that's what those around you will be forced to do.\In the past,\there was an oppressively passionate hero who saved over a thousand people by himself\and created a legend.\Even if you have the same reckless valor...\Midoriya Izuku.\With your power, you can't become a hero.\I've returned your Quirk. response:	You have two turns for the ball throw.
context: In the past,\there was an oppressively passionate hero who saved over a thousand people by himself\and created a legend.\Even if you have the same reckless valor...\Midoriya Izuku.\With your power, you can't become a hero.\I've returned your Quirk.\You have two turns for the ball throw. response:	Hurry up and get it over with.
context: there was an oppressively passionate hero who saved over a thousand people by himself\and created a legend.\Even if you have the same reckless valor...\Midoriya Izuku.\With your power, you can't become a hero.\I've returned your Quirk.\You have two turns for the ball throw.\Hurry up and get it over with. response:	Are you worried about him?
context: and created a legend.\Even if you have the same reckless valor...\Midoriya Izuku.\With your power, you can't become a hero.\I've returned your Quirk.\You have two turns for the ball throw.\Hurry up and get it over with.\Are you worried about him? response:	It looks like he received some advice.
context: Even if you have the same reckless valor...\Midoriya Izuku.\With your power, you can't become a hero.\I've returned your Quirk.\You have two turns for the ball throw.\Hurry up and get it over with.\Are you worried about him?\It looks like he received some advice. response:	Probably just telling him he's expelled.
context: Midoriya Izuku.\With your power, you can't become a hero.\I've returned your Quirk.\You have two turns for the ball throw.\Hurry up and get it over with.\Are you worried about him?\It looks like he received some advice.\Probably just telling him he's expelled. response:	I'm...
context: With your power, you can't become a hero.\I've returned your Quirk.\You have two turns for the ball throw.\Hurry up and get it over with.\Are you worried about him?\It looks like he received some advice.\Probably just telling him he's expelled.\I'm... response:	Who are you?
context: I've returned your Quirk.\You have two turns for the ball throw.\Hurry up and get it over with.\Are you worried about him?\It looks like he received some advice.\Probably just telling him he's expelled.\I'm...\Who are you? response:	What should I do?
context: You have two turns for the ball throw.\Hurry up and get it over with.\Are you worried about him?\It looks like he received some advice.\Probably just telling him he's expelled.\I'm...\Who are you?\What should I do? response:	Which should I choose?
context: Hurry up and get it over with.\Are you worried about him?\It looks like he received some advice.\Probably just telling him he's expelled.\I'm...\Who are you?\What should I do?\Which should I choose? response:	Will he incorrigibly prepare for an honorable defeat here by using all his strength...
context: Are you worried about him?\It looks like he received some advice.\Probably just telling him he's expelled.\I'm...\Who are you?\What should I do?\Which should I choose?\Will he incorrigibly prepare for an honorable defeat here by using all his strength... response:	No matter which he chooses, he has no potential.
context: It looks like he received some advice.\Probably just telling him he's expelled.\I'm...\Who are you?\What should I do?\Which should I choose?\Will he incorrigibly prepare for an honorable defeat here by using all his strength...\No matter which he chooses, he has no potential. response:	I still can't control my power.
context: Probably just telling him he's expelled.\I'm...\Who are you?\What should I do?\Which should I choose?\Will he incorrigibly prepare for an honorable defeat here by using all his strength...\No matter which he chooses, he has no potential.\I still can't control my power. response:	Should I let everything I can do hang on this one throw?
context: I'm...\Who are you?\What should I do?\Which should I choose?\Will he incorrigibly prepare for an honorable defeat here by using all his strength...\No matter which he chooses, he has no potential.\I still can't control my power.\Should I let everything I can do hang on this one throw? response:	Even All Might said that it wouldn't happen overnight.
context: Who are you?\What should I do?\Which should I choose?\Will he incorrigibly prepare for an honorable defeat here by using all his strength...\No matter which he chooses, he has no potential.\I still can't control my power.\Should I let everything I can do hang on this one throw?\Even All Might said that it wouldn't happen overnight. response:	This is no good!
context: What should I do?\Which should I choose?\Will he incorrigibly prepare for an honorable defeat here by using all his strength...\No matter which he chooses, he has no potential.\I still can't control my power.\Should I let everything I can do hang on this one throw?\Even All Might said that it wouldn't happen overnight.\This is no good! response:	If that's my only choice, then I just have to go all out!
context: Which should I choose?\Will he incorrigibly prepare for an honorable defeat here by using all his strength...\No matter which he chooses, he has no potential.\I still can't control my power.\Should I let everything I can do hang on this one throw?\Even All Might said that it wouldn't happen overnight.\This is no good!\If that's my only choice, then I just have to go all out! response:	Zero potential.
context: Will he incorrigibly prepare for an honorable defeat here by using all his strength...\No matter which he chooses, he has no potential.\I still can't control my power.\Should I let everything I can do hang on this one throw?\Even All Might said that it wouldn't happen overnight.\This is no good!\If that's my only choice, then I just have to go all out!\Zero potential. response:	It's just as Mr. Aizawa says.
context: No matter which he chooses, he has no potential.\I still can't control my power.\Should I let everything I can do hang on this one throw?\Even All Might said that it wouldn't happen overnight.\This is no good!\If that's my only choice, then I just have to go all out!\Zero potential.\It's just as Mr. Aizawa says. response:	At this rate, there's no way I'll become a hero.
context: I still can't control my power.\Should I let everything I can do hang on this one throw?\Even All Might said that it wouldn't happen overnight.\This is no good!\If that's my only choice, then I just have to go all out!\Zero potential.\It's just as Mr. Aizawa says.\At this rate, there's no way I'll become a hero. response:	Hey, hey, is he serious?!
context: Should I let everything I can do hang on this one throw?\Even All Might said that it wouldn't happen overnight.\This is no good!\If that's my only choice, then I just have to go all out!\Zero potential.\It's just as Mr. Aizawa says.\At this rate, there's no way I'll become a hero.\Hey, hey, is he serious?! response:	I have to work a lot harder than other people!
context: Even All Might said that it wouldn't happen overnight.\This is no good!\If that's my only choice, then I just have to go all out!\Zero potential.\It's just as Mr. Aizawa says.\At this rate, there's no way I'll become a hero.\Hey, hey, is he serious?!\I have to work a lot harder than other people! response:	That's why, with all my strength...
context: This is no good!\If that's my only choice, then I just have to go all out!\Zero potential.\It's just as Mr. Aizawa says.\At this rate, there's no way I'll become a hero.\Hey, hey, is he serious?!\I have to work a lot harder than other people!\That's why, with all my strength... response:	I'll do what I can right now!
context: If that's my only choice, then I just have to go all out!\Zero potential.\It's just as Mr. Aizawa says.\At this rate, there's no way I'll become a hero.\Hey, hey, is he serious?!\I have to work a lot harder than other people!\That's why, with all my strength...\I'll do what I can right now! response:	Smash...!
