context: Just now joining us, Julius? response:	Thanks for gracing us with your presence.
context: you say some pretty disturbing things...\Aw, I'm adorable? You're makin' me blush!\Then the subordinates that Betelgeuse called fingers number ten, in total?\I think one of them is pinned under there.\Ten minus one is nine!\So nine are left!\Then, shall we go?\But they really are dead, right? response:	They won't come back the second we look away, right?
context: Aw, I'm adorable? You're makin' me blush!\Then the subordinates that Betelgeuse called fingers number ten, in total?\I think one of them is pinned under there.\Ten minus one is nine!\So nine are left!\Then, shall we go?\But they really are dead, right?\They won't come back the second we look away, right? response:	Fine... If you're that worried, we'll make sure.
context: Then the subordinates that Betelgeuse called fingers number ten, in total?\I think one of them is pinned under there.\Ten minus one is nine!\So nine are left!\Then, shall we go?\But they really are dead, right?\They won't come back the second we look away, right?\Fine... If you're that worried, we'll make sure. response:	We crushed two fingers here.
context: I think one of them is pinned under there.\Ten minus one is nine!\So nine are left!\Then, shall we go?\But they really are dead, right?\They won't come back the second we look away, right?\Fine... If you're that worried, we'll make sure.\We crushed two fingers here. response:	A few of the cultists were skilled, but they posed no threat.
context: Ten minus one is nine!\So nine are left!\Then, shall we go?\But they really are dead, right?\They won't come back the second we look away, right?\Fine... If you're that worried, we'll make sure.\We crushed two fingers here.\A few of the cultists were skilled, but they posed no threat. response:	Driving them off, we made no error.
context: So nine are left!\Then, shall we go?\But they really are dead, right?\They won't come back the second we look away, right?\Fine... If you're that worried, we'll make sure.\We crushed two fingers here.\A few of the cultists were skilled, but they posed no threat.\Driving them off, we made no error. response:	I'm glad it went well for you guys, too...
context: Then, shall we go?\But they really are dead, right?\They won't come back the second we look away, right?\Fine... If you're that worried, we'll make sure.\We crushed two fingers here.\A few of the cultists were skilled, but they posed no threat.\Driving them off, we made no error.\I'm glad it went well for you guys, too... response:	Given your demeanor,
context: But they really are dead, right?\They won't come back the second we look away, right?\Fine... If you're that worried, we'll make sure.\We crushed two fingers here.\A few of the cultists were skilled, but they posed no threat.\Driving them off, we made no error.\I'm glad it went well for you guys, too...\Given your demeanor, response:	evidently, I can assume your news is good, as well?
context: They won't come back the second we look away, right?\Fine... If you're that worried, we'll make sure.\We crushed two fingers here.\A few of the cultists were skilled, but they posed no threat.\Driving them off, we made no error.\I'm glad it went well for you guys, too...\Given your demeanor,\evidently, I can assume your news is good, as well? response:	Yep, we took out Betelgeuse!
context: Fine... If you're that worried, we'll make sure.\We crushed two fingers here.\A few of the cultists were skilled, but they posed no threat.\Driving them off, we made no error.\I'm glad it went well for you guys, too...\Given your demeanor,\evidently, I can assume your news is good, as well?\Yep, we took out Betelgeuse! response:	And since this guy is such a worrywart,
context: We crushed two fingers here.\A few of the cultists were skilled, but they posed no threat.\Driving them off, we made no error.\I'm glad it went well for you guys, too...\Given your demeanor,\evidently, I can assume your news is good, as well?\Yep, we took out Betelgeuse!\And since this guy is such a worrywart, response:	we blasted him to bits with one more kaboom after we killed him!
context: A few of the cultists were skilled, but they posed no threat.\Driving them off, we made no error.\I'm glad it went well for you guys, too...\Given your demeanor,\evidently, I can assume your news is good, as well?\Yep, we took out Betelgeuse!\And since this guy is such a worrywart,\we blasted him to bits with one more kaboom after we killed him! response:	All to bits!
context: Driving them off, we made no error.\I'm glad it went well for you guys, too...\Given your demeanor,\evidently, I can assume your news is good, as well?\Yep, we took out Betelgeuse!\And since this guy is such a worrywart,\we blasted him to bits with one more kaboom after we killed him!\All to bits! response:	Then, that leaves the simple task of mopping up the remnants, huh?
context: I'm glad it went well for you guys, too...\Given your demeanor,\evidently, I can assume your news is good, as well?\Yep, we took out Betelgeuse!\And since this guy is such a worrywart,\we blasted him to bits with one more kaboom after we killed him!\All to bits!\Then, that leaves the simple task of mopping up the remnants, huh? response:	We'd better hurry
context: Given your demeanor,\evidently, I can assume your news is good, as well?\Yep, we took out Betelgeuse!\And since this guy is such a worrywart,\we blasted him to bits with one more kaboom after we killed him!\All to bits!\Then, that leaves the simple task of mopping up the remnants, huh?\We'd better hurry response:	and take care of'em before my lady turns into an old granny...
context: evidently, I can assume your news is good, as well?\Yep, we took out Betelgeuse!\And since this guy is such a worrywart,\we blasted him to bits with one more kaboom after we killed him!\All to bits!\Then, that leaves the simple task of mopping up the remnants, huh?\We'd better hurry\and take care of'em before my lady turns into an old granny... response:	Oh, that was my best joke, y'know!
context: Yep, we took out Betelgeuse!\And since this guy is such a worrywart,\we blasted him to bits with one more kaboom after we killed him!\All to bits!\Then, that leaves the simple task of mopping up the remnants, huh?\We'd better hurry\and take care of'em before my lady turns into an old granny...\Oh, that was my best joke, y'know! response:	We rendezvous soon with the dragon-drawn carriages you arranged.
context: And since this guy is such a worrywart,\we blasted him to bits with one more kaboom after we killed him!\All to bits!\Then, that leaves the simple task of mopping up the remnants, huh?\We'd better hurry\and take care of'em before my lady turns into an old granny...\Oh, that was my best joke, y'know!\We rendezvous soon with the dragon-drawn carriages you arranged. response:	Let us eliminate the remaining fingers and greet our victory together.
context: we blasted him to bits with one more kaboom after we killed him!\All to bits!\Then, that leaves the simple task of mopping up the remnants, huh?\We'd better hurry\and take care of'em before my lady turns into an old granny...\Oh, that was my best joke, y'know!\We rendezvous soon with the dragon-drawn carriages you arranged.\Let us eliminate the remaining fingers and greet our victory together. response:	Okay, Subaru- kyun, time for the bait.
context: All to bits!\Then, that leaves the simple task of mopping up the remnants, huh?\We'd better hurry\and take care of'em before my lady turns into an old granny...\Oh, that was my best joke, y'know!\We rendezvous soon with the dragon-drawn carriages you arranged.\Let us eliminate the remaining fingers and greet our victory together.\Okay, Subaru- kyun, time for the bait. response:	Put out that smell!
context: Then, that leaves the simple task of mopping up the remnants, huh?\We'd better hurry\and take care of'em before my lady turns into an old granny...\Oh, that was my best joke, y'know!\We rendezvous soon with the dragon-drawn carriages you arranged.\Let us eliminate the remaining fingers and greet our victory together.\Okay, Subaru- kyun, time for the bait.\Put out that smell! response:	Breathe in...
context: We'd better hurry\and take care of'em before my lady turns into an old granny...\Oh, that was my best joke, y'know!\We rendezvous soon with the dragon-drawn carriages you arranged.\Let us eliminate the remaining fingers and greet our victory together.\Okay, Subaru- kyun, time for the bait.\Put out that smell!\Breathe in... response:	And out...
context: and take care of'em before my lady turns into an old granny...\Oh, that was my best joke, y'know!\We rendezvous soon with the dragon-drawn carriages you arranged.\Let us eliminate the remaining fingers and greet our victory together.\Okay, Subaru- kyun, time for the bait.\Put out that smell!\Breathe in...\And out... response:	And out... And out... And out...
context: Oh, that was my best joke, y'know!\We rendezvous soon with the dragon-drawn carriages you arranged.\Let us eliminate the remaining fingers and greet our victory together.\Okay, Subaru- kyun, time for the bait.\Put out that smell!\Breathe in...\And out...\And out... And out... And out... response:	Hey, hang on! Don't be crazy!
context: We rendezvous soon with the dragon-drawn carriages you arranged.\Let us eliminate the remaining fingers and greet our victory together.\Okay, Subaru- kyun, time for the bait.\Put out that smell!\Breathe in...\And out...\And out... And out... And out...\Hey, hang on! Don't be crazy! response:	So I guess...
context: Let us eliminate the remaining fingers and greet our victory together.\Okay, Subaru- kyun, time for the bait.\Put out that smell!\Breathe in...\And out...\And out... And out... And out...\Hey, hang on! Don't be crazy!\So I guess... response:	Once this is all done,
context: Okay, Subaru- kyun, time for the bait.\Put out that smell!\Breathe in...\And out...\And out... And out... And out...\Hey, hang on! Don't be crazy!\So I guess...\Once this is all done, response:	we'll go back to being friend and foe.
context: Put out that smell!\Breathe in...\And out...\And out... And out... And out...\Hey, hang on! Don't be crazy!\So I guess...\Once this is all done,\we'll go back to being friend and foe. response:	How confident of you to worry about what is yet to come.
context: Breathe in...\And out...\And out... And out... And out...\Hey, hang on! Don't be crazy!\So I guess...\Once this is all done,\we'll go back to being friend and foe.\How confident of you to worry about what is yet to come. response:	Hey, sue me.
context: And out...\And out... And out... And out...\Hey, hang on! Don't be crazy!\So I guess...\Once this is all done,\we'll go back to being friend and foe.\How confident of you to worry about what is yet to come.\Hey, sue me. response:	It's going almost too well, so I may have lowered my guard.
context: And out... And out... And out...\Hey, hang on! Don't be crazy!\So I guess...\Once this is all done,\we'll go back to being friend and foe.\How confident of you to worry about what is yet to come.\Hey, sue me.\It's going almost too well, so I may have lowered my guard. response:	Get down!
context: Hey, hang on! Don't be crazy!\So I guess...\Once this is all done,\we'll go back to being friend and foe.\How confident of you to worry about what is yet to come.\Hey, sue me.\It's going almost too well, so I may have lowered my guard.\Get down! response:	What is this?
context: So I guess...\Once this is all done,\we'll go back to being friend and foe.\How confident of you to worry about what is yet to come.\Hey, sue me.\It's going almost too well, so I may have lowered my guard.\Get down!\What is this? response:	What's goin' on?!
context: Once this is all done,\we'll go back to being friend and foe.\How confident of you to worry about what is yet to come.\Hey, sue me.\It's going almost too well, so I may have lowered my guard.\Get down!\What is this?\What's goin' on?! response:	The Unseen Hand...
context: we'll go back to being friend and foe.\How confident of you to worry about what is yet to come.\Hey, sue me.\It's going almost too well, so I may have lowered my guard.\Get down!\What is this?\What's goin' on?!\The Unseen Hand... response:	Betelgeuse should be dead!
context: How confident of you to worry about what is yet to come.\Hey, sue me.\It's going almost too well, so I may have lowered my guard.\Get down!\What is this?\What's goin' on?!\The Unseen Hand...\Betelgeuse should be dead! response:	So who's
context: Hey, sue me.\It's going almost too well, so I may have lowered my guard.\Get down!\What is this?\What's goin' on?!\The Unseen Hand...\Betelgeuse should be dead!\So who's response:	Subaru-dono!
context: It's going almost too well, so I may have lowered my guard.\Get down!\What is this?\What's goin' on?!\The Unseen Hand...\Betelgeuse should be dead!\So who's\Subaru-dono! response:	Damn it!
context: Get down!\What is this?\What's goin' on?!\The Unseen Hand...\Betelgeuse should be dead!\So who's\Subaru-dono!\Damn it! response:	Ah!
context: What is this?\What's goin' on?!\The Unseen Hand...\Betelgeuse should be dead!\So who's\Subaru-dono!\Damn it!\Ah! response:	My brain... trembles...
context: What's goin' on?!\The Unseen Hand...\Betelgeuse should be dead!\So who's\Subaru-dono!\Damn it!\Ah!\My brain... trembles... response:	Who are you?
context: The Unseen Hand...\Betelgeuse should be dead!\So who's\Subaru-dono!\Damn it!\Ah!\My brain... trembles...\Who are you? response:	Wh-Who the hell are you?
context: Betelgeuse should be dead!\So who's\Subaru-dono!\Damn it!\Ah!\My brain... trembles...\Who are you?\Wh-Who the hell are you? response:	Are you Betelgeuse's...
context: So who's\Subaru-dono!\Damn it!\Ah!\My brain... trembles...\Who are you?\Wh-Who the hell are you?\Are you Betelgeuse's... response:	Finger, yes!
context: Subaru-dono!\Damn it!\Ah!\My brain... trembles...\Who are you?\Wh-Who the hell are you?\Are you Betelgeuse's...\Finger, yes! response:	Let me go...
context: Damn it!\Ah!\My brain... trembles...\Who are you?\Wh-Who the hell are you?\Are you Betelgeuse's...\Finger, yes!\Let me go... response:	I am a finger,
context: Ah!\My brain... trembles...\Who are you?\Wh-Who the hell are you?\Are you Betelgeuse's...\Finger, yes!\Let me go...\I am a finger, response:	one who reciprocates love.
context: My brain... trembles...\Who are you?\Wh-Who the hell are you?\Are you Betelgeuse's...\Finger, yes!\Let me go...\I am a finger,\one who reciprocates love. response:	A faithful, diligent disciple who will carry out
context: Who are you?\Wh-Who the hell are you?\Are you Betelgeuse's...\Finger, yes!\Let me go...\I am a finger,\one who reciprocates love.\A faithful, diligent disciple who will carry out response:	the Ordeal, following the guidance of love!
context: Wh-Who the hell are you?\Are you Betelgeuse's...\Finger, yes!\Let me go...\I am a finger,\one who reciprocates love.\A faithful, diligent disciple who will carry out\the Ordeal, following the guidance of love! response:	A copy?
context: Are you Betelgeuse's...\Finger, yes!\Let me go...\I am a finger,\one who reciprocates love.\A faithful, diligent disciple who will carry out\the Ordeal, following the guidance of love!\A copy? response:	A replica of... the original Betelgeuse?
context: Finger, yes!\Let me go...\I am a finger,\one who reciprocates love.\A faithful, diligent disciple who will carry out\the Ordeal, following the guidance of love!\A copy?\A replica of... the original Betelgeuse? response:	If so, this couldn't... possibly get any worse.
context: Let me go...\I am a finger,\one who reciprocates love.\A faithful, diligent disciple who will carry out\the Ordeal, following the guidance of love!\A copy?\A replica of... the original Betelgeuse?\If so, this couldn't... possibly get any worse. response:	Sniff, sniff.
context: I am a finger,\one who reciprocates love.\A faithful, diligent disciple who will carry out\the Ordeal, following the guidance of love!\A copy?\A replica of... the original Betelgeuse?\If so, this couldn't... possibly get any worse.\Sniff, sniff. response:	The love that hangs from you does not compare to that of a mere follower.
context: one who reciprocates love.\A faithful, diligent disciple who will carry out\the Ordeal, following the guidance of love!\A copy?\A replica of... the original Betelgeuse?\If so, this couldn't... possibly get any worse.\Sniff, sniff.\The love that hangs from you does not compare to that of a mere follower. response:	It is equal to that of a Sin Archbishop.
context: A faithful, diligent disciple who will carry out\the Ordeal, following the guidance of love!\A copy?\A replica of... the original Betelgeuse?\If so, this couldn't... possibly get any worse.\Sniff, sniff.\The love that hangs from you does not compare to that of a mere follower.\It is equal to that of a Sin Archbishop. response:	It is exceedingly
context: the Ordeal, following the guidance of love!\A copy?\A replica of... the original Betelgeuse?\If so, this couldn't... possibly get any worse.\Sniff, sniff.\The love that hangs from you does not compare to that of a mere follower.\It is equal to that of a Sin Archbishop.\It is exceedingly response:	displeasing, dissatisfying, disagreeable, discomforting, disproportionate, discordant!
context: A copy?\A replica of... the original Betelgeuse?\If so, this couldn't... possibly get any worse.\Sniff, sniff.\The love that hangs from you does not compare to that of a mere follower.\It is equal to that of a Sin Archbishop.\It is exceedingly\displeasing, dissatisfying, disagreeable, discomforting, disproportionate, discordant! response:	But that is the proof that you are Pride!
context: A replica of... the original Betelgeuse?\If so, this couldn't... possibly get any worse.\Sniff, sniff.\The love that hangs from you does not compare to that of a mere follower.\It is equal to that of a Sin Archbishop.\It is exceedingly\displeasing, dissatisfying, disagreeable, discomforting, disproportionate, discordant!\But that is the proof that you are Pride! response:	Don't make me keep saying it...
context: If so, this couldn't... possibly get any worse.\Sniff, sniff.\The love that hangs from you does not compare to that of a mere follower.\It is equal to that of a Sin Archbishop.\It is exceedingly\displeasing, dissatisfying, disagreeable, discomforting, disproportionate, discordant!\But that is the proof that you are Pride!\Don't make me keep saying it... response:	I'm not even close to Pride.
context: Sniff, sniff.\The love that hangs from you does not compare to that of a mere follower.\It is equal to that of a Sin Archbishop.\It is exceedingly\displeasing, dissatisfying, disagreeable, discomforting, disproportionate, discordant!\But that is the proof that you are Pride!\Don't make me keep saying it...\I'm not even close to Pride. response:	I've never gotten a free book, even as a membership perk!
context: The love that hangs from you does not compare to that of a mere follower.\It is equal to that of a Sin Archbishop.\It is exceedingly\displeasing, dissatisfying, disagreeable, discomforting, disproportionate, discordant!\But that is the proof that you are Pride!\Don't make me keep saying it...\I'm not even close to Pride.\I've never gotten a free book, even as a membership perk! response:	My! Are you being stubborn?
context: It is equal to that of a Sin Archbishop.\It is exceedingly\displeasing, dissatisfying, disagreeable, discomforting, disproportionate, discordant!\But that is the proof that you are Pride!\Don't make me keep saying it...\I'm not even close to Pride.\I've never gotten a free book, even as a membership perk!\My! Are you being stubborn? response:	Still, soon enough, you will quite readily...
context: It is exceedingly\displeasing, dissatisfying, disagreeable, discomforting, disproportionate, discordant!\But that is the proof that you are Pride!\Don't make me keep saying it...\I'm not even close to Pride.\I've never gotten a free book, even as a membership perk!\My! Are you being stubborn?\Still, soon enough, you will quite readily... response:	The Gospel...
context: displeasing, dissatisfying, disagreeable, discomforting, disproportionate, discordant!\But that is the proof that you are Pride!\Don't make me keep saying it...\I'm not even close to Pride.\I've never gotten a free book, even as a membership perk!\My! Are you being stubborn?\Still, soon enough, you will quite readily...\The Gospel... response:	The guidance of my love!
context: But that is the proof that you are Pride!\Don't make me keep saying it...\I'm not even close to Pride.\I've never gotten a free book, even as a membership perk!\My! Are you being stubborn?\Still, soon enough, you will quite readily...\The Gospel...\The guidance of my love! response:	The Gospel that allows me, though inexperienced, to return love!
context: Don't make me keep saying it...\I'm not even close to Pride.\I've never gotten a free book, even as a membership perk!\My! Are you being stubborn?\Still, soon enough, you will quite readily...\The Gospel...\The guidance of my love!\The Gospel that allows me, though inexperienced, to return love! response:	It isn't with me now!
context: I'm not even close to Pride.\I've never gotten a free book, even as a membership perk!\My! Are you being stubborn?\Still, soon enough, you will quite readily...\The Gospel...\The guidance of my love!\The Gospel that allows me, though inexperienced, to return love!\It isn't with me now! response:	Was it you?
context: I've never gotten a free book, even as a membership perk!\My! Are you being stubborn?\Still, soon enough, you will quite readily...\The Gospel...\The guidance of my love!\The Gospel that allows me, though inexperienced, to return love!\It isn't with me now!\Was it you? response:	You? You? You? You? You? You? You? You?!
context: My! Are you being stubborn?\Still, soon enough, you will quite readily...\The Gospel...\The guidance of my love!\The Gospel that allows me, though inexperienced, to return love!\It isn't with me now!\Was it you?\You? You? You? You? You? You? You? You?! response:	Did you steal it?!
context: Still, soon enough, you will quite readily...\The Gospel...\The guidance of my love!\The Gospel that allows me, though inexperienced, to return love!\It isn't with me now!\Was it you?\You? You? You? You? You? You? You? You?!\Did you steal it?! response:	Wha...
context: The Gospel...\The guidance of my love!\The Gospel that allows me, though inexperienced, to return love!\It isn't with me now!\Was it you?\You? You? You? You? You? You? You? You?!\Did you steal it?!\Wha... response:	A spirit?
context: The guidance of my love!\The Gospel that allows me, though inexperienced, to return love!\It isn't with me now!\Was it you?\You? You? You? You? You? You? You? You?!\Did you steal it?!\Wha...\A spirit? response:	A spirit!
context: The Gospel that allows me, though inexperienced, to return love!\It isn't with me now!\Was it you?\You? You? You? You? You? You? You? You?!\Did you steal it?!\Wha...\A spirit?\A spirit! response:	Spirit! Spirit! Spirit!
context: It isn't with me now!\Was it you?\You? You? You? You? You? You? You? You?!\Did you steal it?!\Wha...\A spirit?\A spirit!\Spirit! Spirit! Spirit! response:	Damn it.
context: Was it you?\You? You? You? You? You? You? You? You?!\Did you steal it?!\Wha...\A spirit?\A spirit!\Spirit! Spirit! Spirit!\Damn it. response:	Is that all you can do?
context: You? You? You? You? You? You? You? You?!\Did you steal it?!\Wha...\A spirit?\A spirit!\Spirit! Spirit! Spirit!\Damn it.\Is that all you can do? response:	If so...
context: Did you steal it?!\Wha...\A spirit?\A spirit!\Spirit! Spirit! Spirit!\Damn it.\Is that all you can do?\If so... response:	Be dismayed. Disappointed. Dejected.
context: Wha...\A spirit?\A spirit!\Spirit! Spirit! Spirit!\Damn it.\Is that all you can do?\If so...\Be dismayed. Disappointed. Dejected. response:	Are you two slothful?!
context: A spirit?\A spirit!\Spirit! Spirit! Spirit!\Damn it.\Is that all you can do?\If so...\Be dismayed. Disappointed. Dejected.\Are you two slothful?! response:	My life is spilling out...
context: A spirit!\Spirit! Spirit! Spirit!\Damn it.\Is that all you can do?\If so...\Be dismayed. Disappointed. Dejected.\Are you two slothful?!\My life is spilling out... response:	My blood is running dry.
context: Spirit! Spirit! Spirit!\Damn it.\Is that all you can do?\If so...\Be dismayed. Disappointed. Dejected.\Are you two slothful?!\My life is spilling out...\My blood is running dry. response:	My diligent pulse, my life's support,
context: Damn it.\Is that all you can do?\If so...\Be dismayed. Disappointed. Dejected.\Are you two slothful?!\My life is spilling out...\My blood is running dry.\My diligent pulse, my life's support, response:	is stopping... disappearing.
context: Is that all you can do?\If so...\Be dismayed. Disappointed. Dejected.\Are you two slothful?!\My life is spilling out...\My blood is running dry.\My diligent pulse, my life's support,\is stopping... disappearing. response:	Ah, my brain... trembl
context: If so...\Be dismayed. Disappointed. Dejected.\Are you two slothful?!\My life is spilling out...\My blood is running dry.\My diligent pulse, my life's support,\is stopping... disappearing.\Ah, my brain... trembl response:	The first Sloth we defeated was a double,
context: Be dismayed. Disappointed. Dejected.\Are you two slothful?!\My life is spilling out...\My blood is running dry.\My diligent pulse, my life's support,\is stopping... disappearing.\Ah, my brain... trembl\The first Sloth we defeated was a double, response:	and this was the real one?
context: Are you two slothful?!\My life is spilling out...\My blood is running dry.\My diligent pulse, my life's support,\is stopping... disappearing.\Ah, my brain... trembl\The first Sloth we defeated was a double,\and this was the real one? response:	No,
context: My life is spilling out...\My blood is running dry.\My diligent pulse, my life's support,\is stopping... disappearing.\Ah, my brain... trembl\The first Sloth we defeated was a double,\and this was the real one?\No, response:	this may not be a matter of which is real.
context: My blood is running dry.\My diligent pulse, my life's support,\is stopping... disappearing.\Ah, my brain... trembl\The first Sloth we defeated was a double,\and this was the real one?\No,\this may not be a matter of which is real. response:	You mean that there may be more than one Sin Archbishop of Sloth?
context: My diligent pulse, my life's support,\is stopping... disappearing.\Ah, my brain... trembl\The first Sloth we defeated was a double,\and this was the real one?\No,\this may not be a matter of which is real.\You mean that there may be more than one Sin Archbishop of Sloth? response:	Either that...
context: is stopping... disappearing.\Ah, my brain... trembl\The first Sloth we defeated was a double,\and this was the real one?\No,\this may not be a matter of which is real.\You mean that there may be more than one Sin Archbishop of Sloth?\Either that... response:	Or all hundred followers, including the fingers,
context: Ah, my brain... trembl\The first Sloth we defeated was a double,\and this was the real one?\No,\this may not be a matter of which is real.\You mean that there may be more than one Sin Archbishop of Sloth?\Either that...\Or all hundred followers, including the fingers, response:	are the Sin Archbishop of Sloth.
context: The first Sloth we defeated was a double,\and this was the real one?\No,\this may not be a matter of which is real.\You mean that there may be more than one Sin Archbishop of Sloth?\Either that...\Or all hundred followers, including the fingers,\are the Sin Archbishop of Sloth. response:	I dragged you all into this.
context: and this was the real one?\No,\this may not be a matter of which is real.\You mean that there may be more than one Sin Archbishop of Sloth?\Either that...\Or all hundred followers, including the fingers,\are the Sin Archbishop of Sloth.\I dragged you all into this. response:	If I'd realized it sooner, I could have avoided this.
context: No,\this may not be a matter of which is real.\You mean that there may be more than one Sin Archbishop of Sloth?\Either that...\Or all hundred followers, including the fingers,\are the Sin Archbishop of Sloth.\I dragged you all into this.\If I'd realized it sooner, I could have avoided this. response:	I knew what kind of power it was, so I...
context: this may not be a matter of which is real.\You mean that there may be more than one Sin Archbishop of Sloth?\Either that...\Or all hundred followers, including the fingers,\are the Sin Archbishop of Sloth.\I dragged you all into this.\If I'd realized it sooner, I could have avoided this.\I knew what kind of power it was, so I... response:	Subaru-dono...
context: You mean that there may be more than one Sin Archbishop of Sloth?\Either that...\Or all hundred followers, including the fingers,\are the Sin Archbishop of Sloth.\I dragged you all into this.\If I'd realized it sooner, I could have avoided this.\I knew what kind of power it was, so I...\Subaru-dono... response:	I am sure that many thoughts are running through your mind right now.
context: Either that...\Or all hundred followers, including the fingers,\are the Sin Archbishop of Sloth.\I dragged you all into this.\If I'd realized it sooner, I could have avoided this.\I knew what kind of power it was, so I...\Subaru-dono...\I am sure that many thoughts are running through your mind right now. response:	And I am certain none are superficial.
context: Or all hundred followers, including the fingers,\are the Sin Archbishop of Sloth.\I dragged you all into this.\If I'd realized it sooner, I could have avoided this.\I knew what kind of power it was, so I...\Subaru-dono...\I am sure that many thoughts are running through your mind right now.\And I am certain none are superficial. response:	But while this may be inelegant of me, I must say this.
context: are the Sin Archbishop of Sloth.\I dragged you all into this.\If I'd realized it sooner, I could have avoided this.\I knew what kind of power it was, so I...\Subaru-dono...\I am sure that many thoughts are running through your mind right now.\And I am certain none are superficial.\But while this may be inelegant of me, I must say this. response:	Fight!
context: I dragged you all into this.\If I'd realized it sooner, I could have avoided this.\I knew what kind of power it was, so I...\Subaru-dono...\I am sure that many thoughts are running through your mind right now.\And I am certain none are superficial.\But while this may be inelegant of me, I must say this.\Fight! response:	Even if you have regrets,
context: If I'd realized it sooner, I could have avoided this.\I knew what kind of power it was, so I...\Subaru-dono...\I am sure that many thoughts are running through your mind right now.\And I am certain none are superficial.\But while this may be inelegant of me, I must say this.\Fight!\Even if you have regrets, response:	even if you have remorse, you must fight.
context: I knew what kind of power it was, so I...\Subaru-dono...\I am sure that many thoughts are running through your mind right now.\And I am certain none are superficial.\But while this may be inelegant of me, I must say this.\Fight!\Even if you have regrets,\even if you have remorse, you must fight. response:	If you have made the decision for yourself to fight, to struggle,
context: Subaru-dono...\I am sure that many thoughts are running through your mind right now.\And I am certain none are superficial.\But while this may be inelegant of me, I must say this.\Fight!\Even if you have regrets,\even if you have remorse, you must fight.\If you have made the decision for yourself to fight, to struggle, response:	then fight with all you have.
context: I am sure that many thoughts are running through your mind right now.\And I am certain none are superficial.\But while this may be inelegant of me, I must say this.\Fight!\Even if you have regrets,\even if you have remorse, you must fight.\If you have made the decision for yourself to fight, to struggle,\then fight with all you have. response:	Do not give up for one second, one moment, or one instant.
context: And I am certain none are superficial.\But while this may be inelegant of me, I must say this.\Fight!\Even if you have regrets,\even if you have remorse, you must fight.\If you have made the decision for yourself to fight, to struggle,\then fight with all you have.\Do not give up for one second, one moment, or one instant. response:	Cling greedily to the victory you have within your sight.
context: But while this may be inelegant of me, I must say this.\Fight!\Even if you have regrets,\even if you have remorse, you must fight.\If you have made the decision for yourself to fight, to struggle,\then fight with all you have.\Do not give up for one second, one moment, or one instant.\Cling greedily to the victory you have within your sight. response:	If you can still stand, if your fingers still move,
context: Fight!\Even if you have regrets,\even if you have remorse, you must fight.\If you have made the decision for yourself to fight, to struggle,\then fight with all you have.\Do not give up for one second, one moment, or one instant.\Cling greedily to the victory you have within your sight.\If you can still stand, if your fingers still move, response:	if all your teeth have not broken.
context: Even if you have regrets,\even if you have remorse, you must fight.\If you have made the decision for yourself to fight, to struggle,\then fight with all you have.\Do not give up for one second, one moment, or one instant.\Cling greedily to the victory you have within your sight.\If you can still stand, if your fingers still move,\if all your teeth have not broken. response:	Stand and fight.
context: even if you have remorse, you must fight.\If you have made the decision for yourself to fight, to struggle,\then fight with all you have.\Do not give up for one second, one moment, or one instant.\Cling greedily to the victory you have within your sight.\If you can still stand, if your fingers still move,\if all your teeth have not broken.\Stand and fight. response:	You must fight.
context: If you have made the decision for yourself to fight, to struggle,\then fight with all you have.\Do not give up for one second, one moment, or one instant.\Cling greedily to the victory you have within your sight.\If you can still stand, if your fingers still move,\if all your teeth have not broken.\Stand and fight.\You must fight. response:	You're telling me to get stronger?
context: then fight with all you have.\Do not give up for one second, one moment, or one instant.\Cling greedily to the victory you have within your sight.\If you can still stand, if your fingers still move,\if all your teeth have not broken.\Stand and fight.\You must fight.\You're telling me to get stronger? response:	No.
context: Do not give up for one second, one moment, or one instant.\Cling greedily to the victory you have within your sight.\If you can still stand, if your fingers still move,\if all your teeth have not broken.\Stand and fight.\You must fight.\You're telling me to get stronger?\No. response:	I am telling you to be strong.
context: Cling greedily to the victory you have within your sight.\If you can still stand, if your fingers still move,\if all your teeth have not broken.\Stand and fight.\You must fight.\You're telling me to get stronger?\No.\I am telling you to be strong. response:	Ready to go?
context: If you can still stand, if your fingers still move,\if all your teeth have not broken.\Stand and fight.\You must fight.\You're telling me to get stronger?\No.\I am telling you to be strong.\Ready to go? response:	Yeah, let's go.
context: if all your teeth have not broken.\Stand and fight.\You must fight.\You're telling me to get stronger?\No.\I am telling you to be strong.\Ready to go?\Yeah, let's go. response:	Lend me your wisdom and strength!
context: Stand and fight.\You must fight.\You're telling me to get stronger?\No.\I am telling you to be strong.\Ready to go?\Yeah, let's go.\Lend me your wisdom and strength! response:	We're gonna start evacuating the mansion and village!
context: You must fight.\You're telling me to get stronger?\No.\I am telling you to be strong.\Ready to go?\Yeah, let's go.\Lend me your wisdom and strength!\We're gonna start evacuating the mansion and village! response:	Don't waste a single second!
context: You're telling me to get stronger?\No.\I am telling you to be strong.\Ready to go?\Yeah, let's go.\Lend me your wisdom and strength!\We're gonna start evacuating the mansion and village!\Don't waste a single second! response:	Right now,
context: No.\I am telling you to be strong.\Ready to go?\Yeah, let's go.\Lend me your wisdom and strength!\We're gonna start evacuating the mansion and village!\Don't waste a single second!\Right now, response:	the Witch's Cult hasn't noticed yet that the plain is wide open.
