context: Morni response:	Wakanalia, please help me!
context: It's fine.\This year's culture fair has been cancelled.\What?!\We will have to suspend new student applications for next year.\As you are aware, the declining birth rate\has led to an annual decrease in students.\It's been extremely difficult for the school to\secure funding in recent years. response:	And so, we arrived at this conclusion because we care
context: This year's culture fair has been cancelled.\What?!\We will have to suspend new student applications for next year.\As you are aware, the declining birth rate\has led to an annual decrease in students.\It's been extremely difficult for the school to\secure funding in recent years.\And so, we arrived at this conclusion because we care response:	about our student body above all else.
context: What?!\We will have to suspend new student applications for next year.\As you are aware, the declining birth rate\has led to an annual decrease in students.\It's been extremely difficult for the school to\secure funding in recent years.\And so, we arrived at this conclusion because we care\about our student body above all else. response:	Personally, I am overcome with sadness and regret,
context: We will have to suspend new student applications for next year.\As you are aware, the declining birth rate\has led to an annual decrease in students.\It's been extremely difficult for the school to\secure funding in recent years.\And so, we arrived at this conclusion because we care\about our student body above all else.\Personally, I am overcome with sadness and regret, response:	but with your support,
context: As you are aware, the declining birth rate\has led to an annual decrease in students.\It's been extremely difficult for the school to\secure funding in recent years.\And so, we arrived at this conclusion because we care\about our student body above all else.\Personally, I am overcome with sadness and regret,\but with your support, response:	I would like to keep moving forward.
context: has led to an annual decrease in students.\It's been extremely difficult for the school to\secure funding in recent years.\And so, we arrived at this conclusion because we care\about our student body above all else.\Personally, I am overcome with sadness and regret,\but with your support,\I would like to keep moving forward. response:	We will be setting up temporary classrooms on the
context: It's been extremely difficult for the school to\secure funding in recent years.\And so, we arrived at this conclusion because we care\about our student body above all else.\Personally, I am overcome with sadness and regret,\but with your support,\I would like to keep moving forward.\We will be setting up temporary classrooms on the response:	school grounds immediately,
context: secure funding in recent years.\And so, we arrived at this conclusion because we care\about our student body above all else.\Personally, I am overcome with sadness and regret,\but with your support,\I would like to keep moving forward.\We will be setting up temporary classrooms on the\school grounds immediately, response:	and classes will be held there starting next year.
context: And so, we arrived at this conclusion because we care\about our student body above all else.\Personally, I am overcome with sadness and regret,\but with your support,\I would like to keep moving forward.\We will be setting up temporary classrooms on the\school grounds immediately,\and classes will be held there starting next year. response:	About the White Festival Cancellation
context: about our student body above all else.\Personally, I am overcome with sadness and regret,\but with your support,\I would like to keep moving forward.\We will be setting up temporary classrooms on the\school grounds immediately,\and classes will be held there starting next year.\About the White Festival Cancellation response:	The renovations to the main building will begin in the new year,
context: Personally, I am overcome with sadness and regret,\but with your support,\I would like to keep moving forward.\We will be setting up temporary classrooms on the\school grounds immediately,\and classes will be held there starting next year.\About the White Festival Cancellation\The renovations to the main building will begin in the new year, response:	and preparations for the school grounds will also begin then.
context: but with your support,\I would like to keep moving forward.\We will be setting up temporary classrooms on the\school grounds immediately,\and classes will be held there starting next year.\About the White Festival Cancellation\The renovations to the main building will begin in the new year,\and preparations for the school grounds will also begin then. response:	We promise that all our students will be able
context: I would like to keep moving forward.\We will be setting up temporary classrooms on the\school grounds immediately,\and classes will be held there starting next year.\About the White Festival Cancellation\The renovations to the main building will begin in the new year,\and preparations for the school grounds will also begin then.\We promise that all our students will be able response:	to attend their classes, unhindered, up to graduation.
context: We will be setting up temporary classrooms on the\school grounds immediately,\and classes will be held there starting next year.\About the White Festival Cancellation\The renovations to the main building will begin in the new year,\and preparations for the school grounds will also begin then.\We promise that all our students will be able\to attend their classes, unhindered, up to graduation. response:	However, should any wish to transfer,
context: school grounds immediately,\and classes will be held there starting next year.\About the White Festival Cancellation\The renovations to the main building will begin in the new year,\and preparations for the school grounds will also begin then.\We promise that all our students will be able\to attend their classes, unhindered, up to graduation.\However, should any wish to transfer, response:	we will do our utmost to support them.
context: and classes will be held there starting next year.\About the White Festival Cancellation\The renovations to the main building will begin in the new year,\and preparations for the school grounds will also begin then.\We promise that all our students will be able\to attend their classes, unhindered, up to graduation.\However, should any wish to transfer,\we will do our utmost to support them. response:	White Festival Cancellation Notice
context: About the White Festival Cancellation\The renovations to the main building will begin in the new year,\and preparations for the school grounds will also begin then.\We promise that all our students will be able\to attend their classes, unhindered, up to graduation.\However, should any wish to transfer,\we will do our utmost to support them.\White Festival Cancellation Notice response:	You're still doing that?
context: The renovations to the main building will begin in the new year,\and preparations for the school grounds will also begin then.\We promise that all our students will be able\to attend their classes, unhindered, up to graduation.\However, should any wish to transfer,\we will do our utmost to support them.\White Festival Cancellation Notice\You're still doing that? response:	Yeah, it's relaxing.
context: and preparations for the school grounds will also begin then.\We promise that all our students will be able\to attend their classes, unhindered, up to graduation.\However, should any wish to transfer,\we will do our utmost to support them.\White Festival Cancellation Notice\You're still doing that?\Yeah, it's relaxing. response:	Don't you have to study for your entrance exams?
context: We promise that all our students will be able\to attend their classes, unhindered, up to graduation.\However, should any wish to transfer,\we will do our utmost to support them.\White Festival Cancellation Notice\You're still doing that?\Yeah, it's relaxing.\Don't you have to study for your entrance exams? response:	Now you sound like my mom.
context: to attend their classes, unhindered, up to graduation.\However, should any wish to transfer,\we will do our utmost to support them.\White Festival Cancellation Notice\You're still doing that?\Yeah, it's relaxing.\Don't you have to study for your entrance exams?\Now you sound like my mom. response:	I'm everyone's mom.
context: However, should any wish to transfer,\we will do our utmost to support them.\White Festival Cancellation Notice\You're still doing that?\Yeah, it's relaxing.\Don't you have to study for your entrance exams?\Now you sound like my mom.\I'm everyone's mom. response:	That makes no sense.
context: we will do our utmost to support them.\White Festival Cancellation Notice\You're still doing that?\Yeah, it's relaxing.\Don't you have to study for your entrance exams?\Now you sound like my mom.\I'm everyone's mom.\That makes no sense. response:	You know, you should keep singing, even after you graduate.
context: White Festival Cancellation Notice\You're still doing that?\Yeah, it's relaxing.\Don't you have to study for your entrance exams?\Now you sound like my mom.\I'm everyone's mom.\That makes no sense.\You know, you should keep singing, even after you graduate. response:	Maybe.
context: You're still doing that?\Yeah, it's relaxing.\Don't you have to study for your entrance exams?\Now you sound like my mom.\I'm everyone's mom.\That makes no sense.\You know, you should keep singing, even after you graduate.\Maybe. response:	Were you playing badminton?
context: Yeah, it's relaxing.\Don't you have to study for your entrance exams?\Now you sound like my mom.\I'm everyone's mom.\That makes no sense.\You know, you should keep singing, even after you graduate.\Maybe.\Were you playing badminton? response:	Yeah.
context: Don't you have to study for your entrance exams?\Now you sound like my mom.\I'm everyone's mom.\That makes no sense.\You know, you should keep singing, even after you graduate.\Maybe.\Were you playing badminton?\Yeah. response:	Hey, what are you guys doing here?
context: Now you sound like my mom.\I'm everyone's mom.\That makes no sense.\You know, you should keep singing, even after you graduate.\Maybe.\Were you playing badminton?\Yeah.\Hey, what are you guys doing here? response:	I feel like we haven't met up in forever.
context: I'm everyone's mom.\That makes no sense.\You know, you should keep singing, even after you graduate.\Maybe.\Were you playing badminton?\Yeah.\Hey, what are you guys doing here?\I feel like we haven't met up in forever. response:	Even though we see each other in class everyday...
context: That makes no sense.\You know, you should keep singing, even after you graduate.\Maybe.\Were you playing badminton?\Yeah.\Hey, what are you guys doing here?\I feel like we haven't met up in forever.\Even though we see each other in class everyday... response:	Heading home?
context: You know, you should keep singing, even after you graduate.\Maybe.\Were you playing badminton?\Yeah.\Hey, what are you guys doing here?\I feel like we haven't met up in forever.\Even though we see each other in class everyday...\Heading home? response:	Yeah.
context: Maybe.\Were you playing badminton?\Yeah.\Hey, what are you guys doing here?\I feel like we haven't met up in forever.\Even though we see each other in class everyday...\Heading home?\Yeah. response:	Lucky Tanaka's got badminton, so he doesn't have to study.
context: Were you playing badminton?\Yeah.\Hey, what are you guys doing here?\I feel like we haven't met up in forever.\Even though we see each other in class everyday...\Heading home?\Yeah.\Lucky Tanaka's got badminton, so he doesn't have to study. response:	Not that again.
context: Yeah.\Hey, what are you guys doing here?\I feel like we haven't met up in forever.\Even though we see each other in class everyday...\Heading home?\Yeah.\Lucky Tanaka's got badminton, so he doesn't have to study.\Not that again. response:	My bad.
context: Hey, what are you guys doing here?\I feel like we haven't met up in forever.\Even though we see each other in class everyday...\Heading home?\Yeah.\Lucky Tanaka's got badminton, so he doesn't have to study.\Not that again.\My bad. response:	Should we go home?
context: I feel like we haven't met up in forever.\Even though we see each other in class everyday...\Heading home?\Yeah.\Lucky Tanaka's got badminton, so he doesn't have to study.\Not that again.\My bad.\Should we go home? response:	I finished the song!
context: Even though we see each other in class everyday...\Heading home?\Yeah.\Lucky Tanaka's got badminton, so he doesn't have to study.\Not that again.\My bad.\Should we go home?\I finished the song! response:	I want us to sing the song my mom and I wrote, together!
context: Heading home?\Yeah.\Lucky Tanaka's got badminton, so he doesn't have to study.\Not that again.\My bad.\Should we go home?\I finished the song!\I want us to sing the song my mom and I wrote, together! response:	We might not be able to do
context: Yeah.\Lucky Tanaka's got badminton, so he doesn't have to study.\Not that again.\My bad.\Should we go home?\I finished the song!\I want us to sing the song my mom and I wrote, together!\We might not be able to do response:	anything about our school shutting down,
context: Lucky Tanaka's got badminton, so he doesn't have to study.\Not that again.\My bad.\Should we go home?\I finished the song!\I want us to sing the song my mom and I wrote, together!\We might not be able to do\anything about our school shutting down, response:	but it's not over yet!
context: Not that again.\My bad.\Should we go home?\I finished the song!\I want us to sing the song my mom and I wrote, together!\We might not be able to do\anything about our school shutting down,\but it's not over yet! response:	Let's have a White Festival!
context: My bad.\Should we go home?\I finished the song!\I want us to sing the song my mom and I wrote, together!\We might not be able to do\anything about our school shutting down,\but it's not over yet!\Let's have a White Festival! response:	Mom, I finished the song we promised to make.
context: Should we go home?\I finished the song!\I want us to sing the song my mom and I wrote, together!\We might not be able to do\anything about our school shutting down,\but it's not over yet!\Let's have a White Festival!\Mom, I finished the song we promised to make. response:	I have faith.
context: I finished the song!\I want us to sing the song my mom and I wrote, together!\We might not be able to do\anything about our school shutting down,\but it's not over yet!\Let's have a White Festival!\Mom, I finished the song we promised to make.\I have faith. response:	We're going to do this seriously!
context: I want us to sing the song my mom and I wrote, together!\We might not be able to do\anything about our school shutting down,\but it's not over yet!\Let's have a White Festival!\Mom, I finished the song we promised to make.\I have faith.\We're going to do this seriously! response:	Episode 12 Piling Up and Rippling
context: We might not be able to do\anything about our school shutting down,\but it's not over yet!\Let's have a White Festival!\Mom, I finished the song we promised to make.\I have faith.\We're going to do this seriously!\Episode 12 Piling Up and Rippling response:	Horse...
context: anything about our school shutting down,\but it's not over yet!\Let's have a White Festival!\Mom, I finished the song we promised to make.\I have faith.\We're going to do this seriously!\Episode 12 Piling Up and Rippling\Horse... response:	Even then, we're going to sing!
