context: It's Oracion Seis vs. our Allied Forces! response:	But all of a sudden the magical bomber Christina, our trump card, was blown up!
context: Light and Darkness?\I don't understand at all.\Around that time, Natsu and the rest have split up into groups to search for Wendy and Happy.\Fairy Tail's Natsu, Gray, and Caitshelter's Charles.\Lamia Scale's Jura, Lyon, and Sherry.\Blue Pegasus's Ichiya, Ren, and Eve.\Wait, Ren... I can't see Ichiya-sama.\Ichiya-sama, where are you? response:	We're separated...
context: I don't understand at all.\Around that time, Natsu and the rest have split up into groups to search for Wendy and Happy.\Fairy Tail's Natsu, Gray, and Caitshelter's Charles.\Lamia Scale's Jura, Lyon, and Sherry.\Blue Pegasus's Ichiya, Ren, and Eve.\Wait, Ren... I can't see Ichiya-sama.\Ichiya-sama, where are you?\We're separated... response:	Ren!
context: Around that time, Natsu and the rest have split up into groups to search for Wendy and Happy.\Fairy Tail's Natsu, Gray, and Caitshelter's Charles.\Lamia Scale's Jura, Lyon, and Sherry.\Blue Pegasus's Ichiya, Ren, and Eve.\Wait, Ren... I can't see Ichiya-sama.\Ichiya-sama, where are you?\We're separated...\Ren! response:	Eve!
context: Fairy Tail's Natsu, Gray, and Caitshelter's Charles.\Lamia Scale's Jura, Lyon, and Sherry.\Blue Pegasus's Ichiya, Ren, and Eve.\Wait, Ren... I can't see Ichiya-sama.\Ichiya-sama, where are you?\We're separated...\Ren!\Eve! response:	Where are you? Men!
context: Lamia Scale's Jura, Lyon, and Sherry.\Blue Pegasus's Ichiya, Ren, and Eve.\Wait, Ren... I can't see Ichiya-sama.\Ichiya-sama, where are you?\We're separated...\Ren!\Eve!\Where are you? Men! response:	And remaining beside Erza are Lucy and Blue Pegasus's Hibiki.
context: Blue Pegasus's Ichiya, Ren, and Eve.\Wait, Ren... I can't see Ichiya-sama.\Ichiya-sama, where are you?\We're separated...\Ren!\Eve!\Where are you? Men!\And remaining beside Erza are Lucy and Blue Pegasus's Hibiki. response:	Everyone... Please hurry!
context: Wait, Ren... I can't see Ichiya-sama.\Ichiya-sama, where are you?\We're separated...\Ren!\Eve!\Where are you? Men!\And remaining beside Erza are Lucy and Blue Pegasus's Hibiki.\Everyone... Please hurry! response:	Fretting about it won't help. But there is something we can do.
context: Ichiya-sama, where are you?\We're separated...\Ren!\Eve!\Where are you? Men!\And remaining beside Erza are Lucy and Blue Pegasus's Hibiki.\Everyone... Please hurry!\Fretting about it won't help. But there is something we can do. response:	Something we can do?
context: We're separated...\Ren!\Eve!\Where are you? Men!\And remaining beside Erza are Lucy and Blue Pegasus's Hibiki.\Everyone... Please hurry!\Fretting about it won't help. But there is something we can do.\Something we can do? response:	Those heading there, and those that remain.
context: Ren!\Eve!\Where are you? Men!\And remaining beside Erza are Lucy and Blue Pegasus's Hibiki.\Everyone... Please hurry!\Fretting about it won't help. But there is something we can do.\Something we can do?\Those heading there, and those that remain. response:	We're sort of a makeshift alliance,
context: Eve!\Where are you? Men!\And remaining beside Erza are Lucy and Blue Pegasus's Hibiki.\Everyone... Please hurry!\Fretting about it won't help. But there is something we can do.\Something we can do?\Those heading there, and those that remain.\We're sort of a makeshift alliance, response:	but unless we can function as a team, we can't beat them.
context: Where are you? Men!\And remaining beside Erza are Lucy and Blue Pegasus's Hibiki.\Everyone... Please hurry!\Fretting about it won't help. But there is something we can do.\Something we can do?\Those heading there, and those that remain.\We're sort of a makeshift alliance,\but unless we can function as a team, we can't beat them. response:	Jura-san called that magic of yours Archive, right?
context: And remaining beside Erza are Lucy and Blue Pegasus's Hibiki.\Everyone... Please hurry!\Fretting about it won't help. But there is something we can do.\Something we can do?\Those heading there, and those that remain.\We're sort of a makeshift alliance,\but unless we can function as a team, we can't beat them.\Jura-san called that magic of yours Archive, right? response:	Yes. I can track everyone's movements like this.
context: Everyone... Please hurry!\Fretting about it won't help. But there is something we can do.\Something we can do?\Those heading there, and those that remain.\We're sort of a makeshift alliance,\but unless we can function as a team, we can't beat them.\Jura-san called that magic of yours Archive, right?\Yes. I can track everyone's movements like this. response:	You're not going to go, Lucy?
context: Fretting about it won't help. But there is something we can do.\Something we can do?\Those heading there, and those that remain.\We're sort of a makeshift alliance,\but unless we can function as a team, we can't beat them.\Jura-san called that magic of yours Archive, right?\Yes. I can track everyone's movements like this.\You're not going to go, Lucy? response:	I can't leave Erza behind, right?
context: Something we can do?\Those heading there, and those that remain.\We're sort of a makeshift alliance,\but unless we can function as a team, we can't beat them.\Jura-san called that magic of yours Archive, right?\Yes. I can track everyone's movements like this.\You're not going to go, Lucy?\I can't leave Erza behind, right? response:	And besides, I'm the least useful in a fight.
context: Those heading there, and those that remain.\We're sort of a makeshift alliance,\but unless we can function as a team, we can't beat them.\Jura-san called that magic of yours Archive, right?\Yes. I can track everyone's movements like this.\You're not going to go, Lucy?\I can't leave Erza behind, right?\And besides, I'm the least useful in a fight. response:	You're too modest.
context: We're sort of a makeshift alliance,\but unless we can function as a team, we can't beat them.\Jura-san called that magic of yours Archive, right?\Yes. I can track everyone's movements like this.\You're not going to go, Lucy?\I can't leave Erza behind, right?\And besides, I'm the least useful in a fight.\You're too modest. response:	I've heard the rumors.
context: but unless we can function as a team, we can't beat them.\Jura-san called that magic of yours Archive, right?\Yes. I can track everyone's movements like this.\You're not going to go, Lucy?\I can't leave Erza behind, right?\And besides, I'm the least useful in a fight.\You're too modest.\I've heard the rumors. response:	Like how you beat 19 3-meter tall gorillas...
context: Jura-san called that magic of yours Archive, right?\Yes. I can track everyone's movements like this.\You're not going to go, Lucy?\I can't leave Erza behind, right?\And besides, I'm the least useful in a fight.\You're too modest.\I've heard the rumors.\Like how you beat 19 3-meter tall gorillas... response:	And during the battle with Phantom, you knocked out Master Jose barehanded!
context: Yes. I can track everyone's movements like this.\You're not going to go, Lucy?\I can't leave Erza behind, right?\And besides, I'm the least useful in a fight.\You're too modest.\I've heard the rumors.\Like how you beat 19 3-meter tall gorillas...\And during the battle with Phantom, you knocked out Master Jose barehanded! response:	Or when you fought 1000 Dark Guild members alone at Acalypha!
context: You're not going to go, Lucy?\I can't leave Erza behind, right?\And besides, I'm the least useful in a fight.\You're too modest.\I've heard the rumors.\Like how you beat 19 3-meter tall gorillas...\And during the battle with Phantom, you knocked out Master Jose barehanded!\Or when you fought 1000 Dark Guild members alone at Acalypha! response:	My legend grows ever more ridiculous...
context: I can't leave Erza behind, right?\And besides, I'm the least useful in a fight.\You're too modest.\I've heard the rumors.\Like how you beat 19 3-meter tall gorillas...\And during the battle with Phantom, you knocked out Master Jose barehanded!\Or when you fought 1000 Dark Guild members alone at Acalypha!\My legend grows ever more ridiculous... response:	Speaking of which... Aren't you going to go?
context: And besides, I'm the least useful in a fight.\You're too modest.\I've heard the rumors.\Like how you beat 19 3-meter tall gorillas...\And during the battle with Phantom, you knocked out Master Jose barehanded!\Or when you fought 1000 Dark Guild members alone at Acalypha!\My legend grows ever more ridiculous...\Speaking of which... Aren't you going to go? response:	I can't leave two women by themselves.
context: You're too modest.\I've heard the rumors.\Like how you beat 19 3-meter tall gorillas...\And during the battle with Phantom, you knocked out Master Jose barehanded!\Or when you fought 1000 Dark Guild members alone at Acalypha!\My legend grows ever more ridiculous...\Speaking of which... Aren't you going to go?\I can't leave two women by themselves. response:	Oh? You're kinder than I thought.
context: I've heard the rumors.\Like how you beat 19 3-meter tall gorillas...\And during the battle with Phantom, you knocked out Master Jose barehanded!\Or when you fought 1000 Dark Guild members alone at Acalypha!\My legend grows ever more ridiculous...\Speaking of which... Aren't you going to go?\I can't leave two women by themselves.\Oh? You're kinder than I thought. response:	Definitely not like the impression I got from reading Weekly Sorcerer.
context: Like how you beat 19 3-meter tall gorillas...\And during the battle with Phantom, you knocked out Master Jose barehanded!\Or when you fought 1000 Dark Guild members alone at Acalypha!\My legend grows ever more ridiculous...\Speaking of which... Aren't you going to go?\I can't leave two women by themselves.\Oh? You're kinder than I thought.\Definitely not like the impression I got from reading Weekly Sorcerer. response:	And besides, my magic allows me to tell everyone where this place is.
context: And during the battle with Phantom, you knocked out Master Jose barehanded!\Or when you fought 1000 Dark Guild members alone at Acalypha!\My legend grows ever more ridiculous...\Speaking of which... Aren't you going to go?\I can't leave two women by themselves.\Oh? You're kinder than I thought.\Definitely not like the impression I got from reading Weekly Sorcerer.\And besides, my magic allows me to tell everyone where this place is. response:	Even if we save Wendy and Happy, there's no point unless they can return here.
context: Or when you fought 1000 Dark Guild members alone at Acalypha!\My legend grows ever more ridiculous...\Speaking of which... Aren't you going to go?\I can't leave two women by themselves.\Oh? You're kinder than I thought.\Definitely not like the impression I got from reading Weekly Sorcerer.\And besides, my magic allows me to tell everyone where this place is.\Even if we save Wendy and Happy, there's no point unless they can return here. response:	You've really thought this through.
context: My legend grows ever more ridiculous...\Speaking of which... Aren't you going to go?\I can't leave two women by themselves.\Oh? You're kinder than I thought.\Definitely not like the impression I got from reading Weekly Sorcerer.\And besides, my magic allows me to tell everyone where this place is.\Even if we save Wendy and Happy, there's no point unless they can return here.\You've really thought this through. response:	I'm just practicing what Ichiya-sama taught me.
context: Speaking of which... Aren't you going to go?\I can't leave two women by themselves.\Oh? You're kinder than I thought.\Definitely not like the impression I got from reading Weekly Sorcerer.\And besides, my magic allows me to tell everyone where this place is.\Even if we save Wendy and Happy, there's no point unless they can return here.\You've really thought this through.\I'm just practicing what Ichiya-sama taught me. response:	So Natsu-kun's group is there.
context: I can't leave two women by themselves.\Oh? You're kinder than I thought.\Definitely not like the impression I got from reading Weekly Sorcerer.\And besides, my magic allows me to tell everyone where this place is.\Even if we save Wendy and Happy, there's no point unless they can return here.\You've really thought this through.\I'm just practicing what Ichiya-sama taught me.\So Natsu-kun's group is there. response:	So, about this Sky Dragon Slayer... What does she eat?
context: Oh? You're kinder than I thought.\Definitely not like the impression I got from reading Weekly Sorcerer.\And besides, my magic allows me to tell everyone where this place is.\Even if we save Wendy and Happy, there's no point unless they can return here.\You've really thought this through.\I'm just practicing what Ichiya-sama taught me.\So Natsu-kun's group is there.\So, about this Sky Dragon Slayer... What does she eat? response:	Air.
context: Definitely not like the impression I got from reading Weekly Sorcerer.\And besides, my magic allows me to tell everyone where this place is.\Even if we save Wendy and Happy, there's no point unless they can return here.\You've really thought this through.\I'm just practicing what Ichiya-sama taught me.\So Natsu-kun's group is there.\So, about this Sky Dragon Slayer... What does she eat?\Air. response:	Does air taste good?
context: And besides, my magic allows me to tell everyone where this place is.\Even if we save Wendy and Happy, there's no point unless they can return here.\You've really thought this through.\I'm just practicing what Ichiya-sama taught me.\So Natsu-kun's group is there.\So, about this Sky Dragon Slayer... What does she eat?\Air.\Does air taste good? response:	I have no idea.
context: Even if we save Wendy and Happy, there's no point unless they can return here.\You've really thought this through.\I'm just practicing what Ichiya-sama taught me.\So Natsu-kun's group is there.\So, about this Sky Dragon Slayer... What does she eat?\Air.\Does air taste good?\I have no idea. response:	How is that different than breathing oxygen?
context: You've really thought this through.\I'm just practicing what Ichiya-sama taught me.\So Natsu-kun's group is there.\So, about this Sky Dragon Slayer... What does she eat?\Air.\Does air taste good?\I have no idea.\How is that different than breathing oxygen? response:	She volunteered for this mission because she thought she might get to meet you.
context: I'm just practicing what Ichiya-sama taught me.\So Natsu-kun's group is there.\So, about this Sky Dragon Slayer... What does she eat?\Air.\Does air taste good?\I have no idea.\How is that different than breathing oxygen?\She volunteered for this mission because she thought she might get to meet you. response:	Me?
context: So Natsu-kun's group is there.\So, about this Sky Dragon Slayer... What does she eat?\Air.\Does air taste good?\I have no idea.\How is that different than breathing oxygen?\She volunteered for this mission because she thought she might get to meet you.\Me? response:	You're also a Dragon Slayer, yes? She wants to ask you something.
context: So, about this Sky Dragon Slayer... What does she eat?\Air.\Does air taste good?\I have no idea.\How is that different than breathing oxygen?\She volunteered for this mission because she thought she might get to meet you.\Me?\You're also a Dragon Slayer, yes? She wants to ask you something. response:	To ask me?
context: Air.\Does air taste good?\I have no idea.\How is that different than breathing oxygen?\She volunteered for this mission because she thought she might get to meet you.\Me?\You're also a Dragon Slayer, yes? She wants to ask you something.\To ask me? response:	Yes. She says that the dragon that taught her Dragon Slayer Magic disappeared 7 years ago.
context: Does air taste good?\I have no idea.\How is that different than breathing oxygen?\She volunteered for this mission because she thought she might get to meet you.\Me?\You're also a Dragon Slayer, yes? She wants to ask you something.\To ask me?\Yes. She says that the dragon that taught her Dragon Slayer Magic disappeared 7 years ago. response:	So she thinks that you might know where the dragon is.
context: I have no idea.\How is that different than breathing oxygen?\She volunteered for this mission because she thought she might get to meet you.\Me?\You're also a Dragon Slayer, yes? She wants to ask you something.\To ask me?\Yes. She says that the dragon that taught her Dragon Slayer Magic disappeared 7 years ago.\So she thinks that you might know where the dragon is. response:	What's the name of the dragon?
context: How is that different than breathing oxygen?\She volunteered for this mission because she thought she might get to meet you.\Me?\You're also a Dragon Slayer, yes? She wants to ask you something.\To ask me?\Yes. She says that the dragon that taught her Dragon Slayer Magic disappeared 7 years ago.\So she thinks that you might know where the dragon is.\What's the name of the dragon? response:	She said it was the Sky Dragon Grandine, if I recall...
context: She volunteered for this mission because she thought she might get to meet you.\Me?\You're also a Dragon Slayer, yes? She wants to ask you something.\To ask me?\Yes. She says that the dragon that taught her Dragon Slayer Magic disappeared 7 years ago.\So she thinks that you might know where the dragon is.\What's the name of the dragon?\She said it was the Sky Dragon Grandine, if I recall... response:	The Sky Dragon, Grandine...
context: Me?\You're also a Dragon Slayer, yes? She wants to ask you something.\To ask me?\Yes. She says that the dragon that taught her Dragon Slayer Magic disappeared 7 years ago.\So she thinks that you might know where the dragon is.\What's the name of the dragon?\She said it was the Sky Dragon Grandine, if I recall...\The Sky Dragon, Grandine... response:	Seven years ago...
context: You're also a Dragon Slayer, yes? She wants to ask you something.\To ask me?\Yes. She says that the dragon that taught her Dragon Slayer Magic disappeared 7 years ago.\So she thinks that you might know where the dragon is.\What's the name of the dragon?\She said it was the Sky Dragon Grandine, if I recall...\The Sky Dragon, Grandine...\Seven years ago... response:	That's it! What about Laxus?
context: To ask me?\Yes. She says that the dragon that taught her Dragon Slayer Magic disappeared 7 years ago.\So she thinks that you might know where the dragon is.\What's the name of the dragon?\She said it was the Sky Dragon Grandine, if I recall...\The Sky Dragon, Grandine...\Seven years ago...\That's it! What about Laxus? response:	Gramps told us, remember? He's not a Dragon Slayer.
context: Yes. She says that the dragon that taught her Dragon Slayer Magic disappeared 7 years ago.\So she thinks that you might know where the dragon is.\What's the name of the dragon?\She said it was the Sky Dragon Grandine, if I recall...\The Sky Dragon, Grandine...\Seven years ago...\That's it! What about Laxus?\Gramps told us, remember? He's not a Dragon Slayer. response:	Wh-What's this?
context: So she thinks that you might know where the dragon is.\What's the name of the dragon?\She said it was the Sky Dragon Grandine, if I recall...\The Sky Dragon, Grandine...\Seven years ago...\That's it! What about Laxus?\Gramps told us, remember? He's not a Dragon Slayer.\Wh-What's this? response:	The trees are black?
context: What's the name of the dragon?\She said it was the Sky Dragon Grandine, if I recall...\The Sky Dragon, Grandine...\Seven years ago...\That's it! What about Laxus?\Gramps told us, remember? He's not a Dragon Slayer.\Wh-What's this?\The trees are black? response:	This ain't right.
context: She said it was the Sky Dragon Grandine, if I recall...\The Sky Dragon, Grandine...\Seven years ago...\That's it! What about Laxus?\Gramps told us, remember? He's not a Dragon Slayer.\Wh-What's this?\The trees are black?\This ain't right. response:	Zatou-niisan, they said it's'cause of Nirvana, right?
context: The Sky Dragon, Grandine...\Seven years ago...\That's it! What about Laxus?\Gramps told us, remember? He's not a Dragon Slayer.\Wh-What's this?\The trees are black?\This ain't right.\Zatou-niisan, they said it's'cause of Nirvana, right? response:	It's just that terrible a magic!
context: Seven years ago...\That's it! What about Laxus?\Gramps told us, remember? He's not a Dragon Slayer.\Wh-What's this?\The trees are black?\This ain't right.\Zatou-niisan, they said it's'cause of Nirvana, right?\It's just that terrible a magic! response:	The earth itself is dying, Gatou-niisan!
context: That's it! What about Laxus?\Gramps told us, remember? He's not a Dragon Slayer.\Wh-What's this?\The trees are black?\This ain't right.\Zatou-niisan, they said it's'cause of Nirvana, right?\It's just that terrible a magic!\The earth itself is dying, Gatou-niisan! response:	H-Hey...
context: Gramps told us, remember? He's not a Dragon Slayer.\Wh-What's this?\The trees are black?\This ain't right.\Zatou-niisan, they said it's'cause of Nirvana, right?\It's just that terrible a magic!\The earth itself is dying, Gatou-niisan!\H-Hey... response:	We're surrounded!
context: Wh-What's this?\The trees are black?\This ain't right.\Zatou-niisan, they said it's'cause of Nirvana, right?\It's just that terrible a magic!\The earth itself is dying, Gatou-niisan!\H-Hey...\We're surrounded! response:	It's'cause of Nirvana, right?
context: The trees are black?\This ain't right.\Zatou-niisan, they said it's'cause of Nirvana, right?\It's just that terrible a magic!\The earth itself is dying, Gatou-niisan!\H-Hey...\We're surrounded!\It's'cause of Nirvana, right? response:	You just said that, Gatou-niisan!
context: This ain't right.\Zatou-niisan, they said it's'cause of Nirvana, right?\It's just that terrible a magic!\The earth itself is dying, Gatou-niisan!\H-Hey...\We're surrounded!\It's'cause of Nirvana, right?\You just said that, Gatou-niisan! response:	Did I, Zatou-niisan?
context: Zatou-niisan, they said it's'cause of Nirvana, right?\It's just that terrible a magic!\The earth itself is dying, Gatou-niisan!\H-Hey...\We're surrounded!\It's'cause of Nirvana, right?\You just said that, Gatou-niisan!\Did I, Zatou-niisan? response:	It's monkeys! We got two monkeys here, whoa!
context: It's just that terrible a magic!\The earth itself is dying, Gatou-niisan!\H-Hey...\We're surrounded!\It's'cause of Nirvana, right?\You just said that, Gatou-niisan!\Did I, Zatou-niisan?\It's monkeys! We got two monkeys here, whoa! response:	Those guys are from Fairy Tail!
context: The earth itself is dying, Gatou-niisan!\H-Hey...\We're surrounded!\It's'cause of Nirvana, right?\You just said that, Gatou-niisan!\Did I, Zatou-niisan?\It's monkeys! We got two monkeys here, whoa!\Those guys are from Fairy Tail! response:	It was their fault!
context: H-Hey...\We're surrounded!\It's'cause of Nirvana, right?\You just said that, Gatou-niisan!\Did I, Zatou-niisan?\It's monkeys! We got two monkeys here, whoa!\Those guys are from Fairy Tail!\It was their fault! response:	Friends of the woman who messed up our plans in Acalypha, huh?
context: We're surrounded!\It's'cause of Nirvana, right?\You just said that, Gatou-niisan!\Did I, Zatou-niisan?\It's monkeys! We got two monkeys here, whoa!\Those guys are from Fairy Tail!\It was their fault!\Friends of the woman who messed up our plans in Acalypha, huh? response:	There's another monkey!
context: It's'cause of Nirvana, right?\You just said that, Gatou-niisan!\Did I, Zatou-niisan?\It's monkeys! We got two monkeys here, whoa!\Those guys are from Fairy Tail!\It was their fault!\Friends of the woman who messed up our plans in Acalypha, huh?\There's another monkey! response:	We're Naked Mummy, and we work for Oracion Seis!
context: You just said that, Gatou-niisan!\Did I, Zatou-niisan?\It's monkeys! We got two monkeys here, whoa!\Those guys are from Fairy Tail!\It was their fault!\Friends of the woman who messed up our plans in Acalypha, huh?\There's another monkey!\We're Naked Mummy, and we work for Oracion Seis! response:	Let's play!
context: Did I, Zatou-niisan?\It's monkeys! We got two monkeys here, whoa!\Those guys are from Fairy Tail!\It was their fault!\Friends of the woman who messed up our plans in Acalypha, huh?\There's another monkey!\We're Naked Mummy, and we work for Oracion Seis!\Let's play! response:	Naked Mummy?
context: It's monkeys! We got two monkeys here, whoa!\Those guys are from Fairy Tail!\It was their fault!\Friends of the woman who messed up our plans in Acalypha, huh?\There's another monkey!\We're Naked Mummy, and we work for Oracion Seis!\Let's play!\Naked Mummy? response:	One of the Dark Guilds.
context: Those guys are from Fairy Tail!\It was their fault!\Friends of the woman who messed up our plans in Acalypha, huh?\There's another monkey!\We're Naked Mummy, and we work for Oracion Seis!\Let's play!\Naked Mummy?\One of the Dark Guilds. response:	Lucy told us she fought with them earlier, remember?
context: It was their fault!\Friends of the woman who messed up our plans in Acalypha, huh?\There's another monkey!\We're Naked Mummy, and we work for Oracion Seis!\Let's play!\Naked Mummy?\One of the Dark Guilds.\Lucy told us she fought with them earlier, remember? response:	We've been had! I thought we were only up against six people!
context: Friends of the woman who messed up our plans in Acalypha, huh?\There's another monkey!\We're Naked Mummy, and we work for Oracion Seis!\Let's play!\Naked Mummy?\One of the Dark Guilds.\Lucy told us she fought with them earlier, remember?\We've been had! I thought we were only up against six people! response:	These guys'll be perfect...
context: There's another monkey!\We're Naked Mummy, and we work for Oracion Seis!\Let's play!\Naked Mummy?\One of the Dark Guilds.\Lucy told us she fought with them earlier, remember?\We've been had! I thought we were only up against six people!\These guys'll be perfect... response:	Perfect!
context: We're Naked Mummy, and we work for Oracion Seis!\Let's play!\Naked Mummy?\One of the Dark Guilds.\Lucy told us she fought with them earlier, remember?\We've been had! I thought we were only up against six people!\These guys'll be perfect...\Perfect! response:	What are you people saying? We have to hurry and break through to escape!
context: Let's play!\Naked Mummy?\One of the Dark Guilds.\Lucy told us she fought with them earlier, remember?\We've been had! I thought we were only up against six people!\These guys'll be perfect...\Perfect!\What are you people saying? We have to hurry and break through to escape! response:	Run? Don't be silly.
context: Naked Mummy?\One of the Dark Guilds.\Lucy told us she fought with them earlier, remember?\We've been had! I thought we were only up against six people!\These guys'll be perfect...\Perfect!\What are you people saying? We have to hurry and break through to escape!\Run? Don't be silly. response:	They came all this way to greet us...
context: One of the Dark Guilds.\Lucy told us she fought with them earlier, remember?\We've been had! I thought we were only up against six people!\These guys'll be perfect...\Perfect!\What are you people saying? We have to hurry and break through to escape!\Run? Don't be silly.\They came all this way to greet us... response:	We'll force'em to tell us where their base is!
context: Lucy told us she fought with them earlier, remember?\We've been had! I thought we were only up against six people!\These guys'll be perfect...\Perfect!\What are you people saying? We have to hurry and break through to escape!\Run? Don't be silly.\They came all this way to greet us...\We'll force'em to tell us where their base is! response:	Wait for us, Happy, Wendy!
context: We've been had! I thought we were only up against six people!\These guys'll be perfect...\Perfect!\What are you people saying? We have to hurry and break through to escape!\Run? Don't be silly.\They came all this way to greet us...\We'll force'em to tell us where their base is!\Wait for us, Happy, Wendy! response:	These brats are makin' fun of us!
context: These guys'll be perfect...\Perfect!\What are you people saying? We have to hurry and break through to escape!\Run? Don't be silly.\They came all this way to greet us...\We'll force'em to tell us where their base is!\Wait for us, Happy, Wendy!\These brats are makin' fun of us! response:	We're Naked Mummy, and we work for Oracion Seis!
context: Perfect!\What are you people saying? We have to hurry and break through to escape!\Run? Don't be silly.\They came all this way to greet us...\We'll force'em to tell us where their base is!\Wait for us, Happy, Wendy!\These brats are makin' fun of us!\We're Naked Mummy, and we work for Oracion Seis! response:	Why do you say things twice?
context: What are you people saying? We have to hurry and break through to escape!\Run? Don't be silly.\They came all this way to greet us...\We'll force'em to tell us where their base is!\Wait for us, Happy, Wendy!\These brats are makin' fun of us!\We're Naked Mummy, and we work for Oracion Seis!\Why do you say things twice? response:	It's over for you!
context: Run? Don't be silly.\They came all this way to greet us...\We'll force'em to tell us where their base is!\Wait for us, Happy, Wendy!\These brats are makin' fun of us!\We're Naked Mummy, and we work for Oracion Seis!\Why do you say things twice?\It's over for you! response:	What is with these Fairy Tail wizards?
context: They came all this way to greet us...\We'll force'em to tell us where their base is!\Wait for us, Happy, Wendy!\These brats are makin' fun of us!\We're Naked Mummy, and we work for Oracion Seis!\Why do you say things twice?\It's over for you!\What is with these Fairy Tail wizards? response:	Do they really think they can win against such numbers?
context: We'll force'em to tell us where their base is!\Wait for us, Happy, Wendy!\These brats are makin' fun of us!\We're Naked Mummy, and we work for Oracion Seis!\Why do you say things twice?\It's over for you!\What is with these Fairy Tail wizards?\Do they really think they can win against such numbers? response:	At the same time...
context: Wait for us, Happy, Wendy!\These brats are makin' fun of us!\We're Naked Mummy, and we work for Oracion Seis!\Why do you say things twice?\It's over for you!\What is with these Fairy Tail wizards?\Do they really think they can win against such numbers?\At the same time... response:	Blue Pegasus's Ren and Eve are also surrounded by another new enemy.
context: These brats are makin' fun of us!\We're Naked Mummy, and we work for Oracion Seis!\Why do you say things twice?\It's over for you!\What is with these Fairy Tail wizards?\Do they really think they can win against such numbers?\At the same time...\Blue Pegasus's Ren and Eve are also surrounded by another new enemy. response:	These guys are the Dark Guild Black Unicorn.
context: We're Naked Mummy, and we work for Oracion Seis!\Why do you say things twice?\It's over for you!\What is with these Fairy Tail wizards?\Do they really think they can win against such numbers?\At the same time...\Blue Pegasus's Ren and Eve are also surrounded by another new enemy.\These guys are the Dark Guild Black Unicorn. response:	Why are they here?
context: Why do you say things twice?\It's over for you!\What is with these Fairy Tail wizards?\Do they really think they can win against such numbers?\At the same time...\Blue Pegasus's Ren and Eve are also surrounded by another new enemy.\These guys are the Dark Guild Black Unicorn.\Why are they here? response:	Damn silky hair!
context: It's over for you!\What is with these Fairy Tail wizards?\Do they really think they can win against such numbers?\At the same time...\Blue Pegasus's Ren and Eve are also surrounded by another new enemy.\These guys are the Dark Guild Black Unicorn.\Why are they here?\Damn silky hair! response:	Damn handsome men!
context: What is with these Fairy Tail wizards?\Do they really think they can win against such numbers?\At the same time...\Blue Pegasus's Ren and Eve are also surrounded by another new enemy.\These guys are the Dark Guild Black Unicorn.\Why are they here?\Damn silky hair!\Damn handsome men! response:	Prepare yourselves!
context: Do they really think they can win against such numbers?\At the same time...\Blue Pegasus's Ren and Eve are also surrounded by another new enemy.\These guys are the Dark Guild Black Unicorn.\Why are they here?\Damn silky hair!\Damn handsome men!\Prepare yourselves! response:	And as you may expect, Lyon, Jura and Sherry are the same.
context: At the same time...\Blue Pegasus's Ren and Eve are also surrounded by another new enemy.\These guys are the Dark Guild Black Unicorn.\Why are they here?\Damn silky hair!\Damn handsome men!\Prepare yourselves!\And as you may expect, Lyon, Jura and Sherry are the same. response:	These people are Red Hood.
context: Blue Pegasus's Ren and Eve are also surrounded by another new enemy.\These guys are the Dark Guild Black Unicorn.\Why are they here?\Damn silky hair!\Damn handsome men!\Prepare yourselves!\And as you may expect, Lyon, Jura and Sherry are the same.\These people are Red Hood. response:	Where were they hiding?
context: These guys are the Dark Guild Black Unicorn.\Why are they here?\Damn silky hair!\Damn handsome men!\Prepare yourselves!\And as you may expect, Lyon, Jura and Sherry are the same.\These people are Red Hood.\Where were they hiding? response:	I can't believe they ambushed us like this.
context: Why are they here?\Damn silky hair!\Damn handsome men!\Prepare yourselves!\And as you may expect, Lyon, Jura and Sherry are the same.\These people are Red Hood.\Where were they hiding?\I can't believe they ambushed us like this. response:	That's the Wizard Saint, Jura!
context: Damn silky hair!\Damn handsome men!\Prepare yourselves!\And as you may expect, Lyon, Jura and Sherry are the same.\These people are Red Hood.\Where were they hiding?\I can't believe they ambushed us like this.\That's the Wizard Saint, Jura! response:	Defeating him would make an excellent trophy!
context: Damn handsome men!\Prepare yourselves!\And as you may expect, Lyon, Jura and Sherry are the same.\These people are Red Hood.\Where were they hiding?\I can't believe they ambushed us like this.\That's the Wizard Saint, Jura!\Defeating him would make an excellent trophy! response:	Men!
context: Prepare yourselves!\And as you may expect, Lyon, Jura and Sherry are the same.\These people are Red Hood.\Where were they hiding?\I can't believe they ambushed us like this.\That's the Wizard Saint, Jura!\Defeating him would make an excellent trophy!\Men! response:	And this man as well...
context: And as you may expect, Lyon, Jura and Sherry are the same.\These people are Red Hood.\Where were they hiding?\I can't believe they ambushed us like this.\That's the Wizard Saint, Jura!\Defeating him would make an excellent trophy!\Men!\And this man as well... response:	Wait... I got separated and now I'm all alone...
context: These people are Red Hood.\Where were they hiding?\I can't believe they ambushed us like this.\That's the Wizard Saint, Jura!\Defeating him would make an excellent trophy!\Men!\And this man as well...\Wait... I got separated and now I'm all alone... response:	So... I'm definitely not anyone suspicious...
context: Where were they hiding?\I can't believe they ambushed us like this.\That's the Wizard Saint, Jura!\Defeating him would make an excellent trophy!\Men!\And this man as well...\Wait... I got separated and now I'm all alone...\So... I'm definitely not anyone suspicious... response:	Men!
