context: You made it to Class A, Taichi. response:	I was playing a third-year from Fujisaki.
context: Shinobu-chan had May my lonely\and May the time spent at her lower left,\so Arata went for the entire group of cards.\But Shinobu-chan was able to pick out\the one card she needed.\Shinobu-chan was pulling on the strings.\How is she able to do that?\Faster... response:	Lower...
context: and May the time spent at her lower left,\so Arata went for the entire group of cards.\But Shinobu-chan was able to pick out\the one card she needed.\Shinobu-chan was pulling on the strings.\How is she able to do that?\Faster...\Lower... response:	The one with the stronger ties to the cards
context: so Arata went for the entire group of cards.\But Shinobu-chan was able to pick out\the one card she needed.\Shinobu-chan was pulling on the strings.\How is she able to do that?\Faster...\Lower...\The one with the stronger ties to the cards response:	is me, Arata.
context: But Shinobu-chan was able to pick out\the one card she needed.\Shinobu-chan was pulling on the strings.\How is she able to do that?\Faster...\Lower...\The one with the stronger ties to the cards\is me, Arata. response:	That smiling four-eyes really throws me off.
context: the one card she needed.\Shinobu-chan was pulling on the strings.\How is she able to do that?\Faster...\Lower...\The one with the stronger ties to the cards\is me, Arata.\That smiling four-eyes really throws me off. response:	I have to be careful.
context: Shinobu-chan was pulling on the strings.\How is she able to do that?\Faster...\Lower...\The one with the stronger ties to the cards\is me, Arata.\That smiling four-eyes really throws me off.\I have to be careful. response:	Concentrate. Concentrate.
context: How is she able to do that?\Faster...\Lower...\The one with the stronger ties to the cards\is me, Arata.\That smiling four-eyes really throws me off.\I have to be careful.\Concentrate. Concentrate. response:	The Queen has cut down the lead.
context: Faster...\Lower...\The one with the stronger ties to the cards\is me, Arata.\That smiling four-eyes really throws me off.\I have to be careful.\Concentrate. Concentrate.\The Queen has cut down the lead. response:	What now?
context: Lower...\The one with the stronger ties to the cards\is me, Arata.\That smiling four-eyes really throws me off.\I have to be careful.\Concentrate. Concentrate.\The Queen has cut down the lead.\What now? response:	Concentrate. Concentrate.
context: The one with the stronger ties to the cards\is me, Arata.\That smiling four-eyes really throws me off.\I have to be careful.\Concentrate. Concentrate.\The Queen has cut down the lead.\What now?\Concentrate. Concentrate. response:	I feel like crap.
context: is me, Arata.\That smiling four-eyes really throws me off.\I have to be careful.\Concentrate. Concentrate.\The Queen has cut down the lead.\What now?\Concentrate. Concentrate.\I feel like crap. response:	I can confidently say
context: That smiling four-eyes really throws me off.\I have to be careful.\Concentrate. Concentrate.\The Queen has cut down the lead.\What now?\Concentrate. Concentrate.\I feel like crap.\I can confidently say response:	that this the highest level of high school
context: I have to be careful.\Concentrate. Concentrate.\The Queen has cut down the lead.\What now?\Concentrate. Concentrate.\I feel like crap.\I can confidently say\that this the highest level of high school response:	no, the highest level of Class A play.
context: Concentrate. Concentrate.\The Queen has cut down the lead.\What now?\Concentrate. Concentrate.\I feel like crap.\I can confidently say\that this the highest level of high school\no, the highest level of Class A play. response:	though you have never known that pain
context: The Queen has cut down the lead.\What now?\Concentrate. Concentrate.\I feel like crap.\I can confidently say\that this the highest level of high school\no, the highest level of Class A play.\though you have never known that pain response:	I'm tired.
context: What now?\Concentrate. Concentrate.\I feel like crap.\I can confidently say\that this the highest level of high school\no, the highest level of Class A play.\though you have never known that pain\I'm tired. response:	Hot.
context: Concentrate. Concentrate.\I feel like crap.\I can confidently say\that this the highest level of high school\no, the highest level of Class A play.\though you have never known that pain\I'm tired.\Hot. response:	But...
context: I feel like crap.\I can confidently say\that this the highest level of high school\no, the highest level of Class A play.\though you have never known that pain\I'm tired.\Hot.\But... response:	I can still become stronger.
context: I can confidently say\that this the highest level of high school\no, the highest level of Class A play.\though you have never known that pain\I'm tired.\Hot.\But...\I can still become stronger. response:	I can strengthen my ties to the cards.
context: that this the highest level of high school\no, the highest level of Class A play.\though you have never known that pain\I'm tired.\Hot.\But...\I can still become stronger.\I can strengthen my ties to the cards. response:	Stronger!
context: no, the highest level of Class A play.\though you have never known that pain\I'm tired.\Hot.\But...\I can still become stronger.\I can strengthen my ties to the cards.\Stronger! response:	Stronger!
context: though you have never known that pain\I'm tired.\Hot.\But...\I can still become stronger.\I can strengthen my ties to the cards.\Stronger!\Stronger! response:	Stronger!
context: I'm tired.\Hot.\But...\I can still become stronger.\I can strengthen my ties to the cards.\Stronger!\Stronger!\Stronger! response:	For you, I head out to the fields to pick spring greens
context: Hot.\But...\I can still become stronger.\I can strengthen my ties to the cards.\Stronger!\Stronger!\Stronger!\For you, I head out to the fields to pick spring greens response:	while snow falls upon my sleeves
context: But...\I can still become stronger.\I can strengthen my ties to the cards.\Stronger!\Stronger!\Stronger!\For you, I head out to the fields to pick spring greens\while snow falls upon my sleeves response:	Thank you very much.
context: I can still become stronger.\I can strengthen my ties to the cards.\Stronger!\Stronger!\Stronger!\For you, I head out to the fields to pick spring greens\while snow falls upon my sleeves\Thank you very much. response:	Thank you very much.
context: I can strengthen my ties to the cards.\Stronger!\Stronger!\Stronger!\For you, I head out to the fields to pick spring greens\while snow falls upon my sleeves\Thank you very much.\Thank you very much. response:	The Queen...
context: Stronger!\Stronger!\Stronger!\For you, I head out to the fields to pick spring greens\while snow falls upon my sleeves\Thank you very much.\Thank you very much.\The Queen... response:	The Queen...
context: Stronger!\Stronger!\For you, I head out to the fields to pick spring greens\while snow falls upon my sleeves\Thank you very much.\Thank you very much.\The Queen...\The Queen... response:	Lost!
context: Stronger!\For you, I head out to the fields to pick spring greens\while snow falls upon my sleeves\Thank you very much.\Thank you very much.\The Queen...\The Queen...\Lost! response:	Your High School Class A champion, by two cards,
context: For you, I head out to the fields to pick spring greens\while snow falls upon my sleeves\Thank you very much.\Thank you very much.\The Queen...\The Queen...\Lost!\Your High School Class A champion, by two cards, response:	is Wataya Arata-kun from Fukui.
context: while snow falls upon my sleeves\Thank you very much.\Thank you very much.\The Queen...\The Queen...\Lost!\Your High School Class A champion, by two cards,\is Wataya Arata-kun from Fukui. response:	Arata...
context: Thank you very much.\Thank you very much.\The Queen...\The Queen...\Lost!\Your High School Class A champion, by two cards,\is Wataya Arata-kun from Fukui.\Arata... response:	He really did it.
context: Thank you very much.\The Queen...\The Queen...\Lost!\Your High School Class A champion, by two cards,\is Wataya Arata-kun from Fukui.\Arata...\He really did it. response:	After years without a loss,
context: The Queen...\The Queen...\Lost!\Your High School Class A champion, by two cards,\is Wataya Arata-kun from Fukui.\Arata...\He really did it.\After years without a loss, response:	the Queen has been upset.
context: The Queen...\Lost!\Your High School Class A champion, by two cards,\is Wataya Arata-kun from Fukui.\Arata...\He really did it.\After years without a loss,\the Queen has been upset. response:	You have a fever, Shinobu-chan.
context: Lost!\Your High School Class A champion, by two cards,\is Wataya Arata-kun from Fukui.\Arata...\He really did it.\After years without a loss,\the Queen has been upset.\You have a fever, Shinobu-chan. response:	You were drenched in the rain yesterday,
context: Your High School Class A champion, by two cards,\is Wataya Arata-kun from Fukui.\Arata...\He really did it.\After years without a loss,\the Queen has been upset.\You have a fever, Shinobu-chan.\You were drenched in the rain yesterday, response:	and you were wearing that thing to keep you cool.
context: is Wataya Arata-kun from Fukui.\Arata...\He really did it.\After years without a loss,\the Queen has been upset.\You have a fever, Shinobu-chan.\You were drenched in the rain yesterday,\and you were wearing that thing to keep you cool. response:	I'm amazed you made it through the match.
context: Arata...\He really did it.\After years without a loss,\the Queen has been upset.\You have a fever, Shinobu-chan.\You were drenched in the rain yesterday,\and you were wearing that thing to keep you cool.\I'm amazed you made it through the match. response:	I've always wanted to play
context: He really did it.\After years without a loss,\the Queen has been upset.\You have a fever, Shinobu-chan.\You were drenched in the rain yesterday,\and you were wearing that thing to keep you cool.\I'm amazed you made it through the match.\I've always wanted to play response:	against opponents who wanted to put up a fight.
context: After years without a loss,\the Queen has been upset.\You have a fever, Shinobu-chan.\You were drenched in the rain yesterday,\and you were wearing that thing to keep you cool.\I'm amazed you made it through the match.\I've always wanted to play\against opponents who wanted to put up a fight. response:	Naturally.
context: the Queen has been upset.\You have a fever, Shinobu-chan.\You were drenched in the rain yesterday,\and you were wearing that thing to keep you cool.\I'm amazed you made it through the match.\I've always wanted to play\against opponents who wanted to put up a fight.\Naturally. response:	I'm the Queen.
