context: People say that when someone dies, they can go to heaven. response:	But I don't think that's the case.
context: and request a more equitable renegotiation of foreign treaties with other nations...\These were the three primary demands of...\So we'll all get together, since we have tomorrow off,\and have a kick-off meeting for the production of the movie.\Right.\I'll contact Remon-senpai and the others.\Then, I'll see you guys later.\Right. response:	See you tomorrow.
context: These were the three primary demands of...\So we'll all get together, since we have tomorrow off,\and have a kick-off meeting for the production of the movie.\Right.\I'll contact Remon-senpai and the others.\Then, I'll see you guys later.\Right.\See you tomorrow. response:	Yeah.
context: So we'll all get together, since we have tomorrow off,\and have a kick-off meeting for the production of the movie.\Right.\I'll contact Remon-senpai and the others.\Then, I'll see you guys later.\Right.\See you tomorrow.\Yeah. response:	I should get going, too.
context: and have a kick-off meeting for the production of the movie.\Right.\I'll contact Remon-senpai and the others.\Then, I'll see you guys later.\Right.\See you tomorrow.\Yeah.\I should get going, too. response:	Right. Take care.
context: Right.\I'll contact Remon-senpai and the others.\Then, I'll see you guys later.\Right.\See you tomorrow.\Yeah.\I should get going, too.\Right. Take care. response:	He doesn't look it, but Kaito's actually pretty excited.
context: I'll contact Remon-senpai and the others.\Then, I'll see you guys later.\Right.\See you tomorrow.\Yeah.\I should get going, too.\Right. Take care.\He doesn't look it, but Kaito's actually pretty excited. response:	Really?
context: Then, I'll see you guys later.\Right.\See you tomorrow.\Yeah.\I should get going, too.\Right. Take care.\He doesn't look it, but Kaito's actually pretty excited.\Really? response:	Yeah.
context: Right.\See you tomorrow.\Yeah.\I should get going, too.\Right. Take care.\He doesn't look it, but Kaito's actually pretty excited.\Really?\Yeah. response:	Did I do something I shouldn't have?
context: See you tomorrow.\Yeah.\I should get going, too.\Right. Take care.\He doesn't look it, but Kaito's actually pretty excited.\Really?\Yeah.\Did I do something I shouldn't have? response:	Shouldn't have what?
context: Yeah.\I should get going, too.\Right. Take care.\He doesn't look it, but Kaito's actually pretty excited.\Really?\Yeah.\Did I do something I shouldn't have?\Shouldn't have what? response:	Well, I guess the more chances for you, the better.
context: I should get going, too.\Right. Take care.\He doesn't look it, but Kaito's actually pretty excited.\Really?\Yeah.\Did I do something I shouldn't have?\Shouldn't have what?\Well, I guess the more chances for you, the better. response:	Good luck.
context: Right. Take care.\He doesn't look it, but Kaito's actually pretty excited.\Really?\Yeah.\Did I do something I shouldn't have?\Shouldn't have what?\Well, I guess the more chances for you, the better.\Good luck. response:	It kinda pisses me off when you look down on people like that.
context: He doesn't look it, but Kaito's actually pretty excited.\Really?\Yeah.\Did I do something I shouldn't have?\Shouldn't have what?\Well, I guess the more chances for you, the better.\Good luck.\It kinda pisses me off when you look down on people like that. response:	What am I getting all excited about?
context: Really?\Yeah.\Did I do something I shouldn't have?\Shouldn't have what?\Well, I guess the more chances for you, the better.\Good luck.\It kinda pisses me off when you look down on people like that.\What am I getting all excited about? response:	But a movie, huh?
context: Yeah.\Did I do something I shouldn't have?\Shouldn't have what?\Well, I guess the more chances for you, the better.\Good luck.\It kinda pisses me off when you look down on people like that.\What am I getting all excited about?\But a movie, huh? response:	Isn't that...
context: Did I do something I shouldn't have?\Shouldn't have what?\Well, I guess the more chances for you, the better.\Good luck.\It kinda pisses me off when you look down on people like that.\What am I getting all excited about?\But a movie, huh?\Isn't that... response:	This shouldn't be wrong now...
context: Shouldn't have what?\Well, I guess the more chances for you, the better.\Good luck.\It kinda pisses me off when you look down on people like that.\What am I getting all excited about?\But a movie, huh?\Isn't that...\This shouldn't be wrong now... response:	What are you doing?
context: Well, I guess the more chances for you, the better.\Good luck.\It kinda pisses me off when you look down on people like that.\What am I getting all excited about?\But a movie, huh?\Isn't that...\This shouldn't be wrong now...\What are you doing? response:	I, uh...
context: Good luck.\It kinda pisses me off when you look down on people like that.\What am I getting all excited about?\But a movie, huh?\Isn't that...\This shouldn't be wrong now...\What are you doing?\I, uh... response:	I'm Kaito.
context: It kinda pisses me off when you look down on people like that.\What am I getting all excited about?\But a movie, huh?\Isn't that...\This shouldn't be wrong now...\What are you doing?\I, uh...\I'm Kaito. response:	Kaito Kirishima.
context: What am I getting all excited about?\But a movie, huh?\Isn't that...\This shouldn't be wrong now...\What are you doing?\I, uh...\I'm Kaito.\Kaito Kirishima. response:	Oh, Kaito-kun.
context: But a movie, huh?\Isn't that...\This shouldn't be wrong now...\What are you doing?\I, uh...\I'm Kaito.\Kaito Kirishima.\Oh, Kaito-kun. response:	But why are you here?
context: Isn't that...\This shouldn't be wrong now...\What are you doing?\I, uh...\I'm Kaito.\Kaito Kirishima.\Oh, Kaito-kun.\But why are you here? response:	I saw you from over there.
context: This shouldn't be wrong now...\What are you doing?\I, uh...\I'm Kaito.\Kaito Kirishima.\Oh, Kaito-kun.\But why are you here?\I saw you from over there. response:	You're fishing, right?
context: What are you doing?\I, uh...\I'm Kaito.\Kaito Kirishima.\Oh, Kaito-kun.\But why are you here?\I saw you from over there.\You're fishing, right? response:	Y-Yeah.
context: I, uh...\I'm Kaito.\Kaito Kirishima.\Oh, Kaito-kun.\But why are you here?\I saw you from over there.\You're fishing, right?\Y-Yeah. response:	This is one of my hobbies.
context: I'm Kaito.\Kaito Kirishima.\Oh, Kaito-kun.\But why are you here?\I saw you from over there.\You're fishing, right?\Y-Yeah.\This is one of my hobbies. response:	That's good and all, but...
context: Kaito Kirishima.\Oh, Kaito-kun.\But why are you here?\I saw you from over there.\You're fishing, right?\Y-Yeah.\This is one of my hobbies.\That's good and all, but... response:	There aren't any fish in this river.
context: Oh, Kaito-kun.\But why are you here?\I saw you from over there.\You're fishing, right?\Y-Yeah.\This is one of my hobbies.\That's good and all, but...\There aren't any fish in this river. response:	Th-Thanks for telling me...
context: But why are you here?\I saw you from over there.\You're fishing, right?\Y-Yeah.\This is one of my hobbies.\That's good and all, but...\There aren't any fish in this river.\Th-Thanks for telling me... response:	I'm glad to be of help.
context: I saw you from over there.\You're fishing, right?\Y-Yeah.\This is one of my hobbies.\That's good and all, but...\There aren't any fish in this river.\Th-Thanks for telling me...\I'm glad to be of help. response:	I don't really know this area very well yet.
context: You're fishing, right?\Y-Yeah.\This is one of my hobbies.\That's good and all, but...\There aren't any fish in this river.\Th-Thanks for telling me...\I'm glad to be of help.\I don't really know this area very well yet. response:	So you were a big help.
context: Y-Yeah.\This is one of my hobbies.\That's good and all, but...\There aren't any fish in this river.\Th-Thanks for telling me...\I'm glad to be of help.\I don't really know this area very well yet.\So you were a big help. response:	If you go up a little farther, you'll find a bigger river
context: This is one of my hobbies.\That's good and all, but...\There aren't any fish in this river.\Th-Thanks for telling me...\I'm glad to be of help.\I don't really know this area very well yet.\So you were a big help.\If you go up a little farther, you'll find a bigger river response:	which has to have some fish.
context: That's good and all, but...\There aren't any fish in this river.\Th-Thanks for telling me...\I'm glad to be of help.\I don't really know this area very well yet.\So you were a big help.\If you go up a little farther, you'll find a bigger river\which has to have some fish. response:	I guess I'll get going...
context: There aren't any fish in this river.\Th-Thanks for telling me...\I'm glad to be of help.\I don't really know this area very well yet.\So you were a big help.\If you go up a little farther, you'll find a bigger river\which has to have some fish.\I guess I'll get going... response:	Huh?
context: Th-Thanks for telling me...\I'm glad to be of help.\I don't really know this area very well yet.\So you were a big help.\If you go up a little farther, you'll find a bigger river\which has to have some fish.\I guess I'll get going...\Huh? response:	Never mind.
context: I'm glad to be of help.\I don't really know this area very well yet.\So you were a big help.\If you go up a little farther, you'll find a bigger river\which has to have some fish.\I guess I'll get going...\Huh?\Never mind. response:	I guess I'll be seeing you around from now on.
context: I don't really know this area very well yet.\So you were a big help.\If you go up a little farther, you'll find a bigger river\which has to have some fish.\I guess I'll get going...\Huh?\Never mind.\I guess I'll be seeing you around from now on. response:	Oh, uh, yeah.
context: So you were a big help.\If you go up a little farther, you'll find a bigger river\which has to have some fish.\I guess I'll get going...\Huh?\Never mind.\I guess I'll be seeing you around from now on.\Oh, uh, yeah. response:	See you around, then.
context: If you go up a little farther, you'll find a bigger river\which has to have some fish.\I guess I'll get going...\Huh?\Never mind.\I guess I'll be seeing you around from now on.\Oh, uh, yeah.\See you around, then. response:	I wonder if I shouldn't have done that...
context: which has to have some fish.\I guess I'll get going...\Huh?\Never mind.\I guess I'll be seeing you around from now on.\Oh, uh, yeah.\See you around, then.\I wonder if I shouldn't have done that... response:	Maybe I should have talked to her longer.
context: I guess I'll get going...\Huh?\Never mind.\I guess I'll be seeing you around from now on.\Oh, uh, yeah.\See you around, then.\I wonder if I shouldn't have done that...\Maybe I should have talked to her longer. response:	You know, I could have...
context: Huh?\Never mind.\I guess I'll be seeing you around from now on.\Oh, uh, yeah.\See you around, then.\I wonder if I shouldn't have done that...\Maybe I should have talked to her longer.\You know, I could have... response:	I bet you moved here by yourself.
context: Never mind.\I guess I'll be seeing you around from now on.\Oh, uh, yeah.\See you around, then.\I wonder if I shouldn't have done that...\Maybe I should have talked to her longer.\You know, I could have...\I bet you moved here by yourself. response:	Wow! How'd you know?
context: I guess I'll be seeing you around from now on.\Oh, uh, yeah.\See you around, then.\I wonder if I shouldn't have done that...\Maybe I should have talked to her longer.\You know, I could have...\I bet you moved here by yourself.\Wow! How'd you know? response:	I could tell by that piece of luggage you're carrying.
context: Oh, uh, yeah.\See you around, then.\I wonder if I shouldn't have done that...\Maybe I should have talked to her longer.\You know, I could have...\I bet you moved here by yourself.\Wow! How'd you know?\I could tell by that piece of luggage you're carrying. response:	It's rather simple profiling.
context: See you around, then.\I wonder if I shouldn't have done that...\Maybe I should have talked to her longer.\You know, I could have...\I bet you moved here by yourself.\Wow! How'd you know?\I could tell by that piece of luggage you're carrying.\It's rather simple profiling. response:	And I have further deduced
context: I wonder if I shouldn't have done that...\Maybe I should have talked to her longer.\You know, I could have...\I bet you moved here by yourself.\Wow! How'd you know?\I could tell by that piece of luggage you're carrying.\It's rather simple profiling.\And I have further deduced response:	that you have no place to stay and don't know what to do.
context: Maybe I should have talked to her longer.\You know, I could have...\I bet you moved here by yourself.\Wow! How'd you know?\I could tell by that piece of luggage you're carrying.\It's rather simple profiling.\And I have further deduced\that you have no place to stay and don't know what to do. response:	Pretty impressive.
context: You know, I could have...\I bet you moved here by yourself.\Wow! How'd you know?\I could tell by that piece of luggage you're carrying.\It's rather simple profiling.\And I have further deduced\that you have no place to stay and don't know what to do.\Pretty impressive. response:	You had an issue with the place you were supposed to stay.
context: I bet you moved here by yourself.\Wow! How'd you know?\I could tell by that piece of luggage you're carrying.\It's rather simple profiling.\And I have further deduced\that you have no place to stay and don't know what to do.\Pretty impressive.\You had an issue with the place you were supposed to stay. response:	Ding, ding, ding.
context: Wow! How'd you know?\I could tell by that piece of luggage you're carrying.\It's rather simple profiling.\And I have further deduced\that you have no place to stay and don't know what to do.\Pretty impressive.\You had an issue with the place you were supposed to stay.\Ding, ding, ding. response:	And so you're at a loss.
context: I could tell by that piece of luggage you're carrying.\It's rather simple profiling.\And I have further deduced\that you have no place to stay and don't know what to do.\Pretty impressive.\You had an issue with the place you were supposed to stay.\Ding, ding, ding.\And so you're at a loss. response:	You fishing there was proof of that.
context: It's rather simple profiling.\And I have further deduced\that you have no place to stay and don't know what to do.\Pretty impressive.\You had an issue with the place you were supposed to stay.\Ding, ding, ding.\And so you're at a loss.\You fishing there was proof of that. response:	Ding, ding, once again.
context: And I have further deduced\that you have no place to stay and don't know what to do.\Pretty impressive.\You had an issue with the place you were supposed to stay.\Ding, ding, ding.\And so you're at a loss.\You fishing there was proof of that.\Ding, ding, once again. response:	Would you...
context: that you have no place to stay and don't know what to do.\Pretty impressive.\You had an issue with the place you were supposed to stay.\Ding, ding, ding.\And so you're at a loss.\You fishing there was proof of that.\Ding, ding, once again.\Would you... response:	Huh?
context: Pretty impressive.\You had an issue with the place you were supposed to stay.\Ding, ding, ding.\And so you're at a loss.\You fishing there was proof of that.\Ding, ding, once again.\Would you...\Huh? response:	It's really up to you.
context: You had an issue with the place you were supposed to stay.\Ding, ding, ding.\And so you're at a loss.\You fishing there was proof of that.\Ding, ding, once again.\Would you...\Huh?\It's really up to you. response:	Is it really okay?
context: Ding, ding, ding.\And so you're at a loss.\You fishing there was proof of that.\Ding, ding, once again.\Would you...\Huh?\It's really up to you.\Is it really okay? response:	Of course.
context: And so you're at a loss.\You fishing there was proof of that.\Ding, ding, once again.\Would you...\Huh?\It's really up to you.\Is it really okay?\Of course. response:	We're actually at my house right now.
context: You fishing there was proof of that.\Ding, ding, once again.\Would you...\Huh?\It's really up to you.\Is it really okay?\Of course.\We're actually at my house right now. response:	What a large house!
context: Ding, ding, once again.\Would you...\Huh?\It's really up to you.\Is it really okay?\Of course.\We're actually at my house right now.\What a large house! response:	My grandmother passed away and left this house.
context: Would you...\Huh?\It's really up to you.\Is it really okay?\Of course.\We're actually at my house right now.\What a large house!\My grandmother passed away and left this house. response:	It's really too big for me, honestly.
context: Huh?\It's really up to you.\Is it really okay?\Of course.\We're actually at my house right now.\What a large house!\My grandmother passed away and left this house.\It's really too big for me, honestly. response:	Having someone else here really wouldn't affect me in the least.
context: It's really up to you.\Is it really okay?\Of course.\We're actually at my house right now.\What a large house!\My grandmother passed away and left this house.\It's really too big for me, honestly.\Having someone else here really wouldn't affect me in the least. response:	How wonderful!
context: Is it really okay?\Of course.\We're actually at my house right now.\What a large house!\My grandmother passed away and left this house.\It's really too big for me, honestly.\Having someone else here really wouldn't affect me in the least.\How wonderful! response:	And if you're with me here,
context: Of course.\We're actually at my house right now.\What a large house!\My grandmother passed away and left this house.\It's really too big for me, honestly.\Having someone else here really wouldn't affect me in the least.\How wonderful!\And if you're with me here, response:	I could give you some acting direction for the movie.
context: We're actually at my house right now.\What a large house!\My grandmother passed away and left this house.\It's really too big for me, honestly.\Having someone else here really wouldn't affect me in the least.\How wonderful!\And if you're with me here,\I could give you some acting direction for the movie. response:	Then I could really guide you step-by-waist.
context: What a large house!\My grandmother passed away and left this house.\It's really too big for me, honestly.\Having someone else here really wouldn't affect me in the least.\How wonderful!\And if you're with me here,\I could give you some acting direction for the movie.\Then I could really guide you step-by-waist. response:	I think you mean step-by-step.
context: My grandmother passed away and left this house.\It's really too big for me, honestly.\Having someone else here really wouldn't affect me in the least.\How wonderful!\And if you're with me here,\I could give you some acting direction for the movie.\Then I could really guide you step-by-waist.\I think you mean step-by-step. response:	Oh, you're right.
context: It's really too big for me, honestly.\Having someone else here really wouldn't affect me in the least.\How wonderful!\And if you're with me here,\I could give you some acting direction for the movie.\Then I could really guide you step-by-waist.\I think you mean step-by-step.\Oh, you're right. response:	Wait, is this reality?
context: Having someone else here really wouldn't affect me in the least.\How wonderful!\And if you're with me here,\I could give you some acting direction for the movie.\Then I could really guide you step-by-waist.\I think you mean step-by-step.\Oh, you're right.\Wait, is this reality? response:	Huh?
context: How wonderful!\And if you're with me here,\I could give you some acting direction for the movie.\Then I could really guide you step-by-waist.\I think you mean step-by-step.\Oh, you're right.\Wait, is this reality?\Huh? response:	How long have I been talking?
context: And if you're with me here,\I could give you some acting direction for the movie.\Then I could really guide you step-by-waist.\I think you mean step-by-step.\Oh, you're right.\Wait, is this reality?\Huh?\How long have I been talking? response:	A while now...
context: I could give you some acting direction for the movie.\Then I could really guide you step-by-waist.\I think you mean step-by-step.\Oh, you're right.\Wait, is this reality?\Huh?\How long have I been talking?\A while now... response:	Kaito-kun?
context: Then I could really guide you step-by-waist.\I think you mean step-by-step.\Oh, you're right.\Wait, is this reality?\Huh?\How long have I been talking?\A while now...\Kaito-kun? response:	But that really helps out.
context: I think you mean step-by-step.\Oh, you're right.\Wait, is this reality?\Huh?\How long have I been talking?\A while now...\Kaito-kun?\But that really helps out. response:	I honestly didn't know what to do.
context: Oh, you're right.\Wait, is this reality?\Huh?\How long have I been talking?\A while now...\Kaito-kun?\But that really helps out.\I honestly didn't know what to do. response:	Huh?
context: Wait, is this reality?\Huh?\How long have I been talking?\A while now...\Kaito-kun?\But that really helps out.\I honestly didn't know what to do.\Huh? response:	What are you talking about?
context: Huh?\How long have I been talking?\A while now...\Kaito-kun?\But that really helps out.\I honestly didn't know what to do.\Huh?\What are you talking about? response:	Huh?
context: How long have I been talking?\A while now...\Kaito-kun?\But that really helps out.\I honestly didn't know what to do.\Huh?\What are you talking about?\Huh? response:	You asked me if I wanted to stay at your place.
context: A while now...\Kaito-kun?\But that really helps out.\I honestly didn't know what to do.\Huh?\What are you talking about?\Huh?\You asked me if I wanted to stay at your place. response:	That's when you started listening...
context: Kaito-kun?\But that really helps out.\I honestly didn't know what to do.\Huh?\What are you talking about?\Huh?\You asked me if I wanted to stay at your place.\That's when you started listening... response:	W-Wait a sec...
context: But that really helps out.\I honestly didn't know what to do.\Huh?\What are you talking about?\Huh?\You asked me if I wanted to stay at your place.\That's when you started listening...\W-Wait a sec... response:	That was just kind of my imagination...
context: I honestly didn't know what to do.\Huh?\What are you talking about?\Huh?\You asked me if I wanted to stay at your place.\That's when you started listening...\W-Wait a sec...\That was just kind of my imagination... response:	I was talking to myself.
context: Huh?\What are you talking about?\Huh?\You asked me if I wanted to stay at your place.\That's when you started listening...\W-Wait a sec...\That was just kind of my imagination...\I was talking to myself. response:	My sister lives here with me.
context: What are you talking about?\Huh?\You asked me if I wanted to stay at your place.\That's when you started listening...\W-Wait a sec...\That was just kind of my imagination...\I was talking to myself.\My sister lives here with me. response:	If I suddenly brought a girl home, I think she'd pass out...
context: Huh?\You asked me if I wanted to stay at your place.\That's when you started listening...\W-Wait a sec...\That was just kind of my imagination...\I was talking to myself.\My sister lives here with me.\If I suddenly brought a girl home, I think she'd pass out... response:	That... makes sense.
context: You asked me if I wanted to stay at your place.\That's when you started listening...\W-Wait a sec...\That was just kind of my imagination...\I was talking to myself.\My sister lives here with me.\If I suddenly brought a girl home, I think she'd pass out...\That... makes sense. response:	Yeah, that makes sense.
context: That's when you started listening...\W-Wait a sec...\That was just kind of my imagination...\I was talking to myself.\My sister lives here with me.\If I suddenly brought a girl home, I think she'd pass out...\That... makes sense.\Yeah, that makes sense. response:	I understand.
context: W-Wait a sec...\That was just kind of my imagination...\I was talking to myself.\My sister lives here with me.\If I suddenly brought a girl home, I think she'd pass out...\That... makes sense.\Yeah, that makes sense.\I understand. response:	Sorry for asking too much of you.
context: That was just kind of my imagination...\I was talking to myself.\My sister lives here with me.\If I suddenly brought a girl home, I think she'd pass out...\That... makes sense.\Yeah, that makes sense.\I understand.\Sorry for asking too much of you. response:	Huh?
context: I was talking to myself.\My sister lives here with me.\If I suddenly brought a girl home, I think she'd pass out...\That... makes sense.\Yeah, that makes sense.\I understand.\Sorry for asking too much of you.\Huh? response:	Where are you going?
context: My sister lives here with me.\If I suddenly brought a girl home, I think she'd pass out...\That... makes sense.\Yeah, that makes sense.\I understand.\Sorry for asking too much of you.\Huh?\Where are you going? response:	Some place that'd be good to set up camp around here...
context: If I suddenly brought a girl home, I think she'd pass out...\That... makes sense.\Yeah, that makes sense.\I understand.\Sorry for asking too much of you.\Huh?\Where are you going?\Some place that'd be good to set up camp around here... response:	Oh, damn it!
context: That... makes sense.\Yeah, that makes sense.\I understand.\Sorry for asking too much of you.\Huh?\Where are you going?\Some place that'd be good to set up camp around here...\Oh, damn it! response:	Huh? Is that you, Nanami-san?
context: Yeah, that makes sense.\I understand.\Sorry for asking too much of you.\Huh?\Where are you going?\Some place that'd be good to set up camp around here...\Oh, damn it!\Huh? Is that you, Nanami-san? response:	Oh, Kanna-chan!
context: I understand.\Sorry for asking too much of you.\Huh?\Where are you going?\Some place that'd be good to set up camp around here...\Oh, damn it!\Huh? Is that you, Nanami-san?\Oh, Kanna-chan! response:	You're not usually out and about so early, especially around here.
context: Sorry for asking too much of you.\Huh?\Where are you going?\Some place that'd be good to set up camp around here...\Oh, damn it!\Huh? Is that you, Nanami-san?\Oh, Kanna-chan!\You're not usually out and about so early, especially around here. response:	I'm just doing someone else's job, and I had to get ready...
context: Huh?\Where are you going?\Some place that'd be good to set up camp around here...\Oh, damn it!\Huh? Is that you, Nanami-san?\Oh, Kanna-chan!\You're not usually out and about so early, especially around here.\I'm just doing someone else's job, and I had to get ready... response:	Ready?
context: Where are you going?\Some place that'd be good to set up camp around here...\Oh, damn it!\Huh? Is that you, Nanami-san?\Oh, Kanna-chan!\You're not usually out and about so early, especially around here.\I'm just doing someone else's job, and I had to get ready...\Ready? response:	Yeah, but this thing started acting up out of nowhere...
context: Some place that'd be good to set up camp around here...\Oh, damn it!\Huh? Is that you, Nanami-san?\Oh, Kanna-chan!\You're not usually out and about so early, especially around here.\I'm just doing someone else's job, and I had to get ready...\Ready?\Yeah, but this thing started acting up out of nowhere... response:	Oh, I know.
context: Oh, damn it!\Huh? Is that you, Nanami-san?\Oh, Kanna-chan!\You're not usually out and about so early, especially around here.\I'm just doing someone else's job, and I had to get ready...\Ready?\Yeah, but this thing started acting up out of nowhere...\Oh, I know. response:	Kanna-chan, could you help me out for a little bit?
context: Huh? Is that you, Nanami-san?\Oh, Kanna-chan!\You're not usually out and about so early, especially around here.\I'm just doing someone else's job, and I had to get ready...\Ready?\Yeah, but this thing started acting up out of nowhere...\Oh, I know.\Kanna-chan, could you help me out for a little bit? response:	Huh?
context: Oh, Kanna-chan!\You're not usually out and about so early, especially around here.\I'm just doing someone else's job, and I had to get ready...\Ready?\Yeah, but this thing started acting up out of nowhere...\Oh, I know.\Kanna-chan, could you help me out for a little bit?\Huh? response:	Just sit anywhere over there.
context: You're not usually out and about so early, especially around here.\I'm just doing someone else's job, and I had to get ready...\Ready?\Yeah, but this thing started acting up out of nowhere...\Oh, I know.\Kanna-chan, could you help me out for a little bit?\Huh?\Just sit anywhere over there. response:	I'll put your luggage over here for now...
context: I'm just doing someone else's job, and I had to get ready...\Ready?\Yeah, but this thing started acting up out of nowhere...\Oh, I know.\Kanna-chan, could you help me out for a little bit?\Huh?\Just sit anywhere over there.\I'll put your luggage over here for now... response:	That's heavy.
context: Ready?\Yeah, but this thing started acting up out of nowhere...\Oh, I know.\Kanna-chan, could you help me out for a little bit?\Huh?\Just sit anywhere over there.\I'll put your luggage over here for now...\That's heavy. response:	How did you carry this all that way?
context: Yeah, but this thing started acting up out of nowhere...\Oh, I know.\Kanna-chan, could you help me out for a little bit?\Huh?\Just sit anywhere over there.\I'll put your luggage over here for now...\That's heavy.\How did you carry this all that way? response:	Oh, the gra
context: Oh, I know.\Kanna-chan, could you help me out for a little bit?\Huh?\Just sit anywhere over there.\I'll put your luggage over here for now...\That's heavy.\How did you carry this all that way?\Oh, the gra response:	Gra?
context: Kanna-chan, could you help me out for a little bit?\Huh?\Just sit anywhere over there.\I'll put your luggage over here for now...\That's heavy.\How did you carry this all that way?\Oh, the gra\Gra? response:	Oh, you have to grab it like this.
context: Huh?\Just sit anywhere over there.\I'll put your luggage over here for now...\That's heavy.\How did you carry this all that way?\Oh, the gra\Gra?\Oh, you have to grab it like this. response:	There's a trick to it.
context: Just sit anywhere over there.\I'll put your luggage over here for now...\That's heavy.\How did you carry this all that way?\Oh, the gra\Gra?\Oh, you have to grab it like this.\There's a trick to it. response:	Anyway, you can stay here one night.
context: I'll put your luggage over here for now...\That's heavy.\How did you carry this all that way?\Oh, the gra\Gra?\Oh, you have to grab it like this.\There's a trick to it.\Anyway, you can stay here one night. response:	You can stay here tonight, so...
context: That's heavy.\How did you carry this all that way?\Oh, the gra\Gra?\Oh, you have to grab it like this.\There's a trick to it.\Anyway, you can stay here one night.\You can stay here tonight, so... response:	What's wrong?
context: How did you carry this all that way?\Oh, the gra\Gra?\Oh, you have to grab it like this.\There's a trick to it.\Anyway, you can stay here one night.\You can stay here tonight, so...\What's wrong? response:	Sorry.
context: Oh, the gra\Gra?\Oh, you have to grab it like this.\There's a trick to it.\Anyway, you can stay here one night.\You can stay here tonight, so...\What's wrong?\Sorry. response:	It's the first time I've been in a guy's room.
context: Gra?\Oh, you have to grab it like this.\There's a trick to it.\Anyway, you can stay here one night.\You can stay here tonight, so...\What's wrong?\Sorry.\It's the first time I've been in a guy's room. response:	I-I see...
context: Oh, you have to grab it like this.\There's a trick to it.\Anyway, you can stay here one night.\You can stay here tonight, so...\What's wrong?\Sorry.\It's the first time I've been in a guy's room.\I-I see... response:	Oh, we can't just sit here!
context: There's a trick to it.\Anyway, you can stay here one night.\You can stay here tonight, so...\What's wrong?\Sorry.\It's the first time I've been in a guy's room.\I-I see...\Oh, we can't just sit here! response:	I'll bring you some food later!
context: Anyway, you can stay here one night.\You can stay here tonight, so...\What's wrong?\Sorry.\It's the first time I've been in a guy's room.\I-I see...\Oh, we can't just sit here!\I'll bring you some food later! response:	Wait, my sister is going to come home around seven...
context: You can stay here tonight, so...\What's wrong?\Sorry.\It's the first time I've been in a guy's room.\I-I see...\Oh, we can't just sit here!\I'll bring you some food later!\Wait, my sister is going to come home around seven... response:	You need to take a shower now...
context: What's wrong?\Sorry.\It's the first time I've been in a guy's room.\I-I see...\Oh, we can't just sit here!\I'll bring you some food later!\Wait, my sister is going to come home around seven...\You need to take a shower now... response:	Are your clothes in there?
context: Sorry.\It's the first time I've been in a guy's room.\I-I see...\Oh, we can't just sit here!\I'll bring you some food later!\Wait, my sister is going to come home around seven...\You need to take a shower now...\Are your clothes in there? response:	S-Sorry...
context: It's the first time I've been in a guy's room.\I-I see...\Oh, we can't just sit here!\I'll bring you some food later!\Wait, my sister is going to come home around seven...\You need to take a shower now...\Are your clothes in there?\S-Sorry... response:	What's in there, anyway?
context: I-I see...\Oh, we can't just sit here!\I'll bring you some food later!\Wait, my sister is going to come home around seven...\You need to take a shower now...\Are your clothes in there?\S-Sorry...\What's in there, anyway? response:	Let's see...
context: Oh, we can't just sit here!\I'll bring you some food later!\Wait, my sister is going to come home around seven...\You need to take a shower now...\Are your clothes in there?\S-Sorry...\What's in there, anyway?\Let's see... response:	This is the shampoo...
context: I'll bring you some food later!\Wait, my sister is going to come home around seven...\You need to take a shower now...\Are your clothes in there?\S-Sorry...\What's in there, anyway?\Let's see...\This is the shampoo... response:	Pajamas...
context: Wait, my sister is going to come home around seven...\You need to take a shower now...\Are your clothes in there?\S-Sorry...\What's in there, anyway?\Let's see...\This is the shampoo...\Pajamas... response:	Pajamas...
context: You need to take a shower now...\Are your clothes in there?\S-Sorry...\What's in there, anyway?\Let's see...\This is the shampoo...\Pajamas...\Pajamas... response:	I guess my sister wears negligees...
context: Are your clothes in there?\S-Sorry...\What's in there, anyway?\Let's see...\This is the shampoo...\Pajamas...\Pajamas...\I guess my sister wears negligees... response:	Anyway, I need to get something for her to wear.
context: S-Sorry...\What's in there, anyway?\Let's see...\This is the shampoo...\Pajamas...\Pajamas...\I guess my sister wears negligees...\Anyway, I need to get something for her to wear. response:	Thanks.
context: What's in there, anyway?\Let's see...\This is the shampoo...\Pajamas...\Pajamas...\I guess my sister wears negligees...\Anyway, I need to get something for her to wear.\Thanks. response:	You don't have to open the door!
context: Let's see...\This is the shampoo...\Pajamas...\Pajamas...\I guess my sister wears negligees...\Anyway, I need to get something for her to wear.\Thanks.\You don't have to open the door! response:	There's still a bit of time before seven...
context: This is the shampoo...\Pajamas...\Pajamas...\I guess my sister wears negligees...\Anyway, I need to get something for her to wear.\Thanks.\You don't have to open the door!\There's still a bit of time before seven... response:	What a day...
context: Pajamas...\Pajamas...\I guess my sister wears negligees...\Anyway, I need to get something for her to wear.\Thanks.\You don't have to open the door!\There's still a bit of time before seven...\What a day... response:	I met senpai...
context: Pajamas...\I guess my sister wears negligees...\Anyway, I need to get something for her to wear.\Thanks.\You don't have to open the door!\There's still a bit of time before seven...\What a day...\I met senpai... response:	We're all going to make a movie...
context: I guess my sister wears negligees...\Anyway, I need to get something for her to wear.\Thanks.\You don't have to open the door!\There's still a bit of time before seven...\What a day...\I met senpai...\We're all going to make a movie... response:	And for some reason she's now in my house.
