context: Even if we're preoccupied by the spring weather, response:	playing with girls' dreams of love is abominable! Abominable snowman!
context: Moon Power. Right, okay.\Moon Power, make me into a beautiful newscaster!\Yay, I've transformed!\Did you have to add the beautiful part?\Okay, Luna, we're going.\Got the attitude down.\I knew it!\Good evening, it's time for Midnight Zero. response:	So that's Mr. J-Dite? He's so cool!
context: Moon Power, make me into a beautiful newscaster!\Yay, I've transformed!\Did you have to add the beautiful part?\Okay, Luna, we're going.\Got the attitude down.\I knew it!\Good evening, it's time for Midnight Zero.\So that's Mr. J-Dite? He's so cool! response:	What are you saying? He's the enemy!
context: Yay, I've transformed!\Did you have to add the beautiful part?\Okay, Luna, we're going.\Got the attitude down.\I knew it!\Good evening, it's time for Midnight Zero.\So that's Mr. J-Dite? He's so cool!\What are you saying? He's the enemy! response:	Are you sure?
context: Did you have to add the beautiful part?\Okay, Luna, we're going.\Got the attitude down.\I knew it!\Good evening, it's time for Midnight Zero.\So that's Mr. J-Dite? He's so cool!\What are you saying? He's the enemy!\Are you sure? response:	Oh! He's been taking over the program.
context: Okay, Luna, we're going.\Got the attitude down.\I knew it!\Good evening, it's time for Midnight Zero.\So that's Mr. J-Dite? He's so cool!\What are you saying? He's the enemy!\Are you sure?\Oh! He's been taking over the program. response:	You're right! All right!
context: Got the attitude down.\I knew it!\Good evening, it's time for Midnight Zero.\So that's Mr. J-Dite? He's so cool!\What are you saying? He's the enemy!\Are you sure?\Oh! He's been taking over the program.\You're right! All right! response:	Wait a minute!
context: I knew it!\Good evening, it's time for Midnight Zero.\So that's Mr. J-Dite? He's so cool!\What are you saying? He's the enemy!\Are you sure?\Oh! He's been taking over the program.\You're right! All right!\Wait a minute! response:	Our first letter today...
context: Good evening, it's time for Midnight Zero.\So that's Mr. J-Dite? He's so cool!\What are you saying? He's the enemy!\Are you sure?\Oh! He's been taking over the program.\You're right! All right!\Wait a minute!\Our first letter today... response:	Sorry to interrupt your program but this is an emergency news flash.
context: So that's Mr. J-Dite? He's so cool!\What are you saying? He's the enemy!\Are you sure?\Oh! He's been taking over the program.\You're right! All right!\Wait a minute!\Our first letter today...\Sorry to interrupt your program but this is an emergency news flash. response:	We have learned that the flower brooches
context: What are you saying? He's the enemy!\Are you sure?\Oh! He's been taking over the program.\You're right! All right!\Wait a minute!\Our first letter today...\Sorry to interrupt your program but this is an emergency news flash.\We have learned that the flower brooches response:	that have been sent from this show are very dangerous.
context: Are you sure?\Oh! He's been taking over the program.\You're right! All right!\Wait a minute!\Our first letter today...\Sorry to interrupt your program but this is an emergency news flash.\We have learned that the flower brooches\that have been sent from this show are very dangerous. response:	What?!
context: Oh! He's been taking over the program.\You're right! All right!\Wait a minute!\Our first letter today...\Sorry to interrupt your program but this is an emergency news flash.\We have learned that the flower brooches\that have been sent from this show are very dangerous.\What?! response:	Do not touch them if they are sent to you!
context: You're right! All right!\Wait a minute!\Our first letter today...\Sorry to interrupt your program but this is an emergency news flash.\We have learned that the flower brooches\that have been sent from this show are very dangerous.\What?!\Do not touch them if they are sent to you! response:	What are you saying?
context: Wait a minute!\Our first letter today...\Sorry to interrupt your program but this is an emergency news flash.\We have learned that the flower brooches\that have been sent from this show are very dangerous.\What?!\Do not touch them if they are sent to you!\What are you saying? response:	Everyone, think about it. What are you saying?
context: Our first letter today...\Sorry to interrupt your program but this is an emergency news flash.\We have learned that the flower brooches\that have been sent from this show are very dangerous.\What?!\Do not touch them if they are sent to you!\What are you saying?\Everyone, think about it. What are you saying? response:	Everyone, think about it.
context: Sorry to interrupt your program but this is an emergency news flash.\We have learned that the flower brooches\that have been sent from this show are very dangerous.\What?!\Do not touch them if they are sent to you!\What are you saying?\Everyone, think about it. What are you saying?\Everyone, think about it. response:	A love letter means nothing if you don't give it to the person yourself.
context: We have learned that the flower brooches\that have been sent from this show are very dangerous.\What?!\Do not touch them if they are sent to you!\What are you saying?\Everyone, think about it. What are you saying?\Everyone, think about it.\A love letter means nothing if you don't give it to the person yourself. response:	Wake up from your dreams.
context: that have been sent from this show are very dangerous.\What?!\Do not touch them if they are sent to you!\What are you saying?\Everyone, think about it. What are you saying?\Everyone, think about it.\A love letter means nothing if you don't give it to the person yourself.\Wake up from your dreams. response:	Hey, that's my line.
context: What?!\Do not touch them if they are sent to you!\What are you saying?\Everyone, think about it. What are you saying?\Everyone, think about it.\A love letter means nothing if you don't give it to the person yourself.\Wake up from your dreams.\Hey, that's my line. response:	Who are you?!
context: Do not touch them if they are sent to you!\What are you saying?\Everyone, think about it. What are you saying?\Everyone, think about it.\A love letter means nothing if you don't give it to the person yourself.\Wake up from your dreams.\Hey, that's my line.\Who are you?! response:	Usagi!
context: What are you saying?\Everyone, think about it. What are you saying?\Everyone, think about it.\A love letter means nothing if you don't give it to the person yourself.\Wake up from your dreams.\Hey, that's my line.\Who are you?!\Usagi! response:	Don't think you'll get away with this!
context: Everyone, think about it. What are you saying?\Everyone, think about it.\A love letter means nothing if you don't give it to the person yourself.\Wake up from your dreams.\Hey, that's my line.\Who are you?!\Usagi!\Don't think you'll get away with this! response:	It's a monster!
context: Everyone, think about it.\A love letter means nothing if you don't give it to the person yourself.\Wake up from your dreams.\Hey, that's my line.\Who are you?!\Usagi!\Don't think you'll get away with this!\It's a monster! response:	You're kidding me!
context: A love letter means nothing if you don't give it to the person yourself.\Wake up from your dreams.\Hey, that's my line.\Who are you?!\Usagi!\Don't think you'll get away with this!\It's a monster!\You're kidding me! response:	Usagi, now's the time.
context: Wake up from your dreams.\Hey, that's my line.\Who are you?!\Usagi!\Don't think you'll get away with this!\It's a monster!\You're kidding me!\Usagi, now's the time. response:	Okay!
context: Hey, that's my line.\Who are you?!\Usagi!\Don't think you'll get away with this!\It's a monster!\You're kidding me!\Usagi, now's the time.\Okay! response:	Moon Prism Power Makeup!
context: Who are you?!\Usagi!\Don't think you'll get away with this!\It's a monster!\You're kidding me!\Usagi, now's the time.\Okay!\Moon Prism Power Makeup! response:	Sailor warrior of love and justice, Sailor Moon!
context: Usagi!\Don't think you'll get away with this!\It's a monster!\You're kidding me!\Usagi, now's the time.\Okay!\Moon Prism Power Makeup!\Sailor warrior of love and justice, Sailor Moon! response:	Trying to ruin girls' dreams of love is abominable! Abominable snowman!
context: Don't think you'll get away with this!\It's a monster!\You're kidding me!\Usagi, now's the time.\Okay!\Moon Prism Power Makeup!\Sailor warrior of love and justice, Sailor Moon!\Trying to ruin girls' dreams of love is abominable! Abominable snowman! response:	Did you need to tack on abominable snowman?
context: It's a monster!\You're kidding me!\Usagi, now's the time.\Okay!\Moon Prism Power Makeup!\Sailor warrior of love and justice, Sailor Moon!\Trying to ruin girls' dreams of love is abominable! Abominable snowman!\Did you need to tack on abominable snowman? response:	Oh yeah!
context: You're kidding me!\Usagi, now's the time.\Okay!\Moon Prism Power Makeup!\Sailor warrior of love and justice, Sailor Moon!\Trying to ruin girls' dreams of love is abominable! Abominable snowman!\Did you need to tack on abominable snowman?\Oh yeah! response:	Anyway!
context: Usagi, now's the time.\Okay!\Moon Prism Power Makeup!\Sailor warrior of love and justice, Sailor Moon!\Trying to ruin girls' dreams of love is abominable! Abominable snowman!\Did you need to tack on abominable snowman?\Oh yeah!\Anyway! response:	In the name of the moon, I will punish you!
context: Okay!\Moon Prism Power Makeup!\Sailor warrior of love and justice, Sailor Moon!\Trying to ruin girls' dreams of love is abominable! Abominable snowman!\Did you need to tack on abominable snowman?\Oh yeah!\Anyway!\In the name of the moon, I will punish you! response:	You're the one who keeps interfering with us.
context: Moon Prism Power Makeup!\Sailor warrior of love and justice, Sailor Moon!\Trying to ruin girls' dreams of love is abominable! Abominable snowman!\Did you need to tack on abominable snowman?\Oh yeah!\Anyway!\In the name of the moon, I will punish you!\You're the one who keeps interfering with us. response:	Then you must be their boss.
context: Sailor warrior of love and justice, Sailor Moon!\Trying to ruin girls' dreams of love is abominable! Abominable snowman!\Did you need to tack on abominable snowman?\Oh yeah!\Anyway!\In the name of the moon, I will punish you!\You're the one who keeps interfering with us.\Then you must be their boss. response:	My name is Jadeite.
context: Trying to ruin girls' dreams of love is abominable! Abominable snowman!\Did you need to tack on abominable snowman?\Oh yeah!\Anyway!\In the name of the moon, I will punish you!\You're the one who keeps interfering with us.\Then you must be their boss.\My name is Jadeite. response:	Sailor Moon! En guard!
context: Did you need to tack on abominable snowman?\Oh yeah!\Anyway!\In the name of the moon, I will punish you!\You're the one who keeps interfering with us.\Then you must be their boss.\My name is Jadeite.\Sailor Moon! En guard! response:	You won't get away!
context: Oh yeah!\Anyway!\In the name of the moon, I will punish you!\You're the one who keeps interfering with us.\Then you must be their boss.\My name is Jadeite.\Sailor Moon! En guard!\You won't get away! response:	This is where you die!
context: Anyway!\In the name of the moon, I will punish you!\You're the one who keeps interfering with us.\Then you must be their boss.\My name is Jadeite.\Sailor Moon! En guard!\You won't get away!\This is where you die! response:	Go away!
context: In the name of the moon, I will punish you!\You're the one who keeps interfering with us.\Then you must be their boss.\My name is Jadeite.\Sailor Moon! En guard!\You won't get away!\This is where you die!\Go away! response:	Die!
context: You're the one who keeps interfering with us.\Then you must be their boss.\My name is Jadeite.\Sailor Moon! En guard!\You won't get away!\This is where you die!\Go away!\Die! response:	Sailor Moon, use the Moon Tiara Action!
context: Then you must be their boss.\My name is Jadeite.\Sailor Moon! En guard!\You won't get away!\This is where you die!\Go away!\Die!\Sailor Moon, use the Moon Tiara Action! response:	Moon Tiara Action!
context: My name is Jadeite.\Sailor Moon! En guard!\You won't get away!\This is where you die!\Go away!\Die!\Sailor Moon, use the Moon Tiara Action!\Moon Tiara Action! response:	Where are you aiming?
context: Sailor Moon! En guard!\You won't get away!\This is where you die!\Go away!\Die!\Sailor Moon, use the Moon Tiara Action!\Moon Tiara Action!\Where are you aiming? response:	Jadeite!
context: You won't get away!\This is where you die!\Go away!\Die!\Sailor Moon, use the Moon Tiara Action!\Moon Tiara Action!\Where are you aiming?\Jadeite! response:	What? You want to fight me now?
context: This is where you die!\Go away!\Die!\Sailor Moon, use the Moon Tiara Action!\Moon Tiara Action!\Where are you aiming?\Jadeite!\What? You want to fight me now? response:	Moon Tiara Action!
context: Go away!\Die!\Sailor Moon, use the Moon Tiara Action!\Moon Tiara Action!\Where are you aiming?\Jadeite!\What? You want to fight me now?\Moon Tiara Action! response:	No! You're kidding me!
context: Die!\Sailor Moon, use the Moon Tiara Action!\Moon Tiara Action!\Where are you aiming?\Jadeite!\What? You want to fight me now?\Moon Tiara Action!\No! You're kidding me! response:	Take that!
context: Sailor Moon, use the Moon Tiara Action!\Moon Tiara Action!\Where are you aiming?\Jadeite!\What? You want to fight me now?\Moon Tiara Action!\No! You're kidding me!\Take that! response:	Watch out!
context: Moon Tiara Action!\Where are you aiming?\Jadeite!\What? You want to fight me now?\Moon Tiara Action!\No! You're kidding me!\Take that!\Watch out! response:	That hurts!
context: Where are you aiming?\Jadeite!\What? You want to fight me now?\Moon Tiara Action!\No! You're kidding me!\Take that!\Watch out!\That hurts! response:	This is Tuxedo Mask.
context: Jadeite!\What? You want to fight me now?\Moon Tiara Action!\No! You're kidding me!\Take that!\Watch out!\That hurts!\This is Tuxedo Mask. response:	Good-bye. We'll meet again.
context: What? You want to fight me now?\Moon Tiara Action!\No! You're kidding me!\Take that!\Watch out!\That hurts!\This is Tuxedo Mask.\Good-bye. We'll meet again. response:	Tuxedo Mask.
context: Moon Tiara Action!\No! You're kidding me!\Take that!\Watch out!\That hurts!\This is Tuxedo Mask.\Good-bye. We'll meet again.\Tuxedo Mask. response:	Huh?!
context: No! You're kidding me!\Take that!\Watch out!\That hurts!\This is Tuxedo Mask.\Good-bye. We'll meet again.\Tuxedo Mask.\Huh?! response:	My dear Tuxedo Mask,
context: Take that!\Watch out!\That hurts!\This is Tuxedo Mask.\Good-bye. We'll meet again.\Tuxedo Mask.\Huh?!\My dear Tuxedo Mask, response:	from the first day I met you, I've...
context: Watch out!\That hurts!\This is Tuxedo Mask.\Good-bye. We'll meet again.\Tuxedo Mask.\Huh?!\My dear Tuxedo Mask,\from the first day I met you, I've... response:	Are you still doing that?
context: That hurts!\This is Tuxedo Mask.\Good-bye. We'll meet again.\Tuxedo Mask.\Huh?!\My dear Tuxedo Mask,\from the first day I met you, I've...\Are you still doing that? response:	Midnight Zero is over.
context: This is Tuxedo Mask.\Good-bye. We'll meet again.\Tuxedo Mask.\Huh?!\My dear Tuxedo Mask,\from the first day I met you, I've...\Are you still doing that?\Midnight Zero is over. response:	It doesn't matter, I'm giving this to him myself. Give it back!
context: Good-bye. We'll meet again.\Tuxedo Mask.\Huh?!\My dear Tuxedo Mask,\from the first day I met you, I've...\Are you still doing that?\Midnight Zero is over.\It doesn't matter, I'm giving this to him myself. Give it back! response:	Really? Then I'll read it for you.
context: Tuxedo Mask.\Huh?!\My dear Tuxedo Mask,\from the first day I met you, I've...\Are you still doing that?\Midnight Zero is over.\It doesn't matter, I'm giving this to him myself. Give it back!\Really? Then I'll read it for you. response:	Ahh! Don't!
context: Huh?!\My dear Tuxedo Mask,\from the first day I met you, I've...\Are you still doing that?\Midnight Zero is over.\It doesn't matter, I'm giving this to him myself. Give it back!\Really? Then I'll read it for you.\Ahh! Don't! response:	Good morning. I'm sorry to have worried you, but I'm much better now.
context: My dear Tuxedo Mask,\from the first day I met you, I've...\Are you still doing that?\Midnight Zero is over.\It doesn't matter, I'm giving this to him myself. Give it back!\Really? Then I'll read it for you.\Ahh! Don't!\Good morning. I'm sorry to have worried you, but I'm much better now. response:	I'm refreshed. Let's all study hard.
context: from the first day I met you, I've...\Are you still doing that?\Midnight Zero is over.\It doesn't matter, I'm giving this to him myself. Give it back!\Really? Then I'll read it for you.\Ahh! Don't!\Good morning. I'm sorry to have worried you, but I'm much better now.\I'm refreshed. Let's all study hard. response:	Give me back my love letter. I'm refreshed. Let's all study hard.
context: Are you still doing that?\Midnight Zero is over.\It doesn't matter, I'm giving this to him myself. Give it back!\Really? Then I'll read it for you.\Ahh! Don't!\Good morning. I'm sorry to have worried you, but I'm much better now.\I'm refreshed. Let's all study hard.\Give me back my love letter. I'm refreshed. Let's all study hard. response:	Give me back my love letter.
context: Midnight Zero is over.\It doesn't matter, I'm giving this to him myself. Give it back!\Really? Then I'll read it for you.\Ahh! Don't!\Good morning. I'm sorry to have worried you, but I'm much better now.\I'm refreshed. Let's all study hard.\Give me back my love letter. I'm refreshed. Let's all study hard.\Give me back my love letter. response:	Give me back my love letter. Love letter?
context: It doesn't matter, I'm giving this to him myself. Give it back!\Really? Then I'll read it for you.\Ahh! Don't!\Good morning. I'm sorry to have worried you, but I'm much better now.\I'm refreshed. Let's all study hard.\Give me back my love letter. I'm refreshed. Let's all study hard.\Give me back my love letter.\Give me back my love letter. Love letter? response:	Love letter?
context: Really? Then I'll read it for you.\Ahh! Don't!\Good morning. I'm sorry to have worried you, but I'm much better now.\I'm refreshed. Let's all study hard.\Give me back my love letter. I'm refreshed. Let's all study hard.\Give me back my love letter.\Give me back my love letter. Love letter?\Love letter? response:	Wait a second... Let me read it too.
context: Ahh! Don't!\Good morning. I'm sorry to have worried you, but I'm much better now.\I'm refreshed. Let's all study hard.\Give me back my love letter. I'm refreshed. Let's all study hard.\Give me back my love letter.\Give me back my love letter. Love letter?\Love letter?\Wait a second... Let me read it too. response:	Miss Tsukino.
context: Good morning. I'm sorry to have worried you, but I'm much better now.\I'm refreshed. Let's all study hard.\Give me back my love letter. I'm refreshed. Let's all study hard.\Give me back my love letter.\Give me back my love letter. Love letter?\Love letter?\Wait a second... Let me read it too.\Miss Tsukino. response:	No!
context: I'm refreshed. Let's all study hard.\Give me back my love letter. I'm refreshed. Let's all study hard.\Give me back my love letter.\Give me back my love letter. Love letter?\Love letter?\Wait a second... Let me read it too.\Miss Tsukino.\No! response:	In my dream, you and I were together
context: Give me back my love letter. I'm refreshed. Let's all study hard.\Give me back my love letter.\Give me back my love letter. Love letter?\Love letter?\Wait a second... Let me read it too.\Miss Tsukino.\No!\In my dream, you and I were together response:	Protected by the stars
context: Give me back my love letter.\Give me back my love letter. Love letter?\Love letter?\Wait a second... Let me read it too.\Miss Tsukino.\No!\In my dream, you and I were together\Protected by the stars response:	When we were friends, it didn't bother us
context: Give me back my love letter. Love letter?\Love letter?\Wait a second... Let me read it too.\Miss Tsukino.\No!\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us response:	And we casually talked to each other
context: Love letter?\Wait a second... Let me read it too.\Miss Tsukino.\No!\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other response:	But there was a moment when I noticed only you
context: Wait a second... Let me read it too.\Miss Tsukino.\No!\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other\But there was a moment when I noticed only you response:	I want to become prettier right here and now
context: Miss Tsukino.\No!\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other\But there was a moment when I noticed only you\I want to become prettier right here and now response:	Something changes when you fall in love
context: No!\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other\But there was a moment when I noticed only you\I want to become prettier right here and now\Something changes when you fall in love response:	I close my eyes and check to make sure
context: In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other\But there was a moment when I noticed only you\I want to become prettier right here and now\Something changes when you fall in love\I close my eyes and check to make sure response:	I want to convey the thrill I felt when we held each other
