context: It's a bit late to ask, but how are you feeling? response:	I'm fine.
context: Of course, no matter how faithful the reproductions,\I shan't allow a single one to remain.\Release freeze...\All projections, successive fire!\Quite durable, for glasswork.\But if you don't copy faster, you'll be cut to pieces.\Trace on!\What an utterly foolish notion... response:	Knowing that you cannot defeat me,
context: I shan't allow a single one to remain.\Release freeze...\All projections, successive fire!\Quite durable, for glasswork.\But if you don't copy faster, you'll be cut to pieces.\Trace on!\What an utterly foolish notion...\Knowing that you cannot defeat me, response:	dismantling the Holy Grail is the correct decision.
context: Release freeze...\All projections, successive fire!\Quite durable, for glasswork.\But if you don't copy faster, you'll be cut to pieces.\Trace on!\What an utterly foolish notion...\Knowing that you cannot defeat me,\dismantling the Holy Grail is the correct decision. response:	But if that is your thinking, simply killing that man would be better.
context: All projections, successive fire!\Quite durable, for glasswork.\But if you don't copy faster, you'll be cut to pieces.\Trace on!\What an utterly foolish notion...\Knowing that you cannot defeat me,\dismantling the Holy Grail is the correct decision.\But if that is your thinking, simply killing that man would be better. response:	If you wish to stop the Holy Grail,
context: Quite durable, for glasswork.\But if you don't copy faster, you'll be cut to pieces.\Trace on!\What an utterly foolish notion...\Knowing that you cannot defeat me,\dismantling the Holy Grail is the correct decision.\But if that is your thinking, simply killing that man would be better.\If you wish to stop the Holy Grail, response:	the most effective way is to eliminate Shinji.
context: But if you don't copy faster, you'll be cut to pieces.\Trace on!\What an utterly foolish notion...\Knowing that you cannot defeat me,\dismantling the Holy Grail is the correct decision.\But if that is your thinking, simply killing that man would be better.\If you wish to stop the Holy Grail,\the most effective way is to eliminate Shinji. response:	To try to save him nonetheless is hypocrisy.
context: Trace on!\What an utterly foolish notion...\Knowing that you cannot defeat me,\dismantling the Holy Grail is the correct decision.\But if that is your thinking, simply killing that man would be better.\If you wish to stop the Holy Grail,\the most effective way is to eliminate Shinji.\To try to save him nonetheless is hypocrisy. response:	An act which sums up you mongrels perfectly.
context: What an utterly foolish notion...\Knowing that you cannot defeat me,\dismantling the Holy Grail is the correct decision.\But if that is your thinking, simply killing that man would be better.\If you wish to stop the Holy Grail,\the most effective way is to eliminate Shinji.\To try to save him nonetheless is hypocrisy.\An act which sums up you mongrels perfectly. response:	What?
context: Knowing that you cannot defeat me,\dismantling the Holy Grail is the correct decision.\But if that is your thinking, simply killing that man would be better.\If you wish to stop the Holy Grail,\the most effective way is to eliminate Shinji.\To try to save him nonetheless is hypocrisy.\An act which sums up you mongrels perfectly.\What? response:	It's lost its core, and now desires me as its replacement?
context: dismantling the Holy Grail is the correct decision.\But if that is your thinking, simply killing that man would be better.\If you wish to stop the Holy Grail,\the most effective way is to eliminate Shinji.\To try to save him nonetheless is hypocrisy.\An act which sums up you mongrels perfectly.\What?\It's lost its core, and now desires me as its replacement? response:	Tohsaka...
context: But if that is your thinking, simply killing that man would be better.\If you wish to stop the Holy Grail,\the most effective way is to eliminate Shinji.\To try to save him nonetheless is hypocrisy.\An act which sums up you mongrels perfectly.\What?\It's lost its core, and now desires me as its replacement?\Tohsaka... response:	What the hell is that?
context: If you wish to stop the Holy Grail,\the most effective way is to eliminate Shinji.\To try to save him nonetheless is hypocrisy.\An act which sums up you mongrels perfectly.\What?\It's lost its core, and now desires me as its replacement?\Tohsaka...\What the hell is that? response:	I can't get a read on it.
context: the most effective way is to eliminate Shinji.\To try to save him nonetheless is hypocrisy.\An act which sums up you mongrels perfectly.\What?\It's lost its core, and now desires me as its replacement?\Tohsaka...\What the hell is that?\I can't get a read on it. response:	I can't get a read on that weapon's construction at all!
context: To try to save him nonetheless is hypocrisy.\An act which sums up you mongrels perfectly.\What?\It's lost its core, and now desires me as its replacement?\Tohsaka...\What the hell is that?\I can't get a read on it.\I can't get a read on that weapon's construction at all! response:	Exterminate it,
context: An act which sums up you mongrels perfectly.\What?\It's lost its core, and now desires me as its replacement?\Tohsaka...\What the hell is that?\I can't get a read on it.\I can't get a read on that weapon's construction at all!\Exterminate it, response:	Ea.
context: What?\It's lost its core, and now desires me as its replacement?\Tohsaka...\What the hell is that?\I can't get a read on it.\I can't get a read on that weapon's construction at all!\Exterminate it,\Ea. response:	I thought I was going easy on you...
context: It's lost its core, and now desires me as its replacement?\Tohsaka...\What the hell is that?\I can't get a read on it.\I can't get a read on that weapon's construction at all!\Exterminate it,\Ea.\I thought I was going easy on you... response:	But at this rate, sparing Archer would have afforded me more amusement,
context: Tohsaka...\What the hell is that?\I can't get a read on it.\I can't get a read on that weapon's construction at all!\Exterminate it,\Ea.\I thought I was going easy on you...\But at this rate, sparing Archer would have afforded me more amusement, response:	boy.
context: What the hell is that?\I can't get a read on it.\I can't get a read on that weapon's construction at all!\Exterminate it,\Ea.\I thought I was going easy on you...\But at this rate, sparing Archer would have afforded me more amusement,\boy. response:	That shockwave just now...
context: I can't get a read on it.\I can't get a read on that weapon's construction at all!\Exterminate it,\Ea.\I thought I was going easy on you...\But at this rate, sparing Archer would have afforded me more amusement,\boy.\That shockwave just now... response:	Our positions...
context: I can't get a read on that weapon's construction at all!\Exterminate it,\Ea.\I thought I was going easy on you...\But at this rate, sparing Archer would have afforded me more amusement,\boy.\That shockwave just now...\Our positions... response:	Assassin, are you...
context: Exterminate it,\Ea.\I thought I was going easy on you...\But at this rate, sparing Archer would have afforded me more amusement,\boy.\That shockwave just now...\Our positions...\Assassin, are you... response:	If I disengage from this man, he will use it.
context: Ea.\I thought I was going easy on you...\But at this rate, sparing Archer would have afforded me more amusement,\boy.\That shockwave just now...\Our positions...\Assassin, are you...\If I disengage from this man, he will use it. response:	His sword technique...
context: I thought I was going easy on you...\But at this rate, sparing Archer would have afforded me more amusement,\boy.\That shockwave just now...\Our positions...\Assassin, are you...\If I disengage from this man, he will use it.\His sword technique... response:	Is it wise to pull your blows?
context: But at this rate, sparing Archer would have afforded me more amusement,\boy.\That shockwave just now...\Our positions...\Assassin, are you...\If I disengage from this man, he will use it.\His sword technique...\Is it wise to pull your blows? response:	In this position, I could send you flying.
context: boy.\That shockwave just now...\Our positions...\Assassin, are you...\If I disengage from this man, he will use it.\His sword technique...\Is it wise to pull your blows?\In this position, I could send you flying. response:	Is that why you deliberately entered my range?
context: That shockwave just now...\Our positions...\Assassin, are you...\If I disengage from this man, he will use it.\His sword technique...\Is it wise to pull your blows?\In this position, I could send you flying.\Is that why you deliberately entered my range? response:	I have come to force an end to our contest, of course.
context: Our positions...\Assassin, are you...\If I disengage from this man, he will use it.\His sword technique...\Is it wise to pull your blows?\In this position, I could send you flying.\Is that why you deliberately entered my range?\I have come to force an end to our contest, of course. response:	When in a duel, do not let your mind wander to what comes after.
context: Assassin, are you...\If I disengage from this man, he will use it.\His sword technique...\Is it wise to pull your blows?\In this position, I could send you flying.\Is that why you deliberately entered my range?\I have come to force an end to our contest, of course.\When in a duel, do not let your mind wander to what comes after. response:	If I move out of striking range,
context: If I disengage from this man, he will use it.\His sword technique...\Is it wise to pull your blows?\In this position, I could send you flying.\Is that why you deliberately entered my range?\I have come to force an end to our contest, of course.\When in a duel, do not let your mind wander to what comes after.\If I move out of striking range, response:	it leaves me vulnerable to Assassin's technique.
context: His sword technique...\Is it wise to pull your blows?\In this position, I could send you flying.\Is that why you deliberately entered my range?\I have come to force an end to our contest, of course.\When in a duel, do not let your mind wander to what comes after.\If I move out of striking range,\it leaves me vulnerable to Assassin's technique. response:	Why do you hesitate?
context: Is it wise to pull your blows?\In this position, I could send you flying.\Is that why you deliberately entered my range?\I have come to force an end to our contest, of course.\When in a duel, do not let your mind wander to what comes after.\If I move out of striking range,\it leaves me vulnerable to Assassin's technique.\Why do you hesitate? response:	Just as I guard this gate, you guard something of your own.
context: In this position, I could send you flying.\Is that why you deliberately entered my range?\I have come to force an end to our contest, of course.\When in a duel, do not let your mind wander to what comes after.\If I move out of striking range,\it leaves me vulnerable to Assassin's technique.\Why do you hesitate?\Just as I guard this gate, you guard something of your own. response:	So there is no room for doubt.
context: Is that why you deliberately entered my range?\I have come to force an end to our contest, of course.\When in a duel, do not let your mind wander to what comes after.\If I move out of striking range,\it leaves me vulnerable to Assassin's technique.\Why do you hesitate?\Just as I guard this gate, you guard something of your own.\So there is no room for doubt. response:	Besides, Saber...
context: I have come to force an end to our contest, of course.\When in a duel, do not let your mind wander to what comes after.\If I move out of striking range,\it leaves me vulnerable to Assassin's technique.\Why do you hesitate?\Just as I guard this gate, you guard something of your own.\So there is no room for doubt.\Besides, Saber... response:	You are not the only one running out of time.
context: When in a duel, do not let your mind wander to what comes after.\If I move out of striking range,\it leaves me vulnerable to Assassin's technique.\Why do you hesitate?\Just as I guard this gate, you guard something of your own.\So there is no room for doubt.\Besides, Saber...\You are not the only one running out of time. response:	I have done you a discourtesy.
context: If I move out of striking range,\it leaves me vulnerable to Assassin's technique.\Why do you hesitate?\Just as I guard this gate, you guard something of your own.\So there is no room for doubt.\Besides, Saber...\You are not the only one running out of time.\I have done you a discourtesy. response:	As you say, we are both out of time.
context: it leaves me vulnerable to Assassin's technique.\Why do you hesitate?\Just as I guard this gate, you guard something of your own.\So there is no room for doubt.\Besides, Saber...\You are not the only one running out of time.\I have done you a discourtesy.\As you say, we are both out of time. response:	Concealed Sword!
context: Why do you hesitate?\Just as I guard this gate, you guard something of your own.\So there is no room for doubt.\Besides, Saber...\You are not the only one running out of time.\I have done you a discourtesy.\As you say, we are both out of time.\Concealed Sword! response:	Swallow Reversal!
context: Just as I guard this gate, you guard something of your own.\So there is no room for doubt.\Besides, Saber...\You are not the only one running out of time.\I have done you a discourtesy.\As you say, we are both out of time.\Concealed Sword!\Swallow Reversal! response:	Go.
context: So there is no room for doubt.\Besides, Saber...\You are not the only one running out of time.\I have done you a discourtesy.\As you say, we are both out of time.\Concealed Sword!\Swallow Reversal!\Go. response:	I'd thought you to be a lovely little bird,
context: Besides, Saber...\You are not the only one running out of time.\I have done you a discourtesy.\As you say, we are both out of time.\Concealed Sword!\Swallow Reversal!\Go.\I'd thought you to be a lovely little bird, response:	but in fact, you were some kind of lion.
context: You are not the only one running out of time.\I have done you a discourtesy.\As you say, we are both out of time.\Concealed Sword!\Swallow Reversal!\Go.\I'd thought you to be a lovely little bird,\but in fact, you were some kind of lion. response:	And I considered myself a fair judge of women...
context: I have done you a discourtesy.\As you say, we are both out of time.\Concealed Sword!\Swallow Reversal!\Go.\I'd thought you to be a lovely little bird,\but in fact, you were some kind of lion.\And I considered myself a fair judge of women... response:	I suppose my training in that art is equally wanting.
context: As you say, we are both out of time.\Concealed Sword!\Swallow Reversal!\Go.\I'd thought you to be a lovely little bird,\but in fact, you were some kind of lion.\And I considered myself a fair judge of women...\I suppose my training in that art is equally wanting. response:	Only the supreme ruler may wield that blade.
context: Concealed Sword!\Swallow Reversal!\Go.\I'd thought you to be a lovely little bird,\but in fact, you were some kind of lion.\And I considered myself a fair judge of women...\I suppose my training in that art is equally wanting.\Only the supreme ruler may wield that blade. response:	If a summoning is performed incorrectly, a Servant can be twisted this badly?
context: Swallow Reversal!\Go.\I'd thought you to be a lovely little bird,\but in fact, you were some kind of lion.\And I considered myself a fair judge of women...\I suppose my training in that art is equally wanting.\Only the supreme ruler may wield that blade.\If a summoning is performed incorrectly, a Servant can be twisted this badly? response:	But if I don't get there in time, make sure you do.
context: Go.\I'd thought you to be a lovely little bird,\but in fact, you were some kind of lion.\And I considered myself a fair judge of women...\I suppose my training in that art is equally wanting.\Only the supreme ruler may wield that blade.\If a summoning is performed incorrectly, a Servant can be twisted this badly?\But if I don't get there in time, make sure you do. response:	Let's do this, King of Heroes.
context: I'd thought you to be a lovely little bird,\but in fact, you were some kind of lion.\And I considered myself a fair judge of women...\I suppose my training in that art is equally wanting.\Only the supreme ruler may wield that blade.\If a summoning is performed incorrectly, a Servant can be twisted this badly?\But if I don't get there in time, make sure you do.\Let's do this, King of Heroes. response:	Next Time Unlimited Blade Works
context: but in fact, you were some kind of lion.\And I considered myself a fair judge of women...\I suppose my training in that art is equally wanting.\Only the supreme ruler may wield that blade.\If a summoning is performed incorrectly, a Servant can be twisted this badly?\But if I don't get there in time, make sure you do.\Let's do this, King of Heroes.\Next Time Unlimited Blade Works response:	Do you have enough weapons stored up?
