context: So for this problem response:	What? I still don't get it.
context: Give it up, my kitten.\No one can hold me down.\Fine!\Come on, help me like you helped that kitty!\Meow!\Help me, meow!\Silly kitten.\Whoosh! response:	Y-You're bleeding!
context: No one can hold me down.\Fine!\Come on, help me like you helped that kitty!\Meow!\Help me, meow!\Silly kitten.\Whoosh!\Y-You're bleeding! response:	I'm all right.
context: Fine!\Come on, help me like you helped that kitty!\Meow!\Help me, meow!\Silly kitten.\Whoosh!\Y-You're bleeding!\I'm all right. response:	It's the spaghetti I had for lunch.
context: Come on, help me like you helped that kitty!\Meow!\Help me, meow!\Silly kitten.\Whoosh!\Y-You're bleeding!\I'm all right.\It's the spaghetti I had for lunch. response:	I'm sorry.
context: Meow!\Help me, meow!\Silly kitten.\Whoosh!\Y-You're bleeding!\I'm all right.\It's the spaghetti I had for lunch.\I'm sorry. response:	It's all because I was being stupid.
context: Help me, meow!\Silly kitten.\Whoosh!\Y-You're bleeding!\I'm all right.\It's the spaghetti I had for lunch.\I'm sorry.\It's all because I was being stupid. response:	Being stupid?
context: Silly kitten.\Whoosh!\Y-You're bleeding!\I'm all right.\It's the spaghetti I had for lunch.\I'm sorry.\It's all because I was being stupid.\Being stupid? response:	What are you talking about?
context: Whoosh!\Y-You're bleeding!\I'm all right.\It's the spaghetti I had for lunch.\I'm sorry.\It's all because I was being stupid.\Being stupid?\What are you talking about? response:	It's a prince's job to save a kitten in distress.
context: Y-You're bleeding!\I'm all right.\It's the spaghetti I had for lunch.\I'm sorry.\It's all because I was being stupid.\Being stupid?\What are you talking about?\It's a prince's job to save a kitten in distress. response:	I love you!
context: I'm all right.\It's the spaghetti I had for lunch.\I'm sorry.\It's all because I was being stupid.\Being stupid?\What are you talking about?\It's a prince's job to save a kitten in distress.\I love you! response:	Farewell, my kitten.
context: It's the spaghetti I had for lunch.\I'm sorry.\It's all because I was being stupid.\Being stupid?\What are you talking about?\It's a prince's job to save a kitten in distress.\I love you!\Farewell, my kitten. response:	Don't put yourself in danger anymore.
context: I'm sorry.\It's all because I was being stupid.\Being stupid?\What are you talking about?\It's a prince's job to save a kitten in distress.\I love you!\Farewell, my kitten.\Don't put yourself in danger anymore. response:	Wait...
context: It's all because I was being stupid.\Being stupid?\What are you talking about?\It's a prince's job to save a kitten in distress.\I love you!\Farewell, my kitten.\Don't put yourself in danger anymore.\Wait... response:	Wait, what's your name?
context: Being stupid?\What are you talking about?\It's a prince's job to save a kitten in distress.\I love you!\Farewell, my kitten.\Don't put yourself in danger anymore.\Wait...\Wait, what's your name? response:	Katori Shin'ichi.
context: What are you talking about?\It's a prince's job to save a kitten in distress.\I love you!\Farewell, my kitten.\Don't put yourself in danger anymore.\Wait...\Wait, what's your name?\Katori Shin'ichi. response:	Toodles.
context: It's a prince's job to save a kitten in distress.\I love you!\Farewell, my kitten.\Don't put yourself in danger anymore.\Wait...\Wait, what's your name?\Katori Shin'ichi.\Toodles. response:	Katori-senpai!
context: I love you!\Farewell, my kitten.\Don't put yourself in danger anymore.\Wait...\Wait, what's your name?\Katori Shin'ichi.\Toodles.\Katori-senpai! response:	Next time: It's All the Fever's Fault.
context: Farewell, my kitten.\Don't put yourself in danger anymore.\Wait...\Wait, what's your name?\Katori Shin'ichi.\Toodles.\Katori-senpai!\Next time: It's All the Fever's Fault. response:	It's All the Fever's Fault
