context: Though my true power has been unleashed, response:	you are still able to keep up.
context: Turns out you can't trust prophecies to begin with.\Hold it right there!\I don't know how you did it, but you went in the ship on your own?\You're just a Class B. How dare you butt in like that?\I didn't need you. I could have handled it on my own.\Baldy! Octopus! Boiled egg! Light bulb! Avocado!\G-Genos. Lame face! Goblin! Bug! Baldy!\Say something. Ping-pong ball! Rice grain! Beanhead! response:	Yes, sir. Kettle! Baldy! Kneecap!
context: Hold it right there!\I don't know how you did it, but you went in the ship on your own?\You're just a Class B. How dare you butt in like that?\I didn't need you. I could have handled it on my own.\Baldy! Octopus! Boiled egg! Light bulb! Avocado!\G-Genos. Lame face! Goblin! Bug! Baldy!\Say something. Ping-pong ball! Rice grain! Beanhead!\Yes, sir. Kettle! Baldy! Kneecap! response:	Listen, spoiled brat.
context: I don't know how you did it, but you went in the ship on your own?\You're just a Class B. How dare you butt in like that?\I didn't need you. I could have handled it on my own.\Baldy! Octopus! Boiled egg! Light bulb! Avocado!\G-Genos. Lame face! Goblin! Bug! Baldy!\Say something. Ping-pong ball! Rice grain! Beanhead!\Yes, sir. Kettle! Baldy! Kneecap!\Listen, spoiled brat. response:	Shut up and get lost, or get beat down.
context: You're just a Class B. How dare you butt in like that?\I didn't need you. I could have handled it on my own.\Baldy! Octopus! Boiled egg! Light bulb! Avocado!\G-Genos. Lame face! Goblin! Bug! Baldy!\Say something. Ping-pong ball! Rice grain! Beanhead!\Yes, sir. Kettle! Baldy! Kneecap!\Listen, spoiled brat.\Shut up and get lost, or get beat down. response:	That's it! Yeah!
context: I didn't need you. I could have handled it on my own.\Baldy! Octopus! Boiled egg! Light bulb! Avocado!\G-Genos. Lame face! Goblin! Bug! Baldy!\Say something. Ping-pong ball! Rice grain! Beanhead!\Yes, sir. Kettle! Baldy! Kneecap!\Listen, spoiled brat.\Shut up and get lost, or get beat down.\That's it! Yeah! response:	Unforgiveable. Me, a brat?
context: Baldy! Octopus! Boiled egg! Light bulb! Avocado!\G-Genos. Lame face! Goblin! Bug! Baldy!\Say something. Ping-pong ball! Rice grain! Beanhead!\Yes, sir. Kettle! Baldy! Kneecap!\Listen, spoiled brat.\Shut up and get lost, or get beat down.\That's it! Yeah!\Unforgiveable. Me, a brat? response:	I'm older than you!
context: G-Genos. Lame face! Goblin! Bug! Baldy!\Say something. Ping-pong ball! Rice grain! Beanhead!\Yes, sir. Kettle! Baldy! Kneecap!\Listen, spoiled brat.\Shut up and get lost, or get beat down.\That's it! Yeah!\Unforgiveable. Me, a brat?\I'm older than you! response:	Genos?!
context: Say something. Ping-pong ball! Rice grain! Beanhead!\Yes, sir. Kettle! Baldy! Kneecap!\Listen, spoiled brat.\Shut up and get lost, or get beat down.\That's it! Yeah!\Unforgiveable. Me, a brat?\I'm older than you!\Genos?! response:	You're next, Class B!
context: Yes, sir. Kettle! Baldy! Kneecap!\Listen, spoiled brat.\Shut up and get lost, or get beat down.\That's it! Yeah!\Unforgiveable. Me, a brat?\I'm older than you!\Genos?!\You're next, Class B! response:	Cut it out, Tornado.
context: Listen, spoiled brat.\Shut up and get lost, or get beat down.\That's it! Yeah!\Unforgiveable. Me, a brat?\I'm older than you!\Genos?!\You're next, Class B!\Cut it out, Tornado. response:	You're part of the Association a hero, right?
context: Shut up and get lost, or get beat down.\That's it! Yeah!\Unforgiveable. Me, a brat?\I'm older than you!\Genos?!\You're next, Class B!\Cut it out, Tornado.\You're part of the Association a hero, right? response:	Whatever.
context: That's it! Yeah!\Unforgiveable. Me, a brat?\I'm older than you!\Genos?!\You're next, Class B!\Cut it out, Tornado.\You're part of the Association a hero, right?\Whatever. response:	Why are there so many troublemakers amongst the elite heroes?
context: Unforgiveable. Me, a brat?\I'm older than you!\Genos?!\You're next, Class B!\Cut it out, Tornado.\You're part of the Association a hero, right?\Whatever.\Why are there so many troublemakers amongst the elite heroes? response:	Genos Your joints are all bent the wrong way.
context: I'm older than you!\Genos?!\You're next, Class B!\Cut it out, Tornado.\You're part of the Association a hero, right?\Whatever.\Why are there so many troublemakers amongst the elite heroes?\Genos Your joints are all bent the wrong way. response:	Here, I'll fix you up.
context: Genos?!\You're next, Class B!\Cut it out, Tornado.\You're part of the Association a hero, right?\Whatever.\Why are there so many troublemakers amongst the elite heroes?\Genos Your joints are all bent the wrong way.\Here, I'll fix you up. response:	Oh sorry, your arm came off!
context: You're next, Class B!\Cut it out, Tornado.\You're part of the Association a hero, right?\Whatever.\Why are there so many troublemakers amongst the elite heroes?\Genos Your joints are all bent the wrong way.\Here, I'll fix you up.\Oh sorry, your arm came off! response:	My back is killing me.
context: Cut it out, Tornado.\You're part of the Association a hero, right?\Whatever.\Why are there so many troublemakers amongst the elite heroes?\Genos Your joints are all bent the wrong way.\Here, I'll fix you up.\Oh sorry, your arm came off!\My back is killing me. response:	City A was wiped off the map that day.
context: You're part of the Association a hero, right?\Whatever.\Why are there so many troublemakers amongst the elite heroes?\Genos Your joints are all bent the wrong way.\Here, I'll fix you up.\Oh sorry, your arm came off!\My back is killing me.\City A was wiped off the map that day. response:	The arrival of aliens and
context: Whatever.\Why are there so many troublemakers amongst the elite heroes?\Genos Your joints are all bent the wrong way.\Here, I'll fix you up.\Oh sorry, your arm came off!\My back is killing me.\City A was wiped off the map that day.\The arrival of aliens and response:	City As annihilation were history-making events,
context: Why are there so many troublemakers amongst the elite heroes?\Genos Your joints are all bent the wrong way.\Here, I'll fix you up.\Oh sorry, your arm came off!\My back is killing me.\City A was wiped off the map that day.\The arrival of aliens and\City As annihilation were history-making events, response:	the top stories for days.
context: Genos Your joints are all bent the wrong way.\Here, I'll fix you up.\Oh sorry, your arm came off!\My back is killing me.\City A was wiped off the map that day.\The arrival of aliens and\City As annihilation were history-making events,\the top stories for days. response:	But eventually the coverage died down
context: Here, I'll fix you up.\Oh sorry, your arm came off!\My back is killing me.\City A was wiped off the map that day.\The arrival of aliens and\City As annihilation were history-making events,\the top stories for days.\But eventually the coverage died down response:	and no one mentioned the city that had disappeared.
context: Oh sorry, your arm came off!\My back is killing me.\City A was wiped off the map that day.\The arrival of aliens and\City As annihilation were history-making events,\the top stories for days.\But eventually the coverage died down\and no one mentioned the city that had disappeared. response:	Metal Knight salvaged the spaceship.
context: My back is killing me.\City A was wiped off the map that day.\The arrival of aliens and\City As annihilation were history-making events,\the top stories for days.\But eventually the coverage died down\and no one mentioned the city that had disappeared.\Metal Knight salvaged the spaceship. response:	Soon thereafter, the Hero Association headquarters
context: City A was wiped off the map that day.\The arrival of aliens and\City As annihilation were history-making events,\the top stories for days.\But eventually the coverage died down\and no one mentioned the city that had disappeared.\Metal Knight salvaged the spaceship.\Soon thereafter, the Hero Association headquarters response:	was reconstructed all the stronger,
context: The arrival of aliens and\City As annihilation were history-making events,\the top stories for days.\But eventually the coverage died down\and no one mentioned the city that had disappeared.\Metal Knight salvaged the spaceship.\Soon thereafter, the Hero Association headquarters\was reconstructed all the stronger, response:	and became an impenetrable fortress of steel.
context: City As annihilation were history-making events,\the top stories for days.\But eventually the coverage died down\and no one mentioned the city that had disappeared.\Metal Knight salvaged the spaceship.\Soon thereafter, the Hero Association headquarters\was reconstructed all the stronger,\and became an impenetrable fortress of steel. response:	The infrastructure was rebuilt with new roads leading out of HQ.
context: the top stories for days.\But eventually the coverage died down\and no one mentioned the city that had disappeared.\Metal Knight salvaged the spaceship.\Soon thereafter, the Hero Association headquarters\was reconstructed all the stronger,\and became an impenetrable fortress of steel.\The infrastructure was rebuilt with new roads leading out of HQ. response:	Heroes were able to deploy quickly to every city.
context: But eventually the coverage died down\and no one mentioned the city that had disappeared.\Metal Knight salvaged the spaceship.\Soon thereafter, the Hero Association headquarters\was reconstructed all the stronger,\and became an impenetrable fortress of steel.\The infrastructure was rebuilt with new roads leading out of HQ.\Heroes were able to deploy quickly to every city. response:	And heroes Class A and above were given the option
context: and no one mentioned the city that had disappeared.\Metal Knight salvaged the spaceship.\Soon thereafter, the Hero Association headquarters\was reconstructed all the stronger,\and became an impenetrable fortress of steel.\The infrastructure was rebuilt with new roads leading out of HQ.\Heroes were able to deploy quickly to every city.\And heroes Class A and above were given the option response:	to live at headquarters.
context: Metal Knight salvaged the spaceship.\Soon thereafter, the Hero Association headquarters\was reconstructed all the stronger,\and became an impenetrable fortress of steel.\The infrastructure was rebuilt with new roads leading out of HQ.\Heroes were able to deploy quickly to every city.\And heroes Class A and above were given the option\to live at headquarters. response:	You can see it clearly!
context: Soon thereafter, the Hero Association headquarters\was reconstructed all the stronger,\and became an impenetrable fortress of steel.\The infrastructure was rebuilt with new roads leading out of HQ.\Heroes were able to deploy quickly to every city.\And heroes Class A and above were given the option\to live at headquarters.\You can see it clearly! response:	The entire building has been ripped out down to the foundations.
context: was reconstructed all the stronger,\and became an impenetrable fortress of steel.\The infrastructure was rebuilt with new roads leading out of HQ.\Heroes were able to deploy quickly to every city.\And heroes Class A and above were given the option\to live at headquarters.\You can see it clearly!\The entire building has been ripped out down to the foundations. response:	The monster appeared in City Z, but now City Y is in
context: and became an impenetrable fortress of steel.\The infrastructure was rebuilt with new roads leading out of HQ.\Heroes were able to deploy quickly to every city.\And heroes Class A and above were given the option\to live at headquarters.\You can see it clearly!\The entire building has been ripped out down to the foundations.\The monster appeared in City Z, but now City Y is in response:	PLUTON, KING OF THE UNDERWORLD
context: The infrastructure was rebuilt with new roads leading out of HQ.\Heroes were able to deploy quickly to every city.\And heroes Class A and above were given the option\to live at headquarters.\You can see it clearly!\The entire building has been ripped out down to the foundations.\The monster appeared in City Z, but now City Y is in\PLUTON, KING OF THE UNDERWORLD response:	THREAT LEVEL: DRAGON
context: Heroes were able to deploy quickly to every city.\And heroes Class A and above were given the option\to live at headquarters.\You can see it clearly!\The entire building has been ripped out down to the foundations.\The monster appeared in City Z, but now City Y is in\PLUTON, KING OF THE UNDERWORLD\THREAT LEVEL: DRAGON response:	You humans waste your existence in gluttony,
context: And heroes Class A and above were given the option\to live at headquarters.\You can see it clearly!\The entire building has been ripped out down to the foundations.\The monster appeared in City Z, but now City Y is in\PLUTON, KING OF THE UNDERWORLD\THREAT LEVEL: DRAGON\You humans waste your existence in gluttony, response:	littering the earth with worthless objects.
context: to live at headquarters.\You can see it clearly!\The entire building has been ripped out down to the foundations.\The monster appeared in City Z, but now City Y is in\PLUTON, KING OF THE UNDERWORLD\THREAT LEVEL: DRAGON\You humans waste your existence in gluttony,\littering the earth with worthless objects. response:	Now shall you boil and rot in the depths of the underworld
context: You can see it clearly!\The entire building has been ripped out down to the foundations.\The monster appeared in City Z, but now City Y is in\PLUTON, KING OF THE UNDERWORLD\THREAT LEVEL: DRAGON\You humans waste your existence in gluttony,\littering the earth with worthless objects.\Now shall you boil and rot in the depths of the underworld response:	that spreads below my mighty snout!
context: The entire building has been ripped out down to the foundations.\The monster appeared in City Z, but now City Y is in\PLUTON, KING OF THE UNDERWORLD\THREAT LEVEL: DRAGON\You humans waste your existence in gluttony,\littering the earth with worthless objects.\Now shall you boil and rot in the depths of the underworld\that spreads below my mighty snout! response:	Who do we have here?
context: The monster appeared in City Z, but now City Y is in\PLUTON, KING OF THE UNDERWORLD\THREAT LEVEL: DRAGON\You humans waste your existence in gluttony,\littering the earth with worthless objects.\Now shall you boil and rot in the depths of the underworld\that spreads below my mighty snout!\Who do we have here? response:	A great man who is a hero for fun
context: PLUTON, KING OF THE UNDERWORLD\THREAT LEVEL: DRAGON\You humans waste your existence in gluttony,\littering the earth with worthless objects.\Now shall you boil and rot in the depths of the underworld\that spreads below my mighty snout!\Who do we have here?\A great man who is a hero for fun response:	and profit.
context: THREAT LEVEL: DRAGON\You humans waste your existence in gluttony,\littering the earth with worthless objects.\Now shall you boil and rot in the depths of the underworld\that spreads below my mighty snout!\Who do we have here?\A great man who is a hero for fun\and profit. response:	A great man?
context: You humans waste your existence in gluttony,\littering the earth with worthless objects.\Now shall you boil and rot in the depths of the underworld\that spreads below my mighty snout!\Who do we have here?\A great man who is a hero for fun\and profit.\A great man? response:	Andhis disciple.
context: littering the earth with worthless objects.\Now shall you boil and rot in the depths of the underworld\that spreads below my mighty snout!\Who do we have here?\A great man who is a hero for fun\and profit.\A great man?\Andhis disciple. response:	Back to one punch again
context: Now shall you boil and rot in the depths of the underworld\that spreads below my mighty snout!\Who do we have here?\A great man who is a hero for fun\and profit.\A great man?\Andhis disciple.\Back to one punch again response:	GOD DAMN IT!!
