context: Frill-necked lizards, Mexican salamanders, and human-faced fish are all mad. response:	Mad, saying they're not toys.
context: Sailor Moon.\In the name of the moon, I will punish you.\Why you...\Scary!\Shingo! Shingo!\It's usually at times like this that\the Tuxedo Mask comes to save me.\He's not coming. response:	Don't keep depending on others.
context: In the name of the moon, I will punish you.\Why you...\Scary!\Shingo! Shingo!\It's usually at times like this that\the Tuxedo Mask comes to save me.\He's not coming.\Don't keep depending on others. response:	C'mon, use the Moon Tiara Action.
context: Why you...\Scary!\Shingo! Shingo!\It's usually at times like this that\the Tuxedo Mask comes to save me.\He's not coming.\Don't keep depending on others.\C'mon, use the Moon Tiara Action. response:	But Shingo's there...
context: Scary!\Shingo! Shingo!\It's usually at times like this that\the Tuxedo Mask comes to save me.\He's not coming.\Don't keep depending on others.\C'mon, use the Moon Tiara Action.\But Shingo's there... response:	Just yell, Moon Tiara Stardust.
context: Shingo! Shingo!\It's usually at times like this that\the Tuxedo Mask comes to save me.\He's not coming.\Don't keep depending on others.\C'mon, use the Moon Tiara Action.\But Shingo's there...\Just yell, Moon Tiara Stardust. response:	Got it.
context: It's usually at times like this that\the Tuxedo Mask comes to save me.\He's not coming.\Don't keep depending on others.\C'mon, use the Moon Tiara Action.\But Shingo's there...\Just yell, Moon Tiara Stardust.\Got it. response:	Moon Tiara Stardust!
context: the Tuxedo Mask comes to save me.\He's not coming.\Don't keep depending on others.\C'mon, use the Moon Tiara Action.\But Shingo's there...\Just yell, Moon Tiara Stardust.\Got it.\Moon Tiara Stardust! response:	Oh, I didn't know I could do that.
context: He's not coming.\Don't keep depending on others.\C'mon, use the Moon Tiara Action.\But Shingo's there...\Just yell, Moon Tiara Stardust.\Got it.\Moon Tiara Stardust!\Oh, I didn't know I could do that. response:	Why you...
context: Don't keep depending on others.\C'mon, use the Moon Tiara Action.\But Shingo's there...\Just yell, Moon Tiara Stardust.\Got it.\Moon Tiara Stardust!\Oh, I didn't know I could do that.\Why you... response:	Over here, Sailor Moon!
context: C'mon, use the Moon Tiara Action.\But Shingo's there...\Just yell, Moon Tiara Stardust.\Got it.\Moon Tiara Stardust!\Oh, I didn't know I could do that.\Why you...\Over here, Sailor Moon! response:	I'm done for!
context: But Shingo's there...\Just yell, Moon Tiara Stardust.\Got it.\Moon Tiara Stardust!\Oh, I didn't know I could do that.\Why you...\Over here, Sailor Moon!\I'm done for! response:	That monster's weak point is at the base of its tail.
context: Just yell, Moon Tiara Stardust.\Got it.\Moon Tiara Stardust!\Oh, I didn't know I could do that.\Why you...\Over here, Sailor Moon!\I'm done for!\That monster's weak point is at the base of its tail. response:	Moon Tiara Action.
context: Got it.\Moon Tiara Stardust!\Oh, I didn't know I could do that.\Why you...\Over here, Sailor Moon!\I'm done for!\That monster's weak point is at the base of its tail.\Moon Tiara Action. response:	Sailor V!
context: Moon Tiara Stardust!\Oh, I didn't know I could do that.\Why you...\Over here, Sailor Moon!\I'm done for!\That monster's weak point is at the base of its tail.\Moon Tiara Action.\Sailor V! response:	Oh crap!
context: Oh, I didn't know I could do that.\Why you...\Over here, Sailor Moon!\I'm done for!\That monster's weak point is at the base of its tail.\Moon Tiara Action.\Sailor V!\Oh crap! response:	Sailor V. Can I get your autograph?
context: Why you...\Over here, Sailor Moon!\I'm done for!\That monster's weak point is at the base of its tail.\Moon Tiara Action.\Sailor V!\Oh crap!\Sailor V. Can I get your autograph? response:	I'm a huge fan.
context: Over here, Sailor Moon!\I'm done for!\That monster's weak point is at the base of its tail.\Moon Tiara Action.\Sailor V!\Oh crap!\Sailor V. Can I get your autograph?\I'm a huge fan. response:	I'm Sailor Moon!
context: I'm done for!\That monster's weak point is at the base of its tail.\Moon Tiara Action.\Sailor V!\Oh crap!\Sailor V. Can I get your autograph?\I'm a huge fan.\I'm Sailor Moon! response:	Well, you're cute, so whichever.
context: That monster's weak point is at the base of its tail.\Moon Tiara Action.\Sailor V!\Oh crap!\Sailor V. Can I get your autograph?\I'm a huge fan.\I'm Sailor Moon!\Well, you're cute, so whichever. response:	Anyway, can I please have your autograph?
context: Moon Tiara Action.\Sailor V!\Oh crap!\Sailor V. Can I get your autograph?\I'm a huge fan.\I'm Sailor Moon!\Well, you're cute, so whichever.\Anyway, can I please have your autograph? response:	But before that, I have to ask you to do something, Shingo.
context: Sailor V!\Oh crap!\Sailor V. Can I get your autograph?\I'm a huge fan.\I'm Sailor Moon!\Well, you're cute, so whichever.\Anyway, can I please have your autograph?\But before that, I have to ask you to do something, Shingo. response:	Huh? How did you know my name?
context: Oh crap!\Sailor V. Can I get your autograph?\I'm a huge fan.\I'm Sailor Moon!\Well, you're cute, so whichever.\Anyway, can I please have your autograph?\But before that, I have to ask you to do something, Shingo.\Huh? How did you know my name? response:	I know everything.
context: Sailor V. Can I get your autograph?\I'm a huge fan.\I'm Sailor Moon!\Well, you're cute, so whichever.\Anyway, can I please have your autograph?\But before that, I have to ask you to do something, Shingo.\Huh? How did you know my name?\I know everything. response:	Shingo, I want you to be nice to a cat near you named Luna.
context: I'm a huge fan.\I'm Sailor Moon!\Well, you're cute, so whichever.\Anyway, can I please have your autograph?\But before that, I have to ask you to do something, Shingo.\Huh? How did you know my name?\I know everything.\Shingo, I want you to be nice to a cat near you named Luna. response:	That black cat is certain to lead you to happiness.
context: I'm Sailor Moon!\Well, you're cute, so whichever.\Anyway, can I please have your autograph?\But before that, I have to ask you to do something, Shingo.\Huh? How did you know my name?\I know everything.\Shingo, I want you to be nice to a cat near you named Luna.\That black cat is certain to lead you to happiness. response:	Okay, anything you ask.
context: Well, you're cute, so whichever.\Anyway, can I please have your autograph?\But before that, I have to ask you to do something, Shingo.\Huh? How did you know my name?\I know everything.\Shingo, I want you to be nice to a cat near you named Luna.\That black cat is certain to lead you to happiness.\Okay, anything you ask. response:	Luna, do you want ham next?
context: Anyway, can I please have your autograph?\But before that, I have to ask you to do something, Shingo.\Huh? How did you know my name?\I know everything.\Shingo, I want you to be nice to a cat near you named Luna.\That black cat is certain to lead you to happiness.\Okay, anything you ask.\Luna, do you want ham next? response:	It's good that you two are getting along.
context: But before that, I have to ask you to do something, Shingo.\Huh? How did you know my name?\I know everything.\Shingo, I want you to be nice to a cat near you named Luna.\That black cat is certain to lead you to happiness.\Okay, anything you ask.\Luna, do you want ham next?\It's good that you two are getting along. response:	Starting today, we're a family of five.
context: Huh? How did you know my name?\I know everything.\Shingo, I want you to be nice to a cat near you named Luna.\That black cat is certain to lead you to happiness.\Okay, anything you ask.\Luna, do you want ham next?\It's good that you two are getting along.\Starting today, we're a family of five. response:	Okay, here you go.
context: I know everything.\Shingo, I want you to be nice to a cat near you named Luna.\That black cat is certain to lead you to happiness.\Okay, anything you ask.\Luna, do you want ham next?\It's good that you two are getting along.\Starting today, we're a family of five.\Okay, here you go. response:	Either way, it's pretty bad.
context: Shingo, I want you to be nice to a cat near you named Luna.\That black cat is certain to lead you to happiness.\Okay, anything you ask.\Luna, do you want ham next?\It's good that you two are getting along.\Starting today, we're a family of five.\Okay, here you go.\Either way, it's pretty bad. response:	In my dream, you and I were together
context: That black cat is certain to lead you to happiness.\Okay, anything you ask.\Luna, do you want ham next?\It's good that you two are getting along.\Starting today, we're a family of five.\Okay, here you go.\Either way, it's pretty bad.\In my dream, you and I were together response:	Protected by the stars
context: Okay, anything you ask.\Luna, do you want ham next?\It's good that you two are getting along.\Starting today, we're a family of five.\Okay, here you go.\Either way, it's pretty bad.\In my dream, you and I were together\Protected by the stars response:	When we were friends, it didn't bother us
context: Luna, do you want ham next?\It's good that you two are getting along.\Starting today, we're a family of five.\Okay, here you go.\Either way, it's pretty bad.\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us response:	And we casually talked to each other
context: It's good that you two are getting along.\Starting today, we're a family of five.\Okay, here you go.\Either way, it's pretty bad.\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other response:	But there was a moment when I noticed only you
context: Starting today, we're a family of five.\Okay, here you go.\Either way, it's pretty bad.\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other\But there was a moment when I noticed only you response:	I want to become prettier right here and now
context: Okay, here you go.\Either way, it's pretty bad.\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other\But there was a moment when I noticed only you\I want to become prettier right here and now response:	Something changes when you fall in love
context: Either way, it's pretty bad.\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other\But there was a moment when I noticed only you\I want to become prettier right here and now\Something changes when you fall in love response:	I close my eyes and check to make sure
context: In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other\But there was a moment when I noticed only you\I want to become prettier right here and now\Something changes when you fall in love\I close my eyes and check to make sure response:	I want to convey the thrill I felt when we held each other
