context: Well then, let's get started. response:	Hey hey, wait a second!
context: You've done well to reach here.\Are you making fun of me?\Going to the trouble of showing off that stupid room nameplate...\Well, this is a school.\You seem to have some messed up sense of value.\No, that's just the rules.\This world's... God's\God... whether he exists or not is a truly profound question. response:	It does interest me.
context: Are you making fun of me?\Going to the trouble of showing off that stupid room nameplate...\Well, this is a school.\You seem to have some messed up sense of value.\No, that's just the rules.\This world's... God's\God... whether he exists or not is a truly profound question.\It does interest me. response:	But I do not have the means to pursue the answer.
context: Going to the trouble of showing off that stupid room nameplate...\Well, this is a school.\You seem to have some messed up sense of value.\No, that's just the rules.\This world's... God's\God... whether he exists or not is a truly profound question.\It does interest me.\But I do not have the means to pursue the answer. response:	I only do what's been decided.
context: Well, this is a school.\You seem to have some messed up sense of value.\No, that's just the rules.\This world's... God's\God... whether he exists or not is a truly profound question.\It does interest me.\But I do not have the means to pursue the answer.\I only do what's been decided. response:	So you're programmed to do this.
context: You seem to have some messed up sense of value.\No, that's just the rules.\This world's... God's\God... whether he exists or not is a truly profound question.\It does interest me.\But I do not have the means to pursue the answer.\I only do what's been decided.\So you're programmed to do this. response:	It is as you say.
context: No, that's just the rules.\This world's... God's\God... whether he exists or not is a truly profound question.\It does interest me.\But I do not have the means to pursue the answer.\I only do what's been decided.\So you're programmed to do this.\It is as you say. response:	Who made you?
context: This world's... God's\God... whether he exists or not is a truly profound question.\It does interest me.\But I do not have the means to pursue the answer.\I only do what's been decided.\So you're programmed to do this.\It is as you say.\Who made you? response:	There's probably no point in telling you his name.
context: God... whether he exists or not is a truly profound question.\It does interest me.\But I do not have the means to pursue the answer.\I only do what's been decided.\So you're programmed to do this.\It is as you say.\Who made you?\There's probably no point in telling you his name. response:	It was a man from the long - dead past.
context: It does interest me.\But I do not have the means to pursue the answer.\I only do what's been decided.\So you're programmed to do this.\It is as you say.\Who made you?\There's probably no point in telling you his name.\It was a man from the long - dead past. response:	Angel Player...
context: But I do not have the means to pursue the answer.\I only do what's been decided.\So you're programmed to do this.\It is as you say.\Who made you?\There's probably no point in telling you his name.\It was a man from the long - dead past.\Angel Player... response:	What is this program?
context: I only do what's been decided.\So you're programmed to do this.\It is as you say.\Who made you?\There's probably no point in telling you his name.\It was a man from the long - dead past.\Angel Player...\What is this program? response:	As you're aware, it's a program that allows you to create and change materials in this world.
context: So you're programmed to do this.\It is as you say.\Who made you?\There's probably no point in telling you his name.\It was a man from the long - dead past.\Angel Player...\What is this program?\As you're aware, it's a program that allows you to create and change materials in this world. response:	Why can it do that?
context: It is as you say.\Who made you?\There's probably no point in telling you his name.\It was a man from the long - dead past.\Angel Player...\What is this program?\As you're aware, it's a program that allows you to create and change materials in this world.\Why can it do that? response:	Who knows?
context: Who made you?\There's probably no point in telling you his name.\It was a man from the long - dead past.\Angel Player...\What is this program?\As you're aware, it's a program that allows you to create and change materials in this world.\Why can it do that?\Who knows? response:	I didn't create it myself.
context: There's probably no point in telling you his name.\It was a man from the long - dead past.\Angel Player...\What is this program?\As you're aware, it's a program that allows you to create and change materials in this world.\Why can it do that?\Who knows?\I didn't create it myself. response:	But you make weapons from dirt.
context: It was a man from the long - dead past.\Angel Player...\What is this program?\As you're aware, it's a program that allows you to create and change materials in this world.\Why can it do that?\Who knows?\I didn't create it myself.\But you make weapons from dirt. response:	It's probably the same.
context: Angel Player...\What is this program?\As you're aware, it's a program that allows you to create and change materials in this world.\Why can it do that?\Who knows?\I didn't create it myself.\But you make weapons from dirt.\It's probably the same. response:	So in the end, you're bound by the same rules.
context: What is this program?\As you're aware, it's a program that allows you to create and change materials in this world.\Why can it do that?\Who knows?\I didn't create it myself.\But you make weapons from dirt.\It's probably the same.\So in the end, you're bound by the same rules. response:	Did the creator of the program want to be God?
context: As you're aware, it's a program that allows you to create and change materials in this world.\Why can it do that?\Who knows?\I didn't create it myself.\But you make weapons from dirt.\It's probably the same.\So in the end, you're bound by the same rules.\Did the creator of the program want to be God? response:	Who knows?
context: Why can it do that?\Who knows?\I didn't create it myself.\But you make weapons from dirt.\It's probably the same.\So in the end, you're bound by the same rules.\Did the creator of the program want to be God?\Who knows? response:	I have no idea.
context: Who knows?\I didn't create it myself.\But you make weapons from dirt.\It's probably the same.\So in the end, you're bound by the same rules.\Did the creator of the program want to be God?\Who knows?\I have no idea. response:	I don't have time, so let's get right to the point.
context: I didn't create it myself.\But you make weapons from dirt.\It's probably the same.\So in the end, you're bound by the same rules.\Did the creator of the program want to be God?\Who knows?\I have no idea.\I don't have time, so let's get right to the point. response:	Under what circumstances are you programmed to do this?
context: But you make weapons from dirt.\It's probably the same.\So in the end, you're bound by the same rules.\Did the creator of the program want to be God?\Who knows?\I have no idea.\I don't have time, so let's get right to the point.\Under what circumstances are you programmed to do this? response:	I don't know what I'm programmed to do.
context: It's probably the same.\So in the end, you're bound by the same rules.\Did the creator of the program want to be God?\Who knows?\I have no idea.\I don't have time, so let's get right to the point.\Under what circumstances are you programmed to do this?\I don't know what I'm programmed to do. response:	Then I'll ask a different way.
context: So in the end, you're bound by the same rules.\Did the creator of the program want to be God?\Who knows?\I have no idea.\I don't have time, so let's get right to the point.\Under what circumstances are you programmed to do this?\I don't know what I'm programmed to do.\Then I'll ask a different way. response:	What happened to this world that caused you to act?
context: Did the creator of the program want to be God?\Who knows?\I have no idea.\I don't have time, so let's get right to the point.\Under what circumstances are you programmed to do this?\I don't know what I'm programmed to do.\Then I'll ask a different way.\What happened to this world that caused you to act? response:	Love manifested itself in this world.
context: Who knows?\I have no idea.\I don't have time, so let's get right to the point.\Under what circumstances are you programmed to do this?\I don't know what I'm programmed to do.\Then I'll ask a different way.\What happened to this world that caused you to act?\Love manifested itself in this world. response:	What?
context: I have no idea.\I don't have time, so let's get right to the point.\Under what circumstances are you programmed to do this?\I don't know what I'm programmed to do.\Then I'll ask a different way.\What happened to this world that caused you to act?\Love manifested itself in this world.\What? response:	Love?
context: I don't have time, so let's get right to the point.\Under what circumstances are you programmed to do this?\I don't know what I'm programmed to do.\Then I'll ask a different way.\What happened to this world that caused you to act?\Love manifested itself in this world.\What?\Love? response:	Yes, love.
context: Under what circumstances are you programmed to do this?\I don't know what I'm programmed to do.\Then I'll ask a different way.\What happened to this world that caused you to act?\Love manifested itself in this world.\What?\Love?\Yes, love. response:	That is what must not exist in this world.
context: I don't know what I'm programmed to do.\Then I'll ask a different way.\What happened to this world that caused you to act?\Love manifested itself in this world.\What?\Love?\Yes, love.\That is what must not exist in this world. response:	I see...
context: Then I'll ask a different way.\What happened to this world that caused you to act?\Love manifested itself in this world.\What?\Love?\Yes, love.\That is what must not exist in this world.\I see... response:	That's right...
context: What happened to this world that caused you to act?\Love manifested itself in this world.\What?\Love?\Yes, love.\That is what must not exist in this world.\I see...\That's right... response:	If anyone finds love, they should disappear instantly.
context: Love manifested itself in this world.\What?\Love?\Yes, love.\That is what must not exist in this world.\I see...\That's right...\If anyone finds love, they should disappear instantly. response:	But if it manifests itself, then what would happen?
context: What?\Love?\Yes, love.\That is what must not exist in this world.\I see...\That's right...\If anyone finds love, they should disappear instantly.\But if it manifests itself, then what would happen? response:	If love manifests itself, this world can become an eternal paradise.
context: Love?\Yes, love.\That is what must not exist in this world.\I see...\That's right...\If anyone finds love, they should disappear instantly.\But if it manifests itself, then what would happen?\If love manifests itself, this world can become an eternal paradise. response:	But that must never happen in this world,
context: Yes, love.\That is what must not exist in this world.\I see...\That's right...\If anyone finds love, they should disappear instantly.\But if it manifests itself, then what would happen?\If love manifests itself, this world can become an eternal paradise.\But that must never happen in this world, response:	because everyone must graduate from this place.
context: That is what must not exist in this world.\I see...\That's right...\If anyone finds love, they should disappear instantly.\But if it manifests itself, then what would happen?\If love manifests itself, this world can become an eternal paradise.\But that must never happen in this world,\because everyone must graduate from this place. response:	So someone held that philosophy...
context: I see...\That's right...\If anyone finds love, they should disappear instantly.\But if it manifests itself, then what would happen?\If love manifests itself, this world can become an eternal paradise.\But that must never happen in this world,\because everyone must graduate from this place.\So someone held that philosophy... response:	But on rare occasions, someone who lived a fulfilling life for the sake of others will wander in due to amnesia.
context: That's right...\If anyone finds love, they should disappear instantly.\But if it manifests itself, then what would happen?\If love manifests itself, this world can become an eternal paradise.\But that must never happen in this world,\because everyone must graduate from this place.\So someone held that philosophy...\But on rare occasions, someone who lived a fulfilling life for the sake of others will wander in due to amnesia. response:	That's when this kind of bug occurs.
context: If anyone finds love, they should disappear instantly.\But if it manifests itself, then what would happen?\If love manifests itself, this world can become an eternal paradise.\But that must never happen in this world,\because everyone must graduate from this place.\So someone held that philosophy...\But on rare occasions, someone who lived a fulfilling life for the sake of others will wander in due to amnesia.\That's when this kind of bug occurs. response:	And that was the creator of Angel Player.
context: But if it manifests itself, then what would happen?\If love manifests itself, this world can become an eternal paradise.\But that must never happen in this world,\because everyone must graduate from this place.\So someone held that philosophy...\But on rare occasions, someone who lived a fulfilling life for the sake of others will wander in due to amnesia.\That's when this kind of bug occurs.\And that was the creator of Angel Player. response:	How surprising.
context: If love manifests itself, this world can become an eternal paradise.\But that must never happen in this world,\because everyone must graduate from this place.\So someone held that philosophy...\But on rare occasions, someone who lived a fulfilling life for the sake of others will wander in due to amnesia.\That's when this kind of bug occurs.\And that was the creator of Angel Player.\How surprising. response:	You are precisely right.
context: But that must never happen in this world,\because everyone must graduate from this place.\So someone held that philosophy...\But on rare occasions, someone who lived a fulfilling life for the sake of others will wander in due to amnesia.\That's when this kind of bug occurs.\And that was the creator of Angel Player.\How surprising.\You are precisely right. response:	He saw the potential for this bug and patched it by turning the ones who experience it into NPCs with the shadows.
context: because everyone must graduate from this place.\So someone held that philosophy...\But on rare occasions, someone who lived a fulfilling life for the sake of others will wander in due to amnesia.\That's when this kind of bug occurs.\And that was the creator of Angel Player.\How surprising.\You are precisely right.\He saw the potential for this bug and patched it by turning the ones who experience it into NPCs with the shadows. response:	In other words, a reset.
context: So someone held that philosophy...\But on rare occasions, someone who lived a fulfilling life for the sake of others will wander in due to amnesia.\That's when this kind of bug occurs.\And that was the creator of Angel Player.\How surprising.\You are precisely right.\He saw the potential for this bug and patched it by turning the ones who experience it into NPCs with the shadows.\In other words, a reset. response:	Yes.
context: But on rare occasions, someone who lived a fulfilling life for the sake of others will wander in due to amnesia.\That's when this kind of bug occurs.\And that was the creator of Angel Player.\How surprising.\You are precisely right.\He saw the potential for this bug and patched it by turning the ones who experience it into NPCs with the shadows.\In other words, a reset.\Yes. response:	Then what? You mean there are others like us among the NPCs?
context: That's when this kind of bug occurs.\And that was the creator of Angel Player.\How surprising.\You are precisely right.\He saw the potential for this bug and patched it by turning the ones who experience it into NPCs with the shadows.\In other words, a reset.\Yes.\Then what? You mean there are others like us among the NPCs? response:	Yes, there is.
context: And that was the creator of Angel Player.\How surprising.\You are precisely right.\He saw the potential for this bug and patched it by turning the ones who experience it into NPCs with the shadows.\In other words, a reset.\Yes.\Then what? You mean there are others like us among the NPCs?\Yes, there is. response:	Just one.
context: How surprising.\You are precisely right.\He saw the potential for this bug and patched it by turning the ones who experience it into NPCs with the shadows.\In other words, a reset.\Yes.\Then what? You mean there are others like us among the NPCs?\Yes, there is.\Just one. response:	How pitiful.
context: You are precisely right.\He saw the potential for this bug and patched it by turning the ones who experience it into NPCs with the shadows.\In other words, a reset.\Yes.\Then what? You mean there are others like us among the NPCs?\Yes, there is.\Just one.\How pitiful. response:	It's the programmer.
context: He saw the potential for this bug and patched it by turning the ones who experience it into NPCs with the shadows.\In other words, a reset.\Yes.\Then what? You mean there are others like us among the NPCs?\Yes, there is.\Just one.\How pitiful.\It's the programmer. response:	He has been waiting.
context: In other words, a reset.\Yes.\Then what? You mean there are others like us among the NPCs?\Yes, there is.\Just one.\How pitiful.\It's the programmer.\He has been waiting. response:	He found love, and waits for her who left this world alone.
context: Yes.\Then what? You mean there are others like us among the NPCs?\Yes, there is.\Just one.\How pitiful.\It's the programmer.\He has been waiting.\He found love, and waits for her who left this world alone. response:	But there's no chance of them meeting again...
context: Then what? You mean there are others like us among the NPCs?\Yes, there is.\Just one.\How pitiful.\It's the programmer.\He has been waiting.\He found love, and waits for her who left this world alone.\But there's no chance of them meeting again... response:	The chances are astronomically small, but not zero.
context: Yes, there is.\Just one.\How pitiful.\It's the programmer.\He has been waiting.\He found love, and waits for her who left this world alone.\But there's no chance of them meeting again...\The chances are astronomically small, but not zero. response:	But the time he spent waiting for her was just too long.
context: Just one.\How pitiful.\It's the programmer.\He has been waiting.\He found love, and waits for her who left this world alone.\But there's no chance of them meeting again...\The chances are astronomically small, but not zero.\But the time he spent waiting for her was just too long. response:	He couldn't remain sane.
context: How pitiful.\It's the programmer.\He has been waiting.\He found love, and waits for her who left this world alone.\But there's no chance of them meeting again...\The chances are astronomically small, but not zero.\But the time he spent waiting for her was just too long.\He couldn't remain sane. response:	That's why he wrote a program to turn himself into an NPC.
context: It's the programmer.\He has been waiting.\He found love, and waits for her who left this world alone.\But there's no chance of them meeting again...\The chances are astronomically small, but not zero.\But the time he spent waiting for her was just too long.\He couldn't remain sane.\That's why he wrote a program to turn himself into an NPC. response:	Or maybe he did that first.
context: He has been waiting.\He found love, and waits for her who left this world alone.\But there's no chance of them meeting again...\The chances are astronomically small, but not zero.\But the time he spent waiting for her was just too long.\He couldn't remain sane.\That's why he wrote a program to turn himself into an NPC.\Or maybe he did that first. response:	And then he adapted it so that it wouldn't happen again.
context: He found love, and waits for her who left this world alone.\But there's no chance of them meeting again...\The chances are astronomically small, but not zero.\But the time he spent waiting for her was just too long.\He couldn't remain sane.\That's why he wrote a program to turn himself into an NPC.\Or maybe he did that first.\And then he adapted it so that it wouldn't happen again. response:	That is a possibility.
context: But there's no chance of them meeting again...\The chances are astronomically small, but not zero.\But the time he spent waiting for her was just too long.\He couldn't remain sane.\That's why he wrote a program to turn himself into an NPC.\Or maybe he did that first.\And then he adapted it so that it wouldn't happen again.\That is a possibility. response:	Will there ever be a day when his life is fulfilled?
context: The chances are astronomically small, but not zero.\But the time he spent waiting for her was just too long.\He couldn't remain sane.\That's why he wrote a program to turn himself into an NPC.\Or maybe he did that first.\And then he adapted it so that it wouldn't happen again.\That is a possibility.\Will there ever be a day when his life is fulfilled? response:	Who knows?
context: But the time he spent waiting for her was just too long.\He couldn't remain sane.\That's why he wrote a program to turn himself into an NPC.\Or maybe he did that first.\And then he adapted it so that it wouldn't happen again.\That is a possibility.\Will there ever be a day when his life is fulfilled?\Who knows? response:	I don't know what's right or wrong anymore.
context: He couldn't remain sane.\That's why he wrote a program to turn himself into an NPC.\Or maybe he did that first.\And then he adapted it so that it wouldn't happen again.\That is a possibility.\Will there ever be a day when his life is fulfilled?\Who knows?\I don't know what's right or wrong anymore. response:	I don't know what's right or wrong either.
context: That's why he wrote a program to turn himself into an NPC.\Or maybe he did that first.\And then he adapted it so that it wouldn't happen again.\That is a possibility.\Will there ever be a day when his life is fulfilled?\Who knows?\I don't know what's right or wrong anymore.\I don't know what's right or wrong either. response:	I only know that you have reached this place, and that you may be able to find that answer.
context: Or maybe he did that first.\And then he adapted it so that it wouldn't happen again.\That is a possibility.\Will there ever be a day when his life is fulfilled?\Who knows?\I don't know what's right or wrong anymore.\I don't know what's right or wrong either.\I only know that you have reached this place, and that you may be able to find that answer. response:	What do you mean?
context: And then he adapted it so that it wouldn't happen again.\That is a possibility.\Will there ever be a day when his life is fulfilled?\Who knows?\I don't know what's right or wrong anymore.\I don't know what's right or wrong either.\I only know that you have reached this place, and that you may be able to find that answer.\What do you mean? response:	You can change the world based on your will.
context: That is a possibility.\Will there ever be a day when his life is fulfilled?\Who knows?\I don't know what's right or wrong anymore.\I don't know what's right or wrong either.\I only know that you have reached this place, and that you may be able to find that answer.\What do you mean?\You can change the world based on your will. response:	What would I do after I change it?
context: Will there ever be a day when his life is fulfilled?\Who knows?\I don't know what's right or wrong anymore.\I don't know what's right or wrong either.\I only know that you have reached this place, and that you may be able to find that answer.\What do you mean?\You can change the world based on your will.\What would I do after I change it? response:	You can choose the path he didn't.
context: Who knows?\I don't know what's right or wrong anymore.\I don't know what's right or wrong either.\I only know that you have reached this place, and that you may be able to find that answer.\What do you mean?\You can change the world based on your will.\What would I do after I change it?\You can choose the path he didn't. response:	Are you saying I can be God?
context: I don't know what's right or wrong anymore.\I don't know what's right or wrong either.\I only know that you have reached this place, and that you may be able to find that answer.\What do you mean?\You can change the world based on your will.\What would I do after I change it?\You can choose the path he didn't.\Are you saying I can be God? response:	Basically, yes.
context: I don't know what's right or wrong either.\I only know that you have reached this place, and that you may be able to find that answer.\What do you mean?\You can change the world based on your will.\What would I do after I change it?\You can choose the path he didn't.\Are you saying I can be God?\Basically, yes. response:	And I can make this world an eternal paradise?
context: I only know that you have reached this place, and that you may be able to find that answer.\What do you mean?\You can change the world based on your will.\What would I do after I change it?\You can choose the path he didn't.\Are you saying I can be God?\Basically, yes.\And I can make this world an eternal paradise? response:	He rejected that, but I won't.
context: What do you mean?\You can change the world based on your will.\What would I do after I change it?\You can choose the path he didn't.\Are you saying I can be God?\Basically, yes.\And I can make this world an eternal paradise?\He rejected that, but I won't. response:	Well, I don't have the emotions to reject it.
context: You can change the world based on your will.\What would I do after I change it?\You can choose the path he didn't.\Are you saying I can be God?\Basically, yes.\And I can make this world an eternal paradise?\He rejected that, but I won't.\Well, I don't have the emotions to reject it. response:	God?
context: What would I do after I change it?\You can choose the path he didn't.\Are you saying I can be God?\Basically, yes.\And I can make this world an eternal paradise?\He rejected that, but I won't.\Well, I don't have the emotions to reject it.\God? response:	Me, this world's God?
context: You can choose the path he didn't.\Are you saying I can be God?\Basically, yes.\And I can make this world an eternal paradise?\He rejected that, but I won't.\Well, I don't have the emotions to reject it.\God?\Me, this world's God? response:	Is something wrong?
context: Are you saying I can be God?\Basically, yes.\And I can make this world an eternal paradise?\He rejected that, but I won't.\Well, I don't have the emotions to reject it.\God?\Me, this world's God?\Is something wrong? response:	This world is in my hands.
context: Basically, yes.\And I can make this world an eternal paradise?\He rejected that, but I won't.\Well, I don't have the emotions to reject it.\God?\Me, this world's God?\Is something wrong?\This world is in my hands. response:	I've done it...
context: And I can make this world an eternal paradise?\He rejected that, but I won't.\Well, I don't have the emotions to reject it.\God?\Me, this world's God?\Is something wrong?\This world is in my hands.\I've done it... response:	I've fought all this time for this.
context: He rejected that, but I won't.\Well, I don't have the emotions to reject it.\God?\Me, this world's God?\Is something wrong?\This world is in my hands.\I've done it...\I've fought all this time for this. response:	I could even defeat Angel.
context: Well, I don't have the emotions to reject it.\God?\Me, this world's God?\Is something wrong?\This world is in my hands.\I've done it...\I've fought all this time for this.\I could even defeat Angel. response:	With this system in my hands...
context: God?\Me, this world's God?\Is something wrong?\This world is in my hands.\I've done it...\I've fought all this time for this.\I could even defeat Angel.\With this system in my hands... response:	I'd be unstoppable.
context: Me, this world's God?\Is something wrong?\This world is in my hands.\I've done it...\I've fought all this time for this.\I could even defeat Angel.\With this system in my hands...\I'd be unstoppable. response:	There's no way I could do that.
context: Is something wrong?\This world is in my hands.\I've done it...\I've fought all this time for this.\I could even defeat Angel.\With this system in my hands...\I'd be unstoppable.\There's no way I could do that. response:	I can't do something like that to Kanade - chan.
context: This world is in my hands.\I've done it...\I've fought all this time for this.\I could even defeat Angel.\With this system in my hands...\I'd be unstoppable.\There's no way I could do that.\I can't do something like that to Kanade - chan. response:	Because... the reason I came this far...
context: I've done it...\I've fought all this time for this.\I could even defeat Angel.\With this system in my hands...\I'd be unstoppable.\There's no way I could do that.\I can't do something like that to Kanade - chan.\Because... the reason I came this far... response:	Oh?
context: I've fought all this time for this.\I could even defeat Angel.\With this system in my hands...\I'd be unstoppable.\There's no way I could do that.\I can't do something like that to Kanade - chan.\Because... the reason I came this far...\Oh? response:	I detect love.
context: I could even defeat Angel.\With this system in my hands...\I'd be unstoppable.\There's no way I could do that.\I can't do something like that to Kanade - chan.\Because... the reason I came this far...\Oh?\I detect love. response:	This is the first time I've sensed this much.
context: With this system in my hands...\I'd be unstoppable.\There's no way I could do that.\I can't do something like that to Kanade - chan.\Because... the reason I came this far...\Oh?\I detect love.\This is the first time I've sensed this much. response:	It's increasing at an alarming rate.
context: I'd be unstoppable.\There's no way I could do that.\I can't do something like that to Kanade - chan.\Because... the reason I came this far...\Oh?\I detect love.\This is the first time I've sensed this much.\It's increasing at an alarming rate. response:	What is it?
context: There's no way I could do that.\I can't do something like that to Kanade - chan.\Because... the reason I came this far...\Oh?\I detect love.\This is the first time I've sensed this much.\It's increasing at an alarming rate.\What is it? response:	I came all this way to protect everyone.
context: I can't do something like that to Kanade - chan.\Because... the reason I came this far...\Oh?\I detect love.\This is the first time I've sensed this much.\It's increasing at an alarming rate.\What is it?\I came all this way to protect everyone. response:	Oh, so you're the source.
context: Because... the reason I came this far...\Oh?\I detect love.\This is the first time I've sensed this much.\It's increasing at an alarming rate.\What is it?\I came all this way to protect everyone.\Oh, so you're the source. response:	So, what do you intend to do?
context: Oh?\I detect love.\This is the first time I've sensed this much.\It's increasing at an alarming rate.\What is it?\I came all this way to protect everyone.\Oh, so you're the source.\So, what do you intend to do? response:	Shut down all these machines.
context: I detect love.\This is the first time I've sensed this much.\It's increasing at an alarming rate.\What is it?\I came all this way to protect everyone.\Oh, so you're the source.\So, what do you intend to do?\Shut down all these machines. response:	Right now.
context: This is the first time I've sensed this much.\It's increasing at an alarming rate.\What is it?\I came all this way to protect everyone.\Oh, so you're the source.\So, what do you intend to do?\Shut down all these machines.\Right now. response:	Are you sure?
context: It's increasing at an alarming rate.\What is it?\I came all this way to protect everyone.\Oh, so you're the source.\So, what do you intend to do?\Shut down all these machines.\Right now.\Are you sure? response:	Have you thought this through?
context: What is it?\I came all this way to protect everyone.\Oh, so you're the source.\So, what do you intend to do?\Shut down all these machines.\Right now.\Are you sure?\Have you thought this through? response:	You still have time.
context: I came all this way to protect everyone.\Oh, so you're the source.\So, what do you intend to do?\Shut down all these machines.\Right now.\Are you sure?\Have you thought this through?\You still have time. response:	Quite literally, all the time in the world.
context: Oh, so you're the source.\So, what do you intend to do?\Shut down all these machines.\Right now.\Are you sure?\Have you thought this through?\You still have time.\Quite literally, all the time in the world. response:	Let me tell you something.
context: So, what do you intend to do?\Shut down all these machines.\Right now.\Are you sure?\Have you thought this through?\You still have time.\Quite literally, all the time in the world.\Let me tell you something. response:	Humans don't have the patience to wait even ten minutes for something!
context: Shut down all these machines.\Right now.\Are you sure?\Have you thought this through?\You still have time.\Quite literally, all the time in the world.\Let me tell you something.\Humans don't have the patience to wait even ten minutes for something! response:	And now...
context: Right now.\Are you sure?\Have you thought this through?\You still have time.\Quite literally, all the time in the world.\Let me tell you something.\Humans don't have the patience to wait even ten minutes for something!\And now... response:	it's over.
context: Are you sure?\Have you thought this through?\You still have time.\Quite literally, all the time in the world.\Let me tell you something.\Humans don't have the patience to wait even ten minutes for something!\And now...\it's over. response:	I'm sure I saved everyone.
context: Have you thought this through?\You still have time.\Quite literally, all the time in the world.\Let me tell you something.\Humans don't have the patience to wait even ten minutes for something!\And now...\it's over.\I'm sure I saved everyone. response:	Now they can leave this world in peace.
context: You still have time.\Quite literally, all the time in the world.\Let me tell you something.\Humans don't have the patience to wait even ten minutes for something!\And now...\it's over.\I'm sure I saved everyone.\Now they can leave this world in peace. response:	Either way, I'm a failure.
context: Quite literally, all the time in the world.\Let me tell you something.\Humans don't have the patience to wait even ten minutes for something!\And now...\it's over.\I'm sure I saved everyone.\Now they can leave this world in peace.\Either way, I'm a failure. response:	I ended up loving them just as much as I loved you.
context: Let me tell you something.\Humans don't have the patience to wait even ten minutes for something!\And now...\it's over.\I'm sure I saved everyone.\Now they can leave this world in peace.\Either way, I'm a failure.\I ended up loving them just as much as I loved you. response:	I wanted to be a sister that loved only you, so much that you could be proud.
context: Humans don't have the patience to wait even ten minutes for something!\And now...\it's over.\I'm sure I saved everyone.\Now they can leave this world in peace.\Either way, I'm a failure.\I ended up loving them just as much as I loved you.\I wanted to be a sister that loved only you, so much that you could be proud. response:	What's this feeling?
context: And now...\it's over.\I'm sure I saved everyone.\Now they can leave this world in peace.\Either way, I'm a failure.\I ended up loving them just as much as I loved you.\I wanted to be a sister that loved only you, so much that you could be proud.\What's this feeling? response:	What's happened?
context: it's over.\I'm sure I saved everyone.\Now they can leave this world in peace.\Either way, I'm a failure.\I ended up loving them just as much as I loved you.\I wanted to be a sister that loved only you, so much that you could be proud.\What's this feeling?\What's happened? response:	Everything that's kept me going is fading away...
context: I'm sure I saved everyone.\Now they can leave this world in peace.\Either way, I'm a failure.\I ended up loving them just as much as I loved you.\I wanted to be a sister that loved only you, so much that you could be proud.\What's this feeling?\What's happened?\Everything that's kept me going is fading away... response:	And if it all fades away, I'll disappear.
context: Now they can leave this world in peace.\Either way, I'm a failure.\I ended up loving them just as much as I loved you.\I wanted to be a sister that loved only you, so much that you could be proud.\What's this feeling?\What's happened?\Everything that's kept me going is fading away...\And if it all fades away, I'll disappear. response:	Even though life took you away so unreasonably...
context: Either way, I'm a failure.\I ended up loving them just as much as I loved you.\I wanted to be a sister that loved only you, so much that you could be proud.\What's this feeling?\What's happened?\Everything that's kept me going is fading away...\And if it all fades away, I'll disappear.\Even though life took you away so unreasonably... response:	But the time I've spent with everyone is just irreplaceable.
context: I ended up loving them just as much as I loved you.\I wanted to be a sister that loved only you, so much that you could be proud.\What's this feeling?\What's happened?\Everything that's kept me going is fading away...\And if it all fades away, I'll disappear.\Even though life took you away so unreasonably...\But the time I've spent with everyone is just irreplaceable. response:	And now...
context: I wanted to be a sister that loved only you, so much that you could be proud.\What's this feeling?\What's happened?\Everything that's kept me going is fading away...\And if it all fades away, I'll disappear.\Even though life took you away so unreasonably...\But the time I've spent with everyone is just irreplaceable.\And now... response:	I want to follow them...
context: What's this feeling?\What's happened?\Everything that's kept me going is fading away...\And if it all fades away, I'll disappear.\Even though life took you away so unreasonably...\But the time I've spent with everyone is just irreplaceable.\And now...\I want to follow them... response:	Thank you.
context: What's happened?\Everything that's kept me going is fading away...\And if it all fades away, I'll disappear.\Even though life took you away so unreasonably...\But the time I've spent with everyone is just irreplaceable.\And now...\I want to follow them...\Thank you. response:	You've done enough.
context: Everything that's kept me going is fading away...\And if it all fades away, I'll disappear.\Even though life took you away so unreasonably...\But the time I've spent with everyone is just irreplaceable.\And now...\I want to follow them...\Thank you.\You've done enough. response:	You don't have to suffer by yourself anymore.
context: And if it all fades away, I'll disappear.\Even though life took you away so unreasonably...\But the time I've spent with everyone is just irreplaceable.\And now...\I want to follow them...\Thank you.\You've done enough.\You don't have to suffer by yourself anymore. response:	Thank you for thinking about us for so long, Onee - chan!
context: Even though life took you away so unreasonably...\But the time I've spent with everyone is just irreplaceable.\And now...\I want to follow them...\Thank you.\You've done enough.\You don't have to suffer by yourself anymore.\Thank you for thinking about us for so long, Onee - chan! response:	< Preview >
context: But the time I've spent with everyone is just irreplaceable.\And now...\I want to follow them...\Thank you.\You've done enough.\You don't have to suffer by yourself anymore.\Thank you for thinking about us for so long, Onee - chan!\< Preview > response:	Being able to spend this time with you all...
context: And now...\I want to follow them...\Thank you.\You've done enough.\You don't have to suffer by yourself anymore.\Thank you for thinking about us for so long, Onee - chan!\< Preview >\Being able to spend this time with you all... response:	I'm truly blessed.
context: I want to follow them...\Thank you.\You've done enough.\You don't have to suffer by yourself anymore.\Thank you for thinking about us for so long, Onee - chan!\< Preview >\Being able to spend this time with you all...\I'm truly blessed. response:	Thank you so much.
context: Thank you.\You've done enough.\You don't have to suffer by yourself anymore.\Thank you for thinking about us for so long, Onee - chan!\< Preview >\Being able to spend this time with you all...\I'm truly blessed.\Thank you so much. response:	Representative of the graduating class, Otonashi Yuzuru!
