context: Join forces? response:	Don't worry, everyone. Everything's fine.
context: Don't worry. I've taken care of it.\Say, I wonder why they pretended not to know?\They knew the location and how to break the tracking devices.\How did they find out in the first place?\Rather, how will they break it?\Will they use a special tool?\Could they have made such a thing?\Then would that happen to be the reliable evidence I need? response:	Is that why they were scared and lied?
context: Say, I wonder why they pretended not to know?\They knew the location and how to break the tracking devices.\How did they find out in the first place?\Rather, how will they break it?\Will they use a special tool?\Could they have made such a thing?\Then would that happen to be the reliable evidence I need?\Is that why they were scared and lied? response:	If so, then it's time for a search.
context: They knew the location and how to break the tracking devices.\How did they find out in the first place?\Rather, how will they break it?\Will they use a special tool?\Could they have made such a thing?\Then would that happen to be the reliable evidence I need?\Is that why they were scared and lied?\If so, then it's time for a search. response:	Can you put out the plates?
context: How did they find out in the first place?\Rather, how will they break it?\Will they use a special tool?\Could they have made such a thing?\Then would that happen to be the reliable evidence I need?\Is that why they were scared and lied?\If so, then it's time for a search.\Can you put out the plates? response:	- I'm so hungry. - Thanks!
context: Rather, how will they break it?\Will they use a special tool?\Could they have made such a thing?\Then would that happen to be the reliable evidence I need?\Is that why they were scared and lied?\If so, then it's time for a search.\Can you put out the plates?\- I'm so hungry. - Thanks! response:	Now's my chance!
context: Will they use a special tool?\Could they have made such a thing?\Then would that happen to be the reliable evidence I need?\Is that why they were scared and lied?\If so, then it's time for a search.\Can you put out the plates?\- I'm so hungry. - Thanks!\Now's my chance! response:	What are you doing?
context: Could they have made such a thing?\Then would that happen to be the reliable evidence I need?\Is that why they were scared and lied?\If so, then it's time for a search.\Can you put out the plates?\- I'm so hungry. - Thanks!\Now's my chance!\What are you doing? response:	I'm cleaning the floors.
context: Then would that happen to be the reliable evidence I need?\Is that why they were scared and lied?\If so, then it's time for a search.\Can you put out the plates?\- I'm so hungry. - Thanks!\Now's my chance!\What are you doing?\I'm cleaning the floors. response:	- Did you get the forks? - Can you help me here, too?
context: Is that why they were scared and lied?\If so, then it's time for a search.\Can you put out the plates?\- I'm so hungry. - Thanks!\Now's my chance!\What are you doing?\I'm cleaning the floors.\- Did you get the forks? - Can you help me here, too? response:	Okay.
context: If so, then it's time for a search.\Can you put out the plates?\- I'm so hungry. - Thanks!\Now's my chance!\What are you doing?\I'm cleaning the floors.\- Did you get the forks? - Can you help me here, too?\Okay. response:	Found it.
context: Can you put out the plates?\- I'm so hungry. - Thanks!\Now's my chance!\What are you doing?\I'm cleaning the floors.\- Did you get the forks? - Can you help me here, too?\Okay.\Found it. response:	It's true. This really is the truth.
context: - I'm so hungry. - Thanks!\Now's my chance!\What are you doing?\I'm cleaning the floors.\- Did you get the forks? - Can you help me here, too?\Okay.\Found it.\It's true. This really is the truth. response:	I got it unexpectedly!
context: Now's my chance!\What are you doing?\I'm cleaning the floors.\- Did you get the forks? - Can you help me here, too?\Okay.\Found it.\It's true. This really is the truth.\I got it unexpectedly! response:	Isabella's second weakness!
context: What are you doing?\I'm cleaning the floors.\- Did you get the forks? - Can you help me here, too?\Okay.\Found it.\It's true. This really is the truth.\I got it unexpectedly!\Isabella's second weakness! response:	So how should I go about this?
context: I'm cleaning the floors.\- Did you get the forks? - Can you help me here, too?\Okay.\Found it.\It's true. This really is the truth.\I got it unexpectedly!\Isabella's second weakness!\So how should I go about this? response:	If I show this note and appeal to Grandma,
context: - Did you get the forks? - Can you help me here, too?\Okay.\Found it.\It's true. This really is the truth.\I got it unexpectedly!\Isabella's second weakness!\So how should I go about this?\If I show this note and appeal to Grandma, response:	I wonder if I can oust Isabella and obtain the Mom's position?
context: Okay.\Found it.\It's true. This really is the truth.\I got it unexpectedly!\Isabella's second weakness!\So how should I go about this?\If I show this note and appeal to Grandma,\I wonder if I can oust Isabella and obtain the Mom's position? response:	Then I can ship out the brats unconditionally, too.
context: Found it.\It's true. This really is the truth.\I got it unexpectedly!\Isabella's second weakness!\So how should I go about this?\If I show this note and appeal to Grandma,\I wonder if I can oust Isabella and obtain the Mom's position?\Then I can ship out the brats unconditionally, too. response:	But how... how does Ray know about this?
context: It's true. This really is the truth.\I got it unexpectedly!\Isabella's second weakness!\So how should I go about this?\If I show this note and appeal to Grandma,\I wonder if I can oust Isabella and obtain the Mom's position?\Then I can ship out the brats unconditionally, too.\But how... how does Ray know about this? response:	Even Isabella shouldn't know about this in the first place.
context: I got it unexpectedly!\Isabella's second weakness!\So how should I go about this?\If I show this note and appeal to Grandma,\I wonder if I can oust Isabella and obtain the Mom's position?\Then I can ship out the brats unconditionally, too.\But how... how does Ray know about this?\Even Isabella shouldn't know about this in the first place. response:	It's from the headquarters. You should open it.
context: Isabella's second weakness!\So how should I go about this?\If I show this note and appeal to Grandma,\I wonder if I can oust Isabella and obtain the Mom's position?\Then I can ship out the brats unconditionally, too.\But how... how does Ray know about this?\Even Isabella shouldn't know about this in the first place.\It's from the headquarters. You should open it. response:	It's unfortunate, but that's how it is.
context: So how should I go about this?\If I show this note and appeal to Grandma,\I wonder if I can oust Isabella and obtain the Mom's position?\Then I can ship out the brats unconditionally, too.\But how... how does Ray know about this?\Even Isabella shouldn't know about this in the first place.\It's from the headquarters. You should open it.\It's unfortunate, but that's how it is. response:	Goodbye.
