context: Sarah and Lola competed in a receptionist battle. response:	I wanted my receptionist, Lola, to win, so I went looking for rare items,
context: All right. Let the count... begin!\The chips were placed one by one,\and the other adventurers around me tapped out one after another.\And then...\Only two remain. It all comes down to Sarah and Lola.\I knew it'd be these two!\You've both got this!\Has Lola run out of points? response:	So Sarah wins?
context: The chips were placed one by one,\and the other adventurers around me tapped out one after another.\And then...\Only two remain. It all comes down to Sarah and Lola.\I knew it'd be these two!\You've both got this!\Has Lola run out of points?\So Sarah wins? response:	The winner is Lola! Lola is the queen of the receptionists!
context: and the other adventurers around me tapped out one after another.\And then...\Only two remain. It all comes down to Sarah and Lola.\I knew it'd be these two!\You've both got this!\Has Lola run out of points?\So Sarah wins?\The winner is Lola! Lola is the queen of the receptionists! response:	No way... R-Really?
context: And then...\Only two remain. It all comes down to Sarah and Lola.\I knew it'd be these two!\You've both got this!\Has Lola run out of points?\So Sarah wins?\The winner is Lola! Lola is the queen of the receptionists!\No way... R-Really? response:	She cheated! She totally cheated!
context: Only two remain. It all comes down to Sarah and Lola.\I knew it'd be these two!\You've both got this!\Has Lola run out of points?\So Sarah wins?\The winner is Lola! Lola is the queen of the receptionists!\No way... R-Really?\She cheated! She totally cheated! response:	That's the only way she could've won!
context: I knew it'd be these two!\You've both got this!\Has Lola run out of points?\So Sarah wins?\The winner is Lola! Lola is the queen of the receptionists!\No way... R-Really?\She cheated! She totally cheated!\That's the only way she could've won! response:	Do you have any proof?
context: You've both got this!\Has Lola run out of points?\So Sarah wins?\The winner is Lola! Lola is the queen of the receptionists!\No way... R-Really?\She cheated! She totally cheated!\That's the only way she could've won!\Do you have any proof? response:	P-Proof?
context: Has Lola run out of points?\So Sarah wins?\The winner is Lola! Lola is the queen of the receptionists!\No way... R-Really?\She cheated! She totally cheated!\That's the only way she could've won!\Do you have any proof?\P-Proof? response:	No?
context: So Sarah wins?\The winner is Lola! Lola is the queen of the receptionists!\No way... R-Really?\She cheated! She totally cheated!\That's the only way she could've won!\Do you have any proof?\P-Proof?\No? response:	W-Well...
context: The winner is Lola! Lola is the queen of the receptionists!\No way... R-Really?\She cheated! She totally cheated!\That's the only way she could've won!\Do you have any proof?\P-Proof?\No?\W-Well... response:	I guess not. Unbelievable.
context: No way... R-Really?\She cheated! She totally cheated!\That's the only way she could've won!\Do you have any proof?\P-Proof?\No?\W-Well...\I guess not. Unbelievable. response:	You can't say I cheated if you don't have any proof.
context: She cheated! She totally cheated!\That's the only way she could've won!\Do you have any proof?\P-Proof?\No?\W-Well...\I guess not. Unbelievable.\You can't say I cheated if you don't have any proof. response:	Anyway, I won, so don't ever steal anyone else's adventurers again.
context: That's the only way she could've won!\Do you have any proof?\P-Proof?\No?\W-Well...\I guess not. Unbelievable.\You can't say I cheated if you don't have any proof.\Anyway, I won, so don't ever steal anyone else's adventurers again. response:	Especially not Noir.
context: Do you have any proof?\P-Proof?\No?\W-Well...\I guess not. Unbelievable.\You can't say I cheated if you don't have any proof.\Anyway, I won, so don't ever steal anyone else's adventurers again.\Especially not Noir. response:	I can't believe this broke my streak...
context: P-Proof?\No?\W-Well...\I guess not. Unbelievable.\You can't say I cheated if you don't have any proof.\Anyway, I won, so don't ever steal anyone else's adventurers again.\Especially not Noir.\I can't believe this broke my streak... response:	D-Don't be so sad!
context: No?\W-Well...\I guess not. Unbelievable.\You can't say I cheated if you don't have any proof.\Anyway, I won, so don't ever steal anyone else's adventurers again.\Especially not Noir.\I can't believe this broke my streak...\D-Don't be so sad! response:	Coming in second is great, too!
context: W-Well...\I guess not. Unbelievable.\You can't say I cheated if you don't have any proof.\Anyway, I won, so don't ever steal anyone else's adventurers again.\Especially not Noir.\I can't believe this broke my streak...\D-Don't be so sad!\Coming in second is great, too! response:	Oh, you're the only one who understands me, Noir!
context: I guess not. Unbelievable.\You can't say I cheated if you don't have any proof.\Anyway, I won, so don't ever steal anyone else's adventurers again.\Especially not Noir.\I can't believe this broke my streak...\D-Don't be so sad!\Coming in second is great, too!\Oh, you're the only one who understands me, Noir! response:	Th-This is...
context: You can't say I cheated if you don't have any proof.\Anyway, I won, so don't ever steal anyone else's adventurers again.\Especially not Noir.\I can't believe this broke my streak...\D-Don't be so sad!\Coming in second is great, too!\Oh, you're the only one who understands me, Noir!\Th-This is... response:	how to get to Sarah's house?
context: Anyway, I won, so don't ever steal anyone else's adventurers again.\Especially not Noir.\I can't believe this broke my streak...\D-Don't be so sad!\Coming in second is great, too!\Oh, you're the only one who understands me, Noir!\Th-This is...\how to get to Sarah's house? response:	Why, you little...
context: Especially not Noir.\I can't believe this broke my streak...\D-Don't be so sad!\Coming in second is great, too!\Oh, you're the only one who understands me, Noir!\Th-This is...\how to get to Sarah's house?\Why, you little... response:	Yikes! A demon receptionist!
context: I can't believe this broke my streak...\D-Don't be so sad!\Coming in second is great, too!\Oh, you're the only one who understands me, Noir!\Th-This is...\how to get to Sarah's house?\Why, you little...\Yikes! A demon receptionist! response:	Who're you callin' a demon?!
context: D-Don't be so sad!\Coming in second is great, too!\Oh, you're the only one who understands me, Noir!\Th-This is...\how to get to Sarah's house?\Why, you little...\Yikes! A demon receptionist!\Who're you callin' a demon?! response:	Eek! How frightening!
context: Coming in second is great, too!\Oh, you're the only one who understands me, Noir!\Th-This is...\how to get to Sarah's house?\Why, you little...\Yikes! A demon receptionist!\Who're you callin' a demon?!\Eek! How frightening! response:	Ugh! That's enough!
context: Oh, you're the only one who understands me, Noir!\Th-This is...\how to get to Sarah's house?\Why, you little...\Yikes! A demon receptionist!\Who're you callin' a demon?!\Eek! How frightening!\Ugh! That's enough! response:	Well, anyway, everything's peaceful again at Odin.
context: Th-This is...\how to get to Sarah's house?\Why, you little...\Yikes! A demon receptionist!\Who're you callin' a demon?!\Eek! How frightening!\Ugh! That's enough!\Well, anyway, everything's peaceful again at Odin. response:	Save me, Noir!
context: how to get to Sarah's house?\Why, you little...\Yikes! A demon receptionist!\Who're you callin' a demon?!\Eek! How frightening!\Ugh! That's enough!\Well, anyway, everything's peaceful again at Odin.\Save me, Noir! response:	Alice Theater
context: Why, you little...\Yikes! A demon receptionist!\Who're you callin' a demon?!\Eek! How frightening!\Ugh! That's enough!\Well, anyway, everything's peaceful again at Odin.\Save me, Noir!\Alice Theater response:	Alice Theater
context: Yikes! A demon receptionist!\Who're you callin' a demon?!\Eek! How frightening!\Ugh! That's enough!\Well, anyway, everything's peaceful again at Odin.\Save me, Noir!\Alice Theater\Alice Theater response:	Alice Theater
context: Who're you callin' a demon?!\Eek! How frightening!\Ugh! That's enough!\Well, anyway, everything's peaceful again at Odin.\Save me, Noir!\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Eek! How frightening!\Ugh! That's enough!\Well, anyway, everything's peaceful again at Odin.\Save me, Noir!\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Ugh! That's enough!\Well, anyway, everything's peaceful again at Odin.\Save me, Noir!\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Well, anyway, everything's peaceful again at Odin.\Save me, Noir!\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Save me, Noir!\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater.
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater. response:	Say, Alice...
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater.\Say, Alice... response:	The thing is, I want you to... step on me.
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater.\Say, Alice...\The thing is, I want you to... step on me. response:	Step on you?
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater.\Say, Alice...\The thing is, I want you to... step on me.\Step on you? response:	There are some people who are into that kind of thing...
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater.\Say, Alice...\The thing is, I want you to... step on me.\Step on you?\There are some people who are into that kind of thing... response:	And my LP did shoot up with Ms. Elna sitting on me, too...
context: Alice Theater\Alice Theater\Alice Theater.\Say, Alice...\The thing is, I want you to... step on me.\Step on you?\There are some people who are into that kind of thing...\And my LP did shoot up with Ms. Elna sitting on me, too... response:	Excuse me, then.
context: Alice Theater\Alice Theater.\Say, Alice...\The thing is, I want you to... step on me.\Step on you?\There are some people who are into that kind of thing...\And my LP did shoot up with Ms. Elna sitting on me, too...\Excuse me, then. response:	I-Insult me, too.
context: Alice Theater.\Say, Alice...\The thing is, I want you to... step on me.\Step on you?\There are some people who are into that kind of thing...\And my LP did shoot up with Ms. Elna sitting on me, too...\Excuse me, then.\I-Insult me, too. response:	B-But...
context: Say, Alice...\The thing is, I want you to... step on me.\Step on you?\There are some people who are into that kind of thing...\And my LP did shoot up with Ms. Elna sitting on me, too...\Excuse me, then.\I-Insult me, too.\B-But... response:	You can do it! I believe in you, Alice!
context: The thing is, I want you to... step on me.\Step on you?\There are some people who are into that kind of thing...\And my LP did shoot up with Ms. Elna sitting on me, too...\Excuse me, then.\I-Insult me, too.\B-But...\You can do it! I believe in you, Alice! response:	Aren't you embarrassed, making your little sister do this?
context: Step on you?\There are some people who are into that kind of thing...\And my LP did shoot up with Ms. Elna sitting on me, too...\Excuse me, then.\I-Insult me, too.\B-But...\You can do it! I believe in you, Alice!\Aren't you embarrassed, making your little sister do this? response:	This is our little secret.
context: There are some people who are into that kind of thing...\And my LP did shoot up with Ms. Elna sitting on me, too...\Excuse me, then.\I-Insult me, too.\B-But...\You can do it! I believe in you, Alice!\Aren't you embarrassed, making your little sister do this?\This is our little secret. response:	You can't tell anyone, understand?
context: And my LP did shoot up with Ms. Elna sitting on me, too...\Excuse me, then.\I-Insult me, too.\B-But...\You can do it! I believe in you, Alice!\Aren't you embarrassed, making your little sister do this?\This is our little secret.\You can't tell anyone, understand? response:	Next time, To the Gala.
context: Excuse me, then.\I-Insult me, too.\B-But...\You can do it! I believe in you, Alice!\Aren't you embarrassed, making your little sister do this?\This is our little secret.\You can't tell anyone, understand?\Next time, To the Gala. response:	Illustration: Kiseri Matsumiya
