context: How do you like the pleasure of being enveloped by Junketsu? response:	I had no idea...
context: REVOCS now controls 100 of the world garment market.\This means that every human being on the planet\is wearing our clothing in one form or another.\Congratulations, ladies and gentlemen, Life Fibers have now spread to all humanity.\And now, I ask you to perform one last task for me.\After it arrived on Earth and gave us clothing,\the Original Life Fiber, the cause of human evolution,\has remained asleep until the human race response:	reached a suitable level of evolution.
context: This means that every human being on the planet\is wearing our clothing in one form or another.\Congratulations, ladies and gentlemen, Life Fibers have now spread to all humanity.\And now, I ask you to perform one last task for me.\After it arrived on Earth and gave us clothing,\the Original Life Fiber, the cause of human evolution,\has remained asleep until the human race\reached a suitable level of evolution. response:	Keeping it safe has been the duty of the Kiryuin clan.
context: is wearing our clothing in one form or another.\Congratulations, ladies and gentlemen, Life Fibers have now spread to all humanity.\And now, I ask you to perform one last task for me.\After it arrived on Earth and gave us clothing,\the Original Life Fiber, the cause of human evolution,\has remained asleep until the human race\reached a suitable level of evolution.\Keeping it safe has been the duty of the Kiryuin clan. response:	Only one family head may bear witness to its awakening.
context: Congratulations, ladies and gentlemen, Life Fibers have now spread to all humanity.\And now, I ask you to perform one last task for me.\After it arrived on Earth and gave us clothing,\the Original Life Fiber, the cause of human evolution,\has remained asleep until the human race\reached a suitable level of evolution.\Keeping it safe has been the duty of the Kiryuin clan.\Only one family head may bear witness to its awakening. response:	I am grateful to time for allowing that family head to be me.
context: And now, I ask you to perform one last task for me.\After it arrived on Earth and gave us clothing,\the Original Life Fiber, the cause of human evolution,\has remained asleep until the human race\reached a suitable level of evolution.\Keeping it safe has been the duty of the Kiryuin clan.\Only one family head may bear witness to its awakening.\I am grateful to time for allowing that family head to be me. response:	Because I will be able to witness the amazing event
context: After it arrived on Earth and gave us clothing,\the Original Life Fiber, the cause of human evolution,\has remained asleep until the human race\reached a suitable level of evolution.\Keeping it safe has been the duty of the Kiryuin clan.\Only one family head may bear witness to its awakening.\I am grateful to time for allowing that family head to be me.\Because I will be able to witness the amazing event response:	that is about to transpire with my own two eyes!
context: the Original Life Fiber, the cause of human evolution,\has remained asleep until the human race\reached a suitable level of evolution.\Keeping it safe has been the duty of the Kiryuin clan.\Only one family head may bear witness to its awakening.\I am grateful to time for allowing that family head to be me.\Because I will be able to witness the amazing event\that is about to transpire with my own two eyes! response:	What is that?
context: has remained asleep until the human race\reached a suitable level of evolution.\Keeping it safe has been the duty of the Kiryuin clan.\Only one family head may bear witness to its awakening.\I am grateful to time for allowing that family head to be me.\Because I will be able to witness the amazing event\that is about to transpire with my own two eyes!\What is that? response:	The beginning of the Cocoon Sphere Birth that
context: reached a suitable level of evolution.\Keeping it safe has been the duty of the Kiryuin clan.\Only one family head may bear witness to its awakening.\I am grateful to time for allowing that family head to be me.\Because I will be able to witness the amazing event\that is about to transpire with my own two eyes!\What is that?\The beginning of the Cocoon Sphere Birth that response:	will soon make this world the Life Fibers'!
context: Keeping it safe has been the duty of the Kiryuin clan.\Only one family head may bear witness to its awakening.\I am grateful to time for allowing that family head to be me.\Because I will be able to witness the amazing event\that is about to transpire with my own two eyes!\What is that?\The beginning of the Cocoon Sphere Birth that\will soon make this world the Life Fibers'! response:	COCOON SPHERE NATIVITY
context: Only one family head may bear witness to its awakening.\I am grateful to time for allowing that family head to be me.\Because I will be able to witness the amazing event\that is about to transpire with my own two eyes!\What is that?\The beginning of the Cocoon Sphere Birth that\will soon make this world the Life Fibers'!\COCOON SPHERE NATIVITY response:	Congratulations.
context: I am grateful to time for allowing that family head to be me.\Because I will be able to witness the amazing event\that is about to transpire with my own two eyes!\What is that?\The beginning of the Cocoon Sphere Birth that\will soon make this world the Life Fibers'!\COCOON SPHERE NATIVITY\Congratulations. response:	Kuroido, do you and the others also wish to take part?
context: Because I will be able to witness the amazing event\that is about to transpire with my own two eyes!\What is that?\The beginning of the Cocoon Sphere Birth that\will soon make this world the Life Fibers'!\COCOON SPHERE NATIVITY\Congratulations.\Kuroido, do you and the others also wish to take part? response:	May we?
context: that is about to transpire with my own two eyes!\What is that?\The beginning of the Cocoon Sphere Birth that\will soon make this world the Life Fibers'!\COCOON SPHERE NATIVITY\Congratulations.\Kuroido, do you and the others also wish to take part?\May we? response:	Yes.
context: What is that?\The beginning of the Cocoon Sphere Birth that\will soon make this world the Life Fibers'!\COCOON SPHERE NATIVITY\Congratulations.\Kuroido, do you and the others also wish to take part?\May we?\Yes. response:	Thank you!
context: The beginning of the Cocoon Sphere Birth that\will soon make this world the Life Fibers'!\COCOON SPHERE NATIVITY\Congratulations.\Kuroido, do you and the others also wish to take part?\May we?\Yes.\Thank you! response:	Magnificent! It feels so wonderful!
context: will soon make this world the Life Fibers'!\COCOON SPHERE NATIVITY\Congratulations.\Kuroido, do you and the others also wish to take part?\May we?\Yes.\Thank you!\Magnificent! It feels so wonderful! response:	Lady Ragyo!
context: COCOON SPHERE NATIVITY\Congratulations.\Kuroido, do you and the others also wish to take part?\May we?\Yes.\Thank you!\Magnificent! It feels so wonderful!\Lady Ragyo! response:	Now, let us be off. To where it will all begin.
context: Congratulations.\Kuroido, do you and the others also wish to take part?\May we?\Yes.\Thank you!\Magnificent! It feels so wonderful!\Lady Ragyo!\Now, let us be off. To where it will all begin. response:	Chew on this!
context: Kuroido, do you and the others also wish to take part?\May we?\Yes.\Thank you!\Magnificent! It feels so wonderful!\Lady Ragyo!\Now, let us be off. To where it will all begin.\Chew on this! response:	Senketsu!
context: May we?\Yes.\Thank you!\Magnificent! It feels so wonderful!\Lady Ragyo!\Now, let us be off. To where it will all begin.\Chew on this!\Senketsu! response:	You're dead!
context: Yes.\Thank you!\Magnificent! It feels so wonderful!\Lady Ragyo!\Now, let us be off. To where it will all begin.\Chew on this!\Senketsu!\You're dead! response:	Don't!
context: Thank you!\Magnificent! It feels so wonderful!\Lady Ragyo!\Now, let us be off. To where it will all begin.\Chew on this!\Senketsu!\You're dead!\Don't! response:	I understand why you're angry, Ryuko!
context: Magnificent! It feels so wonderful!\Lady Ragyo!\Now, let us be off. To where it will all begin.\Chew on this!\Senketsu!\You're dead!\Don't!\I understand why you're angry, Ryuko! response:	I mean, if you can't take that outfit off,
context: Lady Ragyo!\Now, let us be off. To where it will all begin.\Chew on this!\Senketsu!\You're dead!\Don't!\I understand why you're angry, Ryuko!\I mean, if you can't take that outfit off, response:	you can't take a bath or wash yourself,
context: Now, let us be off. To where it will all begin.\Chew on this!\Senketsu!\You're dead!\Don't!\I understand why you're angry, Ryuko!\I mean, if you can't take that outfit off,\you can't take a bath or wash yourself, response:	and you can't get dressed up for a date!
context: Chew on this!\Senketsu!\You're dead!\Don't!\I understand why you're angry, Ryuko!\I mean, if you can't take that outfit off,\you can't take a bath or wash yourself,\and you can't get dressed up for a date! response:	But even so, that doesn't mean it's okay to go on a rampage like this!
context: Senketsu!\You're dead!\Don't!\I understand why you're angry, Ryuko!\I mean, if you can't take that outfit off,\you can't take a bath or wash yourself,\and you can't get dressed up for a date!\But even so, that doesn't mean it's okay to go on a rampage like this! response:	What are you talking about?
context: You're dead!\Don't!\I understand why you're angry, Ryuko!\I mean, if you can't take that outfit off,\you can't take a bath or wash yourself,\and you can't get dressed up for a date!\But even so, that doesn't mean it's okay to go on a rampage like this!\What are you talking about? response:	Mankanshoku, run! This isn't the Matoi you used to know!
context: Don't!\I understand why you're angry, Ryuko!\I mean, if you can't take that outfit off,\you can't take a bath or wash yourself,\and you can't get dressed up for a date!\But even so, that doesn't mean it's okay to go on a rampage like this!\What are you talking about?\Mankanshoku, run! This isn't the Matoi you used to know! response:	Ryuko is always Ryuko!
context: I understand why you're angry, Ryuko!\I mean, if you can't take that outfit off,\you can't take a bath or wash yourself,\and you can't get dressed up for a date!\But even so, that doesn't mean it's okay to go on a rampage like this!\What are you talking about?\Mankanshoku, run! This isn't the Matoi you used to know!\Ryuko is always Ryuko! response:	Even if you've got Life Fibers inside you,
context: I mean, if you can't take that outfit off,\you can't take a bath or wash yourself,\and you can't get dressed up for a date!\But even so, that doesn't mean it's okay to go on a rampage like this!\What are you talking about?\Mankanshoku, run! This isn't the Matoi you used to know!\Ryuko is always Ryuko!\Even if you've got Life Fibers inside you, response:	even if you're mad that you're not human, you're still Ryuko!
context: you can't take a bath or wash yourself,\and you can't get dressed up for a date!\But even so, that doesn't mean it's okay to go on a rampage like this!\What are you talking about?\Mankanshoku, run! This isn't the Matoi you used to know!\Ryuko is always Ryuko!\Even if you've got Life Fibers inside you,\even if you're mad that you're not human, you're still Ryuko! response:	And Senketsu is your Sunday best, same as always!
context: and you can't get dressed up for a date!\But even so, that doesn't mean it's okay to go on a rampage like this!\What are you talking about?\Mankanshoku, run! This isn't the Matoi you used to know!\Ryuko is always Ryuko!\Even if you've got Life Fibers inside you,\even if you're mad that you're not human, you're still Ryuko!\And Senketsu is your Sunday best, same as always! response:	That girl is such a pest.
context: But even so, that doesn't mean it's okay to go on a rampage like this!\What are you talking about?\Mankanshoku, run! This isn't the Matoi you used to know!\Ryuko is always Ryuko!\Even if you've got Life Fibers inside you,\even if you're mad that you're not human, you're still Ryuko!\And Senketsu is your Sunday best, same as always!\That girl is such a pest. response:	Mako?
context: What are you talking about?\Mankanshoku, run! This isn't the Matoi you used to know!\Ryuko is always Ryuko!\Even if you've got Life Fibers inside you,\even if you're mad that you're not human, you're still Ryuko!\And Senketsu is your Sunday best, same as always!\That girl is such a pest.\Mako? response:	MAKO!
context: Mankanshoku, run! This isn't the Matoi you used to know!\Ryuko is always Ryuko!\Even if you've got Life Fibers inside you,\even if you're mad that you're not human, you're still Ryuko!\And Senketsu is your Sunday best, same as always!\That girl is such a pest.\Mako?\MAKO! response:	Would you look at that!
context: Ryuko is always Ryuko!\Even if you've got Life Fibers inside you,\even if you're mad that you're not human, you're still Ryuko!\And Senketsu is your Sunday best, same as always!\That girl is such a pest.\Mako?\MAKO!\Would you look at that! response:	I am taking your blood.
context: Even if you've got Life Fibers inside you,\even if you're mad that you're not human, you're still Ryuko!\And Senketsu is your Sunday best, same as always!\That girl is such a pest.\Mako?\MAKO!\Would you look at that!\I am taking your blood. response:	Just don't pass out from blood loss, all right?
context: even if you're mad that you're not human, you're still Ryuko!\And Senketsu is your Sunday best, same as always!\That girl is such a pest.\Mako?\MAKO!\Would you look at that!\I am taking your blood.\Just don't pass out from blood loss, all right? response:	I hate girls who try too hard by wearing clothes that just don't suit them.
context: And Senketsu is your Sunday best, same as always!\That girl is such a pest.\Mako?\MAKO!\Would you look at that!\I am taking your blood.\Just don't pass out from blood loss, all right?\I hate girls who try too hard by wearing clothes that just don't suit them. response:	It's so pathetic it makes my skin crawl!
context: That girl is such a pest.\Mako?\MAKO!\Would you look at that!\I am taking your blood.\Just don't pass out from blood loss, all right?\I hate girls who try too hard by wearing clothes that just don't suit them.\It's so pathetic it makes my skin crawl! response:	I told you, that won't work!
context: Mako?\MAKO!\Would you look at that!\I am taking your blood.\Just don't pass out from blood loss, all right?\I hate girls who try too hard by wearing clothes that just don't suit them.\It's so pathetic it makes my skin crawl!\I told you, that won't work! response:	Haven't you figured it out yet?
context: MAKO!\Would you look at that!\I am taking your blood.\Just don't pass out from blood loss, all right?\I hate girls who try too hard by wearing clothes that just don't suit them.\It's so pathetic it makes my skin crawl!\I told you, that won't work!\Haven't you figured it out yet? response:	No ordinary human can beat me!
context: Would you look at that!\I am taking your blood.\Just don't pass out from blood loss, all right?\I hate girls who try too hard by wearing clothes that just don't suit them.\It's so pathetic it makes my skin crawl!\I told you, that won't work!\Haven't you figured it out yet?\No ordinary human can beat me! response:	Perhaps, but the blade of my heart isn't broken just yet!
context: I am taking your blood.\Just don't pass out from blood loss, all right?\I hate girls who try too hard by wearing clothes that just don't suit them.\It's so pathetic it makes my skin crawl!\I told you, that won't work!\Haven't you figured it out yet?\No ordinary human can beat me!\Perhaps, but the blade of my heart isn't broken just yet! response:	Oh, brother... you're so stubborn!
context: Just don't pass out from blood loss, all right?\I hate girls who try too hard by wearing clothes that just don't suit them.\It's so pathetic it makes my skin crawl!\I told you, that won't work!\Haven't you figured it out yet?\No ordinary human can beat me!\Perhaps, but the blade of my heart isn't broken just yet!\Oh, brother... you're so stubborn! response:	I'm telling you, Ryuko belongs to Lady Ragyo.
context: I hate girls who try too hard by wearing clothes that just don't suit them.\It's so pathetic it makes my skin crawl!\I told you, that won't work!\Haven't you figured it out yet?\No ordinary human can beat me!\Perhaps, but the blade of my heart isn't broken just yet!\Oh, brother... you're so stubborn!\I'm telling you, Ryuko belongs to Lady Ragyo. response:	We'll see about that!
context: It's so pathetic it makes my skin crawl!\I told you, that won't work!\Haven't you figured it out yet?\No ordinary human can beat me!\Perhaps, but the blade of my heart isn't broken just yet!\Oh, brother... you're so stubborn!\I'm telling you, Ryuko belongs to Lady Ragyo.\We'll see about that! response:	Are you trying to appeal to her feelings, too?
context: I told you, that won't work!\Haven't you figured it out yet?\No ordinary human can beat me!\Perhaps, but the blade of my heart isn't broken just yet!\Oh, brother... you're so stubborn!\I'm telling you, Ryuko belongs to Lady Ragyo.\We'll see about that!\Are you trying to appeal to her feelings, too? response:	That'll never work! You've gotten soft, Satsuki!
context: Haven't you figured it out yet?\No ordinary human can beat me!\Perhaps, but the blade of my heart isn't broken just yet!\Oh, brother... you're so stubborn!\I'm telling you, Ryuko belongs to Lady Ragyo.\We'll see about that!\Are you trying to appeal to her feelings, too?\That'll never work! You've gotten soft, Satsuki! response:	It's because of you that I believe it is possible to turn the tables!
context: No ordinary human can beat me!\Perhaps, but the blade of my heart isn't broken just yet!\Oh, brother... you're so stubborn!\I'm telling you, Ryuko belongs to Lady Ragyo.\We'll see about that!\Are you trying to appeal to her feelings, too?\That'll never work! You've gotten soft, Satsuki!\It's because of you that I believe it is possible to turn the tables! response:	Because of me?
context: Perhaps, but the blade of my heart isn't broken just yet!\Oh, brother... you're so stubborn!\I'm telling you, Ryuko belongs to Lady Ragyo.\We'll see about that!\Are you trying to appeal to her feelings, too?\That'll never work! You've gotten soft, Satsuki!\It's because of you that I believe it is possible to turn the tables!\Because of me? response:	Yes, you!
context: Oh, brother... you're so stubborn!\I'm telling you, Ryuko belongs to Lady Ragyo.\We'll see about that!\Are you trying to appeal to her feelings, too?\That'll never work! You've gotten soft, Satsuki!\It's because of you that I believe it is possible to turn the tables!\Because of me?\Yes, you! response:	If Ryuko Matoi has truly gone over to your side body and soul,
context: I'm telling you, Ryuko belongs to Lady Ragyo.\We'll see about that!\Are you trying to appeal to her feelings, too?\That'll never work! You've gotten soft, Satsuki!\It's because of you that I believe it is possible to turn the tables!\Because of me?\Yes, you!\If Ryuko Matoi has truly gone over to your side body and soul, response:	why haven't you given her that Scissor Blade?!
context: We'll see about that!\Are you trying to appeal to her feelings, too?\That'll never work! You've gotten soft, Satsuki!\It's because of you that I believe it is possible to turn the tables!\Because of me?\Yes, you!\If Ryuko Matoi has truly gone over to your side body and soul,\why haven't you given her that Scissor Blade?! response:	That blade is the ultimate weapon to fight against Life Fibers.
context: Are you trying to appeal to her feelings, too?\That'll never work! You've gotten soft, Satsuki!\It's because of you that I believe it is possible to turn the tables!\Because of me?\Yes, you!\If Ryuko Matoi has truly gone over to your side body and soul,\why haven't you given her that Scissor Blade?!\That blade is the ultimate weapon to fight against Life Fibers. response:	The reason you still carry it
context: That'll never work! You've gotten soft, Satsuki!\It's because of you that I believe it is possible to turn the tables!\Because of me?\Yes, you!\If Ryuko Matoi has truly gone over to your side body and soul,\why haven't you given her that Scissor Blade?!\That blade is the ultimate weapon to fight against Life Fibers.\The reason you still carry it response:	is because you still harbor doubts about her loyalties!
context: It's because of you that I believe it is possible to turn the tables!\Because of me?\Yes, you!\If Ryuko Matoi has truly gone over to your side body and soul,\why haven't you given her that Scissor Blade?!\That blade is the ultimate weapon to fight against Life Fibers.\The reason you still carry it\is because you still harbor doubts about her loyalties! response:	And it is in that uncertainty that our victory lies!
context: Because of me?\Yes, you!\If Ryuko Matoi has truly gone over to your side body and soul,\why haven't you given her that Scissor Blade?!\That blade is the ultimate weapon to fight against Life Fibers.\The reason you still carry it\is because you still harbor doubts about her loyalties!\And it is in that uncertainty that our victory lies! response:	Your agitation has made me more convinced than ever!
context: Yes, you!\If Ryuko Matoi has truly gone over to your side body and soul,\why haven't you given her that Scissor Blade?!\That blade is the ultimate weapon to fight against Life Fibers.\The reason you still carry it\is because you still harbor doubts about her loyalties!\And it is in that uncertainty that our victory lies!\Your agitation has made me more convinced than ever! response:	We will be victorious!
context: If Ryuko Matoi has truly gone over to your side body and soul,\why haven't you given her that Scissor Blade?!\That blade is the ultimate weapon to fight against Life Fibers.\The reason you still carry it\is because you still harbor doubts about her loyalties!\And it is in that uncertainty that our victory lies!\Your agitation has made me more convinced than ever!\We will be victorious! response:	Leave this one to us!
context: why haven't you given her that Scissor Blade?!\That blade is the ultimate weapon to fight against Life Fibers.\The reason you still carry it\is because you still harbor doubts about her loyalties!\And it is in that uncertainty that our victory lies!\Your agitation has made me more convinced than ever!\We will be victorious!\Leave this one to us! response:	You see to Matoi, Lady Satsuki!
context: That blade is the ultimate weapon to fight against Life Fibers.\The reason you still carry it\is because you still harbor doubts about her loyalties!\And it is in that uncertainty that our victory lies!\Your agitation has made me more convinced than ever!\We will be victorious!\Leave this one to us!\You see to Matoi, Lady Satsuki! response:	You are our hope!
context: The reason you still carry it\is because you still harbor doubts about her loyalties!\And it is in that uncertainty that our victory lies!\Your agitation has made me more convinced than ever!\We will be victorious!\Leave this one to us!\You see to Matoi, Lady Satsuki!\You are our hope! response:	I'm counting on you.
context: is because you still harbor doubts about her loyalties!\And it is in that uncertainty that our victory lies!\Your agitation has made me more convinced than ever!\We will be victorious!\Leave this one to us!\You see to Matoi, Lady Satsuki!\You are our hope!\I'm counting on you. response:	Ryuko! Destroy her along with Senketsu!
context: And it is in that uncertainty that our victory lies!\Your agitation has made me more convinced than ever!\We will be victorious!\Leave this one to us!\You see to Matoi, Lady Satsuki!\You are our hope!\I'm counting on you.\Ryuko! Destroy her along with Senketsu! response:	That's what Lady Ragyo wants, too!
context: Your agitation has made me more convinced than ever!\We will be victorious!\Leave this one to us!\You see to Matoi, Lady Satsuki!\You are our hope!\I'm counting on you.\Ryuko! Destroy her along with Senketsu!\That's what Lady Ragyo wants, too! response:	Give these softies with their hope nonsense
context: We will be victorious!\Leave this one to us!\You see to Matoi, Lady Satsuki!\You are our hope!\I'm counting on you.\Ryuko! Destroy her along with Senketsu!\That's what Lady Ragyo wants, too!\Give these softies with their hope nonsense response:	a dose of cold, hard reality!
context: Leave this one to us!\You see to Matoi, Lady Satsuki!\You are our hope!\I'm counting on you.\Ryuko! Destroy her along with Senketsu!\That's what Lady Ragyo wants, too!\Give these softies with their hope nonsense\a dose of cold, hard reality! response:	You got it.
context: You see to Matoi, Lady Satsuki!\You are our hope!\I'm counting on you.\Ryuko! Destroy her along with Senketsu!\That's what Lady Ragyo wants, too!\Give these softies with their hope nonsense\a dose of cold, hard reality!\You got it. response:	Move it.
context: You are our hope!\I'm counting on you.\Ryuko! Destroy her along with Senketsu!\That's what Lady Ragyo wants, too!\Give these softies with their hope nonsense\a dose of cold, hard reality!\You got it.\Move it. response:	Stop this, Ryuko!
context: I'm counting on you.\Ryuko! Destroy her along with Senketsu!\That's what Lady Ragyo wants, too!\Give these softies with their hope nonsense\a dose of cold, hard reality!\You got it.\Move it.\Stop this, Ryuko! response:	You're protecting that woman?
context: Ryuko! Destroy her along with Senketsu!\That's what Lady Ragyo wants, too!\Give these softies with their hope nonsense\a dose of cold, hard reality!\You got it.\Move it.\Stop this, Ryuko!\You're protecting that woman? response:	I will protect Mako. But I will protect you, too, Ryuko.
context: That's what Lady Ragyo wants, too!\Give these softies with their hope nonsense\a dose of cold, hard reality!\You got it.\Move it.\Stop this, Ryuko!\You're protecting that woman?\I will protect Mako. But I will protect you, too, Ryuko. response:	Me?
context: Give these softies with their hope nonsense\a dose of cold, hard reality!\You got it.\Move it.\Stop this, Ryuko!\You're protecting that woman?\I will protect Mako. But I will protect you, too, Ryuko.\Me? response:	Yes, you. If you killed Mako here,
context: a dose of cold, hard reality!\You got it.\Move it.\Stop this, Ryuko!\You're protecting that woman?\I will protect Mako. But I will protect you, too, Ryuko.\Me?\Yes, you. If you killed Mako here, response:	the one who would be hurt most of all would be you.
context: You got it.\Move it.\Stop this, Ryuko!\You're protecting that woman?\I will protect Mako. But I will protect you, too, Ryuko.\Me?\Yes, you. If you killed Mako here,\the one who would be hurt most of all would be you. response:	That is why I won't let you lay a hand on her!
context: Move it.\Stop this, Ryuko!\You're protecting that woman?\I will protect Mako. But I will protect you, too, Ryuko.\Me?\Yes, you. If you killed Mako here,\the one who would be hurt most of all would be you.\That is why I won't let you lay a hand on her! response:	What?
context: Stop this, Ryuko!\You're protecting that woman?\I will protect Mako. But I will protect you, too, Ryuko.\Me?\Yes, you. If you killed Mako here,\the one who would be hurt most of all would be you.\That is why I won't let you lay a hand on her!\What? response:	It's because you've been selfish that Senketsu is being worn by me!
context: You're protecting that woman?\I will protect Mako. But I will protect you, too, Ryuko.\Me?\Yes, you. If you killed Mako here,\the one who would be hurt most of all would be you.\That is why I won't let you lay a hand on her!\What?\It's because you've been selfish that Senketsu is being worn by me! response:	This isn't right!
context: I will protect Mako. But I will protect you, too, Ryuko.\Me?\Yes, you. If you killed Mako here,\the one who would be hurt most of all would be you.\That is why I won't let you lay a hand on her!\What?\It's because you've been selfish that Senketsu is being worn by me!\This isn't right! response:	The Ryuko I know can take off that outfit.
context: Me?\Yes, you. If you killed Mako here,\the one who would be hurt most of all would be you.\That is why I won't let you lay a hand on her!\What?\It's because you've been selfish that Senketsu is being worn by me!\This isn't right!\The Ryuko I know can take off that outfit. response:	So let's hurry up and get changed, okay?
context: Yes, you. If you killed Mako here,\the one who would be hurt most of all would be you.\That is why I won't let you lay a hand on her!\What?\It's because you've been selfish that Senketsu is being worn by me!\This isn't right!\The Ryuko I know can take off that outfit.\So let's hurry up and get changed, okay? response:	God, your voice is so annoying!
context: the one who would be hurt most of all would be you.\That is why I won't let you lay a hand on her!\What?\It's because you've been selfish that Senketsu is being worn by me!\This isn't right!\The Ryuko I know can take off that outfit.\So let's hurry up and get changed, okay?\God, your voice is so annoying! response:	Now, Mankanshoku! Jam Senketsu into the wound!
context: That is why I won't let you lay a hand on her!\What?\It's because you've been selfish that Senketsu is being worn by me!\This isn't right!\The Ryuko I know can take off that outfit.\So let's hurry up and get changed, okay?\God, your voice is so annoying!\Now, Mankanshoku! Jam Senketsu into the wound! response:	Senketsu! Use your strength to shake Ryuko's Life Fibers loose from Junketsu!
context: What?\It's because you've been selfish that Senketsu is being worn by me!\This isn't right!\The Ryuko I know can take off that outfit.\So let's hurry up and get changed, okay?\God, your voice is so annoying!\Now, Mankanshoku! Jam Senketsu into the wound!\Senketsu! Use your strength to shake Ryuko's Life Fibers loose from Junketsu! response:	Right!
context: It's because you've been selfish that Senketsu is being worn by me!\This isn't right!\The Ryuko I know can take off that outfit.\So let's hurry up and get changed, okay?\God, your voice is so annoying!\Now, Mankanshoku! Jam Senketsu into the wound!\Senketsu! Use your strength to shake Ryuko's Life Fibers loose from Junketsu!\Right! response:	On it!
context: This isn't right!\The Ryuko I know can take off that outfit.\So let's hurry up and get changed, okay?\God, your voice is so annoying!\Now, Mankanshoku! Jam Senketsu into the wound!\Senketsu! Use your strength to shake Ryuko's Life Fibers loose from Junketsu!\Right!\On it! response:	Ryuko, I'm coming!
context: The Ryuko I know can take off that outfit.\So let's hurry up and get changed, okay?\God, your voice is so annoying!\Now, Mankanshoku! Jam Senketsu into the wound!\Senketsu! Use your strength to shake Ryuko's Life Fibers loose from Junketsu!\Right!\On it!\Ryuko, I'm coming! response:	I'm going to force myself onto you!
context: So let's hurry up and get changed, okay?\God, your voice is so annoying!\Now, Mankanshoku! Jam Senketsu into the wound!\Senketsu! Use your strength to shake Ryuko's Life Fibers loose from Junketsu!\Right!\On it!\Ryuko, I'm coming!\I'm going to force myself onto you! response:	Learn the power of the Sunday best!
context: God, your voice is so annoying!\Now, Mankanshoku! Jam Senketsu into the wound!\Senketsu! Use your strength to shake Ryuko's Life Fibers loose from Junketsu!\Right!\On it!\Ryuko, I'm coming!\I'm going to force myself onto you!\Learn the power of the Sunday best! response:	Ryuko! We're here to bring you home!
context: Now, Mankanshoku! Jam Senketsu into the wound!\Senketsu! Use your strength to shake Ryuko's Life Fibers loose from Junketsu!\Right!\On it!\Ryuko, I'm coming!\I'm going to force myself onto you!\Learn the power of the Sunday best!\Ryuko! We're here to bring you home! response:	Ryuko!
context: Senketsu! Use your strength to shake Ryuko's Life Fibers loose from Junketsu!\Right!\On it!\Ryuko, I'm coming!\I'm going to force myself onto you!\Learn the power of the Sunday best!\Ryuko! We're here to bring you home!\Ryuko! response:	I'll kill anyone who ruins my happiness.
context: Right!\On it!\Ryuko, I'm coming!\I'm going to force myself onto you!\Learn the power of the Sunday best!\Ryuko! We're here to bring you home!\Ryuko!\I'll kill anyone who ruins my happiness. response:	This isn't happiness, not even close!
context: On it!\Ryuko, I'm coming!\I'm going to force myself onto you!\Learn the power of the Sunday best!\Ryuko! We're here to bring you home!\Ryuko!\I'll kill anyone who ruins my happiness.\This isn't happiness, not even close! response:	This isn't you, Ryuko!
context: Ryuko, I'm coming!\I'm going to force myself onto you!\Learn the power of the Sunday best!\Ryuko! We're here to bring you home!\Ryuko!\I'll kill anyone who ruins my happiness.\This isn't happiness, not even close!\This isn't you, Ryuko! response:	Shut your mouth.
context: I'm going to force myself onto you!\Learn the power of the Sunday best!\Ryuko! We're here to bring you home!\Ryuko!\I'll kill anyone who ruins my happiness.\This isn't happiness, not even close!\This isn't you, Ryuko!\Shut your mouth. response:	Snap out of it, Ryuko!
context: Learn the power of the Sunday best!\Ryuko! We're here to bring you home!\Ryuko!\I'll kill anyone who ruins my happiness.\This isn't happiness, not even close!\This isn't you, Ryuko!\Shut your mouth.\Snap out of it, Ryuko! response:	Shut up!
context: Ryuko! We're here to bring you home!\Ryuko!\I'll kill anyone who ruins my happiness.\This isn't happiness, not even close!\This isn't you, Ryuko!\Shut your mouth.\Snap out of it, Ryuko!\Shut up! response:	Dummy, dummy, dummy! Fine, go ahead and kill me!
context: Ryuko!\I'll kill anyone who ruins my happiness.\This isn't happiness, not even close!\This isn't you, Ryuko!\Shut your mouth.\Snap out of it, Ryuko!\Shut up!\Dummy, dummy, dummy! Fine, go ahead and kill me! response:	If you're so intent on staying cooped up in here,
context: I'll kill anyone who ruins my happiness.\This isn't happiness, not even close!\This isn't you, Ryuko!\Shut your mouth.\Snap out of it, Ryuko!\Shut up!\Dummy, dummy, dummy! Fine, go ahead and kill me!\If you're so intent on staying cooped up in here, response:	kill me and give up on being my Ryuko!
context: This isn't happiness, not even close!\This isn't you, Ryuko!\Shut your mouth.\Snap out of it, Ryuko!\Shut up!\Dummy, dummy, dummy! Fine, go ahead and kill me!\If you're so intent on staying cooped up in here,\kill me and give up on being my Ryuko! response:	Ryuko!
context: This isn't you, Ryuko!\Shut your mouth.\Snap out of it, Ryuko!\Shut up!\Dummy, dummy, dummy! Fine, go ahead and kill me!\If you're so intent on staying cooped up in here,\kill me and give up on being my Ryuko!\Ryuko! response:	Ryuko!
context: Shut your mouth.\Snap out of it, Ryuko!\Shut up!\Dummy, dummy, dummy! Fine, go ahead and kill me!\If you're so intent on staying cooped up in here,\kill me and give up on being my Ryuko!\Ryuko!\Ryuko! response:	Matoi...
context: Snap out of it, Ryuko!\Shut up!\Dummy, dummy, dummy! Fine, go ahead and kill me!\If you're so intent on staying cooped up in here,\kill me and give up on being my Ryuko!\Ryuko!\Ryuko!\Matoi... response:	Oopsie, looks like they failed to win her over.
