context: Manatsu-kun will be staying in the hospital for a few more days. response:	I'm fine now.
context: That's their shuttle.\He's definitely armed.\What?\Hey, Teppei, your dad\Listen.\Would you stop calling yourself that?\I don't know what you may think,\but I don't see you that way. response:	And it isn't like that.
context: He's definitely armed.\What?\Hey, Teppei, your dad\Listen.\Would you stop calling yourself that?\I don't know what you may think,\but I don't see you that way.\And it isn't like that. response:	I'm not who you think I am.
context: What?\Hey, Teppei, your dad\Listen.\Would you stop calling yourself that?\I don't know what you may think,\but I don't see you that way.\And it isn't like that.\I'm not who you think I am. response:	I'm sorry...
context: Hey, Teppei, your dad\Listen.\Would you stop calling yourself that?\I don't know what you may think,\but I don't see you that way.\And it isn't like that.\I'm not who you think I am.\I'm sorry... response:	I didn't even get to read you a single picture book.
context: Listen.\Would you stop calling yourself that?\I don't know what you may think,\but I don't see you that way.\And it isn't like that.\I'm not who you think I am.\I'm sorry...\I didn't even get to read you a single picture book. response:	I really regret it.
context: Would you stop calling yourself that?\I don't know what you may think,\but I don't see you that way.\And it isn't like that.\I'm not who you think I am.\I'm sorry...\I didn't even get to read you a single picture book.\I really regret it. response:	That isn't what I'm talking about!
context: I don't know what you may think,\but I don't see you that way.\And it isn't like that.\I'm not who you think I am.\I'm sorry...\I didn't even get to read you a single picture book.\I really regret it.\That isn't what I'm talking about! response:	My tranquilizer gun?
context: but I don't see you that way.\And it isn't like that.\I'm not who you think I am.\I'm sorry...\I didn't even get to read you a single picture book.\I really regret it.\That isn't what I'm talking about!\My tranquilizer gun? response:	When did you...
context: And it isn't like that.\I'm not who you think I am.\I'm sorry...\I didn't even get to read you a single picture book.\I really regret it.\That isn't what I'm talking about!\My tranquilizer gun?\When did you... response:	Teppei!
context: I'm not who you think I am.\I'm sorry...\I didn't even get to read you a single picture book.\I really regret it.\That isn't what I'm talking about!\My tranquilizer gun?\When did you...\Teppei! response:	Why?
context: I'm sorry...\I didn't even get to read you a single picture book.\I really regret it.\That isn't what I'm talking about!\My tranquilizer gun?\When did you...\Teppei!\Why? response:	Aren't we stealing the shuttle?
context: I didn't even get to read you a single picture book.\I really regret it.\That isn't what I'm talking about!\My tranquilizer gun?\When did you...\Teppei!\Why?\Aren't we stealing the shuttle? response:	I'm sorry.
context: I really regret it.\That isn't what I'm talking about!\My tranquilizer gun?\When did you...\Teppei!\Why?\Aren't we stealing the shuttle?\I'm sorry. response:	I lied.
context: That isn't what I'm talking about!\My tranquilizer gun?\When did you...\Teppei!\Why?\Aren't we stealing the shuttle?\I'm sorry.\I lied. response:	That shot wounded me worse than I thought.
context: My tranquilizer gun?\When did you...\Teppei!\Why?\Aren't we stealing the shuttle?\I'm sorry.\I lied.\That shot wounded me worse than I thought. response:	I can't protect you two.
context: When did you...\Teppei!\Why?\Aren't we stealing the shuttle?\I'm sorry.\I lied.\That shot wounded me worse than I thought.\I can't protect you two. response:	They're pros...
context: Teppei!\Why?\Aren't we stealing the shuttle?\I'm sorry.\I lied.\That shot wounded me worse than I thought.\I can't protect you two.\They're pros... response:	I can tell they're a lot like me.
context: Why?\Aren't we stealing the shuttle?\I'm sorry.\I lied.\That shot wounded me worse than I thought.\I can't protect you two.\They're pros...\I can tell they're a lot like me. response:	But they're after me, so if I surrender, you'll both be safe.
context: Aren't we stealing the shuttle?\I'm sorry.\I lied.\That shot wounded me worse than I thought.\I can't protect you two.\They're pros...\I can tell they're a lot like me.\But they're after me, so if I surrender, you'll both be safe. response:	Of course, if they're after my genes,
context: I'm sorry.\I lied.\That shot wounded me worse than I thought.\I can't protect you two.\They're pros...\I can tell they're a lot like me.\But they're after me, so if I surrender, you'll both be safe.\Of course, if they're after my genes, response:	their real target would be Teppei, right?
context: I lied.\That shot wounded me worse than I thought.\I can't protect you two.\They're pros...\I can tell they're a lot like me.\But they're after me, so if I surrender, you'll both be safe.\Of course, if they're after my genes,\their real target would be Teppei, right? response:	I don't know why Teppei was sent here.
context: That shot wounded me worse than I thought.\I can't protect you two.\They're pros...\I can tell they're a lot like me.\But they're after me, so if I surrender, you'll both be safe.\Of course, if they're after my genes,\their real target would be Teppei, right?\I don't know why Teppei was sent here. response:	But maybe someone wanted him to see me?
context: I can't protect you two.\They're pros...\I can tell they're a lot like me.\But they're after me, so if I surrender, you'll both be safe.\Of course, if they're after my genes,\their real target would be Teppei, right?\I don't know why Teppei was sent here.\But maybe someone wanted him to see me? response:	Either way, I'm sure it was something the adults wanted.
context: They're pros...\I can tell they're a lot like me.\But they're after me, so if I surrender, you'll both be safe.\Of course, if they're after my genes,\their real target would be Teppei, right?\I don't know why Teppei was sent here.\But maybe someone wanted him to see me?\Either way, I'm sure it was something the adults wanted. response:	But if a girl like you is with him, I don't need to worry.
context: I can tell they're a lot like me.\But they're after me, so if I surrender, you'll both be safe.\Of course, if they're after my genes,\their real target would be Teppei, right?\I don't know why Teppei was sent here.\But maybe someone wanted him to see me?\Either way, I'm sure it was something the adults wanted.\But if a girl like you is with him, I don't need to worry. response:	Take care of my son.
context: But they're after me, so if I surrender, you'll both be safe.\Of course, if they're after my genes,\their real target would be Teppei, right?\I don't know why Teppei was sent here.\But maybe someone wanted him to see me?\Either way, I'm sure it was something the adults wanted.\But if a girl like you is with him, I don't need to worry.\Take care of my son. response:	Teppei's dad...
context: Of course, if they're after my genes,\their real target would be Teppei, right?\I don't know why Teppei was sent here.\But maybe someone wanted him to see me?\Either way, I'm sure it was something the adults wanted.\But if a girl like you is with him, I don't need to worry.\Take care of my son.\Teppei's dad... response:	I like the way that sounds.
context: their real target would be Teppei, right?\I don't know why Teppei was sent here.\But maybe someone wanted him to see me?\Either way, I'm sure it was something the adults wanted.\But if a girl like you is with him, I don't need to worry.\Take care of my son.\Teppei's dad...\I like the way that sounds. response:	You don't have to worry about me.
context: I don't know why Teppei was sent here.\But maybe someone wanted him to see me?\Either way, I'm sure it was something the adults wanted.\But if a girl like you is with him, I don't need to worry.\Take care of my son.\Teppei's dad...\I like the way that sounds.\You don't have to worry about me. response:	After all, I'm a criminal.
context: But maybe someone wanted him to see me?\Either way, I'm sure it was something the adults wanted.\But if a girl like you is with him, I don't need to worry.\Take care of my son.\Teppei's dad...\I like the way that sounds.\You don't have to worry about me.\After all, I'm a criminal. response:	His assault and attempted murder were both to protect Teppei.
context: Either way, I'm sure it was something the adults wanted.\But if a girl like you is with him, I don't need to worry.\Take care of my son.\Teppei's dad...\I like the way that sounds.\You don't have to worry about me.\After all, I'm a criminal.\His assault and attempted murder were both to protect Teppei. response:	He tried to stop Teppei, his child,
context: But if a girl like you is with him, I don't need to worry.\Take care of my son.\Teppei's dad...\I like the way that sounds.\You don't have to worry about me.\After all, I'm a criminal.\His assault and attempted murder were both to protect Teppei.\He tried to stop Teppei, his child, response:	from being used as a test subject by Macbeth Enterprises.
context: Take care of my son.\Teppei's dad...\I like the way that sounds.\You don't have to worry about me.\After all, I'm a criminal.\His assault and attempted murder were both to protect Teppei.\He tried to stop Teppei, his child,\from being used as a test subject by Macbeth Enterprises. response:	Was having Teppei meet him your true goal?
context: Teppei's dad...\I like the way that sounds.\You don't have to worry about me.\After all, I'm a criminal.\His assault and attempted murder were both to protect Teppei.\He tried to stop Teppei, his child,\from being used as a test subject by Macbeth Enterprises.\Was having Teppei meet him your true goal? response:	You really are a romantic.
context: I like the way that sounds.\You don't have to worry about me.\After all, I'm a criminal.\His assault and attempted murder were both to protect Teppei.\He tried to stop Teppei, his child,\from being used as a test subject by Macbeth Enterprises.\Was having Teppei meet him your true goal?\You really are a romantic. response:	This was Commander Nishikubo's order?
context: You don't have to worry about me.\After all, I'm a criminal.\His assault and attempted murder were both to protect Teppei.\He tried to stop Teppei, his child,\from being used as a test subject by Macbeth Enterprises.\Was having Teppei meet him your true goal?\You really are a romantic.\This was Commander Nishikubo's order? response:	I lied to you for the sake of the mission.
context: After all, I'm a criminal.\His assault and attempted murder were both to protect Teppei.\He tried to stop Teppei, his child,\from being used as a test subject by Macbeth Enterprises.\Was having Teppei meet him your true goal?\You really are a romantic.\This was Commander Nishikubo's order?\I lied to you for the sake of the mission. response:	I'm really sorry.
context: His assault and attempted murder were both to protect Teppei.\He tried to stop Teppei, his child,\from being used as a test subject by Macbeth Enterprises.\Was having Teppei meet him your true goal?\You really are a romantic.\This was Commander Nishikubo's order?\I lied to you for the sake of the mission.\I'm really sorry. response:	Whatever your reason,
context: He tried to stop Teppei, his child,\from being used as a test subject by Macbeth Enterprises.\Was having Teppei meet him your true goal?\You really are a romantic.\This was Commander Nishikubo's order?\I lied to you for the sake of the mission.\I'm really sorry.\Whatever your reason, response:	I'm sure you can't imagine
context: from being used as a test subject by Macbeth Enterprises.\Was having Teppei meet him your true goal?\You really are a romantic.\This was Commander Nishikubo's order?\I lied to you for the sake of the mission.\I'm really sorry.\Whatever your reason,\I'm sure you can't imagine response:	how happy I was to see you.
context: Was having Teppei meet him your true goal?\You really are a romantic.\This was Commander Nishikubo's order?\I lied to you for the sake of the mission.\I'm really sorry.\Whatever your reason,\I'm sure you can't imagine\how happy I was to see you. response:	When she looks at you,
context: You really are a romantic.\This was Commander Nishikubo's order?\I lied to you for the sake of the mission.\I'm really sorry.\Whatever your reason,\I'm sure you can't imagine\how happy I was to see you.\When she looks at you, response:	Governor Yomatsuri seems so kind.
context: This was Commander Nishikubo's order?\I lied to you for the sake of the mission.\I'm really sorry.\Whatever your reason,\I'm sure you can't imagine\how happy I was to see you.\When she looks at you,\Governor Yomatsuri seems so kind. response:	Ah... I'm sorry.
context: I lied to you for the sake of the mission.\I'm really sorry.\Whatever your reason,\I'm sure you can't imagine\how happy I was to see you.\When she looks at you,\Governor Yomatsuri seems so kind.\Ah... I'm sorry. response:	That was a weird thing to say.
context: I'm really sorry.\Whatever your reason,\I'm sure you can't imagine\how happy I was to see you.\When she looks at you,\Governor Yomatsuri seems so kind.\Ah... I'm sorry.\That was a weird thing to say. response:	He looked at you the same way that my mom looks at me.
context: Whatever your reason,\I'm sure you can't imagine\how happy I was to see you.\When she looks at you,\Governor Yomatsuri seems so kind.\Ah... I'm sorry.\That was a weird thing to say.\He looked at you the same way that my mom looks at me. response:	It seems the group that kidnapped the target was under Salty Dog's influence.
context: I'm sure you can't imagine\how happy I was to see you.\When she looks at you,\Governor Yomatsuri seems so kind.\Ah... I'm sorry.\That was a weird thing to say.\He looked at you the same way that my mom looks at me.\It seems the group that kidnapped the target was under Salty Dog's influence. response:	They've denied it, of course.
context: how happy I was to see you.\When she looks at you,\Governor Yomatsuri seems so kind.\Ah... I'm sorry.\That was a weird thing to say.\He looked at you the same way that my mom looks at me.\It seems the group that kidnapped the target was under Salty Dog's influence.\They've denied it, of course. response:	I'm sorry.
context: When she looks at you,\Governor Yomatsuri seems so kind.\Ah... I'm sorry.\That was a weird thing to say.\He looked at you the same way that my mom looks at me.\It seems the group that kidnapped the target was under Salty Dog's influence.\They've denied it, of course.\I'm sorry. response:	The mission was a failure.
context: Governor Yomatsuri seems so kind.\Ah... I'm sorry.\That was a weird thing to say.\He looked at you the same way that my mom looks at me.\It seems the group that kidnapped the target was under Salty Dog's influence.\They've denied it, of course.\I'm sorry.\The mission was a failure. response:	Ultimately, it all worked out.
context: Ah... I'm sorry.\That was a weird thing to say.\He looked at you the same way that my mom looks at me.\It seems the group that kidnapped the target was under Salty Dog's influence.\They've denied it, of course.\I'm sorry.\The mission was a failure.\Ultimately, it all worked out. response:	Once the shuttle arrived, Eiji Arashi escaped.
context: That was a weird thing to say.\He looked at you the same way that my mom looks at me.\It seems the group that kidnapped the target was under Salty Dog's influence.\They've denied it, of course.\I'm sorry.\The mission was a failure.\Ultimately, it all worked out.\Once the shuttle arrived, Eiji Arashi escaped. response:	His whereabouts are currently unknown.
context: He looked at you the same way that my mom looks at me.\It seems the group that kidnapped the target was under Salty Dog's influence.\They've denied it, of course.\I'm sorry.\The mission was a failure.\Ultimately, it all worked out.\Once the shuttle arrived, Eiji Arashi escaped.\His whereabouts are currently unknown. response:	Good work.
context: It seems the group that kidnapped the target was under Salty Dog's influence.\They've denied it, of course.\I'm sorry.\The mission was a failure.\Ultimately, it all worked out.\Once the shuttle arrived, Eiji Arashi escaped.\His whereabouts are currently unknown.\Good work. response:	Get some rest.
context: They've denied it, of course.\I'm sorry.\The mission was a failure.\Ultimately, it all worked out.\Once the shuttle arrived, Eiji Arashi escaped.\His whereabouts are currently unknown.\Good work.\Get some rest. response:	I'm sorry...
context: I'm sorry.\The mission was a failure.\Ultimately, it all worked out.\Once the shuttle arrived, Eiji Arashi escaped.\His whereabouts are currently unknown.\Good work.\Get some rest.\I'm sorry... response:	I didn't even get to read you a single picture book.
context: The mission was a failure.\Ultimately, it all worked out.\Once the shuttle arrived, Eiji Arashi escaped.\His whereabouts are currently unknown.\Good work.\Get some rest.\I'm sorry...\I didn't even get to read you a single picture book. response:	My dad, huh?
context: Ultimately, it all worked out.\Once the shuttle arrived, Eiji Arashi escaped.\His whereabouts are currently unknown.\Good work.\Get some rest.\I'm sorry...\I didn't even get to read you a single picture book.\My dad, huh? response:	The Kivotos Plan was proposed as the last hope for the survival of humanity.
context: Once the shuttle arrived, Eiji Arashi escaped.\His whereabouts are currently unknown.\Good work.\Get some rest.\I'm sorry...\I didn't even get to read you a single picture book.\My dad, huh?\The Kivotos Plan was proposed as the last hope for the survival of humanity. response:	But many conspiracies lurk in the background.
context: His whereabouts are currently unknown.\Good work.\Get some rest.\I'm sorry...\I didn't even get to read you a single picture book.\My dad, huh?\The Kivotos Plan was proposed as the last hope for the survival of humanity.\But many conspiracies lurk in the background. response:	And Hirosue, from Salty Dog,
context: Good work.\Get some rest.\I'm sorry...\I didn't even get to read you a single picture book.\My dad, huh?\The Kivotos Plan was proposed as the last hope for the survival of humanity.\But many conspiracies lurk in the background.\And Hirosue, from Salty Dog, response:	tries to kidnap Hana for the Kivotos Plan.
context: Get some rest.\I'm sorry...\I didn't even get to read you a single picture book.\My dad, huh?\The Kivotos Plan was proposed as the last hope for the survival of humanity.\But many conspiracies lurk in the background.\And Hirosue, from Salty Dog,\tries to kidnap Hana for the Kivotos Plan. response:	Kivotos Plan
context: I'm sorry...\I didn't even get to read you a single picture book.\My dad, huh?\The Kivotos Plan was proposed as the last hope for the survival of humanity.\But many conspiracies lurk in the background.\And Hirosue, from Salty Dog,\tries to kidnap Hana for the Kivotos Plan.\Kivotos Plan response:	Kivotos Plan.
context: I didn't even get to read you a single picture book.\My dad, huh?\The Kivotos Plan was proposed as the last hope for the survival of humanity.\But many conspiracies lurk in the background.\And Hirosue, from Salty Dog,\tries to kidnap Hana for the Kivotos Plan.\Kivotos Plan\Kivotos Plan. response:	Earth Engine, expand!
