context: Five... response:	Four...
context: but it seems that activities which reduce the distance between us\have a tendency to increase heart rate.\What's this? Tired already?\In that case, this brings us the closest, doesn't it?\Let's stay like this for a little while.\The longer the period, the more data we can collect. Right?\That is true... but...\minutes later. response:	minute later.
context: have a tendency to increase heart rate.\What's this? Tired already?\In that case, this brings us the closest, doesn't it?\Let's stay like this for a little while.\The longer the period, the more data we can collect. Right?\That is true... but...\minutes later.\minute later. response:	minutes later.
context: What's this? Tired already?\In that case, this brings us the closest, doesn't it?\Let's stay like this for a little while.\The longer the period, the more data we can collect. Right?\That is true... but...\minutes later.\minute later.\minutes later. response:	Th-The woman's gone and fallen asleep!
context: In that case, this brings us the closest, doesn't it?\Let's stay like this for a little while.\The longer the period, the more data we can collect. Right?\That is true... but...\minutes later.\minute later.\minutes later.\Th-The woman's gone and fallen asleep! response:	What do I do? Halt the experiment?
context: Let's stay like this for a little while.\The longer the period, the more data we can collect. Right?\That is true... but...\minutes later.\minute later.\minutes later.\Th-The woman's gone and fallen asleep!\What do I do? Halt the experiment? response:	She has the audacity to look so happy!
context: The longer the period, the more data we can collect. Right?\That is true... but...\minutes later.\minute later.\minutes later.\Th-The woman's gone and fallen asleep!\What do I do? Halt the experiment?\She has the audacity to look so happy! response:	And what kind of components comprise this sweet fragrance?
context: That is true... but...\minutes later.\minute later.\minutes later.\Th-The woman's gone and fallen asleep!\What do I do? Halt the experiment?\She has the audacity to look so happy!\And what kind of components comprise this sweet fragrance? response:	Heart rate during experiment
context: minutes later.\minute later.\minutes later.\Th-The woman's gone and fallen asleep!\What do I do? Halt the experiment?\She has the audacity to look so happy!\And what kind of components comprise this sweet fragrance?\Heart rate during experiment response:	Resting heart rate
context: minute later.\minutes later.\Th-The woman's gone and fallen asleep!\What do I do? Halt the experiment?\She has the audacity to look so happy!\And what kind of components comprise this sweet fragrance?\Heart rate during experiment\Resting heart rate response:	Sweet potato fry
context: minutes later.\Th-The woman's gone and fallen asleep!\What do I do? Halt the experiment?\She has the audacity to look so happy!\And what kind of components comprise this sweet fragrance?\Heart rate during experiment\Resting heart rate\Sweet potato fry response:	Close contact
context: Th-The woman's gone and fallen asleep!\What do I do? Halt the experiment?\She has the audacity to look so happy!\And what kind of components comprise this sweet fragrance?\Heart rate during experiment\Resting heart rate\Sweet potato fry\Close contact response:	Wall Slam
context: What do I do? Halt the experiment?\She has the audacity to look so happy!\And what kind of components comprise this sweet fragrance?\Heart rate during experiment\Resting heart rate\Sweet potato fry\Close contact\Wall Slam response:	Chin-lift
context: She has the audacity to look so happy!\And what kind of components comprise this sweet fragrance?\Heart rate during experiment\Resting heart rate\Sweet potato fry\Close contact\Wall Slam\Chin-lift response:	Sleeve-roll
context: And what kind of components comprise this sweet fragrance?\Heart rate during experiment\Resting heart rate\Sweet potato fry\Close contact\Wall Slam\Chin-lift\Sleeve-roll response:	Hand holding
context: Heart rate during experiment\Resting heart rate\Sweet potato fry\Close contact\Wall Slam\Chin-lift\Sleeve-roll\Hand holding response:	We tried many different situations.
context: Resting heart rate\Sweet potato fry\Close contact\Wall Slam\Chin-lift\Sleeve-roll\Hand holding\We tried many different situations. response:	This is your heart rate during the experiment, Himuro.
context: Sweet potato fry\Close contact\Wall Slam\Chin-lift\Sleeve-roll\Hand holding\We tried many different situations.\This is your heart rate during the experiment, Himuro. response:	In every case, you can see very high readings.
context: Close contact\Wall Slam\Chin-lift\Sleeve-roll\Hand holding\We tried many different situations.\This is your heart rate during the experiment, Himuro.\In every case, you can see very high readings. response:	Question!
context: Wall Slam\Chin-lift\Sleeve-roll\Hand holding\We tried many different situations.\This is your heart rate during the experiment, Himuro.\In every case, you can see very high readings.\Question! response:	Hm?
context: Chin-lift\Sleeve-roll\Hand holding\We tried many different situations.\This is your heart rate during the experiment, Himuro.\In every case, you can see very high readings.\Question!\Hm? response:	That last part sort of...
context: Sleeve-roll\Hand holding\We tried many different situations.\This is your heart rate during the experiment, Himuro.\In every case, you can see very high readings.\Question!\Hm?\That last part sort of... response:	It looks like there was a time she wound up super relaxed.
context: Hand holding\We tried many different situations.\This is your heart rate during the experiment, Himuro.\In every case, you can see very high readings.\Question!\Hm?\That last part sort of...\It looks like there was a time she wound up super relaxed. response:	Flow of time
context: We tried many different situations.\This is your heart rate during the experiment, Himuro.\In every case, you can see very high readings.\Question!\Hm?\That last part sort of...\It looks like there was a time she wound up super relaxed.\Flow of time response:	Pay no attention to that. It was simply an unexpected circumstance.
context: This is your heart rate during the experiment, Himuro.\In every case, you can see very high readings.\Question!\Hm?\That last part sort of...\It looks like there was a time she wound up super relaxed.\Flow of time\Pay no attention to that. It was simply an unexpected circumstance. response:	At any rate, it looks like there's no denying Himuro-senpai's heart was racing!
context: In every case, you can see very high readings.\Question!\Hm?\That last part sort of...\It looks like there was a time she wound up super relaxed.\Flow of time\Pay no attention to that. It was simply an unexpected circumstance.\At any rate, it looks like there's no denying Himuro-senpai's heart was racing! response:	That means love is a certainty, right?
context: Question!\Hm?\That last part sort of...\It looks like there was a time she wound up super relaxed.\Flow of time\Pay no attention to that. It was simply an unexpected circumstance.\At any rate, it looks like there's no denying Himuro-senpai's heart was racing!\That means love is a certainty, right? response:	It's too soon to come to that conclusion.
context: Hm?\That last part sort of...\It looks like there was a time she wound up super relaxed.\Flow of time\Pay no attention to that. It was simply an unexpected circumstance.\At any rate, it looks like there's no denying Himuro-senpai's heart was racing!\That means love is a certainty, right?\It's too soon to come to that conclusion. response:	Huh? Why?
context: That last part sort of...\It looks like there was a time she wound up super relaxed.\Flow of time\Pay no attention to that. It was simply an unexpected circumstance.\At any rate, it looks like there's no denying Himuro-senpai's heart was racing!\That means love is a certainty, right?\It's too soon to come to that conclusion.\Huh? Why? response:	Remember this well, Kanade.
context: It looks like there was a time she wound up super relaxed.\Flow of time\Pay no attention to that. It was simply an unexpected circumstance.\At any rate, it looks like there's no denying Himuro-senpai's heart was racing!\That means love is a certainty, right?\It's too soon to come to that conclusion.\Huh? Why?\Remember this well, Kanade. response:	The results of an experiment must not be interpreted carelessly for convenience's sake.
context: Flow of time\Pay no attention to that. It was simply an unexpected circumstance.\At any rate, it looks like there's no denying Himuro-senpai's heart was racing!\That means love is a certainty, right?\It's too soon to come to that conclusion.\Huh? Why?\Remember this well, Kanade.\The results of an experiment must not be interpreted carelessly for convenience's sake. response:	Wham
context: Pay no attention to that. It was simply an unexpected circumstance.\At any rate, it looks like there's no denying Himuro-senpai's heart was racing!\That means love is a certainty, right?\It's too soon to come to that conclusion.\Huh? Why?\Remember this well, Kanade.\The results of an experiment must not be interpreted carelessly for convenience's sake.\Wham response:	ba-dump
context: At any rate, it looks like there's no denying Himuro-senpai's heart was racing!\That means love is a certainty, right?\It's too soon to come to that conclusion.\Huh? Why?\Remember this well, Kanade.\The results of an experiment must not be interpreted carelessly for convenience's sake.\Wham\ba-dump response:	ba-dump
context: That means love is a certainty, right?\It's too soon to come to that conclusion.\Huh? Why?\Remember this well, Kanade.\The results of an experiment must not be interpreted carelessly for convenience's sake.\Wham\ba-dump\ba-dump response:	hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh
context: It's too soon to come to that conclusion.\Huh? Why?\Remember this well, Kanade.\The results of an experiment must not be interpreted carelessly for convenience's sake.\Wham\ba-dump\ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh response:	For example, even in this manga...
context: Huh? Why?\Remember this well, Kanade.\The results of an experiment must not be interpreted carelessly for convenience's sake.\Wham\ba-dump\ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\For example, even in this manga... response:	At first glance, it may appear that this woman is in love. However...
context: Remember this well, Kanade.\The results of an experiment must not be interpreted carelessly for convenience's sake.\Wham\ba-dump\ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\For example, even in this manga...\At first glance, it may appear that this woman is in love. However... response:	A profuse amount of sweat, palpitations, and a flushed face.
context: The results of an experiment must not be interpreted carelessly for convenience's sake.\Wham\ba-dump\ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\For example, even in this manga...\At first glance, it may appear that this woman is in love. However...\A profuse amount of sweat, palpitations, and a flushed face. response:	What might you deduce from these things?
context: Wham\ba-dump\ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\For example, even in this manga...\At first glance, it may appear that this woman is in love. However...\A profuse amount of sweat, palpitations, and a flushed face.\What might you deduce from these things? response:	It could be premature menopause!
context: ba-dump\ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\For example, even in this manga...\At first glance, it may appear that this woman is in love. However...\A profuse amount of sweat, palpitations, and a flushed face.\What might you deduce from these things?\It could be premature menopause! response:	Exactly.
context: ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\For example, even in this manga...\At first glance, it may appear that this woman is in love. However...\A profuse amount of sweat, palpitations, and a flushed face.\What might you deduce from these things?\It could be premature menopause!\Exactly. response:	No, it couldn't. Ever.
context: hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\For example, even in this manga...\At first glance, it may appear that this woman is in love. However...\A profuse amount of sweat, palpitations, and a flushed face.\What might you deduce from these things?\It could be premature menopause!\Exactly.\No, it couldn't. Ever. response:	Excitement. Stress. Feverishness.
context: For example, even in this manga...\At first glance, it may appear that this woman is in love. However...\A profuse amount of sweat, palpitations, and a flushed face.\What might you deduce from these things?\It could be premature menopause!\Exactly.\No, it couldn't. Ever.\Excitement. Stress. Feverishness. response:	Romantic feelings
context: At first glance, it may appear that this woman is in love. However...\A profuse amount of sweat, palpitations, and a flushed face.\What might you deduce from these things?\It could be premature menopause!\Exactly.\No, it couldn't. Ever.\Excitement. Stress. Feverishness.\Romantic feelings response:	Excitement, anger, embarrassment
context: A profuse amount of sweat, palpitations, and a flushed face.\What might you deduce from these things?\It could be premature menopause!\Exactly.\No, it couldn't. Ever.\Excitement. Stress. Feverishness.\Romantic feelings\Excitement, anger, embarrassment response:	Stress
context: What might you deduce from these things?\It could be premature menopause!\Exactly.\No, it couldn't. Ever.\Excitement. Stress. Feverishness.\Romantic feelings\Excitement, anger, embarrassment\Stress response:	A racing heart could be caused by many things.
context: It could be premature menopause!\Exactly.\No, it couldn't. Ever.\Excitement. Stress. Feverishness.\Romantic feelings\Excitement, anger, embarrassment\Stress\A racing heart could be caused by many things. response:	Feverishness leading to increased body temperature
context: Exactly.\No, it couldn't. Ever.\Excitement. Stress. Feverishness.\Romantic feelings\Excitement, anger, embarrassment\Stress\A racing heart could be caused by many things.\Feverishness leading to increased body temperature response:	Decreased blood pressure, heart abnormalities
context: No, it couldn't. Ever.\Excitement. Stress. Feverishness.\Romantic feelings\Excitement, anger, embarrassment\Stress\A racing heart could be caused by many things.\Feverishness leading to increased body temperature\Decreased blood pressure, heart abnormalities response:	Severe pain
context: Excitement. Stress. Feverishness.\Romantic feelings\Excitement, anger, embarrassment\Stress\A racing heart could be caused by many things.\Feverishness leading to increased body temperature\Decreased blood pressure, heart abnormalities\Severe pain response:	It's true that, in this case, we cannot be sure
context: Romantic feelings\Excitement, anger, embarrassment\Stress\A racing heart could be caused by many things.\Feverishness leading to increased body temperature\Decreased blood pressure, heart abnormalities\Severe pain\It's true that, in this case, we cannot be sure response:	that the racing heart was caused by feelings of love.
context: Excitement, anger, embarrassment\Stress\A racing heart could be caused by many things.\Feverishness leading to increased body temperature\Decreased blood pressure, heart abnormalities\Severe pain\It's true that, in this case, we cannot be sure\that the racing heart was caused by feelings of love. response:	Hypothesis A
context: Stress\A racing heart could be caused by many things.\Feverishness leading to increased body temperature\Decreased blood pressure, heart abnormalities\Severe pain\It's true that, in this case, we cannot be sure\that the racing heart was caused by feelings of love.\Hypothesis A response:	In this experiment,
context: A racing heart could be caused by many things.\Feverishness leading to increased body temperature\Decreased blood pressure, heart abnormalities\Severe pain\It's true that, in this case, we cannot be sure\that the racing heart was caused by feelings of love.\Hypothesis A\In this experiment, response:	it seemed that my wall slam was responsible for the increased heart rate.
context: Feverishness leading to increased body temperature\Decreased blood pressure, heart abnormalities\Severe pain\It's true that, in this case, we cannot be sure\that the racing heart was caused by feelings of love.\Hypothesis A\In this experiment,\it seemed that my wall slam was responsible for the increased heart rate. response:	Hypothesis B
context: Decreased blood pressure, heart abnormalities\Severe pain\It's true that, in this case, we cannot be sure\that the racing heart was caused by feelings of love.\Hypothesis A\In this experiment,\it seemed that my wall slam was responsible for the increased heart rate.\Hypothesis B response:	However, we can't say for certain some stimulus other than my wall slam
context: Severe pain\It's true that, in this case, we cannot be sure\that the racing heart was caused by feelings of love.\Hypothesis A\In this experiment,\it seemed that my wall slam was responsible for the increased heart rate.\Hypothesis B\However, we can't say for certain some stimulus other than my wall slam response:	could have coincidentally occurred, causing the increased heart rate.
context: It's true that, in this case, we cannot be sure\that the racing heart was caused by feelings of love.\Hypothesis A\In this experiment,\it seemed that my wall slam was responsible for the increased heart rate.\Hypothesis B\However, we can't say for certain some stimulus other than my wall slam\could have coincidentally occurred, causing the increased heart rate. response:	But if that's the case, then you'll never reach a conclusion,
context: that the racing heart was caused by feelings of love.\Hypothesis A\In this experiment,\it seemed that my wall slam was responsible for the increased heart rate.\Hypothesis B\However, we can't say for certain some stimulus other than my wall slam\could have coincidentally occurred, causing the increased heart rate.\But if that's the case, then you'll never reach a conclusion, response:	regardless of how many experiments you conduct.
context: Hypothesis A\In this experiment,\it seemed that my wall slam was responsible for the increased heart rate.\Hypothesis B\However, we can't say for certain some stimulus other than my wall slam\could have coincidentally occurred, causing the increased heart rate.\But if that's the case, then you'll never reach a conclusion,\regardless of how many experiments you conduct. response:	That might be true.
context: In this experiment,\it seemed that my wall slam was responsible for the increased heart rate.\Hypothesis B\However, we can't say for certain some stimulus other than my wall slam\could have coincidentally occurred, causing the increased heart rate.\But if that's the case, then you'll never reach a conclusion,\regardless of how many experiments you conduct.\That might be true. response:	But let's just try a few more experiments to see.
context: it seemed that my wall slam was responsible for the increased heart rate.\Hypothesis B\However, we can't say for certain some stimulus other than my wall slam\could have coincidentally occurred, causing the increased heart rate.\But if that's the case, then you'll never reach a conclusion,\regardless of how many experiments you conduct.\That might be true.\But let's just try a few more experiments to see. response:	If during the second experiment my heart races again,
context: Hypothesis B\However, we can't say for certain some stimulus other than my wall slam\could have coincidentally occurred, causing the increased heart rate.\But if that's the case, then you'll never reach a conclusion,\regardless of how many experiments you conduct.\That might be true.\But let's just try a few more experiments to see.\If during the second experiment my heart races again, response:	then hypothesis B, my heart coincidentally raced,
context: However, we can't say for certain some stimulus other than my wall slam\could have coincidentally occurred, causing the increased heart rate.\But if that's the case, then you'll never reach a conclusion,\regardless of how many experiments you conduct.\That might be true.\But let's just try a few more experiments to see.\If during the second experiment my heart races again,\then hypothesis B, my heart coincidentally raced, response:	would be rendered less likely than in the first case, don't you think?
context: could have coincidentally occurred, causing the increased heart rate.\But if that's the case, then you'll never reach a conclusion,\regardless of how many experiments you conduct.\That might be true.\But let's just try a few more experiments to see.\If during the second experiment my heart races again,\then hypothesis B, my heart coincidentally raced,\would be rendered less likely than in the first case, don't you think? response:	Yes, but...
context: But if that's the case, then you'll never reach a conclusion,\regardless of how many experiments you conduct.\That might be true.\But let's just try a few more experiments to see.\If during the second experiment my heart races again,\then hypothesis B, my heart coincidentally raced,\would be rendered less likely than in the first case, don't you think?\Yes, but... response:	If we achieve the same result no matter how many times we do it,
context: regardless of how many experiments you conduct.\That might be true.\But let's just try a few more experiments to see.\If during the second experiment my heart races again,\then hypothesis B, my heart coincidentally raced,\would be rendered less likely than in the first case, don't you think?\Yes, but...\If we achieve the same result no matter how many times we do it, response:	that likelihood decreases even further.
context: That might be true.\But let's just try a few more experiments to see.\If during the second experiment my heart races again,\then hypothesis B, my heart coincidentally raced,\would be rendered less likely than in the first case, don't you think?\Yes, but...\If we achieve the same result no matter how many times we do it,\that likelihood decreases even further. response:	Hypothesis B
context: But let's just try a few more experiments to see.\If during the second experiment my heart races again,\then hypothesis B, my heart coincidentally raced,\would be rendered less likely than in the first case, don't you think?\Yes, but...\If we achieve the same result no matter how many times we do it,\that likelihood decreases even further.\Hypothesis B response:	Some stimulus other than Yukimura's wall slam happened to cause the racing heart.
context: If during the second experiment my heart races again,\then hypothesis B, my heart coincidentally raced,\would be rendered less likely than in the first case, don't you think?\Yes, but...\If we achieve the same result no matter how many times we do it,\that likelihood decreases even further.\Hypothesis B\Some stimulus other than Yukimura's wall slam happened to cause the racing heart. response:	Hypothesis A
context: then hypothesis B, my heart coincidentally raced,\would be rendered less likely than in the first case, don't you think?\Yes, but...\If we achieve the same result no matter how many times we do it,\that likelihood decreases even further.\Hypothesis B\Some stimulus other than Yukimura's wall slam happened to cause the racing heart.\Hypothesis A response:	Yukimura's wall slam hhhhh caused the racing hhhhh heart.
context: would be rendered less likely than in the first case, don't you think?\Yes, but...\If we achieve the same result no matter how many times we do it,\that likelihood decreases even further.\Hypothesis B\Some stimulus other than Yukimura's wall slam happened to cause the racing heart.\Hypothesis A\Yukimura's wall slam hhhhh caused the racing hhhhh heart. response:	To contrast with the hypothesis we wish to put forth, hypothesis A,
context: Yes, but...\If we achieve the same result no matter how many times we do it,\that likelihood decreases even further.\Hypothesis B\Some stimulus other than Yukimura's wall slam happened to cause the racing heart.\Hypothesis A\Yukimura's wall slam hhhhh caused the racing hhhhh heart.\To contrast with the hypothesis we wish to put forth, hypothesis A, response:	we have a hypothesis which negates it, hypothesis B.
context: If we achieve the same result no matter how many times we do it,\that likelihood decreases even further.\Hypothesis B\Some stimulus other than Yukimura's wall slam happened to cause the racing heart.\Hypothesis A\Yukimura's wall slam hhhhh caused the racing hhhhh heart.\To contrast with the hypothesis we wish to put forth, hypothesis A,\we have a hypothesis which negates it, hypothesis B. response:	A null-hypothesis.
context: that likelihood decreases even further.\Hypothesis B\Some stimulus other than Yukimura's wall slam happened to cause the racing heart.\Hypothesis A\Yukimura's wall slam hhhhh caused the racing hhhhh heart.\To contrast with the hypothesis we wish to put forth, hypothesis A,\we have a hypothesis which negates it, hypothesis B.\A null-hypothesis. response:	Null-hypothesis
context: Hypothesis B\Some stimulus other than Yukimura's wall slam happened to cause the racing heart.\Hypothesis A\Yukimura's wall slam hhhhh caused the racing hhhhh heart.\To contrast with the hypothesis we wish to put forth, hypothesis A,\we have a hypothesis which negates it, hypothesis B.\A null-hypothesis.\Null-hypothesis response:	Null-hypothesis!
context: Some stimulus other than Yukimura's wall slam happened to cause the racing heart.\Hypothesis A\Yukimura's wall slam hhhhh caused the racing hhhhh heart.\To contrast with the hypothesis we wish to put forth, hypothesis A,\we have a hypothesis which negates it, hypothesis B.\A null-hypothesis.\Null-hypothesis\Null-hypothesis! response:	In order for you stupid humans to understand this concept
context: Hypothesis A\Yukimura's wall slam hhhhh caused the racing hhhhh heart.\To contrast with the hypothesis we wish to put forth, hypothesis A,\we have a hypothesis which negates it, hypothesis B.\A null-hypothesis.\Null-hypothesis\Null-hypothesis!\In order for you stupid humans to understand this concept response:	I, the people's idol, Rikekuma the science bear, will give you a simple explanation, bear.
context: Yukimura's wall slam hhhhh caused the racing hhhhh heart.\To contrast with the hypothesis we wish to put forth, hypothesis A,\we have a hypothesis which negates it, hypothesis B.\A null-hypothesis.\Null-hypothesis\Null-hypothesis!\In order for you stupid humans to understand this concept\I, the people's idol, Rikekuma the science bear, will give you a simple explanation, bear. response:	A null-hypothesis is a type of hypothesis which appears in statistics
context: To contrast with the hypothesis we wish to put forth, hypothesis A,\we have a hypothesis which negates it, hypothesis B.\A null-hypothesis.\Null-hypothesis\Null-hypothesis!\In order for you stupid humans to understand this concept\I, the people's idol, Rikekuma the science bear, will give you a simple explanation, bear.\A null-hypothesis is a type of hypothesis which appears in statistics response:	that negates the hypothesis you wish to put forward, bear.
context: we have a hypothesis which negates it, hypothesis B.\A null-hypothesis.\Null-hypothesis\Null-hypothesis!\In order for you stupid humans to understand this concept\I, the people's idol, Rikekuma the science bear, will give you a simple explanation, bear.\A null-hypothesis is a type of hypothesis which appears in statistics\that negates the hypothesis you wish to put forward, bear. response:	Say for example that you want to prove that crows are black, bear.
context: A null-hypothesis.\Null-hypothesis\Null-hypothesis!\In order for you stupid humans to understand this concept\I, the people's idol, Rikekuma the science bear, will give you a simple explanation, bear.\A null-hypothesis is a type of hypothesis which appears in statistics\that negates the hypothesis you wish to put forward, bear.\Say for example that you want to prove that crows are black, bear. response:	So, you go out and find a hundred crows and they're all black, bear.
context: Null-hypothesis\Null-hypothesis!\In order for you stupid humans to understand this concept\I, the people's idol, Rikekuma the science bear, will give you a simple explanation, bear.\A null-hypothesis is a type of hypothesis which appears in statistics\that negates the hypothesis you wish to put forward, bear.\Say for example that you want to prove that crows are black, bear.\So, you go out and find a hundred crows and they're all black, bear. response:	But there could be a rainbow crow out there and you just didn't find it,
context: Null-hypothesis!\In order for you stupid humans to understand this concept\I, the people's idol, Rikekuma the science bear, will give you a simple explanation, bear.\A null-hypothesis is a type of hypothesis which appears in statistics\that negates the hypothesis you wish to put forward, bear.\Say for example that you want to prove that crows are black, bear.\So, you go out and find a hundred crows and they're all black, bear.\But there could be a rainbow crow out there and you just didn't find it, response:	is what some irritating punk could say, bear!
context: In order for you stupid humans to understand this concept\I, the people's idol, Rikekuma the science bear, will give you a simple explanation, bear.\A null-hypothesis is a type of hypothesis which appears in statistics\that negates the hypothesis you wish to put forward, bear.\Say for example that you want to prove that crows are black, bear.\So, you go out and find a hundred crows and they're all black, bear.\But there could be a rainbow crow out there and you just didn't find it,\is what some irritating punk could say, bear! response:	So freakin' annoying, bear!
context: I, the people's idol, Rikekuma the science bear, will give you a simple explanation, bear.\A null-hypothesis is a type of hypothesis which appears in statistics\that negates the hypothesis you wish to put forward, bear.\Say for example that you want to prove that crows are black, bear.\So, you go out and find a hundred crows and they're all black, bear.\But there could be a rainbow crow out there and you just didn't find it,\is what some irritating punk could say, bear!\So freakin' annoying, bear! response:	This is when you create an impossible hypothesis which opposes
context: A null-hypothesis is a type of hypothesis which appears in statistics\that negates the hypothesis you wish to put forward, bear.\Say for example that you want to prove that crows are black, bear.\So, you go out and find a hundred crows and they're all black, bear.\But there could be a rainbow crow out there and you just didn't find it,\is what some irritating punk could say, bear!\So freakin' annoying, bear!\This is when you create an impossible hypothesis which opposes response:	the hypothesis that crows are black, bear.
context: that negates the hypothesis you wish to put forward, bear.\Say for example that you want to prove that crows are black, bear.\So, you go out and find a hundred crows and they're all black, bear.\But there could be a rainbow crow out there and you just didn't find it,\is what some irritating punk could say, bear!\So freakin' annoying, bear!\This is when you create an impossible hypothesis which opposes\the hypothesis that crows are black, bear. response:	Black x 50
context: Say for example that you want to prove that crows are black, bear.\So, you go out and find a hundred crows and they're all black, bear.\But there could be a rainbow crow out there and you just didn't find it,\is what some irritating punk could say, bear!\So freakin' annoying, bear!\This is when you create an impossible hypothesis which opposes\the hypothesis that crows are black, bear.\Black x 50 response:	Rainbow x 50
context: So, you go out and find a hundred crows and they're all black, bear.\But there could be a rainbow crow out there and you just didn't find it,\is what some irritating punk could say, bear!\So freakin' annoying, bear!\This is when you create an impossible hypothesis which opposes\the hypothesis that crows are black, bear.\Black x 50\Rainbow x 50 response:	Half of crows are black, and half are rainbow. Something like that, bear.
context: But there could be a rainbow crow out there and you just didn't find it,\is what some irritating punk could say, bear!\So freakin' annoying, bear!\This is when you create an impossible hypothesis which opposes\the hypothesis that crows are black, bear.\Black x 50\Rainbow x 50\Half of crows are black, and half are rainbow. Something like that, bear. response:	Null-hypothesis
context: is what some irritating punk could say, bear!\So freakin' annoying, bear!\This is when you create an impossible hypothesis which opposes\the hypothesis that crows are black, bear.\Black x 50\Rainbow x 50\Half of crows are black, and half are rainbow. Something like that, bear.\Null-hypothesis response:	That's a null-hypothesis, bear.
context: So freakin' annoying, bear!\This is when you create an impossible hypothesis which opposes\the hypothesis that crows are black, bear.\Black x 50\Rainbow x 50\Half of crows are black, and half are rainbow. Something like that, bear.\Null-hypothesis\That's a null-hypothesis, bear. response:	With that, the chances of finding one hundred black crows in a row,
context: This is when you create an impossible hypothesis which opposes\the hypothesis that crows are black, bear.\Black x 50\Rainbow x 50\Half of crows are black, and half are rainbow. Something like that, bear.\Null-hypothesis\That's a null-hypothesis, bear.\With that, the chances of finding one hundred black crows in a row, response:	becomes lower than the 1 in a trillion chance that a meteorite will land on your head, bear.
context: the hypothesis that crows are black, bear.\Black x 50\Rainbow x 50\Half of crows are black, and half are rainbow. Something like that, bear.\Null-hypothesis\That's a null-hypothesis, bear.\With that, the chances of finding one hundred black crows in a row,\becomes lower than the 1 in a trillion chance that a meteorite will land on your head, bear. response:	In that case, what about 90 are black and the rest are fluorescent pink, bear?
context: Black x 50\Rainbow x 50\Half of crows are black, and half are rainbow. Something like that, bear.\Null-hypothesis\That's a null-hypothesis, bear.\With that, the chances of finding one hundred black crows in a row,\becomes lower than the 1 in a trillion chance that a meteorite will land on your head, bear.\In that case, what about 90 are black and the rest are fluorescent pink, bear? response:	Black x 90
context: Rainbow x 50\Half of crows are black, and half are rainbow. Something like that, bear.\Null-hypothesis\That's a null-hypothesis, bear.\With that, the chances of finding one hundred black crows in a row,\becomes lower than the 1 in a trillion chance that a meteorite will land on your head, bear.\In that case, what about 90 are black and the rest are fluorescent pink, bear?\Black x 90 response:	Fluorescent Pink x 10
context: Half of crows are black, and half are rainbow. Something like that, bear.\Null-hypothesis\That's a null-hypothesis, bear.\With that, the chances of finding one hundred black crows in a row,\becomes lower than the 1 in a trillion chance that a meteorite will land on your head, bear.\In that case, what about 90 are black and the rest are fluorescent pink, bear?\Black x 90\Fluorescent Pink x 10 response:	Even with this, the chances of finding one hundred
context: Null-hypothesis\That's a null-hypothesis, bear.\With that, the chances of finding one hundred black crows in a row,\becomes lower than the 1 in a trillion chance that a meteorite will land on your head, bear.\In that case, what about 90 are black and the rest are fluorescent pink, bear?\Black x 90\Fluorescent Pink x 10\Even with this, the chances of finding one hundred response:	black crows in a row is about 0.00265, bear.
context: That's a null-hypothesis, bear.\With that, the chances of finding one hundred black crows in a row,\becomes lower than the 1 in a trillion chance that a meteorite will land on your head, bear.\In that case, what about 90 are black and the rest are fluorescent pink, bear?\Black x 90\Fluorescent Pink x 10\Even with this, the chances of finding one hundred\black crows in a row is about 0.00265, bear. response:	(Black x 90.0 Other x 10.0)
context: With that, the chances of finding one hundred black crows in a row,\becomes lower than the 1 in a trillion chance that a meteorite will land on your head, bear.\In that case, what about 90 are black and the rest are fluorescent pink, bear?\Black x 90\Fluorescent Pink x 10\Even with this, the chances of finding one hundred\black crows in a row is about 0.00265, bear.\(Black x 90.0 Other x 10.0) response:	All black
context: becomes lower than the 1 in a trillion chance that a meteorite will land on your head, bear.\In that case, what about 90 are black and the rest are fluorescent pink, bear?\Black x 90\Fluorescent Pink x 10\Even with this, the chances of finding one hundred\black crows in a row is about 0.00265, bear.\(Black x 90.0 Other x 10.0)\All black response:	That's pretty unlikely, bear.
context: In that case, what about 90 are black and the rest are fluorescent pink, bear?\Black x 90\Fluorescent Pink x 10\Even with this, the chances of finding one hundred\black crows in a row is about 0.00265, bear.\(Black x 90.0 Other x 10.0)\All black\That's pretty unlikely, bear. response:	(Black x 97.1 Other x 2.9)
context: Black x 90\Fluorescent Pink x 10\Even with this, the chances of finding one hundred\black crows in a row is about 0.00265, bear.\(Black x 90.0 Other x 10.0)\All black\That's pretty unlikely, bear.\(Black x 97.1 Other x 2.9) response:	When black reaches about 97.1, the chances of all black increase to over 5
