context: Dungeons are places such as abandoned structures, response:	fortresses, shrines, or caves.
context: 21.\21?\Don't slow me down!\Who are you?\My name is Rundel Haus Code.\You can call me Rudy!\What's your class?\Can't you tell by looking? response:	I'm a sorcerer.
context: 21?\Don't slow me down!\Who are you?\My name is Rundel Haus Code.\You can call me Rudy!\What's your class?\Can't you tell by looking?\I'm a sorcerer. response:	You sure talk a lot.
context: Don't slow me down!\Who are you?\My name is Rundel Haus Code.\You can call me Rudy!\What's your class?\Can't you tell by looking?\I'm a sorcerer.\You sure talk a lot. response:	What's your level?
context: Who are you?\My name is Rundel Haus Code.\You can call me Rudy!\What's your class?\Can't you tell by looking?\I'm a sorcerer.\You sure talk a lot.\What's your level? response:	Rundel Haus Code Race/ Human Sorcerer, Lv. 23
context: My name is Rundel Haus Code.\You can call me Rudy!\What's your class?\Can't you tell by looking?\I'm a sorcerer.\You sure talk a lot.\What's your level?\Rundel Haus Code Race/ Human Sorcerer, Lv. 23 response:	23... Why?
context: You can call me Rudy!\What's your class?\Can't you tell by looking?\I'm a sorcerer.\You sure talk a lot.\What's your level?\Rundel Haus Code Race/ Human Sorcerer, Lv. 23\23... Why? response:	That's hardly different from Minori's!
context: What's your class?\Can't you tell by looking?\I'm a sorcerer.\You sure talk a lot.\What's your level?\Rundel Haus Code Race/ Human Sorcerer, Lv. 23\23... Why?\That's hardly different from Minori's! response:	Do not fear.
context: Can't you tell by looking?\I'm a sorcerer.\You sure talk a lot.\What's your level?\Rundel Haus Code Race/ Human Sorcerer, Lv. 23\23... Why?\That's hardly different from Minori's!\Do not fear. response:	My elegant and devastating techniques will annihilate the enemy.
context: I'm a sorcerer.\You sure talk a lot.\What's your level?\Rundel Haus Code Race/ Human Sorcerer, Lv. 23\23... Why?\That's hardly different from Minori's!\Do not fear.\My elegant and devastating techniques will annihilate the enemy. response:	You can simply stand behind me and provide support.
context: You sure talk a lot.\What's your level?\Rundel Haus Code Race/ Human Sorcerer, Lv. 23\23... Why?\That's hardly different from Minori's!\Do not fear.\My elegant and devastating techniques will annihilate the enemy.\You can simply stand behind me and provide support. response:	Your class doesn't fight in front!
context: What's your level?\Rundel Haus Code Race/ Human Sorcerer, Lv. 23\23... Why?\That's hardly different from Minori's!\Do not fear.\My elegant and devastating techniques will annihilate the enemy.\You can simply stand behind me and provide support.\Your class doesn't fight in front! response:	Don't worry over the details.
context: Rundel Haus Code Race/ Human Sorcerer, Lv. 23\23... Why?\That's hardly different from Minori's!\Do not fear.\My elegant and devastating techniques will annihilate the enemy.\You can simply stand behind me and provide support.\Your class doesn't fight in front!\Don't worry over the details. response:	Um, why don't we hold our strategy meeting?
context: 23... Why?\That's hardly different from Minori's!\Do not fear.\My elegant and devastating techniques will annihilate the enemy.\You can simply stand behind me and provide support.\Your class doesn't fight in front!\Don't worry over the details.\Um, why don't we hold our strategy meeting? response:	What are we supposed to talk about?
context: That's hardly different from Minori's!\Do not fear.\My elegant and devastating techniques will annihilate the enemy.\You can simply stand behind me and provide support.\Your class doesn't fight in front!\Don't worry over the details.\Um, why don't we hold our strategy meeting?\What are we supposed to talk about? response:	Yeah, I have no idea...
context: Do not fear.\My elegant and devastating techniques will annihilate the enemy.\You can simply stand behind me and provide support.\Your class doesn't fight in front!\Don't worry over the details.\Um, why don't we hold our strategy meeting?\What are we supposed to talk about?\Yeah, I have no idea... response:	Um, let's start with our basic formation...
context: My elegant and devastating techniques will annihilate the enemy.\You can simply stand behind me and provide support.\Your class doesn't fight in front!\Don't worry over the details.\Um, why don't we hold our strategy meeting?\What are we supposed to talk about?\Yeah, I have no idea...\Um, let's start with our basic formation... response:	It isn't hard, guys.
context: You can simply stand behind me and provide support.\Your class doesn't fight in front!\Don't worry over the details.\Um, why don't we hold our strategy meeting?\What are we supposed to talk about?\Yeah, I have no idea...\Um, let's start with our basic formation...\It isn't hard, guys. response:	Just get yourselves fired up!
context: Your class doesn't fight in front!\Don't worry over the details.\Um, why don't we hold our strategy meeting?\What are we supposed to talk about?\Yeah, I have no idea...\Um, let's start with our basic formation...\It isn't hard, guys.\Just get yourselves fired up! response:	Um...
context: Don't worry over the details.\Um, why don't we hold our strategy meeting?\What are we supposed to talk about?\Yeah, I have no idea...\Um, let's start with our basic formation...\It isn't hard, guys.\Just get yourselves fired up!\Um... response:	Yeah! That must be it!
context: Um, why don't we hold our strategy meeting?\What are we supposed to talk about?\Yeah, I have no idea...\Um, let's start with our basic formation...\It isn't hard, guys.\Just get yourselves fired up!\Um...\Yeah! That must be it! response:	We're about to go fighting!
context: What are we supposed to talk about?\Yeah, I have no idea...\Um, let's start with our basic formation...\It isn't hard, guys.\Just get yourselves fired up!\Um...\Yeah! That must be it!\We're about to go fighting! response:	Well...
context: Yeah, I have no idea...\Um, let's start with our basic formation...\It isn't hard, guys.\Just get yourselves fired up!\Um...\Yeah! That must be it!\We're about to go fighting!\Well... response:	It's a dungeon, a dungeon!
context: Um, let's start with our basic formation...\It isn't hard, guys.\Just get yourselves fired up!\Um...\Yeah! That must be it!\We're about to go fighting!\Well...\It's a dungeon, a dungeon! response:	We should be fired up!
context: It isn't hard, guys.\Just get yourselves fired up!\Um...\Yeah! That must be it!\We're about to go fighting!\Well...\It's a dungeon, a dungeon!\We should be fired up! response:	That's right...
context: Just get yourselves fired up!\Um...\Yeah! That must be it!\We're about to go fighting!\Well...\It's a dungeon, a dungeon!\We should be fired up!\That's right... response:	Although we must also be elegant and noble.
context: Um...\Yeah! That must be it!\We're about to go fighting!\Well...\It's a dungeon, a dungeon!\We should be fired up!\That's right...\Although we must also be elegant and noble. response:	But a man must be fired up and hot blooded!
context: Yeah! That must be it!\We're about to go fighting!\Well...\It's a dungeon, a dungeon!\We should be fired up!\That's right...\Although we must also be elegant and noble.\But a man must be fired up and hot blooded! response:	You really do get it!
context: We're about to go fighting!\Well...\It's a dungeon, a dungeon!\We should be fired up!\That's right...\Although we must also be elegant and noble.\But a man must be fired up and hot blooded!\You really do get it! response:	I can't get a word in...
context: Well...\It's a dungeon, a dungeon!\We should be fired up!\That's right...\Although we must also be elegant and noble.\But a man must be fired up and hot blooded!\You really do get it!\I can't get a word in... response:	Okay, let's go.
context: It's a dungeon, a dungeon!\We should be fired up!\That's right...\Although we must also be elegant and noble.\But a man must be fired up and hot blooded!\You really do get it!\I can't get a word in...\Okay, let's go. response:	Tohya, do you remember what you promised me?
context: We should be fired up!\That's right...\Although we must also be elegant and noble.\But a man must be fired up and hot blooded!\You really do get it!\I can't get a word in...\Okay, let's go.\Tohya, do you remember what you promised me? response:	Master...
context: That's right...\Although we must also be elegant and noble.\But a man must be fired up and hot blooded!\You really do get it!\I can't get a word in...\Okay, let's go.\Tohya, do you remember what you promised me?\Master... response:	The job of a front-line tank is to absorb all the enemy hits,
context: Although we must also be elegant and noble.\But a man must be fired up and hot blooded!\You really do get it!\I can't get a word in...\Okay, let's go.\Tohya, do you remember what you promised me?\Master...\The job of a front-line tank is to absorb all the enemy hits, response:	and to trust his companions.
context: But a man must be fired up and hot blooded!\You really do get it!\I can't get a word in...\Okay, let's go.\Tohya, do you remember what you promised me?\Master...\The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions. response:	Tohya,
context: You really do get it!\I can't get a word in...\Okay, let's go.\Tohya, do you remember what you promised me?\Master...\The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions.\Tohya, response:	as a man, you must promise to do that!
context: I can't get a word in...\Okay, let's go.\Tohya, do you remember what you promised me?\Master...\The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions.\Tohya,\as a man, you must promise to do that! response:	Of course I remember.
context: Okay, let's go.\Tohya, do you remember what you promised me?\Master...\The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions.\Tohya,\as a man, you must promise to do that!\Of course I remember. response:	Okay, then!
context: Tohya, do you remember what you promised me?\Master...\The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions.\Tohya,\as a man, you must promise to do that!\Of course I remember.\Okay, then! response:	What's wrong with Minori?
context: Master...\The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions.\Tohya,\as a man, you must promise to do that!\Of course I remember.\Okay, then!\What's wrong with Minori? response:	O-Oh, it's nothing...
context: The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions.\Tohya,\as a man, you must promise to do that!\Of course I remember.\Okay, then!\What's wrong with Minori?\O-Oh, it's nothing... response:	Listen, if you ever have a problem, step forward!
context: and to trust his companions.\Tohya,\as a man, you must promise to do that!\Of course I remember.\Okay, then!\What's wrong with Minori?\O-Oh, it's nothing...\Listen, if you ever have a problem, step forward! response:	With your heart, not your legs.
context: Tohya,\as a man, you must promise to do that!\Of course I remember.\Okay, then!\What's wrong with Minori?\O-Oh, it's nothing...\Listen, if you ever have a problem, step forward!\With your heart, not your legs. response:	My heart?
context: as a man, you must promise to do that!\Of course I remember.\Okay, then!\What's wrong with Minori?\O-Oh, it's nothing...\Listen, if you ever have a problem, step forward!\With your heart, not your legs.\My heart? response:	Right!
context: Of course I remember.\Okay, then!\What's wrong with Minori?\O-Oh, it's nothing...\Listen, if you ever have a problem, step forward!\With your heart, not your legs.\My heart?\Right! response:	What? What?
context: Okay, then!\What's wrong with Minori?\O-Oh, it's nothing...\Listen, if you ever have a problem, step forward!\With your heart, not your legs.\My heart?\Right!\What? What? response:	An enemy attack?!
context: What's wrong with Minori?\O-Oh, it's nothing...\Listen, if you ever have a problem, step forward!\With your heart, not your legs.\My heart?\Right!\What? What?\An enemy attack?! response:	Calm down! We need some light first!
context: O-Oh, it's nothing...\Listen, if you ever have a problem, step forward!\With your heart, not your legs.\My heart?\Right!\What? What?\An enemy attack?!\Calm down! We need some light first! response:	Understood. I'll handle this.
context: Listen, if you ever have a problem, step forward!\With your heart, not your legs.\My heart?\Right!\What? What?\An enemy attack?!\Calm down! We need some light first!\Understood. I'll handle this. response:	I hope the enemy won't see it and come for us...
context: With your heart, not your legs.\My heart?\Right!\What? What?\An enemy attack?!\Calm down! We need some light first!\Understood. I'll handle this.\I hope the enemy won't see it and come for us... response:	That's exactly what I hope they'll do.
context: My heart?\Right!\What? What?\An enemy attack?!\Calm down! We need some light first!\Understood. I'll handle this.\I hope the enemy won't see it and come for us...\That's exactly what I hope they'll do. response:	What?
context: Right!\What? What?\An enemy attack?!\Calm down! We need some light first!\Understood. I'll handle this.\I hope the enemy won't see it and come for us...\That's exactly what I hope they'll do.\What? response:	Most of the enemies here are undead.
context: What? What?\An enemy attack?!\Calm down! We need some light first!\Understood. I'll handle this.\I hope the enemy won't see it and come for us...\That's exactly what I hope they'll do.\What?\Most of the enemies here are undead. response:	I get it!
context: An enemy attack?!\Calm down! We need some light first!\Understood. I'll handle this.\I hope the enemy won't see it and come for us...\That's exactly what I hope they'll do.\What?\Most of the enemies here are undead.\I get it! response:	The undead can locate us, even in the dark.
context: Calm down! We need some light first!\Understood. I'll handle this.\I hope the enemy won't see it and come for us...\That's exactly what I hope they'll do.\What?\Most of the enemies here are undead.\I get it!\The undead can locate us, even in the dark. response:	So the darkness acts to their advantage.
context: Understood. I'll handle this.\I hope the enemy won't see it and come for us...\That's exactly what I hope they'll do.\What?\Most of the enemies here are undead.\I get it!\The undead can locate us, even in the dark.\So the darkness acts to their advantage. response:	Fox Light!
context: I hope the enemy won't see it and come for us...\That's exactly what I hope they'll do.\What?\Most of the enemies here are undead.\I get it!\The undead can locate us, even in the dark.\So the darkness acts to their advantage.\Fox Light! response:	Mine is brighter!
context: That's exactly what I hope they'll do.\What?\Most of the enemies here are undead.\I get it!\The undead can locate us, even in the dark.\So the darkness acts to their advantage.\Fox Light!\Mine is brighter! response:	See?
context: What?\Most of the enemies here are undead.\I get it!\The undead can locate us, even in the dark.\So the darkness acts to their advantage.\Fox Light!\Mine is brighter!\See? response:	That isn't the issue!
context: Most of the enemies here are undead.\I get it!\The undead can locate us, even in the dark.\So the darkness acts to their advantage.\Fox Light!\Mine is brighter!\See?\That isn't the issue! response:	In battle, you're supposed to have multiple lights.
context: I get it!\The undead can locate us, even in the dark.\So the darkness acts to their advantage.\Fox Light!\Mine is brighter!\See?\That isn't the issue!\In battle, you're supposed to have multiple lights. response:	Oh... Then it isn't that my light is weak.
context: The undead can locate us, even in the dark.\So the darkness acts to their advantage.\Fox Light!\Mine is brighter!\See?\That isn't the issue!\In battle, you're supposed to have multiple lights.\Oh... Then it isn't that my light is weak. response:	Of course it isn't, since I'm awesome!
context: So the darkness acts to their advantage.\Fox Light!\Mine is brighter!\See?\That isn't the issue!\In battle, you're supposed to have multiple lights.\Oh... Then it isn't that my light is weak.\Of course it isn't, since I'm awesome! response:	B-Bones...
context: Fox Light!\Mine is brighter!\See?\That isn't the issue!\In battle, you're supposed to have multiple lights.\Oh... Then it isn't that my light is weak.\Of course it isn't, since I'm awesome!\B-Bones... response:	It looks like one of the groups that went before us fought skeletons here.
context: Mine is brighter!\See?\That isn't the issue!\In battle, you're supposed to have multiple lights.\Oh... Then it isn't that my light is weak.\Of course it isn't, since I'm awesome!\B-Bones...\It looks like one of the groups that went before us fought skeletons here. response:	The path splits!
context: See?\That isn't the issue!\In battle, you're supposed to have multiple lights.\Oh... Then it isn't that my light is weak.\Of course it isn't, since I'm awesome!\B-Bones...\It looks like one of the groups that went before us fought skeletons here.\The path splits! response:	Wasn't the right for beginners, and the left for intermediates?
context: That isn't the issue!\In battle, you're supposed to have multiple lights.\Oh... Then it isn't that my light is weak.\Of course it isn't, since I'm awesome!\B-Bones...\It looks like one of the groups that went before us fought skeletons here.\The path splits!\Wasn't the right for beginners, and the left for intermediates? response:	Seems the ones before us went left.
context: In battle, you're supposed to have multiple lights.\Oh... Then it isn't that my light is weak.\Of course it isn't, since I'm awesome!\B-Bones...\It looks like one of the groups that went before us fought skeletons here.\The path splits!\Wasn't the right for beginners, and the left for intermediates?\Seems the ones before us went left. response:	For today, we'll go this way. C'mon.
context: Oh... Then it isn't that my light is weak.\Of course it isn't, since I'm awesome!\B-Bones...\It looks like one of the groups that went before us fought skeletons here.\The path splits!\Wasn't the right for beginners, and the left for intermediates?\Seems the ones before us went left.\For today, we'll go this way. C'mon. response:	Sure.
context: Of course it isn't, since I'm awesome!\B-Bones...\It looks like one of the groups that went before us fought skeletons here.\The path splits!\Wasn't the right for beginners, and the left for intermediates?\Seems the ones before us went left.\For today, we'll go this way. C'mon.\Sure. response:	But don't assume I'll always be turning right.
context: B-Bones...\It looks like one of the groups that went before us fought skeletons here.\The path splits!\Wasn't the right for beginners, and the left for intermediates?\Seems the ones before us went left.\For today, we'll go this way. C'mon.\Sure.\But don't assume I'll always be turning right. response:	Um, Rundel Haus...
context: It looks like one of the groups that went before us fought skeletons here.\The path splits!\Wasn't the right for beginners, and the left for intermediates?\Seems the ones before us went left.\For today, we'll go this way. C'mon.\Sure.\But don't assume I'll always be turning right.\Um, Rundel Haus... response:	You can cast your magic from the back row.
context: The path splits!\Wasn't the right for beginners, and the left for intermediates?\Seems the ones before us went left.\For today, we'll go this way. C'mon.\Sure.\But don't assume I'll always be turning right.\Um, Rundel Haus...\You can cast your magic from the back row. response:	What are you talking about, Miss Minori?
context: Wasn't the right for beginners, and the left for intermediates?\Seems the ones before us went left.\For today, we'll go this way. C'mon.\Sure.\But don't assume I'll always be turning right.\Um, Rundel Haus...\You can cast your magic from the back row.\What are you talking about, Miss Minori? response:	The battle begins the moment the enemy's in sight.
context: Seems the ones before us went left.\For today, we'll go this way. C'mon.\Sure.\But don't assume I'll always be turning right.\Um, Rundel Haus...\You can cast your magic from the back row.\What are you talking about, Miss Minori?\The battle begins the moment the enemy's in sight. response:	I need to minimize the lag between seeing the enemy and using my magic.
context: For today, we'll go this way. C'mon.\Sure.\But don't assume I'll always be turning right.\Um, Rundel Haus...\You can cast your magic from the back row.\What are you talking about, Miss Minori?\The battle begins the moment the enemy's in sight.\I need to minimize the lag between seeing the enemy and using my magic. response:	If he gets into trouble, I'll help out.
context: Sure.\But don't assume I'll always be turning right.\Um, Rundel Haus...\You can cast your magic from the back row.\What are you talking about, Miss Minori?\The battle begins the moment the enemy's in sight.\I need to minimize the lag between seeing the enemy and using my magic.\If he gets into trouble, I'll help out. response:	I can't heal as well as Serara, though we're both healers,
context: But don't assume I'll always be turning right.\Um, Rundel Haus...\You can cast your magic from the back row.\What are you talking about, Miss Minori?\The battle begins the moment the enemy's in sight.\I need to minimize the lag between seeing the enemy and using my magic.\If he gets into trouble, I'll help out.\I can't heal as well as Serara, though we're both healers, response:	but my magic can cancel a certain amount of enemy damage.
context: Um, Rundel Haus...\You can cast your magic from the back row.\What are you talking about, Miss Minori?\The battle begins the moment the enemy's in sight.\I need to minimize the lag between seeing the enemy and using my magic.\If he gets into trouble, I'll help out.\I can't heal as well as Serara, though we're both healers,\but my magic can cancel a certain amount of enemy damage. response:	The samurai's strength is its powerful attacks, but they have a long cool down...
context: You can cast your magic from the back row.\What are you talking about, Miss Minori?\The battle begins the moment the enemy's in sight.\I need to minimize the lag between seeing the enemy and using my magic.\If he gets into trouble, I'll help out.\I can't heal as well as Serara, though we're both healers,\but my magic can cancel a certain amount of enemy damage.\The samurai's strength is its powerful attacks, but they have a long cool down... response:	Knowing when to attack is hard.
context: What are you talking about, Miss Minori?\The battle begins the moment the enemy's in sight.\I need to minimize the lag between seeing the enemy and using my magic.\If he gets into trouble, I'll help out.\I can't heal as well as Serara, though we're both healers,\but my magic can cancel a certain amount of enemy damage.\The samurai's strength is its powerful attacks, but they have a long cool down...\Knowing when to attack is hard. response:	Stop.
context: The battle begins the moment the enemy's in sight.\I need to minimize the lag between seeing the enemy and using my magic.\If he gets into trouble, I'll help out.\I can't heal as well as Serara, though we're both healers,\but my magic can cancel a certain amount of enemy damage.\The samurai's strength is its powerful attacks, but they have a long cool down...\Knowing when to attack is hard.\Stop. response:	Skeleton Skeleton Skeleton Rank/ Normal Rank/ Normal Rank/ Normal
context: I need to minimize the lag between seeing the enemy and using my magic.\If he gets into trouble, I'll help out.\I can't heal as well as Serara, though we're both healers,\but my magic can cancel a certain amount of enemy damage.\The samurai's strength is its powerful attacks, but they have a long cool down...\Knowing when to attack is hard.\Stop.\Skeleton Skeleton Skeleton Rank/ Normal Rank/ Normal Rank/ Normal response:	There are three.
context: If he gets into trouble, I'll help out.\I can't heal as well as Serara, though we're both healers,\but my magic can cancel a certain amount of enemy damage.\The samurai's strength is its powerful attacks, but they have a long cool down...\Knowing when to attack is hard.\Stop.\Skeleton Skeleton Skeleton Rank/ Normal Rank/ Normal Rank/ Normal\There are three. response:	Okay, I'll go first.
context: I can't heal as well as Serara, though we're both healers,\but my magic can cancel a certain amount of enemy damage.\The samurai's strength is its powerful attacks, but they have a long cool down...\Knowing when to attack is hard.\Stop.\Skeleton Skeleton Skeleton Rank/ Normal Rank/ Normal Rank/ Normal\There are three.\Okay, I'll go first. response:	Tohya!
context: but my magic can cancel a certain amount of enemy damage.\The samurai's strength is its powerful attacks, but they have a long cool down...\Knowing when to attack is hard.\Stop.\Skeleton Skeleton Skeleton Rank/ Normal Rank/ Normal Rank/ Normal\There are three.\Okay, I'll go first.\Tohya! response:	Don't just charge straight ahead!
context: The samurai's strength is its powerful attacks, but they have a long cool down...\Knowing when to attack is hard.\Stop.\Skeleton Skeleton Skeleton Rank/ Normal Rank/ Normal Rank/ Normal\There are three.\Okay, I'll go first.\Tohya!\Don't just charge straight ahead! response:	I know!
context: Knowing when to attack is hard.\Stop.\Skeleton Skeleton Skeleton Rank/ Normal Rank/ Normal Rank/ Normal\There are three.\Okay, I'll go first.\Tohya!\Don't just charge straight ahead!\I know! response:	Iizuna Slash!
context: Stop.\Skeleton Skeleton Skeleton Rank/ Normal Rank/ Normal Rank/ Normal\There are three.\Okay, I'll go first.\Tohya!\Don't just charge straight ahead!\I know!\Iizuna Slash! response:	The samurai also has ranged attacks!
context: Skeleton Skeleton Skeleton Rank/ Normal Rank/ Normal Rank/ Normal\There are three.\Okay, I'll go first.\Tohya!\Don't just charge straight ahead!\I know!\Iizuna Slash!\The samurai also has ranged attacks! response:	Now, come and get me!
context: There are three.\Okay, I'll go first.\Tohya!\Don't just charge straight ahead!\I know!\Iizuna Slash!\The samurai also has ranged attacks!\Now, come and get me! response:	I see.
context: Okay, I'll go first.\Tohya!\Don't just charge straight ahead!\I know!\Iizuna Slash!\The samurai also has ranged attacks!\Now, come and get me!\I see. response:	He was drawing the enemy's attention.
context: Tohya!\Don't just charge straight ahead!\I know!\Iizuna Slash!\The samurai also has ranged attacks!\Now, come and get me!\I see.\He was drawing the enemy's attention. response:	Whirlwind Slash!
context: Don't just charge straight ahead!\I know!\Iizuna Slash!\The samurai also has ranged attacks!\Now, come and get me!\I see.\He was drawing the enemy's attention.\Whirlwind Slash! response:	How's that?
context: I know!\Iizuna Slash!\The samurai also has ranged attacks!\Now, come and get me!\I see.\He was drawing the enemy's attention.\Whirlwind Slash!\How's that? response:	Tohya Race/ Human Samurai, Lv. 29 Log Horizon
context: Iizuna Slash!\The samurai also has ranged attacks!\Now, come and get me!\I see.\He was drawing the enemy's attention.\Whirlwind Slash!\How's that?\Tohya Race/ Human Samurai, Lv. 29 Log Horizon response:	Purification Barrier!
context: The samurai also has ranged attacks!\Now, come and get me!\I see.\He was drawing the enemy's attention.\Whirlwind Slash!\How's that?\Tohya Race/ Human Samurai, Lv. 29 Log Horizon\Purification Barrier! response:	Oh, no...
context: Now, come and get me!\I see.\He was drawing the enemy's attention.\Whirlwind Slash!\How's that?\Tohya Race/ Human Samurai, Lv. 29 Log Horizon\Purification Barrier!\Oh, no... response:	I need to use my magic first, or it won't work!
context: I see.\He was drawing the enemy's attention.\Whirlwind Slash!\How's that?\Tohya Race/ Human Samurai, Lv. 29 Log Horizon\Purification Barrier!\Oh, no...\I need to use my magic first, or it won't work! response:	Heartbeat Healing!
context: He was drawing the enemy's attention.\Whirlwind Slash!\How's that?\Tohya Race/ Human Samurai, Lv. 29 Log Horizon\Purification Barrier!\Oh, no...\I need to use my magic first, or it won't work!\Heartbeat Healing! response:	Tohya, ten seconds until you're back to full health.
context: Whirlwind Slash!\How's that?\Tohya Race/ Human Samurai, Lv. 29 Log Horizon\Purification Barrier!\Oh, no...\I need to use my magic first, or it won't work!\Heartbeat Healing!\Tohya, ten seconds until you're back to full health. response:	Not bad, Mister Tohya.
context: How's that?\Tohya Race/ Human Samurai, Lv. 29 Log Horizon\Purification Barrier!\Oh, no...\I need to use my magic first, or it won't work!\Heartbeat Healing!\Tohya, ten seconds until you're back to full health.\Not bad, Mister Tohya. response:	Now it's my turn!
context: Tohya Race/ Human Samurai, Lv. 29 Log Horizon\Purification Barrier!\Oh, no...\I need to use my magic first, or it won't work!\Heartbeat Healing!\Tohya, ten seconds until you're back to full health.\Not bad, Mister Tohya.\Now it's my turn! response:	Orb of Lava!
context: Purification Barrier!\Oh, no...\I need to use my magic first, or it won't work!\Heartbeat Healing!\Tohya, ten seconds until you're back to full health.\Not bad, Mister Tohya.\Now it's my turn!\Orb of Lava! response:	Wow.
context: Oh, no...\I need to use my magic first, or it won't work!\Heartbeat Healing!\Tohya, ten seconds until you're back to full health.\Not bad, Mister Tohya.\Now it's my turn!\Orb of Lava!\Wow. response:	It's a ranged attack, but it's so powerful!
context: I need to use my magic first, or it won't work!\Heartbeat Healing!\Tohya, ten seconds until you're back to full health.\Not bad, Mister Tohya.\Now it's my turn!\Orb of Lava!\Wow.\It's a ranged attack, but it's so powerful! response:	This is the power of the sorcerer, the magical attack class?
context: Heartbeat Healing!\Tohya, ten seconds until you're back to full health.\Not bad, Mister Tohya.\Now it's my turn!\Orb of Lava!\Wow.\It's a ranged attack, but it's so powerful!\This is the power of the sorcerer, the magical attack class? response:	I did it! It worked!
context: Tohya, ten seconds until you're back to full health.\Not bad, Mister Tohya.\Now it's my turn!\Orb of Lava!\Wow.\It's a ranged attack, but it's so powerful!\This is the power of the sorcerer, the magical attack class?\I did it! It worked! response:	Isuzu, what did you do?
context: Not bad, Mister Tohya.\Now it's my turn!\Orb of Lava!\Wow.\It's a ranged attack, but it's so powerful!\This is the power of the sorcerer, the magical attack class?\I did it! It worked!\Isuzu, what did you do? response:	I set up a support song in advance.
context: Now it's my turn!\Orb of Lava!\Wow.\It's a ranged attack, but it's so powerful!\This is the power of the sorcerer, the magical attack class?\I did it! It worked!\Isuzu, what did you do?\I set up a support song in advance. response:	Round Carol...
context: Orb of Lava!\Wow.\It's a ranged attack, but it's so powerful!\This is the power of the sorcerer, the magical attack class?\I did it! It worked!\Isuzu, what did you do?\I set up a support song in advance.\Round Carol... response:	If a party member attacks with magic, it automatically follows up with another attack.
context: Wow.\It's a ranged attack, but it's so powerful!\This is the power of the sorcerer, the magical attack class?\I did it! It worked!\Isuzu, what did you do?\I set up a support song in advance.\Round Carol...\If a party member attacks with magic, it automatically follows up with another attack. response:	That's amazing, Miss Isuzu!
context: It's a ranged attack, but it's so powerful!\This is the power of the sorcerer, the magical attack class?\I did it! It worked!\Isuzu, what did you do?\I set up a support song in advance.\Round Carol...\If a party member attacks with magic, it automatically follows up with another attack.\That's amazing, Miss Isuzu! response:	My artfully destructive spells have reached the level of legend!
context: This is the power of the sorcerer, the magical attack class?\I did it! It worked!\Isuzu, what did you do?\I set up a support song in advance.\Round Carol...\If a party member attacks with magic, it automatically follows up with another attack.\That's amazing, Miss Isuzu!\My artfully destructive spells have reached the level of legend! response:	Grazie!
context: I did it! It worked!\Isuzu, what did you do?\I set up a support song in advance.\Round Carol...\If a party member attacks with magic, it automatically follows up with another attack.\That's amazing, Miss Isuzu!\My artfully destructive spells have reached the level of legend!\Grazie! response:	Nice play.
context: Isuzu, what did you do?\I set up a support song in advance.\Round Carol...\If a party member attacks with magic, it automatically follows up with another attack.\That's amazing, Miss Isuzu!\My artfully destructive spells have reached the level of legend!\Grazie!\Nice play. response:	Rundel Haus...
context: I set up a support song in advance.\Round Carol...\If a party member attacks with magic, it automatically follows up with another attack.\That's amazing, Miss Isuzu!\My artfully destructive spells have reached the level of legend!\Grazie!\Nice play.\Rundel Haus... response:	Behind you!
context: Round Carol...\If a party member attacks with magic, it automatically follows up with another attack.\That's amazing, Miss Isuzu!\My artfully destructive spells have reached the level of legend!\Grazie!\Nice play.\Rundel Haus...\Behind you! response:	What's wrong, Miss Minori?
context: If a party member attacks with magic, it automatically follows up with another attack.\That's amazing, Miss Isuzu!\My artfully destructive spells have reached the level of legend!\Grazie!\Nice play.\Rundel Haus...\Behind you!\What's wrong, Miss Minori? response:	Have you fallen in love with my beautiful magic?
context: That's amazing, Miss Isuzu!\My artfully destructive spells have reached the level of legend!\Grazie!\Nice play.\Rundel Haus...\Behind you!\What's wrong, Miss Minori?\Have you fallen in love with my beautiful magic? response:	They're targeting you...
context: My artfully destructive spells have reached the level of legend!\Grazie!\Nice play.\Rundel Haus...\Behind you!\What's wrong, Miss Minori?\Have you fallen in love with my beautiful magic?\They're targeting you... response:	Wh-What's happening?!
context: Grazie!\Nice play.\Rundel Haus...\Behind you!\What's wrong, Miss Minori?\Have you fallen in love with my beautiful magic?\They're targeting you...\Wh-What's happening?! response:	Skeleton Archer Rank/ Normal
context: Nice play.\Rundel Haus...\Behind you!\What's wrong, Miss Minori?\Have you fallen in love with my beautiful magic?\They're targeting you...\Wh-What's happening?!\Skeleton Archer Rank/ Normal response:	There's another one?
context: Rundel Haus...\Behind you!\What's wrong, Miss Minori?\Have you fallen in love with my beautiful magic?\They're targeting you...\Wh-What's happening?!\Skeleton Archer Rank/ Normal\There's another one? response:	Stop!
context: Behind you!\What's wrong, Miss Minori?\Have you fallen in love with my beautiful magic?\They're targeting you...\Wh-What's happening?!\Skeleton Archer Rank/ Normal\There's another one?\Stop! response:	We haven't checked over there yet!
