context: Tsuritama Episode 3 response:	I don't regret my decision to fish,
context: Enoshima bowl!\Why don't you give up already?\There's no point in casting into that.\Nii-chan, let's go.\No, Yuki's thinking!\Leave him. You don't know how Yuki feels.\I do know.\Yuki thinks about important things when he's by himself. response:	That's what Keito said.
context: Why don't you give up already?\There's no point in casting into that.\Nii-chan, let's go.\No, Yuki's thinking!\Leave him. You don't know how Yuki feels.\I do know.\Yuki thinks about important things when he's by himself.\That's what Keito said. response:	Enoshima bowl!
context: There's no point in casting into that.\Nii-chan, let's go.\No, Yuki's thinking!\Leave him. You don't know how Yuki feels.\I do know.\Yuki thinks about important things when he's by himself.\That's what Keito said.\Enoshima bowl! response:	Yuki.
context: Nii-chan, let's go.\No, Yuki's thinking!\Leave him. You don't know how Yuki feels.\I do know.\Yuki thinks about important things when he's by himself.\That's what Keito said.\Enoshima bowl!\Yuki. response:	Enoshima bowl!
context: No, Yuki's thinking!\Leave him. You don't know how Yuki feels.\I do know.\Yuki thinks about important things when he's by himself.\That's what Keito said.\Enoshima bowl!\Yuki.\Enoshima bowl! response:	Yuki.
context: Leave him. You don't know how Yuki feels.\I do know.\Yuki thinks about important things when he's by himself.\That's what Keito said.\Enoshima bowl!\Yuki.\Enoshima bowl!\Yuki. response:	Nii-chan!
context: I do know.\Yuki thinks about important things when he's by himself.\That's what Keito said.\Enoshima bowl!\Yuki.\Enoshima bowl!\Yuki.\Nii-chan! response:	Yuki... Yuki...
context: Yuki thinks about important things when he's by himself.\That's what Keito said.\Enoshima bowl!\Yuki.\Enoshima bowl!\Yuki.\Nii-chan!\Yuki... Yuki... response:	Enoshima bowl!
context: That's what Keito said.\Enoshima bowl!\Yuki.\Enoshima bowl!\Yuki.\Nii-chan!\Yuki... Yuki...\Enoshima bowl! response:	Enoshima bowl.
context: Enoshima bowl!\Yuki.\Enoshima bowl!\Yuki.\Nii-chan!\Yuki... Yuki...\Enoshima bowl!\Enoshima bowl. response:	Enoshima bowl!
context: Yuki.\Enoshima bowl!\Yuki.\Nii-chan!\Yuki... Yuki...\Enoshima bowl!\Enoshima bowl.\Enoshima bowl! response:	Enoshima bowl!
context: Enoshima bowl!\Yuki.\Nii-chan!\Yuki... Yuki...\Enoshima bowl!\Enoshima bowl.\Enoshima bowl!\Enoshima bowl! response:	Enoshima bowl!
context: Yuki.\Nii-chan!\Yuki... Yuki...\Enoshima bowl!\Enoshima bowl.\Enoshima bowl!\Enoshima bowl!\Enoshima bowl! response:	Enoshima bowl!
context: Nii-chan!\Yuki... Yuki...\Enoshima bowl!\Enoshima bowl.\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl! response:	Enoshima bowl!
context: Yuki... Yuki...\Enoshima bowl!\Enoshima bowl.\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl! response:	Enoshima bowl!
context: Enoshima bowl!\Enoshima bowl.\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl! response:	Enoshima bowl!
context: Enoshima bowl.\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl! response:	It's because my finger slipped just now.
context: Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\It's because my finger slipped just now. response:	Enoshima bowl!
context: Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\It's because my finger slipped just now.\Enoshima bowl! response:	All right.
context: Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\It's because my finger slipped just now.\Enoshima bowl!\All right. response:	Enoshima bowl!
context: Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\It's because my finger slipped just now.\Enoshima bowl!\All right.\Enoshima bowl! response:	I did it.
context: Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\It's because my finger slipped just now.\Enoshima bowl!\All right.\Enoshima bowl!\I did it. response:	You did it! You did it, Yuki!
context: Enoshima bowl!\Enoshima bowl!\It's because my finger slipped just now.\Enoshima bowl!\All right.\Enoshima bowl!\I did it.\You did it! You did it, Yuki! response:	Natsuki.
context: Enoshima bowl!\It's because my finger slipped just now.\Enoshima bowl!\All right.\Enoshima bowl!\I did it.\You did it! You did it, Yuki!\Natsuki. response:	Thanks.
context: It's because my finger slipped just now.\Enoshima bowl!\All right.\Enoshima bowl!\I did it.\You did it! You did it, Yuki!\Natsuki.\Thanks. response:	I did it. Thanks.
context: Enoshima bowl!\All right.\Enoshima bowl!\I did it.\You did it! You did it, Yuki!\Natsuki.\Thanks.\I did it. Thanks. response:	I didn't do anything.
context: All right.\Enoshima bowl!\I did it.\You did it! You did it, Yuki!\Natsuki.\Thanks.\I did it. Thanks.\I didn't do anything. response:	Natsuki, you're wrong.
context: Enoshima bowl!\I did it.\You did it! You did it, Yuki!\Natsuki.\Thanks.\I did it. Thanks.\I didn't do anything.\Natsuki, you're wrong. response:	You taught Yuki the Enoshima bowl.
context: I did it.\You did it! You did it, Yuki!\Natsuki.\Thanks.\I did it. Thanks.\I didn't do anything.\Natsuki, you're wrong.\You taught Yuki the Enoshima bowl. response:	That's why Yuki's happy.
context: You did it! You did it, Yuki!\Natsuki.\Thanks.\I did it. Thanks.\I didn't do anything.\Natsuki, you're wrong.\You taught Yuki the Enoshima bowl.\That's why Yuki's happy. response:	You became Yuki's friend.
context: Natsuki.\Thanks.\I did it. Thanks.\I didn't do anything.\Natsuki, you're wrong.\You taught Yuki the Enoshima bowl.\That's why Yuki's happy.\You became Yuki's friend. response:	That's why Yuki's happy.
context: Thanks.\I did it. Thanks.\I didn't do anything.\Natsuki, you're wrong.\You taught Yuki the Enoshima bowl.\That's why Yuki's happy.\You became Yuki's friend.\That's why Yuki's happy. response:	You thank someone because you're happy.
context: I did it. Thanks.\I didn't do anything.\Natsuki, you're wrong.\You taught Yuki the Enoshima bowl.\That's why Yuki's happy.\You became Yuki's friend.\That's why Yuki's happy.\You thank someone because you're happy. response:	Yuki.
context: I didn't do anything.\Natsuki, you're wrong.\You taught Yuki the Enoshima bowl.\That's why Yuki's happy.\You became Yuki's friend.\That's why Yuki's happy.\You thank someone because you're happy.\Yuki. response:	You haven't seen anything yet.
context: Natsuki, you're wrong.\You taught Yuki the Enoshima bowl.\That's why Yuki's happy.\You became Yuki's friend.\That's why Yuki's happy.\You thank someone because you're happy.\Yuki.\You haven't seen anything yet. response:	Enoshima bowl!
context: You taught Yuki the Enoshima bowl.\That's why Yuki's happy.\You became Yuki's friend.\That's why Yuki's happy.\You thank someone because you're happy.\Yuki.\You haven't seen anything yet.\Enoshima bowl! response:	We casted over and over that day.
context: That's why Yuki's happy.\You became Yuki's friend.\That's why Yuki's happy.\You thank someone because you're happy.\Yuki.\You haven't seen anything yet.\Enoshima bowl!\We casted over and over that day. response:	Enoshima bowl! Enoshima bowl!
context: You became Yuki's friend.\That's why Yuki's happy.\You thank someone because you're happy.\Yuki.\You haven't seen anything yet.\Enoshima bowl!\We casted over and over that day.\Enoshima bowl! Enoshima bowl! response:	Tapioca, I don't like...
context: That's why Yuki's happy.\You thank someone because you're happy.\Yuki.\You haven't seen anything yet.\Enoshima bowl!\We casted over and over that day.\Enoshima bowl! Enoshima bowl!\Tapioca, I don't like... response:	such stifling relationships.
context: You thank someone because you're happy.\Yuki.\You haven't seen anything yet.\Enoshima bowl!\We casted over and over that day.\Enoshima bowl! Enoshima bowl!\Tapioca, I don't like...\such stifling relationships. response:	From this world where nothing goes as planned...
context: Yuki.\You haven't seen anything yet.\Enoshima bowl!\We casted over and over that day.\Enoshima bowl! Enoshima bowl!\Tapioca, I don't like...\such stifling relationships.\From this world where nothing goes as planned... response:	to a distant and dark future where I can't see anything.
context: You haven't seen anything yet.\Enoshima bowl!\We casted over and over that day.\Enoshima bowl! Enoshima bowl!\Tapioca, I don't like...\such stifling relationships.\From this world where nothing goes as planned...\to a distant and dark future where I can't see anything. response:	The ocean was still far away.
context: Enoshima bowl!\We casted over and over that day.\Enoshima bowl! Enoshima bowl!\Tapioca, I don't like...\such stifling relationships.\From this world where nothing goes as planned...\to a distant and dark future where I can't see anything.\The ocean was still far away. response:	He was still sleeping in the depths.
context: We casted over and over that day.\Enoshima bowl! Enoshima bowl!\Tapioca, I don't like...\such stifling relationships.\From this world where nothing goes as planned...\to a distant and dark future where I can't see anything.\The ocean was still far away.\He was still sleeping in the depths. response:	Continued in 4
