context: For one still so young, your calligraphy is highly conformist. response:	I don't know if it's better described as copybook-style,
context: Yeah...\There's nothing to even forgive.\Thank goodness!\I'm so glad you forgave me!\I was mighty scared of apologizin' to you.\But now I'm really glad I did.\I'm sorry I yelled at you.\Hm? response:	Nothing!
context: There's nothing to even forgive.\Thank goodness!\I'm so glad you forgave me!\I was mighty scared of apologizin' to you.\But now I'm really glad I did.\I'm sorry I yelled at you.\Hm?\Nothing! response:	Come on, get up.
context: Thank goodness!\I'm so glad you forgave me!\I was mighty scared of apologizin' to you.\But now I'm really glad I did.\I'm sorry I yelled at you.\Hm?\Nothing!\Come on, get up. response:	Okay!
context: I'm so glad you forgave me!\I was mighty scared of apologizin' to you.\But now I'm really glad I did.\I'm sorry I yelled at you.\Hm?\Nothing!\Come on, get up.\Okay! response:	Still, you worked hard to write this.
context: I was mighty scared of apologizin' to you.\But now I'm really glad I did.\I'm sorry I yelled at you.\Hm?\Nothing!\Come on, get up.\Okay!\Still, you worked hard to write this. response:	Nah, it was easy!
context: But now I'm really glad I did.\I'm sorry I yelled at you.\Hm?\Nothing!\Come on, get up.\Okay!\Still, you worked hard to write this.\Nah, it was easy! response:	You write just like the copybook!
context: I'm sorry I yelled at you.\Hm?\Nothing!\Come on, get up.\Okay!\Still, you worked hard to write this.\Nah, it was easy!\You write just like the copybook! response:	What'd you do that for?!
context: Hm?\Nothing!\Come on, get up.\Okay!\Still, you worked hard to write this.\Nah, it was easy!\You write just like the copybook!\What'd you do that for?! response:	Sorry, just a reflex.
context: Nothing!\Come on, get up.\Okay!\Still, you worked hard to write this.\Nah, it was easy!\You write just like the copybook!\What'd you do that for?!\Sorry, just a reflex. response:	Anyway, you don't even get why I was upset.
context: Come on, get up.\Okay!\Still, you worked hard to write this.\Nah, it was easy!\You write just like the copybook!\What'd you do that for?!\Sorry, just a reflex.\Anyway, you don't even get why I was upset. response:	This is just practice calligraphy, so it's meant to be thrown awa
context: Okay!\Still, you worked hard to write this.\Nah, it was easy!\You write just like the copybook!\What'd you do that for?!\Sorry, just a reflex.\Anyway, you don't even get why I was upset.\This is just practice calligraphy, so it's meant to be thrown awa response:	You did it to me first!
context: Still, you worked hard to write this.\Nah, it was easy!\You write just like the copybook!\What'd you do that for?!\Sorry, just a reflex.\Anyway, you don't even get why I was upset.\This is just practice calligraphy, so it's meant to be thrown awa\You did it to me first! response:	Huh?
context: Nah, it was easy!\You write just like the copybook!\What'd you do that for?!\Sorry, just a reflex.\Anyway, you don't even get why I was upset.\This is just practice calligraphy, so it's meant to be thrown awa\You did it to me first!\Huh? response:	Sensei?
context: You write just like the copybook!\What'd you do that for?!\Sorry, just a reflex.\Anyway, you don't even get why I was upset.\This is just practice calligraphy, so it's meant to be thrown awa\You did it to me first!\Huh?\Sensei? response:	Sen
context: What'd you do that for?!\Sorry, just a reflex.\Anyway, you don't even get why I was upset.\This is just practice calligraphy, so it's meant to be thrown awa\You did it to me first!\Huh?\Sensei?\Sen response:	Don't go scarin' me like that!
context: Sorry, just a reflex.\Anyway, you don't even get why I was upset.\This is just practice calligraphy, so it's meant to be thrown awa\You did it to me first!\Huh?\Sensei?\Sen\Don't go scarin' me like that! response:	I thought you up an' died!
context: Anyway, you don't even get why I was upset.\This is just practice calligraphy, so it's meant to be thrown awa\You did it to me first!\Huh?\Sensei?\Sen\Don't go scarin' me like that!\I thought you up an' died! response:	I'm about to die in these heavy clothes.
context: This is just practice calligraphy, so it's meant to be thrown awa\You did it to me first!\Huh?\Sensei?\Sen\Don't go scarin' me like that!\I thought you up an' died!\I'm about to die in these heavy clothes. response:	That's the problem with you city folk!
context: You did it to me first!\Huh?\Sensei?\Sen\Don't go scarin' me like that!\I thought you up an' died!\I'm about to die in these heavy clothes.\That's the problem with you city folk! response:	When that happens...
context: Huh?\Sensei?\Sen\Don't go scarin' me like that!\I thought you up an' died!\I'm about to die in these heavy clothes.\That's the problem with you city folk!\When that happens... response:	Do like this!
context: Sensei?\Sen\Don't go scarin' me like that!\I thought you up an' died!\I'm about to die in these heavy clothes.\That's the problem with you city folk!\When that happens...\Do like this! response:	What the heck?!
context: Sen\Don't go scarin' me like that!\I thought you up an' died!\I'm about to die in these heavy clothes.\That's the problem with you city folk!\When that happens...\Do like this!\What the heck?! response:	First, plug up the neck of your T-shirt.
context: Don't go scarin' me like that!\I thought you up an' died!\I'm about to die in these heavy clothes.\That's the problem with you city folk!\When that happens...\Do like this!\What the heck?!\First, plug up the neck of your T-shirt. response:	An' catch a bunch of air under your shirt.
context: I thought you up an' died!\I'm about to die in these heavy clothes.\That's the problem with you city folk!\When that happens...\Do like this!\What the heck?!\First, plug up the neck of your T-shirt.\An' catch a bunch of air under your shirt. response:	Then you just swim!
context: I'm about to die in these heavy clothes.\That's the problem with you city folk!\When that happens...\Do like this!\What the heck?!\First, plug up the neck of your T-shirt.\An' catch a bunch of air under your shirt.\Then you just swim! response:	I'm impressed, in spite of myself.
context: That's the problem with you city folk!\When that happens...\Do like this!\What the heck?!\First, plug up the neck of your T-shirt.\An' catch a bunch of air under your shirt.\Then you just swim!\I'm impressed, in spite of myself. response:	Do you always swim in water this deep?
context: When that happens...\Do like this!\What the heck?!\First, plug up the neck of your T-shirt.\An' catch a bunch of air under your shirt.\Then you just swim!\I'm impressed, in spite of myself.\Do you always swim in water this deep? response:	Yep!
context: Do like this!\What the heck?!\First, plug up the neck of your T-shirt.\An' catch a bunch of air under your shirt.\Then you just swim!\I'm impressed, in spite of myself.\Do you always swim in water this deep?\Yep! response:	The power of childhood is terrifying.
context: What the heck?!\First, plug up the neck of your T-shirt.\An' catch a bunch of air under your shirt.\Then you just swim!\I'm impressed, in spite of myself.\Do you always swim in water this deep?\Yep!\The power of childhood is terrifying. response:	Hey, Sensei! I'm gonna show you somethin' real nice!
context: First, plug up the neck of your T-shirt.\An' catch a bunch of air under your shirt.\Then you just swim!\I'm impressed, in spite of myself.\Do you always swim in water this deep?\Yep!\The power of childhood is terrifying.\Hey, Sensei! I'm gonna show you somethin' real nice! response:	Huh?
context: An' catch a bunch of air under your shirt.\Then you just swim!\I'm impressed, in spite of myself.\Do you always swim in water this deep?\Yep!\The power of childhood is terrifying.\Hey, Sensei! I'm gonna show you somethin' real nice!\Huh? response:	If you climb that there wall, you can see a mighty fine sunset!
context: Then you just swim!\I'm impressed, in spite of myself.\Do you always swim in water this deep?\Yep!\The power of childhood is terrifying.\Hey, Sensei! I'm gonna show you somethin' real nice!\Huh?\If you climb that there wall, you can see a mighty fine sunset! response:	Hold on a minute!
context: I'm impressed, in spite of myself.\Do you always swim in water this deep?\Yep!\The power of childhood is terrifying.\Hey, Sensei! I'm gonna show you somethin' real nice!\Huh?\If you climb that there wall, you can see a mighty fine sunset!\Hold on a minute! response:	You're climbing this bulwark?
context: Do you always swim in water this deep?\Yep!\The power of childhood is terrifying.\Hey, Sensei! I'm gonna show you somethin' real nice!\Huh?\If you climb that there wall, you can see a mighty fine sunset!\Hold on a minute!\You're climbing this bulwark? response:	Yep! Gotta climb to see it.
context: Yep!\The power of childhood is terrifying.\Hey, Sensei! I'm gonna show you somethin' real nice!\Huh?\If you climb that there wall, you can see a mighty fine sunset!\Hold on a minute!\You're climbing this bulwark?\Yep! Gotta climb to see it. response:	I don't need to see the sunset.
context: The power of childhood is terrifying.\Hey, Sensei! I'm gonna show you somethin' real nice!\Huh?\If you climb that there wall, you can see a mighty fine sunset!\Hold on a minute!\You're climbing this bulwark?\Yep! Gotta climb to see it.\I don't need to see the sunset. response:	Look at the sky.
context: Hey, Sensei! I'm gonna show you somethin' real nice!\Huh?\If you climb that there wall, you can see a mighty fine sunset!\Hold on a minute!\You're climbing this bulwark?\Yep! Gotta climb to see it.\I don't need to see the sunset.\Look at the sky. response:	You can't see anything through all those clouds.
context: Huh?\If you climb that there wall, you can see a mighty fine sunset!\Hold on a minute!\You're climbing this bulwark?\Yep! Gotta climb to see it.\I don't need to see the sunset.\Look at the sky.\You can't see anything through all those clouds. response:	You won't know'til you climb up and see.
context: If you climb that there wall, you can see a mighty fine sunset!\Hold on a minute!\You're climbing this bulwark?\Yep! Gotta climb to see it.\I don't need to see the sunset.\Look at the sky.\You can't see anything through all those clouds.\You won't know'til you climb up and see. response:	You don't try, you don't get to look.
context: Hold on a minute!\You're climbing this bulwark?\Yep! Gotta climb to see it.\I don't need to see the sunset.\Look at the sky.\You can't see anything through all those clouds.\You won't know'til you climb up and see.\You don't try, you don't get to look. response:	Look out!
context: You're climbing this bulwark?\Yep! Gotta climb to see it.\I don't need to see the sunset.\Look at the sky.\You can't see anything through all those clouds.\You won't know'til you climb up and see.\You don't try, you don't get to look.\Look out! response:	I'm all right. Just got in a hurry.
context: Yep! Gotta climb to see it.\I don't need to see the sunset.\Look at the sky.\You can't see anything through all those clouds.\You won't know'til you climb up and see.\You don't try, you don't get to look.\Look out!\I'm all right. Just got in a hurry. response:	And I'm there!
context: I don't need to see the sunset.\Look at the sky.\You can't see anything through all those clouds.\You won't know'til you climb up and see.\You don't try, you don't get to look.\Look out!\I'm all right. Just got in a hurry.\And I'm there! response:	Hurry on up, Sensei!
context: Look at the sky.\You can't see anything through all those clouds.\You won't know'til you climb up and see.\You don't try, you don't get to look.\Look out!\I'm all right. Just got in a hurry.\And I'm there!\Hurry on up, Sensei! response:	If you don't climb up here, you won't get to see nothin'!
context: You can't see anything through all those clouds.\You won't know'til you climb up and see.\You don't try, you don't get to look.\Look out!\I'm all right. Just got in a hurry.\And I'm there!\Hurry on up, Sensei!\If you don't climb up here, you won't get to see nothin'! response:	Did you
context: You won't know'til you climb up and see.\You don't try, you don't get to look.\Look out!\I'm all right. Just got in a hurry.\And I'm there!\Hurry on up, Sensei!\If you don't climb up here, you won't get to see nothin'!\Did you response:	even attempt to scale the wall of mediocrity?
context: You don't try, you don't get to look.\Look out!\I'm all right. Just got in a hurry.\And I'm there!\Hurry on up, Sensei!\If you don't climb up here, you won't get to see nothin'!\Did you\even attempt to scale the wall of mediocrity? response:	See?
context: Look out!\I'm all right. Just got in a hurry.\And I'm there!\Hurry on up, Sensei!\If you don't climb up here, you won't get to see nothin'!\Did you\even attempt to scale the wall of mediocrity?\See? response:	Ain't it pretty?
context: I'm all right. Just got in a hurry.\And I'm there!\Hurry on up, Sensei!\If you don't climb up here, you won't get to see nothin'!\Did you\even attempt to scale the wall of mediocrity?\See?\Ain't it pretty? response:	Yeah...
context: And I'm there!\Hurry on up, Sensei!\If you don't climb up here, you won't get to see nothin'!\Did you\even attempt to scale the wall of mediocrity?\See?\Ain't it pretty?\Yeah... response:	It really is.
context: Hurry on up, Sensei!\If you don't climb up here, you won't get to see nothin'!\Did you\even attempt to scale the wall of mediocrity?\See?\Ain't it pretty?\Yeah...\It really is. response:	Yer back!
context: If you don't climb up here, you won't get to see nothin'!\Did you\even attempt to scale the wall of mediocrity?\See?\Ain't it pretty?\Yeah...\It really is.\Yer back! response:	First Villager?
context: Did you\even attempt to scale the wall of mediocrity?\See?\Ain't it pretty?\Yeah...\It really is.\Yer back!\First Villager? response:	Grampa!
context: even attempt to scale the wall of mediocrity?\See?\Ain't it pretty?\Yeah...\It really is.\Yer back!\First Villager?\Grampa! response:	He's your grandfather?
context: See?\Ain't it pretty?\Yeah...\It really is.\Yer back!\First Villager?\Grampa!\He's your grandfather? response:	That's right!
context: Ain't it pretty?\Yeah...\It really is.\Yer back!\First Villager?\Grampa!\He's your grandfather?\That's right! response:	Hey, Sensei!
context: Yeah...\It really is.\Yer back!\First Villager?\Grampa!\He's your grandfather?\That's right!\Hey, Sensei! response:	Better hurry on down or I'll open yer boxes myself!
context: It really is.\Yer back!\First Villager?\Grampa!\He's your grandfather?\That's right!\Hey, Sensei!\Better hurry on down or I'll open yer boxes myself! response:	Huh?! Why?!
context: Yer back!\First Villager?\Grampa!\He's your grandfather?\That's right!\Hey, Sensei!\Better hurry on down or I'll open yer boxes myself!\Huh?! Why?! response:	Yer movin' in, so I done come to pitch in!
context: First Villager?\Grampa!\He's your grandfather?\That's right!\Hey, Sensei!\Better hurry on down or I'll open yer boxes myself!\Huh?! Why?!\Yer movin' in, so I done come to pitch in! response:	Pitch in?
context: Grampa!\He's your grandfather?\That's right!\Hey, Sensei!\Better hurry on down or I'll open yer boxes myself!\Huh?! Why?!\Yer movin' in, so I done come to pitch in!\Pitch in? response:	Yer from Tokyo?
context: He's your grandfather?\That's right!\Hey, Sensei!\Better hurry on down or I'll open yer boxes myself!\Huh?! Why?!\Yer movin' in, so I done come to pitch in!\Pitch in?\Yer from Tokyo? response:	That's a mighty long way.
context: That's right!\Hey, Sensei!\Better hurry on down or I'll open yer boxes myself!\Huh?! Why?!\Yer movin' in, so I done come to pitch in!\Pitch in?\Yer from Tokyo?\That's a mighty long way. response:	We'll be lettin' ourselves in.
context: Hey, Sensei!\Better hurry on down or I'll open yer boxes myself!\Huh?! Why?!\Yer movin' in, so I done come to pitch in!\Pitch in?\Yer from Tokyo?\That's a mighty long way.\We'll be lettin' ourselves in. response:	Uh, sure.
context: Better hurry on down or I'll open yer boxes myself!\Huh?! Why?!\Yer movin' in, so I done come to pitch in!\Pitch in?\Yer from Tokyo?\That's a mighty long way.\We'll be lettin' ourselves in.\Uh, sure. response:	C'mon! You too, Sensei!
context: Huh?! Why?!\Yer movin' in, so I done come to pitch in!\Pitch in?\Yer from Tokyo?\That's a mighty long way.\We'll be lettin' ourselves in.\Uh, sure.\C'mon! You too, Sensei! response:	Did your grandfather call them over?
context: Yer movin' in, so I done come to pitch in!\Pitch in?\Yer from Tokyo?\That's a mighty long way.\We'll be lettin' ourselves in.\Uh, sure.\C'mon! You too, Sensei!\Did your grandfather call them over? response:	Huh? No, he didn't.
context: Pitch in?\Yer from Tokyo?\That's a mighty long way.\We'll be lettin' ourselves in.\Uh, sure.\C'mon! You too, Sensei!\Did your grandfather call them over?\Huh? No, he didn't. response:	Ever'body saw the moving van and came themselves.
context: Yer from Tokyo?\That's a mighty long way.\We'll be lettin' ourselves in.\Uh, sure.\C'mon! You too, Sensei!\Did your grandfather call them over?\Huh? No, he didn't.\Ever'body saw the moving van and came themselves. response:	Not many people move in'round here.
context: That's a mighty long way.\We'll be lettin' ourselves in.\Uh, sure.\C'mon! You too, Sensei!\Did your grandfather call them over?\Huh? No, he didn't.\Ever'body saw the moving van and came themselves.\Not many people move in'round here. response:	But, they don't know me...
context: We'll be lettin' ourselves in.\Uh, sure.\C'mon! You too, Sensei!\Did your grandfather call them over?\Huh? No, he didn't.\Ever'body saw the moving van and came themselves.\Not many people move in'round here.\But, they don't know me... response:	I can't make them do that...
context: Uh, sure.\C'mon! You too, Sensei!\Did your grandfather call them over?\Huh? No, he didn't.\Ever'body saw the moving van and came themselves.\Not many people move in'round here.\But, they don't know me...\I can't make them do that... response:	My, what a fine young man.
context: C'mon! You too, Sensei!\Did your grandfather call them over?\Huh? No, he didn't.\Ever'body saw the moving van and came themselves.\Not many people move in'round here.\But, they don't know me...\I can't make them do that...\My, what a fine young man. response:	Sorry we took so long.
context: Did your grandfather call them over?\Huh? No, he didn't.\Ever'body saw the moving van and came themselves.\Not many people move in'round here.\But, they don't know me...\I can't make them do that...\My, what a fine young man.\Sorry we took so long. response:	Hina!
context: Huh? No, he didn't.\Ever'body saw the moving van and came themselves.\Not many people move in'round here.\But, they don't know me...\I can't make them do that...\My, what a fine young man.\Sorry we took so long.\Hina! response:	Sensei, lemme introduce you!
context: Ever'body saw the moving van and came themselves.\Not many people move in'round here.\But, they don't know me...\I can't make them do that...\My, what a fine young man.\Sorry we took so long.\Hina!\Sensei, lemme introduce you! response:	This's my friend, Hina!
context: Not many people move in'round here.\But, they don't know me...\I can't make them do that...\My, what a fine young man.\Sorry we took so long.\Hina!\Sensei, lemme introduce you!\This's my friend, Hina! response:	Nice to meet you.
context: But, they don't know me...\I can't make them do that...\My, what a fine young man.\Sorry we took so long.\Hina!\Sensei, lemme introduce you!\This's my friend, Hina!\Nice to meet you. response:	Hina's mighty shy, y'see!
context: I can't make them do that...\My, what a fine young man.\Sorry we took so long.\Hina!\Sensei, lemme introduce you!\This's my friend, Hina!\Nice to meet you.\Hina's mighty shy, y'see! response:	So, I shouldn't talk to you, then?
context: My, what a fine young man.\Sorry we took so long.\Hina!\Sensei, lemme introduce you!\This's my friend, Hina!\Nice to meet you.\Hina's mighty shy, y'see!\So, I shouldn't talk to you, then? response:	What now?!
context: Sorry we took so long.\Hina!\Sensei, lemme introduce you!\This's my friend, Hina!\Nice to meet you.\Hina's mighty shy, y'see!\So, I shouldn't talk to you, then?\What now?! response:	Looks like Hina wants you to pay attention to her.
context: Hina!\Sensei, lemme introduce you!\This's my friend, Hina!\Nice to meet you.\Hina's mighty shy, y'see!\So, I shouldn't talk to you, then?\What now?!\Looks like Hina wants you to pay attention to her. response:	I see... Sorry about that.
context: Sensei, lemme introduce you!\This's my friend, Hina!\Nice to meet you.\Hina's mighty shy, y'see!\So, I shouldn't talk to you, then?\What now?!\Looks like Hina wants you to pay attention to her.\I see... Sorry about that. response:	Huh?! Why?!
context: This's my friend, Hina!\Nice to meet you.\Hina's mighty shy, y'see!\So, I shouldn't talk to you, then?\What now?!\Looks like Hina wants you to pay attention to her.\I see... Sorry about that.\Huh?! Why?! response:	Hina cries even when she's happy.
context: Nice to meet you.\Hina's mighty shy, y'see!\So, I shouldn't talk to you, then?\What now?!\Looks like Hina wants you to pay attention to her.\I see... Sorry about that.\Huh?! Why?!\Hina cries even when she's happy. response:	This is hard to deal with!
context: Hina's mighty shy, y'see!\So, I shouldn't talk to you, then?\What now?!\Looks like Hina wants you to pay attention to her.\I see... Sorry about that.\Huh?! Why?!\Hina cries even when she's happy.\This is hard to deal with! response:	Butt jab!
context: So, I shouldn't talk to you, then?\What now?!\Looks like Hina wants you to pay attention to her.\I see... Sorry about that.\Huh?! Why?!\Hina cries even when she's happy.\This is hard to deal with!\Butt jab! response:	You were wide open!
context: What now?!\Looks like Hina wants you to pay attention to her.\I see... Sorry about that.\Huh?! Why?!\Hina cries even when she's happy.\This is hard to deal with!\Butt jab!\You were wide open! response:	Hey! Kenta!
context: Looks like Hina wants you to pay attention to her.\I see... Sorry about that.\Huh?! Why?!\Hina cries even when she's happy.\This is hard to deal with!\Butt jab!\You were wide open!\Hey! Kenta! response:	I told you in our class meeting that butt jabs ain't allowed!
context: I see... Sorry about that.\Huh?! Why?!\Hina cries even when she's happy.\This is hard to deal with!\Butt jab!\You were wide open!\Hey! Kenta!\I told you in our class meeting that butt jabs ain't allowed! response:	Shut up, stinky smoke-man!
context: Huh?! Why?!\Hina cries even when she's happy.\This is hard to deal with!\Butt jab!\You were wide open!\Hey! Kenta!\I told you in our class meeting that butt jabs ain't allowed!\Shut up, stinky smoke-man! response:	Sorry'bout that.
context: Hina cries even when she's happy.\This is hard to deal with!\Butt jab!\You were wide open!\Hey! Kenta!\I told you in our class meeting that butt jabs ain't allowed!\Shut up, stinky smoke-man!\Sorry'bout that. response:	That punk won't shape up, no matter what I tell him.
context: This is hard to deal with!\Butt jab!\You were wide open!\Hey! Kenta!\I told you in our class meeting that butt jabs ain't allowed!\Shut up, stinky smoke-man!\Sorry'bout that.\That punk won't shape up, no matter what I tell him. response:	You all right?
context: Butt jab!\You were wide open!\Hey! Kenta!\I told you in our class meeting that butt jabs ain't allowed!\Shut up, stinky smoke-man!\Sorry'bout that.\That punk won't shape up, no matter what I tell him.\You all right? response:	I'm fine
context: You were wide open!\Hey! Kenta!\I told you in our class meeting that butt jabs ain't allowed!\Shut up, stinky smoke-man!\Sorry'bout that.\That punk won't shape up, no matter what I tell him.\You all right?\I'm fine response:	Who is this?
context: Hey! Kenta!\I told you in our class meeting that butt jabs ain't allowed!\Shut up, stinky smoke-man!\Sorry'bout that.\That punk won't shape up, no matter what I tell him.\You all right?\I'm fine\Who is this? response:	The head teacher at the branch school.
context: I told you in our class meeting that butt jabs ain't allowed!\Shut up, stinky smoke-man!\Sorry'bout that.\That punk won't shape up, no matter what I tell him.\You all right?\I'm fine\Who is this?\The head teacher at the branch school. response:	Hi.
context: Shut up, stinky smoke-man!\Sorry'bout that.\That punk won't shape up, no matter what I tell him.\You all right?\I'm fine\Who is this?\The head teacher at the branch school.\Hi. response:	Ahh, ain't nothin' funnier than seein' a handsome guy gettin' disgraced.
context: Sorry'bout that.\That punk won't shape up, no matter what I tell him.\You all right?\I'm fine\Who is this?\The head teacher at the branch school.\Hi.\Ahh, ain't nothin' funnier than seein' a handsome guy gettin' disgraced. response:	Why, you...
context: That punk won't shape up, no matter what I tell him.\You all right?\I'm fine\Who is this?\The head teacher at the branch school.\Hi.\Ahh, ain't nothin' funnier than seein' a handsome guy gettin' disgraced.\Why, you... response:	Mind if we bring the boxes in?
context: You all right?\I'm fine\Who is this?\The head teacher at the branch school.\Hi.\Ahh, ain't nothin' funnier than seein' a handsome guy gettin' disgraced.\Why, you...\Mind if we bring the boxes in? response:	Oh, sure.
context: I'm fine\Who is this?\The head teacher at the branch school.\Hi.\Ahh, ain't nothin' funnier than seein' a handsome guy gettin' disgraced.\Why, you...\Mind if we bring the boxes in?\Oh, sure. response:	Sensei, see you later!
context: Who is this?\The head teacher at the branch school.\Hi.\Ahh, ain't nothin' funnier than seein' a handsome guy gettin' disgraced.\Why, you...\Mind if we bring the boxes in?\Oh, sure.\Sensei, see you later! response:	Yeah...
context: The head teacher at the branch school.\Hi.\Ahh, ain't nothin' funnier than seein' a handsome guy gettin' disgraced.\Why, you...\Mind if we bring the boxes in?\Oh, sure.\Sensei, see you later!\Yeah... response:	Oh, hey, Kawafuji...
context: Hi.\Ahh, ain't nothin' funnier than seein' a handsome guy gettin' disgraced.\Why, you...\Mind if we bring the boxes in?\Oh, sure.\Sensei, see you later!\Yeah...\Oh, hey, Kawafuji... response:	Yeah.
context: Ahh, ain't nothin' funnier than seein' a handsome guy gettin' disgraced.\Why, you...\Mind if we bring the boxes in?\Oh, sure.\Sensei, see you later!\Yeah...\Oh, hey, Kawafuji...\Yeah. response:	I kind of see the reason why Dad had me come to this island.
context: Why, you...\Mind if we bring the boxes in?\Oh, sure.\Sensei, see you later!\Yeah...\Oh, hey, Kawafuji...\Yeah.\I kind of see the reason why Dad had me come to this island. response:	If I write anything good, I'll send it for display.
context: Mind if we bring the boxes in?\Oh, sure.\Sensei, see you later!\Yeah...\Oh, hey, Kawafuji...\Yeah.\I kind of see the reason why Dad had me come to this island.\If I write anything good, I'll send it for display. response:	You can help out then.
context: Oh, sure.\Sensei, see you later!\Yeah...\Oh, hey, Kawafuji...\Yeah.\I kind of see the reason why Dad had me come to this island.\If I write anything good, I'll send it for display.\You can help out then. response:	Also...
context: Sensei, see you later!\Yeah...\Oh, hey, Kawafuji...\Yeah.\I kind of see the reason why Dad had me come to this island.\If I write anything good, I'll send it for display.\You can help out then.\Also... response:	Would you apologize to the director for me?
context: Yeah...\Oh, hey, Kawafuji...\Yeah.\I kind of see the reason why Dad had me come to this island.\If I write anything good, I'll send it for display.\You can help out then.\Also...\Would you apologize to the director for me? response:	I was wrong, too...
context: Oh, hey, Kawafuji...\Yeah.\I kind of see the reason why Dad had me come to this island.\If I write anything good, I'll send it for display.\You can help out then.\Also...\Would you apologize to the director for me?\I was wrong, too... response:	Do it myself? No way, I can't do that yet...
context: Yeah.\I kind of see the reason why Dad had me come to this island.\If I write anything good, I'll send it for display.\You can help out then.\Also...\Would you apologize to the director for me?\I was wrong, too...\Do it myself? No way, I can't do that yet... response:	On this island?
context: I kind of see the reason why Dad had me come to this island.\If I write anything good, I'll send it for display.\You can help out then.\Also...\Would you apologize to the director for me?\I was wrong, too...\Do it myself? No way, I can't do that yet...\On this island? response:	Yeah.
context: If I write anything good, I'll send it for display.\You can help out then.\Also...\Would you apologize to the director for me?\I was wrong, too...\Do it myself? No way, I can't do that yet...\On this island?\Yeah. response:	FUN
context: You can help out then.\Also...\Would you apologize to the director for me?\I was wrong, too...\Do it myself? No way, I can't do that yet...\On this island?\Yeah.\FUN response:	I think I'll manage somehow.
context: Also...\Would you apologize to the director for me?\I was wrong, too...\Do it myself? No way, I can't do that yet...\On this island?\Yeah.\FUN\I think I'll manage somehow. response:	Uh...
context: Would you apologize to the director for me?\I was wrong, too...\Do it myself? No way, I can't do that yet...\On this island?\Yeah.\FUN\I think I'll manage somehow.\Uh... response:	I brought...
context: I was wrong, too...\Do it myself? No way, I can't do that yet...\On this island?\Yeah.\FUN\I think I'll manage somehow.\Uh...\I brought... response:	some champon for you...
context: Do it myself? No way, I can't do that yet...\On this island?\Yeah.\FUN\I think I'll manage somehow.\Uh...\I brought...\some champon for you... response:	Scary...
