context: The one who showed up this time sure is pretentious. response:	According to the Division of Astronomy, the spectrum of the detected star contained characteristics of a Moratorium.
context: Mai...\I'm home.\Papa.\Wait... It was Ruuko who did it, not me!\Stop, Mai.\Why?\D-Don't...\Her remuneration. response:	Did she become a contractor?
context: I'm home.\Papa.\Wait... It was Ruuko who did it, not me!\Stop, Mai.\Why?\D-Don't...\Her remuneration.\Did she become a contractor? response:	A Moratorium?
context: Papa.\Wait... It was Ruuko who did it, not me!\Stop, Mai.\Why?\D-Don't...\Her remuneration.\Did she become a contractor?\A Moratorium? response:	The probability is practically zero...
context: Wait... It was Ruuko who did it, not me!\Stop, Mai.\Why?\D-Don't...\Her remuneration.\Did she become a contractor?\A Moratorium?\The probability is practically zero... response:	Geez, strange things sure do happen.
context: Stop, Mai.\Why?\D-Don't...\Her remuneration.\Did she become a contractor?\A Moratorium?\The probability is practically zero...\Geez, strange things sure do happen. response:	I'll forget about what happened to Tahara.
context: Why?\D-Don't...\Her remuneration.\Did she become a contractor?\A Moratorium?\The probability is practically zero...\Geez, strange things sure do happen.\I'll forget about what happened to Tahara. response:	I have something much more interesting instead.
context: D-Don't...\Her remuneration.\Did she become a contractor?\A Moratorium?\The probability is practically zero...\Geez, strange things sure do happen.\I'll forget about what happened to Tahara.\I have something much more interesting instead. response:	I feel as if I've killed many people.
context: Her remuneration.\Did she become a contractor?\A Moratorium?\The probability is practically zero...\Geez, strange things sure do happen.\I'll forget about what happened to Tahara.\I have something much more interesting instead.\I feel as if I've killed many people. response:	Don't be so depressed.
context: Did she become a contractor?\A Moratorium?\The probability is practically zero...\Geez, strange things sure do happen.\I'll forget about what happened to Tahara.\I have something much more interesting instead.\I feel as if I've killed many people.\Don't be so depressed. response:	Contractors exist solely to kill people.
context: A Moratorium?\The probability is practically zero...\Geez, strange things sure do happen.\I'll forget about what happened to Tahara.\I have something much more interesting instead.\I feel as if I've killed many people.\Don't be so depressed.\Contractors exist solely to kill people. response:	I guess you're not depressed at all.
context: The probability is practically zero...\Geez, strange things sure do happen.\I'll forget about what happened to Tahara.\I have something much more interesting instead.\I feel as if I've killed many people.\Don't be so depressed.\Contractors exist solely to kill people.\I guess you're not depressed at all. response:	Where am I going?
context: Geez, strange things sure do happen.\I'll forget about what happened to Tahara.\I have something much more interesting instead.\I feel as if I've killed many people.\Don't be so depressed.\Contractors exist solely to kill people.\I guess you're not depressed at all.\Where am I going? response:	Heaven, although it'll be a long journey by ship.
context: I'll forget about what happened to Tahara.\I have something much more interesting instead.\I feel as if I've killed many people.\Don't be so depressed.\Contractors exist solely to kill people.\I guess you're not depressed at all.\Where am I going?\Heaven, although it'll be a long journey by ship. response:	When we arrived at the scene, the Moratorium's location
context: I have something much more interesting instead.\I feel as if I've killed many people.\Don't be so depressed.\Contractors exist solely to kill people.\I guess you're not depressed at all.\Where am I going?\Heaven, although it'll be a long journey by ship.\When we arrived at the scene, the Moratorium's location response:	and Messier code BK201, which was flickering along with it,
context: I feel as if I've killed many people.\Don't be so depressed.\Contractors exist solely to kill people.\I guess you're not depressed at all.\Where am I going?\Heaven, although it'll be a long journey by ship.\When we arrived at the scene, the Moratorium's location\and Messier code BK201, which was flickering along with it, response:	could not be traced.
context: Don't be so depressed.\Contractors exist solely to kill people.\I guess you're not depressed at all.\Where am I going?\Heaven, although it'll be a long journey by ship.\When we arrived at the scene, the Moratorium's location\and Messier code BK201, which was flickering along with it,\could not be traced. response:	Eventually, investigation of Case Code 1032 was transferred away from the Department of Intelligence.
context: Contractors exist solely to kill people.\I guess you're not depressed at all.\Where am I going?\Heaven, although it'll be a long journey by ship.\When we arrived at the scene, the Moratorium's location\and Messier code BK201, which was flickering along with it,\could not be traced.\Eventually, investigation of Case Code 1032 was transferred away from the Department of Intelligence. response:	To this day, no information of any significance has surfaced.
context: I guess you're not depressed at all.\Where am I going?\Heaven, although it'll be a long journey by ship.\When we arrived at the scene, the Moratorium's location\and Messier code BK201, which was flickering along with it,\could not be traced.\Eventually, investigation of Case Code 1032 was transferred away from the Department of Intelligence.\To this day, no information of any significance has surfaced. response:	However, one thing's for certain.
context: Where am I going?\Heaven, although it'll be a long journey by ship.\When we arrived at the scene, the Moratorium's location\and Messier code BK201, which was flickering along with it,\could not be traced.\Eventually, investigation of Case Code 1032 was transferred away from the Department of Intelligence.\To this day, no information of any significance has surfaced.\However, one thing's for certain. response:	The star that appeared that day has yet to fall.
context: Heaven, although it'll be a long journey by ship.\When we arrived at the scene, the Moratorium's location\and Messier code BK201, which was flickering along with it,\could not be traced.\Eventually, investigation of Case Code 1032 was transferred away from the Department of Intelligence.\To this day, no information of any significance has surfaced.\However, one thing's for certain.\The star that appeared that day has yet to fall. response:	The being who came from Eastern Europe was a woman once referred to as a demon.
context: When we arrived at the scene, the Moratorium's location\and Messier code BK201, which was flickering along with it,\could not be traced.\Eventually, investigation of Case Code 1032 was transferred away from the Department of Intelligence.\To this day, no information of any significance has surfaced.\However, one thing's for certain.\The star that appeared that day has yet to fall.\The being who came from Eastern Europe was a woman once referred to as a demon. response:	Her blank eyes show a pale, cold light full of loss.
context: and Messier code BK201, which was flickering along with it,\could not be traced.\Eventually, investigation of Case Code 1032 was transferred away from the Department of Intelligence.\To this day, no information of any significance has surfaced.\However, one thing's for certain.\The star that appeared that day has yet to fall.\The being who came from Eastern Europe was a woman once referred to as a demon.\Her blank eyes show a pale, cold light full of loss. response:	A breath escapes from lips that remain sealed.
context: could not be traced.\Eventually, investigation of Case Code 1032 was transferred away from the Department of Intelligence.\To this day, no information of any significance has surfaced.\However, one thing's for certain.\The star that appeared that day has yet to fall.\The being who came from Eastern Europe was a woman once referred to as a demon.\Her blank eyes show a pale, cold light full of loss.\A breath escapes from lips that remain sealed. response:	Is it the devil's whisper or a sigh of relief?
context: Eventually, investigation of Case Code 1032 was transferred away from the Department of Intelligence.\To this day, no information of any significance has surfaced.\However, one thing's for certain.\The star that appeared that day has yet to fall.\The being who came from Eastern Europe was a woman once referred to as a demon.\Her blank eyes show a pale, cold light full of loss.\A breath escapes from lips that remain sealed.\Is it the devil's whisper or a sigh of relief? response:	The catastrophic wind was never to blow again.
context: To this day, no information of any significance has surfaced.\However, one thing's for certain.\The star that appeared that day has yet to fall.\The being who came from Eastern Europe was a woman once referred to as a demon.\Her blank eyes show a pale, cold light full of loss.\A breath escapes from lips that remain sealed.\Is it the devil's whisper or a sigh of relief?\The catastrophic wind was never to blow again. response:	And the trap was set.
context: However, one thing's for certain.\The star that appeared that day has yet to fall.\The being who came from Eastern Europe was a woman once referred to as a demon.\Her blank eyes show a pale, cold light full of loss.\A breath escapes from lips that remain sealed.\Is it the devil's whisper or a sigh of relief?\The catastrophic wind was never to blow again.\And the trap was set. response:	Episode Five Red Giant over Eastern Europe (Part One)
