context: Endeavor's my old man. response:	He's been stuck as the number two hero for forever.
context: Huh?\Have you finally accepted yourself?!\That's it! Good!\It all starts from here for you!\With my blood, you will surpass me...\You will fulfill my desire!\Endeavor suddenly shouts encouragement...?\Such a doting father. response:	Wow...
context: Have you finally accepted yourself?!\That's it! Good!\It all starts from here for you!\With my blood, you will surpass me...\You will fulfill my desire!\Endeavor suddenly shouts encouragement...?\Such a doting father.\Wow... response:	Why are you smiling?
context: That's it! Good!\It all starts from here for you!\With my blood, you will surpass me...\You will fulfill my desire!\Endeavor suddenly shouts encouragement...?\Such a doting father.\Wow...\Why are you smiling? response:	With those injuries...
context: It all starts from here for you!\With my blood, you will surpass me...\You will fulfill my desire!\Endeavor suddenly shouts encouragement...?\Such a doting father.\Wow...\Why are you smiling?\With those injuries... response:	In this situation...
context: With my blood, you will surpass me...\You will fulfill my desire!\Endeavor suddenly shouts encouragement...?\Such a doting father.\Wow...\Why are you smiling?\With those injuries...\In this situation... response:	You're crazy...
context: You will fulfill my desire!\Endeavor suddenly shouts encouragement...?\Such a doting father.\Wow...\Why are you smiling?\With those injuries...\In this situation...\You're crazy... response:	Don't blame me for what happens next.
context: Endeavor suddenly shouts encouragement...?\Such a doting father.\Wow...\Why are you smiling?\With those injuries...\In this situation...\You're crazy...\Don't blame me for what happens next. response:	Midnight!
context: Such a doting father.\Wow...\Why are you smiling?\With those injuries...\In this situation...\You're crazy...\Don't blame me for what happens next.\Midnight! response:	If they keep going, it'll be bad-
context: Wow...\Why are you smiling?\With those injuries...\In this situation...\You're crazy...\Don't blame me for what happens next.\Midnight!\If they keep going, it'll be bad- response:	His body won't hold up!
context: Why are you smiling?\With those injuries...\In this situation...\You're crazy...\Don't blame me for what happens next.\Midnight!\If they keep going, it'll be bad-\His body won't hold up! response:	Try to get close...
context: With those injuries...\In this situation...\You're crazy...\Don't blame me for what happens next.\Midnight!\If they keep going, it'll be bad-\His body won't hold up!\Try to get close... response:	Come at me with your full power!
context: In this situation...\You're crazy...\Don't blame me for what happens next.\Midnight!\If they keep going, it'll be bad-\His body won't hold up!\Try to get close...\Come at me with your full power! response:	Midoriya...
context: You're crazy...\Don't blame me for what happens next.\Midnight!\If they keep going, it'll be bad-\His body won't hold up!\Try to get close...\Come at me with your full power!\Midoriya... response:	Thanks.
context: Don't blame me for what happens next.\Midnight!\If they keep going, it'll be bad-\His body won't hold up!\Try to get close...\Come at me with your full power!\Midoriya...\Thanks. response:	Hey!
context: Midnight!\If they keep going, it'll be bad-\His body won't hold up!\Try to get close...\Come at me with your full power!\Midoriya...\Thanks.\Hey! response:	What the heck?!
context: If they keep going, it'll be bad-\His body won't hold up!\Try to get close...\Come at me with your full power!\Midoriya...\Thanks.\Hey!\What the heck?! response:	Man, seriously?!
context: His body won't hold up!\Try to get close...\Come at me with your full power!\Midoriya...\Thanks.\Hey!\What the heck?!\Man, seriously?! response:	What happened?
context: Try to get close...\Come at me with your full power!\Midoriya...\Thanks.\Hey!\What the heck?!\Man, seriously?!\What happened? response:	Just because something is powerful doesn't mean it's good,
context: Come at me with your full power!\Midoriya...\Thanks.\Hey!\What the heck?!\Man, seriously?!\What happened?\Just because something is powerful doesn't mean it's good, response:	but this is amazing...
context: Midoriya...\Thanks.\Hey!\What the heck?!\Man, seriously?!\What happened?\Just because something is powerful doesn't mean it's good,\but this is amazing... response:	What was that just now...?
context: Thanks.\Hey!\What the heck?!\Man, seriously?!\What happened?\Just because something is powerful doesn't mean it's good,\but this is amazing...\What was that just now...? response:	What the heck is up with your class?
context: Hey!\What the heck?!\Man, seriously?!\What happened?\Just because something is powerful doesn't mean it's good,\but this is amazing...\What was that just now...?\What the heck is up with your class? response:	The air that had been cooled thoroughly was suddenly heated up and expanded.
context: What the heck?!\Man, seriously?!\What happened?\Just because something is powerful doesn't mean it's good,\but this is amazing...\What was that just now...?\What the heck is up with your class?\The air that had been cooled thoroughly was suddenly heated up and expanded. response:	That's what created this explosion...?
context: Man, seriously?!\What happened?\Just because something is powerful doesn't mean it's good,\but this is amazing...\What was that just now...?\What the heck is up with your class?\The air that had been cooled thoroughly was suddenly heated up and expanded.\That's what created this explosion...? response:	Just how hot was that?!
context: What happened?\Just because something is powerful doesn't mean it's good,\but this is amazing...\What was that just now...?\What the heck is up with your class?\The air that had been cooled thoroughly was suddenly heated up and expanded.\That's what created this explosion...?\Just how hot was that?! response:	Jeez, I can't see a thing!
context: Just because something is powerful doesn't mean it's good,\but this is amazing...\What was that just now...?\What the heck is up with your class?\The air that had been cooled thoroughly was suddenly heated up and expanded.\That's what created this explosion...?\Just how hot was that?!\Jeez, I can't see a thing! response:	Hey, who won the match?
context: but this is amazing...\What was that just now...?\What the heck is up with your class?\The air that had been cooled thoroughly was suddenly heated up and expanded.\That's what created this explosion...?\Just how hot was that?!\Jeez, I can't see a thing!\Hey, who won the match? response:	M-Midoriya is out of bounds...
context: What was that just now...?\What the heck is up with your class?\The air that had been cooled thoroughly was suddenly heated up and expanded.\That's what created this explosion...?\Just how hot was that?!\Jeez, I can't see a thing!\Hey, who won the match?\M-Midoriya is out of bounds... response:	Todoroki advances to the third round!
context: What the heck is up with your class?\The air that had been cooled thoroughly was suddenly heated up and expanded.\That's what created this explosion...?\Just how hot was that?!\Jeez, I can't see a thing!\Hey, who won the match?\M-Midoriya is out of bounds...\Todoroki advances to the third round! response:	Shoto Todoroki: Origin
context: The air that had been cooled thoroughly was suddenly heated up and expanded.\That's what created this explosion...?\Just how hot was that?!\Jeez, I can't see a thing!\Hey, who won the match?\M-Midoriya is out of bounds...\Todoroki advances to the third round!\Shoto Todoroki: Origin response:	Preview
context: That's what created this explosion...?\Just how hot was that?!\Jeez, I can't see a thing!\Hey, who won the match?\M-Midoriya is out of bounds...\Todoroki advances to the third round!\Shoto Todoroki: Origin\Preview response:	I am Tenya Iida, the class representative of Class A,
context: Just how hot was that?!\Jeez, I can't see a thing!\Hey, who won the match?\M-Midoriya is out of bounds...\Todoroki advances to the third round!\Shoto Todoroki: Origin\Preview\I am Tenya Iida, the class representative of Class A, response:	and I am responsible for the preview.
context: Jeez, I can't see a thing!\Hey, who won the match?\M-Midoriya is out of bounds...\Todoroki advances to the third round!\Shoto Todoroki: Origin\Preview\I am Tenya Iida, the class representative of Class A,\and I am responsible for the preview. response:	This is the same way you started the preview before!
context: Hey, who won the match?\M-Midoriya is out of bounds...\Todoroki advances to the third round!\Shoto Todoroki: Origin\Preview\I am Tenya Iida, the class representative of Class A,\and I am responsible for the preview.\This is the same way you started the preview before! response:	Midoriya, I swear that I will win and advance for you, too!
context: M-Midoriya is out of bounds...\Todoroki advances to the third round!\Shoto Todoroki: Origin\Preview\I am Tenya Iida, the class representative of Class A,\and I am responsible for the preview.\This is the same way you started the preview before!\Midoriya, I swear that I will win and advance for you, too! response:	Yeah, I'm sure you can do it, Iida!
context: Todoroki advances to the third round!\Shoto Todoroki: Origin\Preview\I am Tenya Iida, the class representative of Class A,\and I am responsible for the preview.\This is the same way you started the preview before!\Midoriya, I swear that I will win and advance for you, too!\Yeah, I'm sure you can do it, Iida! response:	Yes, now that I have come this far, I must become number one and tell Tensei.
context: Shoto Todoroki: Origin\Preview\I am Tenya Iida, the class representative of Class A,\and I am responsible for the preview.\This is the same way you started the preview before!\Midoriya, I swear that I will win and advance for you, too!\Yeah, I'm sure you can do it, Iida!\Yes, now that I have come this far, I must become number one and tell Tensei. response:	Next time, Fight on, Iida!
context: Preview\I am Tenya Iida, the class representative of Class A,\and I am responsible for the preview.\This is the same way you started the preview before!\Midoriya, I swear that I will win and advance for you, too!\Yeah, I'm sure you can do it, Iida!\Yes, now that I have come this far, I must become number one and tell Tensei.\Next time, Fight on, Iida! response:	Hello, Mother? What happened to Tensei?
context: I am Tenya Iida, the class representative of Class A,\and I am responsible for the preview.\This is the same way you started the preview before!\Midoriya, I swear that I will win and advance for you, too!\Yeah, I'm sure you can do it, Iida!\Yes, now that I have come this far, I must become number one and tell Tensei.\Next time, Fight on, Iida!\Hello, Mother? What happened to Tensei? response:	What in the world happened to my brother, Tensei?!
context: and I am responsible for the preview.\This is the same way you started the preview before!\Midoriya, I swear that I will win and advance for you, too!\Yeah, I'm sure you can do it, Iida!\Yes, now that I have come this far, I must become number one and tell Tensei.\Next time, Fight on, Iida!\Hello, Mother? What happened to Tensei?\What in the world happened to my brother, Tensei?! response:	Next time: Fight on, Iida
context: This is the same way you started the preview before!\Midoriya, I swear that I will win and advance for you, too!\Yeah, I'm sure you can do it, Iida!\Yes, now that I have come this far, I must become number one and tell Tensei.\Next time, Fight on, Iida!\Hello, Mother? What happened to Tensei?\What in the world happened to my brother, Tensei?!\Next time: Fight on, Iida response:	Go beyond!
context: Midoriya, I swear that I will win and advance for you, too!\Yeah, I'm sure you can do it, Iida!\Yes, now that I have come this far, I must become number one and tell Tensei.\Next time, Fight on, Iida!\Hello, Mother? What happened to Tensei?\What in the world happened to my brother, Tensei?!\Next time: Fight on, Iida\Go beyond! response:	Plus Ultra!
