context: To Mr. Junichi Katsuragi response:	I empathize with you. You were right about the way things are, but we should stand up for ourselves. And so, I have decided to form a publishing company together with a few of our comrades joining forces. I would like you to see it as the same battle but in a new form, and hope you will join me in this endeavor. I want to talk to you about this face to face.
context: Don't play dumb! Are you going to be stubborn'til it's too late?!\Brother Jun is leaving this town today or tomorrow!\It's today.\I'm taking the night train, Kaoru-kun.\Sen-boy, this was rather old-fashioned of you.\Letter of Challenge\I thought it was some kind of joke.\It's no joke. response:	I wanted to try havin' a serious showdown with you, Brother Jun.
context: Brother Jun is leaving this town today or tomorrow!\It's today.\I'm taking the night train, Kaoru-kun.\Sen-boy, this was rather old-fashioned of you.\Letter of Challenge\I thought it was some kind of joke.\It's no joke.\I wanted to try havin' a serious showdown with you, Brother Jun. response:	Wait... You're not really...
context: It's today.\I'm taking the night train, Kaoru-kun.\Sen-boy, this was rather old-fashioned of you.\Letter of Challenge\I thought it was some kind of joke.\It's no joke.\I wanted to try havin' a serious showdown with you, Brother Jun.\Wait... You're not really... response:	I made it in time?
context: I'm taking the night train, Kaoru-kun.\Sen-boy, this was rather old-fashioned of you.\Letter of Challenge\I thought it was some kind of joke.\It's no joke.\I wanted to try havin' a serious showdown with you, Brother Jun.\Wait... You're not really...\I made it in time? response:	Let me in on it, too.
context: Sen-boy, this was rather old-fashioned of you.\Letter of Challenge\I thought it was some kind of joke.\It's no joke.\I wanted to try havin' a serious showdown with you, Brother Jun.\Wait... You're not really...\I made it in time?\Let me in on it, too. response:	This is no duet.
context: Letter of Challenge\I thought it was some kind of joke.\It's no joke.\I wanted to try havin' a serious showdown with you, Brother Jun.\Wait... You're not really...\I made it in time?\Let me in on it, too.\This is no duet. response:	They're seriously duking it out.
context: I thought it was some kind of joke.\It's no joke.\I wanted to try havin' a serious showdown with you, Brother Jun.\Wait... You're not really...\I made it in time?\Let me in on it, too.\This is no duet.\They're seriously duking it out. response:	Sorry for causing you so much trouble, Pops.
context: It's no joke.\I wanted to try havin' a serious showdown with you, Brother Jun.\Wait... You're not really...\I made it in time?\Let me in on it, too.\This is no duet.\They're seriously duking it out.\Sorry for causing you so much trouble, Pops. response:	Tell me about it! And when you reach Tokyo,
context: I wanted to try havin' a serious showdown with you, Brother Jun.\Wait... You're not really...\I made it in time?\Let me in on it, too.\This is no duet.\They're seriously duking it out.\Sorry for causing you so much trouble, Pops.\Tell me about it! And when you reach Tokyo, response:	first thing you do is get to a barber!
context: Wait... You're not really...\I made it in time?\Let me in on it, too.\This is no duet.\They're seriously duking it out.\Sorry for causing you so much trouble, Pops.\Tell me about it! And when you reach Tokyo,\first thing you do is get to a barber! response:	Sure, sure.
context: I made it in time?\Let me in on it, too.\This is no duet.\They're seriously duking it out.\Sorry for causing you so much trouble, Pops.\Tell me about it! And when you reach Tokyo,\first thing you do is get to a barber!\Sure, sure. response:	Well, I'm off.
context: Let me in on it, too.\This is no duet.\They're seriously duking it out.\Sorry for causing you so much trouble, Pops.\Tell me about it! And when you reach Tokyo,\first thing you do is get to a barber!\Sure, sure.\Well, I'm off. response:	Brother Jun!
context: This is no duet.\They're seriously duking it out.\Sorry for causing you so much trouble, Pops.\Tell me about it! And when you reach Tokyo,\first thing you do is get to a barber!\Sure, sure.\Well, I'm off.\Brother Jun! response:	I'll remember today's session for the rest of my life!
context: They're seriously duking it out.\Sorry for causing you so much trouble, Pops.\Tell me about it! And when you reach Tokyo,\first thing you do is get to a barber!\Sure, sure.\Well, I'm off.\Brother Jun!\I'll remember today's session for the rest of my life! response:	Yeah. Me too, Sen-boy.
context: Sorry for causing you so much trouble, Pops.\Tell me about it! And when you reach Tokyo,\first thing you do is get to a barber!\Sure, sure.\Well, I'm off.\Brother Jun!\I'll remember today's session for the rest of my life!\Yeah. Me too, Sen-boy. response:	What are you doing here? I told you not to see me off.
context: Tell me about it! And when you reach Tokyo,\first thing you do is get to a barber!\Sure, sure.\Well, I'm off.\Brother Jun!\I'll remember today's session for the rest of my life!\Yeah. Me too, Sen-boy.\What are you doing here? I told you not to see me off. response:	I have four questions I want you to answer.
context: first thing you do is get to a barber!\Sure, sure.\Well, I'm off.\Brother Jun!\I'll remember today's session for the rest of my life!\Yeah. Me too, Sen-boy.\What are you doing here? I told you not to see me off.\I have four questions I want you to answer. response:	If you try to dodge me, I'll get on this train with you.
context: Sure, sure.\Well, I'm off.\Brother Jun!\I'll remember today's session for the rest of my life!\Yeah. Me too, Sen-boy.\What are you doing here? I told you not to see me off.\I have four questions I want you to answer.\If you try to dodge me, I'll get on this train with you. response:	So answer me truthfully.
context: Well, I'm off.\Brother Jun!\I'll remember today's session for the rest of my life!\Yeah. Me too, Sen-boy.\What are you doing here? I told you not to see me off.\I have four questions I want you to answer.\If you try to dodge me, I'll get on this train with you.\So answer me truthfully. response:	Question number one: Why did you tell me not to see you off?
context: Brother Jun!\I'll remember today's session for the rest of my life!\Yeah. Me too, Sen-boy.\What are you doing here? I told you not to see me off.\I have four questions I want you to answer.\If you try to dodge me, I'll get on this train with you.\So answer me truthfully.\Question number one: Why did you tell me not to see you off? response:	I hate sad goodbye scenes.
context: I'll remember today's session for the rest of my life!\Yeah. Me too, Sen-boy.\What are you doing here? I told you not to see me off.\I have four questions I want you to answer.\If you try to dodge me, I'll get on this train with you.\So answer me truthfully.\Question number one: Why did you tell me not to see you off?\I hate sad goodbye scenes. response:	Question number two: Didn't you think to take me with you?
context: Yeah. Me too, Sen-boy.\What are you doing here? I told you not to see me off.\I have four questions I want you to answer.\If you try to dodge me, I'll get on this train with you.\So answer me truthfully.\Question number one: Why did you tell me not to see you off?\I hate sad goodbye scenes.\Question number two: Didn't you think to take me with you? response:	The work I'm going to be doing is kind of a gamble.
context: What are you doing here? I told you not to see me off.\I have four questions I want you to answer.\If you try to dodge me, I'll get on this train with you.\So answer me truthfully.\Question number one: Why did you tell me not to see you off?\I hate sad goodbye scenes.\Question number two: Didn't you think to take me with you?\The work I'm going to be doing is kind of a gamble. response:	Even if I took you with me, there's no guarantee of making any kind of living.
context: I have four questions I want you to answer.\If you try to dodge me, I'll get on this train with you.\So answer me truthfully.\Question number one: Why did you tell me not to see you off?\I hate sad goodbye scenes.\Question number two: Didn't you think to take me with you?\The work I'm going to be doing is kind of a gamble.\Even if I took you with me, there's no guarantee of making any kind of living. response:	Besides, you're still in high school.
context: If you try to dodge me, I'll get on this train with you.\So answer me truthfully.\Question number one: Why did you tell me not to see you off?\I hate sad goodbye scenes.\Question number two: Didn't you think to take me with you?\The work I'm going to be doing is kind of a gamble.\Even if I took you with me, there's no guarantee of making any kind of living.\Besides, you're still in high school. response:	Question number three...
context: So answer me truthfully.\Question number one: Why did you tell me not to see you off?\I hate sad goodbye scenes.\Question number two: Didn't you think to take me with you?\The work I'm going to be doing is kind of a gamble.\Even if I took you with me, there's no guarantee of making any kind of living.\Besides, you're still in high school.\Question number three... response:	Why didn't you do anything more than kiss me?!
context: Question number one: Why did you tell me not to see you off?\I hate sad goodbye scenes.\Question number two: Didn't you think to take me with you?\The work I'm going to be doing is kind of a gamble.\Even if I took you with me, there's no guarantee of making any kind of living.\Besides, you're still in high school.\Question number three...\Why didn't you do anything more than kiss me?! response:	Did you not touch me because you intended to leave from the start?
context: I hate sad goodbye scenes.\Question number two: Didn't you think to take me with you?\The work I'm going to be doing is kind of a gamble.\Even if I took you with me, there's no guarantee of making any kind of living.\Besides, you're still in high school.\Question number three...\Why didn't you do anything more than kiss me?!\Did you not touch me because you intended to leave from the start? response:	No.
context: Question number two: Didn't you think to take me with you?\The work I'm going to be doing is kind of a gamble.\Even if I took you with me, there's no guarantee of making any kind of living.\Besides, you're still in high school.\Question number three...\Why didn't you do anything more than kiss me?!\Did you not touch me because you intended to leave from the start?\No. response:	I knew. I knew how much you cared about me...
context: The work I'm going to be doing is kind of a gamble.\Even if I took you with me, there's no guarantee of making any kind of living.\Besides, you're still in high school.\Question number three...\Why didn't you do anything more than kiss me?!\Did you not touch me because you intended to leave from the start?\No.\I knew. I knew how much you cared about me... response:	This is my last question...
context: Even if I took you with me, there's no guarantee of making any kind of living.\Besides, you're still in high school.\Question number three...\Why didn't you do anything more than kiss me?!\Did you not touch me because you intended to leave from the start?\No.\I knew. I knew how much you cared about me...\This is my last question... response:	Won't you take me with you?
context: Besides, you're still in high school.\Question number three...\Why didn't you do anything more than kiss me?!\Did you not touch me because you intended to leave from the start?\No.\I knew. I knew how much you cared about me...\This is my last question...\Won't you take me with you? response:	I want you to take good care of your own life.
context: Question number three...\Why didn't you do anything more than kiss me?!\Did you not touch me because you intended to leave from the start?\No.\I knew. I knew how much you cared about me...\This is my last question...\Won't you take me with you?\I want you to take good care of your own life. response:	I figured you would say something like that.
context: Why didn't you do anything more than kiss me?!\Did you not touch me because you intended to leave from the start?\No.\I knew. I knew how much you cared about me...\This is my last question...\Won't you take me with you?\I want you to take good care of your own life.\I figured you would say something like that. response:	Now it feels like I've been set free, too.
context: Did you not touch me because you intended to leave from the start?\No.\I knew. I knew how much you cared about me...\This is my last question...\Won't you take me with you?\I want you to take good care of your own life.\I figured you would say something like that.\Now it feels like I've been set free, too. response:	I'm going back to my own world.
context: No.\I knew. I knew how much you cared about me...\This is my last question...\Won't you take me with you?\I want you to take good care of your own life.\I figured you would say something like that.\Now it feels like I've been set free, too.\I'm going back to my own world. response:	Thank you, Junichi-san.
context: I knew. I knew how much you cared about me...\This is my last question...\Won't you take me with you?\I want you to take good care of your own life.\I figured you would say something like that.\Now it feels like I've been set free, too.\I'm going back to my own world.\Thank you, Junichi-san. response:	Goodbye.
context: This is my last question...\Won't you take me with you?\I want you to take good care of your own life.\I figured you would say something like that.\Now it feels like I've been set free, too.\I'm going back to my own world.\Thank you, Junichi-san.\Goodbye. response:	Yurika, where are you?!
context: Won't you take me with you?\I want you to take good care of your own life.\I figured you would say something like that.\Now it feels like I've been set free, too.\I'm going back to my own world.\Thank you, Junichi-san.\Goodbye.\Yurika, where are you?! response:	Come out, Yurika!
context: I want you to take good care of your own life.\I figured you would say something like that.\Now it feels like I've been set free, too.\I'm going back to my own world.\Thank you, Junichi-san.\Goodbye.\Yurika, where are you?!\Come out, Yurika! response:	How dare you embarrass us by walking out
context: I figured you would say something like that.\Now it feels like I've been set free, too.\I'm going back to my own world.\Thank you, Junichi-san.\Goodbye.\Yurika, where are you?!\Come out, Yurika!\How dare you embarrass us by walking out response:	in the middle of an arranged marriage meeting like that?!
context: Now it feels like I've been set free, too.\I'm going back to my own world.\Thank you, Junichi-san.\Goodbye.\Yurika, where are you?!\Come out, Yurika!\How dare you embarrass us by walking out\in the middle of an arranged marriage meeting like that?! response:	Calm down, dear!
context: I'm going back to my own world.\Thank you, Junichi-san.\Goodbye.\Yurika, where are you?!\Come out, Yurika!\How dare you embarrass us by walking out\in the middle of an arranged marriage meeting like that?!\Calm down, dear! response:	We're going back there together, Yurika!
context: Thank you, Junichi-san.\Goodbye.\Yurika, where are you?!\Come out, Yurika!\How dare you embarrass us by walking out\in the middle of an arranged marriage meeting like that?!\Calm down, dear!\We're going back there together, Yurika! response:	Yurika, where are you?!
context: Goodbye.\Yurika, where are you?!\Come out, Yurika!\How dare you embarrass us by walking out\in the middle of an arranged marriage meeting like that?!\Calm down, dear!\We're going back there together, Yurika!\Yurika, where are you?! response:	I'm going back to my own world.
context: Yurika, where are you?!\Come out, Yurika!\How dare you embarrass us by walking out\in the middle of an arranged marriage meeting like that?!\Calm down, dear!\We're going back there together, Yurika!\Yurika, where are you?!\I'm going back to my own world. response:	I dragged you on board...
context: Come out, Yurika!\How dare you embarrass us by walking out\in the middle of an arranged marriage meeting like that?!\Calm down, dear!\We're going back there together, Yurika!\Yurika, where are you?!\I'm going back to my own world.\I dragged you on board... response:	Now what?
context: How dare you embarrass us by walking out\in the middle of an arranged marriage meeting like that?!\Calm down, dear!\We're going back there together, Yurika!\Yurika, where are you?!\I'm going back to my own world.\I dragged you on board...\Now what? response:	What is there to do? The train's already left the station.
context: in the middle of an arranged marriage meeting like that?!\Calm down, dear!\We're going back there together, Yurika!\Yurika, where are you?!\I'm going back to my own world.\I dragged you on board...\Now what?\What is there to do? The train's already left the station. response:	Yeah...
context: Calm down, dear!\We're going back there together, Yurika!\Yurika, where are you?!\I'm going back to my own world.\I dragged you on board...\Now what?\What is there to do? The train's already left the station.\Yeah... response:	Well, when we get there, we'll go to my room first
context: We're going back there together, Yurika!\Yurika, where are you?!\I'm going back to my own world.\I dragged you on board...\Now what?\What is there to do? The train's already left the station.\Yeah...\Well, when we get there, we'll go to my room first response:	and maybe I'll have you cut my hair.
context: Yurika, where are you?!\I'm going back to my own world.\I dragged you on board...\Now what?\What is there to do? The train's already left the station.\Yeah...\Well, when we get there, we'll go to my room first\and maybe I'll have you cut my hair. response:	It's freezing today.
context: I'm going back to my own world.\I dragged you on board...\Now what?\What is there to do? The train's already left the station.\Yeah...\Well, when we get there, we'll go to my room first\and maybe I'll have you cut my hair.\It's freezing today. response:	Yeah. Think I'll light the heater.
context: I dragged you on board...\Now what?\What is there to do? The train's already left the station.\Yeah...\Well, when we get there, we'll go to my room first\and maybe I'll have you cut my hair.\It's freezing today.\Yeah. Think I'll light the heater. response:	I waited for you on that slope
context: Now what?\What is there to do? The train's already left the station.\Yeah...\Well, when we get there, we'll go to my room first\and maybe I'll have you cut my hair.\It's freezing today.\Yeah. Think I'll light the heater.\I waited for you on that slope response:	For our after school promise
context: What is there to do? The train's already left the station.\Yeah...\Well, when we get there, we'll go to my room first\and maybe I'll have you cut my hair.\It's freezing today.\Yeah. Think I'll light the heater.\I waited for you on that slope\For our after school promise response:	There was a'goodbye' blurred far away
context: Yeah...\Well, when we get there, we'll go to my room first\and maybe I'll have you cut my hair.\It's freezing today.\Yeah. Think I'll light the heater.\I waited for you on that slope\For our after school promise\There was a'goodbye' blurred far away response:	I was so weak, so awkward, and so fragile back then
context: Well, when we get there, we'll go to my room first\and maybe I'll have you cut my hair.\It's freezing today.\Yeah. Think I'll light the heater.\I waited for you on that slope\For our after school promise\There was a'goodbye' blurred far away\I was so weak, so awkward, and so fragile back then response:	But you gave me a small pair of wings
context: and maybe I'll have you cut my hair.\It's freezing today.\Yeah. Think I'll light the heater.\I waited for you on that slope\For our after school promise\There was a'goodbye' blurred far away\I was so weak, so awkward, and so fragile back then\But you gave me a small pair of wings response:	In the twilight hour of the sky,
context: It's freezing today.\Yeah. Think I'll light the heater.\I waited for you on that slope\For our after school promise\There was a'goodbye' blurred far away\I was so weak, so awkward, and so fragile back then\But you gave me a small pair of wings\In the twilight hour of the sky, response:	I'm searching for a gleam of light
context: Yeah. Think I'll light the heater.\I waited for you on that slope\For our after school promise\There was a'goodbye' blurred far away\I was so weak, so awkward, and so fragile back then\But you gave me a small pair of wings\In the twilight hour of the sky,\I'm searching for a gleam of light response:	If only I could have said that I love you
context: I waited for you on that slope\For our after school promise\There was a'goodbye' blurred far away\I was so weak, so awkward, and so fragile back then\But you gave me a small pair of wings\In the twilight hour of the sky,\I'm searching for a gleam of light\If only I could have said that I love you response:	The note that I wrote in the corner of my textbook
context: For our after school promise\There was a'goodbye' blurred far away\I was so weak, so awkward, and so fragile back then\But you gave me a small pair of wings\In the twilight hour of the sky,\I'm searching for a gleam of light\If only I could have said that I love you\The note that I wrote in the corner of my textbook response:	has never been delivered to this day
