context: Signs response:	Openingz
context: I moved in without the determination to shoulder their lives.\I even gave up on my life without realizing the responsibility I held.\And it was all due to my own issues.\I...\All right!\Your maneuver gear's good to go.\I gave you all of my blades as well.\Just leave one with me. response:	Now that I think about it, I don't want to be eaten alive.
context: I even gave up on my life without realizing the responsibility I held.\And it was all due to my own issues.\I...\All right!\Your maneuver gear's good to go.\I gave you all of my blades as well.\Just leave one with me.\Now that I think about it, I don't want to be eaten alive. response:	B-But...
context: And it was all due to my own issues.\I...\All right!\Your maneuver gear's good to go.\I gave you all of my blades as well.\Just leave one with me.\Now that I think about it, I don't want to be eaten alive.\B-But... response:	Armin.
context: I...\All right!\Your maneuver gear's good to go.\I gave you all of my blades as well.\Just leave one with me.\Now that I think about it, I don't want to be eaten alive.\B-But...\Armin. response:	I won't leave you behind.
context: All right!\Your maneuver gear's good to go.\I gave you all of my blades as well.\Just leave one with me.\Now that I think about it, I don't want to be eaten alive.\B-But...\Armin.\I won't leave you behind. response:	At that moment...
context: Your maneuver gear's good to go.\I gave you all of my blades as well.\Just leave one with me.\Now that I think about it, I don't want to be eaten alive.\B-But...\Armin.\I won't leave you behind.\At that moment... response:	I was utterly confused.
context: I gave you all of my blades as well.\Just leave one with me.\Now that I think about it, I don't want to be eaten alive.\B-But...\Armin.\I won't leave you behind.\At that moment...\I was utterly confused. response:	I've never heard about Titans killing their own kind.
context: Just leave one with me.\Now that I think about it, I don't want to be eaten alive.\B-But...\Armin.\I won't leave you behind.\At that moment...\I was utterly confused.\I've never heard about Titans killing their own kind. response:	Then I was slighty exalted.
context: Now that I think about it, I don't want to be eaten alive.\B-But...\Armin.\I won't leave you behind.\At that moment...\I was utterly confused.\I've never heard about Titans killing their own kind.\Then I was slighty exalted. response:	Because what I was looking at
context: B-But...\Armin.\I won't leave you behind.\At that moment...\I was utterly confused.\I've never heard about Titans killing their own kind.\Then I was slighty exalted.\Because what I was looking at response:	felt like the reification of mankind's anger.
context: Armin.\I won't leave you behind.\At that moment...\I was utterly confused.\I've never heard about Titans killing their own kind.\Then I was slighty exalted.\Because what I was looking at\felt like the reification of mankind's anger. response:	A Titan that kills Titans.
context: I won't leave you behind.\At that moment...\I was utterly confused.\I've never heard about Titans killing their own kind.\Then I was slighty exalted.\Because what I was looking at\felt like the reification of mankind's anger.\A Titan that kills Titans. response:	The cadets of the 104th class stood astounded and petrified after seeing it for themselves.
context: At that moment...\I was utterly confused.\I've never heard about Titans killing their own kind.\Then I was slighty exalted.\Because what I was looking at\felt like the reification of mankind's anger.\A Titan that kills Titans.\The cadets of the 104th class stood astounded and petrified after seeing it for themselves. response:	Soon, however, they witnessed something even more shocking.
context: I was utterly confused.\I've never heard about Titans killing their own kind.\Then I was slighty exalted.\Because what I was looking at\felt like the reification of mankind's anger.\A Titan that kills Titans.\The cadets of the 104th class stood astounded and petrified after seeing it for themselves.\Soon, however, they witnessed something even more shocking. response:	A Small Blade
context: I've never heard about Titans killing their own kind.\Then I was slighty exalted.\Because what I was looking at\felt like the reification of mankind's anger.\A Titan that kills Titans.\The cadets of the 104th class stood astounded and petrified after seeing it for themselves.\Soon, however, they witnessed something even more shocking.\A Small Blade response:	Defense of Trost (pt 3)
context: Then I was slighty exalted.\Because what I was looking at\felt like the reification of mankind's anger.\A Titan that kills Titans.\The cadets of the 104th class stood astounded and petrified after seeing it for themselves.\Soon, however, they witnessed something even more shocking.\A Small Blade\Defense of Trost (pt 3) response:	I Can Hear a Heart Beating
context: Because what I was looking at\felt like the reification of mankind's anger.\A Titan that kills Titans.\The cadets of the 104th class stood astounded and petrified after seeing it for themselves.\Soon, however, they witnessed something even more shocking.\A Small Blade\Defense of Trost (pt 3)\I Can Hear a Heart Beating response:	Defense of Trost (pt 4)
context: felt like the reification of mankind's anger.\A Titan that kills Titans.\The cadets of the 104th class stood astounded and petrified after seeing it for themselves.\Soon, however, they witnessed something even more shocking.\A Small Blade\Defense of Trost (pt 3)\I Can Hear a Heart Beating\Defense of Trost (pt 4) response:	Currently Disclosable Information
context: A Titan that kills Titans.\The cadets of the 104th class stood astounded and petrified after seeing it for themselves.\Soon, however, they witnessed something even more shocking.\A Small Blade\Defense of Trost (pt 3)\I Can Hear a Heart Beating\Defense of Trost (pt 4)\Currently Disclosable Information response:	Design of the 3D Maneuver Gear (pt 1) (The spatial maneuver unit) It reels steel cables in from the drum There are two independent axes
context: The cadets of the 104th class stood astounded and petrified after seeing it for themselves.\Soon, however, they witnessed something even more shocking.\A Small Blade\Defense of Trost (pt 3)\I Can Hear a Heart Beating\Defense of Trost (pt 4)\Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 1) (The spatial maneuver unit) It reels steel cables in from the drum There are two independent axes response:	Currently Disclosable Information
context: Soon, however, they witnessed something even more shocking.\A Small Blade\Defense of Trost (pt 3)\I Can Hear a Heart Beating\Defense of Trost (pt 4)\Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 1) (The spatial maneuver unit) It reels steel cables in from the drum There are two independent axes\Currently Disclosable Information response:	Design of the 3D Maneuver Gear (pt 2) (The control unit) The control unit is a black box (The engineering department designs and improves it in secret) (The gas cylinder) The cylinder is filled with compressed gas
context: A Small Blade\Defense of Trost (pt 3)\I Can Hear a Heart Beating\Defense of Trost (pt 4)\Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 1) (The spatial maneuver unit) It reels steel cables in from the drum There are two independent axes\Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 2) (The control unit) The control unit is a black box (The engineering department designs and improves it in secret) (The gas cylinder) The cylinder is filled with compressed gas response:	No one remembers the names of the trampled flowers
context: Defense of Trost (pt 3)\I Can Hear a Heart Beating\Defense of Trost (pt 4)\Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 1) (The spatial maneuver unit) It reels steel cables in from the drum There are two independent axes\Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 2) (The control unit) The control unit is a black box (The engineering department designs and improves it in secret) (The gas cylinder) The cylinder is filled with compressed gas\No one remembers the names of the trampled flowers response:	Fallen birds await the next wind before they try again
context: I Can Hear a Heart Beating\Defense of Trost (pt 4)\Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 1) (The spatial maneuver unit) It reels steel cables in from the drum There are two independent axes\Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 2) (The control unit) The control unit is a black box (The engineering department designs and improves it in secret) (The gas cylinder) The cylinder is filled with compressed gas\No one remembers the names of the trampled flowers\Fallen birds await the next wind before they try again response:	Prayers won't save us
context: Defense of Trost (pt 4)\Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 1) (The spatial maneuver unit) It reels steel cables in from the drum There are two independent axes\Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 2) (The control unit) The control unit is a black box (The engineering department designs and improves it in secret) (The gas cylinder) The cylinder is filled with compressed gas\No one remembers the names of the trampled flowers\Fallen birds await the next wind before they try again\Prayers won't save us response:	Only the will to fight can change our world
context: Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 1) (The spatial maneuver unit) It reels steel cables in from the drum There are two independent axes\Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 2) (The control unit) The control unit is a black box (The engineering department designs and improves it in secret) (The gas cylinder) The cylinder is filled with compressed gas\No one remembers the names of the trampled flowers\Fallen birds await the next wind before they try again\Prayers won't save us\Only the will to fight can change our world response:	Ignore those pigs who ridicule you
context: Design of the 3D Maneuver Gear (pt 1) (The spatial maneuver unit) It reels steel cables in from the drum There are two independent axes\Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 2) (The control unit) The control unit is a black box (The engineering department designs and improves it in secret) (The gas cylinder) The cylinder is filled with compressed gas\No one remembers the names of the trampled flowers\Fallen birds await the next wind before they try again\Prayers won't save us\Only the will to fight can change our world\Ignore those pigs who ridicule you response:	for having the will to step over dead bodies and move on
context: Currently Disclosable Information\Design of the 3D Maneuver Gear (pt 2) (The control unit) The control unit is a black box (The engineering department designs and improves it in secret) (The gas cylinder) The cylinder is filled with compressed gas\No one remembers the names of the trampled flowers\Fallen birds await the next wind before they try again\Prayers won't save us\Only the will to fight can change our world\Ignore those pigs who ridicule you\for having the will to step over dead bodies and move on response:	Our complacence as livestock strengthens this false reality
context: Design of the 3D Maneuver Gear (pt 2) (The control unit) The control unit is a black box (The engineering department designs and improves it in secret) (The gas cylinder) The cylinder is filled with compressed gas\No one remembers the names of the trampled flowers\Fallen birds await the next wind before they try again\Prayers won't save us\Only the will to fight can change our world\Ignore those pigs who ridicule you\for having the will to step over dead bodies and move on\Our complacence as livestock strengthens this false reality response:	We're as free as starving wolves!
context: No one remembers the names of the trampled flowers\Fallen birds await the next wind before they try again\Prayers won't save us\Only the will to fight can change our world\Ignore those pigs who ridicule you\for having the will to step over dead bodies and move on\Our complacence as livestock strengthens this false reality\We're as free as starving wolves! response:	Channel the humiliation of imprisonment into your arrows and begin the resistance
context: Fallen birds await the next wind before they try again\Prayers won't save us\Only the will to fight can change our world\Ignore those pigs who ridicule you\for having the will to step over dead bodies and move on\Our complacence as livestock strengthens this false reality\We're as free as starving wolves!\Channel the humiliation of imprisonment into your arrows and begin the resistance response:	Far beyond the confining walls, you'll slay your prey!
context: Prayers won't save us\Only the will to fight can change our world\Ignore those pigs who ridicule you\for having the will to step over dead bodies and move on\Our complacence as livestock strengthens this false reality\We're as free as starving wolves!\Channel the humiliation of imprisonment into your arrows and begin the resistance\Far beyond the confining walls, you'll slay your prey! response:	As your body burns with an overflowing urge,
context: Only the will to fight can change our world\Ignore those pigs who ridicule you\for having the will to step over dead bodies and move on\Our complacence as livestock strengthens this false reality\We're as free as starving wolves!\Channel the humiliation of imprisonment into your arrows and begin the resistance\Far beyond the confining walls, you'll slay your prey!\As your body burns with an overflowing urge, response:	pick up your burning bow and gash through the twilight
context: Ignore those pigs who ridicule you\for having the will to step over dead bodies and move on\Our complacence as livestock strengthens this false reality\We're as free as starving wolves!\Channel the humiliation of imprisonment into your arrows and begin the resistance\Far beyond the confining walls, you'll slay your prey!\As your body burns with an overflowing urge,\pick up your burning bow and gash through the twilight response:	Fumareta Hana no Namae mo Shirazuni
context: for having the will to step over dead bodies and move on\Our complacence as livestock strengthens this false reality\We're as free as starving wolves!\Channel the humiliation of imprisonment into your arrows and begin the resistance\Far beyond the confining walls, you'll slay your prey!\As your body burns with an overflowing urge,\pick up your burning bow and gash through the twilight\Fumareta Hana no Namae mo Shirazuni response:	Chiriochita Tori wa Kaze wo Machiwabiru
context: Our complacence as livestock strengthens this false reality\We're as free as starving wolves!\Channel the humiliation of imprisonment into your arrows and begin the resistance\Far beyond the confining walls, you'll slay your prey!\As your body burns with an overflowing urge,\pick up your burning bow and gash through the twilight\Fumareta Hana no Namae mo Shirazuni\Chiriochita Tori wa Kaze wo Machiwabiru response:	Inotta Tokoro de Nani mo Kawaranai
context: We're as free as starving wolves!\Channel the humiliation of imprisonment into your arrows and begin the resistance\Far beyond the confining walls, you'll slay your prey!\As your body burns with an overflowing urge,\pick up your burning bow and gash through the twilight\Fumareta Hana no Namae mo Shirazuni\Chiriochita Tori wa Kaze wo Machiwabiru\Inotta Tokoro de Nani mo Kawaranai response:	Ima wo Kaeruno wa Tatakau Kakugo da
context: Channel the humiliation of imprisonment into your arrows and begin the resistance\Far beyond the confining walls, you'll slay your prey!\As your body burns with an overflowing urge,\pick up your burning bow and gash through the twilight\Fumareta Hana no Namae mo Shirazuni\Chiriochita Tori wa Kaze wo Machiwabiru\Inotta Tokoro de Nani mo Kawaranai\Ima wo Kaeruno wa Tatakau Kakugo da response:	Shikabane Fumikoete
context: Far beyond the confining walls, you'll slay your prey!\As your body burns with an overflowing urge,\pick up your burning bow and gash through the twilight\Fumareta Hana no Namae mo Shirazuni\Chiriochita Tori wa Kaze wo Machiwabiru\Inotta Tokoro de Nani mo Kawaranai\Ima wo Kaeruno wa Tatakau Kakugo da\Shikabane Fumikoete response:	Susumu Ishi wo Warau Butayo
context: As your body burns with an overflowing urge,\pick up your burning bow and gash through the twilight\Fumareta Hana no Namae mo Shirazuni\Chiriochita Tori wa Kaze wo Machiwabiru\Inotta Tokoro de Nani mo Kawaranai\Ima wo Kaeruno wa Tatakau Kakugo da\Shikabane Fumikoete\Susumu Ishi wo Warau Butayo response:	Kachiku no Annei Kyoi no Han'ei
context: pick up your burning bow and gash through the twilight\Fumareta Hana no Namae mo Shirazuni\Chiriochita Tori wa Kaze wo Machiwabiru\Inotta Tokoro de Nani mo Kawaranai\Ima wo Kaeruno wa Tatakau Kakugo da\Shikabane Fumikoete\Susumu Ishi wo Warau Butayo\Kachiku no Annei Kyoi no Han'ei response:	Shiseru Garou no Jiyuu wo
context: Fumareta Hana no Namae mo Shirazuni\Chiriochita Tori wa Kaze wo Machiwabiru\Inotta Tokoro de Nani mo Kawaranai\Ima wo Kaeruno wa Tatakau Kakugo da\Shikabane Fumikoete\Susumu Ishi wo Warau Butayo\Kachiku no Annei Kyoi no Han'ei\Shiseru Garou no Jiyuu wo response:	Torawareta Kutsujoku wa Hangeki no Koushi da
context: Chiriochita Tori wa Kaze wo Machiwabiru\Inotta Tokoro de Nani mo Kawaranai\Ima wo Kaeruno wa Tatakau Kakugo da\Shikabane Fumikoete\Susumu Ishi wo Warau Butayo\Kachiku no Annei Kyoi no Han'ei\Shiseru Garou no Jiyuu wo\Torawareta Kutsujoku wa Hangeki no Koushi da response:	Jouheki no Sono Kanata Emono wo Houru
context: Inotta Tokoro de Nani mo Kawaranai\Ima wo Kaeruno wa Tatakau Kakugo da\Shikabane Fumikoete\Susumu Ishi wo Warau Butayo\Kachiku no Annei Kyoi no Han'ei\Shiseru Garou no Jiyuu wo\Torawareta Kutsujoku wa Hangeki no Koushi da\Jouheki no Sono Kanata Emono wo Houru response:	Hotobashiru Shoudou ni Sono Mi wo Yakinagara
context: Ima wo Kaeruno wa Tatakau Kakugo da\Shikabane Fumikoete\Susumu Ishi wo Warau Butayo\Kachiku no Annei Kyoi no Han'ei\Shiseru Garou no Jiyuu wo\Torawareta Kutsujoku wa Hangeki no Koushi da\Jouheki no Sono Kanata Emono wo Houru\Hotobashiru Shoudou ni Sono Mi wo Yakinagara response:	Tasogare ni Hi wo Ukatsu Guren no Yumiya
context: Shikabane Fumikoete\Susumu Ishi wo Warau Butayo\Kachiku no Annei Kyoi no Han'ei\Shiseru Garou no Jiyuu wo\Torawareta Kutsujoku wa Hangeki no Koushi da\Jouheki no Sono Kanata Emono wo Houru\Hotobashiru Shoudou ni Sono Mi wo Yakinagara\Tasogare ni Hi wo Ukatsu Guren no Yumiya response:	sono yume wa kokoro no ibasho
context: Susumu Ishi wo Warau Butayo\Kachiku no Annei Kyoi no Han'ei\Shiseru Garou no Jiyuu wo\Torawareta Kutsujoku wa Hangeki no Koushi da\Jouheki no Sono Kanata Emono wo Houru\Hotobashiru Shoudou ni Sono Mi wo Yakinagara\Tasogare ni Hi wo Ukatsu Guren no Yumiya\sono yume wa kokoro no ibasho response:	inochi yori kowareyasuki mono
context: Kachiku no Annei Kyoi no Han'ei\Shiseru Garou no Jiyuu wo\Torawareta Kutsujoku wa Hangeki no Koushi da\Jouheki no Sono Kanata Emono wo Houru\Hotobashiru Shoudou ni Sono Mi wo Yakinagara\Tasogare ni Hi wo Ukatsu Guren no Yumiya\sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono response:	nandodemo sutete wa mitsuke
context: Shiseru Garou no Jiyuu wo\Torawareta Kutsujoku wa Hangeki no Koushi da\Jouheki no Sono Kanata Emono wo Houru\Hotobashiru Shoudou ni Sono Mi wo Yakinagara\Tasogare ni Hi wo Ukatsu Guren no Yumiya\sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke response:	yasuraka ni saa nemure
context: Torawareta Kutsujoku wa Hangeki no Koushi da\Jouheki no Sono Kanata Emono wo Houru\Hotobashiru Shoudou ni Sono Mi wo Yakinagara\Tasogare ni Hi wo Ukatsu Guren no Yumiya\sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke\yasuraka ni saa nemure response:	myakuutsu shoudou ni
context: Jouheki no Sono Kanata Emono wo Houru\Hotobashiru Shoudou ni Sono Mi wo Yakinagara\Tasogare ni Hi wo Ukatsu Guren no Yumiya\sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke\yasuraka ni saa nemure\myakuutsu shoudou ni response:	negai wa okasare
context: Hotobashiru Shoudou ni Sono Mi wo Yakinagara\Tasogare ni Hi wo Ukatsu Guren no Yumiya\sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke\yasuraka ni saa nemure\myakuutsu shoudou ni\negai wa okasare response:	wasureteshimau hodo
context: Tasogare ni Hi wo Ukatsu Guren no Yumiya\sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke\yasuraka ni saa nemure\myakuutsu shoudou ni\negai wa okasare\wasureteshimau hodo response:	mata omoidasu yo
context: sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke\yasuraka ni saa nemure\myakuutsu shoudou ni\negai wa okasare\wasureteshimau hodo\mata omoidasu yo response:	kono utsukushiki zankoku na sekai de wa
context: inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke\yasuraka ni saa nemure\myakuutsu shoudou ni\negai wa okasare\wasureteshimau hodo\mata omoidasu yo\kono utsukushiki zankoku na sekai de wa response:	mada ikiteiru koto
context: nandodemo sutete wa mitsuke\yasuraka ni saa nemure\myakuutsu shoudou ni\negai wa okasare\wasureteshimau hodo\mata omoidasu yo\kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto response:	naze to tou bakari de
context: yasuraka ni saa nemure\myakuutsu shoudou ni\negai wa okasare\wasureteshimau hodo\mata omoidasu yo\kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto\naze to tou bakari de response:	ah bokutachi wa kono tsuyosa yowasa de
context: myakuutsu shoudou ni\negai wa okasare\wasureteshimau hodo\mata omoidasu yo\kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto\naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de response:	nani wo mamoru no darou
context: negai wa okasare\wasureteshimau hodo\mata omoidasu yo\kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto\naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou response:	mou risei nado nai naraba
context: wasureteshimau hodo\mata omoidasu yo\kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto\naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou\mou risei nado nai naraba response:	Your dream is where your heart seeks comfort
context: mata omoidasu yo\kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto\naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou\mou risei nado nai naraba\Your dream is where your heart seeks comfort response:	It is more fragile than your life
context: kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto\naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou\mou risei nado nai naraba\Your dream is where your heart seeks comfort\It is more fragile than your life response:	You can abandon it, and yet always find it again
context: mada ikiteiru koto\naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou\mou risei nado nai naraba\Your dream is where your heart seeks comfort\It is more fragile than your life\You can abandon it, and yet always find it again response:	Now, sleep in peace
context: naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou\mou risei nado nai naraba\Your dream is where your heart seeks comfort\It is more fragile than your life\You can abandon it, and yet always find it again\Now, sleep in peace response:	My pulsing rage
context: ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou\mou risei nado nai naraba\Your dream is where your heart seeks comfort\It is more fragile than your life\You can abandon it, and yet always find it again\Now, sleep in peace\My pulsing rage response:	defiles the wishes I harbor
context: nani wo mamoru no darou\mou risei nado nai naraba\Your dream is where your heart seeks comfort\It is more fragile than your life\You can abandon it, and yet always find it again\Now, sleep in peace\My pulsing rage\defiles the wishes I harbor response:	before I forget them
context: mou risei nado nai naraba\Your dream is where your heart seeks comfort\It is more fragile than your life\You can abandon it, and yet always find it again\Now, sleep in peace\My pulsing rage\defiles the wishes I harbor\before I forget them response:	only to remember once more
context: Your dream is where your heart seeks comfort\It is more fragile than your life\You can abandon it, and yet always find it again\Now, sleep in peace\My pulsing rage\defiles the wishes I harbor\before I forget them\only to remember once more response:	In this beautiful and cruel world
context: It is more fragile than your life\You can abandon it, and yet always find it again\Now, sleep in peace\My pulsing rage\defiles the wishes I harbor\before I forget them\only to remember once more\In this beautiful and cruel world response:	we keep on asking ourselves
context: You can abandon it, and yet always find it again\Now, sleep in peace\My pulsing rage\defiles the wishes I harbor\before I forget them\only to remember once more\In this beautiful and cruel world\we keep on asking ourselves response:	why it was we who survived
context: Now, sleep in peace\My pulsing rage\defiles the wishes I harbor\before I forget them\only to remember once more\In this beautiful and cruel world\we keep on asking ourselves\why it was we who survived response:	What will we protect
context: My pulsing rage\defiles the wishes I harbor\before I forget them\only to remember once more\In this beautiful and cruel world\we keep on asking ourselves\why it was we who survived\What will we protect response:	with our strength and our weakness
context: defiles the wishes I harbor\before I forget them\only to remember once more\In this beautiful and cruel world\we keep on asking ourselves\why it was we who survived\What will we protect\with our strength and our weakness response:	if reason and logic hold true no longer
context: before I forget them\only to remember once more\In this beautiful and cruel world\we keep on asking ourselves\why it was we who survived\What will we protect\with our strength and our weakness\if reason and logic hold true no longer response:	sono yume wa kokoro no ibasho
context: only to remember once more\In this beautiful and cruel world\we keep on asking ourselves\why it was we who survived\What will we protect\with our strength and our weakness\if reason and logic hold true no longer\sono yume wa kokoro no ibasho response:	inochi yori kowareyasuki mono
context: In this beautiful and cruel world\we keep on asking ourselves\why it was we who survived\What will we protect\with our strength and our weakness\if reason and logic hold true no longer\sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono response:	nandodemo sutete wa mitsuke
context: we keep on asking ourselves\why it was we who survived\What will we protect\with our strength and our weakness\if reason and logic hold true no longer\sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke response:	yasuraka ni saa nemure
context: why it was we who survived\What will we protect\with our strength and our weakness\if reason and logic hold true no longer\sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke\yasuraka ni saa nemure response:	myakuutsu shoudou ni
context: What will we protect\with our strength and our weakness\if reason and logic hold true no longer\sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke\yasuraka ni saa nemure\myakuutsu shoudou ni response:	negai wa okasare
context: with our strength and our weakness\if reason and logic hold true no longer\sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke\yasuraka ni saa nemure\myakuutsu shoudou ni\negai wa okasare response:	wasureteshimau hodo
context: if reason and logic hold true no longer\sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke\yasuraka ni saa nemure\myakuutsu shoudou ni\negai wa okasare\wasureteshimau hodo response:	mata omoidasu yo
context: sono yume wa kokoro no ibasho\inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke\yasuraka ni saa nemure\myakuutsu shoudou ni\negai wa okasare\wasureteshimau hodo\mata omoidasu yo response:	kono utsukushiki zankoku na sekai de wa
context: inochi yori kowareyasuki mono\nandodemo sutete wa mitsuke\yasuraka ni saa nemure\myakuutsu shoudou ni\negai wa okasare\wasureteshimau hodo\mata omoidasu yo\kono utsukushiki zankoku na sekai de wa response:	mada ikiteiru koto
context: nandodemo sutete wa mitsuke\yasuraka ni saa nemure\myakuutsu shoudou ni\negai wa okasare\wasureteshimau hodo\mata omoidasu yo\kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto response:	naze to tou bakari de
context: yasuraka ni saa nemure\myakuutsu shoudou ni\negai wa okasare\wasureteshimau hodo\mata omoidasu yo\kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto\naze to tou bakari de response:	ah bokutachi wa kono tsuyosa yowasa de
context: myakuutsu shoudou ni\negai wa okasare\wasureteshimau hodo\mata omoidasu yo\kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto\naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de response:	nani wo mamoru no darou
context: negai wa okasare\wasureteshimau hodo\mata omoidasu yo\kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto\naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou response:	mou risei nado nai naraba
context: wasureteshimau hodo\mata omoidasu yo\kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto\naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou\mou risei nado nai naraba response:	Your dream is where your heart seeks comfort
context: mata omoidasu yo\kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto\naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou\mou risei nado nai naraba\Your dream is where your heart seeks comfort response:	It is more fragile than your life
context: kono utsukushiki zankoku na sekai de wa\mada ikiteiru koto\naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou\mou risei nado nai naraba\Your dream is where your heart seeks comfort\It is more fragile than your life response:	You can abandon it, and yet always find it again
context: mada ikiteiru koto\naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou\mou risei nado nai naraba\Your dream is where your heart seeks comfort\It is more fragile than your life\You can abandon it, and yet always find it again response:	Now, sleep in peace
context: naze to tou bakari de\ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou\mou risei nado nai naraba\Your dream is where your heart seeks comfort\It is more fragile than your life\You can abandon it, and yet always find it again\Now, sleep in peace response:	My pulsing rage
context: ah bokutachi wa kono tsuyosa yowasa de\nani wo mamoru no darou\mou risei nado nai naraba\Your dream is where your heart seeks comfort\It is more fragile than your life\You can abandon it, and yet always find it again\Now, sleep in peace\My pulsing rage response:	defiles the wishes I harbor
context: nani wo mamoru no darou\mou risei nado nai naraba\Your dream is where your heart seeks comfort\It is more fragile than your life\You can abandon it, and yet always find it again\Now, sleep in peace\My pulsing rage\defiles the wishes I harbor response:	before I forget them
context: mou risei nado nai naraba\Your dream is where your heart seeks comfort\It is more fragile than your life\You can abandon it, and yet always find it again\Now, sleep in peace\My pulsing rage\defiles the wishes I harbor\before I forget them response:	only to remember once more
context: Your dream is where your heart seeks comfort\It is more fragile than your life\You can abandon it, and yet always find it again\Now, sleep in peace\My pulsing rage\defiles the wishes I harbor\before I forget them\only to remember once more response:	In this beautiful and cruel world
context: It is more fragile than your life\You can abandon it, and yet always find it again\Now, sleep in peace\My pulsing rage\defiles the wishes I harbor\before I forget them\only to remember once more\In this beautiful and cruel world response:	we keep on asking ourselves
context: You can abandon it, and yet always find it again\Now, sleep in peace\My pulsing rage\defiles the wishes I harbor\before I forget them\only to remember once more\In this beautiful and cruel world\we keep on asking ourselves response:	why it was we who survived
context: Now, sleep in peace\My pulsing rage\defiles the wishes I harbor\before I forget them\only to remember once more\In this beautiful and cruel world\we keep on asking ourselves\why it was we who survived response:	What will we protect
context: My pulsing rage\defiles the wishes I harbor\before I forget them\only to remember once more\In this beautiful and cruel world\we keep on asking ourselves\why it was we who survived\What will we protect response:	with our strength and our weakness
context: defiles the wishes I harbor\before I forget them\only to remember once more\In this beautiful and cruel world\we keep on asking ourselves\why it was we who survived\What will we protect\with our strength and our weakness response:	if reason and logic hold true no longer
