context: In order to conduct a force reconnaissance mission response:	and uncover the secrets behind the Valvraves,
context: Not just ARUS!\They say there's 84 other countries, too!\With that many, not even Dorssia can ignore it!\ARUS has their presidential election coming up soon, too.\I guess this means that in the end, democracy is a popularity contest.\If they ignore the condemnation resolution,\the next step is a resolution to impose sanctions.\Dorssia is running out of options to avoid coming to the negotiation table. response:	That's why you brought in the TV crew?
context: They say there's 84 other countries, too!\With that many, not even Dorssia can ignore it!\ARUS has their presidential election coming up soon, too.\I guess this means that in the end, democracy is a popularity contest.\If they ignore the condemnation resolution,\the next step is a resolution to impose sanctions.\Dorssia is running out of options to avoid coming to the negotiation table.\That's why you brought in the TV crew? response:	I was turned down left and right at first.
context: With that many, not even Dorssia can ignore it!\ARUS has their presidential election coming up soon, too.\I guess this means that in the end, democracy is a popularity contest.\If they ignore the condemnation resolution,\the next step is a resolution to impose sanctions.\Dorssia is running out of options to avoid coming to the negotiation table.\That's why you brought in the TV crew?\I was turned down left and right at first. response:	Actually, even Mr. Burnett turned me down three times.
context: ARUS has their presidential election coming up soon, too.\I guess this means that in the end, democracy is a popularity contest.\If they ignore the condemnation resolution,\the next step is a resolution to impose sanctions.\Dorssia is running out of options to avoid coming to the negotiation table.\That's why you brought in the TV crew?\I was turned down left and right at first.\Actually, even Mr. Burnett turned me down three times. response:	We all did some digging and then started making calls like crazy.
context: I guess this means that in the end, democracy is a popularity contest.\If they ignore the condemnation resolution,\the next step is a resolution to impose sanctions.\Dorssia is running out of options to avoid coming to the negotiation table.\That's why you brought in the TV crew?\I was turned down left and right at first.\Actually, even Mr. Burnett turned me down three times.\We all did some digging and then started making calls like crazy. response:	And then, little by little, we found people willing to work with us.
context: If they ignore the condemnation resolution,\the next step is a resolution to impose sanctions.\Dorssia is running out of options to avoid coming to the negotiation table.\That's why you brought in the TV crew?\I was turned down left and right at first.\Actually, even Mr. Burnett turned me down three times.\We all did some digging and then started making calls like crazy.\And then, little by little, we found people willing to work with us. response:	Oh, I get it. You guys were all fighting up here, too.
context: the next step is a resolution to impose sanctions.\Dorssia is running out of options to avoid coming to the negotiation table.\That's why you brought in the TV crew?\I was turned down left and right at first.\Actually, even Mr. Burnett turned me down three times.\We all did some digging and then started making calls like crazy.\And then, little by little, we found people willing to work with us.\Oh, I get it. You guys were all fighting up here, too. response:	It's all thanks to you, Haruto.
context: Dorssia is running out of options to avoid coming to the negotiation table.\That's why you brought in the TV crew?\I was turned down left and right at first.\Actually, even Mr. Burnett turned me down three times.\We all did some digging and then started making calls like crazy.\And then, little by little, we found people willing to work with us.\Oh, I get it. You guys were all fighting up here, too.\It's all thanks to you, Haruto. response:	To me?
context: That's why you brought in the TV crew?\I was turned down left and right at first.\Actually, even Mr. Burnett turned me down three times.\We all did some digging and then started making calls like crazy.\And then, little by little, we found people willing to work with us.\Oh, I get it. You guys were all fighting up here, too.\It's all thanks to you, Haruto.\To me? response:	Yeah, in that cave, you-
context: I was turned down left and right at first.\Actually, even Mr. Burnett turned me down three times.\We all did some digging and then started making calls like crazy.\And then, little by little, we found people willing to work with us.\Oh, I get it. You guys were all fighting up here, too.\It's all thanks to you, Haruto.\To me?\Yeah, in that cave, you- response:	It'll be okay, Shoko.
context: Actually, even Mr. Burnett turned me down three times.\We all did some digging and then started making calls like crazy.\And then, little by little, we found people willing to work with us.\Oh, I get it. You guys were all fighting up here, too.\It's all thanks to you, Haruto.\To me?\Yeah, in that cave, you-\It'll be okay, Shoko. response:	Because I'm with you. I'll be with you, no matter what.
context: We all did some digging and then started making calls like crazy.\And then, little by little, we found people willing to work with us.\Oh, I get it. You guys were all fighting up here, too.\It's all thanks to you, Haruto.\To me?\Yeah, in that cave, you-\It'll be okay, Shoko.\Because I'm with you. I'll be with you, no matter what. response:	And you came back, just like I knew you would!
context: And then, little by little, we found people willing to work with us.\Oh, I get it. You guys were all fighting up here, too.\It's all thanks to you, Haruto.\To me?\Yeah, in that cave, you-\It'll be okay, Shoko.\Because I'm with you. I'll be with you, no matter what.\And you came back, just like I knew you would! response:	I had faith in you.
context: Oh, I get it. You guys were all fighting up here, too.\It's all thanks to you, Haruto.\To me?\Yeah, in that cave, you-\It'll be okay, Shoko.\Because I'm with you. I'll be with you, no matter what.\And you came back, just like I knew you would!\I had faith in you. response:	Even if this succeeds,
context: It's all thanks to you, Haruto.\To me?\Yeah, in that cave, you-\It'll be okay, Shoko.\Because I'm with you. I'll be with you, no matter what.\And you came back, just like I knew you would!\I had faith in you.\Even if this succeeds, response:	it doesn't mean that anything will change right away,
context: To me?\Yeah, in that cave, you-\It'll be okay, Shoko.\Because I'm with you. I'll be with you, no matter what.\And you came back, just like I knew you would!\I had faith in you.\Even if this succeeds,\it doesn't mean that anything will change right away, response:	but we're tackling the things we can do one at a time.
context: Yeah, in that cave, you-\It'll be okay, Shoko.\Because I'm with you. I'll be with you, no matter what.\And you came back, just like I knew you would!\I had faith in you.\Even if this succeeds,\it doesn't mean that anything will change right away,\but we're tackling the things we can do one at a time. response:	Together.
context: It'll be okay, Shoko.\Because I'm with you. I'll be with you, no matter what.\And you came back, just like I knew you would!\I had faith in you.\Even if this succeeds,\it doesn't mean that anything will change right away,\but we're tackling the things we can do one at a time.\Together. response:	So L-elf,
context: Because I'm with you. I'll be with you, no matter what.\And you came back, just like I knew you would!\I had faith in you.\Even if this succeeds,\it doesn't mean that anything will change right away,\but we're tackling the things we can do one at a time.\Together.\So L-elf, response:	we'll be waiting for you as long as it takes.
context: And you came back, just like I knew you would!\I had faith in you.\Even if this succeeds,\it doesn't mean that anything will change right away,\but we're tackling the things we can do one at a time.\Together.\So L-elf,\we'll be waiting for you as long as it takes. response:	I'll leave some dinner for you here.
context: I had faith in you.\Even if this succeeds,\it doesn't mean that anything will change right away,\but we're tackling the things we can do one at a time.\Together.\So L-elf,\we'll be waiting for you as long as it takes.\I'll leave some dinner for you here. response:	The one who chose the location for this top-level summit was-
context: Even if this succeeds,\it doesn't mean that anything will change right away,\but we're tackling the things we can do one at a time.\Together.\So L-elf,\we'll be waiting for you as long as it takes.\I'll leave some dinner for you here.\The one who chose the location for this top-level summit was- response:	H-neun...
context: it doesn't mean that anything will change right away,\but we're tackling the things we can do one at a time.\Together.\So L-elf,\we'll be waiting for you as long as it takes.\I'll leave some dinner for you here.\The one who chose the location for this top-level summit was-\H-neun... response:	I can't believe someone was able to kill you.
context: but we're tackling the things we can do one at a time.\Together.\So L-elf,\we'll be waiting for you as long as it takes.\I'll leave some dinner for you here.\The one who chose the location for this top-level summit was-\H-neun...\I can't believe someone was able to kill you. response:	However, in a certain sense, this will be seen as an historic meeting.
context: Together.\So L-elf,\we'll be waiting for you as long as it takes.\I'll leave some dinner for you here.\The one who chose the location for this top-level summit was-\H-neun...\I can't believe someone was able to kill you.\However, in a certain sense, this will be seen as an historic meeting. response:	This is a-
context: So L-elf,\we'll be waiting for you as long as it takes.\I'll leave some dinner for you here.\The one who chose the location for this top-level summit was-\H-neun...\I can't believe someone was able to kill you.\However, in a certain sense, this will be seen as an historic meeting.\This is a- response:	Okay, let's pack up.
context: we'll be waiting for you as long as it takes.\I'll leave some dinner for you here.\The one who chose the location for this top-level summit was-\H-neun...\I can't believe someone was able to kill you.\However, in a certain sense, this will be seen as an historic meeting.\This is a-\Okay, let's pack up. response:	Huh? But they're still-
context: I'll leave some dinner for you here.\The one who chose the location for this top-level summit was-\H-neun...\I can't believe someone was able to kill you.\However, in a certain sense, this will be seen as an historic meeting.\This is a-\Okay, let's pack up.\Huh? But they're still- response:	Let the others get this.
context: The one who chose the location for this top-level summit was-\H-neun...\I can't believe someone was able to kill you.\However, in a certain sense, this will be seen as an historic meeting.\This is a-\Okay, let's pack up.\Huh? But they're still-\Let the others get this. response:	Why the heck would you want to leave this?
context: H-neun...\I can't believe someone was able to kill you.\However, in a certain sense, this will be seen as an historic meeting.\This is a-\Okay, let's pack up.\Huh? But they're still-\Let the others get this.\Why the heck would you want to leave this? response:	I got a tip.
context: I can't believe someone was able to kill you.\However, in a certain sense, this will be seen as an historic meeting.\This is a-\Okay, let's pack up.\Huh? But they're still-\Let the others get this.\Why the heck would you want to leave this?\I got a tip. response:	But that's-
context: However, in a certain sense, this will be seen as an historic meeting.\This is a-\Okay, let's pack up.\Huh? But they're still-\Let the others get this.\Why the heck would you want to leave this?\I got a tip.\But that's- response:	If it's genuine, this means big trouble.
context: This is a-\Okay, let's pack up.\Huh? But they're still-\Let the others get this.\Why the heck would you want to leave this?\I got a tip.\But that's-\If it's genuine, this means big trouble. response:	That's mind-blowing!
context: Okay, let's pack up.\Huh? But they're still-\Let the others get this.\Why the heck would you want to leave this?\I got a tip.\But that's-\If it's genuine, this means big trouble.\That's mind-blowing! response:	Where did Eileen go?
context: Huh? But they're still-\Let the others get this.\Why the heck would you want to leave this?\I got a tip.\But that's-\If it's genuine, this means big trouble.\That's mind-blowing!\Where did Eileen go? response:	I haven't seen her since this morning.
context: Let the others get this.\Why the heck would you want to leave this?\I got a tip.\But that's-\If it's genuine, this means big trouble.\That's mind-blowing!\Where did Eileen go?\I haven't seen her since this morning. response:	Ladies and gentlemen, thank you for so graciously coming to our country today.
context: Why the heck would you want to leave this?\I got a tip.\But that's-\If it's genuine, this means big trouble.\That's mind-blowing!\Where did Eileen go?\I haven't seen her since this morning.\Ladies and gentlemen, thank you for so graciously coming to our country today. response:	I apologize for hosting
context: I got a tip.\But that's-\If it's genuine, this means big trouble.\That's mind-blowing!\Where did Eileen go?\I haven't seen her since this morning.\Ladies and gentlemen, thank you for so graciously coming to our country today.\I apologize for hosting response:	this august international assembly in a gymnasium.
context: But that's-\If it's genuine, this means big trouble.\That's mind-blowing!\Where did Eileen go?\I haven't seen her since this morning.\Ladies and gentlemen, thank you for so graciously coming to our country today.\I apologize for hosting\this august international assembly in a gymnasium. response:	However, this is the current reality of JIOR.
context: If it's genuine, this means big trouble.\That's mind-blowing!\Where did Eileen go?\I haven't seen her since this morning.\Ladies and gentlemen, thank you for so graciously coming to our country today.\I apologize for hosting\this august international assembly in a gymnasium.\However, this is the current reality of JIOR. response:	We're aware of that.
context: That's mind-blowing!\Where did Eileen go?\I haven't seen her since this morning.\Ladies and gentlemen, thank you for so graciously coming to our country today.\I apologize for hosting\this august international assembly in a gymnasium.\However, this is the current reality of JIOR.\We're aware of that. response:	Shall we convene the meeting?
context: Where did Eileen go?\I haven't seen her since this morning.\Ladies and gentlemen, thank you for so graciously coming to our country today.\I apologize for hosting\this august international assembly in a gymnasium.\However, this is the current reality of JIOR.\We're aware of that.\Shall we convene the meeting? response:	Thank you for your kind understanding.
context: I haven't seen her since this morning.\Ladies and gentlemen, thank you for so graciously coming to our country today.\I apologize for hosting\this august international assembly in a gymnasium.\However, this is the current reality of JIOR.\We're aware of that.\Shall we convene the meeting?\Thank you for your kind understanding. response:	Those children have taken this too far.
context: Ladies and gentlemen, thank you for so graciously coming to our country today.\I apologize for hosting\this august international assembly in a gymnasium.\However, this is the current reality of JIOR.\We're aware of that.\Shall we convene the meeting?\Thank you for your kind understanding.\Those children have taken this too far. response:	The seizure of the Phantom was an unexpected turn of events.
context: I apologize for hosting\this august international assembly in a gymnasium.\However, this is the current reality of JIOR.\We're aware of that.\Shall we convene the meeting?\Thank you for your kind understanding.\Those children have taken this too far.\The seizure of the Phantom was an unexpected turn of events. response:	There is a high probability that
context: this august international assembly in a gymnasium.\However, this is the current reality of JIOR.\We're aware of that.\Shall we convene the meeting?\Thank you for your kind understanding.\Those children have taken this too far.\The seizure of the Phantom was an unexpected turn of events.\There is a high probability that response:	they have obtained information regarding us from Lieselotte.
context: However, this is the current reality of JIOR.\We're aware of that.\Shall we convene the meeting?\Thank you for your kind understanding.\Those children have taken this too far.\The seizure of the Phantom was an unexpected turn of events.\There is a high probability that\they have obtained information regarding us from Lieselotte. response:	It is our rule to refrain
context: We're aware of that.\Shall we convene the meeting?\Thank you for your kind understanding.\Those children have taken this too far.\The seizure of the Phantom was an unexpected turn of events.\There is a high probability that\they have obtained information regarding us from Lieselotte.\It is our rule to refrain response:	from meddling in world affairs as much as possible.
context: Shall we convene the meeting?\Thank you for your kind understanding.\Those children have taken this too far.\The seizure of the Phantom was an unexpected turn of events.\There is a high probability that\they have obtained information regarding us from Lieselotte.\It is our rule to refrain\from meddling in world affairs as much as possible. response:	But we must remove them from the world stage.
context: Thank you for your kind understanding.\Those children have taken this too far.\The seizure of the Phantom was an unexpected turn of events.\There is a high probability that\they have obtained information regarding us from Lieselotte.\It is our rule to refrain\from meddling in world affairs as much as possible.\But we must remove them from the world stage. response:	Okay! Keep it coming!
context: Those children have taken this too far.\The seizure of the Phantom was an unexpected turn of events.\There is a high probability that\they have obtained information regarding us from Lieselotte.\It is our rule to refrain\from meddling in world affairs as much as possible.\But we must remove them from the world stage.\Okay! Keep it coming! response:	So this is the Undergrip, huh?
context: The seizure of the Phantom was an unexpected turn of events.\There is a high probability that\they have obtained information regarding us from Lieselotte.\It is our rule to refrain\from meddling in world affairs as much as possible.\But we must remove them from the world stage.\Okay! Keep it coming!\So this is the Undergrip, huh? response:	They say this will boost their operational duration 2.4 times.
context: There is a high probability that\they have obtained information regarding us from Lieselotte.\It is our rule to refrain\from meddling in world affairs as much as possible.\But we must remove them from the world stage.\Okay! Keep it coming!\So this is the Undergrip, huh?\They say this will boost their operational duration 2.4 times. response:	If Prof. Kitagawa hadn't pointed it out to us,
context: they have obtained information regarding us from Lieselotte.\It is our rule to refrain\from meddling in world affairs as much as possible.\But we must remove them from the world stage.\Okay! Keep it coming!\So this is the Undergrip, huh?\They say this will boost their operational duration 2.4 times.\If Prof. Kitagawa hadn't pointed it out to us, response:	it would still be gathering dust in the back of the hangar.
context: It is our rule to refrain\from meddling in world affairs as much as possible.\But we must remove them from the world stage.\Okay! Keep it coming!\So this is the Undergrip, huh?\They say this will boost their operational duration 2.4 times.\If Prof. Kitagawa hadn't pointed it out to us,\it would still be gathering dust in the back of the hangar. response:	Where'd Prof. Kitagawa go?
context: from meddling in world affairs as much as possible.\But we must remove them from the world stage.\Okay! Keep it coming!\So this is the Undergrip, huh?\They say this will boost their operational duration 2.4 times.\If Prof. Kitagawa hadn't pointed it out to us,\it would still be gathering dust in the back of the hangar.\Where'd Prof. Kitagawa go? response:	Nobody else is around, either...
context: But we must remove them from the world stage.\Okay! Keep it coming!\So this is the Undergrip, huh?\They say this will boost their operational duration 2.4 times.\If Prof. Kitagawa hadn't pointed it out to us,\it would still be gathering dust in the back of the hangar.\Where'd Prof. Kitagawa go?\Nobody else is around, either... response:	They're not in the meeting room?
context: Okay! Keep it coming!\So this is the Undergrip, huh?\They say this will boost their operational duration 2.4 times.\If Prof. Kitagawa hadn't pointed it out to us,\it would still be gathering dust in the back of the hangar.\Where'd Prof. Kitagawa go?\Nobody else is around, either...\They're not in the meeting room? response:	That's what I'd heard, but nobody was there.
context: So this is the Undergrip, huh?\They say this will boost their operational duration 2.4 times.\If Prof. Kitagawa hadn't pointed it out to us,\it would still be gathering dust in the back of the hangar.\Where'd Prof. Kitagawa go?\Nobody else is around, either...\They're not in the meeting room?\That's what I'd heard, but nobody was there. response:	No one was there?
context: They say this will boost their operational duration 2.4 times.\If Prof. Kitagawa hadn't pointed it out to us,\it would still be gathering dust in the back of the hangar.\Where'd Prof. Kitagawa go?\Nobody else is around, either...\They're not in the meeting room?\That's what I'd heard, but nobody was there.\No one was there? response:	It is most unfortunate that delegates from
context: If Prof. Kitagawa hadn't pointed it out to us,\it would still be gathering dust in the back of the hangar.\Where'd Prof. Kitagawa go?\Nobody else is around, either...\They're not in the meeting room?\That's what I'd heard, but nobody was there.\No one was there?\It is most unfortunate that delegates from response:	Dorssia were unable to attend, but-
context: it would still be gathering dust in the back of the hangar.\Where'd Prof. Kitagawa go?\Nobody else is around, either...\They're not in the meeting room?\That's what I'd heard, but nobody was there.\No one was there?\It is most unfortunate that delegates from\Dorssia were unable to attend, but- response:	No.
context: Where'd Prof. Kitagawa go?\Nobody else is around, either...\They're not in the meeting room?\That's what I'd heard, but nobody was there.\No one was there?\It is most unfortunate that delegates from\Dorssia were unable to attend, but-\No. response:	Allow me to join you now.
context: Nobody else is around, either...\They're not in the meeting room?\That's what I'd heard, but nobody was there.\No one was there?\It is most unfortunate that delegates from\Dorssia were unable to attend, but-\No.\Allow me to join you now. response:	What's going on?
context: They're not in the meeting room?\That's what I'd heard, but nobody was there.\No one was there?\It is most unfortunate that delegates from\Dorssia were unable to attend, but-\No.\Allow me to join you now.\What's going on? response:	This wasn't in the schedule...
context: That's what I'd heard, but nobody was there.\No one was there?\It is most unfortunate that delegates from\Dorssia were unable to attend, but-\No.\Allow me to join you now.\What's going on?\This wasn't in the schedule... response:	Ladies and gentlemen, I beg you to forgive this sudden interruption.
context: No one was there?\It is most unfortunate that delegates from\Dorssia were unable to attend, but-\No.\Allow me to join you now.\What's going on?\This wasn't in the schedule...\Ladies and gentlemen, I beg you to forgive this sudden interruption. response:	There is a matter of which I wish to inform the entire world.
context: It is most unfortunate that delegates from\Dorssia were unable to attend, but-\No.\Allow me to join you now.\What's going on?\This wasn't in the schedule...\Ladies and gentlemen, I beg you to forgive this sudden interruption.\There is a matter of which I wish to inform the entire world. response:	Miss Rukino!
context: Dorssia were unable to attend, but-\No.\Allow me to join you now.\What's going on?\This wasn't in the schedule...\Ladies and gentlemen, I beg you to forgive this sudden interruption.\There is a matter of which I wish to inform the entire world.\Miss Rukino! response:	Do you know her name?
context: No.\Allow me to join you now.\What's going on?\This wasn't in the schedule...\Ladies and gentlemen, I beg you to forgive this sudden interruption.\There is a matter of which I wish to inform the entire world.\Miss Rukino!\Do you know her name? response:	Allow me to introduce Saki Rukino,
context: Allow me to join you now.\What's going on?\This wasn't in the schedule...\Ladies and gentlemen, I beg you to forgive this sudden interruption.\There is a matter of which I wish to inform the entire world.\Miss Rukino!\Do you know her name?\Allow me to introduce Saki Rukino, response:	Module 77 student and Valvrave pilot.
context: What's going on?\This wasn't in the schedule...\Ladies and gentlemen, I beg you to forgive this sudden interruption.\There is a matter of which I wish to inform the entire world.\Miss Rukino!\Do you know her name?\Allow me to introduce Saki Rukino,\Module 77 student and Valvrave pilot. response:	- Miss Rukino? - How did they capture her?
context: This wasn't in the schedule...\Ladies and gentlemen, I beg you to forgive this sudden interruption.\There is a matter of which I wish to inform the entire world.\Miss Rukino!\Do you know her name?\Allow me to introduce Saki Rukino,\Module 77 student and Valvrave pilot.\- Miss Rukino? - How did they capture her? response:	That she and her fellow students continue to fight against Dorssia
context: Ladies and gentlemen, I beg you to forgive this sudden interruption.\There is a matter of which I wish to inform the entire world.\Miss Rukino!\Do you know her name?\Allow me to introduce Saki Rukino,\Module 77 student and Valvrave pilot.\- Miss Rukino? - How did they capture her?\That she and her fellow students continue to fight against Dorssia response:	is a fact known the world over.
context: There is a matter of which I wish to inform the entire world.\Miss Rukino!\Do you know her name?\Allow me to introduce Saki Rukino,\Module 77 student and Valvrave pilot.\- Miss Rukino? - How did they capture her?\That she and her fellow students continue to fight against Dorssia\is a fact known the world over. response:	For quite some time, I have harbored doubts.
context: Miss Rukino!\Do you know her name?\Allow me to introduce Saki Rukino,\Module 77 student and Valvrave pilot.\- Miss Rukino? - How did they capture her?\That she and her fellow students continue to fight against Dorssia\is a fact known the world over.\For quite some time, I have harbored doubts. response:	How could mere students hold their own against us, and then some?
context: Do you know her name?\Allow me to introduce Saki Rukino,\Module 77 student and Valvrave pilot.\- Miss Rukino? - How did they capture her?\That she and her fellow students continue to fight against Dorssia\is a fact known the world over.\For quite some time, I have harbored doubts.\How could mere students hold their own against us, and then some? response:	He wouldn't!
context: Allow me to introduce Saki Rukino,\Module 77 student and Valvrave pilot.\- Miss Rukino? - How did they capture her?\That she and her fellow students continue to fight against Dorssia\is a fact known the world over.\For quite some time, I have harbored doubts.\How could mere students hold their own against us, and then some?\He wouldn't! response:	Allow me to show you! Right now! This is their secret!
context: Module 77 student and Valvrave pilot.\- Miss Rukino? - How did they capture her?\That she and her fellow students continue to fight against Dorssia\is a fact known the world over.\For quite some time, I have harbored doubts.\How could mere students hold their own against us, and then some?\He wouldn't!\Allow me to show you! Right now! This is their secret! response:	The wound, it's gone! What the hell?
context: - Miss Rukino? - How did they capture her?\That she and her fellow students continue to fight against Dorssia\is a fact known the world over.\For quite some time, I have harbored doubts.\How could mere students hold their own against us, and then some?\He wouldn't!\Allow me to show you! Right now! This is their secret!\The wound, it's gone! What the hell? response:	What just happened? What does that mean?
context: That she and her fellow students continue to fight against Dorssia\is a fact known the world over.\For quite some time, I have harbored doubts.\How could mere students hold their own against us, and then some?\He wouldn't!\Allow me to show you! Right now! This is their secret!\The wound, it's gone! What the hell?\What just happened? What does that mean? response:	Miss Rukino survived?
context: is a fact known the world over.\For quite some time, I have harbored doubts.\How could mere students hold their own against us, and then some?\He wouldn't!\Allow me to show you! Right now! This is their secret!\The wound, it's gone! What the hell?\What just happened? What does that mean?\Miss Rukino survived? response:	She should be dead!
context: For quite some time, I have harbored doubts.\How could mere students hold their own against us, and then some?\He wouldn't!\Allow me to show you! Right now! This is their secret!\The wound, it's gone! What the hell?\What just happened? What does that mean?\Miss Rukino survived?\She should be dead! response:	She came back to life!
context: How could mere students hold their own against us, and then some?\He wouldn't!\Allow me to show you! Right now! This is their secret!\The wound, it's gone! What the hell?\What just happened? What does that mean?\Miss Rukino survived?\She should be dead!\She came back to life! response:	What's going on?
context: He wouldn't!\Allow me to show you! Right now! This is their secret!\The wound, it's gone! What the hell?\What just happened? What does that mean?\Miss Rukino survived?\She should be dead!\She came back to life!\What's going on? response:	It's healed!
context: Allow me to show you! Right now! This is their secret!\The wound, it's gone! What the hell?\What just happened? What does that mean?\Miss Rukino survived?\She should be dead!\She came back to life!\What's going on?\It's healed! response:	I don't get it, either!
context: The wound, it's gone! What the hell?\What just happened? What does that mean?\Miss Rukino survived?\She should be dead!\She came back to life!\What's going on?\It's healed!\I don't get it, either! response:	She's alive?!
context: What just happened? What does that mean?\Miss Rukino survived?\She should be dead!\She came back to life!\What's going on?\It's healed!\I don't get it, either!\She's alive?! response:	But she was stabbed through the heart!
context: Miss Rukino survived?\She should be dead!\She came back to life!\What's going on?\It's healed!\I don't get it, either!\She's alive?!\But she was stabbed through the heart! response:	Are you sure this isn't a trick?
context: She should be dead!\She came back to life!\What's going on?\It's healed!\I don't get it, either!\She's alive?!\But she was stabbed through the heart!\Are you sure this isn't a trick? response:	No human could do that!
context: She came back to life!\What's going on?\It's healed!\I don't get it, either!\She's alive?!\But she was stabbed through the heart!\Are you sure this isn't a trick?\No human could do that! response:	But she... Hey, the blood stopped!
context: What's going on?\It's healed!\I don't get it, either!\She's alive?!\But she was stabbed through the heart!\Are you sure this isn't a trick?\No human could do that!\But she... Hey, the blood stopped! response:	It was really black!
context: It's healed!\I don't get it, either!\She's alive?!\But she was stabbed through the heart!\Are you sure this isn't a trick?\No human could do that!\But she... Hey, the blood stopped!\It was really black! response:	Prime Minister Sashinami! What's the meaning of this?!
context: I don't get it, either!\She's alive?!\But she was stabbed through the heart!\Are you sure this isn't a trick?\No human could do that!\But she... Hey, the blood stopped!\It was really black!\Prime Minister Sashinami! What's the meaning of this?! response:	You understand what this means, I take it?
context: She's alive?!\But she was stabbed through the heart!\Are you sure this isn't a trick?\No human could do that!\But she... Hey, the blood stopped!\It was really black!\Prime Minister Sashinami! What's the meaning of this?!\You understand what this means, I take it? response:	Yes, this creature is not a human being.
context: But she was stabbed through the heart!\Are you sure this isn't a trick?\No human could do that!\But she... Hey, the blood stopped!\It was really black!\Prime Minister Sashinami! What's the meaning of this?!\You understand what this means, I take it?\Yes, this creature is not a human being. response:	It is a monster!
context: Are you sure this isn't a trick?\No human could do that!\But she... Hey, the blood stopped!\It was really black!\Prime Minister Sashinami! What's the meaning of this?!\You understand what this means, I take it?\Yes, this creature is not a human being.\It is a monster! response:	Next time, episode 21. The Cost of Lies.
context: No human could do that!\But she... Hey, the blood stopped!\It was really black!\Prime Minister Sashinami! What's the meaning of this?!\You understand what this means, I take it?\Yes, this creature is not a human being.\It is a monster!\Next time, episode 21. The Cost of Lies. response:	Valvrave the Liberator...
context: But she... Hey, the blood stopped!\It was really black!\Prime Minister Sashinami! What's the meaning of this?!\You understand what this means, I take it?\Yes, this creature is not a human being.\It is a monster!\Next time, episode 21. The Cost of Lies.\Valvrave the Liberator... response:	The system that will expose the truth of the world.
