context: Someone beloved to me... response:	I first learned what that meant... during the winter when I was fifteen years old.
context: Do you want it as a memento?\Don't act like you're so cool.\She threw you out.\Don't act like you're so much better than me.\You sisters, both older and younger, are the worst.\Don't...\Hurry and end already...\I've been thinking about Yano all day. response:	Ah, it's almost time to catch the bus.
context: Don't act like you're so cool.\She threw you out.\Don't act like you're so much better than me.\You sisters, both older and younger, are the worst.\Don't...\Hurry and end already...\I've been thinking about Yano all day.\Ah, it's almost time to catch the bus. response:	Are you gonna go?
context: She threw you out.\Don't act like you're so much better than me.\You sisters, both older and younger, are the worst.\Don't...\Hurry and end already...\I've been thinking about Yano all day.\Ah, it's almost time to catch the bus.\Are you gonna go? response:	Yeah.
context: Don't act like you're so much better than me.\You sisters, both older and younger, are the worst.\Don't...\Hurry and end already...\I've been thinking about Yano all day.\Ah, it's almost time to catch the bus.\Are you gonna go?\Yeah. response:	S-Should I just wait for the next one?
context: You sisters, both older and younger, are the worst.\Don't...\Hurry and end already...\I've been thinking about Yano all day.\Ah, it's almost time to catch the bus.\Are you gonna go?\Yeah.\S-Should I just wait for the next one? response:	You said that the last time, too. Just one more hour.
context: Don't...\Hurry and end already...\I've been thinking about Yano all day.\Ah, it's almost time to catch the bus.\Are you gonna go?\Yeah.\S-Should I just wait for the next one?\You said that the last time, too. Just one more hour. response:	I'll go home. I'm sure Mom will be worrying, too.
context: Hurry and end already...\I've been thinking about Yano all day.\Ah, it's almost time to catch the bus.\Are you gonna go?\Yeah.\S-Should I just wait for the next one?\You said that the last time, too. Just one more hour.\I'll go home. I'm sure Mom will be worrying, too. response:	Want to kiss one more time before you go?
context: I've been thinking about Yano all day.\Ah, it's almost time to catch the bus.\Are you gonna go?\Yeah.\S-Should I just wait for the next one?\You said that the last time, too. Just one more hour.\I'll go home. I'm sure Mom will be worrying, too.\Want to kiss one more time before you go? response:	People are watching...
context: Ah, it's almost time to catch the bus.\Are you gonna go?\Yeah.\S-Should I just wait for the next one?\You said that the last time, too. Just one more hour.\I'll go home. I'm sure Mom will be worrying, too.\Want to kiss one more time before you go?\People are watching... response:	No, they're not.
context: Are you gonna go?\Yeah.\S-Should I just wait for the next one?\You said that the last time, too. Just one more hour.\I'll go home. I'm sure Mom will be worrying, too.\Want to kiss one more time before you go?\People are watching...\No, they're not. response:	Look, they're all minding their own business.
context: Yeah.\S-Should I just wait for the next one?\You said that the last time, too. Just one more hour.\I'll go home. I'm sure Mom will be worrying, too.\Want to kiss one more time before you go?\People are watching...\No, they're not.\Look, they're all minding their own business. response:	Should we go, then?
context: S-Should I just wait for the next one?\You said that the last time, too. Just one more hour.\I'll go home. I'm sure Mom will be worrying, too.\Want to kiss one more time before you go?\People are watching...\No, they're not.\Look, they're all minding their own business.\Should we go, then? response:	Yes.
context: You said that the last time, too. Just one more hour.\I'll go home. I'm sure Mom will be worrying, too.\Want to kiss one more time before you go?\People are watching...\No, they're not.\Look, they're all minding their own business.\Should we go, then?\Yes. response:	It's getting harder and harder to part from him...
context: I'll go home. I'm sure Mom will be worrying, too.\Want to kiss one more time before you go?\People are watching...\No, they're not.\Look, they're all minding their own business.\Should we go, then?\Yes.\It's getting harder and harder to part from him... response:	Here it is.
context: Want to kiss one more time before you go?\People are watching...\No, they're not.\Look, they're all minding their own business.\Should we go, then?\Yes.\It's getting harder and harder to part from him...\Here it is. response:	Entrance
context: People are watching...\No, they're not.\Look, they're all minding their own business.\Should we go, then?\Yes.\It's getting harder and harder to part from him...\Here it is.\Entrance response:	Ah, bye...
context: No, they're not.\Look, they're all minding their own business.\Should we go, then?\Yes.\It's getting harder and harder to part from him...\Here it is.\Entrance\Ah, bye... response:	I'll take you home.
context: Look, they're all minding their own business.\Should we go, then?\Yes.\It's getting harder and harder to part from him...\Here it is.\Entrance\Ah, bye...\I'll take you home. response:	I wished that bus would never stop.
context: Should we go, then?\Yes.\It's getting harder and harder to part from him...\Here it is.\Entrance\Ah, bye...\I'll take you home.\I wished that bus would never stop. response:	I wonder if there's a limit to how much one person can love another...
context: Yes.\It's getting harder and harder to part from him...\Here it is.\Entrance\Ah, bye...\I'll take you home.\I wished that bus would never stop.\I wonder if there's a limit to how much one person can love another... response:	Sewing Room
context: It's getting harder and harder to part from him...\Here it is.\Entrance\Ah, bye...\I'll take you home.\I wished that bus would never stop.\I wonder if there's a limit to how much one person can love another...\Sewing Room response:	I don't get this at all.
context: Here it is.\Entrance\Ah, bye...\I'll take you home.\I wished that bus would never stop.\I wonder if there's a limit to how much one person can love another...\Sewing Room\I don't get this at all. response:	Yamamoto-san, could you teach me how to do this part?
context: Entrance\Ah, bye...\I'll take you home.\I wished that bus would never stop.\I wonder if there's a limit to how much one person can love another...\Sewing Room\I don't get this at all.\Yamamoto-san, could you teach me how to do this part? response:	Takahashi-san, you have the left and right side reversed.
context: Ah, bye...\I'll take you home.\I wished that bus would never stop.\I wonder if there's a limit to how much one person can love another...\Sewing Room\I don't get this at all.\Yamamoto-san, could you teach me how to do this part?\Takahashi-san, you have the left and right side reversed. response:	You loosen it here, and from this part over here, if you just...
context: I'll take you home.\I wished that bus would never stop.\I wonder if there's a limit to how much one person can love another...\Sewing Room\I don't get this at all.\Yamamoto-san, could you teach me how to do this part?\Takahashi-san, you have the left and right side reversed.\You loosen it here, and from this part over here, if you just... response:	I thought she might hate me since I'm going out with Yano...
context: I wished that bus would never stop.\I wonder if there's a limit to how much one person can love another...\Sewing Room\I don't get this at all.\Yamamoto-san, could you teach me how to do this part?\Takahashi-san, you have the left and right side reversed.\You loosen it here, and from this part over here, if you just...\I thought she might hate me since I'm going out with Yano... response:	There you go.
context: I wonder if there's a limit to how much one person can love another...\Sewing Room\I don't get this at all.\Yamamoto-san, could you teach me how to do this part?\Takahashi-san, you have the left and right side reversed.\You loosen it here, and from this part over here, if you just...\I thought she might hate me since I'm going out with Yano...\There you go. response:	Thanks a lot.
context: Sewing Room\I don't get this at all.\Yamamoto-san, could you teach me how to do this part?\Takahashi-san, you have the left and right side reversed.\You loosen it here, and from this part over here, if you just...\I thought she might hate me since I'm going out with Yano...\There you go.\Thanks a lot. response:	I'm really bad at sewing clothing...
context: I don't get this at all.\Yamamoto-san, could you teach me how to do this part?\Takahashi-san, you have the left and right side reversed.\You loosen it here, and from this part over here, if you just...\I thought she might hate me since I'm going out with Yano...\There you go.\Thanks a lot.\I'm really bad at sewing clothing... response:	I hate doing this, too.
context: Yamamoto-san, could you teach me how to do this part?\Takahashi-san, you have the left and right side reversed.\You loosen it here, and from this part over here, if you just...\I thought she might hate me since I'm going out with Yano...\There you go.\Thanks a lot.\I'm really bad at sewing clothing...\I hate doing this, too. response:	Yamamoto-san's a little scary with all the stuff she hates...
context: Takahashi-san, you have the left and right side reversed.\You loosen it here, and from this part over here, if you just...\I thought she might hate me since I'm going out with Yano...\There you go.\Thanks a lot.\I'm really bad at sewing clothing...\I hate doing this, too.\Yamamoto-san's a little scary with all the stuff she hates... response:	Sewing Room
context: You loosen it here, and from this part over here, if you just...\I thought she might hate me since I'm going out with Yano...\There you go.\Thanks a lot.\I'm really bad at sewing clothing...\I hate doing this, too.\Yamamoto-san's a little scary with all the stuff she hates...\Sewing Room response:	What did you do in gym today?
context: I thought she might hate me since I'm going out with Yano...\There you go.\Thanks a lot.\I'm really bad at sewing clothing...\I hate doing this, too.\Yamamoto-san's a little scary with all the stuff she hates...\Sewing Room\What did you do in gym today? response:	Basketball.
context: There you go.\Thanks a lot.\I'm really bad at sewing clothing...\I hate doing this, too.\Yamamoto-san's a little scary with all the stuff she hates...\Sewing Room\What did you do in gym today?\Basketball. response:	That sounds like fun.
context: Thanks a lot.\I'm really bad at sewing clothing...\I hate doing this, too.\Yamamoto-san's a little scary with all the stuff she hates...\Sewing Room\What did you do in gym today?\Basketball.\That sounds like fun. response:	Are you going to the food stand?
context: I'm really bad at sewing clothing...\I hate doing this, too.\Yamamoto-san's a little scary with all the stuff she hates...\Sewing Room\What did you do in gym today?\Basketball.\That sounds like fun.\Are you going to the food stand? response:	Yeah.
context: I hate doing this, too.\Yamamoto-san's a little scary with all the stuff she hates...\Sewing Room\What did you do in gym today?\Basketball.\That sounds like fun.\Are you going to the food stand?\Yeah. response:	Could you get me some milk while you're there?
context: Yamamoto-san's a little scary with all the stuff she hates...\Sewing Room\What did you do in gym today?\Basketball.\That sounds like fun.\Are you going to the food stand?\Yeah.\Could you get me some milk while you're there? response:	It was really awesome!
context: Sewing Room\What did you do in gym today?\Basketball.\That sounds like fun.\Are you going to the food stand?\Yeah.\Could you get me some milk while you're there?\It was really awesome! response:	Really!
context: What did you do in gym today?\Basketball.\That sounds like fun.\Are you going to the food stand?\Yeah.\Could you get me some milk while you're there?\It was really awesome!\Really! response:	Yeah, it ruled!
context: Basketball.\That sounds like fun.\Are you going to the food stand?\Yeah.\Could you get me some milk while you're there?\It was really awesome!\Really!\Yeah, it ruled! response:	I wish I could've seen it!
context: That sounds like fun.\Are you going to the food stand?\Yeah.\Could you get me some milk while you're there?\It was really awesome!\Really!\Yeah, it ruled!\I wish I could've seen it! response:	Don't group me with her.
context: Are you going to the food stand?\Yeah.\Could you get me some milk while you're there?\It was really awesome!\Really!\Yeah, it ruled!\I wish I could've seen it!\Don't group me with her. response:	Yano!
context: Yeah.\Could you get me some milk while you're there?\It was really awesome!\Really!\Yeah, it ruled!\I wish I could've seen it!\Don't group me with her.\Yano! response:	Are you all right?
context: Could you get me some milk while you're there?\It was really awesome!\Really!\Yeah, it ruled!\I wish I could've seen it!\Don't group me with her.\Yano!\Are you all right? response:	Ah.. yeah.
context: It was really awesome!\Really!\Yeah, it ruled!\I wish I could've seen it!\Don't group me with her.\Yano!\Are you all right?\Ah.. yeah. response:	Yamamoto-san?
context: Really!\Yeah, it ruled!\I wish I could've seen it!\Don't group me with her.\Yano!\Are you all right?\Ah.. yeah.\Yamamoto-san? response:	Hey... not a word of thanks to Yano?
context: Yeah, it ruled!\I wish I could've seen it!\Don't group me with her.\Yano!\Are you all right?\Ah.. yeah.\Yamamoto-san?\Hey... not a word of thanks to Yano? response:	Yano, you scraped your hand.
context: I wish I could've seen it!\Don't group me with her.\Yano!\Are you all right?\Ah.. yeah.\Yamamoto-san?\Hey... not a word of thanks to Yano?\Yano, you scraped your hand. response:	Ah, yeah.
context: Don't group me with her.\Yano!\Are you all right?\Ah.. yeah.\Yamamoto-san?\Hey... not a word of thanks to Yano?\Yano, you scraped your hand.\Ah, yeah. response:	Nurse's Office
context: Yano!\Are you all right?\Ah.. yeah.\Yamamoto-san?\Hey... not a word of thanks to Yano?\Yano, you scraped your hand.\Ah, yeah.\Nurse's Office response:	Thank you.
context: Are you all right?\Ah.. yeah.\Yamamoto-san?\Hey... not a word of thanks to Yano?\Yano, you scraped your hand.\Ah, yeah.\Nurse's Office\Thank you. response:	Yano.
context: Ah.. yeah.\Yamamoto-san?\Hey... not a word of thanks to Yano?\Yano, you scraped your hand.\Ah, yeah.\Nurse's Office\Thank you.\Yano. response:	I don't think you have to watch out for Yamamoto-san so much.
context: Yamamoto-san?\Hey... not a word of thanks to Yano?\Yano, you scraped your hand.\Ah, yeah.\Nurse's Office\Thank you.\Yano.\I don't think you have to watch out for Yamamoto-san so much. response:	The problem between you and Nana-san is just between you two...
context: Hey... not a word of thanks to Yano?\Yano, you scraped your hand.\Ah, yeah.\Nurse's Office\Thank you.\Yano.\I don't think you have to watch out for Yamamoto-san so much.\The problem between you and Nana-san is just between you two... response:	I know.
context: Yano, you scraped your hand.\Ah, yeah.\Nurse's Office\Thank you.\Yano.\I don't think you have to watch out for Yamamoto-san so much.\The problem between you and Nana-san is just between you two...\I know. response:	I'm sorry. I don't know how to say it-
context: Ah, yeah.\Nurse's Office\Thank you.\Yano.\I don't think you have to watch out for Yamamoto-san so much.\The problem between you and Nana-san is just between you two...\I know.\I'm sorry. I don't know how to say it- response:	Yano?
context: Nurse's Office\Thank you.\Yano.\I don't think you have to watch out for Yamamoto-san so much.\The problem between you and Nana-san is just between you two...\I know.\I'm sorry. I don't know how to say it-\Yano? response:	Don't worry about it.
context: Thank you.\Yano.\I don't think you have to watch out for Yamamoto-san so much.\The problem between you and Nana-san is just between you two...\I know.\I'm sorry. I don't know how to say it-\Yano?\Don't worry about it. response:	Ah, we're on a bed.
context: Yano.\I don't think you have to watch out for Yamamoto-san so much.\The problem between you and Nana-san is just between you two...\I know.\I'm sorry. I don't know how to say it-\Yano?\Don't worry about it.\Ah, we're on a bed. response:	Moron. Why are you so quick to say that sort of stuff?
context: I don't think you have to watch out for Yamamoto-san so much.\The problem between you and Nana-san is just between you two...\I know.\I'm sorry. I don't know how to say it-\Yano?\Don't worry about it.\Ah, we're on a bed.\Moron. Why are you so quick to say that sort of stuff? response:	Kiss me.
context: The problem between you and Nana-san is just between you two...\I know.\I'm sorry. I don't know how to say it-\Yano?\Don't worry about it.\Ah, we're on a bed.\Moron. Why are you so quick to say that sort of stuff?\Kiss me. response:	And make it a long one.
context: I know.\I'm sorry. I don't know how to say it-\Yano?\Don't worry about it.\Ah, we're on a bed.\Moron. Why are you so quick to say that sort of stuff?\Kiss me.\And make it a long one. response:	Someone could come in.
context: I'm sorry. I don't know how to say it-\Yano?\Don't worry about it.\Ah, we're on a bed.\Moron. Why are you so quick to say that sort of stuff?\Kiss me.\And make it a long one.\Someone could come in. response:	They won't.
context: Yano?\Don't worry about it.\Ah, we're on a bed.\Moron. Why are you so quick to say that sort of stuff?\Kiss me.\And make it a long one.\Someone could come in.\They won't. response:	They will.
context: Don't worry about it.\Ah, we're on a bed.\Moron. Why are you so quick to say that sort of stuff?\Kiss me.\And make it a long one.\Someone could come in.\They won't.\They will. response:	It's lunch break.
context: Ah, we're on a bed.\Moron. Why are you so quick to say that sort of stuff?\Kiss me.\And make it a long one.\Someone could come in.\They won't.\They will.\It's lunch break. response:	Who cares if we're seen?
context: Moron. Why are you so quick to say that sort of stuff?\Kiss me.\And make it a long one.\Someone could come in.\They won't.\They will.\It's lunch break.\Who cares if we're seen? response:	Oh, whatever.
context: Kiss me.\And make it a long one.\Someone could come in.\They won't.\They will.\It's lunch break.\Who cares if we're seen?\Oh, whatever. response:	Whenever Yano kisses me, I can't think of anything else.
context: And make it a long one.\Someone could come in.\They won't.\They will.\It's lunch break.\Who cares if we're seen?\Oh, whatever.\Whenever Yano kisses me, I can't think of anything else. response:	I'm so scared of that version of me, but I just can't think of a world without Yano anymore.
context: Someone could come in.\They won't.\They will.\It's lunch break.\Who cares if we're seen?\Oh, whatever.\Whenever Yano kisses me, I can't think of anything else.\I'm so scared of that version of me, but I just can't think of a world without Yano anymore. response:	But it makes me remember all those times, all the way down to the tips of my hair...
context: They won't.\They will.\It's lunch break.\Who cares if we're seen?\Oh, whatever.\Whenever Yano kisses me, I can't think of anything else.\I'm so scared of that version of me, but I just can't think of a world without Yano anymore.\But it makes me remember all those times, all the way down to the tips of my hair... response:	If Yano disappeared, I wonder what I'd do...
context: They will.\It's lunch break.\Who cares if we're seen?\Oh, whatever.\Whenever Yano kisses me, I can't think of anything else.\I'm so scared of that version of me, but I just can't think of a world without Yano anymore.\But it makes me remember all those times, all the way down to the tips of my hair...\If Yano disappeared, I wonder what I'd do... response:	If the person I loved disappeared...
context: It's lunch break.\Who cares if we're seen?\Oh, whatever.\Whenever Yano kisses me, I can't think of anything else.\I'm so scared of that version of me, but I just can't think of a world without Yano anymore.\But it makes me remember all those times, all the way down to the tips of my hair...\If Yano disappeared, I wonder what I'd do...\If the person I loved disappeared... response:	If the person I loved stopped looking at me...
context: Who cares if we're seen?\Oh, whatever.\Whenever Yano kisses me, I can't think of anything else.\I'm so scared of that version of me, but I just can't think of a world without Yano anymore.\But it makes me remember all those times, all the way down to the tips of my hair...\If Yano disappeared, I wonder what I'd do...\If the person I loved disappeared...\If the person I loved stopped looking at me... response:	Please...
context: Oh, whatever.\Whenever Yano kisses me, I can't think of anything else.\I'm so scared of that version of me, but I just can't think of a world without Yano anymore.\But it makes me remember all those times, all the way down to the tips of my hair...\If Yano disappeared, I wonder what I'd do...\If the person I loved disappeared...\If the person I loved stopped looking at me...\Please... response:	Always, always stand by my side, Yano.
context: Whenever Yano kisses me, I can't think of anything else.\I'm so scared of that version of me, but I just can't think of a world without Yano anymore.\But it makes me remember all those times, all the way down to the tips of my hair...\If Yano disappeared, I wonder what I'd do...\If the person I loved disappeared...\If the person I loved stopped looking at me...\Please...\Always, always stand by my side, Yano. response:	Jama da te wo futta ushirosugata anna ni mou
context: I'm so scared of that version of me, but I just can't think of a world without Yano anymore.\But it makes me remember all those times, all the way down to the tips of my hair...\If Yano disappeared, I wonder what I'd do...\If the person I loved disappeared...\If the person I loved stopped looking at me...\Please...\Always, always stand by my side, Yano.\Jama da te wo futta ushirosugata anna ni mou response:	Yuugure no hitonami ni yurenagara chiisaku naru
context: But it makes me remember all those times, all the way down to the tips of my hair...\If Yano disappeared, I wonder what I'd do...\If the person I loved disappeared...\If the person I loved stopped looking at me...\Please...\Always, always stand by my side, Yano.\Jama da te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru response:	Anata ga kureta kotoba wo hitotsuzutsu
context: If Yano disappeared, I wonder what I'd do...\If the person I loved disappeared...\If the person I loved stopped looking at me...\Please...\Always, always stand by my side, Yano.\Jama da te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu response:	Omoidashi me wo tojita Shiawasena omoi dake
context: If the person I loved disappeared...\If the person I loved stopped looking at me...\Please...\Always, always stand by my side, Yano.\Jama da te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita Shiawasena omoi dake response:	koko ni aru hazu nano ni Fuan ni naru
context: If the person I loved stopped looking at me...\Please...\Always, always stand by my side, Yano.\Jama da te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita Shiawasena omoi dake\koko ni aru hazu nano ni Fuan ni naru response:	doushite nano kokoro ga furueteru no
context: Please...\Always, always stand by my side, Yano.\Jama da te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita Shiawasena omoi dake\koko ni aru hazu nano ni Fuan ni naru\doushite nano kokoro ga furueteru no response:	Tsutaetai motto sou afureteru kono kimochi
context: Always, always stand by my side, Yano.\Jama da te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita Shiawasena omoi dake\koko ni aru hazu nano ni Fuan ni naru\doushite nano kokoro ga furueteru no\Tsutaetai motto sou afureteru kono kimochi response:	Suki dakara suki dakara zettai suki dakara
context: Jama da te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita Shiawasena omoi dake\koko ni aru hazu nano ni Fuan ni naru\doushite nano kokoro ga furueteru no\Tsutaetai motto sou afureteru kono kimochi\Suki dakara suki dakara zettai suki dakara response:	Furimuite kakedashite oikakete ikitai kedo
context: Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita Shiawasena omoi dake\koko ni aru hazu nano ni Fuan ni naru\doushite nano kokoro ga furueteru no\Tsutaetai motto sou afureteru kono kimochi\Suki dakara suki dakara zettai suki dakara\Furimuite kakedashite oikakete ikitai kedo response:	Yuugure no sabishisa ga sonna yuuki nomikonda
context: Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita Shiawasena omoi dake\koko ni aru hazu nano ni Fuan ni naru\doushite nano kokoro ga furueteru no\Tsutaetai motto sou afureteru kono kimochi\Suki dakara suki dakara zettai suki dakara\Furimuite kakedashite oikakete ikitai kedo\Yuugure no sabishisa ga sonna yuuki nomikonda response:	Anata no egao no naka ni watashi ha iru
context: Omoidashi me wo tojita Shiawasena omoi dake\koko ni aru hazu nano ni Fuan ni naru\doushite nano kokoro ga furueteru no\Tsutaetai motto sou afureteru kono kimochi\Suki dakara suki dakara zettai suki dakara\Furimuite kakedashite oikakete ikitai kedo\Yuugure no sabishisa ga sonna yuuki nomikonda\Anata no egao no naka ni watashi ha iru response:	Sukoshi hanareta dakede
context: koko ni aru hazu nano ni Fuan ni naru\doushite nano kokoro ga furueteru no\Tsutaetai motto sou afureteru kono kimochi\Suki dakara suki dakara zettai suki dakara\Furimuite kakedashite oikakete ikitai kedo\Yuugure no sabishisa ga sonna yuuki nomikonda\Anata no egao no naka ni watashi ha iru\Sukoshi hanareta dakede response:	Mayoigo ni natta youna
context: doushite nano kokoro ga furueteru no\Tsutaetai motto sou afureteru kono kimochi\Suki dakara suki dakara zettai suki dakara\Furimuite kakedashite oikakete ikitai kedo\Yuugure no sabishisa ga sonna yuuki nomikonda\Anata no egao no naka ni watashi ha iru\Sukoshi hanareta dakede\Mayoigo ni natta youna response:	kodomo mitai nakidashisou
context: Tsutaetai motto sou afureteru kono kimochi\Suki dakara suki dakara zettai suki dakara\Furimuite kakedashite oikakete ikitai kedo\Yuugure no sabishisa ga sonna yuuki nomikonda\Anata no egao no naka ni watashi ha iru\Sukoshi hanareta dakede\Mayoigo ni natta youna\kodomo mitai nakidashisou response:	Sunao nara konna omoi
context: Suki dakara suki dakara zettai suki dakara\Furimuite kakedashite oikakete ikitai kedo\Yuugure no sabishisa ga sonna yuuki nomikonda\Anata no egao no naka ni watashi ha iru\Sukoshi hanareta dakede\Mayoigo ni natta youna\kodomo mitai nakidashisou\Sunao nara konna omoi response:	shinakutemo sumu no ni na
context: Furimuite kakedashite oikakete ikitai kedo\Yuugure no sabishisa ga sonna yuuki nomikonda\Anata no egao no naka ni watashi ha iru\Sukoshi hanareta dakede\Mayoigo ni natta youna\kodomo mitai nakidashisou\Sunao nara konna omoi\shinakutemo sumu no ni na response:	Karappo no watashi dake
context: Yuugure no sabishisa ga sonna yuuki nomikonda\Anata no egao no naka ni watashi ha iru\Sukoshi hanareta dakede\Mayoigo ni natta youna\kodomo mitai nakidashisou\Sunao nara konna omoi\shinakutemo sumu no ni na\Karappo no watashi dake response:	Koko ni ite sakuderu
context: Anata no egao no naka ni watashi ha iru\Sukoshi hanareta dakede\Mayoigo ni natta youna\kodomo mitai nakidashisou\Sunao nara konna omoi\shinakutemo sumu no ni na\Karappo no watashi dake\Koko ni ite sakuderu response:	Suki dakara suki dakara zettai suki dakara
context: Sukoshi hanareta dakede\Mayoigo ni natta youna\kodomo mitai nakidashisou\Sunao nara konna omoi\shinakutemo sumu no ni na\Karappo no watashi dake\Koko ni ite sakuderu\Suki dakara suki dakara zettai suki dakara response:	Everyone's in the way. I waved my hand, but your back is
context: Mayoigo ni natta youna\kodomo mitai nakidashisou\Sunao nara konna omoi\shinakutemo sumu no ni na\Karappo no watashi dake\Koko ni ite sakuderu\Suki dakara suki dakara zettai suki dakara\Everyone's in the way. I waved my hand, but your back is response:	already swerving through the crowd of people and sinking into the evening sun.
context: kodomo mitai nakidashisou\Sunao nara konna omoi\shinakutemo sumu no ni na\Karappo no watashi dake\Koko ni ite sakuderu\Suki dakara suki dakara zettai suki dakara\Everyone's in the way. I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun. response:	I closed my eyes and began to remember
context: Sunao nara konna omoi\shinakutemo sumu no ni na\Karappo no watashi dake\Koko ni ite sakuderu\Suki dakara suki dakara zettai suki dakara\Everyone's in the way. I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember response:	the words you told me. Only happy memories
context: shinakutemo sumu no ni na\Karappo no watashi dake\Koko ni ite sakuderu\Suki dakara suki dakara zettai suki dakara\Everyone's in the way. I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember\the words you told me. Only happy memories response:	are supposed to be there, but I become anxious.
context: Karappo no watashi dake\Koko ni ite sakuderu\Suki dakara suki dakara zettai suki dakara\Everyone's in the way. I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember\the words you told me. Only happy memories\are supposed to be there, but I become anxious. response:	Why does my heart waver so?
context: Koko ni ite sakuderu\Suki dakara suki dakara zettai suki dakara\Everyone's in the way. I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember\the words you told me. Only happy memories\are supposed to be there, but I become anxious.\Why does my heart waver so? response:	I want to tell you about my overflowing feelings...
context: Suki dakara suki dakara zettai suki dakara\Everyone's in the way. I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember\the words you told me. Only happy memories\are supposed to be there, but I become anxious.\Why does my heart waver so?\I want to tell you about my overflowing feelings... response:	I love you, I love you, I love you more than anything.
context: Everyone's in the way. I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember\the words you told me. Only happy memories\are supposed to be there, but I become anxious.\Why does my heart waver so?\I want to tell you about my overflowing feelings...\I love you, I love you, I love you more than anything. response:	I want to turn around, run after you, catch up with you, but
context: already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember\the words you told me. Only happy memories\are supposed to be there, but I become anxious.\Why does my heart waver so?\I want to tell you about my overflowing feelings...\I love you, I love you, I love you more than anything.\I want to turn around, run after you, catch up with you, but response:	the sadness of the twilit sky swallowed my courage.
context: I closed my eyes and began to remember\the words you told me. Only happy memories\are supposed to be there, but I become anxious.\Why does my heart waver so?\I want to tell you about my overflowing feelings...\I love you, I love you, I love you more than anything.\I want to turn around, run after you, catch up with you, but\the sadness of the twilit sky swallowed my courage. response:	I'm in your smile.
context: the words you told me. Only happy memories\are supposed to be there, but I become anxious.\Why does my heart waver so?\I want to tell you about my overflowing feelings...\I love you, I love you, I love you more than anything.\I want to turn around, run after you, catch up with you, but\the sadness of the twilit sky swallowed my courage.\I'm in your smile. response:	Even a short time after we've parted
context: are supposed to be there, but I become anxious.\Why does my heart waver so?\I want to tell you about my overflowing feelings...\I love you, I love you, I love you more than anything.\I want to turn around, run after you, catch up with you, but\the sadness of the twilit sky swallowed my courage.\I'm in your smile.\Even a short time after we've parted response:	I want to cry out like a
context: Why does my heart waver so?\I want to tell you about my overflowing feelings...\I love you, I love you, I love you more than anything.\I want to turn around, run after you, catch up with you, but\the sadness of the twilit sky swallowed my courage.\I'm in your smile.\Even a short time after we've parted\I want to cry out like a response:	lost child.
context: I want to tell you about my overflowing feelings...\I love you, I love you, I love you more than anything.\I want to turn around, run after you, catch up with you, but\the sadness of the twilit sky swallowed my courage.\I'm in your smile.\Even a short time after we've parted\I want to cry out like a\lost child. response:	If only I could be honest with myself,
context: I love you, I love you, I love you more than anything.\I want to turn around, run after you, catch up with you, but\the sadness of the twilit sky swallowed my courage.\I'm in your smile.\Even a short time after we've parted\I want to cry out like a\lost child.\If only I could be honest with myself, response:	I wouldn't have had to go though this.
context: I want to turn around, run after you, catch up with you, but\the sadness of the twilit sky swallowed my courage.\I'm in your smile.\Even a short time after we've parted\I want to cry out like a\lost child.\If only I could be honest with myself,\I wouldn't have had to go though this. response:	Only the empty me is
context: the sadness of the twilit sky swallowed my courage.\I'm in your smile.\Even a short time after we've parted\I want to cry out like a\lost child.\If only I could be honest with myself,\I wouldn't have had to go though this.\Only the empty me is response:	here, screaming...
context: I'm in your smile.\Even a short time after we've parted\I want to cry out like a\lost child.\If only I could be honest with myself,\I wouldn't have had to go though this.\Only the empty me is\here, screaming... response:	I love you, I love you, I love you more than anything.
